cups,date,time,consumptionKWh,obtainMethod,surplusEnergyKWh
ES0031300519741004AP0F,2022/11/01,01:00,0.101,Real,
ES0031300519741004AP0F,2022/11/01,02:00,0.092,Real,
ES0031300519741004AP0F,2022/11/01,03:00,0.099,Real,
ES0031300519741004AP0F,2022/11/01,04:00,0.095,Real,
ES0031300519741004AP0F,2022/11/01,05:00,0.1,Real,
ES0031300519741004AP0F,2022/11/01,06:00,0.104,Real,
ES0031300519741004AP0F,2022/11/01,07:00,0.091,Real,
ES0031300519741004AP0F,2022/11/01,08:00,0.101,Real,
ES0031300519741004AP0F,2022/11/01,09:00,0.088,Real,
ES0031300519741004AP0F,2022/11/01,10:00,0.117,Real,
ES0031300519741004AP0F,2022/11/01,11:00,0.088,Real,
ES0031300519741004AP0F,2022/11/01,12:00,0.104,Real,
ES0031300519741004AP0F,2022/11/01,13:00,0.175,Real,
ES0031300519741004AP0F,2022/11/01,14:00,1.885,Real,
ES0031300519741004AP0F,2022/11/01,15:00,0.314,Real,
ES0031300519741004AP0F,2022/11/01,16:00,0.228,Real,
ES0031300519741004AP0F,2022/11/01,17:00,0.163,Real,
ES0031300519741004AP0F,2022/11/01,18:00,0.153,Real,
ES0031300519741004AP0F,2022/11/01,19:00,0.421,Real,
ES0031300519741004AP0F,2022/11/01,20:00,0.287,Real,
ES0031300519741004AP0F,2022/11/01,21:00,0.185,Real,
ES0031300519741004AP0F,2022/11/01,22:00,0.173,Real,
ES0031300519741004AP0F,2022/11/01,23:00,0.266,Real,
ES0031300519741004AP0F,2022/11/01,24:00,0.166,Real,
ES0031300519741004AP0F,2022/11/02,01:00,0.156,Real,
ES0031300519741004AP0F,2022/11/02,02:00,0.139,Real,
ES0031300519741004AP0F,2022/11/02,03:00,0.145,Real,
ES0031300519741004AP0F,2022/11/02,04:00,0.105,Real,
ES0031300519741004AP0F,2022/11/02,05:00,0.092,Real,
ES0031300519741004AP0F,2022/11/02,06:00,0.109,Real,
ES0031300519741004AP0F,2022/11/02,07:00,0.17,Real,
ES0031300519741004AP0F,2022/11/02,08:00,0.137,Real,
ES0031300519741004AP0F,2022/11/02,09:00,0.252,Real,
ES0031300519741004AP0F,2022/11/02,10:00,0.204,Real,
ES0031300519741004AP0F,2022/11/02,11:00,0.107,Real,
ES0031300519741004AP0F,2022/11/02,12:00,0.175,Real,
ES0031300519741004AP0F,2022/11/02,13:00,0.114,Real,
ES0031300519741004AP0F,2022/11/02,14:00,0.102,Real,
ES0031300519741004AP0F,2022/11/02,15:00,0.098,Real,
ES0031300519741004AP0F,2022/11/02,16:00,0.098,Real,
ES0031300519741004AP0F,2022/11/02,17:00,0.87,Real,
ES0031300519741004AP0F,2022/11/02,18:00,0.23,Real,
ES0031300519741004AP0F,2022/11/02,19:00,0.502,Real,
ES0031300519741004AP0F,2022/11/02,20:00,0.3,Real,
ES0031300519741004AP0F,2022/11/02,21:00,0.567,Real,
ES0031300519741004AP0F,2022/11/02,22:00,0.524,Real,
ES0031300519741004AP0F,2022/11/02,23:00,0.264,Real,
ES0031300519741004AP0F,2022/11/02,24:00,0.196,Real,
ES0031300519741004AP0F,2022/11/03,01:00,0.165,Real,
ES0031300519741004AP0F,2022/11/03,02:00,0.16,Real,
ES0031300519741004AP0F,2022/11/03,03:00,0.155,Real,
ES0031300519741004AP0F,2022/11/03,04:00,0.144,Real,
ES0031300519741004AP0F,2022/11/03,05:00,0.127,Real,
ES0031300519741004AP0F,2022/11/03,06:00,0.104,Real,
ES0031300519741004AP0F,2022/11/03,07:00,0.152,Real,
ES0031300519741004AP0F,2022/11/03,08:00,0.14,Real,
ES0031300519741004AP0F,2022/11/03,09:00,0.279,Real,
ES0031300519741004AP0F,2022/11/03,10:00,0.626,Real,
ES0031300519741004AP0F,2022/11/03,11:00,0.577,Real,
ES0031300519741004AP0F,2022/11/03,12:00,0.187,Real,
ES0031300519741004AP0F,2022/11/03,13:00,0.165,Real,
ES0031300519741004AP0F,2022/11/03,14:00,0.099,Real,
ES0031300519741004AP0F,2022/11/03,15:00,0.106,Real,
ES0031300519741004AP0F,2022/11/03,16:00,0.164,Real,
ES0031300519741004AP0F,2022/11/03,17:00,0.184,Real,
ES0031300519741004AP0F,2022/11/03,18:00,0.241,Real,
ES0031300519741004AP0F,2022/11/03,19:00,0.241,Real,
ES0031300519741004AP0F,2022/11/03,20:00,0.105,Real,
ES0031300519741004AP0F,2022/11/03,21:00,0.358,Real,
ES0031300519741004AP0F,2022/11/03,22:00,1.608,Real,
ES0031300519741004AP0F,2022/11/03,23:00,0.285,Real,
ES0031300519741004AP0F,2022/11/03,24:00,0.276,Real,
ES0031300519741004AP0F,2022/11/04,01:00,0.265,Real,
ES0031300519741004AP0F,2022/11/04,02:00,0.219,Real,
ES0031300519741004AP0F,2022/11/04,03:00,0.091,Real,
ES0031300519741004AP0F,2022/11/04,04:00,0.107,Real,
ES0031300519741004AP0F,2022/11/04,05:00,0.09,Real,
ES0031300519741004AP0F,2022/11/04,06:00,0.105,Real,
ES0031300519741004AP0F,2022/11/04,07:00,0.14,Real,
ES0031300519741004AP0F,2022/11/04,08:00,0.143,Real,
ES0031300519741004AP0F,2022/11/04,09:00,0.205,Real,
ES0031300519741004AP0F,2022/11/04,10:00,0.504,Real,
ES0031300519741004AP0F,2022/11/04,11:00,0.312,Real,
ES0031300519741004AP0F,2022/11/04,12:00,0.12,Real,
ES0031300519741004AP0F,2022/11/04,13:00,0.125,Real,
ES0031300519741004AP0F,2022/11/04,14:00,0.094,Real,
ES0031300519741004AP0F,2022/11/04,15:00,0.265,Real,
ES0031300519741004AP0F,2022/11/04,16:00,0.571,Real,
ES0031300519741004AP0F,2022/11/04,17:00,0.5,Real,
ES0031300519741004AP0F,2022/11/04,18:00,0.844,Real,
ES0031300519741004AP0F,2022/11/04,19:00,0.091,Real,
ES0031300519741004AP0F,2022/11/04,20:00,0.106,Real,
ES0031300519741004AP0F,2022/11/04,21:00,0.1,Real,
ES0031300519741004AP0F,2022/11/04,22:00,0.217,Real,
ES0031300519741004AP0F,2022/11/04,23:00,0.235,Real,
ES0031300519741004AP0F,2022/11/04,24:00,0.179,Real,
ES0031300519741004AP0F,2022/11/05,01:00,0.137,Real,
ES0031300519741004AP0F,2022/11/05,02:00,0.136,Real,
ES0031300519741004AP0F,2022/11/05,03:00,0.173,Real,
ES0031300519741004AP0F,2022/11/05,04:00,0.096,Real,
ES0031300519741004AP0F,2022/11/05,05:00,0.092,Real,
ES0031300519741004AP0F,2022/11/05,06:00,0.107,Real,
ES0031300519741004AP0F,2022/11/05,07:00,0.384,Real,
ES0031300519741004AP0F,2022/11/05,08:00,1.645,Real,
ES0031300519741004AP0F,2022/11/05,09:00,1.2,Real,
ES0031300519741004AP0F,2022/11/05,10:00,0.439,Real,
ES0031300519741004AP0F,2022/11/05,11:00,0.178,Real,
ES0031300519741004AP0F,2022/11/05,12:00,0.094,Real,
ES0031300519741004AP0F,2022/11/05,13:00,0.221,Real,
ES0031300519741004AP0F,2022/11/05,14:00,0.512,Real,
ES0031300519741004AP0F,2022/11/05,15:00,0.311,Real,
ES0031300519741004AP0F,2022/11/05,16:00,0.418,Real,
ES0031300519741004AP0F,2022/11/05,17:00,0.234,Real,
ES0031300519741004AP0F,2022/11/05,18:00,0.478,Real,
ES0031300519741004AP0F,2022/11/05,19:00,0.617,Real,
ES0031300519741004AP0F,2022/11/05,20:00,0.431,Real,
ES0031300519741004AP0F,2022/11/05,21:00,0.142,Real,
ES0031300519741004AP0F,2022/11/05,22:00,0.105,Real,
ES0031300519741004AP0F,2022/11/05,23:00,0.115,Real,
ES0031300519741004AP0F,2022/11/05,24:00,0.1,Real,
ES0031300519741004AP0F,2022/11/06,01:00,0.113,Real,
ES0031300519741004AP0F,2022/11/06,02:00,0.097,Real,
ES0031300519741004AP0F,2022/11/06,03:00,0.175,Real,
ES0031300519741004AP0F,2022/11/06,04:00,0.102,Real,
ES0031300519741004AP0F,2022/11/06,05:00,0.111,Real,
ES0031300519741004AP0F,2022/11/06,06:00,0.094,Real,
ES0031300519741004AP0F,2022/11/06,07:00,0.175,Real,
ES0031300519741004AP0F,2022/11/06,08:00,0.12,Real,
ES0031300519741004AP0F,2022/11/06,09:00,0.143,Real,
ES0031300519741004AP0F,2022/11/06,10:00,1.078,Real,
ES0031300519741004AP0F,2022/11/06,11:00,0.698,Real,
ES0031300519741004AP0F,2022/11/06,12:00,1.27,Real,
ES0031300519741004AP0F,2022/11/06,13:00,0.358,Real,
ES0031300519741004AP0F,2022/11/06,14:00,0.37,Real,
ES0031300519741004AP0F,2022/11/06,15:00,2.236,Real,
ES0031300519741004AP0F,2022/11/06,16:00,0.202,Real,
ES0031300519741004AP0F,2022/11/06,17:00,0.181,Real,
ES0031300519741004AP0F,2022/11/06,18:00,0.44,Real,
ES0031300519741004AP0F,2022/11/06,19:00,1.166,Real,
ES0031300519741004AP0F,2022/11/06,20:00,0.917,Real,
