date;time;consumptionKWh;obtainMethod;surplusEnergyKWh;generationEnergyKWh;selfConsumptionEnergyKWh
01/01/2023;1:00;0.484;Real;;;
01/01/2023;2:00;0.48;Real;;;
01/01/2023;3:00;0.489;Real;;;
01/01/2023;4:00;0.476;Real;;;
01/01/2023;5:00;0.534;Real;;;
01/01/2023;6:00;0.5;Real;;;
01/01/2023;7:00;0.488;Real;;;
01/01/2023;8:00;0.485;Real;;;
01/01/2023;9:00;0.489;Real;;;
01/01/2023;10:00;0.489;Real;;;
01/01/2023;11:00;0.477;Real;;;
01/01/2023;12:00;0.491;Real;;;
01/01/2023;13:00;0.48;Real;;;
01/01/2023;14:00;0.482;Real;;;
01/01/2023;15:00;0.491;Real;;;
01/01/2023;16:00;0.484;Real;;;
01/01/2023;17:00;0.495;Real;;;
01/01/2023;18:00;0.483;Real;;;
01/01/2023;19:00;0.484;Real;;;
01/01/2023;20:00;0.482;Real;;;
01/01/2023;21:00;0.466;Real;;;
01/01/2023;22:00;0.469;Real;;;
01/01/2023;23:00;0.486;Real;;;
01/01/2023;24:00:00;0.473;Real;;;
02/01/2023;1:00;0.481;Real;;;
02/01/2023;2:00;0.483;Real;;;
02/01/2023;3:00;0.485;Real;;;
02/01/2023;4:00;0.5;Real;;;
02/01/2023;5:00;0.504;Real;;;
02/01/2023;6:00;0.538;Real;;;
02/01/2023;7:00;0.478;Real;;;
02/01/2023;8:00;0.49;Real;;;
02/01/2023;9:00;0.482;Real;;;
02/01/2023;10:00;0.476;Real;;;
02/01/2023;11:00;0.484;Real;;;
02/01/2023;12:00;0.479;Real;;;
02/01/2023;13:00;0.487;Real;;;
02/01/2023;14:00;0.477;Real;;;
02/01/2023;15:00;0.484;Real;;;
02/01/2023;16:00;0.498;Real;;;
02/01/2023;17:00;0.488;Real;;;
02/01/2023;18:00;0.491;Real;;;
02/01/2023;19:00;0.484;Real;;;
02/01/2023;20:00;0.474;Real;;;
02/01/2023;21:00;0.485;Real;;;
02/01/2023;22:00;0.481;Real;;;
02/01/2023;23:00;0.477;Real;;;
02/01/2023;24:00:00;0.495;Real;;;
03/01/2023;1:00;0.484;Real;;;
03/01/2023;2:00;0.475;Real;;;
03/01/2023;3:00;0.491;Real;;;
03/01/2023;4:00;0.477;Real;;;
03/01/2023;5:00;0.485;Real;;;
