archivo,media_consumo,std_consumo,min_consumo,max_consumo,percentil_25_consumo,percentil_50_consumo,percentil_75_consumo,sum_consumo,promedio_por_dia,consumo_medio_diario,consumo_1.0,consumo_2.0,consumo_3.0,consumo_4.0,consumo_5.0,consumo_6.0,consumo_7.0,consumo_8.0,consumo_9.0,consumo_10.0,consumo_11.0,consumo_12.0,consumo_13.0,consumo_14.0,consumo_15.0,consumo_16.0,consumo_17.0,consumo_18.0,consumo_19.0,consumo_20.0,consumo_21.0,consumo_22.0,consumo_23.0,consumo_1.0_suma,consumo_2.0_suma,consumo_3.0_suma,consumo_4.0_suma,consumo_5.0_suma,consumo_6.0_suma,consumo_7.0_suma,consumo_8.0_suma,consumo_9.0_suma,consumo_10.0_suma,consumo_11.0_suma,consumo_12.0_suma,consumo_13.0_suma,consumo_14.0_suma,consumo_15.0_suma,consumo_16.0_suma,consumo_17.0_suma,consumo_18.0_suma,consumo_19.0_suma,consumo_20.0_suma,consumo_21.0_suma,consumo_22.0_suma,consumo_23.0_suma,consumo_1.0_std,consumo_2.0_std,consumo_3.0_std,consumo_4.0_std,consumo_5.0_std,consumo_6.0_std,consumo_7.0_std,consumo_8.0_std,consumo_9.0_std,consumo_10.0_std,consumo_11.0_std,consumo_12.0_std,consumo_13.0_std,consumo_14.0_std,consumo_15.0_std,consumo_16.0_std,consumo_17.0_std,consumo_18.0_std,consumo_19.0_std,consumo_20.0_std,consumo_21.0_std,consumo_22.0_std,consumo_23.0_std,Mañana,Mediodia,Tarde,Noche,Madrugada,s_Mañana,s_Mediodia,s_Tarde,s_Noche,s_Madrugada,std_Mañana,std_Mediodia,std_Tarde,std_Noche,std_Madrugada,Lunes,Martes,Miércoles,Jueves,Viernes,Sábado,Domingo,s_Lunes,s_Martes,s_Miércoles,s_Jueves,s_Viernes,s_Sábado,s_Domingo,std_Lunes,std_Martes,std_Miércoles,std_Jueves,std_Viernes,std_Sábado,std_Domingo,Entre semana,Fin de semana,s_Entre semana,s_Fin de semana,std_Entre semana,std_Fin de semana,verano,s_verano,std_verano,2024-07,Julio,2024-07-01/2024-07-07,2024-07-08/2024-07-14,2024-07-15/2024-07-21,2024-07-22/2024-07-28,2024-07-29/2024-08-04
ABLD,0.17417251051893406,0.16437152090224308,0.056,2.123,0.084,0.117,0.203,124.18499999999999,0.17417251051893406,4.005967741935484,0.14748387096774193,0.12538709677419355,0.10903225806451612,0.11038709677419355,0.10587096774193548,0.10029032258064516,0.1036774193548387,0.16458064516129034,0.19158064516129034,0.13770967741935483,0.158,0.13848387096774195,0.1696451612903226,0.16458064516129034,0.248,0.2673225806451613,0.24435483870967742,0.18803225806451612,0.15570967741935485,0.1985483870967742,0.2552258064516129,0.21303225806451614,0.3090322580645161,4.572,3.887,3.38,3.422,3.282,3.109,3.214,5.102,5.939,4.269,4.898,4.293,5.259,5.102,7.688,8.287,7.575,5.829,4.827,6.155,7.912000000000001,6.604,9.58,4.572,3.887,3.38,3.422,3.282,3.109,3.214,5.102,5.939,4.269,4.898,4.293,5.259,5.102,7.688,8.287,7.575,5.829,4.827,6.155,7.912000000000001,6.604,9.58,0.14003225806451614,0.16940322580645162,0.2138548387096774,0.24395967741935487,0.11963225806451612,17.364,31.509,26.518,30.250999999999998,18.543,0.08555592524894277,0.061421043382605726,0.05668514946468039,0.10112394120205528,0.03354614013517629,0.17834782608695654,0.1842608695652174,0.2101391304347826,0.17323913043478262,0.17680434782608698,0.13803260869565218,0.14582608695652174,20.51,21.19,24.166,15.938,16.266000000000002,12.699,13.416,0.1487633846832803,0.16365545144819013,0.23856220958345956,0.13938651846181493,0.1673127780391396,0.09948995764518549,0.13256825807204412,0.18538752362948963,0.14192934782608696,98.07000000000001,26.115,0.1766490890929776,0.11694658258245268,0.1741725105189341,124.185,0.16437152090224302,124.185,124.185,26.171,25.999,25.409,29.228,17.378
AJVG,0.14911500701262273,0.1546352293966051,0.032,1.104,0.065,0.087,0.179,106.319,0.1491150070126227,3.429645161290322,0.12041935483870968,0.10816129032258064,0.09735483870967743,0.08493548387096775,0.08835483870967742,0.10241935483870968,0.3352258064516129,0.41316129032258064,0.09809677419354838,0.1453225806451613,0.12212903225806451,0.1107741935483871,0.08329032258064516,0.15938709677419355,0.148,0.09212903225806451,0.09612903225806452,0.1584516129032258,0.18583870967741936,0.16880645161290322,0.1755483870967742,0.16293548387096773,0.1727741935483871,3.733,3.3529999999999998,3.0180000000000002,2.633,2.739,3.175,10.392,12.808,3.041,4.505,3.786,3.434,2.582,4.941,4.588,2.856,2.98,4.912,5.761,5.233,5.442,5.051,5.356,3.733,3.3529999999999998,3.0180000000000002,2.633,2.739,3.175,10.392,12.808,3.041,4.505,3.786,3.434,2.582,4.941,4.588,2.856,2.98,4.912,5.761,5.233,5.442,5.051,5.356,0.2372258064516129,0.12815053763440862,0.13313709677419355,0.17001612903225805,0.09984516129032257,29.416,23.836000000000002,16.509,21.082,15.476000000000003,0.12116816338520196,0.04745063495871865,0.092435632145759,0.03549746143596389,0.014536326357140469,0.1676521739130435,0.17297391304347826,0.16569565217391305,0.13968478260869566,0.13857608695652174,0.1317391304347826,0.1127391304347826,19.28,19.892,19.055,12.851,12.749,12.12,10.372,0.16056561447660636,0.18874946082737287,0.1788208048412949,0.14818157330446044,0.14325081621044744,0.12480682828294583,0.09329156346969517,0.15846313799621928,0.12223913043478261,83.827,22.492,0.16640220038786208,0.1102924943386287,0.14911500701262273,106.319,0.1546352293966051,106.319,106.319,23.093,26.01,22.888,21.571,12.757
ATF,0.190179523141655,0.22124930972100113,0.053,1.794,0.083,0.126,0.187,135.598,0.19017952314165493,4.374129032258065,0.1384516129032258,0.13941935483870968,0.11141935483870968,0.099,0.1022258064516129,0.1019032258064516,0.10161290322580645,0.10032258064516128,0.09941935483870967,0.1433225806451613,0.21080645161290323,0.32567741935483874,0.3261612903225807,0.39664516129032257,0.29387096774193544,0.2054516129032258,0.2651290322580645,0.24006451612903226,0.19716129032258065,0.22219354838709676,0.18393548387096775,0.1741290322580645,0.19580645161290325,4.292,4.322,3.454,3.069,3.169,3.159,3.15,3.11,3.082,4.443,6.535,10.096,10.111,12.296,9.11,6.369,8.219,7.442,6.112,6.888,5.702,5.398,6.07,4.292,4.322,3.454,3.069,3.169,3.159,3.15,3.11,3.082,4.443,6.535,10.096,10.111,12.296,9.11,6.369,8.219,7.442,6.112,6.888,5.702,5.398,6.07,0.10081451612903225,0.2827473118279569,0.2269516129032258,0.19401612903225807,0.11810322580645163,12.500999999999998,52.590999999999994,28.142000000000003,24.058,18.306,0.0026583648184826977,0.12410902321106261,0.04420180094728615,0.09486374224512477,0.024063267373652497,0.16409565217391303,0.18887826086956522,0.21964347826086958,0.22983695652173913,0.2581086956521739,0.16261956521739132,0.10755434782608696,18.871,21.721,25.259,21.145,23.746,14.961,9.895,0.16326627556025325,0.1979467918861064,0.27750259019825907,0.24559684096001022,0.2983765397681163,0.18580030887442273,0.06557913835574603,0.2093421550094518,0.13508695652173913,110.742,24.856,0.24006095765460098,0.14165911150594526,0.190179523141655,135.598,0.22124930972100104,135.598,135.598,36.159,32.561,22.064,20.584,24.23
FMB,0.20554277699859744,0.20309590135671232,0.024,1.449,0.059,0.135,0.258,146.55199999999996,0.2055427769985975,4.727483870967743,0.13370967741935483,0.09648387096774194,0.10006451612903225,0.11900000000000001,0.0945483870967742,0.09616129032258064,0.08790322580645162,0.13874193548387098,0.1791935483870968,0.23070967741935483,0.26780645161290323,0.29961290322580647,0.3378387096774193,0.594483870967742,0.3003870967741935,0.19096774193548388,0.1673225806451613,0.2178064516129032,0.2148064516129032,0.25516129032258067,0.2253225806451613,0.21545161290322581,0.16399999999999998,4.145,2.991,3.102,3.689,2.931,2.981,2.725,4.301,5.555000000000001,7.152,8.302,9.288,10.472999999999999,18.429000000000002,9.312,5.92,5.187,6.752,6.659,7.91,6.985,6.679,5.084,4.145,2.991,3.102,3.689,2.931,2.981,2.725,4.301,5.555000000000001,7.152,8.302,9.288,10.472999999999999,18.429000000000002,9.312,5.92,5.187,6.752,6.659,7.91,6.985,6.679,5.084,0.1255,0.3384731182795699,0.19772580645161292,0.21498387096774196,0.10876129032258064,15.562000000000001,62.956,24.517999999999997,26.657999999999998,16.858,0.034213878551153515,0.10027652060579133,0.026308819246726702,0.034030586389303764,0.01778514842895274,0.20015652173913043,0.18095652173913043,0.18342608695652174,0.19069565217391304,0.2523586956521739,0.2594347826086956,0.1847934782608696,23.018,20.81,21.094,17.544,23.217,23.868,17.001,0.23703925173900744,0.17539846322039507,0.1738668607826501,0.17310688682603873,0.22842704279397094,0.2316579661534863,0.18136318598801907,0.1997788279773157,0.22211413043478262,105.683,40.869,0.2002241789185905,0.21081497602442667,0.20554277699859747,146.552,0.20309590135671235,146.552,146.552,23.56,32.121,38.362,34.439,18.07
GPC,0.15475596072931277,0.1358388500031498,0.025,1.1,0.085,0.123,0.173,110.34100000000001,0.15475596072931277,3.5593870967741936,0.1167741935483871,0.12187096774193548,0.13706451612903225,0.10848387096774194,0.08896774193548387,0.09396774193548388,0.10951612903225806,0.23825806451612905,0.2477741935483871,0.1550967741935484,0.12125806451612903,0.11458064516129032,0.11551612903225807,0.16151612903225807,0.2884838709677419,0.17525806451612902,0.19170967741935482,0.14303225806451614,0.1424516129032258,0.13887096774193547,0.1509032258064516,0.2015483870967742,0.19648387096774195,3.62,3.778,4.249,3.363,2.758,2.9130000000000003,3.395,7.386,7.681,4.808,3.759,3.552,3.581,5.007,8.943,5.433,5.943,4.434,4.416,4.305,4.678,6.248,6.091,3.62,3.778,4.249,3.363,2.758,2.9130000000000003,3.395,7.386,7.681,4.808,3.759,3.552,3.581,5.007,8.943,5.433,5.943,4.434,4.416,4.305,4.678,6.248,6.091,0.1723790322580645,0.15940860215053765,0.16311290322580646,0.1719516129032258,0.11463225806451613,21.375,29.65,20.226,21.322000000000003,17.767999999999997,0.12013843217115248,0.07238917132794062,0.04262215205463267,0.020886326008945896,0.04599042295084878,0.14132173913043478,0.1904695652173913,0.16302608695652174,0.16751086956521738,0.14184782608695654,0.15561956521739131,0.11585869565217392,16.252,21.904,18.748,15.411,13.05,14.317,10.659,0.09747816200115969,0.1799992846837215,0.13541168293358094,0.12738334413914054,0.13381633589911182,0.16094090393076163,0.07131043132573524,0.16137051039697542,0.1357391304347826,85.365,24.976,0.13868785381345744,0.12572312102352326,0.15475596072931275,110.341,0.1358388500031498,110.341,110.341,23.995,25.563,22.312,25.533,12.938
JACL,0.25524544179523145,0.31101371507676456,0.036,1.322,0.067,0.125,0.224,181.99,0.25524544179523145,5.870645161290322,0.34280645161290324,0.18083870967741936,0.09303225806451612,0.0754516129032258,0.09564516129032258,0.08835483870967742,0.07558064516129032,0.08951612903225806,0.08964516129032257,0.1019032258064516,0.10506451612903227,0.12529032258064515,0.20516129032258065,0.32593548387096777,0.573,0.6822258064516129,0.5389677419354838,0.4156774193548387,0.41935483870967744,0.39325806451612905,0.23619354838709677,0.23325806451612902,0.38448387096774195,10.627,5.606,2.884,2.339,2.965,2.739,2.343,2.775,2.779,3.159,3.257,3.884,6.36,10.104000000000001,17.762999999999998,21.149,16.708,12.886,13.0,12.191,7.322,7.231,11.919,10.627,5.606,2.884,2.339,2.965,2.739,2.343,2.775,2.779,3.159,3.257,3.884,6.36,10.104000000000001,17.762999999999998,21.149,16.708,12.886,13.0,12.191,7.322,7.231,11.919,0.0857741935483871,0.23939247311827958,0.5140564516129031,0.3117983870967742,0.1575548387096774,10.636,44.527,63.742999999999995,38.663,24.421,0.0023096515231883384,0.16957325293013703,0.02832003076209773,0.02928388296315497,0.1122390429648061,0.2242521739130435,0.28689565217391305,0.2516608695652174,0.2678695652173913,0.24908695652173912,0.27205434782608695,0.2356304347826087,25.789,32.993,28.941,24.644,22.916,25.029,21.678,0.2723747368130983,0.3343793772997771,0.30704665303433626,0.3187706198421274,0.30228204034628015,0.3413369758461421,0.30470413383056566,0.25573345935727787,0.2538423913043478,135.283,46.707,0.30698483397593096,0.32317061785967227,0.25524544179523145,181.99,0.3110137150767644,181.99,181.99,17.137,37.147,47.36,49.539,30.807
JALG,0.2812819074333801,0.2558321966295713,0.071,1.605,0.12,0.175,0.346,200.554,0.28128190743338005,6.46948387096774,0.20290322580645162,0.13396774193548386,0.12361290322580645,0.12406451612903226,0.11583870967741935,0.12245161290322581,0.11841935483870969,0.20419354838709677,0.2438064516129032,0.2616451612903226,0.24729032258064518,0.20887096774193548,0.27738709677419354,0.32048387096774195,0.4909677419354838,0.41770967741935483,0.2769032258064516,0.229,0.293,0.4128709677419355,0.5513225806451614,0.5704516129032259,0.5223225806451613,6.29,4.153,3.832,3.846,3.591,3.7960000000000003,3.6710000000000003,6.33,7.558,8.111,7.666,6.475,8.599,9.935,15.219999999999999,12.949,8.584,7.099,9.083,12.799,17.091,17.684,16.192,6.29,4.153,3.832,3.846,3.591,3.7960000000000003,3.6710000000000003,6.33,7.558,8.111,7.666,6.475,8.599,9.935,15.219999999999999,12.949,8.584,7.099,9.083,12.799,17.091,17.684,16.192,0.1722177419354839,0.30110752688172043,0.3041532258064516,0.514241935483871,0.1400774193548387,21.355,56.006,37.715,63.766,21.712,0.058753932937895936,0.04982146486848141,0.06045551966051539,0.0345890328638233,0.042839774959187275,0.2475391304347826,0.2700086956521739,0.28513913043478256,0.28825,0.27194565217391303,0.3260217391304348,0.2903586956521739,28.467,31.051,32.791,26.519,25.019,29.994,26.713,0.20984799373098953,0.2531313193502595,0.2644838033364376,0.24735593542749038,0.21769220958214563,0.3312385342244829,0.2585896482601169,0.2719224952741021,0.30819021739130437,143.847,56.707,0.23952659995854567,0.2968686701817347,0.2812819074333801,200.554,0.2558321966295714,200.554,200.554,42.924,41.062,45.948,46.319,24.301000000000002
JLG,0.21547685834502103,0.27204522888006744,0.042,1.648,0.054,0.075,0.238,153.635,0.215476858345021,4.955967741935486,0.16422580645161292,0.08151612903225806,0.06980645161290323,0.06680645161290323,0.0647741935483871,0.061870967741935484,0.060806451612903226,0.060774193548387104,0.06348387096774194,0.11383870967741935,0.1429677419354839,0.18683870967741936,0.2866451612903226,0.3881612903225806,0.2997741935483871,0.42893548387096775,0.37619354838709673,0.3270967741935484,0.38006451612903225,0.35093548387096773,0.3314193548387097,0.3288064516129032,0.3202258064516129,5.091,2.527,2.164,2.071,2.008,1.918,1.885,1.8840000000000001,1.968,3.529,4.432,5.792,8.886,12.033,9.293,13.297,11.661999999999999,10.14,11.782,10.879,10.274000000000001,10.193,9.927,5.091,2.527,2.164,2.071,2.008,1.918,1.885,1.8840000000000001,1.968,3.529,4.432,5.792,8.886,12.033,9.293,13.297,11.661999999999999,10.14,11.782,10.879,10.274000000000001,10.193,9.927,0.06173387096774194,0.23637096774193547,0.37807258064516125,0.33284677419354836,0.0894258064516129,7.655,43.964999999999996,46.881,41.272999999999996,13.861,0.004325204942305397,0.09618533981640542,0.07302649551627242,0.022638489086392644,0.04101304997974977,0.18787826086956524,0.20679130434782608,0.23839130434782607,0.2332391304347826,0.2579239130434782,0.21290217391304347,0.17455434782608698,21.606,23.781,27.415,21.458,23.729,19.587,16.059,0.23462662192566122,0.2606756570325207,0.3302009939642072,0.3045853015569043,0.28826499689152596,0.24433318360510675,0.21736344022333617,0.22304158790170134,0.1937282608695652,117.989,35.646,0.2846353697658045,0.23140923007793993,0.21547685834502103,153.635,0.27204522888006755,153.635,153.635,10.169,20.274,42.169,47.425,33.598
JMM,0.3848078541374475,0.6581428402257925,0.08,5.298,0.14,0.222,0.397,274.36800000000005,0.3848078541374474,8.85058064516129,0.32664516129032256,0.1597741935483871,0.13812903225806453,0.1474516129032258,0.13341935483870968,0.13499999999999998,0.13206451612903228,0.1441290322580645,0.17764516129032257,0.17070967741935483,0.22051612903225806,0.28996774193548386,0.34600000000000003,0.49954838709677424,0.8395806451612904,0.6724193548387096,0.7680967741935484,0.567741935483871,0.5532903225806451,0.5982903225806452,0.608,0.7403548387096774,0.4818064516129032,10.126,4.953,4.282,4.571,4.136,4.185,4.094,4.468,5.507,5.292,6.836,8.988999999999999,10.726,15.486,26.027,20.845,23.811,17.6,17.152,18.547,18.848,22.951,14.936,10.126,4.953,4.282,4.571,4.136,4.185,4.094,4.468,5.507,5.292,6.836,8.988999999999999,10.726,15.486,26.027,20.845,23.811,17.6,17.152,18.547,18.848,22.951,14.936,0.14720967741935484,0.3943870967741936,0.6403870967741936,0.6071129032258065,0.18108387096774195,18.253999999999998,73.356,79.408,75.282,28.068,0.0044487055492238485,0.37718393051883603,0.24493072163790824,0.22850380849174254,0.2652470025925542,0.3209130434782609,0.2843304347826087,0.4633304347826087,0.29915217391304344,0.4537173913043478,0.5801521739130435,0.3135217391304348,36.905,32.698,53.283,27.522,41.742,53.374,28.844,0.5087312661358302,0.21388260108773438,0.8563491122992853,0.2353978598305528,0.78006327337175,1.072009091879423,0.44055513128102497,0.36323251417769375,0.44683695652173916,192.15,82.218,0.5870125192265534,0.8281582143022973,0.3848078541374474,274.368,0.6581428402257926,274.368,274.368,39.776,43.785000000000004,67.58,74.07,49.157
MANA,0.43389761570827484,0.5810555456124687,0.045,2.531,0.102,0.165,0.381,309.36899999999997,0.43389761570827484,9.979645161290321,0.3987741935483871,0.2236774193548387,0.1471290322580645,0.1309032258064516,0.12580645161290321,0.1145483870967742,0.11993548387096774,0.11109677419354838,0.11680645161290322,0.2171290322580645,0.25570967741935485,0.2736451612903226,0.2607741935483871,0.3701935483870967,0.8789354838709678,0.9478387096774193,0.9228387096774193,0.9707741935483871,0.9349032258064516,0.7463225806451612,0.5406451612903225,0.47812903225806447,0.6931290322580645,12.362,6.934,4.561,4.058,3.9,3.551,3.718,3.444,3.621,6.731,7.9270000000000005,8.483,8.084,11.475999999999999,27.247,29.383,28.608,30.094,28.982,23.136,16.759999999999998,14.822,21.487000000000002,12.362,6.934,4.561,4.058,3.9,3.551,3.718,3.444,3.621,6.731,7.9270000000000005,8.483,8.084,11.475999999999999,27.247,29.383,28.608,30.094,28.982,23.136,16.759999999999998,14.822,21.487000000000002,0.11559677419354837,0.3760645161290322,0.9440887096774193,0.6145564516129032,0.20525806451612905,14.334000000000001,69.94800000000001,117.06700000000001,76.20500000000001,31.814999999999998,0.00109221792606889,0.19556888760886532,0.005581615310679441,0.11282887346288162,0.1448085428829816,0.3759217391304348,0.4316434782608696,0.4758,0.39314130434782607,0.4655,0.5187391304347826,0.3811195652173913,43.231,49.639,54.717,36.169,42.826,47.724,35.063,0.5053630820496322,0.5699613435846137,0.6599364163949512,0.5276834628416185,0.5876976216605735,0.6800965165758286,0.5133433151151725,0.42832136105860114,0.449929347826087,226.582,82.787,0.5730428803707438,0.604816686682163,0.43389761570827495,309.369,0.5810555456124687,309.369,309.369,48.854,34.871,83.747,84.695,57.202
