archivo,media_consumo,std_consumo,min_consumo,max_consumo,percentil_25_consumo,percentil_50_consumo,percentil_75_consumo,sum_consumo,promedio_por_dia,consumo_medio_diario,consumo_1.0,consumo_2.0,consumo_3.0,consumo_4.0,consumo_5.0,consumo_6.0,consumo_7.0,consumo_8.0,consumo_9.0,consumo_10.0,consumo_11.0,consumo_12.0,consumo_13.0,consumo_14.0,consumo_15.0,consumo_16.0,consumo_17.0,consumo_18.0,consumo_19.0,consumo_20.0,consumo_21.0,consumo_22.0,consumo_23.0,consumo_1.0_suma,consumo_2.0_suma,consumo_3.0_suma,consumo_4.0_suma,consumo_5.0_suma,consumo_6.0_suma,consumo_7.0_suma,consumo_8.0_suma,consumo_9.0_suma,consumo_10.0_suma,consumo_11.0_suma,consumo_12.0_suma,consumo_13.0_suma,consumo_14.0_suma,consumo_15.0_suma,consumo_16.0_suma,consumo_17.0_suma,consumo_18.0_suma,consumo_19.0_suma,consumo_20.0_suma,consumo_21.0_suma,consumo_22.0_suma,consumo_23.0_suma,consumo_1.0_std,consumo_2.0_std,consumo_3.0_std,consumo_4.0_std,consumo_5.0_std,consumo_6.0_std,consumo_7.0_std,consumo_8.0_std,consumo_9.0_std,consumo_10.0_std,consumo_11.0_std,consumo_12.0_std,consumo_13.0_std,consumo_14.0_std,consumo_15.0_std,consumo_16.0_std,consumo_17.0_std,consumo_18.0_std,consumo_19.0_std,consumo_20.0_std,consumo_21.0_std,consumo_22.0_std,consumo_23.0_std,Mañana,Mediodia,Tarde,Noche,Madrugada,s_Mañana,s_Mediodia,s_Tarde,s_Noche,s_Madrugada,std_Mañana,std_Mediodia,std_Tarde,std_Noche,std_Madrugada,Lunes,Martes,Miércoles,Jueves,Viernes,Sábado,Domingo,s_Lunes,s_Martes,s_Miércoles,s_Jueves,s_Viernes,s_Sábado,s_Domingo,std_Lunes,std_Martes,std_Miércoles,std_Jueves,std_Viernes,std_Sábado,std_Domingo,Entre semana,Fin de semana,s_Entre semana,s_Fin de semana,std_Entre semana,std_Fin de semana,verano,s_verano,std_verano,2023-08,Agosto,2023-07-31/2023-08-06,2023-08-07/2023-08-13,2023-08-14/2023-08-20,2023-08-21/2023-08-27,2023-08-28/2023-09-03
ABLD,0.16476016830294532,0.15384429596176658,0.053,1.339,0.086,0.104,0.185,117.474,0.1647601683029453,3.789483870967742,0.16464516129032258,0.12038709677419354,0.11019354838709677,0.1023225806451613,0.0957741935483871,0.08990322580645162,0.09945161290322581,0.105,0.13429032258064516,0.12232258064516129,0.19751612903225807,0.1956774193548387,0.19470967741935483,0.14183870967741935,0.22812903225806452,0.2627741935483871,0.22364516129032258,0.17635483870967741,0.17009677419354838,0.18270967741935482,0.20364516129032256,0.21758064516129033,0.25051612903225806,5.104,3.7319999999999998,3.416,3.172,2.969,2.787,3.083,3.255,4.163,3.792,6.123,6.066,6.036,4.397,7.072,8.146,6.933,5.467,5.273,5.664,6.313,6.745,7.766,5.104,3.7319999999999998,3.416,3.172,2.969,2.787,3.083,3.255,4.163,3.792,6.123,6.066,6.036,4.397,7.072,8.146,6.933,5.467,5.273,5.664,6.313,6.745,7.766,0.10716129032258065,0.18003225806451614,0.20821774193548387,0.21361290322580642,0.11866451612903225,13.288,33.486,25.819,26.488,18.393,0.045238017647142456,0.08083700466260418,0.08805032910809425,0.04189182815094331,0.032769865425090416,0.15685869565217392,0.13397391304347825,0.16975652173913042,0.18235652173913044,0.16445652173913045,0.19692391304347828,0.15104347826086958,14.431000000000001,15.407,19.522,20.971,15.13,18.117,13.896,0.15844613474573122,0.09868943497993612,0.17233965806563953,0.20100179763987744,0.13484076184856203,0.17767065677546565,0.08594732772932916,0.16155198487712666,0.1739836956521739,85.461,32.013,0.15804762192529878,0.1410659449534571,0.16476016830294532,117.474,0.15384429596176663,117.474,117.474,25.129,32.711,19.968,22.358999999999998,17.307
AJVG,0.09208976157082749,0.14911593528615008,0.005,1.606,0.005,0.057,0.103,65.66,0.09208976157082747,2.1180645161290323,0.0665483870967742,0.04961290322580645,0.0635483870967742,0.04751612903225807,0.05780645161290323,0.04825806451612903,0.1793225806451613,0.2580967741935484,0.061838709677419355,0.056129032258064517,0.045064516129032256,0.06516129032258064,0.07951612903225806,0.07048387096774193,0.0837741935483871,0.12496774193548388,0.07041935483870967,0.11912903225806452,0.08838709677419355,0.10541935483870966,0.1317741935483871,0.1271935483870968,0.11809677419354839,2.063,1.538,1.97,1.473,1.792,1.496,5.559,8.001,1.917,1.74,1.397,2.02,2.465,2.185,2.597,3.874,2.183,3.693,2.74,3.268,4.085,3.943,3.661,2.063,1.538,1.97,1.473,1.792,1.496,5.559,8.001,1.917,1.74,1.397,2.02,2.465,2.185,2.597,3.874,2.183,3.693,2.74,3.268,4.085,3.943,3.661,0.13687903225806453,0.06668817204301075,0.1007258064516129,0.12062096774193548,0.05700645161290323,16.973,12.404,12.49,14.956999999999999,8.836,0.1298370305949327,0.05914014123971002,0.09423671530601341,0.021943712346201644,0.013292924190309625,0.12634782608695652,0.11119130434782608,0.09658260869565216,0.09861739130434782,0.06620652173913044,0.042989130434782606,0.09516304347826088,11.624,12.786999999999999,11.107,11.341,6.091,3.955,8.755,0.14436054031354198,0.17457788166267688,0.15829829617555072,0.15262519063934504,0.10044806629763256,0.05317759888723231,0.19134200880489521,0.10009451795841211,0.06907608695652175,52.95,12.71,0.1506686440234331,0.14246508410859446,0.09208976157082749,65.66,0.14911593528615008,65.66,65.66,0.721,4.838,23.283,23.257,13.561
FMB,0.2234109396914446,0.22851245446681281,0.04,1.071,0.058,0.113,0.304,159.292,0.2234109396914446,5.138451612903226,0.2803548387096774,0.17738709677419354,0.17287096774193547,0.1501290322580645,0.14100000000000001,0.16496774193548386,0.17751612903225808,0.16216129032258064,0.16948387096774195,0.18270967741935482,0.22138709677419352,0.2609677419354839,0.24719354838709678,0.3433225806451613,0.23987096774193548,0.17483870967741935,0.1853548387096774,0.20967741935483872,0.19893548387096774,0.2843225806451613,0.3215806451612903,0.3493225806451613,0.3230967741935484,8.691,5.499,5.359,4.654,4.371,5.114,5.503,5.027,5.2540000000000004,5.664,6.8629999999999995,8.09,7.663,10.643,7.436,5.42,5.7459999999999996,6.5,6.167,8.814,9.969,10.829,10.016,8.691,5.499,5.359,4.654,4.371,5.114,5.503,5.027,5.2540000000000004,5.664,6.8629999999999995,8.09,7.663,10.643,7.436,5.42,5.7459999999999996,6.5,6.167,8.814,9.969,10.829,10.016,0.16853225806451613,0.24924193548387097,0.1922016129032258,0.3195806451612903,0.1843483870967742,20.898000000000003,46.359,23.833,39.628,28.573999999999998,0.009704499208693769,0.03455969905311622,0.014038891757985544,0.036393132836230135,0.022004015389843885,0.1952826086956522,0.23077391304347827,0.19968695652173912,0.2200521739130435,0.303554347826087,0.15520652173913044,0.26425,17.966,26.539,22.964,25.306,27.927,14.279,24.311,0.19507582780887467,0.23912318123663626,0.21380780700701082,0.21064311897091265,0.25766804456447423,0.2020107459900613,0.2536635577875753,0.22817013232514177,0.20972826086956523,120.702,38.59,0.2262038948841904,0.23511344097248163,0.2234109396914446,159.292,0.22851245446681284,159.292,159.292,21.897,38.101,39.44,46.676,13.178
GPC,0.12133099579242637,0.1103965902636675,0.028,1.36,0.072,0.095,0.12,86.509,0.12133099579242634,2.790612903225806,0.08406451612903225,0.08909677419354839,0.0863225806451613,0.08525806451612904,0.08541935483870969,0.08641935483870967,0.08712903225806452,0.10696774193548386,0.12451612903225807,0.15519354838709679,0.11393548387096775,0.11512903225806452,0.1053225806451613,0.12180645161290322,0.1842258064516129,0.16625806451612904,0.1470322580645161,0.15396774193548385,0.13448387096774195,0.10922580645161291,0.16225806451612904,0.1636774193548387,0.12290322580645162,2.606,2.762,2.676,2.6430000000000002,2.648,2.679,2.701,3.316,3.8600000000000003,4.811,3.532,3.569,3.265,3.776,5.711,5.154,4.558,4.773,4.1690000000000005,3.386,5.03,5.074,3.81,2.606,2.762,2.676,2.6430000000000002,2.648,2.679,2.701,3.316,3.8600000000000003,4.811,3.532,3.569,3.265,3.776,5.711,5.154,4.558,4.773,4.1690000000000005,3.386,5.03,5.074,3.81,0.10125806451612904,0.1326021505376344,0.15043548387096772,0.13951612903225807,0.08603225806451613,12.556000000000001,24.664,18.654,17.3,13.335,0.03433743665878046,0.07264148340374757,0.0372976540814851,0.05182239310929853,0.003716075570345482,0.16847826086956522,0.11852173913043478,0.09764347826086955,0.12545217391304347,0.13895652173913045,0.08842391304347826,0.11743478260869565,15.5,13.629999999999999,11.229,14.427,12.784,8.135,10.804,0.15163797824190955,0.08856807747617698,0.050616755998340875,0.14582386897478927,0.1268894918573351,0.028667182177018677,0.10654517737012474,0.12773156899810964,0.10292934782608695,67.57,18.939,0.11876045315074989,0.07915261876587433,0.12133099579242637,86.509,0.11039659026366747,86.509,86.509,11.040000000000001,17.893,23.795,19.967,13.814
JACL,0.3004726507713885,0.3593382176421992,0.028,1.399,0.076,0.129,0.371,214.237,0.3004726507713885,6.910870967741936,0.3862258064516129,0.12964516129032258,0.09664516129032258,0.08993548387096775,0.09280645161290323,0.096,0.09167741935483871,0.0893225806451613,0.0855483870967742,0.10483870967741936,0.13870967741935483,0.18196774193548387,0.17861290322580645,0.4097096774193549,0.7432580645161291,0.6044193548387097,0.5105483870967742,0.5946774193548386,0.6224516129032258,0.5396451612903226,0.3769677419354839,0.26670967741935486,0.4805483870967742,11.973,4.019,2.996,2.7880000000000003,2.8770000000000002,2.976,2.842,2.769,2.652,3.25,4.3,5.641,5.537,12.701,23.041,18.737,15.827,18.435,19.296,16.729,11.686,8.268,14.897,11.973,4.019,2.996,2.7880000000000003,2.8770000000000002,2.976,2.842,2.769,2.652,3.25,4.3,5.641,5.537,12.701,23.041,18.737,15.827,18.435,19.296,16.729,11.686,8.268,14.897,0.09063709677419356,0.2928494623655914,0.5830241935483871,0.41596774193548386,0.1590516129032258,11.239,54.47,72.29499999999999,51.58,24.653,0.003148516830451428,0.14949543317098668,0.007684891510946028,0.06617769252816783,0.10577769542909708,0.28313043478260874,0.3117913043478261,0.3240173913043478,0.3401130434782609,0.3297826086956522,0.2509782608695652,0.24486956521739128,26.048000000000002,35.856,37.262,39.113,30.34,23.09,22.528,0.3763312551051794,0.3313201794748263,0.3879928553920036,0.4054540830043108,0.380346222440802,0.2699581562309676,0.33083547975986605,0.31875047258979206,0.24792391304347827,168.619,45.618,0.37602821929883995,0.3011245129862669,0.3004726507713885,214.237,0.35933821764219925,214.237,214.237,22.797,44.028,66.669,70.091,10.652
JALG,0.29617671809256657,0.3087409866161959,0.065,1.579,0.12,0.165,0.293,211.17399999999998,0.29617671809256657,6.812064516129031,0.20093548387096774,0.13638709677419353,0.13019354838709676,0.12583870967741934,0.12738709677419355,0.12925806451612903,0.1445483870967742,0.21493548387096775,0.28803225806451616,0.3111935483870968,0.22561290322580643,0.18509677419354836,0.3172258064516129,0.4269032258064516,0.4372258064516129,0.46774193548387094,0.41619354838709677,0.5032903225806452,0.39061290322580644,0.20283870967741938,0.2513870967741936,0.5933225806451613,0.5859032258064516,6.229,4.228,4.036,3.901,3.949,4.007,4.481,6.663,8.929,9.647,6.994,5.7379999999999995,9.834,13.234,13.554,14.5,12.902,15.602,12.109,6.288,7.793,18.393,18.163,6.229,4.228,4.036,3.901,3.949,4.007,4.481,6.663,8.929,9.647,6.994,5.7379999999999995,9.834,13.234,13.554,14.5,12.902,15.602,12.109,6.288,7.793,18.393,18.163,0.1941935483870968,0.31720967741935485,0.4444596774193549,0.40836290322580643,0.1441483870967742,24.08,59.001,55.11300000000001,50.637,22.342999999999996,0.12126213254650325,0.08426311303369581,0.05385594660945803,0.12627074621552045,0.057202804170376965,0.2986630434782609,0.2566260869565217,0.2930956521739131,0.3025217391304348,0.2836630434782608,0.3319782608695652,0.3157608695652174,27.477,29.512,33.706,34.79,26.096999999999998,30.541999999999998,29.05,0.30945539816647527,0.24929361470171074,0.28973929521460656,0.3241759687789812,0.3078326317476064,0.37689870905172157,0.30768709557219515,0.28654442344045367,0.3238695652173913,151.582,59.592,0.2955618019963598,0.34319282659626255,0.2961767180925666,211.174,0.308740986616196,211.174,211.174,23.962,44.983,58.04,59.401,24.788
JLG,0.2756044880785413,0.27399535709600253,0.052,1.491,0.074,0.124,0.469,196.50599999999997,0.2756044880785414,6.338903225806452,0.20570967741935484,0.10774193548387097,0.08606451612903226,0.08187096774193547,0.0853225806451613,0.10064516129032258,0.09035483870967742,0.08651612903225807,0.1275483870967742,0.20058064516129032,0.24364516129032257,0.289,0.3648064516129032,0.41638709677419355,0.4094516129032258,0.4808387096774194,0.43080645161290326,0.4093225806451613,0.416258064516129,0.40693548387096773,0.43090322580645163,0.45270967741935486,0.415483870967742,6.377,3.34,2.668,2.538,2.645,3.12,2.801,2.682,3.954,6.218,7.553,8.959,11.309,12.908,12.693,14.906,13.355,12.689,12.904,12.615,13.358,14.034,12.88,6.377,3.34,2.668,2.538,2.645,3.12,2.801,2.682,3.954,6.218,7.553,8.959,11.309,12.908,12.693,14.906,13.355,12.689,12.904,12.615,13.358,14.034,12.88,0.10126612903225807,0.32064516129032256,0.43430645161290327,0.42650806451612905,0.11334193548387098,12.557,59.64,53.854,52.887,17.567999999999998,0.019974974020008314,0.06027571524914719,0.03159158643696783,0.017065010963550196,0.0597539007277365,0.2723695652173913,0.22244347826086955,0.30425217391304343,0.3005826086956522,0.38240217391304343,0.24795652173913044,0.19910869565217393,25.058,25.581,34.989,34.567,35.181,22.812,18.318,0.2826231412016115,0.21321540838729383,0.31013468617649664,0.27864638291647226,0.36227899090061716,0.21970889396851387,0.17220333346199446,0.2937164461247637,0.2235326086956522,155.376,41.13,0.29380867391750737,0.19836801098796508,0.2756044880785414,196.506,0.2739953570960026,196.506,196.506,25.298000000000002,40.333,51.597,68.555,10.723
JMM,0.5301851332398316,0.8182917596308743,0.081,4.533,0.187,0.307,0.497,378.022,0.5301851332398317,12.194258064516127,0.2966451612903226,0.21135483870967742,0.1934193548387097,0.18687096774193548,0.17903225806451611,0.18961290322580646,0.17051612903225805,0.1947741935483871,0.2234516129032258,0.2366451612903226,0.2738709677419355,0.4018387096774193,0.6662258064516129,0.7310967741935485,0.6395806451612903,0.6806774193548387,0.6971935483870968,0.8941935483870967,1.036258064516129,1.1584193548387096,1.0735483870967741,0.9675483870967742,0.891483870967742,9.196,6.552,5.996,5.793,5.55,5.878,5.286,6.038,6.927,7.336,8.49,12.456999999999999,20.653,22.664,19.826999999999998,21.101,21.613,27.72,32.124,35.911,33.28,29.994,27.636,9.196,6.552,5.996,5.793,5.55,5.878,5.286,6.038,6.927,7.336,8.49,12.456999999999999,20.653,22.664,19.826999999999998,21.101,21.613,27.72,32.124,35.911,33.28,29.994,27.636,0.19458870967741934,0.49154301075268814,0.8270806451612903,1.0227499999999998,0.21346451612903228,24.128999999999998,91.42699999999999,102.55799999999999,126.821,33.086999999999996,0.009922448804089535,0.28631679657899417,0.17695708547945307,0.13176699533158784,0.020107271999091462,0.7098369565217392,0.5427478260869566,0.6323478260869565,0.37071304347826084,0.7086521739130435,0.35153260869565217,0.4066521739130435,65.305,62.416000000000004,72.72,42.632,65.196,32.341,37.412,1.1307171338849362,0.8880526185955173,1.0422590768225128,0.3016993032229563,1.108542330029733,0.21485878066368327,0.2542012456537644,0.5827391304347826,0.37909239130434785,308.269,69.753,0.9342733706258602,0.23633089506801547,0.5301851332398316,378.022,0.8182917596308744,378.022,378.022,46.896,74.436,77.996,157.982,20.712
MANA,0.3693085553997195,0.5007168037735469,0.043,2.731,0.125,0.186,0.3,263.317,0.3693085553997195,8.494096774193551,0.5390967741935484,0.3312258064516129,0.2085483870967742,0.17096774193548386,0.14612903225806453,0.1542258064516129,0.1335483870967742,0.13870967741935483,0.15396774193548385,0.19380645161290322,0.3796129032258065,0.4807741935483871,0.2795483870967742,0.2666774193548387,0.38829032258064516,0.31219354838709673,0.5726774193548387,0.712,0.6922258064516129,0.6641290322580645,0.3705161290322581,0.5135161290322581,0.6917096774193547,16.712,10.268,6.465,5.3,4.53,4.781,4.14,4.3,4.773,6.008,11.768,14.904,8.666,8.267,12.037,9.677999999999999,17.753,22.072,21.459,20.588,11.486,15.919,21.442999999999998,16.712,10.268,6.465,5.3,4.53,4.781,4.14,4.3,4.773,6.008,11.768,14.904,8.666,8.267,12.037,9.677999999999999,17.753,22.072,21.459,20.588,11.486,15.919,21.442999999999998,0.14511290322580644,0.33145161290322583,0.572274193548387,0.5599677419354838,0.27919354838709676,17.994,61.65,70.962,69.43599999999999,43.275,0.002436886917203627,0.15210530612263415,0.14947872011371258,0.1575060362197562,0.21637660709796058,0.3695652173913043,0.33845217391304344,0.3703217391304348,0.45028695652173917,0.38320652173913045,0.4004021739130435,0.26014130434782606,34.0,38.922,42.587,51.783,35.255,36.837,23.933,0.4966110270457843,0.4342849586667492,0.50620626383008,0.6374643266966642,0.5248593854190796,0.5166985020040644,0.28899262629939687,0.3828865784499055,0.3302717391304348,202.547,60.77,0.524644333339384,0.42336102753337773,0.3693085553997195,263.317,0.5007168037735471,263.317,263.317,40.345,26.84,107.638,64.554,23.94
MBGV,0.16568723702664798,0.1939574089333433,0.083,1.817,0.1,0.107,0.132,118.135,0.165687237026648,3.810806451612903,0.1391290322580645,0.10903225806451612,0.10496774193548387,0.112,0.10635483870967742,0.10487096774193548,0.10561290322580645,0.11670967741935484,0.218,0.2230967741935484,0.21493548387096775,0.2043548387096774,0.16029032258064518,0.20438709677419356,0.16974193548387098,0.14551612903225808,0.12967741935483873,0.13274193548387098,0.18519354838709678,0.20683870967741935,0.3120322580645161,0.215,0.1903225806451613,4.313,3.38,3.254,3.472,3.297,3.251,3.274,3.618,6.758,6.916,6.663,6.335,4.969,6.336,5.2620000000000005,4.511,4.0200000000000005,4.115,5.7410000000000005,6.412,9.673,6.665,5.9,4.313,3.38,3.254,3.472,3.297,3.251,3.274,3.618,6.758,6.916,6.663,6.335,4.969,6.336,5.2620000000000005,4.511,4.0200000000000005,4.115,5.7410000000000005,6.412,9.673,6.665,5.9,0.1362983870967742,0.19613440860215056,0.14828225806451614,0.23104838709677417,0.11429677419354838,16.901,36.481,18.387,28.65,17.715999999999998,0.09539709217867473,0.0407048531659337,0.10143277559774148,0.14024645920678913,0.038944455256808556,0.15375,0.1847304347826087,0.19244347826086958,0.1952869565217391,0.20402173913043478,0.10214130434782609,0.10858695652173914,14.145,21.244,22.131,22.458,18.77,9.397,9.99,0.1562434438184967,0.24675957194463707,0.233639405446233,0.21096065839340467,0.23923812121628113,0.010346291496499136,0.026300107455558292,0.18666918714555766,0.10536413043478261,98.748,19.387,0.2210856010849715,0.020189891327296206,0.16568723702664798,118.135,0.19395740893334332,118.135,118.135,13.843,28.724,35.944,18.022,21.602
