archivo,media_consumo,std_consumo,min_consumo,max_consumo,percentil_25_consumo,percentil_50_consumo,percentil_75_consumo,sum_consumo,promedio_por_dia,consumo_medio_diario,consumo_1.0,consumo_2.0,consumo_3.0,consumo_4.0,consumo_5.0,consumo_6.0,consumo_7.0,consumo_8.0,consumo_9.0,consumo_10.0,consumo_11.0,consumo_12.0,consumo_13.0,consumo_14.0,consumo_15.0,consumo_16.0,consumo_17.0,consumo_18.0,consumo_19.0,consumo_20.0,consumo_21.0,consumo_22.0,consumo_23.0,consumo_1.0_suma,consumo_2.0_suma,consumo_3.0_suma,consumo_4.0_suma,consumo_5.0_suma,consumo_6.0_suma,consumo_7.0_suma,consumo_8.0_suma,consumo_9.0_suma,consumo_10.0_suma,consumo_11.0_suma,consumo_12.0_suma,consumo_13.0_suma,consumo_14.0_suma,consumo_15.0_suma,consumo_16.0_suma,consumo_17.0_suma,consumo_18.0_suma,consumo_19.0_suma,consumo_20.0_suma,consumo_21.0_suma,consumo_22.0_suma,consumo_23.0_suma,consumo_1.0_std,consumo_2.0_std,consumo_3.0_std,consumo_4.0_std,consumo_5.0_std,consumo_6.0_std,consumo_7.0_std,consumo_8.0_std,consumo_9.0_std,consumo_10.0_std,consumo_11.0_std,consumo_12.0_std,consumo_13.0_std,consumo_14.0_std,consumo_15.0_std,consumo_16.0_std,consumo_17.0_std,consumo_18.0_std,consumo_19.0_std,consumo_20.0_std,consumo_21.0_std,consumo_22.0_std,consumo_23.0_std,Mañana,Mediodia,Tarde,Noche,Madrugada,s_Mañana,s_Mediodia,s_Tarde,s_Noche,s_Madrugada,std_Mañana,std_Mediodia,std_Tarde,std_Noche,std_Madrugada,Lunes,Martes,Miércoles,Jueves,Viernes,Sábado,Domingo,s_Lunes,s_Martes,s_Miércoles,s_Jueves,s_Viernes,s_Sábado,s_Domingo,std_Lunes,std_Martes,std_Miércoles,std_Jueves,std_Viernes,std_Sábado,std_Domingo,Entre semana,Fin de semana,s_Entre semana,s_Fin de semana,std_Entre semana,std_Fin de semana,otoño,s_otoño,std_otoño,2023-11,Noviembre,2023-10-30/2023-11-05,2023-11-06/2023-11-12,2023-11-13/2023-11-19,2023-11-20/2023-11-26,2023-11-27/2023-12-03
ABLD,0.17581594202898548,0.2302848227746348,0.032,1.524,0.059,0.073,0.1815,121.31299999999999,0.1758159420289855,4.0437666666666665,0.09653333333333333,0.078,0.06333333333333332,0.08073333333333334,0.069,0.062200000000000005,0.0662,0.21316666666666664,0.16369999999999998,0.12923333333333334,0.1356,0.14416666666666667,0.1436666666666667,0.10339999999999999,0.30526666666666663,0.3344333333333333,0.2149333333333333,0.12013333333333334,0.113,0.16256666666666666,0.4075333333333333,0.4708666666666667,0.36610000000000004,2.896,2.34,1.9,2.422,2.0700000000000003,1.866,1.986,6.395,4.911,3.877,4.068,4.325,4.3100000000000005,3.102,9.158,10.033,6.4479999999999995,3.604,3.39,4.877,12.225999999999999,14.126000000000001,10.983,2.896,2.34,1.9,2.422,2.0700000000000003,1.866,1.986,6.395,4.911,3.877,4.068,4.325,4.3100000000000005,3.102,9.158,10.033,6.4479999999999995,3.604,3.39,4.877,12.225999999999999,14.126000000000001,10.983,0.12631666666666666,0.16022222222222224,0.19562499999999997,0.35176666666666667,0.07752,15.158,28.839999999999996,23.474999999999998,42.212,11.628,0.0941864089650962,0.059249888313540444,0.12279308647942742,0.11345745799913237,0.0377179506152671,0.22657608695652173,0.17008695652173914,0.17690434782608697,0.19808695652173913,0.1686413043478261,0.12019565217391304,0.1643804347826087,20.845,15.648,20.344,22.78,15.515,11.058,15.123,0.2956041767499106,0.1868516866261342,0.23258067734048474,0.27039391554770126,0.18788578372445455,0.13650457780275524,0.24362923742293616,0.18800790513833993,0.14228804347826088,95.132,26.181,0.23992407201742938,0.19817166667752167,0.1758159420289855,121.313,0.23028482277463475,121.313,121.313,24.156,18.691,31.557,31.907,15.002
AJVG,0.22829565217391304,0.3366700496514394,0.018,1.892,0.045,0.0735,0.22525,157.524,0.22829565217391307,5.2508,0.10223333333333334,0.07139999999999999,0.06793333333333333,0.09079999999999999,0.07213333333333334,0.05556666666666667,0.19546666666666665,0.8511666666666666,0.3243,0.2469,0.22716666666666666,0.3068,0.2778333333333333,0.14743333333333333,0.12510000000000002,0.12743333333333334,0.13103333333333333,0.13056666666666666,0.19973333333333335,0.3459333333333333,0.3577666666666667,0.4878,0.3083,3.067,2.142,2.038,2.7239999999999998,2.164,1.667,5.864,25.535,9.729,7.407,6.8149999999999995,9.204,8.334999999999999,4.423,3.753,3.823,3.931,3.9170000000000003,5.992,10.378,10.733,14.634,9.249,3.067,2.142,2.038,2.7239999999999998,2.164,1.667,5.864,25.535,9.729,7.407,6.8149999999999995,9.204,8.334999999999999,4.423,3.753,3.823,3.931,3.9170000000000003,5.992,10.378,10.733,14.634,9.249,0.35662499999999997,0.22187222222222222,0.14719166666666667,0.37495,0.0809,42.795,39.937000000000005,17.663,44.99400000000001,12.135,0.25785413236333976,0.10727959897796573,0.04970674379891004,0.08438513687007963,0.0363293182269047,0.2668586956521739,0.20844565217391303,0.20212173913043477,0.24213043478260868,0.19068478260869565,0.21730434782608696,0.27360869565217394,24.551,19.177,23.244,27.845,17.543,19.992,25.172,0.35965641667489107,0.31841176479349925,0.2947988058435337,0.3722093714173004,0.3096988586717581,0.3194590461681917,0.3747342782081912,0.22205533596837945,0.24545652173913043,112.36,45.164,0.33243924316664786,0.3483881358216411,0.22829565217391304,157.524,0.33667004965143943,157.524,157.524,26.113,27.658,35.192,45.129,23.432
FMB,0.1807289855072464,0.1849550148118432,0.024,1.531,0.049,0.144,0.238,124.703,0.18072898550724636,4.156766666666667,0.10096666666666666,0.123,0.1154,0.08773333333333334,0.04733333333333333,0.06023333333333333,0.058666666666666666,0.13223333333333334,0.21726666666666666,0.2031,0.2037,0.25129999999999997,0.26493333333333335,0.2981333333333333,0.28950000000000004,0.20183333333333334,0.18536666666666665,0.2212,0.21336666666666665,0.25956666666666667,0.25883333333333336,0.1784,0.18469999999999998,3.029,3.69,3.462,2.632,1.42,1.807,1.76,3.967,6.518,6.093,6.111,7.539,7.948,8.943999999999999,8.685,6.055,5.561,6.636,6.401,7.787,7.765000000000001,5.352,5.5409999999999995,3.029,3.69,3.462,2.632,1.42,1.807,1.76,3.967,6.518,6.093,6.111,7.539,7.948,8.943999999999999,8.685,6.055,5.561,6.636,6.401,7.787,7.765000000000001,5.352,5.5409999999999995,0.1171,0.25177777777777777,0.2054416666666667,0.220375,0.09488666666666666,14.052,45.32000000000001,24.653,26.445,14.232999999999999,0.07487203480253549,0.054534449743776275,0.03221782918886444,0.059775760158256946,0.027303725172801246,0.21003260869565218,0.172,0.18081739130434782,0.18121739130434783,0.20569565217391303,0.16042391304347828,0.1547717391304348,19.323,15.824,20.794,20.84,18.924,14.759,14.239,0.19973506909425537,0.13833372611268654,0.146334127557012,0.14336089795795248,0.20495213802736378,0.21334341266974888,0.23918304651876382,0.1891403162055336,0.15759782608695652,95.705,28.998,0.1670119521278738,0.22602949949078993,0.1807289855072464,124.703,0.18495501481184315,124.703,124.703,21.3,29.091,25.125,33.014,16.173000000000002
GPC,0.1890449275362319,0.22693198794198446,0.027,1.983,0.06425,0.0985,0.206,130.441,0.18904492753623192,4.348033333333333,0.06016666666666667,0.07586666666666667,0.06233333333333333,0.0742,0.06226666666666667,0.07906666666666666,0.13173333333333334,0.37296666666666667,0.3327666666666667,0.23276666666666665,0.09666666666666666,0.08203333333333333,0.16136666666666669,0.2296,0.3411,0.2698,0.1727,0.17776666666666668,0.17906666666666665,0.23616666666666666,0.4539666666666667,0.3234666666666667,0.1402,1.805,2.276,1.8699999999999999,2.226,1.868,2.372,3.952,11.189,9.983,6.983,2.9,2.461,4.841,6.888,10.233,8.094,5.181,5.333,5.372,7.085,13.619,9.704,4.2059999999999995,1.805,2.276,1.8699999999999999,2.226,1.868,2.372,3.952,11.189,9.983,6.983,2.9,2.461,4.841,6.888,10.233,8.094,5.181,5.333,5.372,7.085,13.619,9.704,4.2059999999999995,0.22913333333333336,0.1905888888888889,0.19983333333333336,0.28845,0.06696666666666667,27.496,34.306,23.979999999999997,34.614000000000004,10.045,0.15045051041603677,0.12557326411046138,0.03968489113627673,0.0974316326156234,0.004121829490551116,0.21017391304347824,0.16569565217391305,0.2059913043478261,0.17758260869565218,0.14914130434782608,0.18191304347826087,0.23144565217391302,19.336,15.244,23.689,20.422,13.721,16.736,21.293,0.29637964251750754,0.18873760721301158,0.22797281677182535,0.19971066714645558,0.16541207827072488,0.22497231342105203,0.2615250440439832,0.1826324110671937,0.20667934782608696,92.412,38.029,0.22008821646478605,0.24453120177636897,0.1890449275362319,130.441,0.2269319879419845,130.441,130.441,20.595,31.537,28.359,34.006,15.944
JACL,0.10235652173913044,0.08234001769056933,0.03,1.047,0.063,0.0875,0.123,70.626,0.10235652173913044,2.3542,0.10436666666666668,0.07123333333333333,0.07016666666666667,0.07496666666666667,0.0727,0.06793333333333333,0.06696666666666666,0.08016666666666666,0.0754,0.07759999999999999,0.1389,0.103,0.0989,0.13006666666666666,0.2771,0.11,0.09643333333333333,0.0925,0.11646666666666668,0.09213333333333334,0.09666666666666666,0.1172,0.12333333333333334,3.1310000000000002,2.137,2.105,2.249,2.181,2.038,2.009,2.405,2.262,2.328,4.167,3.09,2.967,3.902,8.313,3.3,2.893,2.775,3.494,2.7640000000000002,2.9,3.516,3.7,3.1310000000000002,2.137,2.105,2.249,2.181,2.038,2.009,2.405,2.262,2.328,4.167,3.09,2.967,3.902,8.313,3.3,2.893,2.775,3.494,2.7640000000000002,2.9,3.516,3.7,0.07261666666666666,0.13759444444444444,0.10385,0.10733333333333335,0.07868666666666667,8.714,24.767000000000003,12.462,12.879999999999999,11.803,0.0013477032451377317,0.07340452036272747,0.005526127897032729,0.005874438762370221,0.003519268036563477,0.09579347826086958,0.0976413043478261,0.09038260869565218,0.09187826086956523,0.09691304347826088,0.11531521739130435,0.13418478260869565,8.813,8.983,10.394,10.566,8.916,10.609,12.345,0.059265381560444017,0.04637936769438033,0.04994674051298897,0.0419582390182226,0.054694687484134134,0.10227961344435091,0.15898675937321377,0.09421343873517786,0.12475,47.672,22.954,0.05028601263341052,0.13364434696390948,0.10235652173913044,70.626,0.08234001769056935,70.626,70.626,13.291,16.573,16.658,15.53,8.574
JALG,0.3094202898550725,0.28338003970405795,0.06,1.476,0.08925,0.198,0.435,213.5,0.3094202898550724,7.116666666666666,0.21369999999999997,0.09403333333333334,0.09383333333333334,0.0827,0.08463333333333334,0.08426666666666667,0.1115,0.22173333333333334,0.2517333333333333,0.373,0.3327666666666667,0.17736666666666664,0.5050666666666667,0.6307666666666666,0.5275666666666666,0.6258,0.2859333333333333,0.33059999999999995,0.29433333333333334,0.34746666666666665,0.49166666666666664,0.5931666666666667,0.3630333333333333,6.411,2.821,2.815,2.481,2.539,2.528,3.345,6.652,7.552,11.19,9.983,5.321,15.152,18.923,15.827,18.774,8.578,9.918,8.83,10.424,14.75,17.795,10.891,6.411,2.821,2.815,2.481,2.539,2.528,3.345,6.652,7.552,11.19,9.983,5.321,15.152,18.923,15.827,18.774,8.578,9.918,8.83,10.424,14.75,17.795,10.891,0.16730833333333334,0.4244222222222222,0.38416666666666666,0.44883333333333336,0.11377999999999999,20.076999999999998,76.396,46.099999999999994,53.86,17.067,0.11665458261107152,0.11555362641123601,0.06259004028703445,0.08515022685252371,0.052896244379402324,0.3459021739130435,0.3139565217391304,0.3206260869565217,0.3217391304347826,0.2960978260869565,0.2667608695652174,0.29497826086956525,31.823,28.884,36.872,37.0,27.241,24.542,27.138,0.32972379582566325,0.2685700806098061,0.3062140479683293,0.28557922325271357,0.274361558987711,0.24249528689495906,0.26364786614803976,0.319802371541502,0.2808695652173913,161.82,51.68,0.2931963969803952,0.2529953332208006,0.3094202898550725,213.5,0.28338003970405795,213.5,213.5,33.663,54.789,46.458,49.275999999999996,29.314
JLG,0.11233768115942028,0.1165261596939445,0.028,1.208,0.056,0.0755,0.13975,77.51299999999999,0.11233768115942029,2.5837666666666674,0.11683333333333333,0.07013333333333334,0.058966666666666674,0.05846666666666667,0.057466666666666666,0.05563333333333333,0.05433333333333333,0.05923333333333333,0.0644,0.11256666666666666,0.16763333333333333,0.10513333333333333,0.08800000000000001,0.16463333333333333,0.1857,0.15763333333333335,0.18353333333333335,0.10796666666666667,0.10643333333333334,0.12073333333333333,0.14473333333333332,0.19456666666666667,0.14903333333333332,3.505,2.104,1.7690000000000001,1.754,1.724,1.669,1.63,1.777,1.932,3.377,5.029,3.154,2.64,4.939,5.571,4.729,5.506,3.239,3.193,3.622,4.342,5.837,4.471,3.505,2.104,1.7690000000000001,1.754,1.724,1.669,1.63,1.777,1.932,3.377,5.029,3.154,2.64,4.939,5.571,4.729,5.506,3.239,3.193,3.622,4.342,5.837,4.471,0.058399999999999994,0.13727777777777778,0.1388916666666667,0.15226666666666666,0.07237333333333333,7.007999999999999,24.71,16.667,18.272,10.856,0.010129323279994717,0.08398167141143492,0.07540410335557111,0.012907756886249126,0.010332105924222857,0.13225,0.11428260869565217,0.12157391304347825,0.12539130434782608,0.0938586956521739,0.10111956521739131,0.09231521739130435,12.167,10.514,13.981,14.42,8.635,9.303,8.493,0.19200844904715655,0.07298627389951694,0.09577770872671645,0.13246990360953256,0.0559918717652347,0.1233162504902485,0.08479502490950024,0.11801778656126483,0.09671739130434782,59.717,17.796,0.11983948703707312,0.10562593303103482,0.11233768115942029,77.513,0.11652615969394446,77.513,77.513,13.296,22.042,18.393,13.306,10.476
JMM,0.23518405797101452,0.21291012033037976,0.073,1.604,0.123,0.174,0.25475000000000003,162.27700000000002,0.2351840579710145,5.409233333333335,0.16786666666666666,0.12093333333333334,0.12153333333333333,0.11643333333333333,0.11326666666666667,0.1118,0.11706666666666667,0.16633333333333333,0.2366,0.21473333333333333,0.20816666666666667,0.31803333333333333,0.35683333333333334,0.4745,0.3333333333333333,0.20453333333333334,0.18446666666666667,0.20973333333333333,0.37803333333333333,0.4063666666666667,0.3371,0.2852,0.2263666666666667,5.036,3.628,3.646,3.493,3.398,3.354,3.512,4.99,7.098,6.442,6.245,9.541,10.705,14.235,10.0,6.136,5.534,6.292,11.341,12.191,10.113,8.556000000000001,6.791,5.036,3.628,3.646,3.493,3.398,3.354,3.512,4.99,7.098,6.442,6.245,9.541,10.705,14.235,10.0,6.136,5.534,6.292,11.341,12.191,10.113,8.556000000000001,6.791,0.15795,0.3176,0.24419166666666667,0.3137583333333333,0.12800666666666666,18.954,57.168,29.302999999999997,37.651,19.201,0.01803206279012729,0.12621526718580323,0.12555536045111343,0.10022576123160275,0.010902462504092644,0.2278804347826087,0.2297608695652174,0.22590434782608695,0.22371304347826088,0.27975,0.23245652173913042,0.23201086956521738,20.965,21.138,25.979,25.727,25.737,21.386,21.345,0.19777080987691112,0.2010567887392431,0.1812019312623662,0.19066457021992103,0.30225382772369713,0.17965378260796833,0.22580948376336482,0.23625691699604745,0.23223369565217392,119.546,42.731,0.21642239869068713,0.2034828029560135,0.23518405797101447,162.277,0.21291012033037984,162.277,162.277,26.25,40.88,37.985,36.505,20.657
MANA,0.25982173913043477,0.2312318343358538,0.046,1.704,0.117,0.173,0.31,179.277,0.25982173913043477,5.975899999999999,0.22103333333333333,0.16333333333333336,0.1646,0.1154,0.12523333333333334,0.1162,0.11606666666666667,0.13986666666666667,0.13116666666666668,0.17823333333333333,0.2904666666666667,0.2152,0.16813333333333333,0.40523333333333333,0.5269666666666667,0.3257333333333333,0.2376,0.25146666666666667,0.27149999999999996,0.29023333333333334,0.4015333333333333,0.6786333333333333,0.44206666666666666,6.631,4.9,4.938,3.462,3.757,3.4859999999999998,3.4819999999999998,4.196,3.935,5.3469999999999995,8.714,6.456,5.044,12.157,15.809000000000001,9.772,7.128,7.544,8.145,8.707,12.046,20.358999999999998,13.262,6.631,4.9,4.938,3.462,3.757,3.4859999999999998,3.4819999999999998,4.196,3.935,5.3469999999999995,8.714,6.456,5.044,12.157,15.809000000000001,9.772,7.128,7.544,8.145,8.707,12.046,20.358999999999998,13.262,0.125825,0.2973722222222222,0.271575,0.45311666666666667,0.15792,15.099,53.527,32.589,54.373999999999995,23.688000000000002,0.006860906109528369,0.09543118304562918,0.04854943852342606,0.11220352840955695,0.06399999463925547,0.22857608695652173,0.2650217391304348,0.25746956521739134,0.26482608695652177,0.2758369565217391,0.2647065217391304,0.26165217391304346,21.029,24.382,29.609,30.455000000000002,25.377,24.352999999999998,24.072,0.1713583247637491,0.22442047360427342,0.21207369299038775,0.22671247966600372,0.261079259456028,0.2678055936700269,0.25129285200289647,0.258600790513834,0.26317934782608693,130.852,48.425,0.220545333835476,0.2589745549616894,0.25982173913043477,179.277,0.23123183433585381,179.277,179.277,30.313,39.909,39.469,46.137,23.449
MBGV,0.20231594202898553,0.2142930562780679,0.05,2.18,0.078,0.128,0.21875,139.598,0.20231594202898553,4.653266666666667,0.16726666666666665,0.10096666666666666,0.07616666666666667,0.0735,0.07716666666666666,0.08693333333333333,0.094,0.1253,0.23700000000000002,0.3008,0.25656666666666667,0.21596666666666667,0.18299999999999997,0.20693333333333333,0.20403333333333334,0.21333333333333335,0.22573333333333334,0.21503333333333333,0.2870666666666667,0.38656666666666667,0.3525,0.3122666666666667,0.25516666666666665,5.018,3.029,2.285,2.205,2.315,2.608,2.82,3.759,7.11,9.024000000000001,7.697,6.479,5.489999999999999,6.208,6.121,6.4,6.772,6.451,8.612,11.597,10.575,9.368,7.655,5.018,3.029,2.285,2.205,2.315,2.608,2.82,3.759,7.11,9.024000000000001,7.697,6.479,5.489999999999999,6.208,6.121,6.4,6.772,6.451,8.612,11.597,10.575,9.368,7.655,0.13580833333333334,0.22788333333333333,0.23529166666666668,0.32662500000000005,0.09901333333333333,16.297,41.019,28.235,39.195,14.852,0.051232284192072666,0.0842478759088818,0.051790207926753554,0.030416104224931392,0.07228898042982432,0.21098913043478262,0.1890326086956522,0.17342608695652173,0.19031304347826086,0.15480434782608696,0.24092391304347824,0.26694565217391303,19.411,17.391000000000002,19.944,21.886,14.242,22.165,24.559,0.20459289486149554,0.1757102667065501,0.13633730493525942,0.16553339437387457,0.1397601744221688,0.30140310103247503,0.3121959572050452,0.18354545454545454,0.2539347826086956,92.874,46.724,0.16533197000589642,0.306285441507973,0.20231594202898553,139.598,0.21429305627806797,139.598,139.598,26.079,31.926,32.883,28.511,20.199
