archivo,media_consumo,std_consumo,min_consumo,max_consumo,percentil_25_consumo,percentil_50_consumo,percentil_75_consumo,sum_consumo,promedio_por_dia,consumo_medio_diario,consumo_1.0,consumo_2.0,consumo_3.0,consumo_4.0,consumo_5.0,consumo_6.0,consumo_7.0,consumo_8.0,consumo_9.0,consumo_10.0,consumo_11.0,consumo_12.0,consumo_13.0,consumo_14.0,consumo_15.0,consumo_16.0,consumo_17.0,consumo_18.0,consumo_19.0,consumo_20.0,consumo_21.0,consumo_22.0,consumo_23.0,consumo_1.0_suma,consumo_2.0_suma,consumo_3.0_suma,consumo_4.0_suma,consumo_5.0_suma,consumo_6.0_suma,consumo_7.0_suma,consumo_8.0_suma,consumo_9.0_suma,consumo_10.0_suma,consumo_11.0_suma,consumo_12.0_suma,consumo_13.0_suma,consumo_14.0_suma,consumo_15.0_suma,consumo_16.0_suma,consumo_17.0_suma,consumo_18.0_suma,consumo_19.0_suma,consumo_20.0_suma,consumo_21.0_suma,consumo_22.0_suma,consumo_23.0_suma,consumo_1.0_std,consumo_2.0_std,consumo_3.0_std,consumo_4.0_std,consumo_5.0_std,consumo_6.0_std,consumo_7.0_std,consumo_8.0_std,consumo_9.0_std,consumo_10.0_std,consumo_11.0_std,consumo_12.0_std,consumo_13.0_std,consumo_14.0_std,consumo_15.0_std,consumo_16.0_std,consumo_17.0_std,consumo_18.0_std,consumo_19.0_std,consumo_20.0_std,consumo_21.0_std,consumo_22.0_std,consumo_23.0_std,Mañana,Mediodia,Tarde,Noche,Madrugada,s_Mañana,s_Mediodia,s_Tarde,s_Noche,s_Madrugada,std_Mañana,std_Mediodia,std_Tarde,std_Noche,std_Madrugada,Lunes,Martes,Miércoles,Jueves,Viernes,Sábado,Domingo,s_Lunes,s_Martes,s_Miércoles,s_Jueves,s_Viernes,s_Sábado,s_Domingo,std_Lunes,std_Martes,std_Miércoles,std_Jueves,std_Viernes,std_Sábado,std_Domingo,Entre semana,Fin de semana,s_Entre semana,s_Fin de semana,std_Entre semana,std_Fin de semana,invierno,s_invierno,std_invierno,2023-12,Diciembre,2023-11-27/2023-12-03,2023-12-04/2023-12-10,2023-12-11/2023-12-17,2023-12-18/2023-12-24,2023-12-25/2023-12-31
ABLD,0.21969144460028048,0.27898108680460737,0.028,1.843,0.06,0.086,0.23,156.64,0.21969144460028048,5.052903225806452,0.08774193548387098,0.07009677419354839,0.06261290322580645,0.0703225806451613,0.07583870967741936,0.06858064516129032,0.084,0.19254838709677422,0.21541935483870966,0.14835483870967742,0.2144193548387097,0.29719354838709683,0.397741935483871,0.3407741935483871,0.37190322580645163,0.36416129032258066,0.30151612903225805,0.26148387096774195,0.25996774193548383,0.22519354838709676,0.3279032258064516,0.3175806451612903,0.2975483870967742,2.72,2.173,1.941,2.18,2.351,2.126,2.604,5.969,6.678,4.599,6.647,9.213000000000001,12.33,10.564,11.529,11.289,9.347,8.106,8.059,6.981,10.165,9.844999999999999,9.224,2.72,2.173,1.941,2.18,2.351,2.126,2.604,5.969,6.678,4.599,6.647,9.213000000000001,12.33,10.564,11.529,11.289,9.347,8.106,8.059,6.981,10.165,9.844999999999999,9.224,0.14013709677419356,0.2950645161290323,0.29678225806451614,0.2920564516129033,0.0733225806451613,17.377000000000002,54.882000000000005,36.800999999999995,36.215,11.365000000000002,0.10251192728402371,0.11235524438811584,0.022956185362989927,0.04625540675574624,0.009002650900318241,0.16216304347826088,0.23800000000000002,0.18845652173913044,0.14108695652173914,0.21577391304347826,0.3045739130434783,0.2579739130434783,14.919,21.896,17.338,12.98,24.814,35.026,29.667,0.2026407679047064,0.30819388788143176,0.22675767251608403,0.1660727135974615,0.26104389161324737,0.38389828835868645,0.2853778800138869,0.1903664596273292,0.28127391304347826,91.947,64.693,0.2406660111320319,0.3383117973737586,0.21969144460028048,156.64,0.27898108680460737,156.64,156.64,23.538,35.18,27.765,32.538,37.619
AJVG,0.3494474053295933,0.5489764585803486,0.019,3.569,0.041,0.07,0.324,249.156,0.34944740532959323,8.037290322580645,0.08741935483870968,0.10296774193548386,0.10158064516129033,0.07719354838709677,0.07203225806451613,0.07383870967741936,0.3023548387096774,0.8708709677419355,0.5025806451612903,0.29119354838709677,0.36700000000000005,0.3331290322580645,0.28632258064516125,0.32325806451612904,0.3974838709677419,0.35538709677419356,0.35054838709677416,0.4248387096774194,0.4035161290322581,0.4865161290322581,0.6014193548387097,0.6636451612903226,0.5621935483870968,2.71,3.1919999999999997,3.149,2.393,2.233,2.289,9.373,26.997,15.58,9.027,11.377,10.327,8.876,10.021,12.322,11.017,10.866999999999999,13.17,12.509,15.082,18.644,20.573,17.428,2.71,3.1919999999999997,3.149,2.393,2.233,2.289,9.373,26.997,15.58,9.027,11.377,10.327,8.876,10.021,12.322,11.017,10.866999999999999,13.17,12.509,15.082,18.644,20.573,17.428,0.43741129032258064,0.33306451612903226,0.3835725806451613,0.5784435483870968,0.08823870967741934,54.239,61.95,47.563,71.727,13.677,0.3373159041028306,0.04450614529534603,0.06151299813322688,0.03794268829134117,0.038366285357140796,0.36771739130434783,0.27649999999999997,0.6126086956521739,0.4288586956521739,0.28355652173913043,0.30455652173913045,0.2299130434782609,33.83,25.438,56.36,39.455,32.609,35.024,26.44,0.5144247470267731,0.5165920978919399,0.8329727771038392,0.5815314677173822,0.42103663197099583,0.4968742505907065,0.3516723845519369,0.3885962732919255,0.26723478260869565,187.692,61.464,0.5933944345238183,0.4311248784211144,0.3494474053295933,249.156,0.5489764585803485,249.156,249.156,8.206,15.172,52.032,72.398,101.348
FMB,0.1943141654978962,0.21860015454228474,0.01,2.377,0.049,0.155,0.253,138.546,0.1943141654978962,4.469225806451613,0.1444516129032258,0.09190322580645162,0.08754838709677419,0.09309677419354839,0.06561290322580644,0.07832258064516129,0.10629032258064516,0.11970967741935483,0.15096774193548387,0.17361290322580644,0.2858064516129032,0.24016129032258066,0.27754838709677415,0.3229354838709677,0.2409032258064516,0.22141935483870967,0.22193548387096773,0.2485483870967742,0.2489032258064516,0.3927741935483871,0.2336774193548387,0.23864516129032257,0.18445161290322581,4.478,2.849,2.714,2.886,2.034,2.428,3.295,3.711,4.68,5.382,8.86,7.445,8.604,10.011,7.468,6.864,6.88,7.705,7.716,12.176,7.244,7.398,5.718,4.478,2.849,2.714,2.886,2.034,2.428,3.295,3.711,4.68,5.382,8.86,7.445,8.604,10.011,7.468,6.864,6.88,7.705,7.716,12.176,7.244,7.398,5.718,0.11382258064516129,0.25682795698924726,0.2352016129032258,0.26238709677419353,0.0965225806451613,14.113999999999999,47.769999999999996,29.165,32.536,14.960999999999999,0.04782280213931603,0.06438029552149116,0.03414208610050264,0.11964001542991137,0.0196103027946841,0.20054347826086955,0.24145652173913043,0.17451086956521739,0.1851413043478261,0.1686608695652174,0.19016521739130435,0.2046,18.45,22.214,16.055,17.033,19.396,21.869,23.529,0.181414491893805,0.2498824960358996,0.12197112742165775,0.18746484397281674,0.2014477811818658,0.2007215025516079,0.3139149734025374,0.19285300207039335,0.1973826086956522,93.148,45.398,0.19421966732711063,0.26299250599875584,0.1943141654978962,138.546,0.21860015454228487,138.546,138.546,15.254999999999999,32.189,32.006,31.615,27.481
GPC,0.19845021037868163,0.24390310081615726,0.027,1.787,0.061,0.101,0.213,141.495,0.19845021037868157,4.564354838709677,0.07803225806451614,0.099,0.09783870967741935,0.07558064516129032,0.06667741935483872,0.05993548387096775,0.14429032258064517,0.24438709677419354,0.2316774193548387,0.25261290322580643,0.21841935483870967,0.10774193548387097,0.1317741935483871,0.3139354838709677,0.34900000000000003,0.25112903225806454,0.21951612903225806,0.24238709677419357,0.2703548387096774,0.26938709677419354,0.46503225806451615,0.24425806451612903,0.13138709677419355,2.419,3.069,3.033,2.343,2.067,1.858,4.473,7.576,7.182,7.8309999999999995,6.771,3.34,4.085,9.732,10.819,7.785,6.805,7.514,8.381,8.350999999999999,14.416,7.572,4.073,2.419,3.069,3.033,2.343,2.067,1.858,4.473,7.576,7.182,7.8309999999999995,6.771,3.34,4.085,9.732,10.819,7.785,6.805,7.514,8.381,8.350999999999999,14.416,7.572,4.073,0.1700725806451613,0.22891397849462367,0.2458467741935484,0.27751612903225803,0.0834258064516129,21.089,42.578,30.485,34.412,12.931,0.12043586883643302,0.11685791125451149,0.043241090727974246,0.09338199314950946,0.057764874244462465,0.22259782608695652,0.2018369565217391,0.15984782608695652,0.2177717391304348,0.17777391304347825,0.18423478260869566,0.2267391304347826,20.479,18.569,14.706,20.035,20.444,21.187,26.075,0.2734745125349183,0.2519043197555663,0.2164086455374508,0.24843700876563202,0.1849633468133034,0.21656680547973628,0.29999947622634165,0.19509937888198758,0.20548695652173912,94.233,47.262,0.2350447085122604,0.2619258492095551,0.19845021037868163,141.495,0.2439031008161574,141.495,141.495,12.565,27.841,31.473,29.323,40.293
JACL,0.10314586255259468,0.09620039090922565,0.03,1.122,0.059,0.088,0.119,73.543,0.10314586255259467,2.372354838709678,0.11029032258064517,0.08174193548387096,0.06716129032258064,0.06874193548387098,0.06735483870967743,0.07083870967741936,0.065,0.059774193548387096,0.081,0.07990322580645161,0.14429032258064517,0.10893548387096773,0.11406451612903226,0.15761290322580646,0.2603548387096774,0.11377419354838708,0.07658064516129033,0.0877741935483871,0.09990322580645161,0.10364516129032258,0.1132258064516129,0.11951612903225807,0.12087096774193548,3.419,2.534,2.082,2.1310000000000002,2.088,2.196,2.015,1.853,2.511,2.477,4.473,3.377,3.536,4.886,8.071,3.5269999999999997,2.374,2.721,3.097,3.213,3.51,3.705,3.747,3.419,2.534,2.082,2.1310000000000002,2.088,2.196,2.015,1.853,2.511,2.477,4.473,3.377,3.536,4.886,8.071,3.5269999999999997,2.374,2.721,3.097,3.213,3.51,3.705,3.747,0.06915322580645161,0.14419354838709678,0.09450806451612903,0.11431451612903226,0.07905806451612903,8.575,26.82,11.719,14.175,12.254000000000001,0.005749687161636378,0.07120555631939623,0.008527101038218873,0.009641978733004625,0.00453702497106435,0.09669565217391306,0.08866304347826087,0.09407608695652173,0.0936304347826087,0.09305217391304348,0.1308086956521739,0.11719130434782608,8.896,8.157,8.655,8.614,10.701,15.043,13.477,0.05198853194134404,0.04807646774748548,0.03940971980728939,0.049465209750218016,0.04565677511228426,0.167448336921444,0.13807663112950438,0.09321532091097309,0.124,45.023,28.52,0.0469180358543934,0.15328328086304693,0.10314586255259468,73.543,0.09620039090922565,73.543,73.543,7.925,14.357,16.725,16.573,17.963
JALG,0.3228499298737728,0.3137709278182983,0.039,1.841,0.085,0.196,0.438,230.192,0.32284992987377276,7.425548387096773,0.1797741935483871,0.10703225806451613,0.09806451612903226,0.0795483870967742,0.08441935483870967,0.08851612903225806,0.11503225806451613,0.13596774193548386,0.22151612903225806,0.49922580645161285,0.3975806451612903,0.2809032258064516,0.3660322580645161,0.6258387096774194,0.5375161290322581,0.5922580645161291,0.3914838709677419,0.4485806451612903,0.3990322580645161,0.3738064516129032,0.45319354838709675,0.5512258064516129,0.39899999999999997,5.573,3.318,3.04,2.466,2.617,2.7439999999999998,3.566,4.215,6.867,15.475999999999999,12.325,8.708,11.347,19.401,16.663,18.36,12.136,13.906,12.37,11.588,14.049,17.088,12.369,5.573,3.318,3.04,2.466,2.617,2.7439999999999998,3.566,4.215,6.867,15.475999999999999,12.325,8.708,11.347,19.401,16.663,18.36,12.136,13.906,12.37,11.588,14.049,17.088,12.369,0.14025806451612902,0.4511827956989247,0.45783870967741935,0.4443064516129032,0.10976774193548389,17.392,83.92,56.772,55.094,17.014000000000003,0.10796195646941117,0.09166765166796645,0.06387037738073265,0.08547695810053924,0.040609798067436496,0.32468478260869565,0.30681521739130435,0.3438260869565218,0.33645652173913043,0.3107478260869565,0.29961739130434784,0.34187826086956524,29.871,28.227,31.632,30.954,35.736,34.456,39.316,0.32333040051587236,0.31195593269195965,0.32476180988248327,0.3274949681030591,0.31502586481052414,0.2808065633326238,0.32263004036251386,0.3238509316770186,0.32074782608695657,156.42,73.772,0.31929099121120247,0.30252312607052123,0.3228499298737728,230.192,0.3137709278182985,230.192,230.192,20.769000000000002,52.163,48.807,54.61,53.842999999999996
JLG,0.12585413744740534,0.13589875005778235,0.037,1.219,0.05,0.091,0.154,89.73400000000001,0.12585413744740534,2.894645161290323,0.12632258064516128,0.07735483870967742,0.05190322580645161,0.055,0.051741935483870974,0.04806451612903226,0.04864516129032258,0.047580645161290326,0.06393548387096774,0.13945161290322583,0.1978709677419355,0.19148387096774194,0.08748387096774193,0.1147741935483871,0.19012903225806452,0.21503225806451615,0.1704516129032258,0.12416129032258065,0.1405483870967742,0.1606451612903226,0.1569032258064516,0.2182258064516129,0.21693548387096773,3.916,2.398,1.609,1.705,1.604,1.49,1.508,1.475,1.982,4.323,6.134,5.936,2.7119999999999997,3.558,5.894,6.666,5.284,3.849,4.357,4.98,4.864,6.765000000000001,6.725,3.916,2.398,1.609,1.705,1.604,1.49,1.508,1.475,1.982,4.323,6.134,5.936,2.7119999999999997,3.558,5.894,6.666,5.284,3.849,4.357,4.98,4.864,6.765000000000001,6.725,0.05205645161290323,0.15353225806451612,0.1625483870967742,0.18817741935483873,0.07246451612903225,6.455000000000001,28.557000000000002,20.156,23.334000000000003,11.232,0.012937542901134717,0.08349565280980699,0.09370447471471466,0.08917644171983388,0.055955831249288254,0.12642391304347828,0.09821739130434783,0.1295,0.12815217391304348,0.14132173913043478,0.12924347826086957,0.12389565217391303,11.631,9.036,11.914,11.790000000000001,16.252,14.863,14.248,0.10971974625647729,0.05448960503487053,0.16022192713254305,0.12425106935950458,0.17905705979831002,0.1500617762441521,0.12281460667408228,0.12551345755693583,0.1265695652173913,60.623,29.111,0.13558776813677173,0.13684320525746851,0.1258541374474053,89.734,0.1358987500577824,89.734,89.734,5.714,19.866,19.447,21.85,22.857
JMM,0.24436605890603086,0.12648219807804506,0.069,2.194,0.171,0.238,0.293,174.233,0.2443660589060309,5.6204193548387105,0.23919354838709678,0.1932258064516129,0.16109677419354837,0.1464516129032258,0.1433225806451613,0.15016129032258066,0.15487096774193548,0.18248387096774193,0.19319354838709676,0.22648387096774195,0.275258064516129,0.24903225806451612,0.252,0.3723548387096774,0.32229032258064516,0.25661290322580643,0.23380645161290323,0.24393548387096775,0.3071935483870968,0.3181935483870968,0.33706451612903227,0.33980645161290324,0.3223870967741935,7.415,5.99,4.994,4.54,4.443,4.655,4.801,5.657,5.989,7.021,8.533,7.72,7.812,11.543,9.991,7.955,7.248,7.562,9.523,9.864,10.449,10.534,9.994,7.415,5.99,4.994,4.54,4.443,4.655,4.801,5.657,5.989,7.021,8.533,7.72,7.812,11.543,9.991,7.955,7.248,7.562,9.523,9.864,10.449,10.534,9.994,0.1701774193548387,0.2829032258064516,0.2603870967741936,0.3293629032258064,0.17665806451612903,21.102,52.62,32.288,40.841,27.381999999999998,0.010323646014425971,0.12964691326333075,0.008959668390932766,0.02691975530319686,0.006114174748302114,0.22845652173913045,0.2379021739130435,0.24143478260869564,0.23768478260869566,0.24740869565217394,0.2638086956521739,0.2474695652173913,21.018,21.887,22.212,21.867,28.452,30.338,28.459,0.09100554421505674,0.08702949604608398,0.059642765162389616,0.07093518622663343,0.12220488229631288,0.2179498934711215,0.13147225187455794,0.23899792960662528,0.2556391304347826,115.436,58.797,0.09048242072598892,0.17977522413618166,0.24436605890603086,174.233,0.12648219807804503,174.233,174.233,14.002,38.507,40.271,39.986,41.467
MANA,0.26306732117812065,0.2595960852631748,0.055,2.238,0.12,0.172,0.316,187.567,0.2630673211781206,6.050548387096773,0.20225806451612902,0.13825806451612901,0.1404516129032258,0.11629032258064516,0.11829032258064516,0.11651612903225807,0.10877419354838709,0.14487096774193547,0.14693548387096772,0.19716129032258065,0.2943225806451613,0.30422580645161296,0.20519354838709677,0.36716129032258066,0.5320645161290323,0.32783870967741935,0.3061935483870968,0.28496774193548385,0.35277419354838707,0.36080645161290326,0.3470967741935484,0.6057741935483871,0.3323225806451613,6.27,4.286,4.354,3.605,3.667,3.612,3.372,4.491,4.555,6.112,9.124,9.431000000000001,6.361,11.382,16.494,10.163,9.492,8.834,10.936,11.185,10.76,18.779,10.302,6.27,4.286,4.354,3.605,3.667,3.612,3.372,4.491,4.555,6.112,9.124,9.431000000000001,6.361,11.382,16.494,10.163,9.492,8.834,10.936,11.185,10.76,18.779,10.302,0.1292741935483871,0.31668817204301075,0.31794354838709676,0.41150000000000003,0.14310967741935485,16.03,58.904,39.425,51.026,22.182000000000002,0.025277478905527073,0.08908947354433593,0.09132904229189044,0.13776715716584015,0.01932326875642264,0.27054347826086955,0.28639130434782606,0.2758260869565217,0.28181521739130433,0.22374782608695654,0.23385217391304347,0.28175652173913046,24.89,26.348,25.375999999999998,25.927,25.731,26.893,32.402,0.23952385978759813,0.21509435478881408,0.2558604791805445,0.2962250009611912,0.18985085759932077,0.25713346399610487,0.33170679272314085,0.2655734989648033,0.25780434782608697,128.272,59.295,0.23998467335564502,0.29709446100239983,0.26306732117812065,187.567,0.2595960852631748,187.567,187.567,15.542,42.274,43.525,44.043,42.183
MBGV,0.20861430575035061,0.2231775661463605,0.049,1.534,0.074,0.116,0.244,148.742,0.20861430575035061,4.798129032258065,0.2052258064516129,0.10974193548387097,0.09135483870967741,0.07409677419354839,0.07335483870967742,0.07135483870967743,0.06858064516129032,0.12825806451612903,0.3375806451612903,0.3487741935483871,0.27296774193548384,0.22261290322580646,0.242,0.2761290322580645,0.25141935483870964,0.2200967741935484,0.21229032258064517,0.14835483870967742,0.2161290322580645,0.2665161290322581,0.32070967741935485,0.3186451612903226,0.32193548387096776,6.362,3.402,2.832,2.297,2.274,2.212,2.126,3.976,10.465,10.812000000000001,8.462,6.901,7.502,8.56,7.794,6.823,6.581,4.599,6.7,8.262,9.942,9.878,9.98,6.362,3.402,2.832,2.297,2.274,2.212,2.126,3.976,10.465,10.812000000000001,8.462,6.901,7.502,8.56,7.794,6.823,6.581,4.599,6.7,8.262,9.942,9.878,9.98,0.15144354838709678,0.2689838709677419,0.19921774193548386,0.3069516129032258,0.11075483870967742,18.779,50.031,24.703,38.062,17.167,0.08367837600943037,0.03409609591822737,0.05704908777725719,0.020813739314478278,0.08537842757828215,0.16818478260869565,0.18331521739130432,0.22265217391304346,0.20606521739130432,0.20606086956521738,0.21270434782608694,0.2504695652173913,15.472999999999999,16.865,20.483999999999998,18.958,23.697,24.461,28.804,0.15100294221337238,0.1898437141699517,0.22384666233156222,0.20904133900795305,0.19654959139217312,0.27256043829725224,0.26929672285936157,0.19767494824016563,0.23158695652173913,95.477,53.265,0.19573215019528595,0.2710028098991403,0.20861430575035061,148.742,0.2231775661463603,148.742,148.742,13.279,35.383,34.385,31.329,34.366
