archivo,media_consumo,std_consumo,min_consumo,max_consumo,percentil_25_consumo,percentil_50_consumo,percentil_75_consumo,sum_consumo,promedio_por_dia,consumo_medio_diario,consumo_1.0,consumo_2.0,consumo_3.0,consumo_4.0,consumo_5.0,consumo_6.0,consumo_7.0,consumo_8.0,consumo_9.0,consumo_10.0,consumo_11.0,consumo_12.0,consumo_13.0,consumo_14.0,consumo_15.0,consumo_16.0,consumo_17.0,consumo_18.0,consumo_19.0,consumo_20.0,consumo_21.0,consumo_22.0,consumo_23.0,consumo_1.0_suma,consumo_2.0_suma,consumo_3.0_suma,consumo_4.0_suma,consumo_5.0_suma,consumo_6.0_suma,consumo_7.0_suma,consumo_8.0_suma,consumo_9.0_suma,consumo_10.0_suma,consumo_11.0_suma,consumo_12.0_suma,consumo_13.0_suma,consumo_14.0_suma,consumo_15.0_suma,consumo_16.0_suma,consumo_17.0_suma,consumo_18.0_suma,consumo_19.0_suma,consumo_20.0_suma,consumo_21.0_suma,consumo_22.0_suma,consumo_23.0_suma,consumo_1.0_std,consumo_2.0_std,consumo_3.0_std,consumo_4.0_std,consumo_5.0_std,consumo_6.0_std,consumo_7.0_std,consumo_8.0_std,consumo_9.0_std,consumo_10.0_std,consumo_11.0_std,consumo_12.0_std,consumo_13.0_std,consumo_14.0_std,consumo_15.0_std,consumo_16.0_std,consumo_17.0_std,consumo_18.0_std,consumo_19.0_std,consumo_20.0_std,consumo_21.0_std,consumo_22.0_std,consumo_23.0_std,Mañana,Mediodia,Tarde,Noche,Madrugada,s_Mañana,s_Mediodia,s_Tarde,s_Noche,s_Madrugada,std_Mañana,std_Mediodia,std_Tarde,std_Noche,std_Madrugada,Lunes,Martes,Miércoles,Jueves,Viernes,Sábado,Domingo,s_Lunes,s_Martes,s_Miércoles,s_Jueves,s_Viernes,s_Sábado,s_Domingo,std_Lunes,std_Martes,std_Miércoles,std_Jueves,std_Viernes,std_Sábado,std_Domingo,Entre semana,Fin de semana,s_Entre semana,s_Fin de semana,std_Entre semana,std_Fin de semana,invierno,s_invierno,std_invierno,2023-02,Febrero,2023-01-30/2023-02-05,2023-02-06/2023-02-12,2023-02-13/2023-02-19,2023-02-20/2023-02-26,2023-02-27/2023-03-05
ABLD,0.21979968944099382,0.24777627858629742,0.053,1.662,0.07275,0.118,0.24325,141.55100000000002,0.2197996894409938,5.0553928571428575,0.11089285714285714,0.09335714285714285,0.0840357142857143,0.07764285714285714,0.09721428571428571,0.09167857142857143,0.07721428571428571,0.1367857142857143,0.23914285714285713,0.09375,0.19939285714285715,0.29707142857142854,0.37592857142857145,0.4817142857142857,0.4393214285714286,0.3854285714285714,0.3028571428571429,0.19464285714285715,0.18075,0.2087142857142857,0.42475,0.29471428571428576,0.16839285714285715,3.105,2.614,2.353,2.174,2.722,2.567,2.162,3.83,6.696,2.625,5.583,8.318,10.526,13.488,12.301,10.792,8.48,5.45,5.061,5.844,11.893,8.252,4.715,3.105,2.614,2.353,2.174,2.722,2.567,2.162,3.83,6.696,2.625,5.583,8.318,10.526,13.488,12.301,10.792,8.48,5.45,5.061,5.844,11.893,8.252,4.715,0.13620535714285714,0.31452976190476195,0.26591964285714287,0.2741428571428572,0.09262857142857142,15.255,52.841,29.782999999999998,30.704000000000004,12.967999999999998,0.04535342151527716,0.12696548645957315,0.0872581460282323,0.09013334207607074,0.0321431467993859,0.2149891304347826,0.2548804347826087,0.20575,0.2140217391304348,0.22595652173913044,0.2044891304347826,0.2185108695652174,19.779,23.449,18.929,19.69,20.788,18.813,20.103,0.23597948758710557,0.28777776233078983,0.21209300391029476,0.26374808903055935,0.2669316459009182,0.2400010757560698,0.22387435126713268,0.22311956521739132,0.2115,102.635,38.916,0.2541439663018851,0.23154961464816956,0.21979968944099376,141.551,0.2477762785862975,141.551,141.551,26.036,32.42,33.982,37.33,11.783
AJVG,0.45598913043478256,0.49853734263017285,0.018,2.903,0.047,0.2455,0.7475,293.657,0.4559891304347826,10.487750000000002,0.18667857142857142,0.13714285714285715,0.07060714285714285,0.05253571428571429,0.06389285714285714,0.06896428571428571,0.1484285714285714,0.6042500000000001,0.5849642857142857,0.7522142857142857,0.5905357142857143,0.5862857142857143,0.3715357142857143,0.3413928571428571,0.7723571428571429,0.8253571428571428,0.5116785714285714,0.47710714285714284,0.5073571428571428,0.6615714285714286,0.7244285714285714,0.8527857142857143,0.5956785714285714,5.226999999999999,3.84,1.977,1.471,1.789,1.931,4.156,16.919,16.379,21.062,16.535,16.416,10.403,9.559,21.626,23.11,14.327,13.359,14.206,18.524,20.284,23.878,16.679,5.226999999999999,3.84,1.977,1.471,1.789,1.931,4.156,16.919,16.379,21.062,16.535,16.416,10.403,9.559,21.626,23.11,14.327,13.359,14.206,18.524,20.284,23.878,16.679,0.3516517857142857,0.5690535714285715,0.580375,0.7086160714285714,0.10217142857142858,39.385000000000005,95.60100000000001,65.002,79.365,14.304,0.18841785679164513,0.06929075702257963,0.14584712763564986,0.10780497858463642,0.07278446145744055,0.4901739130434783,0.5221739130434783,0.5112173913043477,0.431554347826087,0.441,0.4047065217391304,0.39109782608695653,45.096000000000004,48.04,47.032,39.703,40.572,37.233,35.981,0.5452158884572955,0.5923689748703214,0.4783751763674078,0.3774110873861386,0.49533476303660284,0.4979144093896848,0.47644999183597103,0.4792239130434783,0.39790217391304344,220.443,73.214,0.502098376634577,0.48601504529957035,0.45598913043478256,293.657,0.49853734263017285,293.657,293.657,54.012,72.299,62.736,68.12,36.49
FJAG,0.31827639751552794,0.2393074793551966,0.065,1.749,0.155,0.25,0.37925,204.97,0.31827639751552794,7.320357142857143,0.1657857142857143,0.12632142857142856,0.1309642857142857,0.12160714285714284,0.13532142857142856,0.12832142857142856,0.2857857142857143,0.32196428571428576,0.24653571428571427,0.2075357142857143,0.22803571428571429,0.4488214285714286,0.6198214285714286,0.4743214285714286,0.3505714285714286,0.3146071428571428,0.27025,0.34732142857142856,0.4273214285714286,0.5660714285714286,0.5241071428571429,0.4345357142857143,0.44442857142857145,4.642,3.537,3.667,3.405,3.789,3.593,8.002,9.015,6.903,5.811,6.385,12.567,17.355,13.281,9.816,8.809,7.567,9.725,11.965,15.85,14.675,12.167,12.444,4.642,3.537,3.667,3.405,3.789,3.593,8.002,9.015,6.903,5.811,6.385,12.567,17.355,13.281,9.816,8.809,7.567,9.725,11.965,15.85,14.675,12.167,12.444,0.24565178571428575,0.38818452380952384,0.339875,0.49228571428571427,0.13599999999999998,27.512999999999998,65.21499999999999,38.066,55.136,19.04,0.10401821952013308,0.11088659182444048,0.05424452601867625,0.029273505858081642,0.05044153371759622,0.31696739130434787,0.27806521739130435,0.2994782608695652,0.30680434782608695,0.30675,0.31205434782608693,0.40781521739130433,29.161,25.582,27.552,28.226,28.221,28.709,37.519,0.22775524027876645,0.14935574497519363,0.1983796160135649,0.21579977691636387,0.20247146726130336,0.26796364211842666,0.34834478086989173,0.30161304347826084,0.3599347826086956,138.742,66.228,0.20009787976205645,0.31361064246564085,0.31827639751552794,204.97,0.2393074793551966,204.97,204.97,39.623,49.564,54.66,47.098,14.025
GPC,0.19089751552795034,0.24075895173357942,0.028,1.578,0.057,0.089,0.202,122.93800000000002,0.19089751552795028,4.390642857142857,0.06553571428571428,0.10635714285714286,0.12503571428571428,0.09896428571428571,0.07042857142857142,0.06553571428571428,0.07925,0.3839642857142857,0.277,0.17728571428571427,0.163,0.09589285714285714,0.09103571428571429,0.07142857142857142,0.32539285714285715,0.3571785714285714,0.19185714285714286,0.21164285714285716,0.2779642857142857,0.43260714285714286,0.44649999999999995,0.1997857142857143,0.077,1.835,2.978,3.501,2.771,1.972,1.835,2.219,10.751,7.756,4.9639999999999995,4.564,2.685,2.549,2.0,9.111,10.001,5.372,5.926,7.783,12.113,12.501999999999999,5.594,2.156,1.835,2.978,3.501,2.771,1.972,1.835,2.219,10.751,7.756,4.9639999999999995,4.564,2.685,2.549,2.0,9.111,10.001,5.372,5.926,7.783,12.113,12.501999999999999,5.594,2.156,0.20143750000000002,0.15400595238095238,0.2596607142857143,0.28897321428571426,0.09326428571428572,22.561,25.873,29.082,32.365,13.057,0.15189353685153742,0.09715920675568805,0.054945361410032506,0.14630366732410988,0.07489160892981213,0.16068478260869565,0.24391304347826087,0.18401086956521737,0.1611086956521739,0.17725,0.20477173913043475,0.20454347826086958,14.783,22.44,16.929,14.822,16.307,18.839,18.818,0.19855892525608948,0.28560718632930643,0.2353025405618051,0.18773253457762545,0.2084806695126422,0.27710668010637984,0.26913779358354994,0.18539347826086958,0.20465760869565217,85.281,37.657,0.22695924878922435,0.27240398548463196,0.1908975155279503,122.938,0.24075895173357947,122.938,122.938,23.57,27.04,31.783,30.584,9.961
JACL,0.1041444099378882,0.08049019307820283,0.028,0.72,0.06175,0.09,0.119,67.069,0.1041444099378882,2.395321428571428,0.12185714285714286,0.07725000000000001,0.07103571428571429,0.071,0.06457142857142857,0.06485714285714286,0.06560714285714285,0.07846428571428572,0.08910714285714286,0.08428571428571428,0.11482142857142856,0.1447857142857143,0.12417857142857143,0.12114285714285714,0.2815714285714286,0.09685714285714286,0.0980357142857143,0.08696428571428572,0.10035714285714285,0.09492857142857143,0.0980357142857143,0.11421428571428571,0.13139285714285714,3.412,2.1630000000000003,1.989,1.988,1.808,1.816,1.837,2.197,2.495,2.36,3.215,4.054,3.477,3.392,7.884,2.712,2.745,2.435,2.81,2.658,2.745,3.198,3.679,3.412,2.1630000000000003,1.989,1.988,1.808,1.816,1.837,2.197,2.495,2.36,3.215,4.054,3.477,3.392,7.884,2.712,2.745,2.435,2.81,2.658,2.745,3.198,3.679,0.07450892857142857,0.1451309523809524,0.09555357142857143,0.10964285714285714,0.08114285714285714,8.344999999999999,24.382,10.702000000000002,12.280000000000001,11.36,0.006220700818984212,0.044825714263826824,0.030117804275360677,0.0074464726961542315,0.008302356295342471,0.099,0.09883695652173913,0.09855434782608696,0.10149999999999999,0.10080434782608695,0.12346739130434782,0.10684782608695652,9.108,9.093,9.067,9.338,9.274,11.359,9.83,0.0615254793998764,0.05217727120304291,0.059531017703385224,0.06369855174574608,0.056551491489437174,0.12967037255439134,0.10566949665203623,0.09973913043478261,0.11515760869565217,45.88,21.189,0.058589348479339595,0.11825060055642568,0.1041444099378882,67.069,0.08049019307820283,67.069,67.069,12.289,14.91,17.504,17.406,4.96
JALG,0.3118136645962733,0.3085850607525838,0.028,2.044,0.08,0.195,0.4085,200.808,0.3118136645962733,7.171714285714286,0.17339285714285715,0.0912142857142857,0.09014285714285715,0.08553571428571428,0.07760714285714286,0.07892857142857143,0.11260714285714286,0.16835714285714287,0.29300000000000004,0.3158214285714286,0.24264285714285716,0.2635,0.4115714285714286,0.5742857142857142,0.5878214285714286,0.6908928571428571,0.38335714285714284,0.37360714285714286,0.23225,0.33667857142857144,0.49039285714285713,0.5547142857142857,0.5433928571428571,4.855,2.554,2.524,2.395,2.173,2.21,3.153,4.714,8.204,8.843,6.7940000000000005,7.378,11.524000000000001,16.08,16.459,19.345,10.734,10.461,6.503,9.427,13.731,15.532,15.215,4.855,2.554,2.524,2.395,2.173,2.21,3.153,4.714,8.204,8.843,6.7940000000000005,7.378,11.524000000000001,16.08,16.459,19.345,10.734,10.461,6.503,9.427,13.731,15.532,15.215,0.1632232142857143,0.39927380952380953,0.4200267857142857,0.48129464285714285,0.10357857142857144,18.281,67.078,47.043,53.905,14.501,0.10011085742577214,0.09858702948965149,0.1086131171505973,0.08529239053092033,0.04363328057267824,0.3447173913043478,0.2742282608695652,0.29493478260869566,0.3095760869565218,0.26975,0.2897282608695652,0.3997608695652174,31.714,25.229,27.134,28.481,24.817,26.655,36.778,0.3513657912413478,0.24443467422151338,0.29584380361858637,0.2958426309358158,0.2470426677121377,0.35939198053944255,0.33389961541945135,0.2986413043478261,0.34474456521739133,137.375,63.433,0.28959416353554246,0.3503021412070388,0.3118136645962733,200.808,0.30858506075258396,200.808,200.808,35.581,50.953,47.813,51.996,14.465
JLG,0.13483385093167702,0.15598839143139,0.048,1.132,0.06,0.0915,0.143,86.833,0.13483385093167702,3.1011785714285716,0.10071428571428571,0.06978571428571428,0.06332142857142857,0.06521428571428571,0.06421428571428571,0.06471428571428571,0.06742857142857142,0.06899999999999999,0.11685714285714285,0.18389285714285714,0.18796428571428572,0.18757142857142856,0.19585714285714287,0.16460714285714287,0.17932142857142858,0.14453571428571427,0.15578571428571428,0.15075,0.12375,0.11875,0.17310714285714288,0.26657142857142857,0.1874642857142857,2.82,1.954,1.773,1.826,1.798,1.812,1.888,1.932,3.272,5.149,5.263,5.252,5.484,4.609,5.021,4.047,4.362,4.221,3.465,3.3249999999999997,4.847,7.464,5.249,2.82,1.954,1.773,1.826,1.798,1.812,1.888,1.932,3.272,5.149,5.263,5.252,5.484,4.609,5.021,4.047,4.362,4.221,3.465,3.3249999999999997,4.847,7.464,5.249,0.07949999999999999,0.18320238095238095,0.14370535714285712,0.18647321428571428,0.07265,8.904,30.778,16.095,20.885,10.171,0.05760865497579944,0.06046580263541885,0.04919150989377778,0.07127012235633526,0.006960913662343127,0.1448369565217391,0.14856521739130435,0.12795652173913044,0.13271739130434784,0.13630434782608694,0.16657608695652174,0.08688043478260869,13.325,13.668,11.772,12.21,12.54,15.325,7.993,0.19939938811802865,0.17224282018866746,0.12231628188488389,0.11391825930951076,0.1367961296228434,0.22438669691305851,0.04257116663165711,0.13807608695652174,0.12672826086956523,63.515,23.318,0.15189375613372239,0.16593629716275027,0.13483385093167702,86.833,0.15598839143139,86.833,86.833,14.847,22.343,19.355,23.393,6.895
JMM,0.2758850931677019,0.2248855575444091,0.091,1.517,0.154,0.206,0.292,177.67000000000002,0.2758850931677018,6.345357142857142,0.2067142857142857,0.16446428571428573,0.15403571428571428,0.14764285714285716,0.16160714285714287,0.14114285714285715,0.13760714285714287,0.14792857142857144,0.21564285714285716,0.2107857142857143,0.22649999999999998,0.4017857142857143,0.47285714285714286,0.4387857142857143,0.6022142857142858,0.32721428571428574,0.2910714285714286,0.24039285714285713,0.28835714285714287,0.26817857142857143,0.41282142857142856,0.32703571428571426,0.3605714285714286,5.788,4.605,4.313,4.134,4.525,3.952,3.853,4.142,6.038,5.902,6.342,11.25,13.24,12.286,16.862000000000002,9.162,8.15,6.731,8.074,7.509,11.559,9.157,10.096,5.788,4.605,4.313,4.134,4.525,3.952,3.853,4.142,6.038,5.902,6.342,11.25,13.24,12.286,16.862000000000002,9.162,8.15,6.731,8.074,7.509,11.559,9.157,10.096,0.16058035714285715,0.3921547619047619,0.2867589285714286,0.3421517857142857,0.16689285714285715,17.985,65.882,32.117,38.321,23.365000000000002,0.05663579975397464,0.10544976575974019,0.038298991658274835,0.07814137040795027,0.010408514796338206,0.27267391304347827,0.25625,0.23111956521739133,0.2573695652173913,0.3115652173913044,0.29877173913043475,0.30344565217391306,25.086,23.575,21.263,23.678,28.664,27.487,27.917,0.20715986865250763,0.17771415652269076,0.15912285960276273,0.1866527431785363,0.2733916525791382,0.24866483481117196,0.28417907077510646,0.26579565217391304,0.3011086956521739,122.266,55.404,0.20546988918651524,0.2662928236023542,0.2758850931677018,177.67,0.224885557544409,177.67,177.67,27.836,49.722,40.061,48.021,12.03
LFZA,0.27579037267080747,0.3603529259770247,0.021,1.898,0.07875,0.129,0.25725,177.609,0.27579037267080747,6.343178571428573,0.20557142857142857,0.18796428571428572,0.167,0.17675,0.112,0.11285714285714285,0.17071428571428574,0.11646428571428571,0.06207142857142857,0.071,0.19599999999999998,0.3133214285714286,0.4100357142857143,0.3870714285714286,0.3469642857142857,0.36060714285714285,0.44325,0.3577142857142857,0.3264642857142857,0.3232857142857143,0.5535714285714286,0.43860714285714286,0.5038928571428571,5.756,5.263,4.676,4.949,3.136,3.1599999999999997,4.78,3.261,1.738,1.988,5.4879999999999995,8.773,11.481,10.838000000000001,9.715,10.097,12.411,10.016,9.141,9.052,15.5,12.281,14.109,5.756,5.263,4.676,4.949,3.136,3.1599999999999997,4.78,3.261,1.738,1.988,5.4879999999999995,8.773,11.481,10.838000000000001,9.715,10.097,12.411,10.016,9.141,9.052,15.5,12.281,14.109,0.1155267857142857,0.28739880952380953,0.37200892857142853,0.4548392857142857,0.16985714285714287,12.939,48.283,41.665,50.942,23.779999999999998,0.06447091942125159,0.17654498934393736,0.01850620000332584,0.09366533930468889,0.04452475192576715,0.2451086956521739,0.2909021739130435,0.2545652173913044,0.29381521739130434,0.2986413043478261,0.30316304347826084,0.24433695652173912,22.55,26.763,23.42,27.031,27.475,27.891,22.479,0.3398852248589233,0.38904238758248627,0.3254366569364523,0.39167428521662256,0.34841851749031394,0.3920970466655191,0.3346043514746937,0.2766065217391304,0.27375,127.239,50.37,0.35900279394120604,0.36468339813366474,0.27579037267080747,177.609,0.3603529259770248,177.609,177.609,33.323,45.069,43.069,43.511,12.637
MANA,0.2868276397515528,0.23604951726349782,0.061,1.756,0.131,0.2095,0.3435,184.71699999999998,0.2868276397515528,6.597035714285712,0.32075,0.21185714285714283,0.14392857142857143,0.13275,0.10728571428571429,0.11839285714285715,0.1295,0.12871428571428573,0.1594642857142857,0.2906071428571429,0.37646428571428575,0.36357142857142855,0.2265714285714286,0.28314285714285714,0.5122142857142857,0.3293214285714286,0.27725,0.23164285714285718,0.326,0.30624999999999997,0.43257142857142855,0.6860714285714286,0.5027142857142858,8.981,5.9319999999999995,4.03,3.717,3.004,3.315,3.626,3.604,4.465,8.137,10.541,10.18,6.344,7.928,14.342,9.221,7.763,6.486000000000001,9.128,8.575,12.112,19.21,14.076,8.981,5.9319999999999995,4.03,3.717,3.004,3.315,3.626,3.604,4.465,8.137,10.541,10.18,6.344,7.928,14.342,9.221,7.763,6.486000000000001,9.128,8.575,12.112,19.21,14.076,0.13401785714285713,0.34209523809523806,0.2910535714285714,0.48190178571428566,0.1833142857142857,15.01,57.471999999999994,32.598,53.973,25.664,0.020574292626573686,0.05616521139684879,0.07020307599080727,0.09728050158185857,0.04573690366822596,0.2991086956521739,0.3127608695652174,0.2520978260869565,0.31269565217391304,0.3275,0.24071739130434783,0.26291304347826083,27.518,28.774,23.193,28.768,30.13,22.146,24.188,0.22775697750601537,0.25185471869930026,0.17234172925781446,0.2368014766033946,0.29662406369820227,0.2123018960792254,0.22900303046000553,0.3008326086956522,0.2518152173913043,138.383,46.333999999999996,0.24080155776024248,0.22048728594736103,0.2868276397515528,184.717,0.23604951726349777,184.717,184.717,32.733,48.775999999999996,46.215,44.756,12.237
