archivo,media_consumo,std_consumo,min_consumo,max_consumo,percentil_25_consumo,percentil_50_consumo,percentil_75_consumo,sum_consumo,promedio_por_dia,consumo_medio_diario,consumo_1.0,consumo_2.0,consumo_3.0,consumo_4.0,consumo_5.0,consumo_6.0,consumo_7.0,consumo_8.0,consumo_9.0,consumo_10.0,consumo_11.0,consumo_12.0,consumo_13.0,consumo_14.0,consumo_15.0,consumo_16.0,consumo_17.0,consumo_18.0,consumo_19.0,consumo_20.0,consumo_21.0,consumo_22.0,consumo_23.0,consumo_1.0_suma,consumo_2.0_suma,consumo_3.0_suma,consumo_4.0_suma,consumo_5.0_suma,consumo_6.0_suma,consumo_7.0_suma,consumo_8.0_suma,consumo_9.0_suma,consumo_10.0_suma,consumo_11.0_suma,consumo_12.0_suma,consumo_13.0_suma,consumo_14.0_suma,consumo_15.0_suma,consumo_16.0_suma,consumo_17.0_suma,consumo_18.0_suma,consumo_19.0_suma,consumo_20.0_suma,consumo_21.0_suma,consumo_22.0_suma,consumo_23.0_suma,consumo_1.0_std,consumo_2.0_std,consumo_3.0_std,consumo_4.0_std,consumo_5.0_std,consumo_6.0_std,consumo_7.0_std,consumo_8.0_std,consumo_9.0_std,consumo_10.0_std,consumo_11.0_std,consumo_12.0_std,consumo_13.0_std,consumo_14.0_std,consumo_15.0_std,consumo_16.0_std,consumo_17.0_std,consumo_18.0_std,consumo_19.0_std,consumo_20.0_std,consumo_21.0_std,consumo_22.0_std,consumo_23.0_std,Mañana,Mediodia,Tarde,Noche,Madrugada,s_Mañana,s_Mediodia,s_Tarde,s_Noche,s_Madrugada,std_Mañana,std_Mediodia,std_Tarde,std_Noche,std_Madrugada,Lunes,Martes,Miércoles,Jueves,Viernes,Sábado,Domingo,s_Lunes,s_Martes,s_Miércoles,s_Jueves,s_Viernes,s_Sábado,s_Domingo,std_Lunes,std_Martes,std_Miércoles,std_Jueves,std_Viernes,std_Sábado,std_Domingo,Entre semana,Fin de semana,s_Entre semana,s_Fin de semana,std_Entre semana,std_Fin de semana,primavera,s_primavera,std_primavera,2024-03,Marzo,2024-02-26/2024-03-03,2024-03-04/2024-03-10,2024-03-11/2024-03-17,2024-03-18/2024-03-24,2024-03-25/2024-03-31
ABLD,0.22457162921348317,0.2564207719789186,0.048,1.836,0.071,0.108,0.2505,159.895,0.2245698712227464,5.157903225806451,0.09958064516129032,0.08906451612903227,0.0754,0.08261290322580644,0.07996774193548388,0.07729032258064515,0.07538709677419354,0.14887096774193548,0.18296774193548387,0.13825806451612901,0.2419032258064516,0.21416129032258066,0.33677419354838706,0.32325806451612904,0.4389354838709677,0.4334516129032258,0.33825806451612905,0.28348387096774197,0.19993548387096777,0.23361290322580644,0.5130322580645161,0.36038709677419356,0.19374193548387098,3.087,2.761,2.262,2.561,2.479,2.396,2.3369999999999997,4.615,5.672,4.286,7.499,6.639,10.44,10.021,13.607,13.437,10.486,8.788,6.198,7.242,15.904,11.172,6.006,3.087,2.761,2.262,2.561,2.479,2.396,2.3369999999999997,4.615,5.672,4.286,7.499,6.639,10.44,10.021,13.607,13.437,10.486,8.788,6.198,7.242,15.904,11.172,6.006,0.12112903225806451,0.28221505376344086,0.3137822580645161,0.3251935483870968,0.0853251612903226,15.02,52.492,38.909,40.324,13.150000000000002,0.07215178800045033,0.08701692909259542,0.04680671340777464,0.09465042128277738,0.018868466900286436,0.21974999999999997,0.2745326086956522,0.21115217391304347,0.20164130434782607,0.22517391304347825,0.23591304347826086,0.20542982456140352,20.217,25.257,19.426,18.551,25.895,27.13,23.419,0.26656779130764724,0.327101168981653,0.25640969683805803,0.23948647356887573,0.24379309824541306,0.25355467818278427,0.20794970330015813,0.22638923395445135,0.22073799126637556,109.346,50.549,0.2674441533359093,0.2319702253227732,0.22457162921348317,159.895,0.2564207719789185,159.895,159.895,19.229,31.511,37.85,32.492,38.813
AJVG,0.3514831460674157,0.4919516742383025,0.028,4.021,0.049,0.1185,0.45825000000000005,250.256,0.35151217646308813,8.072774193548387,0.16370967741935485,0.09409677419354838,0.0829,0.08170967741935484,0.06764516129032258,0.09006451612903225,0.24064516129032257,0.7662903225806451,0.3762258064516129,0.2800967741935484,0.38883870967741935,0.4858387096774194,0.36435483870967744,0.557258064516129,0.3910645161290323,0.29061290322580646,0.38570967741935486,0.3306774193548387,0.2827741935483871,0.38899999999999996,0.6303548387096775,0.6894193548387096,0.6461612903225806,5.075,2.917,2.487,2.533,2.097,2.792,7.46,23.755,11.663,8.683,12.054,15.061,11.295,17.275,12.123000000000001,9.009,11.957,10.251,8.766,12.059,19.541,21.372,20.031,5.075,2.917,2.487,2.533,2.097,2.792,7.46,23.755,11.663,8.683,12.054,15.061,11.295,17.275,12.123000000000001,9.009,11.957,10.251,8.766,12.059,19.541,21.372,20.031,0.3683064516129032,0.411241935483871,0.3224435483870968,0.5887338709677419,0.09801225806451615,45.67,76.491,39.983,73.003,15.108999999999998,0.25220833682349075,0.1922070421116395,0.09727731432959238,0.13214989364628674,0.04002069644867294,0.4247391304347826,0.4099456521739131,0.39685869565217397,0.3631413043478261,0.23197391304347825,0.35658260869565217,0.31457017543859644,39.076,37.715,36.511,33.409,26.677,41.007,35.861,0.525850893284842,0.45120323541749824,0.5581445435207768,0.6033648611228868,0.36589190381643233,0.5083205574916024,0.41410643686077425,0.35898136645962736,0.33566812227074233,173.388,76.868,0.5052711215684853,0.4632796452737453,0.3514831460674157,250.256,0.49195167423830233,250.256,250.256,28.561,74.925,41.757,29.09,75.923
ATF,0.16877808988764045,0.16676876593482273,0.05,1.718,0.076,0.1195,0.196,120.17,0.1687057248501849,3.876451612903226,0.09570967741935484,0.0882258064516129,0.0872,0.08470967741935484,0.07903225806451614,0.08003225806451612,0.09538709677419355,0.12664516129032258,0.16770967741935483,0.19609677419354837,0.17590322580645162,0.210741935483871,0.23390322580645162,0.41751612903225804,0.3617741935483871,0.2106451612903226,0.1459032258064516,0.135258064516129,0.1219032258064516,0.13338709677419355,0.22432258064516128,0.22870967741935483,0.1785483870967742,2.967,2.735,2.616,2.626,2.45,2.481,2.957,3.926,5.199,6.079,5.453,6.533,7.251,12.943,11.215,6.53,4.523,4.193,3.779,4.135,6.954,7.09,5.535,2.967,2.735,2.616,2.626,2.45,2.481,2.957,3.926,5.199,6.079,5.453,6.533,7.251,12.943,11.215,6.53,4.523,4.193,3.779,4.135,6.954,7.09,5.535,0.11744354838709678,0.265989247311828,0.1534274193548387,0.19124193548387097,0.08697548387096775,14.563,49.474000000000004,19.025,23.714,13.393999999999998,0.058991385462348986,0.08067916357498785,0.03711855221207954,0.02352121082317155,0.0039806889507101,0.17106521739130434,0.14334782608695654,0.17022826086956522,0.16035869565217392,0.15952173913043477,0.19984347826086957,0.17107894736842105,15.738,13.188,15.661,14.753,18.345,22.982,19.503,0.13065168897423543,0.11005237861663057,0.12587619098257957,0.13413111360844066,0.149770898013218,0.26678648376111586,0.16776432820582324,0.16083850931677018,0.18552401746724892,77.685,42.485,0.13152354445619605,0.2230342110283809,0.16877808988764045,120.17,0.16676876593482282,120.17,120.17,12.652,29.525,33.652,24.948,19.393
FJAG,0.33207022471910114,0.2516447568878552,0.067,1.686,0.16275,0.239,0.39125,236.434,0.33218883080453904,7.626903225806451,0.18754838709677418,0.139,0.14223333333333335,0.1440322580645161,0.13670967741935483,0.1368709677419355,0.2136451612903226,0.29196774193548386,0.21964516129032258,0.2388709677419355,0.3123548387096774,0.4567741935483871,0.7142903225806452,0.544516129032258,0.3226451612903226,0.32648387096774195,0.35216129032258064,0.36474193548387096,0.4130645161290322,0.5615806451612902,0.5887741935483871,0.4239032258064516,0.39967741935483875,5.814,4.309,4.267,4.465,4.2379999999999995,4.243,6.623,9.051,6.809,7.405,9.683,14.16,22.143,16.88,10.002,10.121,10.917,11.307,12.805,17.409,18.252,13.141,12.39,5.814,4.309,4.267,4.465,4.2379999999999995,4.243,6.623,9.051,6.809,7.405,9.683,14.16,22.143,16.88,10.002,10.121,10.917,11.307,12.805,17.409,18.252,13.141,12.39,0.21553225806451615,0.4315752688172043,0.3641129032258065,0.49348387096774193,0.1499047311827957,26.726000000000003,80.273,45.15,61.192,23.093,0.056809063877866314,0.11682391750402633,0.03800867848008617,0.020093796002008477,0.0399180119087585,0.32863043478260867,0.2977826086956522,0.31406521739130433,0.3463369565217391,0.3083130434782609,0.35674782608695654,0.3646052631578947,30.233999999999998,27.396,28.894,31.863,35.456,41.026,41.565,0.23018266599135087,0.2061599094529472,0.20909353311392037,0.24620411781730192,0.22415660116516564,0.3243369712786611,0.2775786460641652,0.3185155279503105,0.36065938864628816,153.843,82.591,0.22335557975422324,0.30132997178527693,0.33207022471910114,236.434,0.25164475688785504,236.434,236.434,26.436,51.255,53.297,46.919,58.527
FMB,0.17461516853932582,0.2059033902752335,0.01,2.273,0.045,0.1225,0.2325,124.326,0.17466211908708398,4.010516129032259,0.07248387096774193,0.06690322580645161,0.08303333333333333,0.11361290322580646,0.08529032258064516,0.054612903225806454,0.08645161290322581,0.09245161290322582,0.17548387096774193,0.2503548387096774,0.24912903225806451,0.19609677419354837,0.21487096774193548,0.3060967741935484,0.21129032258064515,0.15599999999999997,0.20358064516129032,0.22529032258064516,0.22203225806451612,0.3733548387096774,0.26070967741935486,0.14719354838709678,0.1668709677419355,2.247,2.074,2.491,3.5220000000000002,2.644,1.693,2.68,2.866,5.4399999999999995,7.761,7.723,6.079,6.661,9.489,6.55,4.835999999999999,6.311,6.984,6.883,11.574,8.082,4.563,5.173,2.247,2.074,2.491,3.5220000000000002,2.644,1.693,2.68,2.866,5.4399999999999995,7.761,7.723,6.079,6.661,9.489,6.55,4.835999999999999,6.311,6.984,6.883,11.574,8.082,4.563,5.173,0.10225000000000001,0.23797311827956988,0.2017258064516129,0.2370322580645161,0.0842647311827957,12.679,44.26299999999999,25.014,29.391999999999996,12.978,0.08694006098297458,0.07736655032351418,0.022691201007556526,0.14347350988686153,0.011042721394615115,0.22703260869565217,0.16608695652173913,0.21996739130434784,0.1337391304347826,0.1906,0.15268695652173914,0.14157894736842105,20.887,15.28,20.237000000000002,12.304,21.919,17.559,16.14,0.2613675131820442,0.15103937716493576,0.23591120750419417,0.12927259464676982,0.1983121675275465,0.15022009380492757,0.2558791852202337,0.1876335403726708,0.14715720524017467,90.627,33.699,0.20324655497504499,0.20919830620363744,0.17461516853932582,124.326,0.2059033902752335,124.326,124.326,11.529,27.864,30.398,28.301,26.234
GPC,0.16483567415730338,0.21417199922395144,0.027,1.607,0.055,0.0835,0.155,117.363,0.16467805686599515,3.7859032258064516,0.06083870967741936,0.1718709677419355,0.16190000000000002,0.08774193548387098,0.08735483870967743,0.0882258064516129,0.08570967741935484,0.25441935483870964,0.1520967741935484,0.19825806451612904,0.1104516129032258,0.09283870967741936,0.08161290322580646,0.18670967741935485,0.4274516129032258,0.28980645161290325,0.19125806451612903,0.13093548387096773,0.15706451612903224,0.2623225806451613,0.2975483870967742,0.1386451612903226,0.07606451612903226,1.8860000000000001,5.328,4.857,2.72,2.708,2.735,2.657,7.887,4.715,6.146,3.424,2.878,2.5300000000000002,5.788,13.251,8.984,5.929,4.059,4.869,8.132,9.224,4.298,2.358,1.8860000000000001,5.328,4.857,2.72,2.708,2.735,2.657,7.887,4.715,6.146,3.424,2.878,2.5300000000000002,5.788,13.251,8.984,5.929,4.059,4.869,8.132,9.224,4.298,2.358,0.14511290322580644,0.18288709677419354,0.19226612903225807,0.1936451612903226,0.11394129032258067,17.994,34.017,23.841,24.012000000000004,17.499000000000002,0.07126670472269707,0.10897005263459415,0.06388166216296681,0.15389940231734145,0.09178658635622398,0.1636304347826087,0.15791304347826088,0.18100000000000002,0.16404347826086957,0.1360173913043478,0.1749826086956522,0.17782456140350875,15.054,14.528,16.652,15.092,15.642,20.123,20.272,0.19588232155738294,0.20257304487348946,0.21583342172626072,0.21331326151793067,0.1800421482139276,0.2365075193570667,0.24495411329775077,0.15935403726708075,0.17639737991266377,76.968,40.395,0.20067709276196125,0.2402249387993994,0.16483567415730338,117.363,0.21417199922395133,117.363,117.363,12.63,28.385,30.414,27.543,18.391000000000002
JACL,0.10760252808988764,0.07163335027232011,0.037,0.685,0.067,0.095,0.125,76.613,0.10758026265459643,2.4713870967741935,0.1198709677419355,0.08551612903225805,0.0702,0.0822258064516129,0.08348387096774194,0.06693548387096775,0.07361290322580645,0.09451612903225808,0.09945161290322581,0.10412903225806452,0.09948387096774194,0.11932258064516128,0.09735483870967741,0.15183870967741936,0.25925806451612904,0.10561290322580645,0.0964516129032258,0.10987096774193549,0.10264516129032258,0.10174193548387096,0.10245161290322581,0.12174193548387097,0.12593548387096773,3.716,2.651,2.106,2.549,2.588,2.075,2.282,2.93,3.083,3.228,3.084,3.699,3.018,4.707,8.037,3.274,2.9899999999999998,3.406,3.182,3.154,3.176,3.774,3.904,3.716,2.651,2.106,2.549,2.588,2.075,2.282,2.93,3.083,3.228,3.084,3.699,3.018,4.707,8.037,3.274,2.9899999999999998,3.406,3.182,3.154,3.176,3.774,3.904,0.08362903225806452,0.13856451612903228,0.10364516129032258,0.11296774193548387,0.08825935483870967,10.370000000000001,25.773000000000003,12.852,14.008,13.61,0.017938948932865333,0.047888611579059534,0.005251300519730583,0.01093324803181692,0.004492965686387065,0.10494565217391304,0.10023913043478261,0.10470652173913042,0.11353260869565218,0.09976521739130435,0.10290434782608696,0.1258859649122807,9.655,9.222,9.633,10.445,11.473,11.834,14.351,0.0522879525406061,0.05021762957482829,0.05211515947504538,0.07665742992268063,0.0607231754992728,0.06596702710552532,0.11187854973036017,0.10440579710144927,0.11434497816593886,50.428,26.185,0.05925384004167904,0.09226020950315096,0.10760252808988764,76.613,0.07163335027232015,76.613,76.613,8.195,17.558,17.675,16.668,16.517
JALG,0.31335112359550565,0.312218940768855,0.028,1.711,0.082,0.1795,0.4255,223.10600000000002,0.31343127629733514,7.196967741935484,0.1483225806451613,0.097,0.08976666666666668,0.081,0.08396774193548387,0.09209677419354839,0.09970967741935484,0.25761290322580643,0.29058064516129034,0.4249032258064516,0.3825806451612903,0.3169354838709677,0.317741935483871,0.47225806451612906,0.565516129032258,0.46503225806451615,0.34216129032258064,0.3944516129032258,0.33583870967741936,0.32212903225806455,0.5870967741935483,0.6253548387096773,0.4078064516129032,4.598,3.007,2.693,2.511,2.6029999999999998,2.855,3.091,7.986,9.008000000000001,13.172,11.86,9.825,9.85,14.64,17.531,14.416,10.607,12.228,10.411,9.986,18.2,19.386,12.642,4.598,3.007,2.693,2.511,2.6029999999999998,2.855,3.091,7.986,9.008000000000001,13.172,11.86,9.825,9.85,14.64,17.531,14.416,10.607,12.228,10.411,9.986,18.2,19.386,12.642,0.185,0.41332258064516125,0.38437096774193547,0.48559677419354835,0.10001139784946238,22.939999999999998,76.878,47.662,60.214,15.412,0.14254045163817095,0.08152530092500765,0.041959300474219016,0.09907431084570552,0.036508229048276226,0.3051413043478261,0.3344456521739131,0.3372608695652174,0.28453260869565217,0.31049565217391306,0.2489217391304348,0.3747894736842105,28.073,30.769000000000002,31.028,26.177,35.707,28.626,42.726,0.309112219798974,0.33355647211646006,0.3103903203701033,0.2878475043111801,0.3055566497541835,0.2817842943784349,0.3443826199371344,0.3141904761904762,0.3115807860262009,151.754,71.352,0.30874903691011946,0.32009167927013654,0.3133511235955056,223.106,0.31221894076885515,223.106,223.106,20.996,55.284,48.527,49.288,49.011
JLG,0.12200421348314605,0.1311972725103249,0.033,1.255,0.049,0.0785,0.149,86.86699999999999,0.12204794083896468,2.8021612903225805,0.12183870967741936,0.08048387096774194,0.05093333333333334,0.05035483870967742,0.048999999999999995,0.047903225806451614,0.04854838709677419,0.06064516129032258,0.09870967741935484,0.19677419354838707,0.17419354838709677,0.10793548387096774,0.08535483870967742,0.152,0.18741935483870967,0.1643225806451613,0.13893548387096774,0.1293225806451613,0.15896774193548388,0.15451612903225806,0.18812903225806452,0.21319354838709678,0.1443225806451613,3.777,2.495,1.528,1.561,1.519,1.485,1.505,1.8800000000000001,3.06,6.1,5.4,3.346,2.646,4.712,5.81,5.094,4.307,4.009,4.928,4.79,5.832,6.609,4.474,3.777,2.495,1.528,1.561,1.519,1.485,1.505,1.8800000000000001,3.06,6.1,5.4,3.346,2.646,4.712,5.81,5.094,4.307,4.009,4.928,4.79,5.832,6.609,4.474,0.0639516129032258,0.15061290322580645,0.14788709677419357,0.17504032258064517,0.07052215053763441,7.93,28.014,18.338,21.705000000000002,10.88,0.059451173922434465,0.07058144003026223,0.020987540281690344,0.04939755642800202,0.051913293448688565,0.12142391304347826,0.1411086956521739,0.11509782608695653,0.13379347826086957,0.11832173913043478,0.10822608695652174,0.1207280701754386,11.171,12.982,10.589,12.309,13.607,12.446,13.763,0.11651281433987827,0.16014790255506153,0.11309143046037488,0.13733591912633145,0.11630461726410046,0.12311811906996349,0.1470757606884409,0.12558592132505175,0.11444978165938864,60.658,26.209,0.1291343600863328,0.13542173684147843,0.12200421348314608,86.867,0.13119727251032495,86.867,86.867,9.553,17.904,18.133,21.61,19.667
JMM,0.2375477528089888,0.16639120010305916,0.078,1.631,0.147,0.2025,0.266,169.13400000000001,0.23772453142930003,5.455935483870968,0.20070967741935486,0.1533225806451613,0.14073333333333332,0.13216129032258067,0.13809677419354838,0.126,0.14193548387096774,0.16206451612903225,0.1802258064516129,0.19241935483870967,0.2513870967741936,0.2781612903225807,0.4206451612903226,0.3345161290322581,0.31919354838709674,0.22325806451612903,0.22764516129032258,0.21125806451612905,0.2624516129032258,0.3089677419354839,0.41761290322580646,0.359741935483871,0.2779677419354839,6.222,4.753,4.2219999999999995,4.097,4.281,3.906,4.4,5.024,5.587,5.965,7.793,8.623000000000001,13.040000000000001,10.370000000000001,9.895,6.921,7.057,6.549,8.136,9.578,12.946,11.152000000000001,8.617,6.222,4.753,4.2219999999999995,4.097,4.281,3.906,4.4,5.024,5.587,5.965,7.793,8.623000000000001,13.040000000000001,10.370000000000001,9.895,6.921,7.057,6.549,8.136,9.578,12.946,11.152000000000001,8.617,0.15255645161290324,0.29938709677419356,0.2311532258064516,0.3410725806451613,0.1530047311827957,18.917,55.68599999999999,28.663,42.293000000000006,23.575,0.007455675505229554,0.11096827767010592,0.05257886829451372,0.05558011414870211,0.008076354910846666,0.22680434782608697,0.21835869565217395,0.23373913043478262,0.2357608695652174,0.22871304347826085,0.26746086956521736,0.2449561403508772,20.866,20.089000000000002,21.504,21.69,26.302,30.758,27.925,0.14364396149228262,0.08893355731028867,0.11890691433284534,0.15136553308408413,0.17766969971493826,0.22632282823035013,0.19079806265833735,0.2286770186335404,0.2562576419213974,110.45100000000001,58.683,0.141014784067249,0.20923781692432467,0.2375477528089888,169.13400000000001,0.16639120010305927,169.13400000000001,169.13400000000001,19.691,38.178,36.006,34.089,41.17
