archivo,media_consumo,std_consumo,min_consumo,max_consumo,percentil_25_consumo,percentil_50_consumo,percentil_75_consumo,sum_consumo,promedio_por_dia,consumo_medio_diario,consumo_1.0,consumo_2.0,consumo_3.0,consumo_4.0,consumo_5.0,consumo_6.0,consumo_7.0,consumo_8.0,consumo_9.0,consumo_10.0,consumo_11.0,consumo_12.0,consumo_13.0,consumo_14.0,consumo_15.0,consumo_16.0,consumo_17.0,consumo_18.0,consumo_19.0,consumo_20.0,consumo_21.0,consumo_22.0,consumo_23.0,consumo_1.0_suma,consumo_2.0_suma,consumo_3.0_suma,consumo_4.0_suma,consumo_5.0_suma,consumo_6.0_suma,consumo_7.0_suma,consumo_8.0_suma,consumo_9.0_suma,consumo_10.0_suma,consumo_11.0_suma,consumo_12.0_suma,consumo_13.0_suma,consumo_14.0_suma,consumo_15.0_suma,consumo_16.0_suma,consumo_17.0_suma,consumo_18.0_suma,consumo_19.0_suma,consumo_20.0_suma,consumo_21.0_suma,consumo_22.0_suma,consumo_23.0_suma,consumo_1.0_std,consumo_2.0_std,consumo_3.0_std,consumo_4.0_std,consumo_5.0_std,consumo_6.0_std,consumo_7.0_std,consumo_8.0_std,consumo_9.0_std,consumo_10.0_std,consumo_11.0_std,consumo_12.0_std,consumo_13.0_std,consumo_14.0_std,consumo_15.0_std,consumo_16.0_std,consumo_17.0_std,consumo_18.0_std,consumo_19.0_std,consumo_20.0_std,consumo_21.0_std,consumo_22.0_std,consumo_23.0_std,Mañana,Mediodia,Tarde,Noche,Madrugada,s_Mañana,s_Mediodia,s_Tarde,s_Noche,s_Madrugada,std_Mañana,std_Mediodia,std_Tarde,std_Noche,std_Madrugada,Lunes,Martes,Miércoles,Jueves,Viernes,Sábado,Domingo,s_Lunes,s_Martes,s_Miércoles,s_Jueves,s_Viernes,s_Sábado,s_Domingo,std_Lunes,std_Martes,std_Miércoles,std_Jueves,std_Viernes,std_Sábado,std_Domingo,Entre semana,Fin de semana,s_Entre semana,s_Fin de semana,std_Entre semana,std_Fin de semana,primavera,s_primavera,std_primavera,2023-04,Abril,2023-03-27/2023-04-02,2023-04-03/2023-04-09,2023-04-10/2023-04-16,2023-04-17/2023-04-23,2023-04-24/2023-04-30
ABLD,0.16899130434782608,0.2008938658905061,0.047,1.727,0.066,0.085,0.193,116.604,0.1689913043478261,3.8868,0.10863333333333333,0.08236666666666667,0.07893333333333333,0.0784,0.07783333333333334,0.06693333333333333,0.07353333333333333,0.14563333333333334,0.15836666666666668,0.16760000000000003,0.21206666666666668,0.2614,0.16256666666666666,0.15646666666666667,0.3704,0.1928,0.1999,0.1625,0.18906666666666666,0.20396666666666666,0.26766666666666666,0.29423333333333335,0.17553333333333335,3.259,2.471,2.368,2.352,2.335,2.008,2.206,4.369,4.751,5.0280000000000005,6.362,7.8420000000000005,4.877,4.694,11.112,5.784,5.997,4.875,5.672,6.119,8.03,8.827,5.266,3.259,2.471,2.368,2.352,2.335,2.008,2.206,4.369,4.751,5.0280000000000005,6.362,7.8420000000000005,4.877,4.694,11.112,5.784,5.997,4.875,5.672,6.119,8.03,8.827,5.266,0.11111666666666667,0.22175,0.18606666666666666,0.23535,0.08523333333333334,13.334,39.915,22.328,28.241999999999997,12.785,0.08330530387669861,0.1083209261029373,0.034651718077139404,0.06410808506861566,0.010743465262940071,0.13511956521739132,0.19456521739130433,0.17955434782608695,0.22111956521739132,0.15642391304347827,0.16015652173913042,0.14436521739130434,12.431000000000001,17.9,16.519,20.343,14.391,18.418,16.602,0.14098630924034955,0.18497806845635062,0.1941162200949874,0.25733032785696625,0.19635492834003665,0.20769565247729913,0.19832656617239408,0.17735652173913044,0.1522608695652174,81.584,35.02,0.19964188816120856,0.20277574193894896,0.16899130434782608,116.604,0.200893865890506,116.604,116.604,6.85,29.03,29.004,30.835,20.885
AJVG,0.17571014492753625,0.25781348674240834,0.019,2.095,0.04625,0.066,0.187,121.24000000000001,0.17571014492753625,4.041333333333333,0.0786,0.11136666666666667,0.08973333333333335,0.07803333333333334,0.0559,0.05463333333333333,0.0806,0.5048333333333334,0.36166666666666664,0.1509333333333333,0.19936666666666666,0.3339666666666667,0.22863333333333333,0.21336666666666665,0.1705,0.11349999999999999,0.10843333333333334,0.12639999999999998,0.1348,0.21423333333333336,0.22286666666666666,0.2442666666666667,0.16469999999999999,2.358,3.341,2.692,2.341,1.677,1.639,2.418,15.145,10.85,4.528,5.981,10.019,6.859,6.401,5.115,3.405,3.253,3.792,4.0440000000000005,6.4270000000000005,6.686,7.328,4.941,2.358,3.341,2.692,2.341,1.677,1.639,2.418,15.145,10.85,4.528,5.981,10.019,6.859,6.401,5.115,3.405,3.253,3.792,4.0440000000000005,6.4270000000000005,6.686,7.328,4.941,0.25043333333333334,0.21612777777777778,0.12078333333333333,0.21151666666666666,0.08272666666666667,30.052,38.903,14.494,25.381999999999998,12.408999999999999,0.19263433735088925,0.08187701666290648,0.013453682904644684,0.031019811750070608,0.019636414240281085,0.24976086956521737,0.21166304347826087,0.1927391304347826,0.15819565217391304,0.12741304347826085,0.1270695652173913,0.17537391304347824,22.977999999999998,19.473,17.732,14.554,11.722,14.613,20.168,0.34153130822215827,0.30405841967498753,0.2474263513272256,0.22679730211055185,0.1994033491498423,0.1741950269064307,0.26941074298607354,0.18795434782608697,0.15122173913043477,86.459,34.781,0.2710492966655424,0.22764923308562482,0.17571014492753623,121.24,0.25781348674240845,121.24,121.24,12.456999999999999,25.869,37.214,25.034,20.666
FJAG,0.3410405797101449,0.583962838131817,0.048,5.044,0.132,0.2015,0.32275,235.31799999999998,0.34104057971014484,7.843933333333334,0.16653333333333334,0.1552666666666667,0.1266,0.13383333333333333,0.12696666666666667,0.1278,0.19606666666666667,0.23363333333333333,0.22016666666666668,0.1949,0.4300666666666667,0.5863999999999999,0.7132666666666666,0.5082333333333333,0.2689666666666667,0.40036666666666665,0.45180000000000003,0.43056666666666665,0.5322,0.5894333333333334,0.5237333333333333,0.3628666666666666,0.3642666666666667,4.996,4.658,3.798,4.015,3.809,3.834,5.882,7.009,6.605,5.8469999999999995,12.902000000000001,17.592,21.398,15.247,8.069,12.011,13.554,12.917,15.966000000000001,17.683,15.712,10.886,10.928,4.996,4.658,3.798,4.015,3.809,3.834,5.882,7.009,6.605,5.8469999999999995,12.902000000000001,17.592,21.398,15.247,8.069,12.011,13.554,12.917,15.966000000000001,17.683,15.712,10.886,10.928,0.19441666666666668,0.4503055555555555,0.4537333333333333,0.460075,0.14184000000000002,23.330000000000002,81.055,54.448,55.20899999999999,21.276,0.042982476141545704,0.39370787688785547,0.06129556575521562,0.3170076726842788,0.04612347505825806,0.2841521739130435,0.2435217391304348,0.5484673913043479,0.31018478260869564,0.5167608695652174,0.2517478260869565,0.27202608695652175,26.142,22.404,50.459,28.537,47.542,28.951,31.283,0.24290254613383347,0.17317160886133595,1.1247717956686065,0.221456116722971,0.9679565126182655,0.2260553745030714,0.24171291006574006,0.38061739130434785,0.26188695652173916,175.084,60.234,0.6927676875965924,0.23372460804447612,0.34104057971014495,235.318,0.583962838131817,235.318,235.318,5.381,67.286,48.807,65.353,48.491
FMB,0.1762768115942029,0.19165990276905068,0.015,1.595,0.052,0.129,0.226,121.631,0.17627681159420291,4.054366666666666,0.1286,0.08786666666666668,0.11833333333333333,0.08303333333333333,0.0724,0.08,0.0786,0.12173333333333333,0.16083333333333333,0.1932,0.21116666666666667,0.2218,0.2792,0.3263,0.25343333333333334,0.2079,0.2258,0.1936,0.17393333333333333,0.22136666666666666,0.20926666666666668,0.1724,0.2336,3.858,2.636,3.55,2.491,2.172,2.4,2.358,3.652,4.825,5.796,6.335,6.654,8.376,9.789,7.603,6.237,6.774,5.808,5.218,6.641,6.2780000000000005,5.172,7.008,3.858,2.636,3.55,2.491,2.172,2.4,2.358,3.652,4.825,5.796,6.335,6.654,8.376,9.789,7.603,6.237,6.774,5.808,5.218,6.641,6.2780000000000005,5.172,7.008,0.11029166666666666,0.2475166666666667,0.2003083333333333,0.20915833333333333,0.09804666666666667,13.235,44.553000000000004,24.037,25.099,14.707,0.05030221756257907,0.06972994977984982,0.05418347668483508,0.0682432922457147,0.01710131145511298,0.17902173913043476,0.21509782608695655,0.15640217391304348,0.2076195652173913,0.1664021739130435,0.1593304347826087,0.15869565217391304,16.47,19.789,14.389,19.101,15.309000000000001,18.323,18.25,0.23053273125861667,0.24506482926905837,0.11658671816448485,0.22711225100828586,0.1292426000417503,0.16957582383851494,0.18580064651149222,0.18490869565217394,0.15901304347826087,85.058,36.573,0.19799030678291887,0.17748481650871853,0.1762768115942029,121.631,0.19165990276905065,121.631,121.631,8.979,25.484,31.906,27.482,27.78
GPC,0.14554202898550725,0.1821488859793315,0.026,1.263,0.053,0.082,0.131,100.42399999999999,0.14554202898550725,3.347466666666666,0.07263333333333333,0.10863333333333333,0.12986666666666666,0.07513333333333333,0.06953333333333332,0.06616666666666667,0.12826666666666667,0.27893333333333337,0.20593333333333333,0.1132,0.12716666666666668,0.12313333333333333,0.11123333333333334,0.13899999999999998,0.2343,0.18286666666666665,0.16953333333333334,0.1168,0.1121,0.14096666666666666,0.3033,0.1951,0.1436666666666667,2.179,3.259,3.896,2.254,2.086,1.985,3.848,8.368,6.178,3.396,3.815,3.694,3.337,4.17,7.029,5.486,5.086,3.504,3.363,4.229,9.099,5.853,4.3100000000000005,2.179,3.259,3.896,2.254,2.086,1.985,3.848,8.368,6.178,3.396,3.815,3.694,3.337,4.17,7.029,5.486,5.086,3.504,3.363,4.229,9.099,5.853,4.3100000000000005,0.169825,0.1413388888888889,0.145325,0.19575833333333334,0.09115999999999999,20.379,25.441,17.439,23.491,13.674,0.11935096224789526,0.0431653553218511,0.0410244125919331,0.0649634169290823,0.06809954927113761,0.16847826086956522,0.14607608695652174,0.15446739130434783,0.11673913043478261,0.13621739130434782,0.14932173913043478,0.1463478260869565,15.5,13.439,14.211,10.74,12.532,17.172,16.83,0.22352562005040988,0.19153883683287065,0.1952566331040815,0.11959573566998256,0.1645388378005882,0.1916701089466367,0.17295380396694415,0.14439565217391304,0.14783478260869568,66.422,34.002,0.18233129601390347,0.1821590518812253,0.14554202898550725,100.424,0.18214888597933152,100.424,100.424,4.563,14.261,28.688,28.056,24.856
JACL,0.09048985507246377,0.06439151866761252,0.028,0.778,0.05,0.083,0.109,62.438,0.09048985507246377,2.0812666666666666,0.11603333333333334,0.08170000000000001,0.061533333333333336,0.06926666666666666,0.06473333333333334,0.06856666666666666,0.0672,0.0698,0.07176666666666667,0.08283333333333333,0.13940000000000002,0.08516666666666667,0.0875,0.09196666666666667,0.21546666666666664,0.08506666666666667,0.07676666666666666,0.0912,0.0832,0.08643333333333333,0.08103333333333333,0.08149999999999999,0.12313333333333333,3.481,2.451,1.846,2.078,1.942,2.057,2.016,2.094,2.153,2.485,4.182,2.555,2.625,2.759,6.4639999999999995,2.552,2.303,2.736,2.496,2.593,2.431,2.445,3.694,3.481,2.451,1.846,2.078,1.942,2.057,2.016,2.094,2.153,2.485,4.182,2.555,2.625,2.759,6.4639999999999995,2.552,2.303,2.736,2.496,2.593,2.431,2.445,3.694,0.06933333333333333,0.11705555555555554,0.08405833333333333,0.093025,0.07865333333333333,8.32,21.07,10.087000000000002,11.163,11.798,0.0028591036332111202,0.04019141348217243,0.0037619770396913298,0.006018618324018806,0.0030531279743858694,0.08900000000000001,0.08079347826086956,0.09422826086956522,0.08414130434782609,0.08831521739130435,0.09317391304347826,0.10058260869565218,8.188,7.433,8.669,7.741,8.125,10.715,11.567,0.055544260145984785,0.03957536642065607,0.07248161620060689,0.04390313551638527,0.08159588566278989,0.060061118121396743,0.08035534923718363,0.08729565217391304,0.09687826086956522,40.156,22.282,0.060718461537403665,0.0708799523674871,0.09048985507246377,62.438,0.06439151866761252,62.438,62.438,4.048,15.304,14.426,14.558,14.102
JALG,0.2593565217391305,0.26079483925006286,0.06,1.885,0.082,0.1415,0.33525000000000005,178.95600000000002,0.25935652173913043,5.965199999999999,0.18516666666666665,0.09786666666666667,0.08726666666666666,0.08903333333333333,0.08946666666666667,0.08783333333333333,0.10303333333333334,0.12766666666666668,0.2217666666666667,0.35936666666666667,0.33493333333333336,0.3215,0.39280000000000004,0.4822666666666667,0.48016666666666663,0.49673333333333336,0.2729666666666667,0.23240000000000002,0.14796666666666666,0.2009,0.3099,0.4563333333333333,0.38786666666666664,5.555,2.936,2.618,2.671,2.684,2.635,3.091,3.83,6.6530000000000005,10.781,10.048,9.645,11.784,14.468,14.405,14.902000000000001,8.189,6.972,4.439,6.027,9.297,13.69,11.636,5.555,2.936,2.618,2.671,2.684,2.635,3.091,3.83,6.6530000000000005,10.781,10.048,9.645,11.784,14.468,14.405,14.902000000000001,8.189,6.972,4.439,6.027,9.297,13.69,11.636,0.135075,0.3951722222222222,0.28751666666666664,0.33875,0.10976,16.209000000000003,71.131,34.502,40.650000000000006,16.464,0.0854909054975797,0.0735350385145687,0.0833340336261131,0.06052324720903105,0.03839365285442849,0.27207608695652175,0.2583586956521739,0.2843695652173913,0.28419565217391307,0.26259782608695653,0.23471304347826089,0.23214782608695653,25.031,23.769,26.162,26.146,24.159,26.992,26.697,0.2725632191490104,0.24663313421068894,0.27206938826442445,0.30171547032897356,0.2827555562860027,0.22575105700894513,0.23274310977715634,0.2723195652173913,0.2334304347826087,125.267,53.689,0.2747317409107707,0.22877620485554664,0.25935652173913043,178.956,0.2607948392500627,178.956,178.956,10.218,41.789,48.096000000000004,38.773,40.08
JLG,0.10694347826086956,0.09233296844521172,0.036,0.872,0.061,0.081,0.123,73.791,0.10694347826086956,2.4597,0.0973,0.07166666666666667,0.0628,0.06306666666666666,0.062200000000000005,0.05993333333333333,0.05893333333333333,0.0613,0.07830000000000001,0.19843333333333335,0.1296,0.11406666666666668,0.12090000000000001,0.15886666666666666,0.13323333333333334,0.11673333333333333,0.1127,0.11343333333333333,0.09586666666666667,0.09916666666666667,0.1396,0.17656666666666665,0.13503333333333334,2.919,2.15,1.884,1.892,1.866,1.798,1.768,1.839,2.349,5.953,3.888,3.422,3.6270000000000002,4.766,3.997,3.502,3.381,3.403,2.876,2.975,4.188,5.297,4.051,2.919,2.15,1.884,1.892,1.866,1.798,1.768,1.839,2.349,5.953,3.888,3.422,3.6270000000000002,4.766,3.997,3.502,3.381,3.403,2.876,2.975,4.188,5.297,4.051,0.06461666666666667,0.14251666666666665,0.10968333333333333,0.13759166666666667,0.07140666666666666,7.754,25.653,13.161999999999999,16.511000000000003,10.710999999999999,0.012383686485379521,0.055602076776173,0.031388794847429374,0.018587540102481894,0.00946343839922408,0.1361521739130435,0.09539130434782608,0.08910869565217391,0.10321739130434783,0.10897826086956522,0.11545217391304347,0.0999304347826087,12.526,8.776,8.198,9.496,10.026,13.277,11.492,0.14871352612444177,0.07578351998671401,0.049585414490030365,0.12066562882583055,0.09413504191120065,0.0732289420636333,0.04556924973860257,0.1065695652173913,0.10769130434782608,49.022,24.769,0.10449472549169152,0.06134956332109161,0.10694347826086956,73.791,0.09233296844521169,73.791,73.791,5.18,13.655,18.216,19.458,17.282
JMM,0.25931739130434783,0.21810665521663616,0.096,3.078,0.154,0.2065,0.279,178.929,0.2593173913043478,5.964299999999999,0.21523333333333333,0.16916666666666666,0.15793333333333331,0.1523,0.1475,0.1467,0.14293333333333333,0.15716666666666665,0.2521333333333333,0.2532,0.1923,0.3212,0.4179333333333333,0.4562666666666667,0.3797,0.24109999999999998,0.25046666666666667,0.24443333333333334,0.26566666666666666,0.28190000000000004,0.33346666666666663,0.44643333333333335,0.33916666666666667,6.457,5.075,4.7379999999999995,4.569,4.425,4.401,4.288,4.715,7.564,7.596,5.769,9.636,12.538,13.688,11.391,7.233,7.514,7.333,7.97,8.457,10.004,13.393,10.175,6.457,5.075,4.7379999999999995,4.569,4.425,4.401,4.288,4.715,7.564,7.596,5.769,9.636,12.538,13.688,11.391,7.233,7.514,7.333,7.97,8.457,10.004,13.393,10.175,0.17473333333333332,0.33676666666666666,0.2504166666666667,0.3502416666666666,0.16842666666666667,20.968,60.618,30.049999999999997,42.028999999999996,25.264,0.062127443435139616,0.1162886336212395,0.011830856783084369,0.19862249341777363,0.018994137030590486,0.22286956521739132,0.2459021739130435,0.21495652173913044,0.257054347826087,0.2459782608695652,0.3266695652173913,0.2798260869565217,20.504,22.623,19.776,23.649,22.63,37.567,32.18,0.12169410555684862,0.1730894490079032,0.10527075640842389,0.18507749277677454,0.1750174859873658,0.35602108457518356,0.23754542542019733,0.23735217391304347,0.3032478260869565,109.182,69.747,0.15552086177880714,0.3028868443782874,0.25931739130434783,178.929,0.21810665521663608,178.929,178.929,10.223,44.175,37.612,42.658,44.261
LFZA,0.22301014492753624,0.29967701270430336,0.0,1.667,0.067,0.118,0.22275,153.877,0.22301014492753624,5.129233333333333,0.41156666666666664,0.3705666666666667,0.18943333333333331,0.17006666666666667,0.10423333333333333,0.13216666666666665,0.14236666666666667,0.08496666666666666,0.10386666666666668,0.0842,0.18560000000000001,0.19353333333333333,0.16723333333333334,0.12406666666666667,0.17753333333333332,0.2252333333333333,0.35683333333333334,0.4706666666666666,0.3541666666666667,0.3081333333333333,0.2157333333333333,0.29133333333333333,0.2657333333333333,12.347,11.117,5.683,5.102,3.127,3.965,4.271,2.549,3.116,2.526,5.5680000000000005,5.806,5.017,3.722,5.326,6.757,10.705,14.12,10.625,9.244,6.4719999999999995,8.74,7.9719999999999995,12.347,11.117,5.683,5.102,3.127,3.965,4.271,2.549,3.116,2.526,5.5680000000000005,5.806,5.017,3.722,5.326,6.757,10.705,14.12,10.625,9.244,6.4719999999999995,8.74,7.9719999999999995,0.11584166666666665,0.15536111111111112,0.351725,0.2702333333333333,0.24917333333333333,13.901,27.965000000000003,42.207,32.428,37.376,0.08854889787409535,0.09011276497411184,0.11556845685681155,0.058552704449539555,0.17561630927540695,0.1685217391304348,0.2609347826086957,0.24006521739130432,0.29825,0.20344565217391303,0.2008782608695652,0.20020869565217392,15.504000000000001,24.006,22.086,27.439,18.717,23.101,23.024,0.2038234248883232,0.3384713796184713,0.31321525808580025,0.3575241673226863,0.2815983174638497,0.27140712436272496,0.3019458675677914,0.23424347826086955,0.20054347826086957,107.752,46.125,0.3057595518575756,0.2864555496829845,0.22301014492753624,153.877,0.2996770127043033,153.877,153.877,6.543,38.407,43.114,36.612,29.201
