archivo,media_consumo,std_consumo,min_consumo,max_consumo,percentil_25_consumo,percentil_50_consumo,percentil_75_consumo,sum_consumo,promedio_por_dia,consumo_medio_diario,consumo_1.0,consumo_2.0,consumo_3.0,consumo_4.0,consumo_5.0,consumo_6.0,consumo_7.0,consumo_8.0,consumo_9.0,consumo_10.0,consumo_11.0,consumo_12.0,consumo_13.0,consumo_14.0,consumo_15.0,consumo_16.0,consumo_17.0,consumo_18.0,consumo_19.0,consumo_20.0,consumo_21.0,consumo_22.0,consumo_23.0,consumo_1.0_suma,consumo_2.0_suma,consumo_3.0_suma,consumo_4.0_suma,consumo_5.0_suma,consumo_6.0_suma,consumo_7.0_suma,consumo_8.0_suma,consumo_9.0_suma,consumo_10.0_suma,consumo_11.0_suma,consumo_12.0_suma,consumo_13.0_suma,consumo_14.0_suma,consumo_15.0_suma,consumo_16.0_suma,consumo_17.0_suma,consumo_18.0_suma,consumo_19.0_suma,consumo_20.0_suma,consumo_21.0_suma,consumo_22.0_suma,consumo_23.0_suma,consumo_1.0_std,consumo_2.0_std,consumo_3.0_std,consumo_4.0_std,consumo_5.0_std,consumo_6.0_std,consumo_7.0_std,consumo_8.0_std,consumo_9.0_std,consumo_10.0_std,consumo_11.0_std,consumo_12.0_std,consumo_13.0_std,consumo_14.0_std,consumo_15.0_std,consumo_16.0_std,consumo_17.0_std,consumo_18.0_std,consumo_19.0_std,consumo_20.0_std,consumo_21.0_std,consumo_22.0_std,consumo_23.0_std,Mañana,Mediodia,Tarde,Noche,Madrugada,s_Mañana,s_Mediodia,s_Tarde,s_Noche,s_Madrugada,std_Mañana,std_Mediodia,std_Tarde,std_Noche,std_Madrugada,Lunes,Martes,Miércoles,Jueves,Viernes,Sábado,Domingo,s_Lunes,s_Martes,s_Miércoles,s_Jueves,s_Viernes,s_Sábado,s_Domingo,std_Lunes,std_Martes,std_Miércoles,std_Jueves,std_Viernes,std_Sábado,std_Domingo,Entre semana,Fin de semana,s_Entre semana,s_Fin de semana,std_Entre semana,std_Fin de semana,primavera,s_primavera,std_primavera,2023-05,Mayo,2023-05-01/2023-05-07,2023-05-08/2023-05-14,2023-05-15/2023-05-21,2023-05-22/2023-05-28,2023-05-29/2023-06-04
ABLD,0.20783870967741935,0.2481824108619587,0.051,2.137,0.068,0.098,0.218,148.189,0.20783870967741938,4.780290322580645,0.09635483870967743,0.08048387096774194,0.06970967741935484,0.07351612903225806,0.09806451612903226,0.09203225806451612,0.08877419354838709,0.16416129032258062,0.22048387096774194,0.17980645161290323,0.21306451612903227,0.25070967741935485,0.28093548387096773,0.32606451612903226,0.45922580645161293,0.37374193548387097,0.32058064516129037,0.21467741935483872,0.1963548387096774,0.1926774193548387,0.32493548387096777,0.29438709677419356,0.1695483870967742,2.987,2.495,2.161,2.279,3.04,2.8529999999999998,2.752,5.0889999999999995,6.835,5.574,6.605,7.772,8.709,10.108,14.236,11.586,9.938,6.655,6.087,5.973,10.073,9.126,5.256,2.987,2.495,2.161,2.279,3.04,2.8529999999999998,2.752,5.0889999999999995,6.835,5.574,6.605,7.772,8.709,10.108,14.236,11.586,9.938,6.655,6.087,5.973,10.073,9.126,5.256,0.14136290322580644,0.2849677419354839,0.27633870967741936,0.24538709677419357,0.08362580645161291,17.529,53.004000000000005,34.266000000000005,30.427999999999997,12.962,0.058863027267946774,0.06402591002979606,0.04099338863686895,0.06133717818476997,0.029380973933111468,0.20559999999999998,0.19750434782608697,0.2310782608695652,0.18298913043478263,0.21640217391304348,0.16757608695652174,0.251054347826087,23.644,22.713,26.573999999999998,16.835,19.909,15.417,23.097,0.2550524129141564,0.2061600627477559,0.2773472757489605,0.2105737058486646,0.26762636164206927,0.18720390444503257,0.30784045261564147,0.20732514177693762,0.20931521739130438,109.675,38.514,0.24510892783994095,0.25749276309413843,0.20783870967741935,148.189,0.24818241086195864,148.189,148.189,35.057,34.68,33.955,29.49,15.007
AJVG,0.16530995792426367,0.2110466975966002,0.021,1.655,0.049,0.073,0.194,117.866,0.16530995792426373,3.8021290322580645,0.09538709677419355,0.08680645161290322,0.07345161290322581,0.05816129032258064,0.06019354838709677,0.07316129032258063,0.19396774193548386,0.5223870967741935,0.36693548387096775,0.12083870967741936,0.12696774193548388,0.1506774193548387,0.22732258064516128,0.16525806451612904,0.10312903225806452,0.07909677419354838,0.09280645161290321,0.11245161290322582,0.1120967741935484,0.18780645161290324,0.3214516129032258,0.27938709677419354,0.19238709677419352,2.957,2.691,2.277,1.803,1.8659999999999999,2.268,6.013,16.194,11.375,3.746,3.936,4.670999999999999,7.047,5.123,3.197,2.452,2.877,3.486,3.475,5.822,9.965,8.661,5.9639999999999995,2.957,2.691,2.277,1.803,1.8659999999999999,2.268,6.013,16.194,11.375,3.746,3.936,4.670999999999999,7.047,5.123,3.197,2.452,2.877,3.486,3.475,5.822,9.965,8.661,5.9639999999999995,0.2891129032258064,0.14903225806451614,0.09911290322580646,0.24525806451612905,0.0748,35.849999999999994,27.72,12.29,30.412,11.594,0.12786571058680304,0.08020182724043295,0.030907964359633576,0.10034655330828408,0.011337550618266015,0.1448695652173913,0.17014782608695653,0.16915652173913043,0.15959782608695652,0.15391304347826087,0.14492391304347826,0.21750000000000003,16.66,19.567,19.453,14.683,14.16,13.333,20.01,0.1848062770322238,0.20856591551270712,0.21484284714705237,0.1969739794151774,0.2247347472937483,0.171983913999623,0.2656945904315995,0.15977882797731568,0.1812119565217391,84.523,33.342999999999996,0.2054757834422332,0.22613351070773108,0.16530995792426367,117.866,0.21104669759660022,117.866,117.866,26.192,26.797,30.464,23.518,10.895
FJAG,0.36375596072931277,0.5792239863094808,0.058,5.193,0.166,0.233,0.366,259.358,0.36375596072931277,8.366387096774194,0.17877419354838708,0.1521290322580645,0.13674193548387095,0.14200000000000002,0.14693548387096772,0.13132258064516128,0.22641935483870967,0.24109677419354839,0.2381290322580645,0.18406451612903227,0.3421935483870968,0.5539354838709678,0.7593548387096773,0.5782903225806452,0.4926129032258065,0.47574193548387095,0.4804193548387097,0.48454838709677417,0.5617096774193548,0.6078064516129031,0.44406451612903225,0.3729677419354839,0.43512903225806454,5.542,4.716,4.239,4.402,4.555,4.071,7.019,7.474,7.382,5.706,10.608,17.172,23.54,17.927,15.271,14.748,14.893,15.020999999999999,17.413,18.842,13.766,11.562,13.489,5.542,4.716,4.239,4.402,4.555,4.071,7.019,7.474,7.382,5.706,10.608,17.172,23.54,17.927,15.271,14.748,14.893,15.020999999999999,17.413,18.842,13.766,11.562,13.489,0.20924193548387096,0.48507526881720436,0.5006048387096774,0.46499193548387097,0.15131612903225805,25.945999999999998,90.224,62.075,57.65899999999999,23.454,0.04477091564882107,0.3301363789283747,0.00813718127947231,0.18643315001150554,0.03526421347896832,0.288904347826087,0.27265217391304347,0.33277391304347825,0.2855108695652174,0.30519565217391303,0.29648913043478264,0.8140000000000001,33.224000000000004,31.355,38.269,26.267,28.078,27.277,74.888,0.1894542936090272,0.1568080200396058,0.2491290112086143,0.17031576973086127,0.2218522545254646,0.21099838521152928,1.4528547494766717,0.2971512287334594,0.5552445652173913,157.193,102.16499999999999,0.20099234825299314,1.067279274206442,0.36375596072931277,259.358,0.5792239863094807,259.358,259.358,49.177,50.17,45.622,92.479,21.91
FMB,0.19719074333800843,0.177483390815359,0.01,1.45,0.057,0.158,0.254,140.597,0.19719074333800843,4.535387096774194,0.17538709677419356,0.17580645161290323,0.14467741935483872,0.09883870967741935,0.09625806451612903,0.0814516129032258,0.10212903225806451,0.08887096774193548,0.1599032258064516,0.1749032258064516,0.21625806451612903,0.23574193548387096,0.2921290322580645,0.3777741935483871,0.27467741935483875,0.22029032258064515,0.185,0.19525806451612904,0.2442258064516129,0.24290322580645163,0.2346774193548387,0.23838709677419354,0.27983870967741936,5.437,5.45,4.485,3.064,2.984,2.525,3.166,2.755,4.957,5.422,6.704,7.308,9.056000000000001,11.711,8.515,6.829,5.735,6.053,7.571,7.53,7.275,7.39,8.675,5.437,5.45,4.485,3.064,2.984,2.525,3.166,2.755,4.957,5.422,6.704,7.308,9.056000000000001,11.711,8.515,6.829,5.735,6.053,7.571,7.53,7.275,7.39,8.675,0.10808870967741935,0.26191397849462367,0.21119354838709675,0.24895161290322582,0.1381935483870968,13.402999999999999,48.716,26.188000000000002,30.87,21.42,0.017436237386598694,0.05733254970261842,0.02080561682658374,0.027232675801930045,0.029105510210876016,0.2297391304347826,0.1668608695652174,0.20241739130434783,0.18081521739130438,0.20075,0.21954347826086956,0.17834782608695654,26.42,19.189,23.278,16.635,18.469,20.198,16.408,0.22447099945366764,0.1345641363391855,0.13626464077840716,0.13721979876271387,0.16996487193625542,0.20619325262851593,0.20851813291285703,0.1965803402646503,0.19894565217391305,103.991,36.606,0.16585313667849677,0.20782050704969426,0.19719074333800843,140.597,0.17748339081535902,140.597,140.597,30.026,31.793,27.423,31.236,20.119
GPC,0.1669859747545582,0.18561140185787464,0.027,1.217,0.068,0.099,0.177,119.061,0.16698597475455818,3.8406774193548383,0.07835483870967741,0.09103225806451613,0.07987096774193549,0.07603225806451613,0.06803225806451613,0.07667741935483871,0.112,0.34590322580645166,0.26806451612903226,0.18974193548387094,0.1627741935483871,0.10454838709677419,0.09703225806451612,0.13729032258064516,0.27916129032258064,0.2482258064516129,0.2568064516129032,0.22641935483870967,0.15983870967741937,0.16990322580645162,0.31070967741935485,0.1933548387096774,0.1089032258064516,2.429,2.822,2.476,2.357,2.109,2.3770000000000002,3.472,10.723,8.31,5.882,5.046,3.241,3.008,4.256,8.654,7.695,7.961,7.019,4.955,5.267,9.632,5.994,3.376,2.429,2.822,2.476,2.357,2.109,2.3770000000000002,3.472,10.723,8.31,5.882,5.046,3.241,3.008,4.256,8.654,7.695,7.961,7.019,4.955,5.267,9.632,5.994,3.376,0.20066129032258068,0.16175806451612904,0.2228225806451613,0.19571774193548389,0.07866451612903226,24.882000000000005,30.087,27.630000000000003,24.269000000000002,12.193,0.12483534132436826,0.07230757307490213,0.06169498635200165,0.08529326888359248,0.04363938700517929,0.1255826086956522,0.18172173913043477,0.13803478260869564,0.18581521739130433,0.15915217391304348,0.1877608695652174,0.2047391304347826,14.442,20.898,15.874,17.095,14.642,17.274,18.836,0.12762726586875947,0.18445545974171607,0.14616080608596116,0.2218623932173455,0.1835091957921376,0.20766045667187003,0.2189630843273282,0.15680718336483931,0.19625,82.951,36.11,0.17416864396099155,0.21297297732585285,0.1669859747545582,119.061,0.1856114018578747,119.061,119.061,26.574,28.191,26.125,27.114,11.057
JACL,0.09807854137447407,0.07260524714148534,0.015,0.738,0.055,0.086,0.119,69.93,0.09807854137447405,2.2558064516129033,0.11593548387096773,0.07580645161290323,0.07100000000000001,0.07348387096774193,0.06090322580645161,0.0763225806451613,0.06806451612903225,0.09032258064516129,0.07777419354838709,0.09,0.11316129032258064,0.11738709677419355,0.09532258064516129,0.11964516129032259,0.24458064516129033,0.11674193548387096,0.07887096774193549,0.09483870967741935,0.09674193548387097,0.06587096774193547,0.0966774193548387,0.09945161290322581,0.11690322580645161,3.594,2.35,2.201,2.278,1.888,2.366,2.11,2.8,2.411,2.79,3.508,3.6390000000000002,2.955,3.709,7.582,3.6189999999999998,2.445,2.94,2.999,2.042,2.997,3.083,3.624,3.594,2.35,2.201,2.278,1.888,2.366,2.11,2.8,2.411,2.79,3.508,3.6390000000000002,2.955,3.709,7.582,3.6189999999999998,2.445,2.94,2.999,2.042,2.997,3.083,3.624,0.07812096774193548,0.13001612903225807,0.09679838709677419,0.0947258064516129,0.07942580645161292,9.687,24.183000000000003,12.003,11.746,12.311,0.012097988188694953,0.036470650449928775,0.011601321915641505,0.004431020000339964,0.0039053877935845945,0.09380869565217391,0.08957391304347827,0.0841304347826087,0.09539130434782608,0.10584782608695652,0.1188804347826087,0.10559782608695652,10.788,10.301,9.675,8.776,9.738,10.937,9.715,0.06502063041729678,0.04434277584501781,0.04319265729896863,0.057652036270994536,0.07209211671136773,0.11069280751238411,0.09721891687022631,0.09315311909262759,0.11223913043478262,49.278,20.652,0.05708142438779187,0.10410213244486201,0.09807854137447407,69.93,0.07260524714148532,69.93,69.93,15.411999999999999,14.055,18.109,16.168,6.186
JALG,0.2324460028050491,0.2317149491423688,0.06,1.556,0.084,0.133,0.295,165.734,0.2324460028050491,5.346258064516129,0.12293548387096774,0.09767741935483872,0.09835483870967741,0.0837741935483871,0.09083870967741935,0.09716129032258064,0.11164516129032258,0.23538709677419356,0.31470967741935485,0.3098387096774194,0.29258064516129034,0.27922580645161293,0.27325806451612905,0.3382903225806452,0.39190322580645165,0.3081935483870968,0.2519677419354839,0.2767096774193548,0.20148387096774192,0.15835483870967743,0.29680645161290325,0.40690322580645166,0.308258064516129,3.811,3.028,3.049,2.597,2.816,3.012,3.461,7.297000000000001,9.756,9.605,9.07,8.656,8.471,10.487,12.149000000000001,9.554,7.811,8.578,6.2459999999999996,4.909,9.201,12.614,9.556,3.811,3.028,3.049,2.597,2.816,3.012,3.461,7.297000000000001,9.756,9.605,9.07,8.656,8.471,10.487,12.149000000000001,9.554,7.811,8.578,6.2459999999999996,4.909,9.201,12.614,9.556,0.1897258064516129,0.31418279569892477,0.25958870967741937,0.29258064516129034,0.09871612903225807,23.526,58.43800000000001,32.189,36.28,15.300999999999998,0.16471062942271472,0.05165723548793764,0.03622979825696616,0.07085053067251586,0.01310344358386139,0.25909565217391306,0.23137391304347826,0.2516869565217391,0.2595217391304348,0.1942717391304348,0.18445652173913044,0.2355108695652174,29.796,26.608,28.944,23.876,17.873,16.97,21.667,0.2444600915986888,0.25303943458254097,0.23601376577520403,0.268154108482125,0.19422599860267403,0.16850482844638837,0.22647865748925797,0.24025897920604913,0.20998369565217392,127.097,38.637,0.24125647863749092,0.20070053475451527,0.2324460028050491,165.734,0.23171494914236887,165.734,165.734,39.834,39.341,37.858,29.045,19.656
JLG,0.10821458625525948,0.09720719623785826,0.049,1.173,0.068,0.078,0.119,77.15700000000001,0.10821458625525947,2.4889354838709674,0.09793548387096775,0.07358064516129033,0.07083870967741936,0.06590322580645162,0.06432258064516129,0.06551612903225806,0.0622258064516129,0.08754838709677419,0.11632258064516128,0.1305483870967742,0.13025806451612904,0.13567741935483874,0.10051612903225807,0.15267741935483872,0.12896774193548385,0.1749032258064516,0.10174193548387096,0.11912903225806452,0.11248387096774194,0.10438709677419356,0.12303225806451613,0.15148387096774193,0.11893548387096774,3.036,2.281,2.196,2.043,1.994,2.031,1.929,2.714,3.606,4.047,4.038,4.206,3.116,4.7330000000000005,3.9979999999999998,5.422,3.154,3.693,3.487,3.236,3.814,4.696,3.687,3.036,2.281,2.196,2.043,1.994,2.031,1.929,2.714,3.606,4.047,4.038,4.206,3.116,4.7330000000000005,3.9979999999999998,5.422,3.154,3.693,3.487,3.236,3.814,4.696,3.687,0.08290322580645161,0.1297741935483871,0.12706451612903227,0.12445967741935485,0.07451612903225807,10.28,24.138,15.756,15.433,11.55,0.06547511104339529,0.048759195939012144,0.09708865013320138,0.007574778954214944,0.00716988104545167,0.10305217391304348,0.12724347826086957,0.11113043478260869,0.10779347826086956,0.1078913043478261,0.1055,0.09069565217391304,11.851,14.633,12.78,9.917,9.926,9.706,8.344,0.0999352284511499,0.12335191358177952,0.08791308723793086,0.12328788235273366,0.07824552180026961,0.08827909040196212,0.052366153637848405,0.11173345935727788,0.09809782608695652,59.107,18.05,0.10420761090255241,0.07275996313691642,0.10821458625525947,77.157,0.09720719623785833,77.157,77.157,19.206,17.117,13.527,17.101,10.206
JMM,0.2704417952314166,0.214771709980641,0.097,1.704,0.156,0.212,0.279,192.82500000000002,0.27044179523141654,6.22016129032258,0.21916129032258067,0.17116129032258065,0.15148387096774193,0.14519354838709678,0.14641935483870966,0.14274193548387096,0.14509677419354838,0.17454838709677417,0.2381290322580645,0.20580645161290323,0.2543225806451613,0.3365483870967742,0.433258064516129,0.5534193548387096,0.32845161290322583,0.2676774193548387,0.2747741935483871,0.2970322580645161,0.3171290322580645,0.3049032258064516,0.39780645161290323,0.40438709677419354,0.31070967741935485,6.7940000000000005,5.306,4.696,4.501,4.539,4.425,4.498,5.411,7.382,6.38,7.884,10.433,13.431,17.156,10.182,8.298,8.518,9.208,9.831,9.452,12.332,12.536,9.632,6.7940000000000005,5.306,4.696,4.501,4.539,4.425,4.498,5.411,7.382,6.38,7.884,10.433,13.431,17.156,10.182,8.298,8.518,9.208,9.831,9.452,12.332,12.536,9.632,0.1751290322580645,0.35196774193548386,0.2891532258064516,0.3544516129032258,0.16668387096774193,21.716,65.466,35.855000000000004,43.952,25.836,0.05688668081684562,0.14076428886682352,0.04270564840416693,0.05824587631192581,0.009117064360189836,0.2655304347826087,0.27396521739130436,0.2982086956521739,0.2771086956521739,0.24394565217391306,0.251,0.2767391304347826,30.536,31.506,34.294,25.494,22.443,23.092,25.46,0.21902080017136286,0.2370442970829663,0.23555691738352985,0.20578760289670586,0.1593900712593275,0.1901916326836098,0.23405831289787207,0.2727277882797732,0.2638695652173913,144.273,48.552,0.21551623542122522,0.21306358718330184,0.27044179523141654,192.825,0.21477170998064105,192.825,192.825,40.23,40.863,53.42,43.007,15.305
LFZA,0.1719228611500701,0.22286463228188408,0.011,1.633,0.061,0.107,0.189,122.58099999999999,0.17192286115007016,3.9542258064516127,0.3433548387096774,0.2290967741935484,0.18961290322580646,0.13096774193548386,0.10812903225806451,0.10412903225806452,0.07841935483870968,0.08029032258064515,0.11251612903225806,0.07096774193548387,0.18174193548387094,0.15187096774193548,0.15070967741935484,0.11161290322580646,0.15574193548387097,0.19545161290322582,0.18493548387096775,0.26003225806451613,0.2943225806451613,0.22445161290322582,0.16293548387096773,0.20580645161290323,0.2271290322580645,10.644,7.102,5.878,4.06,3.352,3.228,2.431,2.489,3.488,2.2,5.6339999999999995,4.708,4.672,3.46,4.828,6.059,5.7330000000000005,8.061,9.124,6.958,5.051,6.38,7.0409999999999995,10.644,7.102,5.878,4.06,3.352,3.228,2.431,2.489,3.488,2.2,5.6339999999999995,4.708,4.672,3.46,4.828,6.059,5.7330000000000005,8.061,9.124,6.958,5.051,6.38,7.0409999999999995,0.09383870967741935,0.13710752688172043,0.23368548387096777,0.20508064516129032,0.2002322580645161,11.636,25.502,28.977000000000004,25.43,31.036,0.053676488915926655,0.10734807817762844,0.05807938628879849,0.06144472201532846,0.14397705834497856,0.14838260869565217,0.14732173913043478,0.18654782608695653,0.1619782608695652,0.19265217391304348,0.13578260869565217,0.23917391304347826,17.064,16.942,21.453,14.902,17.724,12.491999999999999,22.004,0.17991628572846866,0.1793220443110558,0.1995277865483446,0.20222052907496751,0.25474781474254365,0.19018671138837306,0.3283051585250987,0.16651228733459356,0.18747826086956523,88.085,34.496,0.20278556450276516,0.27252771366612344,0.17192286115007013,122.581,0.2228646322818842,122.581,122.581,35.364,28.747,23.718,23.256,11.496
