archivo,media_consumo,std_consumo,min_consumo,max_consumo,percentil_25_consumo,percentil_50_consumo,percentil_75_consumo,sum_consumo,promedio_por_dia,consumo_medio_diario,consumo_1.0,consumo_2.0,consumo_3.0,consumo_4.0,consumo_5.0,consumo_6.0,consumo_7.0,consumo_8.0,consumo_9.0,consumo_10.0,consumo_11.0,consumo_12.0,consumo_13.0,consumo_14.0,consumo_15.0,consumo_16.0,consumo_17.0,consumo_18.0,consumo_19.0,consumo_20.0,consumo_21.0,consumo_22.0,consumo_23.0,consumo_1.0_suma,consumo_2.0_suma,consumo_3.0_suma,consumo_4.0_suma,consumo_5.0_suma,consumo_6.0_suma,consumo_7.0_suma,consumo_8.0_suma,consumo_9.0_suma,consumo_10.0_suma,consumo_11.0_suma,consumo_12.0_suma,consumo_13.0_suma,consumo_14.0_suma,consumo_15.0_suma,consumo_16.0_suma,consumo_17.0_suma,consumo_18.0_suma,consumo_19.0_suma,consumo_20.0_suma,consumo_21.0_suma,consumo_22.0_suma,consumo_23.0_suma,consumo_1.0_std,consumo_2.0_std,consumo_3.0_std,consumo_4.0_std,consumo_5.0_std,consumo_6.0_std,consumo_7.0_std,consumo_8.0_std,consumo_9.0_std,consumo_10.0_std,consumo_11.0_std,consumo_12.0_std,consumo_13.0_std,consumo_14.0_std,consumo_15.0_std,consumo_16.0_std,consumo_17.0_std,consumo_18.0_std,consumo_19.0_std,consumo_20.0_std,consumo_21.0_std,consumo_22.0_std,consumo_23.0_std,Mañana,Mediodia,Tarde,Noche,Madrugada,s_Mañana,s_Mediodia,s_Tarde,s_Noche,s_Madrugada,std_Mañana,std_Mediodia,std_Tarde,std_Noche,std_Madrugada,Lunes,Martes,Miércoles,Jueves,Viernes,Sábado,Domingo,s_Lunes,s_Martes,s_Miércoles,s_Jueves,s_Viernes,s_Sábado,s_Domingo,std_Lunes,std_Martes,std_Miércoles,std_Jueves,std_Viernes,std_Sábado,std_Domingo,Entre semana,Fin de semana,s_Entre semana,s_Fin de semana,std_Entre semana,std_Fin de semana,verano,s_verano,std_verano,2023-06,Junio,2023-05-29/2023-06-04,2023-06-05/2023-06-11,2023-06-12/2023-06-18,2023-06-19/2023-06-25,2023-06-26/2023-07-02
ABLD,0.17170000000000002,0.19894797658563443,0.055,1.952,0.073,0.092,0.18575,118.47300000000001,0.1717,3.9491,0.10926666666666666,0.10266666666666667,0.09233333333333334,0.08846666666666667,0.1121,0.09286666666666667,0.10896666666666667,0.14880000000000002,0.1668,0.10766666666666666,0.11943333333333332,0.10056666666666667,0.12136666666666666,0.19656666666666667,0.34793333333333337,0.35033333333333333,0.2494333333333333,0.22613333333333333,0.2231,0.18906666666666666,0.2277,0.2909,0.17663333333333334,3.278,3.08,2.77,2.654,3.363,2.786,3.269,4.464,5.0040000000000004,3.23,3.5829999999999997,3.017,3.641,5.897,10.438,10.51,7.483,6.784,6.693,5.672,6.831,8.727,5.299,3.278,3.08,2.77,2.654,3.363,2.786,3.269,4.464,5.0040000000000004,3.23,3.5829999999999997,3.017,3.641,5.897,10.438,10.51,7.483,6.784,6.693,5.672,6.831,8.727,5.299,0.12935833333333335,0.1655888888888889,0.26225,0.221075,0.10096666666666668,15.523,29.806000000000004,31.47,26.529,15.145,0.06804893247894138,0.13554723751005032,0.059088516280363323,0.10039546034374534,0.01939661168871404,0.16021739130434784,0.17095652173913042,0.20044565217391302,0.17861739130434784,0.17343478260869566,0.18634782608695655,0.1297173913043478,14.74,15.728,18.441,20.541,19.945,17.144000000000002,11.934,0.1855776740365399,0.18899025575459266,0.222293804401729,0.2133816522558835,0.18039970875782604,0.23926739994520954,0.14838465947242083,0.1766699604743083,0.15803260869565217,89.395,29.078,0.19832539460529247,0.20055673610064384,0.1717,118.473,0.19894797658563446,118.473,118.473,17.699,30.64,32.432,24.03,13.672
AJVG,0.1570159420289855,0.17896054824922397,0.022,1.299,0.06,0.0815,0.187,108.341,0.15701594202898556,3.611366666666667,0.08203333333333333,0.0762,0.0875,0.10016666666666667,0.09576666666666668,0.08159999999999999,0.18933333333333333,0.48833333333333334,0.20493333333333333,0.08863333333333333,0.09623333333333334,0.11256666666666668,0.15543333333333334,0.14053333333333334,0.1068,0.07963333333333335,0.06970000000000001,0.12533333333333335,0.32380000000000003,0.2551,0.28863333333333335,0.19406666666666667,0.1690333333333333,2.461,2.286,2.625,3.005,2.873,2.448,5.68,14.65,6.148,2.659,2.887,3.3770000000000002,4.663,4.216,3.204,2.3890000000000002,2.091,3.7600000000000002,9.714,7.653,8.659,5.822,5.071,2.461,2.286,2.625,3.005,2.873,2.448,5.68,14.65,6.148,2.659,2.887,3.3770000000000002,4.663,4.216,3.204,2.3890000000000002,2.091,3.7600000000000002,9.714,7.653,8.659,5.822,5.071,0.24105,0.11669999999999998,0.14961666666666668,0.22670833333333335,0.08833333333333333,28.926,21.006,17.954,27.205,13.25,0.10830998087162057,0.023213379070232555,0.15390632274569185,0.08329215382898726,0.014525623327851091,0.1669891304347826,0.16655434782608697,0.15254347826086959,0.18308695652173912,0.13636521739130436,0.12655434782608696,0.16566304347826086,15.363,15.323,14.034,21.055,15.682,11.643,15.241,0.19397385654621443,0.1778942372625329,0.1509954815598964,0.21891613251194927,0.16131185501701747,0.11666872083145984,0.20382848193463618,0.16098221343873517,0.1461086956521739,81.457,26.884,0.18318938336612547,0.16677103550865238,0.1570159420289855,108.341,0.17896054824922394,108.341,108.341,16.284,25.817,23.198,24.368,18.674
FJAG,0.45418985507246373,0.7410062943044532,0.07,5.21,0.193,0.2785,0.41174999999999995,313.39099999999996,0.45418985507246373,10.446366666666666,0.25593333333333335,0.1908,0.18456666666666666,0.18153333333333332,0.18223333333333333,0.18846666666666667,0.2518666666666667,0.3064666666666667,0.42233333333333334,0.42383333333333334,0.4970666666666667,0.7486333333333334,0.8512,0.8107000000000001,0.6788000000000001,0.5580666666666667,0.5242,0.5531333333333334,0.7094666666666666,0.6655,0.4549333333333333,0.4216,0.38503333333333334,7.678,5.724,5.537,5.446,5.467,5.654,7.556,9.194,12.67,12.715,14.912,22.459,25.535999999999998,24.321,20.364,16.742,15.726,16.594,21.284,19.965,13.648,12.648,11.551,7.678,5.724,5.537,5.446,5.467,5.654,7.556,9.194,12.67,12.715,14.912,22.459,25.535999999999998,24.321,20.364,16.742,15.726,16.594,21.284,19.965,13.648,12.648,11.551,0.29228333333333334,0.6683722222222223,0.5862166666666667,0.4817666666666666,0.19901333333333332,35.074000000000005,120.307,70.346,57.812,29.851999999999997,0.31546748879624226,0.16260773006030968,0.04532532788157614,0.09211201768945755,0.04417314745584651,0.8899239130434783,0.3169891304347826,0.3105108695652174,0.32871304347826086,0.5365826086956522,0.32183695652173916,0.4855434782608696,81.873,29.163,28.567,37.802,61.707,29.609,44.67,1.5363274836454301,0.17648898695929122,0.16149483675380044,0.20119928870585924,0.9093927700510955,0.18583457592229136,0.5827285838917395,0.47255335968379447,0.40369021739130434,239.112,74.279,0.82342778730711,0.43905348605793415,0.4541898550724638,313.391,0.7410062943044539,313.391,313.391,26.533,68.07300000000001,110.861,69.67,38.254
FMB,0.16797391304347828,0.1603906313224549,0.02,1.512,0.057,0.125,0.22675,115.90200000000002,0.16797391304347828,3.8634,0.1423,0.12596666666666667,0.1364,0.08496666666666666,0.09316666666666666,0.0884,0.08349999999999999,0.1004,0.12803333333333333,0.16303333333333334,0.19666666666666668,0.1696,0.17886666666666667,0.28696666666666665,0.21050000000000002,0.142,0.20696666666666666,0.19960000000000003,0.21810000000000002,0.21316666666666664,0.1727,0.24403333333333335,0.2780666666666667,4.269,3.779,4.092,2.549,2.795,2.652,2.505,3.012,3.841,4.891,5.9,5.088,5.3660000000000005,8.609,6.315,4.26,6.209,5.988,6.543,6.395,5.181,7.321000000000001,8.342,4.269,3.779,4.092,2.549,2.795,2.652,2.505,3.012,3.841,4.891,5.9,5.088,5.3660000000000005,8.609,6.315,4.26,6.209,5.988,6.543,6.395,5.181,7.321000000000001,8.342,0.10008333333333333,0.20093888888888886,0.19166666666666665,0.22699166666666667,0.11655999999999997,12.010000000000002,36.169,23.0,27.239000000000004,17.484,0.032726140089555183,0.08526911130913087,0.027380154899175606,0.04108635923185836,0.04679928503541948,0.16929347826086955,0.18831521739130433,0.16265217391304349,0.16367826086956522,0.15066956521739133,0.14567391304347826,0.20093478260869566,15.575,17.325,14.964,18.823,17.327,13.402000000000001,18.486,0.13742662682026846,0.2026506727116929,0.12157803398176217,0.13833163481261743,0.1258219099082795,0.11785734613195344,0.24473478824857145,0.16603557312252964,0.17330434782608697,84.014,31.888,0.14666288791798401,0.19354262681976203,0.16797391304347825,115.902,0.16039063132245482,115.902,115.902,14.963000000000001,27.136,31.093,24.844,17.866
GPC,0.17355797101449277,0.16372129394696416,0.028,1.113,0.084,0.1165,0.187,119.75500000000001,0.17355797101449272,3.991833333333333,0.08373333333333334,0.1242,0.15223333333333333,0.11286666666666667,0.08036666666666667,0.08126666666666667,0.14880000000000002,0.27976666666666666,0.2239,0.14543333333333336,0.15183333333333332,0.17629999999999998,0.1445,0.2304,0.30543333333333333,0.21423333333333333,0.2085,0.18286666666666665,0.16449999999999998,0.19486666666666666,0.2714666666666667,0.20063333333333333,0.11373333333333333,2.512,3.726,4.567,3.386,2.411,2.438,4.464,8.393,6.717,4.363,4.555,5.289,4.335,6.912,9.163,6.427,6.255,5.486,4.935,5.846,8.144,6.019,3.412,2.512,3.726,4.567,3.386,2.411,2.438,4.464,8.393,6.717,4.363,4.555,5.289,4.335,6.912,9.163,6.427,6.255,5.486,4.935,5.846,8.144,6.019,3.412,0.18343333333333334,0.1923166666666667,0.19252499999999997,0.19517500000000002,0.11068,22.012,34.617,23.102999999999998,23.421,16.602,0.10515625693666913,0.03165244004992798,0.03489809018763492,0.07645156254805616,0.07978426740019554,0.20105434782608694,0.16180434782608694,0.18208695652173912,0.1834521739130435,0.15209565217391305,0.16657608695652174,0.17072826086956522,18.497,14.886,16.752,21.097,17.491,15.325,15.707,0.20137632826448162,0.1372177413905259,0.1720508263884981,0.16798956961555264,0.1424969666598078,0.15620247734071627,0.16442721782532646,0.17534189723320157,0.1686521739130435,88.723,31.032,0.16519384264277662,0.15994236904589507,0.17355797101449275,119.755,0.1637212939469642,119.755,119.755,19.908,25.554,27.177,28.489,18.627
JACL,0.112468115942029,0.11536464431965107,0.028,1.144,0.057,0.0925,0.129,77.60300000000001,0.11246811594202898,2.586766666666667,0.14446666666666666,0.08266666666666667,0.0745,0.07713333333333333,0.06883333333333333,0.0707,0.07556666666666666,0.07663333333333333,0.0954,0.09036666666666666,0.084,0.10103333333333334,0.07973333333333334,0.10179999999999999,0.17743333333333336,0.20303333333333334,0.14246666666666666,0.1297,0.15269999999999997,0.13356666666666667,0.12553333333333333,0.1391,0.16040000000000001,4.334,2.48,2.235,2.314,2.065,2.121,2.267,2.299,2.862,2.711,2.52,3.031,2.392,3.054,5.323,6.091,4.274,3.891,4.5809999999999995,4.007,3.766,4.173,4.812,4.334,2.48,2.235,2.314,2.065,2.121,2.267,2.299,2.862,2.711,2.52,3.031,2.392,3.054,5.323,6.091,4.274,3.891,4.5809999999999995,4.007,3.766,4.173,4.812,0.07957499999999999,0.10572777777777777,0.156975,0.13965,0.08952,9.549,19.031,18.837,16.758,13.427999999999999,0.021082235361903824,0.016992996787215615,0.07912207663860005,0.03584525117356344,0.046122422862452044,0.11070652173913044,0.13453260869565217,0.12716304347826088,0.09999130434782609,0.08995652173913044,0.08830434782608697,0.1453695652173913,10.185,12.377,11.699,11.499,10.345,8.124,13.374,0.07843406106419264,0.13844755035649178,0.13633300191228706,0.07974625280226684,0.03916819137853766,0.0445395833656219,0.20433761748803866,0.1108794466403162,0.11683695652173913,56.105,21.498,0.09985327499495417,0.15022607933013896,0.11246811594202898,77.603,0.11536464431965106,77.603,77.603,7.495,16.27,14.853,22.599,16.386
JALG,0.2308144927536232,0.1955589816894343,0.07,1.297,0.104,0.1535,0.279,159.262,0.2308144927536232,5.3087333333333335,0.15853333333333333,0.1128,0.10529999999999999,0.10286666666666666,0.1017,0.09506666666666666,0.1247,0.2298333333333333,0.3741,0.3942,0.29306666666666664,0.21516666666666667,0.2152,0.28363333333333335,0.31229999999999997,0.29336666666666666,0.21183333333333332,0.2524666666666667,0.21680000000000002,0.23823333333333335,0.27443333333333336,0.3491666666666667,0.35396666666666665,4.756,3.384,3.159,3.086,3.051,2.852,3.741,6.895,11.222999999999999,11.826,8.792,6.455,6.456,8.509,9.369,8.801,6.3549999999999995,7.574,6.5040000000000004,7.147,8.233,10.475,10.619,4.756,3.384,3.159,3.086,3.051,2.852,3.741,6.895,11.222999999999999,11.826,8.792,6.455,6.456,8.509,9.369,8.801,6.3549999999999995,7.574,6.5040000000000004,7.147,8.233,10.475,10.619,0.205925,0.2855944444444445,0.24361666666666668,0.30395000000000005,0.11623999999999998,24.711,51.407000000000004,29.233999999999998,36.474000000000004,17.436,0.1518861657314901,0.05241484137050726,0.04408138876665167,0.04156828024736194,0.019162743908007224,0.22593478260869568,0.2327608695652174,0.22743478260869565,0.23815652173913046,0.22042608695652174,0.19743478260869568,0.2743152173913043,20.786,21.414,20.924,27.388,25.349,18.164,25.237,0.20100603043535975,0.20679688870304003,0.1926639906219369,0.21003481713479843,0.18037130615879832,0.13363747124938513,0.2282655061640892,0.22897430830039525,0.23587500000000003,115.861,43.401,0.19753228419431984,0.19046423190163497,0.2308144927536232,159.262,0.1955589816894343,159.262,159.262,23.187,37.245,37.319,34.637,26.874
JLG,0.1532768115942029,0.15368837398291263,0.051,1.408,0.074,0.107,0.15275,105.761,0.1532768115942029,3.525366666666667,0.11303333333333333,0.0839,0.07726666666666666,0.07626666666666668,0.07036666666666667,0.06733333333333333,0.06746666666666666,0.07780000000000001,0.10386666666666668,0.1104,0.1676,0.18563333333333334,0.18710000000000002,0.21513333333333332,0.1777,0.22816666666666666,0.19376666666666667,0.1716,0.1691,0.19986666666666666,0.22306666666666666,0.2871666666666667,0.27176666666666666,3.391,2.517,2.318,2.2880000000000003,2.111,2.02,2.024,2.334,3.116,3.312,5.028,5.569,5.613,6.454,5.3309999999999995,6.845,5.813,5.148,5.073,5.9959999999999996,6.692,8.615,8.153,3.391,2.517,2.318,2.2880000000000003,2.111,2.02,2.024,2.334,3.116,3.312,5.028,5.569,5.613,6.454,5.3309999999999995,6.845,5.813,5.148,5.073,5.9959999999999996,6.692,8.615,8.153,0.07911666666666667,0.1739277777777778,0.19065833333333335,0.24546666666666667,0.08416666666666668,9.494,31.307,22.878999999999998,29.455999999999996,12.625,0.023441542448626763,0.056411745509866607,0.04551964372810636,0.03294082280159946,0.007391459325043544,0.15975,0.16697826086956521,0.14673913043478262,0.14234782608695654,0.15028695652173915,0.16680434782608697,0.14351086956521739,14.697,15.362,13.5,16.37,17.283,15.346,13.203,0.1406936993364203,0.19134359970636733,0.15679214697516486,0.0993306584602404,0.12594831613462412,0.18210377666428057,0.17813956095504874,0.15259288537549406,0.15515760869565218,77.212,28.549,0.14311197675203835,0.18001894905340973,0.1532768115942029,105.761,0.15368837398291268,105.761,105.761,17.13,21.592,20.573,21.328,25.138
JMM,0.29674782608695655,0.2776859283031109,0.097,2.585,0.16725,0.22,0.293,204.756,0.29674782608695655,6.825199999999999,0.2503666666666667,0.18953333333333333,0.175,0.16043333333333332,0.17056666666666667,0.15596666666666667,0.1851,0.23983333333333334,0.2438,0.24146666666666666,0.20593333333333333,0.24683333333333335,0.5698666666666666,0.44806666666666667,0.5730999999999999,0.34353333333333336,0.2558333333333333,0.3123666666666667,0.33426666666666666,0.35259999999999997,0.39276666666666665,0.43173333333333336,0.34623333333333334,7.511,5.686,5.25,4.813,5.117,4.679,5.553,7.195,7.314,7.244,6.178,7.405,17.096,13.442,17.192999999999998,10.306000000000001,7.675,9.371,10.028,10.578,11.783,12.952,10.387,7.511,5.686,5.25,4.813,5.117,4.679,5.553,7.195,7.314,7.244,6.178,7.405,17.096,13.442,17.192999999999998,10.306000000000001,7.675,9.371,10.028,10.578,11.783,12.952,10.387,0.206175,0.3808777777777778,0.3115,0.38083333333333336,0.18918,24.741,68.55799999999999,37.38,45.699999999999996,28.377,0.15992426323374326,0.23074124782366015,0.08611242993338415,0.05972983169304356,0.06438559474279512,0.32370652173913045,0.23970652173913046,0.2290978260869565,0.29160869565217395,0.2992173913043478,0.35394565217391305,0.3406195652173913,29.781,22.053,21.076999999999998,33.535000000000004,34.41,32.563,31.337,0.3841512276061151,0.13796977994031787,0.13760926206549898,0.22596827504592565,0.30091103722939166,0.3113755855162924,0.33163838516386274,0.2783715415019763,0.34728260869565214,140.856,63.9,0.2581275613358315,0.32085607232751834,0.29674782608695655,204.756,0.2776859283031107,204.756,204.756,35.127,43.411,47.949,42.281,35.988
LFZA,0.12416376811594203,0.1491261848390437,0.009,1.661,0.056,0.086,0.14175,85.673,0.12416376811594204,2.8557666666666663,0.2343,0.16496666666666665,0.16533333333333333,0.11816666666666667,0.09896666666666666,0.09430000000000001,0.06546666666666666,0.07723333333333333,0.07076666666666667,0.06743333333333333,0.06576666666666667,0.07123333333333333,0.06206666666666667,0.10883333333333334,0.10363333333333333,0.12613333333333335,0.17923333333333333,0.1664,0.12436666666666667,0.20113333333333333,0.1739,0.16040000000000001,0.15573333333333333,7.029,4.949,4.96,3.545,2.969,2.829,1.964,2.317,2.123,2.023,1.973,2.137,1.862,3.265,3.109,3.7840000000000003,5.377,4.992,3.731,6.034,5.217,4.812,4.672,7.029,4.949,4.96,3.545,2.969,2.829,1.964,2.317,2.123,2.023,1.973,2.137,1.862,3.265,3.109,3.7840000000000003,5.377,4.992,3.731,6.034,5.217,4.812,4.672,0.07694166666666666,0.07982777777777778,0.14903333333333332,0.17279166666666668,0.15634666666666666,9.233,14.369000000000002,17.884,20.735,23.451999999999998,0.009104773685443001,0.019806531505169735,0.06863124675423461,0.08575231351680361,0.10164069661088285,0.13305434782608697,0.10725000000000001,0.10064130434782609,0.13229565217391304,0.13299130434782608,0.12585869565217392,0.13281521739130434,12.241,9.867,9.259,15.214,15.294,11.579,12.219,0.10290637632615864,0.0801683153821308,0.16596388999025527,0.13806710635818933,0.18828997307028877,0.15125377710454002,0.1773591333522712,0.12228260869565218,0.12933695652173913,61.875,23.798000000000002,0.14329279439199438,0.1644101413631056,0.12416376811594203,85.673,0.14912618483904366,85.673,85.673,11.193,22.21,19.724,20.972,11.574
