date;time;consumptionKWh;obtainMethod;surplusEnergyKWh;generationEnergyKWh;selfConsumptionEnergyKWh
01/01/2023;1:00;0.007;Real;;;
01/01/2023;2:00;0.026;Real;;;
01/01/2023;3:00;0.012;Real;;;
01/01/2023;4:00;0.013;Real;;;
01/01/2023;5:00;0.025;Real;;;
01/01/2023;6:00;0.009;Real;;;
01/01/2023;7:00;0.015;Real;;;
01/01/2023;8:00;0.024;Real;;;
01/01/2023;9:00;0.011;Real;;;
01/01/2023;10:00;0.012;Real;;;
01/01/2023;11:00;0.024;Real;;;
01/01/2023;12:00;0.009;Real;;;
01/01/2023;13:00;0.015;Real;;;
01/01/2023;14:00;0.026;Real;;;
01/01/2023;15:00;0.004;Real;;;
01/01/2023;16:00;0.022;Real;;;
01/01/2023;17:00;0.026;Real;;;
01/01/2023;18:00;0.0;Real;;;
01/01/2023;19:00;0.026;Real;;;
01/01/2023;20:00;0.015;Real;;;
01/01/2023;21:00;0.011;Real;;;
01/01/2023;22:00;0.026;Real;;;
01/01/2023;23:00;0.003;Real;;;
01/01/2023;24:00:00;0.023;Real;;;
02/01/2023;1:00;0.025;Real;;;
02/01/2023;2:00;0.0;Real;;;
02/01/2023;3:00;0.026;Real;;;
02/01/2023;4:00;0.013;Real;;;
02/01/2023;5:00;0.013;Real;;;
02/01/2023;6:00;0.025;Real;;;
02/01/2023;7:00;0.005;Real;;;
02/01/2023;8:00;0.02;Real;;;
02/01/2023;9:00;0.026;Real;;;
02/01/2023;10:00;0.0;Real;;;
02/01/2023;11:00;0.025;Real;;;
02/01/2023;12:00;0.016;Real;;;
02/01/2023;13:00;0.01;Real;;;
02/01/2023;14:00;0.026;Real;;;
02/01/2023;15:00;0.005;Real;;;
02/01/2023;16:00;0.021;Real;;;
02/01/2023;17:00;0.026;Real;;;
02/01/2023;18:00;0.0;Real;;;
02/01/2023;19:00;0.026;Real;;;
02/01/2023;20:00;0.018;Real;;;
02/01/2023;21:00;0.008;Real;;;
02/01/2023;22:00;0.025;Real;;;
02/01/2023;23:00;0.01;Real;;;
02/01/2023;24:00:00;0.016;Real;;;
03/01/2023;1:00;0.027;Real;;;
03/01/2023;2:00;0.0;Real;;;
03/01/2023;3:00;0.025;Real;;;
03/01/2023;4:00;0.02;Real;;;
03/01/2023;5:00;0.005;Real;;;
03/01/2023;6:00;0.024;Real;;;
03/01/2023;7:00;0.017;Real;;;
03/01/2023;8:00;0.007;Real;;;
03/01/2023;9:00;0.024;Real;;;
