date;time;consumptionKWh;obtainMethod;surplusEnergyKWh;generationEnergyKWh;selfConsumptionEnergyKWh
01/02/2023;1:00;0.143;Real;;;
01/02/2023;2:00;0.102;Real;;;
01/02/2023;3:00;0.078;Real;;;
01/02/2023;4:00;0.084;Real;;;
01/02/2023;5:00;0.071;Real;;;
01/02/2023;6:00;0.06;Real;;;
01/02/2023;7:00;0.084;Real;;;
01/02/2023;8:00;0.077;Real;;;
01/02/2023;9:00;0.185;Real;;;
01/02/2023;10:00;0.241;Real;;;
01/02/2023;11:00;0.058;Real;;;
01/02/2023;12:00;0.072;Real;;;
01/02/2023;13:00;0.07;Real;;;
01/02/2023;14:00;0.14;Real;;;
01/02/2023;15:00;0.498;Real;;;
01/02/2023;16:00;0.827;Real;;;
01/02/2023;17:00;0.702;Real;;;
01/02/2023;18:00;0.168;Real;;;
01/02/2023;19:00;0.233;Real;;;
01/02/2023;20:00;0.205;Real;;;
01/02/2023;21:00;0.536;Real;;;
01/02/2023;22:00;0.17;Real;;;
01/02/2023;23:00;0.066;Real;;;
01/02/2023;24:00:00;0.075;Real;;;
02/02/2023;1:00;0.074;Real;;;
02/02/2023;2:00;0.08;Real;;;
02/02/2023;3:00;0.139;Real;;;
02/02/2023;4:00;0.08;Real;;;
02/02/2023;5:00;0.06;Real;;;
02/02/2023;6:00;0.063;Real;;;
02/02/2023;7:00;0.075;Real;;;
02/02/2023;8:00;0.069;Real;;;
02/02/2023;9:00;0.303;Real;;;
02/02/2023;10:00;0.066;Real;;;
02/02/2023;11:00;0.071;Real;;;
02/02/2023;12:00;0.071;Real;;;
02/02/2023;13:00;0.093;Real;;;
02/02/2023;14:00;0.52;Real;;;
02/02/2023;15:00;1.294;Real;;;
02/02/2023;16:00;0.344;Real;;;
02/02/2023;17:00;0.26;Real;;;
02/02/2023;18:00;0.224;Real;;;
02/02/2023;19:00;0.08;Real;;;
02/02/2023;20:00;0.073;Real;;;
02/02/2023;21:00;0.21;Real;;;
02/02/2023;22:00;0.121;Real;;;
02/02/2023;23:00;0.087;Real;;;
02/02/2023;24:00:00;0.091;Real;;;
03/02/2023;1:00;0.067;Real;;;
03/02/2023;2:00;0.062;Real;;;
03/02/2023;3:00;0.063;Real;;;
03/02/2023;4:00;0.076;Real;;;
03/02/2023;5:00;0.144;Real;;;
03/02/2023;6:00;0.081;Real;;;
03/02/2023;7:00;0.091;Real;;;
03/02/2023;8:00;0.097;Real;;;
03/02/2023;9:00;0.366;Real;;;
03/02/2023;10:00;0.075;Real;;;
03/02/2023;11:00;0.13;Real;;;
03/02/2023;12:00;0.071;Real;;;
03/02/2023;13:00;0.062;Real;;;
03/02/2023;14:00;0.074;Real;;;
03/02/2023;15:00;1.336;Real;;;
03/02/2023;16:00;1.194;Real;;;
03/02/2023;17:00;0.237;Real;;;
03/02/2023;18:00;0.299;Real;;;
03/02/2023;19:00;0.264;Real;;;
03/02/2023;20:00;0.266;Real;;;
03/02/2023;21:00;1.042;Real;;;
03/02/2023;22:00;0.285;Real;;;
03/02/2023;23:00;0.136;Real;;;
03/02/2023;24:00:00;0.076;Real;;;
04/02/2023;1:00;0.066;Real;;;
04/02/2023;2:00;0.065;Real;;;
04/02/2023;3:00;0.075;Real;;;
04/02/2023;4:00;0.075;Real;;;
04/02/2023;5:00;0.067;Real;;;
04/02/2023;6:00;0.063;Real;;;
04/02/2023;7:00;0.129;Real;;;
04/02/2023;8:00;0.126;Real;;;
04/02/2023;9:00;0.373;Real;;;
04/02/2023;10:00;0.111;Real;;;
04/02/2023;11:00;0.075;Real;;;
04/02/2023;12:00;0.084;Real;;;
04/02/2023;13:00;0.181;Real;;;
04/02/2023;14:00;0.058;Real;;;
04/02/2023;15:00;0.069;Real;;;
04/02/2023;16:00;0.944;Real;;;
04/02/2023;17:00;0.992;Real;;;
04/02/2023;18:00;0.189;Real;;;
04/02/2023;19:00;0.18;Real;;;
04/02/2023;20:00;0.249;Real;;;
04/02/2023;21:00;0.405;Real;;;
04/02/2023;22:00;0.287;Real;;;
04/02/2023;23:00;0.156;Real;;;
04/02/2023;24:00:00;0.08;Real;;;
05/02/2023;1:00;0.08;Real;;;
05/02/2023;2:00;0.063;Real;;;
05/02/2023;3:00;0.066;Real;;;
05/02/2023;4:00;0.081;Real;;;
05/02/2023;5:00;0.081;Real;;;
05/02/2023;6:00;0.065;Real;;;
05/02/2023;7:00;0.061;Real;;;
05/02/2023;8:00;0.062;Real;;;
05/02/2023;9:00;0.152;Real;;;
05/02/2023;10:00;0.27;Real;;;
05/02/2023;11:00;1.241;Real;;;
05/02/2023;12:00;0.313;Real;;;
05/02/2023;13:00;0.187;Real;;;
05/02/2023;14:00;0.186;Real;;;
05/02/2023;15:00;0.417;Real;;;
05/02/2023;16:00;0.214;Real;;;
05/02/2023;17:00;0.191;Real;;;
05/02/2023;18:00;0.191;Real;;;
05/02/2023;19:00;0.132;Real;;;
05/02/2023;20:00;0.465;Real;;;
05/02/2023;21:00;0.291;Real;;;
05/02/2023;22:00;0.268;Real;;;
05/02/2023;23:00;0.095;Real;;;
05/02/2023;24:00:00;0.081;Real;;;
06/02/2023;1:00;0.076;Real;;;
06/02/2023;2:00;0.056;Real;;;
06/02/2023;3:00;0.07;Real;;;
06/02/2023;4:00;0.074;Real;;;
06/02/2023;5:00;0.057;Real;;;
06/02/2023;6:00;0.058;Real;;;
06/02/2023;7:00;0.075;Real;;;
06/02/2023;8:00;0.218;Real;;;
06/02/2023;9:00;0.154;Real;;;
06/02/2023;10:00;0.123;Real;;;
06/02/2023;11:00;0.101;Real;;;
06/02/2023;12:00;0.152;Real;;;
06/02/2023;13:00;0.975;Real;;;
06/02/2023;14:00;0.654;Real;;;
06/02/2023;15:00;0.313;Real;;;
06/02/2023;16:00;0.206;Real;;;
06/02/2023;17:00;0.19;Real;;;
06/02/2023;18:00;0.197;Real;;;
06/02/2023;19:00;0.09;Real;;;
06/02/2023;20:00;0.091;Real;;;
06/02/2023;21:00;0.259;Real;;;
06/02/2023;22:00;0.233;Real;;;
06/02/2023;23:00;0.178;Real;;;
06/02/2023;24:00:00;0.088;Real;;;
07/02/2023;1:00;0.082;Real;;;
07/02/2023;2:00;0.077;Real;;;
07/02/2023;3:00;0.067;Real;;;
07/02/2023;4:00;0.064;Real;;;
07/02/2023;5:00;0.062;Real;;;
07/02/2023;6:00;0.063;Real;;;
07/02/2023;7:00;0.069;Real;;;
07/02/2023;8:00;0.099;Real;;;
07/02/2023;9:00;0.447;Real;;;
07/02/2023;10:00;0.072;Real;;;
07/02/2023;11:00;0.144;Real;;;
07/02/2023;12:00;0.261;Real;;;
07/02/2023;13:00;0.183;Real;;;
07/02/2023;14:00;1.218;Real;;;
07/02/2023;15:00;0.726;Real;;;
07/02/2023;16:00;0.883;Real;;;
07/02/2023;17:00;0.238;Real;;;
07/02/2023;18:00;0.067;Real;;;
07/02/2023;19:00;0.063;Real;;;
