date;time;consumptionKWh;obtainMethod;surplusEnergyKWh;generationEnergyKWh;selfConsumptionEnergyKWh
01/03/2024;1:00;0.07;Real;;;
01/03/2024;2:00;0.07;Real;;;
01/03/2024;3:00;0.119;Real;;;
01/03/2024;4:00;0.121;Real;;;
01/03/2024;5:00;0.07;Real;;;
01/03/2024;6:00;0.071;Real;;;
01/03/2024;7:00;0.07;Real;;;
01/03/2024;8:00;0.093;Real;;;
01/03/2024;9:00;0.158;Real;;;
01/03/2024;10:00;0.2;Real;;;
01/03/2024;11:00;0.183;Real;;;
01/03/2024;12:00;0.2;Real;;;
01/03/2024;13:00;0.203;Real;;;
01/03/2024;14:00;0.757;Real;;;
01/03/2024;15:00;0.304;Real;;;
01/03/2024;16:00;0.266;Real;;;
01/03/2024;17:00;0.115;Real;;;
01/03/2024;18:00;0.099;Real;;;
01/03/2024;19:00;0.08;Real;;;
01/03/2024;20:00;0.211;Real;;;
01/03/2024;21:00;0.314;Real;;;
01/03/2024;22:00;0.152;Real;;;
01/03/2024;23:00;0.087;Real;;;
01/03/2024;24:00:00;0.073;Real;;;
02/03/2024;1:00;0.071;Real;;;
02/03/2024;2:00;0.074;Real;;;
02/03/2024;3:00;0.127;Real;;;
02/03/2024;4:00;0.102;Real;;;
02/03/2024;5:00;0.062;Real;;;
02/03/2024;6:00;0.06;Real;;;
02/03/2024;7:00;0.059;Real;;;
02/03/2024;8:00;0.102;Real;;;
02/03/2024;9:00;0.365;Real;;;
02/03/2024;10:00;0.251;Real;;;
02/03/2024;11:00;0.242;Real;;;
02/03/2024;12:00;0.232;Real;;;
02/03/2024;13:00;0.243;Real;;;
02/03/2024;14:00;0.888;Real;;;
02/03/2024;15:00;0.619;Real;;;
02/03/2024;16:00;0.222;Real;;;
02/03/2024;17:00;0.228;Real;;;
02/03/2024;18:00;0.078;Real;;;
02/03/2024;19:00;0.065;Real;;;
02/03/2024;20:00;0.066;Real;;;
02/03/2024;21:00;0.066;Real;;;
02/03/2024;22:00;0.362;Real;;;
02/03/2024;23:00;0.18;Real;;;
02/03/2024;24:00:00;0.127;Real;;;
03/03/2024;1:00;0.072;Real;;;
03/03/2024;2:00;0.072;Real;;;
03/03/2024;3:00;0.078;Real;;;
03/03/2024;4:00;0.18;Real;;;
03/03/2024;5:00;0.128;Real;;;
03/03/2024;6:00;0.099;Real;;;
03/03/2024;7:00;0.071;Real;;;
03/03/2024;8:00;0.071;Real;;;
03/03/2024;9:00;0.068;Real;;;
03/03/2024;10:00;0.093;Real;;;
03/03/2024;11:00;0.158;Real;;;
03/03/2024;12:00;0.135;Real;;;
03/03/2024;13:00;0.097;Real;;;
03/03/2024;14:00;0.304;Real;;;
03/03/2024;15:00;0.418;Real;;;
03/03/2024;16:00;0.257;Real;;;
03/03/2024;17:00;0.226;Real;;;
03/03/2024;18:00;0.186;Real;;;
03/03/2024;19:00;0.283;Real;;;
03/03/2024;20:00;0.122;Real;;;
03/03/2024;21:00;0.277;Real;;;
03/03/2024;22:00;0.247;Real;;;
03/03/2024;23:00;0.233;Real;;;
03/03/2024;24:00:00;0.276;Real;;;
04/03/2024;1:00;0.121;Real;;;
04/03/2024;2:00;0.078;Real;;;
04/03/2024;3:00;0.072;Real;;;
04/03/2024;4:00;0.072;Real;;;
04/03/2024;5:00;0.071;Real;;;
04/03/2024;6:00;0.071;Real;;;
04/03/2024;7:00;0.128;Real;;;
04/03/2024;8:00;0.14;Real;;;
04/03/2024;9:00;0.142;Real;;;
04/03/2024;10:00;0.171;Real;;;
04/03/2024;11:00;0.13;Real;;;
04/03/2024;12:00;0.196;Real;;;
04/03/2024;13:00;0.234;Real;;;
