date;time;consumptionKWh;obtainMethod;surplusEnergyKWh;generationEnergyKWh;selfConsumptionEnergyKWh
01/01/2023;1:00;0.086;Real;;;
01/01/2023;2:00;0.174;Real;;;
01/01/2023;3:00;0.074;Real;;;
01/01/2023;4:00;0.208;Real;;;
01/01/2023;5:00;0.363;Real;;;
01/01/2023;6:00;0.127;Real;;;
01/01/2023;7:00;0.145;Real;;;
01/01/2023;8:00;0.073;Real;;;
01/01/2023;9:00;0.095;Real;;;
01/01/2023;10:00;0.161;Real;;;
01/01/2023;11:00;0.158;Real;;;
01/01/2023;12:00;0.217;Real;;;
01/01/2023;13:00;0.183;Real;;;
01/01/2023;14:00;0.084;Real;;;
01/01/2023;15:00;0.35;Real;;;
01/01/2023;16:00;1.29;Real;;;
01/01/2023;17:00;0.359;Real;;;
01/01/2023;18:00;0.22;Real;;;
01/01/2023;19:00;0.309;Real;;;
01/01/2023;20:00;0.326;Real;;;
01/01/2023;21:00;0.313;Real;;;
01/01/2023;22:00;0.329;Real;;;
01/01/2023;23:00;0.323;Real;;;
01/01/2023;24:00:00;0.293;Real;;;
02/01/2023;1:00;0.249;Real;;;
02/01/2023;2:00;0.138;Real;;;
02/01/2023;3:00;0.082;Real;;;
02/01/2023;4:00;0.099;Real;;;
02/01/2023;5:00;0.141;Real;;;
02/01/2023;6:00;0.09;Real;;;
02/01/2023;7:00;0.142;Real;;;
02/01/2023;8:00;0.095;Real;;;
02/01/2023;9:00;0.074;Real;;;
02/01/2023;10:00;0.173;Real;;;
02/01/2023;11:00;0.296;Real;;;
02/01/2023;12:00;0.123;Real;;;
02/01/2023;13:00;0.193;Real;;;
02/01/2023;14:00;1.24;Real;;;
02/01/2023;15:00;0.825;Real;;;
02/01/2023;16:00;0.222;Real;;;
02/01/2023;17:00;0.315;Real;;;
02/01/2023;18:00;0.312;Real;;;
02/01/2023;19:00;0.179;Real;;;
02/01/2023;20:00;0.107;Real;;;
02/01/2023;21:00;0.154;Real;;;
02/01/2023;22:00;0.299;Real;;;
02/01/2023;23:00;0.275;Real;;;
02/01/2023;24:00:00;0.332;Real;;;
03/01/2023;1:00;0.331;Real;;;
03/01/2023;2:00;0.335;Real;;;
03/01/2023;3:00;0.092;Real;;;
03/01/2023;4:00;0.083;Real;;;
03/01/2023;5:00;0.17;Real;;;
03/01/2023;6:00;0.091;Real;;;
03/01/2023;7:00;0.145;Real;;;
03/01/2023;8:00;0.093;Real;;;
03/01/2023;9:00;0.143;Real;;;
03/01/2023;10:00;0.907;Real;;;
03/01/2023;11:00;0.369;Real;;;
03/01/2023;12:00;0.232;Real;;;
03/01/2023;13:00;0.971;Real;;;
03/01/2023;14:00;0.687;Real;;;
03/01/2023;15:00;0.714;Real;;;
03/01/2023;16:00;0.265;Real;;;
03/01/2023;17:00;0.215;Real;;;
03/01/2023;18:00;0.155;Real;;;
03/01/2023;19:00;0.243;Real;;;
03/01/2023;20:00;0.382;Real;;;
03/01/2023;21:00;0.315;Real;;;
03/01/2023;22:00;0.457;Real;;;
03/01/2023;23:00;0.282;Real;;;
03/01/2023;24:00:00;0.422;Real;;;
04/01/2023;1:00;0.285;Real;;;
04/01/2023;2:00;0.076;Real;;;
04/01/2023;3:00;0.136;Real;;;
04/01/2023;4:00;0.152;Real;;;
04/01/2023;5:00;0.074;Real;;;
04/01/2023;6:00;0.102;Real;;;
04/01/2023;7:00;0.166;Real;;;
04/01/2023;8:00;0.103;Real;;;
04/01/2023;9:00;0.163;Real;;;
04/01/2023;10:00;0.315;Real;;;
04/01/2023;11:00;0.223;Real;;;
04/01/2023;12:00;0.52;Real;;;
04/01/2023;13:00;0.954;Real;;;
04/01/2023;14:00;0.529;Real;;;
04/01/2023;15:00;0.674;Real;;;
04/01/2023;16:00;0.285;Real;;;
04/01/2023;17:00;0.286;Real;;;
04/01/2023;18:00;0.294;Real;;;
04/01/2023;19:00;0.34;Real;;;
04/01/2023;20:00;0.311;Real;;;
04/01/2023;21:00;0.403;Real;;;
04/01/2023;22:00;0.405;Real;;;
04/01/2023;23:00;0.331;Real;;;
04/01/2023;24:00:00;0.257;Real;;;
05/01/2023;1:00;0.242;Real;;;
05/01/2023;2:00;0.173;Real;;;
05/01/2023;3:00;0.076;Real;;;
05/01/2023;4:00;0.099;Real;;;
05/01/2023;5:00;0.15;Real;;;
05/01/2023;6:00;0.085;Real;;;
05/01/2023;7:00;0.102;Real;;;
05/01/2023;8:00;0.129;Real;;;
05/01/2023;9:00;0.245;Real;;;
05/01/2023;10:00;0.341;Real;;;
05/01/2023;11:00;0.18;Real;;;
05/01/2023;12:00;0.15;Real;;;
05/01/2023;13:00;0.226;Real;;;
05/01/2023;14:00;0.736;Real;;;
05/01/2023;15:00;0.855;Real;;;
05/01/2023;16:00;0.255;Real;;;
05/01/2023;17:00;0.29;Real;;;
05/01/2023;18:00;0.359;Real;;;
05/01/2023;19:00;0.346;Real;;;
05/01/2023;20:00;0.293;Real;;;
05/01/2023;21:00;0.75;Real;;;
05/01/2023;22:00;1.411;Real;;;
05/01/2023;23:00;1.112;Real;;;
05/01/2023;24:00:00;0.797;Real;;;
06/01/2023;1:00;0.258;Real;;;
06/01/2023;2:00;0.273;Real;;;
06/01/2023;3:00;0.151;Real;;;
06/01/2023;4:00;0.114;Real;;;
06/01/2023;5:00;0.074;Real;;;
06/01/2023;6:00;0.129;Real;;;
06/01/2023;7:00;0.135;Real;;;
06/01/2023;8:00;0.073;Real;;;
06/01/2023;9:00;0.112;Real;;;
06/01/2023;10:00;0.154;Real;;;
06/01/2023;11:00;0.633;Real;;;
