date;time;consumptionKWh;obtainMethod;surplusEnergyKWh;generationEnergyKWh;selfConsumptionEnergyKWh
01/02/2023;1:00;0.72;Real;;;
01/02/2023;2:00;0.24;Real;;;
01/02/2023;3:00;0.481;Real;;;
01/02/2023;4:00;0.11;Real;;;
01/02/2023;5:00;0.165;Real;;;
01/02/2023;6:00;0.1;Real;;;
01/02/2023;7:00;0.477;Real;;;
01/02/2023;8:00;0.323;Real;;;
01/02/2023;9:00;0.077;Real;;;
01/02/2023;10:00;0.286;Real;;;
01/02/2023;11:00;0.273;Real;;;
01/02/2023;12:00;0.216;Real;;;
01/02/2023;13:00;0.233;Real;;;
01/02/2023;14:00;0.144;Real;;;
01/02/2023;15:00;0.084;Real;;;
01/02/2023;16:00;0.158;Real;;;
01/02/2023;17:00;0.251;Real;;;
01/02/2023;18:00;0.299;Real;;;
01/02/2023;19:00;0.158;Real;;;
01/02/2023;20:00;0.097;Real;;;
01/02/2023;21:00;0.183;Real;;;
01/02/2023;22:00;0.326;Real;;;
01/02/2023;23:00;0.578;Real;;;
01/02/2023;24:00:00;0.695;Real;;;
02/02/2023;1:00;0.447;Real;;;
02/02/2023;2:00;0.38;Real;;;
02/02/2023;3:00;0.195;Real;;;
02/02/2023;4:00;0.075;Real;;;
02/02/2023;5:00;0.076;Real;;;
02/02/2023;6:00;0.06;Real;;;
02/02/2023;7:00;0.227;Real;;;
02/02/2023;8:00;0.254;Real;;;
02/02/2023;9:00;0.083;Real;;;
02/02/2023;10:00;0.253;Real;;;
02/02/2023;11:00;0.078;Real;;;
02/02/2023;12:00;0.224;Real;;;
02/02/2023;13:00;0.248;Real;;;
02/02/2023;14:00;0.234;Real;;;
02/02/2023;15:00;0.531;Real;;;
02/02/2023;16:00;0.434;Real;;;
02/02/2023;17:00;0.083;Real;;;
02/02/2023;18:00;0.141;Real;;;
02/02/2023;19:00;0.076;Real;;;
02/02/2023;20:00;0.066;Real;;;
02/02/2023;21:00;0.088;Real;;;
02/02/2023;22:00;0.077;Real;;;
02/02/2023;23:00;0.094;Real;;;
02/02/2023;24:00:00;0.17;Real;;;
03/02/2023;1:00;0.306;Real;;;
03/02/2023;2:00;0.696;Real;;;
03/02/2023;3:00;0.09;Real;;;
03/02/2023;4:00;0.093;Real;;;
03/02/2023;5:00;0.069;Real;;;
03/02/2023;6:00;0.143;Real;;;
03/02/2023;7:00;0.246;Real;;;
03/02/2023;8:00;0.164;Real;;;
03/02/2023;9:00;0.291;Real;;;
03/02/2023;10:00;0.147;Real;;;
03/02/2023;11:00;0.119;Real;;;
03/02/2023;12:00;0.234;Real;;;
03/02/2023;13:00;0.227;Real;;;
03/02/2023;14:00;0.221;Real;;;
03/02/2023;15:00;0.181;Real;;;
03/02/2023;16:00;0.116;Real;;;
03/02/2023;17:00;0.286;Real;;;
03/02/2023;18:00;0.248;Real;;;
03/02/2023;19:00;0.125;Real;;;
03/02/2023;20:00;0.144;Real;;;
03/02/2023;21:00;0.128;Real;;;
03/02/2023;22:00;0.139;Real;;;
03/02/2023;23:00;0.132;Real;;;
03/02/2023;24:00:00;0.343;Real;;;
04/02/2023;1:00;0.823;Real;;;
04/02/2023;2:00;0.17;Real;;;
04/02/2023;3:00;0.445;Real;;;
04/02/2023;4:00;0.106;Real;;;
04/02/2023;5:00;0.061;Real;;;
04/02/2023;6:00;0.083;Real;;;
04/02/2023;7:00;0.09;Real;;;
04/02/2023;8:00;0.131;Real;;;
04/02/2023;9:00;0.09;Real;;;
04/02/2023;10:00;0.245;Real;;;
04/02/2023;11:00;0.116;Real;;;
04/02/2023;12:00;0.271;Real;;;
04/02/2023;13:00;0.514;Real;;;
04/02/2023;14:00;1.214;Real;;;
04/02/2023;15:00;0.094;Real;;;
04/02/2023;16:00;0.08;Real;;;
04/02/2023;17:00;0.17;Real;;;
04/02/2023;18:00;0.308;Real;;;
04/02/2023;19:00;0.368;Real;;;
04/02/2023;20:00;0.126;Real;;;
04/02/2023;21:00;0.114;Real;;;
04/02/2023;22:00;0.131;Real;;;
04/02/2023;23:00;0.084;Real;;;
04/02/2023;24:00:00;0.088;Real;;;
05/02/2023;1:00;0.051;Real;;;
05/02/2023;2:00;0.344;Real;;;
05/02/2023;3:00;0.656;Real;;;
05/02/2023;4:00;0.135;Real;;;
05/02/2023;5:00;0.534;Real;;;
05/02/2023;6:00;0.096;Real;;;
05/02/2023;7:00;0.111;Real;;;
05/02/2023;8:00;0.251;Real;;;
05/02/2023;9:00;0.258;Real;;;
05/02/2023;10:00;0.639;Real;;;
05/02/2023;11:00;0.365;Real;;;
05/02/2023;12:00;0.32;Real;;;
05/02/2023;13:00;0.199;Real;;;
05/02/2023;14:00;0.066;Real;;;
05/02/2023;15:00;0.633;Real;;;
05/02/2023;16:00;0.192;Real;;;
05/02/2023;17:00;0.072;Real;;;
05/02/2023;18:00;0.176;Real;;;
05/02/2023;19:00;0.1;Real;;;
05/02/2023;20:00;0.136;Real;;;
05/02/2023;21:00;0.111;Real;;;
05/02/2023;22:00;0.69;Real;;;
05/02/2023;23:00;0.548;Real;;;
05/02/2023;24:00:00;0.901;Real;;;
06/02/2023;1:00;0.205;Real;;;
06/02/2023;2:00;0.532;Real;;;
06/02/2023;3:00;0.078;Real;;;
06/02/2023;4:00;0.071;Real;;;
06/02/2023;5:00;0.088;Real;;;
06/02/2023;6:00;0.07;Real;;;
06/02/2023;7:00;0.211;Real;;;
06/02/2023;8:00;0.133;Real;;;
06/02/2023;9:00;0.064;Real;;;
06/02/2023;10:00;0.203;Real;;;
06/02/2023;11:00;0.246;Real;;;
06/02/2023;12:00;0.238;Real;;;
06/02/2023;13:00;0.833;Real;;;
06/02/2023;14:00;0.396;Real;;;
06/02/2023;15:00;0.216;Real;;;
06/02/2023;16:00;0.228;Real;;;
06/02/2023;17:00;0.219;Real;;;
06/02/2023;18:00;0.198;Real;;;
06/02/2023;19:00;0.254;Real;;;
06/02/2023;20:00;0.288;Real;;;
06/02/2023;21:00;0.282;Real;;;
06/02/2023;22:00;0.137;Real;;;
06/02/2023;23:00;0.185;Real;;;
06/02/2023;24:00:00;0.124;Real;;;
07/02/2023;1:00;0.126;Real;;;
07/02/2023;2:00;0.823;Real;;;
