date;time;consumptionKWh;obtainMethod;surplusEnergyKWh;generationEnergyKWh;selfConsumptionEnergyKWh;año;mes;cluster_k4_2023_02
2023-02-01;1:00;0.186;Real;;;;2023;2;2
2023-02-01;2:00;0.021;Real;;;;2023;2;2
2023-02-01;3:00;0.039;Real;;;;2023;2;2
2023-02-01;4:00;0.028;Real;;;;2023;2;2
2023-02-01;5:00;0.027;Real;;;;2023;2;2
2023-02-01;6:00;0.168;Real;;;;2023;2;2
2023-02-01;7:00;0.028;Real;;;;2023;2;2
2023-02-01;8:00;0.918;Real;;;;2023;2;2
2023-02-01;9:00;0.694;Real;;;;2023;2;2
2023-02-01;10:00;1.447;Real;;;;2023;2;2
2023-02-01;11:00;0.452;Real;;;;2023;2;2
2023-02-01;12:00;1.1;Real;;;;2023;2;2
2023-02-01;13:00;0.21;Real;;;;2023;2;2
2023-02-01;14:00;0.139;Real;;;;2023;2;2
2023-02-01;15:00;1.912;Real;;;;2023;2;2
2023-02-01;16:00;1.242;Real;;;;2023;2;2
2023-02-01;17:00;1.197;Real;;;;2023;2;2
2023-02-01;18:00;0.39;Real;;;;2023;2;2
2023-02-01;19:00;0.832;Real;;;;2023;2;2
2023-02-01;20:00;1.235;Real;;;;2023;2;2
2023-02-01;21:00;0.857;Real;;;;2023;2;2
2023-02-01;22:00;0.822;Real;;;;2023;2;2
2023-02-01;23:00;0.925;Real;;;;2023;2;2
2023-02-01;24:00:00;0.799;Real;;;;2023;2;2
2023-02-02;1:00;0.085;Real;;;;2023;2;2
2023-02-02;2:00;0.027;Real;;;;2023;2;2
2023-02-02;3:00;0.176;Real;;;;2023;2;2
2023-02-02;4:00;0.02;Real;;;;2023;2;2
2023-02-02;5:00;0.038;Real;;;;2023;2;2
2023-02-02;6:00;0.032;Real;;;;2023;2;2
2023-02-02;7:00;0.151;Real;;;;2023;2;2
2023-02-02;8:00;1.004;Real;;;;2023;2;2
2023-02-02;9:00;0.46;Real;;;;2023;2;2
2023-02-02;10:00;0.823;Real;;;;2023;2;2
2023-02-02;11:00;1.183;Real;;;;2023;2;2
2023-02-02;12:00;0.496;Real;;;;2023;2;2
2023-02-02;13:00;0.175;Real;;;;2023;2;2
2023-02-02;14:00;0.042;Real;;;;2023;2;2
2023-02-02;15:00;0.095;Real;;;;2023;2;2
2023-02-02;16:00;0.438;Real;;;;2023;2;2
2023-02-02;17:00;0.376;Real;;;;2023;2;2
2023-02-02;18:00;0.115;Real;;;;2023;2;2
2023-02-02;19:00;0.672;Real;;;;2023;2;2
2023-02-02;20:00;0.768;Real;;;;2023;2;2
2023-02-02;21:00;1.023;Real;;;;2023;2;2
2023-02-02;22:00;1.054;Real;;;;2023;2;2
2023-02-02;23:00;1.262;Real;;;;2023;2;2
2023-02-02;24:00:00;0.409;Real;;;;2023;2;2
2023-02-03;1:00;0.071;Real;;;;2023;2;2
2023-02-03;2:00;0.044;Real;;;;2023;2;2
2023-02-03;3:00;0.039;Real;;;;2023;2;2
2023-02-03;4:00;0.09;Real;;;;2023;2;2
2023-02-03;5:00;0.149;Real;;;;2023;2;2
2023-02-03;6:00;0.036;Real;;;;2023;2;2
2023-02-03;7:00;0.811;Real;;;;2023;2;2
2023-02-03;8:00;0.614;Real;;;;2023;2;2
2023-02-03;9:00;0.252;Real;;;;2023;2;2
2023-02-03;10:00;0.223;Real;;;;2023;2;2
2023-02-03;11:00;0.62;Real;;;;2023;2;2
2023-02-03;12:00;0.584;Real;;;;2023;2;2
2023-02-03;13:00;0.054;Real;;;;2023;2;2
2023-02-03;14:00;0.04;Real;;;;2023;2;2
2023-02-03;15:00;0.186;Real;;;;2023;2;2
2023-02-03;16:00;0.787;Real;;;;2023;2;2
2023-02-03;17:00;0.503;Real;;;;2023;2;2
2023-02-03;18:00;0.269;Real;;;;2023;2;2
2023-02-03;19:00;0.212;Real;;;;2023;2;2
2023-02-03;20:00;0.048;Real;;;;2023;2;2
2023-02-03;21:00;0.037;Real;;;;2023;2;2
2023-02-03;22:00;0.973;Real;;;;2023;2;2
2023-02-03;23:00;0.139;Real;;;;2023;2;2
2023-02-03;24:00:00;0.332;Real;;;;2023;2;2
2023-02-04;1:00;0.088;Real;;;;2023;2;2
2023-02-04;2:00;0.249;Real;;;;2023;2;2
2023-02-04;3:00;0.05;Real;;;;2023;2;2
2023-02-04;4:00;0.043;Real;;;;2023;2;2
2023-02-04;5:00;0.039;Real;;;;2023;2;2
