date;time;consumptionKWh;obtainMethod;surplusEnergyKWh;generationEnergyKWh;selfConsumptionEnergyKWh;año;mes;cluster_k4_2023_01
2023-01-01;1:00;0.781;Real;;;;2023;1;0
2023-01-01;2:00;0.158;Real;;;;2023;1;0
2023-01-01;3:00;0.075;Real;;;;2023;1;0
2023-01-01;4:00;0.068;Real;;;;2023;1;0
2023-01-01;5:00;0.063;Real;;;;2023;1;0
2023-01-01;6:00;0.068;Real;;;;2023;1;0
2023-01-01;7:00;0.06;Real;;;;2023;1;0
2023-01-01;8:00;0.063;Real;;;;2023;1;0
2023-01-01;9:00;0.06;Real;;;;2023;1;0
2023-01-01;10:00;0.059;Real;;;;2023;1;0
2023-01-01;11:00;0.116;Real;;;;2023;1;0
2023-01-01;12:00;0.66;Real;;;;2023;1;0
2023-01-01;13:00;0.435;Real;;;;2023;1;0
2023-01-01;14:00;0.085;Real;;;;2023;1;0
2023-01-01;15:00;0.227;Real;;;;2023;1;0
2023-01-01;16:00;0.193;Real;;;;2023;1;0
2023-01-01;17:00;0.165;Real;;;;2023;1;0
2023-01-01;18:00;0.113;Real;;;;2023;1;0
2023-01-01;19:00;0.19;Real;;;;2023;1;0
2023-01-01;20:00;0.147;Real;;;;2023;1;0
2023-01-01;21:00;0.146;Real;;;;2023;1;0
2023-01-01;22:00;0.235;Real;;;;2023;1;0
2023-01-01;23:00;0.24;Real;;;;2023;1;0
2023-01-01;24:00:00;0.173;Real;;;;2023;1;0
2023-01-02;1:00;0.177;Real;;;;2023;1;0
2023-01-02;2:00;0.082;Real;;;;2023;1;0
2023-01-02;3:00;0.06;Real;;;;2023;1;0
2023-01-02;4:00;0.068;Real;;;;2023;1;0
2023-01-02;5:00;0.061;Real;;;;2023;1;0
2023-01-02;6:00;0.059;Real;;;;2023;1;0
2023-01-02;7:00;0.066;Real;;;;2023;1;0
2023-01-02;8:00;0.06;Real;;;;2023;1;0
2023-01-02;9:00;0.059;Real;;;;2023;1;0
2023-01-02;10:00;0.065;Real;;;;2023;1;0
2023-01-02;11:00;0.449;Real;;;;2023;1;0
2023-01-02;12:00;0.418;Real;;;;2023;1;0
2023-01-02;13:00;0.109;Real;;;;2023;1;0
2023-01-02;14:00;0.074;Real;;;;2023;1;0
2023-01-02;15:00;0.149;Real;;;;2023;1;0
2023-01-02;16:00;0.111;Real;;;;2023;1;0
2023-01-02;17:00;0.134;Real;;;;2023;1;0
2023-01-02;18:00;0.158;Real;;;;2023;1;0
2023-01-02;19:00;0.138;Real;;;;2023;1;0
2023-01-02;20:00;0.375;Real;;;;2023;1;0
2023-01-02;21:00;0.157;Real;;;;2023;1;0
2023-01-02;22:00;0.197;Real;;;;2023;1;0
2023-01-02;23:00;0.148;Real;;;;2023;1;0
2023-01-02;24:00:00;0.151;Real;;;;2023;1;0
2023-01-03;1:00;0.097;Real;;;;2023;1;0
2023-01-03;2:00;0.063;Real;;;;2023;1;0
2023-01-03;3:00;0.063;Real;;;;2023;1;0
2023-01-03;4:00;0.058;Real;;;;2023;1;0
2023-01-03;5:00;0.065;Real;;;;2023;1;0
2023-01-03;6:00;0.125;Real;;;;2023;1;0
2023-01-03;7:00;0.064;Real;;;;2023;1;0
2023-01-03;8:00;0.058;Real;;;;2023;1;0
2023-01-03;9:00;0.089;Real;;;;2023;1;0
2023-01-03;10:00;0.116;Real;;;;2023;1;0
2023-01-03;11:00;0.076;Real;;;;2023;1;0
2023-01-03;12:00;0.091;Real;;;;2023;1;0
2023-01-03;13:00;0.083;Real;;;;2023;1;0
2023-01-03;14:00;0.138;Real;;;;2023;1;0
2023-01-03;15:00;0.275;Real;;;;2023;1;0
2023-01-03;16:00;0.149;Real;;;;2023;1;0
2023-01-03;17:00;0.137;Real;;;;2023;1;0
2023-01-03;18:00;0.169;Real;;;;2023;1;0
2023-01-03;19:00;0.133;Real;;;;2023;1;0
2023-01-03;20:00;0.117;Real;;;;2023;1;0
2023-01-03;21:00;0.187;Real;;;;2023;1;0
2023-01-03;22:00;0.209;Real;;;;2023;1;0
2023-01-03;23:00;0.186;Real;;;;2023;1;0
2023-01-03;24:00:00;0.17;Real;;;;2023;1;0
2023-01-04;1:00;0.16;Real;;;;2023;1;0
2023-01-04;2:00;0.124;Real;;;;2023;1;0
2023-01-04;3:00;0.078;Real;;;;2023;1;0
2023-01-04;4:00;0.073;Real;;;;2023;1;0
2023-01-04;5:00;0.062;Real;;;;2023;1;0
2023-01-04;6:00;0.06;Real;;;;2023;1;0
2023-01-04;7:00;0.06;Real;;;;2023;1;0
2023-01-04;8:00;0.064;Real;;;;2023;1;0
2023-01-04;9:00;0.06;Real;;;;2023;1;0
