date;time;consumptionKWh;obtainMethod;surplusEnergyKWh;generationEnergyKWh;selfConsumptionEnergyKWh;año;mes;cluster_k4_2023_03
2023-03-01;1:00;0.132;Real;;;;2023;3;2
2023-03-01;2:00;0.087;Real;;;;2023;3;2
2023-03-01;3:00;0.098;Real;;;;2023;3;2
2023-03-01;4:00;0.077;Real;;;;2023;3;2
2023-03-01;5:00;0.096;Real;;;;2023;3;2
2023-03-01;6:00;0.079;Real;;;;2023;3;2
2023-03-01;7:00;0.095;Real;;;;2023;3;2
2023-03-01;8:00;0.64;Real;;;;2023;3;2
2023-03-01;9:00;0.938;Real;;;;2023;3;2
2023-03-01;10:00;0.245;Real;;;;2023;3;2
2023-03-01;11:00;0.516;Real;;;;2023;3;2
2023-03-01;12:00;0.083;Real;;;;2023;3;2
2023-03-01;13:00;0.087;Real;;;;2023;3;2
2023-03-01;14:00;0.205;Real;;;;2023;3;2
2023-03-01;15:00;0.206;Real;;;;2023;3;2
2023-03-01;16:00;0.239;Real;;;;2023;3;2
2023-03-01;17:00;0.11;Real;;;;2023;3;2
2023-03-01;18:00;0.106;Real;;;;2023;3;2
2023-03-01;19:00;0.091;Real;;;;2023;3;2
2023-03-01;20:00;0.231;Real;;;;2023;3;2
2023-03-01;21:00;0.651;Real;;;;2023;3;2
2023-03-01;22:00;0.784;Real;;;;2023;3;2
2023-03-01;23:00;0.199;Real;;;;2023;3;2
2023-03-01;24:00:00;0.185;Real;;;;2023;3;2
2023-03-02;1:00;0.131;Real;;;;2023;3;2
2023-03-02;2:00;0.129;Real;;;;2023;3;2
2023-03-02;3:00;0.131;Real;;;;2023;3;2
2023-03-02;4:00;0.128;Real;;;;2023;3;2
2023-03-02;5:00;0.064;Real;;;;2023;3;2
2023-03-02;6:00;0.091;Real;;;;2023;3;2
2023-03-02;7:00;0.08;Real;;;;2023;3;2
2023-03-02;8:00;0.29;Real;;;;2023;3;2
2023-03-02;9:00;0.099;Real;;;;2023;3;2
2023-03-02;10:00;0.09;Real;;;;2023;3;2
2023-03-02;11:00;0.144;Real;;;;2023;3;2
2023-03-02;12:00;0.121;Real;;;;2023;3;2
2023-03-02;13:00;0.093;Real;;;;2023;3;2
2023-03-02;14:00;0.422;Real;;;;2023;3;2
