date;time;consumptionKWh;obtainMethod;surplusEnergyKWh;generationEnergyKWh;selfConsumptionEnergyKWh;año;mes;cluster_k2_2024_12
2024-12-01;1:00;0.781;Real;;;;2024;12;0
2024-12-01;2:00;0.112;Real;;;;2024;12;0
2024-12-01;3:00;0.5;Real;;;;2024;12;0
2024-12-01;4:00;0.142;Real;;;;2024;12;0
2024-12-01;5:00;0.094;Real;;;;2024;12;0
2024-12-01;6:00;0.083;Real;;;;2024;12;0
2024-12-01;7:00;0.079;Real;;;;2024;12;0
2024-12-01;8:00;0.076;Real;;;;2024;12;0
2024-12-01;9:00;0.075;Real;;;;2024;12;0
2024-12-01;10:00;0.079;Real;;;;2024;12;0
2024-12-01;11:00;0.119;Real;;;;2024;12;0
2024-12-01;12:00;0.38;Real;;;;2024;12;0
2024-12-01;13:00;0.624;Real;;;;2024;12;0
2024-12-01;14:00;0.269;Real;;;;2024;12;0
2024-12-01;15:00;0.139;Real;;;;2024;12;0
2024-12-01;16:00;0.399;Real;;;;2024;12;0
2024-12-01;17:00;0.176;Real;;;;2024;12;0
2024-12-01;18:00;0.127;Real;;;;2024;12;0
2024-12-01;19:00;0.181;Real;;;;2024;12;0
2024-12-01;20:00;0.256;Real;;;;2024;12;0
2024-12-01;21:00;0.09;Real;;;;2024;12;0
2024-12-01;22:00;0.089;Real;;;;2024;12;0
2024-12-01;23:00;0.736;Real;;;;2024;12;0
2024-12-01;24:00:00;0.169;Real;;;;2024;12;0
2024-12-02;1:00;0.909;Real;;;;2024;12;0
2024-12-02;2:00;0.136;Real;;;;2024;12;0
2024-12-02;3:00;0.471;Real;;;;2024;12;0
2024-12-02;4:00;0.088;Real;;;;2024;12;0
2024-12-02;5:00;0.14;Real;;;;2024;12;0
2024-12-02;6:00;0.158;Real;;;;2024;12;0
2024-12-02;7:00;0.359;Real;;;;2024;12;0
2024-12-02;8:00;0.294;Real;;;;2024;12;0
2024-12-02;9:00;0.356;Real;;;;2024;12;0
2024-12-02;10:00;0.231;Real;;;;2024;12;0
2024-12-02;11:00;0.241;Real;;;;2024;12;0
2024-12-02;12:00;0.222;Real;;;;2024;12;0
2024-12-02;13:00;0.216;Real;;;;2024;12;0
2024-12-02;14:00;0.32;Real;;;;2024;12;0
2024-12-02;15:00;0.306;Real;;;;2024;12;0
2024-12-02;16:00;0.221;Real;;;;2024;12;0
2024-12-02;17:00;0.447;Real;;;;2024;12;0
2024-12-02;18:00;0.149;Real;;;;2024;12;0
2024-12-02;19:00;0.144;Real;;;;2024;12;0
2024-12-02;20:00;0.127;Real;;;;2024;12;0
2024-12-02;21:00;0.11;Real;;;;2024;12;0
2024-12-02;22:00;0.141;Real;;;;2024;12;0
2024-12-02;23:00;0.146;Real;;;;2024;12;0
2024-12-02;24:00:00;0.193;Real;;;;2024;12;0
2024-12-03;1:00;0.833;Real;;;;2024;12;0
2024-12-03;2:00;0.14;Real;;;;2024;12;0
2024-12-03;3:00;0.538;Real;;;;2024;12;0
2024-12-03;4:00;0.128;Real;;;;2024;12;0
2024-12-03;5:00;0.194;Real;;;;2024;12;0
2024-12-03;6:00;0.336;Real;;;;2024;12;0
2024-12-03;7:00;0.162;Real;;;;2024;12;0
2024-12-03;8:00;0.31;Real;;;;2024;12;0
2024-12-03;9:00;0.314;Real;;;;2024;12;0
2024-12-03;10:00;0.226;Real;;;;2024;12;0
2024-12-03;11:00;0.222;Real;;;;2024;12;0
2024-12-03;12:00;0.235;Real;;;;2024;12;0
2024-12-03;13:00;0.28;Real;;;;2024;12;0
2024-12-03;14:00;0.167;Real;;;;2024;12;0
2024-12-03;15:00;0.086;Real;;;;2024;12;0
2024-12-03;16:00;0.101;Real;;;;2024;12;0
2024-12-03;17:00;0.068;Real;;;;2024;12;0
2024-12-03;18:00;0.071;Real;;;;2024;12;0
2024-12-03;19:00;0.081;Real;;;;2024;12;0
2024-12-03;20:00;0.107;Real;;;;2024;12;0
2024-12-03;21:00;0.27;Real;;;;2024;12;0
2024-12-03;22:00;0.171;Real;;;;2024;12;0
2024-12-03;23:00;0.323;Real;;;;2024;12;0
2024-12-03;24:00:00;0.342;Real;;;;2024;12;0
2024-12-04;1:00;0.841;Real;;;;2024;12;0
2024-12-04;2:00;0.472;Real;;;;2024;12;0
2024-12-04;3:00;0.394;Real;;;;2024;12;0
2024-12-04;4:00;0.408;Real;;;;2024;12;0
2024-12-04;5:00;0.177;Real;;;;2024;12;0
2024-12-04;6:00;0.306;Real;;;;2024;12;0
2024-12-04;7:00;0.114;Real;;;;2024;12;0
2024-12-04;8:00;0.236;Real;;;;2024;12;0
2024-12-04;9:00;0.119;Real;;;;2024;12;0
2024-12-04;10:00;0.135;Real;;;;2024;12;0
2024-12-04;11:00;0.116;Real;;;;2024;12;0
2024-12-04;12:00;0.083;Real;;;;2024;12;0
2024-12-04;13:00;0.077;Real;;;;2024;12;0
2024-12-04;14:00;0.076;Real;;;;2024;12;0
2024-12-04;15:00;0.105;Real;;;;2024;12;0
2024-12-04;16:00;0.098;Real;;;;2024;12;0
2024-12-04;17:00;0.074;Real;;;;2024;12;0
2024-12-04;18:00;0.076;Real;;;;2024;12;0
2024-12-04;19:00;0.077;Real;;;;2024;12;0
2024-12-04;20:00;0.077;Real;;;;2024;12;0
2024-12-04;21:00;0.119;Real;;;;2024;12;0
2024-12-04;22:00;0.325;Real;;;;2024;12;0
2024-12-04;23:00;0.163;Real;;;;2024;12;0
2024-12-04;24:00:00;0.112;Real;;;;2024;12;0
2024-12-05;1:00;0.14;Real;;;;2024;12;0
2024-12-05;2:00;0.125;Real;;;;2024;12;0
2024-12-05;3:00;0.131;Real;;;;2024;12;0
2024-12-05;4:00;0.078;Real;;;;2024;12;0
2024-12-05;5:00;0.079;Real;;;;2024;12;0
2024-12-05;6:00;0.078;Real;;;;2024;12;0
2024-12-05;7:00;0.079;Real;;;;2024;12;0
2024-12-05;8:00;0.223;Real;;;;2024;12;0
2024-12-05;9:00;0.106;Real;;;;2024;12;0
2024-12-05;10:00;0.108;Real;;;;2024;12;0
2024-12-05;11:00;0.118;Real;;;;2024;12;0
2024-12-05;12:00;0.076;Real;;;;2024;12;0
2024-12-05;13:00;0.081;Real;;;;2024;12;0
2024-12-05;14:00;0.135;Real;;;;2024;12;0
2024-12-05;15:00;0.092;Real;;;;2024;12;0
2024-12-05;16:00;0.17;Real;;;;2024;12;0
2024-12-05;17:00;0.119;Real;;;;2024;12;0
2024-12-05;18:00;0.101;Real;;;;2024;12;0
2024-12-05;19:00;0.287;Real;;;;2024;12;0
2024-12-05;20:00;0.2;Real;;;;2024;12;0
2024-12-05;21:00;0.086;Real;;;;2024;12;0
2024-12-05;22:00;0.295;Real;;;;2024;12;0
2024-12-05;23:00;0.199;Real;;;;2024;12;0
2024-12-05;24:00:00;0.459;Real;;;;2024;12;0
2024-12-06;1:00;0.533;Real;;;;2024;12;0
2024-12-06;2:00;0.253;Real;;;;2024;12;0
2024-12-06;3:00;0.325;Real;;;;2024;12;0
2024-12-06;4:00;0.088;Real;;;;2024;12;0
2024-12-06;5:00;0.097;Real;;;;2024;12;0
2024-12-06;6:00;0.144;Real;;;;2024;12;0
2024-12-06;7:00;0.216;Real;;;;2024;12;0
2024-12-06;8:00;0.483;Real;;;;2024;12;0
2024-12-06;9:00;0.282;Real;;;;2024;12;0
2024-12-06;10:00;0.37;Real;;;;2024;12;0
2024-12-06;11:00;0.21;Real;;;;2024;12;0
2024-12-06;12:00;0.404;Real;;;;2024;12;0
2024-12-06;13:00;0.27;Real;;;;2024;12;0
2024-12-06;14:00;0.244;Real;;;;2024;12;0
2024-12-06;15:00;0.913;Real;;;;2024;12;0
2024-12-06;16:00;0.349;Real;;;;2024;12;0
2024-12-06;17:00;0.214;Real;;;;2024;12;0
2024-12-06;18:00;0.255;Real;;;;2024;12;0
2024-12-06;19:00;0.325;Real;;;;2024;12;0
2024-12-06;20:00;0.156;Real;;;;2024;12;0
2024-12-06;21:00;0.123;Real;;;;2024;12;0
2024-12-06;22:00;0.091;Real;;;;2024;12;0
2024-12-06;23:00;0.087;Real;;;;2024;12;0
2024-12-06;24:00:00;0.081;Real;;;;2024;12;0
2024-12-07;1:00;0.099;Real;;;;2024;12;0
2024-12-07;2:00;0.297;Real;;;;2024;12;0
2024-12-07;3:00;0.602;Real;;;;2024;12;0
2024-12-07;4:00;0.118;Real;;;;2024;12;0
2024-12-07;5:00;0.424;Real;;;;2024;12;0
2024-12-07;6:00;0.084;Real;;;;2024;12;0
2024-12-07;7:00;0.086;Real;;;;2024;12;0
2024-12-07;8:00;0.148;Real;;;;2024;12;0
2024-12-07;9:00;0.075;Real;;;;2024;12;0
2024-12-07;10:00;0.3;Real;;;;2024;12;0
2024-12-07;11:00;0.264;Real;;;;2024;12;0
2024-12-07;12:00;0.163;Real;;;;2024;12;0
2024-12-07;13:00;0.211;Real;;;;2024;12;0
2024-12-07;14:00;0.248;Real;;;;2024;12;0
2024-12-07;15:00;1.073;Real;;;;2024;12;0
2024-12-07;16:00;0.69;Real;;;;2024;12;0
2024-12-07;17:00;0.236;Real;;;;2024;12;0
2024-12-07;18:00;0.268;Real;;;;2024;12;0
2024-12-07;19:00;0.316;Real;;;;2024;12;0
2024-12-07;20:00;0.08;Real;;;;2024;12;0
2024-12-07;21:00;0.081;Real;;;;2024;12;0
2024-12-07;22:00;0.154;Real;;;;2024;12;0
2024-12-07;23:00;0.105;Real;;;;2024;12;0
2024-12-07;24:00:00;0.082;Real;;;;2024;12;0
2024-12-08;1:00;0.08;Real;;;;2024;12;0
2024-12-08;2:00;0.133;Real;;;;2024;12;0
2024-12-08;3:00;0.784;Real;;;;2024;12;0
2024-12-08;4:00;0.124;Real;;;;2024;12;0
2024-12-08;5:00;0.445;Real;;;;2024;12;0
2024-12-08;6:00;0.098;Real;;;;2024;12;0
2024-12-08;7:00;0.078;Real;;;;2024;12;0
2024-12-08;8:00;0.08;Real;;;;2024;12;0
2024-12-08;9:00;0.151;Real;;;;2024;12;0
2024-12-08;10:00;0.366;Real;;;;2024;12;0
2024-12-08;11:00;0.454;Real;;;;2024;12;0
2024-12-08;12:00;0.317;Real;;;;2024;12;0
2024-12-08;13:00;0.123;Real;;;;2024;12;0
2024-12-08;14:00;0.077;Real;;;;2024;12;0
2024-12-08;15:00;0.277;Real;;;;2024;12;0
2024-12-08;16:00;0.167;Real;;;;2024;12;0
2024-12-08;17:00;0.096;Real;;;;2024;12;0
2024-12-08;18:00;0.116;Real;;;;2024;12;0
2024-12-08;19:00;1.165;Real;;;;2024;12;0
2024-12-08;20:00;2.264;Real;;;;2024;12;0
2024-12-08;21:00;0.494;Real;;;;2024;12;0
2024-12-08;22:00;0.232;Real;;;;2024;12;0
2024-12-08;23:00;0.623;Real;;;;2024;12;0
2024-12-08;24:00:00;0.309;Real;;;;2024;12;0
2024-12-09;1:00;0.275;Real;;;;2024;12;0
2024-12-09;2:00;0.911;Real;;;;2024;12;0
2024-12-09;3:00;0.168;Real;;;;2024;12;0
2024-12-09;4:00;0.465;Real;;;;2024;12;0
2024-12-09;5:00;0.126;Real;;;;2024;12;0
2024-12-09;6:00;0.099;Real;;;;2024;12;0
2024-12-09;7:00;0.224;Real;;;;2024;12;0
2024-12-09;8:00;0.302;Real;;;;2024;12;0
2024-12-09;9:00;0.309;Real;;;;2024;12;0
2024-12-09;10:00;0.171;Real;;;;2024;12;0
2024-12-09;11:00;0.121;Real;;;;2024;12;0
2024-12-09;12:00;0.422;Real;;;;2024;12;0
2024-12-09;13:00;0.243;Real;;;;2024;12;0
2024-12-09;14:00;0.266;Real;;;;2024;12;0
2024-12-09;15:00;0.663;Real;;;;2024;12;0
2024-12-09;16:00;3.227;Real;;;;2024;12;0
2024-12-09;17:00;0.259;Real;;;;2024;12;0
2024-12-09;18:00;0.302;Real;;;;2024;12;0
2024-12-09;19:00;1.456;Real;;;;2024;12;0
2024-12-09;20:00;0.636;Real;;;;2024;12;0
2024-12-09;21:00;0.746;Real;;;;2024;12;0
2024-12-09;22:00;1.815;Real;;;;2024;12;0
2024-12-09;23:00;1.185;Real;;;;2024;12;0
2024-12-09;24:00:00;0.499;Real;;;;2024;12;0
2024-12-10;1:00;0.752;Real;;;;2024;12;0
2024-12-10;2:00;0.426;Real;;;;2024;12;0
2024-12-10;3:00;0.291;Real;;;;2024;12;0
2024-12-10;4:00;0.382;Real;;;;2024;12;0
2024-12-10;5:00;0.097;Real;;;;2024;12;0
2024-12-10;6:00;0.087;Real;;;;2024;12;0
2024-12-10;7:00;0.1;Real;;;;2024;12;0
2024-12-10;8:00;0.259;Real;;;;2024;12;0
2024-12-10;9:00;0.33;Real;;;;2024;12;0
2024-12-10;10:00;0.25;Real;;;;2024;12;0
2024-12-10;11:00;0.22;Real;;;;2024;12;0
2024-12-10;12:00;0.227;Real;;;;2024;12;0
2024-12-10;13:00;0.227;Real;;;;2024;12;0
2024-12-10;14:00;0.52;Real;;;;2024;12;0
2024-12-10;15:00;0.329;Real;;;;2024;12;0
2024-12-10;16:00;0.214;Real;;;;2024;12;0
2024-12-10;17:00;0.224;Real;;;;2024;12;0
2024-12-10;18:00;0.231;Real;;;;2024;12;0
2024-12-10;19:00;0.221;Real;;;;2024;12;0
2024-12-10;20:00;0.265;Real;;;;2024;12;0
2024-12-10;21:00;1.919;Real;;;;2024;12;0
2024-12-10;22:00;0.773;Real;;;;2024;12;0
2024-12-10;23:00;0.815;Real;;;;2024;12;0
2024-12-10;24:00:00;0.505;Real;;;;2024;12;0
2024-12-11;1:00;0.677;Real;;;;2024;12;0
2024-12-11;2:00;0.12;Real;;;;2024;12;0
2024-12-11;3:00;0.439;Real;;;;2024;12;0
2024-12-11;4:00;0.09;Real;;;;2024;12;0
2024-12-11;5:00;0.087;Real;;;;2024;12;0
2024-12-11;6:00;0.087;Real;;;;2024;12;0
2024-12-11;7:00;0.078;Real;;;;2024;12;0
2024-12-11;8:00;0.284;Real;;;;2024;12;0
2024-12-11;9:00;0.192;Real;;;;2024;12;0
2024-12-11;10:00;1.121;Real;;;;2024;12;0
2024-12-11;11:00;1.526;Real;;;;2024;12;0
2024-12-11;12:00;1.254;Real;;;;2024;12;0
2024-12-11;13:00;0.947;Real;;;;2024;12;0
2024-12-11;14:00;0.285;Real;;;;2024;12;0
2024-12-11;15:00;1.06;Real;;;;2024;12;0
2024-12-11;16:00;0.219;Real;;;;2024;12;0
2024-12-11;17:00;0.217;Real;;;;2024;12;0
2024-12-11;18:00;0.17;Real;;;;2024;12;0
2024-12-11;19:00;0.082;Real;;;;2024;12;0
2024-12-11;20:00;0.105;Real;;;;2024;12;0
2024-12-11;21:00;0.244;Real;;;;2024;12;0
2024-12-11;22:00;0.182;Real;;;;2024;12;0
2024-12-11;23:00;0.893;Real;;;;2024;12;0
2024-12-11;24:00:00;0.174;Real;;;;2024;12;0
2024-12-12;1:00;0.159;Real;;;;2024;12;0
2024-12-12;2:00;0.899;Real;;;;2024;12;0
2024-12-12;3:00;0.16;Real;;;;2024;12;0
2024-12-12;4:00;0.521;Real;;;;2024;12;0
2024-12-12;5:00;0.104;Real;;;;2024;12;0
2024-12-12;6:00;0.359;Real;;;;2024;12;0
2024-12-12;7:00;0.198;Real;;;;2024;12;0
2024-12-12;8:00;0.293;Real;;;;2024;12;0
2024-12-12;9:00;0.282;Real;;;;2024;12;0
2024-12-12;10:00;0.588;Real;;;;2024;12;0
2024-12-12;11:00;0.937;Real;;;;2024;12;0
2024-12-12;12:00;0.078;Real;;;;2024;12;0
2024-12-12;13:00;0.092;Real;;;;2024;12;0
2024-12-12;14:00;0.095;Real;;;;2024;12;0
2024-12-12;15:00;0.371;Real;;;;2024;12;0
2024-12-12;16:00;0.151;Real;;;;2024;12;0
2024-12-12;17:00;0.103;Real;;;;2024;12;0
2024-12-12;18:00;0.219;Real;;;;2024;12;0
2024-12-12;19:00;0.105;Real;;;;2024;12;0
2024-12-12;20:00;0.085;Real;;;;2024;12;0
2024-12-12;21:00;0.063;Real;;;;2024;12;0
2024-12-12;22:00;0.092;Real;;;;2024;12;0
2024-12-12;23:00;0.313;Real;;;;2024;12;0
2024-12-12;24:00:00;0.178;Real;;;;2024;12;0
2024-12-13;1:00;0.87;Real;;;;2024;12;0
2024-12-13;2:00;0.126;Real;;;;2024;12;0
2024-12-13;3:00;0.457;Real;;;;2024;12;0
2024-12-13;4:00;0.095;Real;;;;2024;12;0
2024-12-13;5:00;0.091;Real;;;;2024;12;0
2024-12-13;6:00;0.087;Real;;;;2024;12;0
2024-12-13;7:00;0.09;Real;;;;2024;12;0
2024-12-13;8:00;0.458;Real;;;;2024;12;0
2024-12-13;9:00;0.07;Real;;;;2024;12;0
2024-12-13;10:00;0.138;Real;;;;2024;12;0
2024-12-13;11:00;0.173;Real;;;;2024;12;0
2024-12-13;12:00;0.525;Real;;;;2024;12;0
2024-12-13;13:00;1.642;Real;;;;2024;12;0
2024-12-13;14:00;1.652;Real;;;;2024;12;0
2024-12-13;15:00;0.871;Real;;;;2024;12;0
2024-12-13;16:00;0.206;Real;;;;2024;12;0
2024-12-13;17:00;0.196;Real;;;;2024;12;0
