date;time;consumptionKWh;obtainMethod;surplusEnergyKWh;generationEnergyKWh;selfConsumptionEnergyKWh;cluster_k2_2023_12
2023-12-01;1:00;0.176;Real;;;;0
2023-12-01;2:00;0.041;Real;;;;0
2023-12-01;3:00;0.032;Real;;;;0
2023-12-01;4:00;0.056;Real;;;;0
2023-12-01;5:00;0.02;Real;;;;0
2023-12-01;6:00;0.185;Real;;;;0
2023-12-01;7:00;0.679;Real;;;;0
2023-12-01;8:00;1.271;Real;;;;0
2023-12-01;9:00;1.02;Real;;;;0
2023-12-01;10:00;0.103;Real;;;;0
2023-12-01;11:00;0.069;Real;;;;0
2023-12-01;12:00;0.058;Real;;;;0
2023-12-01;13:00;0.185;Real;;;;0
2023-12-01;14:00;0.046;Real;;;;0
2023-12-01;15:00;0.06;Real;;;;0
2023-12-01;16:00;0.031;Real;;;;0
2023-12-01;17:00;0.044;Real;;;;0
2023-12-01;18:00;0.115;Real;;;;0
2023-12-01;19:00;0.173;Real;;;;0
2023-12-01;20:00;0.059;Real;;;;0
2023-12-01;21:00;0.029;Real;;;;0
2023-12-01;22:00;0.057;Real;;;;0
2023-12-01;23:00;0.044;Real;;;;0
2023-12-01;24:00:00;0.046;Real;;;;0
2023-12-02;1:00;0.186;Real;;;;0
2023-12-02;2:00;0.047;Real;;;;0
2023-12-02;3:00;0.051;Real;;;;0
2023-12-02;4:00;0.035;Real;;;;0
2023-12-02;5:00;0.056;Real;;;;0
2023-12-02;6:00;0.029;Real;;;;0
2023-12-02;7:00;0.24;Real;;;;0
2023-12-02;8:00;0.066;Real;;;;0
2023-12-02;9:00;0.051;Real;;;;0
2023-12-02;10:00;0.038;Real;;;;0
2023-12-02;11:00;0.057;Real;;;;0
2023-12-02;12:00;0.157;Real;;;;0
2023-12-02;13:00;0.055;Real;;;;0
2023-12-02;14:00;0.032;Real;;;;0
2023-12-02;15:00;0.052;Real;;;;0
2023-12-02;16:00;0.048;Real;;;;0
2023-12-02;17:00;0.183;Real;;;;0
2023-12-02;18:00;0.046;Real;;;;0
2023-12-02;19:00;0.044;Real;;;;0
2023-12-02;20:00;0.05;Real;;;;0
2023-12-02;21:00;0.042;Real;;;;0
2023-12-02;22:00;0.05;Real;;;;0
2023-12-02;23:00;0.182;Real;;;;0
2023-12-02;24:00:00;0.051;Real;;;;0
2023-12-03;1:00;0.042;Real;;;;0
2023-12-03;2:00;0.051;Real;;;;0
2023-12-03;3:00;0.032;Real;;;;0
2023-12-03;4:00;0.054;Real;;;;0
2023-12-03;5:00;0.219;Real;;;;0
2023-12-03;6:00;0.088;Real;;;;0
2023-12-03;7:00;0.029;Real;;;;0
2023-12-03;8:00;0.064;Real;;;;0
2023-12-03;9:00;0.029;Real;;;;0
2023-12-03;10:00;0.189;Real;;;;0
2023-12-03;11:00;0.034;Real;;;;0
2023-12-03;12:00;0.051;Real;;;;0
2023-12-03;13:00;0.035;Real;;;;0
2023-12-03;14:00;0.046;Real;;;;0
2023-12-03;15:00;0.196;Real;;;;0
2023-12-03;16:00;0.048;Real;;;;0
2023-12-03;17:00;0.029;Real;;;;0
2023-12-03;18:00;0.053;Real;;;;0
2023-12-03;19:00;0.043;Real;;;;0
2023-12-03;20:00;0.036;Real;;;;0
2023-12-03;21:00;0.244;Real;;;;0
2023-12-03;22:00;0.145;Real;;;;0
2023-12-03;23:00;0.099;Real;;;;0
2023-12-03;24:00:00;0.082;Real;;;;0
2023-12-04;1:00;0.037;Real;;;;0
2023-12-04;2:00;0.037;Real;;;;0
2023-12-04;3:00;0.197;Real;;;;0
2023-12-04;4:00;0.104;Real;;;;0
2023-12-04;5:00;0.022;Real;;;;0
2023-12-04;6:00;0.046;Real;;;;0
2023-12-04;7:00;0.034;Real;;;;0
2023-12-04;8:00;0.862;Real;;;;0
2023-12-04;9:00;0.562;Real;;;;0
2023-12-04;10:00;0.046;Real;;;;0
2023-12-04;11:00;0.02;Real;;;;0
2023-12-04;12:00;0.195;Real;;;;0
