date;time;consumptionKWh;obtainMethod;surplusEnergyKWh;generationEnergyKWh;selfConsumptionEnergyKWh;año;mes;cluster_k2_2023_08
2023-08-01;1:00;0.205;Real;;;;2023;8;1
2023-08-01;2:00;0.086;Real;;;;2023;8;1
2023-08-01;3:00;0.076;Real;;;;2023;8;1
2023-08-01;4:00;0.073;Real;;;;2023;8;1
2023-08-01;5:00;0.071;Real;;;;2023;8;1
2023-08-01;6:00;0.07;Real;;;;2023;8;1
2023-08-01;7:00;0.068;Real;;;;2023;8;1
2023-08-01;8:00;0.062;Real;;;;2023;8;1
2023-08-01;9:00;0.074;Real;;;;2023;8;1
2023-08-01;10:00;0.382;Real;;;;2023;8;1
2023-08-01;11:00;0.378;Real;;;;2023;8;1
2023-08-01;12:00;0.304;Real;;;;2023;8;1
2023-08-01;13:00;0.513;Real;;;;2023;8;1
2023-08-01;14:00;0.555;Real;;;;2023;8;1
2023-08-01;15:00;0.548;Real;;;;2023;8;1
2023-08-01;16:00;0.476;Real;;;;2023;8;1
2023-08-01;17:00;0.468;Real;;;;2023;8;1
2023-08-01;18:00;0.455;Real;;;;2023;8;1
2023-08-01;19:00;0.453;Real;;;;2023;8;1
2023-08-01;20:00;0.508;Real;;;;2023;8;1
2023-08-01;21:00;0.461;Real;;;;2023;8;1
2023-08-01;22:00;0.526;Real;;;;2023;8;1
2023-08-01;23:00;0.439;Real;;;;2023;8;1
2023-08-01;24:00:00;0.358;Real;;;;2023;8;1
2023-08-02;1:00;0.22;Real;;;;2023;8;1
2023-08-02;2:00;0.089;Real;;;;2023;8;1
2023-08-02;3:00;0.079;Real;;;;2023;8;1
2023-08-02;4:00;0.07;Real;;;;2023;8;1
2023-08-02;5:00;0.062;Real;;;;2023;8;1
2023-08-02;6:00;0.069;Real;;;;2023;8;1
2023-08-02;7:00;0.063;Real;;;;2023;8;1
2023-08-02;8:00;0.065;Real;;;;2023;8;1
2023-08-02;9:00;0.071;Real;;;;2023;8;1
2023-08-02;10:00;0.104;Real;;;;2023;8;1
2023-08-02;11:00;0.106;Real;;;;2023;8;1
2023-08-02;12:00;0.108;Real;;;;2023;8;1
2023-08-02;13:00;0.173;Real;;;;2023;8;1
2023-08-02;14:00;0.239;Real;;;;2023;8;1
2023-08-02;15:00;0.534;Real;;;;2023;8;1
2023-08-02;16:00;0.56;Real;;;;2023;8;1
2023-08-02;17:00;0.511;Real;;;;2023;8;1
2023-08-02;18:00;0.486;Real;;;;2023;8;1
2023-08-02;19:00;0.519;Real;;;;2023;8;1
2023-08-02;20:00;0.52;Real;;;;2023;8;1
2023-08-02;21:00;0.492;Real;;;;2023;8;1
2023-08-02;22:00;0.553;Real;;;;2023;8;1
2023-08-02;23:00;0.422;Real;;;;2023;8;1
2023-08-02;24:00:00;0.116;Estimada;;;;2023;8;1
2023-08-03;1:00;0.104;Estimada;;;;2023;8;1
2023-08-03;2:00;0.089;Estimada;;;;2023;8;1
2023-08-03;3:00;0.079;Estimada;;;;2023;8;1
2023-08-03;4:00;0.074;Estimada;;;;2023;8;1
2023-08-03;5:00;0.071;Estimada;;;;2023;8;1
2023-08-03;6:00;0.07;Estimada;;;;2023;8;1
2023-08-03;7:00;0.072;Estimada;;;;2023;8;1
2023-08-03;8:00;0.073;Estimada;;;;2023;8;1
2023-08-03;9:00;0.154;Estimada;;;;2023;8;1
2023-08-03;10:00;0.176;Estimada;;;;2023;8;1
2023-08-03;11:00;0.193;Estimada;;;;2023;8;1
2023-08-03;12:00;0.202;Estimada;;;;2023;8;1
2023-08-03;13:00;0.213;Estimada;;;;2023;8;1
2023-08-03;14:00;0.23;Estimada;;;;2023;8;1
2023-08-03;15:00;0.235;Estimada;;;;2023;8;1
2023-08-03;16:00;0.228;Estimada;;;;2023;8;1
2023-08-03;17:00;0.224;Estimada;;;;2023;8;1
2023-08-03;18:00;0.226;Estimada;;;;2023;8;1
2023-08-03;19:00;0.229;Estimada;;;;2023;8;1
2023-08-03;20:00;0.227;Estimada;;;;2023;8;1
2023-08-03;21:00;0.231;Estimada;;;;2023;8;1
2023-08-03;22:00;0.256;Estimada;;;;2023;8;1
2023-08-03;23:00;0.258;Estimada;;;;2023;8;1
2023-08-03;24:00:00;0.229;Estimada;;;;2023;8;1
2023-08-04;1:00;0.106;Estimada;;;;2023;8;1
2023-08-04;2:00;0.091;Estimada;;;;2023;8;1
2023-08-04;3:00;0.081;Estimada;;;;2023;8;1
2023-08-04;4:00;0.075;Estimada;;;;2023;8;1
2023-08-04;5:00;0.072;Estimada;;;;2023;8;1
2023-08-04;6:00;0.071;Estimada;;;;2023;8;1
2023-08-04;7:00;0.073;Estimada;;;;2023;8;1
2023-08-04;8:00;0.074;Estimada;;;;2023;8;1
2023-08-04;9:00;0.157;Estimada;;;;2023;8;1
2023-08-04;10:00;0.179;Estimada;;;;2023;8;1
2023-08-04;11:00;0.198;Estimada;;;;2023;8;1
2023-08-04;12:00;0.207;Estimada;;;;2023;8;1
2023-08-04;13:00;0.218;Estimada;;;;2023;8;1
2023-08-04;14:00;0.235;Estimada;;;;2023;8;1
2023-08-04;15:00;0.241;Estimada;;;;2023;8;1
2023-08-04;16:00;0.234;Estimada;;;;2023;8;1
2023-08-04;17:00;0.229;Estimada;;;;2023;8;1
2023-08-04;18:00;0.23;Estimada;;;;2023;8;1
2023-08-04;19:00;0.232;Estimada;;;;2023;8;1
2023-08-04;20:00;0.23;Estimada;;;;2023;8;1
2023-08-04;21:00;0.23;Estimada;;;;2023;8;1
2023-08-04;22:00;0.25;Estimada;;;;2023;8;1
2023-08-04;23:00;0.251;Estimada;;;;2023;8;1
2023-08-04;24:00:00;0.227;Estimada;;;;2023;8;1
2023-08-05;1:00;0.107;Estimada;;;;2023;8;1
2023-08-05;2:00;0.094;Estimada;;;;2023;8;1
2023-08-05;3:00;0.084;Estimada;;;;2023;8;1
2023-08-05;4:00;0.077;Estimada;;;;2023;8;1
2023-08-05;5:00;0.074;Estimada;;;;2023;8;1
2023-08-05;6:00;0.072;Estimada;;;;2023;8;1
2023-08-05;7:00;0.071;Estimada;;;;2023;8;1
2023-08-05;8:00;0.068;Estimada;;;;2023;8;1
2023-08-05;9:00;0.074;Estimada;;;;2023;8;1
2023-08-05;10:00;0.086;Estimada;;;;2023;8;1
2023-08-05;11:00;0.097;Estimada;;;;2023;8;1
