date;time;consumptionKWh;obtainMethod;surplusEnergyKWh;generationEnergyKWh;selfConsumptionEnergyKWh;año;mes;cluster_k2_2024_03
2024-03-01;1:00;0.133;Real;;;;2024;3;1
2024-03-01;2:00;0.081;Real;;;;2024;3;1
2024-03-01;3:00;0.126;Real;;;;2024;3;1
2024-03-01;4:00;0.132;Real;;;;2024;3;1
2024-03-01;5:00;0.102;Real;;;;2024;3;1
2024-03-01;6:00;0.097;Real;;;;2024;3;1
2024-03-01;7:00;0.118;Real;;;;2024;3;1
2024-03-01;8:00;0.18;Real;;;;2024;3;1
2024-03-01;9:00;0.157;Real;;;;2024;3;1
2024-03-01;10:00;0.217;Real;;;;2024;3;1
2024-03-01;11:00;0.122;Real;;;;2024;3;1
2024-03-01;12:00;0.131;Real;;;;2024;3;1
2024-03-01;13:00;0.084;Real;;;;2024;3;1
2024-03-01;14:00;0.369;Real;;;;2024;3;1
2024-03-01;15:00;1.204;Real;;;;2024;3;1
2024-03-01;16:00;0.207;Real;;;;2024;3;1
2024-03-01;17:00;0.251;Real;;;;2024;3;1
2024-03-01;18:00;0.141;Real;;;;2024;3;1
2024-03-01;19:00;0.128;Real;;;;2024;3;1
2024-03-01;20:00;0.081;Real;;;;2024;3;1
2024-03-01;21:00;0.723;Real;;;;2024;3;1
2024-03-01;22:00;0.451;Real;;;;2024;3;1
2024-03-01;23:00;0.254;Real;;;;2024;3;1
2024-03-01;24:00:00;0.35;Real;;;;2024;3;1
2024-03-02;1:00;0.266;Real;;;;2024;3;1
2024-03-02;2:00;0.195;Real;;;;2024;3;1
2024-03-02;3:00;0.214;Real;;;;2024;3;1
2024-03-02;4:00;0.147;Real;;;;2024;3;1
2024-03-02;5:00;0.151;Real;;;;2024;3;1
2024-03-02;6:00;0.144;Real;;;;2024;3;1
2024-03-02;7:00;0.106;Real;;;;2024;3;1
2024-03-02;8:00;0.097;Real;;;;2024;3;1
2024-03-02;9:00;0.248;Real;;;;2024;3;1
2024-03-02;10:00;0.122;Real;;;;2024;3;1
2024-03-02;11:00;0.649;Real;;;;2024;3;1
2024-03-02;12:00;0.821;Real;;;;2024;3;1
2024-03-02;13:00;1.631;Real;;;;2024;3;1
2024-03-02;14:00;1.04;Real;;;;2024;3;1
2024-03-02;15:00;0.74;Real;;;;2024;3;1
2024-03-02;16:00;0.28;Real;;;;2024;3;1
2024-03-02;17:00;0.165;Real;;;;2024;3;1
