date;time;consumptionKWh;obtainMethod;surplusEnergyKWh;generationEnergyKWh;selfConsumptionEnergyKWh;cluster_k2_2024_01
2024-01-01;1:00;0.081;Real;;;;1
2024-01-01;2:00;0.102;Real;;;;1
2024-01-01;3:00;0.081;Real;;;;1
2024-01-01;4:00;0.149;Real;;;;1
2024-01-01;5:00;0.084;Real;;;;1
2024-01-01;6:00;0.071;Real;;;;1
2024-01-01;7:00;0.084;Real;;;;1
2024-01-01;8:00;0.069;Real;;;;1
2024-01-01;9:00;0.155;Real;;;;1
2024-01-01;10:00;0.345;Real;;;;1
2024-01-01;11:00;0.312;Real;;;;1
2024-01-01;12:00;0.503;Real;;;;1
2024-01-01;13:00;0.072;Real;;;;1
2024-01-01;14:00;0.078;Real;;;;1
2024-01-01;15:00;0.067;Real;;;;1
2024-01-01;16:00;0.083;Real;;;;1
2024-01-01;17:00;0.138;Real;;;;1
2024-01-01;18:00;0.123;Real;;;;1
2024-01-01;19:00;0.22;Real;;;;1
2024-01-01;20:00;0.557;Real;;;;1
2024-01-01;21:00;0.393;Real;;;;1
2024-01-01;22:00;0.963;Real;;;;1
2024-01-01;23:00;0.14;Real;;;;1
2024-01-01;24:00:00;0.107;Real;;;;1
2024-01-02;1:00;0.083;Real;;;;1
2024-01-02;2:00;0.065;Real;;;;1
2024-01-02;3:00;0.075;Real;;;;1
2024-01-02;4:00;0.069;Real;;;;1
2024-01-02;5:00;0.08;Real;;;;1
2024-01-02;6:00;0.149;Real;;;;1
2024-01-02;7:00;0.08;Real;;;;1
2024-01-02;8:00;0.08;Real;;;;1
2024-01-02;9:00;0.366;Real;;;;1
2024-01-02;10:00;0.3;Real;;;;1
2024-01-02;11:00;0.141;Real;;;;1
2024-01-02;12:00;0.072;Real;;;;1
2024-01-02;13:00;0.07;Real;;;;1
2024-01-02;14:00;0.085;Real;;;;1
2024-01-02;15:00;0.065;Real;;;;1
2024-01-02;16:00;0.07;Real;;;;1
2024-01-02;17:00;0.138;Real;;;;1
2024-01-02;18:00;0.175;Real;;;;1
2024-01-02;19:00;0.2;Real;;;;1
2024-01-02;20:00;0.567;Real;;;;1
2024-01-02;21:00;0.852;Real;;;;1
2024-01-02;22:00;0.537;Real;;;;1
2024-01-02;23:00;0.712;Real;;;;1
2024-01-02;24:00:00;0.678;Real;;;;1
2024-01-03;1:00;0.656;Real;;;;1
2024-01-03;2:00;0.128;Real;;;;1
2024-01-03;3:00;0.114;Real;;;;1
2024-01-03;4:00;0.069;Real;;;;1
2024-01-03;5:00;0.074;Real;;;;1
2024-01-03;6:00;0.074;Real;;;;1
2024-01-03;7:00;0.063;Real;;;;1
2024-01-03;8:00;0.078;Real;;;;1
2024-01-03;9:00;0.13;Real;;;;1
2024-01-03;10:00;0.387;Real;;;;1
2024-01-03;11:00;0.211;Real;;;;1
2024-01-03;12:00;0.094;Real;;;;1
2024-01-03;13:00;0.083;Real;;;;1
2024-01-03;14:00;0.394;Real;;;;1
2024-01-03;15:00;0.34;Real;;;;1
2024-01-03;16:00;0.211;Real;;;;1
2024-01-03;17:00;0.182;Real;;;;1
2024-01-03;18:00;0.112;Real;;;;1
2024-01-03;19:00;0.064;Real;;;;1
2024-01-03;20:00;0.284;Real;;;;1
2024-01-03;21:00;0.767;Real;;;;1
2024-01-03;22:00;0.213;Real;;;;1
2024-01-03;23:00;0.13;Real;;;;1
2024-01-03;24:00:00;0.125;Real;;;;1
2024-01-04;1:00;0.087;Real;;;;1
2024-01-04;2:00;0.073;Real;;;;1
2024-01-04;3:00;0.127;Real;;;;1
2024-01-04;4:00;0.113;Real;;;;1
2024-01-04;5:00;0.067;Real;;;;1
2024-01-04;6:00;0.079;Real;;;;1
2024-01-04;7:00;0.072;Real;;;;1
2024-01-04;8:00;0.065;Real;;;;1
2024-01-04;9:00;0.282;Real;;;;1
2024-01-04;10:00;0.229;Real;;;;1
2024-01-04;11:00;0.087;Real;;;;1
2024-01-04;12:00;0.109;Real;;;;1
2024-01-04;13:00;0.086;Real;;;;1
2024-01-04;14:00;0.409;Real;;;;1
2024-01-04;15:00;0.677;Real;;;;1
2024-01-04;16:00;0.718;Real;;;;1
2024-01-04;17:00;0.972;Real;;;;1
2024-01-04;18:00;0.195;Real;;;;1
2024-01-04;19:00;0.294;Real;;;;1
2024-01-04;20:00;0.394;Real;;;;1
2024-01-04;21:00;0.467;Real;;;;1
2024-01-04;22:00;0.271;Real;;;;1
2024-01-04;23:00;0.179;Real;;;;1
2024-01-04;24:00:00;0.114;Real;;;;1
2024-01-05;1:00;0.127;Real;;;;1
2024-01-05;2:00;0.129;Real;;;;1
2024-01-05;3:00;0.072;Real;;;;1
2024-01-05;4:00;0.081;Real;;;;1
2024-01-05;5:00;0.06;Real;;;;1
2024-01-05;6:00;0.073;Real;;;;1
2024-01-05;7:00;0.077;Real;;;;1
2024-01-05;8:00;0.063;Real;;;;1
2024-01-05;9:00;0.239;Real;;;;1
2024-01-05;10:00;0.253;Real;;;;1
2024-01-05;11:00;0.173;Real;;;;1
2024-01-05;12:00;0.167;Real;;;;1
2024-01-05;13:00;0.516;Real;;;;1
2024-01-05;14:00;1.027;Real;;;;1
2024-01-05;15:00;0.946;Real;;;;1
2024-01-05;16:00;0.47;Real;;;;1
2024-01-05;17:00;0.319;Real;;;;1
2024-01-05;18:00;0.188;Real;;;;1
2024-01-05;19:00;0.165;Real;;;;1
2024-01-05;20:00;0.067;Real;;;;1
2024-01-05;21:00;0.345;Real;;;;1
2024-01-05;22:00;0.227;Real;;;;1
2024-01-05;23:00;0.13;Real;;;;1
2024-01-05;24:00:00;0.154;Real;;;;1
2024-01-06;1:00;0.135;Real;;;;1
2024-01-06;2:00;0.142;Real;;;;1
2024-01-06;3:00;0.085;Real;;;;1
2024-01-06;4:00;0.08;Real;;;;1
2024-01-06;5:00;0.063;Real;;;;1
2024-01-06;6:00;0.082;Real;;;;1
2024-01-06;7:00;0.072;Real;;;;1
2024-01-06;8:00;0.07;Real;;;;1
2024-01-06;9:00;0.237;Real;;;;1
2024-01-06;10:00;0.16;Real;;;;1
2024-01-06;11:00;0.906;Real;;;;1
2024-01-06;12:00;0.149;Real;;;;1
2024-01-06;13:00;0.128;Real;;;;1
2024-01-06;14:00;0.098;Real;;;;1
2024-01-06;15:00;0.658;Real;;;;1
2024-01-06;16:00;0.224;Real;;;;1
2024-01-06;17:00;0.183;Real;;;;1
2024-01-06;18:00;0.255;Real;;;;1
2024-01-06;19:00;0.213;Real;;;;1
2024-01-06;20:00;0.187;Real;;;;1
2024-01-06;21:00;0.159;Real;;;;1
2024-01-06;22:00;0.064;Real;;;;1
2024-01-06;23:00;0.171;Real;;;;1
2024-01-06;24:00:00;0.139;Real;;;;1
2024-01-07;1:00;0.091;Real;;;;1
2024-01-07;2:00;0.059;Real;;;;1
2024-01-07;3:00;0.047;Real;;;;1
2024-01-07;4:00;0.056;Real;;;;1
2024-01-07;5:00;0.053;Real;;;;1
2024-01-07;6:00;0.068;Real;;;;1
2024-01-07;7:00;0.076;Real;;;;1
2024-01-07;8:00;0.06;Real;;;;1
2024-01-07;9:00;0.206;Real;;;;1
2024-01-07;10:00;0.133;Real;;;;1
2024-01-07;11:00;0.071;Real;;;;1
2024-01-07;12:00;0.066;Real;;;;1
2024-01-07;13:00;0.117;Real;;;;1
2024-01-07;14:00;0.287;Real;;;;1
2024-01-07;15:00;0.981;Real;;;;1
2024-01-07;16:00;0.306;Real;;;;1
2024-01-07;17:00;0.796;Real;;;;1
2024-01-07;18:00;0.293;Real;;;;1
2024-01-07;19:00;0.311;Real;;;;1
2024-01-07;20:00;0.229;Real;;;;1
2024-01-07;21:00;0.411;Real;;;;1
2024-01-07;22:00;0.192;Real;;;;1
2024-01-07;23:00;0.98;Real;;;;1
2024-01-07;24:00:00;0.094;Real;;;;1
2024-01-08;1:00;0.15;Real;;;;1
2024-01-08;2:00;0.076;Real;;;;1
2024-01-08;3:00;0.07;Real;;;;1
2024-01-08;4:00;0.054;Real;;;;1
2024-01-08;5:00;0.059;Real;;;;1
2024-01-08;6:00;0.072;Real;;;;1
2024-01-08;7:00;0.062;Real;;;;1
2024-01-08;8:00;0.141;Real;;;;1
2024-01-08;9:00;0.429;Real;;;;1
2024-01-08;10:00;0.361;Real;;;;1
2024-01-08;11:00;0.069;Real;;;;1
2024-01-08;12:00;0.066;Real;;;;1
2024-01-08;13:00;0.048;Real;;;;1
2024-01-08;14:00;0.139;Real;;;;1
2024-01-08;15:00;0.255;Real;;;;1
2024-01-08;16:00;0.269;Real;;;;1
2024-01-08;17:00;0.159;Real;;;;1
2024-01-08;18:00;0.144;Real;;;;1
2024-01-08;19:00;0.068;Real;;;;1
2024-01-08;20:00;0.548;Real;;;;1
2024-01-08;21:00;0.193;Real;;;;1
