date;time;consumptionKWh;obtainMethod;surplusEnergyKWh;generationEnergyKWh;selfConsumptionEnergyKWh;año;mes;cluster_k2_2023_01
2023-01-01;1:00;0.094;Real;;;;2023;1;1
2023-01-01;2:00;0.106;Real;;;;2023;1;1
2023-01-01;3:00;0.095;Real;;;;2023;1;1
2023-01-01;4:00;0.091;Real;;;;2023;1;1
2023-01-01;5:00;0.105;Real;;;;2023;1;1
2023-01-01;6:00;0.106;Real;;;;2023;1;1
2023-01-01;7:00;0.125;Real;;;;2023;1;1
2023-01-01;8:00;0.18;Real;;;;2023;1;1
2023-01-01;9:00;0.093;Real;;;;2023;1;1
2023-01-01;10:00;0.101;Real;;;;2023;1;1
2023-01-01;11:00;0.083;Real;;;;2023;1;1
2023-01-01;12:00;0.072;Real;;;;2023;1;1
2023-01-01;13:00;0.068;Real;;;;2023;1;1
2023-01-01;14:00;0.077;Real;;;;2023;1;1
2023-01-01;15:00;0.08;Real;;;;2023;1;1
2023-01-01;16:00;0.077;Real;;;;2023;1;1
2023-01-01;17:00;0.068;Real;;;;2023;1;1
2023-01-01;18:00;0.071;Real;;;;2023;1;1
2023-01-01;19:00;0.08;Real;;;;2023;1;1
2023-01-01;20:00;0.078;Real;;;;2023;1;1
2023-01-01;21:00;0.07;Real;;;;2023;1;1
2023-01-01;22:00;0.066;Real;;;;2023;1;1
2023-01-01;23:00;0.078;Real;;;;2023;1;1
2023-01-01;24:00:00;0.08;Real;;;;2023;1;1
2023-01-02;1:00;0.074;Real;;;;2023;1;1
2023-01-02;2:00;0.067;Real;;;;2023;1;1
2023-01-02;3:00;0.075;Real;;;;2023;1;1
2023-01-02;4:00;0.079;Real;;;;2023;1;1
2023-01-02;5:00;0.08;Real;;;;2023;1;1
2023-01-02;6:00;0.07;Real;;;;2023;1;1
2023-01-02;7:00;0.068;Real;;;;2023;1;1
2023-01-02;8:00;0.08;Real;;;;2023;1;1
2023-01-02;9:00;0.172;Real;;;;2023;1;1
2023-01-02;10:00;0.097;Real;;;;2023;1;1
2023-01-02;11:00;0.073;Real;;;;2023;1;1
2023-01-02;12:00;0.067;Real;;;;2023;1;1
2023-01-02;13:00;0.08;Real;;;;2023;1;1
2023-01-02;14:00;0.081;Real;;;;2023;1;1
2023-01-02;15:00;0.07;Real;;;;2023;1;1
