date;time;consumptionKWh;obtainMethod;surplusEnergyKWh;generationEnergyKWh;selfConsumptionEnergyKWh;año;mes;cluster_k3_2024_12
2024-12-01;1:00;0.053;Real;;;;2024;12;0
2024-12-01;2:00;0.04;Real;;;;2024;12;0
2024-12-01;3:00;0.096;Real;;;;2024;12;0
2024-12-01;4:00;0.036;Real;;;;2024;12;0
2024-12-01;5:00;0.107;Real;;;;2024;12;0
2024-12-01;6:00;0.107;Real;;;;2024;12;0
2024-12-01;7:00;0.029;Real;;;;2024;12;0
2024-12-01;8:00;0.064;Real;;;;2024;12;0
2024-12-01;9:00;0.24;Real;;;;2024;12;0
2024-12-01;10:00;0.353;Real;;;;2024;12;0
2024-12-01;11:00;0.114;Real;;;;2024;12;0
2024-12-01;12:00;0.156;Real;;;;2024;12;0
2024-12-01;13:00;0.447;Real;;;;2024;12;0
2024-12-01;14:00;1.21;Real;;;;2024;12;0
2024-12-01;15:00;1.169;Real;;;;2024;12;0
2024-12-01;16:00;0.201;Real;;;;2024;12;0
2024-12-01;17:00;0.097;Real;;;;2024;12;0
2024-12-01;18:00;0.213;Real;;;;2024;12;0
2024-12-01;19:00;0.233;Real;;;;2024;12;0
2024-12-01;20:00;0.452;Real;;;;2024;12;0
2024-12-01;21:00;0.276;Real;;;;2024;12;0
2024-12-01;22:00;0.613;Real;;;;2024;12;0
2024-12-01;23:00;0.852;Real;;;;2024;12;0
2024-12-01;24:00:00;0.041;Real;;;;2024;12;0
2024-12-02;1:00;0.061;Real;;;;2024;12;0
2024-12-02;2:00;0.076;Real;;;;2024;12;0
2024-12-02;3:00;0.06;Real;;;;2024;12;0
2024-12-02;4:00;0.076;Real;;;;2024;12;0
2024-12-02;5:00;0.055;Real;;;;2024;12;0
2024-12-02;6:00;0.047;Real;;;;2024;12;0
2024-12-02;7:00;0.083;Real;;;;2024;12;0
2024-12-02;8:00;0.372;Real;;;;2024;12;0
2024-12-02;9:00;0.161;Real;;;;2024;12;0
2024-12-02;10:00;0.108;Real;;;;2024;12;0
2024-12-02;11:00;0.134;Real;;;;2024;12;0
2024-12-02;12:00;0.039;Real;;;;2024;12;0
2024-12-02;13:00;0.064;Real;;;;2024;12;0
2024-12-02;14:00;0.082;Real;;;;2024;12;0
2024-12-02;15:00;0.467;Real;;;;2024;12;0
2024-12-02;16:00;0.131;Real;;;;2024;12;0
2024-12-02;17:00;0.071;Real;;;;2024;12;0
2024-12-02;18:00;0.171;Real;;;;2024;12;0
2024-12-02;19:00;0.305;Real;;;;2024;12;0
2024-12-02;20:00;0.868;Real;;;;2024;12;0
2024-12-02;21:00;0.881;Real;;;;2024;12;0
2024-12-02;22:00;0.987;Real;;;;2024;12;0
2024-12-02;23:00;0.084;Real;;;;2024;12;0
2024-12-02;24:00:00;0.12;Real;;;;2024;12;0
2024-12-03;1:00;0.128;Real;;;;2024;12;0
2024-12-03;2:00;0.129;Real;;;;2024;12;0
2024-12-03;3:00;0.126;Real;;;;2024;12;0
2024-12-03;4:00;0.042;Real;;;;2024;12;0
2024-12-03;5:00;0.05;Real;;;;2024;12;0
2024-12-03;6:00;0.086;Real;;;;2024;12;0
2024-12-03;7:00;0.062;Real;;;;2024;12;0
2024-12-03;8:00;0.27;Real;;;;2024;12;0
2024-12-03;9:00;0.103;Real;;;;2024;12;0
2024-12-03;10:00;0.113;Real;;;;2024;12;0
2024-12-03;11:00;0.033;Real;;;;2024;12;0
2024-12-03;12:00;0.055;Real;;;;2024;12;0
2024-12-03;13:00;0.03;Real;;;;2024;12;0
2024-12-03;14:00;0.106;Real;;;;2024;12;0
2024-12-03;15:00;0.245;Real;;;;2024;12;0
2024-12-03;16:00;0.321;Real;;;;2024;12;0
2024-12-03;17:00;0.82;Real;;;;2024;12;0
2024-12-03;18:00;0.595;Real;;;;2024;12;0
2024-12-03;19:00;0.133;Real;;;;2024;12;0
2024-12-03;20:00;0.143;Real;;;;2024;12;0
2024-12-03;21:00;0.225;Real;;;;2024;12;0
2024-12-03;22:00;0.121;Real;;;;2024;12;0
2024-12-03;23:00;0.18;Real;;;;2024;12;0
2024-12-03;24:00:00;0.084;Real;;;;2024;12;0
2024-12-04;1:00;0.111;Real;;;;2024;12;0
2024-12-04;2:00;0.072;Real;;;;2024;12;0
2024-12-04;3:00;0.082;Real;;;;2024;12;0
2024-12-04;4:00;0.035;Real;;;;2024;12;0
2024-12-04;5:00;0.055;Real;;;;2024;12;0
2024-12-04;6:00;0.089;Real;;;;2024;12;0
2024-12-04;7:00;0.09;Real;;;;2024;12;0
2024-12-04;8:00;0.357;Real;;;;2024;12;0
2024-12-04;9:00;0.096;Real;;;;2024;12;0
2024-12-04;10:00;0.107;Real;;;;2024;12;0
2024-12-04;11:00;0.146;Real;;;;2024;12;0
2024-12-04;12:00;0.071;Real;;;;2024;12;0
2024-12-04;13:00;0.489;Real;;;;2024;12;0
2024-12-04;14:00;0.131;Real;;;;2024;12;0
2024-12-04;15:00;0.227;Real;;;;2024;12;0
2024-12-04;16:00;0.15;Real;;;;2024;12;0
2024-12-04;17:00;0.166;Real;;;;2024;12;0
2024-12-04;18:00;0.111;Real;;;;2024;12;0
2024-12-04;19:00;0.061;Real;;;;2024;12;0
2024-12-04;20:00;0.227;Real;;;;2024;12;0
2024-12-04;21:00;0.157;Real;;;;2024;12;0
2024-12-04;22:00;0.224;Real;;;;2024;12;0
2024-12-04;23:00;0.107;Real;;;;2024;12;0
2024-12-04;24:00:00;0.076;Real;;;;2024;12;0
2024-12-05;1:00;0.063;Real;;;;2024;12;0
2024-12-05;2:00;0.055;Real;;;;2024;12;0
2024-12-05;3:00;0.07;Real;;;;2024;12;0
2024-12-05;4:00;0.039;Real;;;;2024;12;0
2024-12-05;5:00;0.087;Real;;;;2024;12;0
2024-12-05;6:00;0.042;Real;;;;2024;12;0
2024-12-05;7:00;0.065;Real;;;;2024;12;0
2024-12-05;8:00;0.282;Real;;;;2024;12;0
2024-12-05;9:00;0.057;Real;;;;2024;12;0
2024-12-05;10:00;0.093;Real;;;;2024;12;0
2024-12-05;11:00;0.039;Real;;;;2024;12;0
2024-12-05;12:00;0.055;Real;;;;2024;12;0
2024-12-05;13:00;0.079;Real;;;;2024;12;0
2024-12-05;14:00;0.029;Real;;;;2024;12;0
2024-12-05;15:00;0.225;Real;;;;2024;12;0
2024-12-05;16:00;0.154;Real;;;;2024;12;0
2024-12-05;17:00;0.092;Real;;;;2024;12;0
2024-12-05;18:00;0.033;Real;;;;2024;12;0
2024-12-05;19:00;0.091;Real;;;;2024;12;0
2024-12-05;20:00;0.036;Real;;;;2024;12;0
2024-12-05;21:00;0.47;Real;;;;2024;12;0
2024-12-05;22:00;0.231;Real;;;;2024;12;0
