date;time;consumptionKWh;obtainMethod;surplusEnergyKWh;generationEnergyKWh;selfConsumptionEnergyKWh;año;mes;cluster_k3_2023_07
2023-07-01;1:00;0.106;Real;;;;2023;7;2
2023-07-01;2:00;0.107;Real;;;;2023;7;2
2023-07-01;3:00;0.092;Real;;;;2023;7;2
2023-07-01;4:00;0.1;Real;;;;2023;7;2
2023-07-01;5:00;0.094;Real;;;;2023;7;2
2023-07-01;6:00;0.092;Real;;;;2023;7;2
2023-07-01;7:00;0.106;Real;;;;2023;7;2
2023-07-01;8:00;0.099;Real;;;;2023;7;2
2023-07-01;9:00;0.095;Real;;;;2023;7;2
2023-07-01;10:00;0.096;Real;;;;2023;7;2
2023-07-01;11:00;0.09;Real;;;;2023;7;2
2023-07-01;12:00;0.108;Real;;;;2023;7;2
2023-07-01;13:00;0.094;Real;;;;2023;7;2
2023-07-01;14:00;0.085;Real;;;;2023;7;2
2023-07-01;15:00;0.095;Real;;;;2023;7;2
2023-07-01;16:00;0.106;Real;;;;2023;7;2
2023-07-01;17:00;0.094;Real;;;;2023;7;2
2023-07-01;18:00;0.105;Real;;;;2023;7;2
2023-07-01;19:00;0.092;Real;;;;2023;7;2
2023-07-01;20:00;0.101;Real;;;;2023;7;2
2023-07-01;21:00;0.09;Real;;;;2023;7;2
2023-07-01;22:00;0.101;Real;;;;2023;7;2
2023-07-01;23:00;0.095;Real;;;;2023;7;2
2023-07-01;24:00:00;0.09;Real;;;;2023;7;2
2023-07-02;1:00;0.097;Real;;;;2023;7;2
2023-07-02;2:00;0.096;Real;;;;2023;7;2
2023-07-02;3:00;0.097;Real;;;;2023;7;2
2023-07-02;4:00;0.093;Real;;;;2023;7;2
2023-07-02;5:00;0.107;Real;;;;2023;7;2
2023-07-02;6:00;0.098;Real;;;;2023;7;2
2023-07-02;7:00;0.087;Real;;;;2023;7;2
2023-07-02;8:00;0.111;Real;;;;2023;7;2
2023-07-02;9:00;0.123;Real;;;;2023;7;2
2023-07-02;10:00;0.083;Real;;;;2023;7;2
2023-07-02;11:00;0.098;Real;;;;2023;7;2
2023-07-02;12:00;0.099;Real;;;;2023;7;2
2023-07-02;13:00;0.093;Real;;;;2023;7;2
2023-07-02;14:00;0.098;Real;;;;2023;7;2
2023-07-02;15:00;0.095;Real;;;;2023;7;2
2023-07-02;16:00;0.107;Real;;;;2023;7;2
2023-07-02;17:00;0.091;Real;;;;2023;7;2
2023-07-02;18:00;0.096;Real;;;;2023;7;2
2023-07-02;19:00;0.091;Real;;;;2023;7;2
2023-07-02;20:00;0.098;Real;;;;2023;7;2
2023-07-02;21:00;0.108;Real;;;;2023;7;2
2023-07-02;22:00;0.105;Real;;;;2023;7;2
2023-07-02;23:00;0.09;Real;;;;2023;7;2
2023-07-02;24:00:00;0.094;Real;;;;2023;7;2
2023-07-03;1:00;0.166;Real;;;;2023;7;2
