date;time;consumptionKWh;obtainMethod;surplusEnergyKWh;generationEnergyKWh;selfConsumptionEnergyKWh;cluster_k3_2023_06
2023-06-01;1:00;0.128;Real;;;;0
2023-06-01;2:00;0.122;Real;;;;0
2023-06-01;3:00;0.519;Real;;;;0
2023-06-01;4:00;0.534;Real;;;;0
2023-06-01;5:00;0.116;Real;;;;0
2023-06-01;6:00;0.101;Real;;;;0
2023-06-01;7:00;0.247;Real;;;;0
2023-06-01;8:00;0.776;Real;;;;0
2023-06-01;9:00;0.19;Real;;;;0
2023-06-01;10:00;0.113;Real;;;;0
2023-06-01;11:00;0.101;Real;;;;0
2023-06-01;12:00;0.159;Real;;;;0
2023-06-01;13:00;0.246;Real;;;;0
2023-06-01;14:00;0.769;Real;;;;0
2023-06-01;15:00;0.35;Real;;;;0
2023-06-01;16:00;0.184;Real;;;;0
2023-06-01;17:00;0.108;Real;;;;0
2023-06-01;18:00;0.106;Real;;;;0
2023-06-01;19:00;0.13;Real;;;;0
2023-06-01;20:00;0.111;Real;;;;0
2023-06-01;21:00;0.099;Real;;;;0
2023-06-01;22:00;0.548;Real;;;;0
2023-06-01;23:00;0.156;Real;;;;0
2023-06-01;24:00:00;0.121;Real;;;;0
2023-06-02;1:00;0.147;Real;;;;0
2023-06-02;2:00;0.115;Real;;;;0
2023-06-02;3:00;0.112;Real;;;;0
2023-06-02;4:00;0.086;Real;;;;0
2023-06-02;5:00;0.107;Real;;;;0
2023-06-02;6:00;0.094;Real;;;;0
2023-06-02;7:00;0.174;Real;;;;0
2023-06-02;8:00;0.412;Real;;;;0
2023-06-02;9:00;0.132;Real;;;;0
2023-06-02;10:00;0.094;Real;;;;0
2023-06-02;11:00;0.107;Real;;;;0
2023-06-02;12:00;0.088;Real;;;;0
2023-06-02;13:00;0.191;Real;;;;0
2023-06-02;14:00;0.186;Real;;;;0
2023-06-02;15:00;0.325;Real;;;;0
2023-06-02;16:00;0.236;Real;;;;0
2023-06-02;17:00;0.577;Real;;;;0
2023-06-02;18:00;1.002;Real;;;;0
2023-06-02;19:00;0.189;Real;;;;0
2023-06-02;20:00;0.132;Real;;;;0
2023-06-02;21:00;0.229;Real;;;;0
2023-06-02;22:00;0.249;Real;;;;0
2023-06-02;23:00;0.245;Real;;;;0
2023-06-02;24:00:00;0.2;Real;;;;0
2023-06-03;1:00;0.131;Real;;;;0
2023-06-03;2:00;0.105;Real;;;;0
2023-06-03;3:00;0.115;Real;;;;0
2023-06-03;4:00;0.085;Real;;;;0
2023-06-03;5:00;0.112;Real;;;;0
2023-06-03;6:00;0.083;Real;;;;0
2023-06-03;7:00;0.111;Real;;;;0
2023-06-03;8:00;0.145;Real;;;;0
2023-06-03;9:00;0.179;Real;;;;0
2023-06-03;10:00;0.112;Real;;;;0
2023-06-03;11:00;0.08;Real;;;;0
2023-06-03;12:00;0.108;Real;;;;0
2023-06-03;13:00;0.09;Real;;;;0
2023-06-03;14:00;0.809;Real;;;;0
2023-06-03;15:00;1.751;Real;;;;0
2023-06-03;16:00;0.309;Real;;;;0
2023-06-03;17:00;0.297;Real;;;;0
2023-06-03;18:00;0.298;Real;;;;0
2023-06-03;19:00;0.413;Real;;;;0
2023-06-03;20:00;0.259;Real;;;;0
2023-06-03;21:00;0.258;Real;;;;0
2023-06-03;22:00;0.098;Real;;;;0
2023-06-03;23:00;0.095;Real;;;;0
2023-06-03;24:00:00;0.094;Real;;;;0
