date;time;consumptionKWh;obtainMethod;surplusEnergyKWh;generationEnergyKWh;selfConsumptionEnergyKWh;cluster_k4_2023_12
2023-12-01;1:00;0.406;Real;;;;1
2023-12-01;2:00;0.071;Real;;;;1
2023-12-01;3:00;0.052;Real;;;;1
2023-12-01;4:00;0.217;Real;;;;1
2023-12-01;5:00;0.052;Real;;;;1
2023-12-01;6:00;0.029;Real;;;;1
2023-12-01;7:00;0.089;Real;;;;1
2023-12-01;8:00;0.065;Real;;;;1
2023-12-01;9:00;0.207;Real;;;;1
2023-12-01;10:00;0.242;Real;;;;1
2023-12-01;11:00;0.185;Real;;;;1
2023-12-01;12:00;0.2;Real;;;;1
2023-12-01;13:00;0.209;Real;;;;1
2023-12-01;14:00;0.18;Real;;;;1
2023-12-01;15:00;0.211;Real;;;;1
2023-12-01;16:00;0.372;Real;;;;1
2023-12-01;17:00;0.233;Real;;;;1
2023-12-01;18:00;0.201;Real;;;;1
2023-12-01;19:00;0.249;Real;;;;1
2023-12-01;20:00;0.295;Real;;;;1
2023-12-01;21:00;0.037;Real;;;;1
2023-12-01;22:00;0.037;Real;;;;1
2023-12-01;23:00;0.049;Real;;;;1
2023-12-01;24:00:00;0.306;Real;;;;1
2023-12-02;1:00;0.253;Real;;;;1
2023-12-02;2:00;0.048;Real;;;;1
2023-12-02;3:00;0.04;Real;;;;1
2023-12-02;4:00;0.124;Real;;;;1
2023-12-02;5:00;0.039;Real;;;;1
2023-12-02;6:00;0.249;Real;;;;1
2023-12-02;7:00;0.047;Real;;;;1
2023-12-02;8:00;0.073;Real;;;;1
2023-12-02;9:00;0.041;Real;;;;1
2023-12-02;10:00;0.171;Real;;;;1
2023-12-02;11:00;0.193;Real;;;;1
2023-12-02;12:00;0.395;Real;;;;1
2023-12-02;13:00;0.226;Real;;;;1
2023-12-02;14:00;0.422;Real;;;;1
2023-12-02;15:00;0.144;Real;;;;1
2023-12-02;16:00;0.826;Real;;;;1
2023-12-02;17:00;0.408;Real;;;;1
2023-12-02;18:00;0.603;Real;;;;1
2023-12-02;19:00;0.047;Real;;;;1
2023-12-02;20:00;0.025;Real;;;;1
2023-12-02;21:00;0.138;Real;;;;1
2023-12-02;22:00;0.194;Real;;;;1
2023-12-02;23:00;0.044;Real;;;;1
2023-12-02;24:00:00;0.061;Real;;;;1
2023-12-03;1:00;0.052;Real;;;;1
