date;time;consumptionKWh;obtainMethod;surplusEnergyKWh;generationEnergyKWh;selfConsumptionEnergyKWh;cluster_k4_2023_12
2023-12-01;1:00;0.248;Real;;;;0
2023-12-01;2:00;0.092;Real;;;;0
2023-12-01;3:00;0.088;Real;;;;0
2023-12-01;4:00;0.085;Real;;;;0
2023-12-01;5:00;0.083;Real;;;;0
2023-12-01;6:00;0.142;Real;;;;0
2023-12-01;7:00;0.146;Real;;;;0
2023-12-01;8:00;0.128;Real;;;;0
2023-12-01;9:00;0.078;Real;;;;0
2023-12-01;10:00;0.079;Real;;;;0
2023-12-01;11:00;0.287;Real;;;;0
2023-12-01;12:00;0.139;Real;;;;0
2023-12-01;13:00;0.07;Real;;;;0
2023-12-01;14:00;0.983;Real;;;;0
2023-12-01;15:00;0.396;Real;;;;0
2023-12-01;16:00;0.658;Real;;;;0
2023-12-01;17:00;0.277;Real;;;;0
2023-12-01;18:00;0.401;Real;;;;0
2023-12-01;19:00;0.283;Real;;;;0
2023-12-01;20:00;0.213;Real;;;;0
2023-12-01;21:00;0.26;Real;;;;0
2023-12-01;22:00;0.33;Real;;;;0
2023-12-01;23:00;0.236;Real;;;;0
2023-12-01;24:00:00;0.44;Real;;;;0
2023-12-02;1:00;0.168;Real;;;;0
2023-12-02;2:00;0.189;Real;;;;0
2023-12-02;3:00;0.115;Real;;;;0
2023-12-02;4:00;0.084;Real;;;;0
2023-12-02;5:00;0.086;Real;;;;0
2023-12-02;6:00;0.08;Real;;;;0
2023-12-02;7:00;0.075;Real;;;;0
2023-12-02;8:00;0.141;Real;;;;0
2023-12-02;9:00;0.11;Real;;;;0
2023-12-02;10:00;0.469;Real;;;;0
2023-12-02;11:00;0.207;Real;;;;0
2023-12-02;12:00;0.394;Real;;;;0
2023-12-02;13:00;0.415;Real;;;;0
2023-12-02;14:00;0.844;Real;;;;0
2023-12-02;15:00;0.581;Real;;;;0
2023-12-02;16:00;0.93;Real;;;;0
2023-12-02;17:00;0.194;Real;;;;0
2023-12-02;18:00;0.221;Real;;;;0
2023-12-02;19:00;0.333;Real;;;;0
2023-12-02;20:00;0.46;Real;;;;0
2023-12-02;21:00;0.241;Real;;;;0
2023-12-02;22:00;0.242;Real;;;;0
2023-12-02;23:00;0.154;Real;;;;0
2023-12-02;24:00:00;0.336;Real;;;;0
2023-12-03;1:00;0.099;Real;;;;0
2023-12-03;2:00;0.07;Real;;;;0
2023-12-03;3:00;0.156;Real;;;;0
2023-12-03;4:00;0.088;Real;;;;0
