date;time;consumptionKWh;obtainMethod;surplusEnergyKWh;generationEnergyKWh;selfConsumptionEnergyKWh;año;mes;cluster_k4_2024_01
2024-01-01;1:00;0.518;Real;;;;2024;1;0
2024-01-01;2:00;0.223;Real;;;;2024;1;0
2024-01-01;3:00;0.071;Real;;;;2024;1;0
2024-01-01;4:00;0.058;Real;;;;2024;1;0
2024-01-01;5:00;0.051;Real;;;;2024;1;0
2024-01-01;6:00;0.053;Real;;;;2024;1;0
2024-01-01;7:00;0.054;Real;;;;2024;1;0
2024-01-01;8:00;0.049;Real;;;;2024;1;0
2024-01-01;9:00;0.055;Real;;;;2024;1;0
2024-01-01;10:00;0.047;Real;;;;2024;1;0
2024-01-01;11:00;0.059;Real;;;;2024;1;0
2024-01-01;12:00;0.817;Real;;;;2024;1;0
2024-01-01;13:00;0.544;Real;;;;2024;1;0
2024-01-01;14:00;1.085;Real;;;;2024;1;0
2024-01-01;15:00;0.681;Real;;;;2024;1;0
2024-01-01;16:00;0.661;Real;;;;2024;1;0
2024-01-01;17:00;0.259;Real;;;;2024;1;0
2024-01-01;18:00;0.373;Real;;;;2024;1;0
2024-01-01;19:00;0.421;Real;;;;2024;1;0
2024-01-01;20:00;0.304;Real;;;;2024;1;0
2024-01-01;21:00;0.426;Real;;;;2024;1;0
2024-01-01;22:00;0.66;Real;;;;2024;1;0
2024-01-01;23:00;0.307;Real;;;;2024;1;0
2024-01-01;24:00:00;0.157;Real;;;;2024;1;0
2024-01-02;1:00;0.468;Real;;;;2024;1;0
2024-01-02;2:00;0.128;Real;;;;2024;1;0
2024-01-02;3:00;0.281;Real;;;;2024;1;0
2024-01-02;4:00;0.378;Real;;;;2024;1;0
2024-01-02;5:00;0.043;Real;;;;2024;1;0
2024-01-02;6:00;0.045;Real;;;;2024;1;0
2024-01-02;7:00;0.044;Real;;;;2024;1;0
2024-01-02;8:00;0.042;Real;;;;2024;1;0
2024-01-02;9:00;0.254;Real;;;;2024;1;0
2024-01-02;10:00;1.094;Real;;;;2024;1;0
2024-01-02;11:00;0.954;Real;;;;2024;1;0
2024-01-02;12:00;1.325;Real;;;;2024;1;0
2024-01-02;13:00;0.103;Real;;;;2024;1;0
2024-01-02;14:00;0.131;Real;;;;2024;1;0
2024-01-02;15:00;0.623;Real;;;;2024;1;0
2024-01-02;16:00;0.197;Real;;;;2024;1;0
2024-01-02;17:00;0.27;Real;;;;2024;1;0
2024-01-02;18:00;0.156;Real;;;;2024;1;0
2024-01-02;19:00;0.537;Real;;;;2024;1;0
2024-01-02;20:00;0.451;Real;;;;2024;1;0
2024-01-02;21:00;0.268;Real;;;;2024;1;0
2024-01-02;22:00;0.127;Real;;;;2024;1;0
2024-01-02;23:00;0.204;Real;;;;2024;1;0
2024-01-02;24:00:00;0.133;Real;;;;2024;1;0
2024-01-03;1:00;0.071;Real;;;;2024;1;0
2024-01-03;2:00;0.043;Real;;;;2024;1;0
2024-01-03;3:00;0.036;Real;;;;2024;1;0
2024-01-03;4:00;0.042;Real;;;;2024;1;0
2024-01-03;5:00;0.037;Real;;;;2024;1;0
2024-01-03;6:00;0.044;Real;;;;2024;1;0
2024-01-03;7:00;0.038;Real;;;;2024;1;0
2024-01-03;8:00;0.041;Real;;;;2024;1;0
2024-01-03;9:00;0.04;Real;;;;2024;1;0
2024-01-03;10:00;0.173;Real;;;;2024;1;0
