archivo,media_consumo,std_consumo,min_consumo,max_consumo,percentil_25_consumo,percentil_50_consumo,percentil_75_consumo,sum_consumo,promedio_por_dia,consumo_medio_diario,consumo_1.0,consumo_2.0,consumo_3.0,consumo_4.0,consumo_5.0,consumo_6.0,consumo_7.0,consumo_8.0,consumo_9.0,consumo_10.0,consumo_11.0,consumo_12.0,consumo_13.0,consumo_14.0,consumo_15.0,consumo_16.0,consumo_17.0,consumo_18.0,consumo_19.0,consumo_20.0,consumo_21.0,consumo_22.0,consumo_23.0,consumo_1.0_suma,consumo_2.0_suma,consumo_3.0_suma,consumo_4.0_suma,consumo_5.0_suma,consumo_6.0_suma,consumo_7.0_suma,consumo_8.0_suma,consumo_9.0_suma,consumo_10.0_suma,consumo_11.0_suma,consumo_12.0_suma,consumo_13.0_suma,consumo_14.0_suma,consumo_15.0_suma,consumo_16.0_suma,consumo_17.0_suma,consumo_18.0_suma,consumo_19.0_suma,consumo_20.0_suma,consumo_21.0_suma,consumo_22.0_suma,consumo_23.0_suma,consumo_1.0_std,consumo_2.0_std,consumo_3.0_std,consumo_4.0_std,consumo_5.0_std,consumo_6.0_std,consumo_7.0_std,consumo_8.0_std,consumo_9.0_std,consumo_10.0_std,consumo_11.0_std,consumo_12.0_std,consumo_13.0_std,consumo_14.0_std,consumo_15.0_std,consumo_16.0_std,consumo_17.0_std,consumo_18.0_std,consumo_19.0_std,consumo_20.0_std,consumo_21.0_std,consumo_22.0_std,consumo_23.0_std,Mañana,Mediodia,Tarde,Noche,Madrugada,s_Mañana,s_Mediodia,s_Tarde,s_Noche,s_Madrugada,std_Mañana,std_Mediodia,std_Tarde,std_Noche,std_Madrugada,Lunes,Martes,Miércoles,Jueves,Viernes,Sábado,Domingo,s_Lunes,s_Martes,s_Miércoles,s_Jueves,s_Viernes,s_Sábado,s_Domingo,std_Lunes,std_Martes,std_Miércoles,std_Jueves,std_Viernes,std_Sábado,std_Domingo,Entre semana,Fin de semana,s_Entre semana,s_Fin de semana,std_Entre semana,std_Fin de semana,invierno,s_invierno,std_invierno,2023-02,2023-12,2024-01,2024-02,2024-12,2025-01,Enero,Febrero,Diciembre,2023-01-30/2023-02-05,2023-02-06/2023-02-12,2023-02-13/2023-02-19,2023-02-20/2023-02-26,2023-02-27/2023-03-05,2023-11-27/2023-12-03,2023-12-04/2023-12-10,2023-12-11/2023-12-17,2023-12-18/2023-12-24,2023-12-25/2023-12-31,2024-01-01/2024-01-07,2024-01-08/2024-01-14,2024-01-15/2024-01-21,2024-01-22/2024-01-28,2024-01-29/2024-02-04,2024-02-05/2024-02-11,2024-02-12/2024-02-18,2024-02-19/2024-02-25,2024-02-26/2024-03-03,2024-11-25/2024-12-01,2024-12-02/2024-12-08,2024-12-09/2024-12-15,2024-12-16/2024-12-22,2024-12-23/2024-12-29,2024-12-30/2025-01-05,2025-01-06/2025-01-12,2025-01-13/2025-01-19,2023-01,2022-12-26/2023-01-01,2023-01-02/2023-01-08,2023-01-09/2023-01-15,2023-01-16/2023-01-22,2023-01-23/2023-01-29,2025-02,2025-01-20/2025-01-26,2025-01-27/2025-02-02,2025-02-03/2025-02-09,2025-02-10/2025-02-16
ABLD,0.22385927450475948,0.26744799352229764,0.028,2.184,0.063,0.102,0.249,870.1410000000001,0.2238592745047594,5.148763313609467,0.09788757396449704,0.0778639053254438,0.0716094674556213,0.0750414201183432,0.08300591715976331,0.08042011834319528,0.09331952662721894,0.18850295857988164,0.23464497041420118,0.1301360946745562,0.18534911242603552,0.23235502958579882,0.2931420118343195,0.31066272189349114,0.472491124260355,0.3874852071005917,0.2731065088757397,0.22668047337278105,0.2216568047337278,0.2849467455621302,0.4902603550295858,0.3802603550295858,0.25793491124260354,16.543,13.159,12.102,12.682,14.028,13.591000000000001,15.771,31.857,39.655,21.993,31.324,39.268,49.541,52.502,79.851,65.485,46.155,38.309,37.46,48.156,82.854,64.264,43.591,16.543,13.159,12.102,12.682,14.028,13.591000000000001,15.771,31.857,39.655,21.993,31.324,39.268,49.541,52.502,79.851,65.485,46.155,38.309,37.46,48.156,82.854,64.264,43.591,0.14922189349112425,0.27068934911242604,0.27723224852071005,0.3533505917159763,0.08108165680473373,100.874,274.47900000000004,187.40900000000002,238.865,68.51400000000001,0.07384420779656242,0.09211633043606558,0.058707673500203846,0.07827659558628157,0.017907153498978708,0.22886775362318842,0.23716666666666666,0.22417028985507248,0.20702536231884058,0.22644927536231885,0.2219963768115942,0.22144,126.33500000000001,130.916,123.742,114.278,125.0,122.542,127.328,0.25932446565338707,0.29257910239023377,0.2519659614350238,0.2546956963165877,0.27483801723260987,0.2807766064136607,0.25620485896270123,0.22473586956521738,0.2217125110913931,620.271,249.87,0.26710143111042467,0.2684015291771787,0.22385927450475945,870.141,0.26744799352229737,141.551,156.64,154.24,145.889,171.456,100.365,254.605,287.44,328.096,26.036,32.42,33.982,37.33,11.783,23.538,35.18,27.765,32.538,37.619,38.217,35.817,33.196,34.891,30.603,41.01,26.901,39.081,20.413,2.6149999999999998,40.505,35.415,38.506,39.338,30.262,43.77,41.41,,,,,,,,,,,
AJVG,0.3957618577075098,0.536218286715736,0.018,3.677,0.043,0.126,0.61825,1602.0439999999999,0.3957618577075099,9.102522727272726,0.17161931818181816,0.1299375,0.09111931818181818,0.08196590909090909,0.07903977272727272,0.07901136363636364,0.25721590909090913,0.7835454545454545,0.5014715909090909,0.3731022727272727,0.37624431818181814,0.41289204545454544,0.33798863636363635,0.3565056818181818,0.5036477272727272,0.44459659090909087,0.34700000000000003,0.36251136363636366,0.43707954545454547,0.6292102272727272,0.7748579545454546,0.8598863636363636,0.7120738636363636,30.205,22.869,16.037,14.426,13.911,13.906,45.27,137.904,88.259,65.666,66.219,72.669,59.486,62.745,88.642,78.249,61.072,63.802,76.926,110.741,136.375,151.34,125.325,30.205,22.869,16.037,14.426,13.911,13.906,45.27,137.904,88.259,65.666,66.219,72.669,59.486,62.745,88.642,78.249,61.072,63.802,76.926,110.741,136.375,151.34,125.325,0.40531107954545453,0.39339678030303027,0.39779687500000005,0.7440071022727273,0.11073636363636363,285.339,415.42699999999996,280.049,523.7810000000001,97.448,0.2532065293641574,0.08062503572536454,0.07329592250243701,0.04422698199149838,0.058535536986601105,0.4319297658862876,0.41136120401337795,0.43604173913043476,0.3804782608695652,0.3334710144927536,0.40580615942028986,0.36818729096989966,258.294,245.994,250.724,218.775,184.076,224.005,220.176,0.5637083768114346,0.557924801132268,0.5908514776473739,0.489381799957226,0.4857487933751286,0.5559415914480034,0.49330806053142773,0.3995386473429952,0.38624434782608696,1157.863,444.181,0.54087420708968,0.5244135605987196,0.3957618577075099,1602.044,0.536218286715736,293.657,249.156,311.027,260.966,255.626,,542.639,554.623,504.782,77.849,72.299,62.736,68.12,36.49,8.206,15.172,52.032,72.398,101.348,72.51,88.69500000000001,77.38,42.338,78.582,61.094,65.527,52.789,33.078,9.324,47.749,77.265,77.567,43.721,,,,231.612,6.276,13.037,52.085,93.30799999999999,43.069,,,,,
FJAG,0.4540277227722772,0.7809094904716883,0.065,5.245,0.159,0.253,0.417,1834.272,0.45360303030303034,10.422000000000002,0.17781818181818182,0.1375625,0.13801136363636363,0.1330284090909091,0.1398125,0.13705681818181817,0.2604375,0.2853693181818182,0.33777840909090906,0.4630284090909091,0.531903409090909,0.7377784090909091,1.038215909090909,0.9269147727272727,0.7179431818181818,0.5968114285714285,0.5267085714285714,0.5736228571428571,0.5496,0.6447085714285714,0.5033257142857143,0.45456571428571435,0.43433714285714287,31.296,24.211,24.29,23.413,24.607,24.122,45.836999999999996,50.225,59.449,81.493,93.615,129.849,182.726,163.137,126.358,104.442,92.174,100.384,96.17999999999999,112.824,88.082,79.549,76.009,31.296,24.211,24.29,23.413,24.607,24.122,45.836999999999996,50.225,59.449,81.493,93.615,129.849,182.726,163.137,126.358,104.442,92.174,100.384,96.17999999999999,112.824,88.082,79.549,76.009,0.2551605113636364,0.7359640151515151,0.5616857142857142,0.5092342857142856,0.14524659090909092,179.63299999999998,777.1779999999999,393.18,356.46400000000006,127.817,0.24475338515536765,0.11677360470396737,0.20968268303629908,0.07502181143278665,0.0447182871843992,0.40768729096989964,0.3622725752508361,0.6104139130434783,0.34134920634920635,0.5587355072463769,0.3358478260869565,0.5610250836120402,243.797,216.639,350.988,193.545,308.422,185.388,335.493,0.655513764679359,0.4998108328426442,1.1519934559077032,0.38728950479581453,0.9966554408859943,0.2835397372656885,0.9779337108175292,0.454460553633218,0.45293999999999995,1313.391,520.881,0.7965971719414664,0.7403544965467598,0.4540277227722772,1834.272,0.7809094904716887,204.97,293.894,394.629,333.436,365.231,,636.741,538.406,659.125,54.757,49.564,54.66,47.098,14.025,21.776,104.064,50.901,58.786,58.367,54.565,102.898,55.0,139.938,74.34,86.073,94.924,90.874,29.453,5.209,103.706,139.897,86.642,29.777,,,,242.112,9.776,69.753,42.506,49.904,55.039,,,,,
FMB,0.2247023471756513,0.2929092880200647,0.01,2.721,0.05,0.157,0.253,871.171,0.22436925847499556,5.154857988165681,0.11888165680473374,0.09971597633136095,0.0919526627218935,0.08134319526627219,0.07407692307692308,0.07175739644970415,0.12679289940828403,0.10355029585798817,0.19679289940828404,0.2588639053254438,0.2950118343195266,0.3065562130177515,0.3609585798816568,0.43145833333333333,0.26038690476190474,0.2459702380952381,0.2844940476190476,0.3111011904761905,0.34979166666666667,0.39394047619047623,0.2834940476190476,0.23297619047619048,0.19266071428571427,20.091,16.852,15.540000000000001,13.747,12.519,12.127,21.428,17.5,33.258,43.748,49.857,51.808,61.002,72.485,43.745,41.323,47.795,52.265,58.765,66.182,47.627,39.14,32.367,20.091,16.852,15.540000000000001,13.747,12.519,12.127,21.428,17.5,33.258,43.748,49.857,51.808,61.002,72.485,43.745,41.323,47.795,52.265,58.765,66.182,47.627,39.14,32.367,0.1247233727810651,0.31887262843993613,0.29783928571428575,0.2757678571428571,0.0931940828402367,84.313,322.645,200.14799999999997,185.316,78.749,0.09813660944408974,0.03855360823833663,0.041062573078576775,0.06594708849797812,0.020535704359159124,0.27686413043478264,0.24856521739130435,0.20883876811594201,0.21223913043478262,0.1975199275362319,0.2023876811594203,0.22646017699115045,152.829,137.208,115.279,117.156,109.031,111.718,127.95,0.3456697562949764,0.2915744034763103,0.24004902195336367,0.25766410708060483,0.23046092763546908,0.2794947120727794,0.36828795094602995,0.2288054347826087,0.21456401074306178,631.503,239.668,0.2776436738188478,0.3275070667015522,0.2247023471756513,871.171,0.2929092880200641,,138.546,143.781,124.865,192.035,201.339,345.12,195.47,330.581,,,,,,15.254999999999999,32.189,32.006,31.615,27.481,31.275,38.337,30.153,29.317,30.566,30.567,28.563,32.204,17.664,3.764,33.849,30.74,29.798000000000002,61.141,72.965,55.866,45.59,,,,,,,70.605,35.388,31.502,31.102999999999998,32.273
GPC,0.1983957763975155,0.23918898471625347,0.023,2.077,0.061,0.1,0.214,798.5429999999999,0.19839577639751554,4.563102857142857,0.07939428571428571,0.09382285714285715,0.09705714285714286,0.07906285714285714,0.06625142857142857,0.06508,0.1017542857142857,0.30845142857142854,0.25965714285714286,0.24889142857142857,0.18873142857142858,0.1351085714285714,0.12710857142857143,0.23592000000000002,0.3580742857142857,0.32572,0.22362285714285715,0.22569142857142857,0.23642285714285716,0.3219942857142857,0.44855428571428574,0.22669714285714285,0.11003428571428571,13.894,16.419,16.985,13.836,11.594,11.389,17.807,53.979,45.44,43.556,33.028,23.644,22.244,41.286,62.663,57.001,39.134,39.496,41.374,56.349,78.497,39.672,19.256,13.894,16.419,16.985,13.836,11.594,11.389,17.807,53.979,45.44,43.556,33.028,23.644,22.244,41.286,62.663,57.001,39.134,39.496,41.374,56.349,78.497,39.672,19.256,0.18373571428571428,0.21563904761904762,0.2528642857142857,0.27681999999999995,0.08311771428571428,128.615,226.421,177.005,193.774,72.728,0.1281241737920206,0.06452600216015739,0.01596617604348138,0.08533189817830679,0.044582512053249465,0.19601003344481605,0.1900969899665552,0.1935286956521739,0.19116304347826088,0.185,0.2003677536231884,0.23098160535117057,117.214,113.678,111.279,105.522,102.12,110.603,138.127,0.23567306208807304,0.22874215943243234,0.23020302082147842,0.23021780630819078,0.2083137641141826,0.2502048973264199,0.2805064001624416,0.19123930434782607,0.21628695652173913,549.813,248.73,0.22690158424920193,0.26671655533826993,0.19839577639751552,798.543,0.23918898471625383,122.938,141.495,145.207,126.39,118.772,,288.948,249.328,260.267,33.176,27.04,31.783,30.584,9.961,12.565,27.841,31.473,29.323,40.293,33.067,29.104,33.638,35.579,32.281,28.612,30.791,29.968,18.557,7.158,30.926,33.247,30.538,16.903,,,,143.741,5.578,33.608,33.248,29.740000000000002,31.961,,,,,
JACL,0.10561576722208407,0.0884205708719578,0.028,1.381,0.062,0.09,0.122,424.68100000000004,0.10559365805818893,2.4267485714285715,0.12144571428571428,0.07966857142857144,0.07251428571428571,0.07193714285714287,0.07245714285714286,0.06748,0.06380571428571429,0.07284,0.08757714285714285,0.09117714285714286,0.11948571428571429,0.11453714285714287,0.1210857142857143,0.14089714285714286,0.28270285714285714,0.11607428571428571,0.09400571428571429,0.09663999999999999,0.10158285714285716,0.09855747126436783,0.0974367816091954,0.12020114942528735,0.12516091954022987,21.253,13.942,12.69,12.589,12.68,11.809,11.166,12.747,15.326,15.956,20.91,20.044,21.19,24.657,49.473,20.313,16.451,16.912,17.777,17.149,16.954,20.915,21.778,21.253,13.942,12.69,12.589,12.68,11.809,11.166,12.747,15.326,15.956,20.91,20.044,21.19,24.657,49.473,20.313,16.451,16.912,17.777,17.149,16.954,20.915,21.778,0.07292571428571429,0.1449809523809524,0.10207571428571428,0.11033908045977012,0.08360457142857143,51.048,152.23,71.453,76.79599999999999,73.154,0.004696746761048187,0.052566003202291406,0.012669491612822178,0.007806430075106264,0.005204106050519827,0.10546153846153847,0.10131939799331104,0.1023555166374781,0.09765036231884058,0.10134057971014493,0.12134239130434782,0.10996153846153847,63.066,60.589,58.445,53.903,55.94,66.981,65.757,0.07898080481963628,0.077057071618406,0.061504426172524905,0.053934650245887034,0.06605326964014233,0.14278396286311568,0.10477492919546129,0.10168686868686869,0.11542434782608696,291.943,132.738,0.06845711161482372,0.12455070487065877,0.10561576722208406,424.681,0.08842057087195788,67.069,73.543,77.161,71.894,64.788,,147.387,138.963,138.331,16.683,14.91,17.504,17.406,4.96,7.925,14.357,16.725,16.573,17.963,16.253,16.436,18.566,17.958,17.585,16.431,17.337,18.574,9.915,2.848,18.581,18.574,17.805,6.98,,,,70.226,2.207,14.823,14.291,15.817,18.694,,,,,
JALG,0.32106391905231985,0.30075280781036307,0.027,2.044,0.093,0.208,0.43825000000000003,1300.951,0.32015469172193567,7.350005649717514,0.18,0.1086045197740113,0.10015819209039549,0.09024858757062147,0.0904715909090909,0.08949431818181817,0.10707954545454546,0.17126136363636363,0.32366477272727273,0.4289772727272727,0.3926761363636364,0.3066363636363636,0.3640568181818182,0.5160284090909091,0.5238863636363637,0.5624659090909091,0.40898863636363636,0.41635227272727277,0.3671079545454546,0.3601875,0.48225,0.5819204545454546,0.4165284090909091,31.86,19.223,17.728,15.974,15.923,15.751,18.846,30.142,56.965,75.5,69.111,53.967999999999996,64.074,90.821,92.20400000000001,98.994,71.982,73.278,64.611,63.393,84.876,102.418,73.309,31.86,19.223,17.728,15.974,15.923,15.751,18.846,30.142,56.965,75.5,69.111,53.967999999999996,64.074,90.821,92.20400000000001,98.994,71.982,73.278,64.611,63.393,84.876,102.418,73.309,0.172875,0.42204356060606063,0.4387286931818182,0.4602215909090909,0.11389657806882383,121.70400000000001,445.67799999999994,308.865,323.996,100.70800000000001,0.13811643337385437,0.068791780510002,0.04760304398946653,0.060714363122909676,0.033645444471283675,0.33148327759197327,0.3132006688963211,0.31743652173913045,0.3117008695652174,0.307544964028777,0.3065760869565217,0.35694147157190637,198.227,187.294,182.526,179.228,170.995,169.23,213.451,0.31145284812362023,0.3015687624050497,0.3015918262723506,0.29357760357322893,0.2808105702301315,0.3030556866174827,0.30904763460473583,0.31642660234321157,0.3327660869565217,918.27,382.681,0.29813216525234015,0.3070866132818419,0.32106391905231985,1300.951,0.30075280781036334,200.808,230.192,235.057,206.402,192.816,,470.733,407.21,423.008,53.164,50.953,47.813,51.996,14.465,20.769000000000002,52.163,48.807,54.61,53.842999999999996,55.726,55.179,52.201,49.606,48.359,52.126,47.74,51.737,28.785,7.859,53.892,51.582,51.097,28.386,,,,235.676,5.374,53.169,52.898,50.622,56.03,,,,,
JLG,0.14121017535193875,0.15590720590453275,0.037,1.519,0.056,0.098,0.162,571.76,0.14093883566691232,3.230282485875706,0.11781920903954801,0.06927840909090908,0.05688636363636364,0.056125,0.055011363636363636,0.054096590909090914,0.054130681818181814,0.05364772727272727,0.08232386363636364,0.1615056818181818,0.2323409090909091,0.1989715909090909,0.17532954545454546,0.22073863636363636,0.2236931818181818,0.1873522727272727,0.1716534090909091,0.15001136363636364,0.15545454545454546,0.15776704545454545,0.17142613636363635,0.2321647727272727,0.21023863636363638,20.854,12.193,10.012,9.878,9.682,9.521,9.527,9.442,14.489,28.425,40.892,35.019,30.858,38.85,39.37,32.974,30.211,26.402,27.36,27.767,30.171,40.861,37.002,20.854,12.193,10.012,9.878,9.682,9.521,9.527,9.442,14.489,28.425,40.892,35.019,30.858,38.85,39.37,32.974,30.211,26.402,27.36,27.767,30.171,40.861,37.002,0.061049715909090904,0.2020965909090909,0.16611789772727276,0.19289914772727274,0.07102406908063688,42.979,213.41400000000002,116.94699999999999,135.80100000000002,62.619,0.034036322890900146,0.040789370152916525,0.041142237940169114,0.05700277306674297,0.02937336023933565,0.1402056856187291,0.13572408026755853,0.14154434782608696,0.14314260869565218,0.14339240506329115,0.15286775362318838,0.13274247491638796,83.843,81.163,81.388,82.307,79.296,84.383,79.38,0.14448270633515672,0.14241133168525857,0.1511724597169811,0.14951824091396054,0.16291533237213304,0.18704808501804884,0.15206454340851036,0.14073715074163506,0.1424026086956522,407.997,163.763,0.14998710516102443,0.16998154968780568,0.14121017535193875,571.76,0.15590720590453297,86.833,89.734,113.696,85.019,87.778,,222.396,171.852,177.512,21.649,22.343,19.355,23.393,6.895,5.714,19.866,19.447,21.85,22.857,25.980999999999998,21.885,26.288,26.901,26.196,17.838,19.732,21.5,12.394,3.349,21.453,20.229,23.323,19.424,,,,108.7,4.407,28.509,20.277,23.721,24.983999999999998,,,,,
JMM,0.25830005005005,0.21407657224338408,0.064,2.194,0.144,0.201,0.28125,1032.167,0.25851011259076345,5.9319942528735625,0.21031609195402298,0.1643505747126437,0.14592528735632182,0.13931609195402297,0.13177586206896552,0.13533333333333333,0.13329310344827586,0.15417816091954023,0.20043103448275862,0.21174712643678162,0.21886206896551724,0.26841379310344826,0.36016666666666663,0.5062241379310345,0.49537356321839077,0.2848793103448276,0.26141954022988506,0.25550867052023124,0.31883815028901735,0.3554624277456647,0.38114450867052024,0.31152601156069365,0.29854913294797686,36.595,28.597,25.391,24.241,22.929,23.548000000000002,23.193,26.827,34.875,36.844,38.082,46.704,62.669,88.083,86.195,49.569,45.487,44.203,55.159,61.495,65.938,53.894,51.649,36.595,28.597,25.391,24.241,22.929,23.548000000000002,23.193,26.827,34.875,36.844,38.082,46.704,62.669,88.083,86.195,49.569,45.487,44.203,55.159,61.495,65.938,53.894,51.649,0.15580890804597702,0.3434645593869732,0.2801614178459903,0.33667052023121385,0.1583367816091954,108.443,358.57699999999994,194.418,232.976,137.753,0.022542892175044463,0.12026104399911253,0.030858923386289643,0.0621919602357649,0.011341903905976516,0.2515434782608696,0.2619628378378378,0.2271503623188406,0.26852173913043476,0.25845833333333335,0.2739855072463768,0.26612374581939796,150.423,155.082,125.387,148.224,142.669,151.24,159.142,0.20050224362276892,0.22751267115725812,0.1513952562983152,0.2419352845746085,0.21706298500334,0.22883483722914186,0.21656074015287277,0.2536138439915671,0.2698973913043478,721.785,310.382,0.21044708840327386,0.22247422649675566,0.25830005005005,1032.167,0.21407657224338417,177.67,174.233,170.223,152.388,154.737,,373.139,330.058,328.97,42.129,49.722,40.061,48.021,12.03,14.002,38.507,40.271,39.986,41.467,40.522,39.425,37.569,38.577,35.194,33.647,39.334,37.554,20.789,3.986,44.806,45.211,44.711,16.023,,,,202.916,9.398,50.356,39.793,38.523,50.553,,,,,
LFZA,0.20143304347826088,0.27399195155007566,0.0,2.093,0.073,0.113,0.203,810.768,0.2014330434782609,4.63296,0.20647428571428572,0.19222857142857144,0.15651428571428572,0.12801142857142858,0.11288000000000001,0.09414857142857143,0.10201714285714286,0.09001714285714285,0.08860571428571429,0.08878857142857143,0.12758285714285714,0.1997657142857143,0.24317714285714284,0.2636685714285714,0.26729714285714284,0.30128571428571427,0.3077485714285714,0.27046857142857145,0.26276571428571427,0.2472342857142857,0.3012228571428571,0.2739085714285714,0.30714857142857144,36.133,33.64,27.39,22.402,19.754,16.476,17.853,15.753,15.506,15.538,22.326999999999998,34.959,42.556,46.142,46.777,52.725,53.856,47.332,45.984,43.266,52.714,47.934,53.751,36.133,33.64,27.39,22.402,19.754,16.476,17.853,15.753,15.506,15.538,22.326999999999998,34.959,42.556,46.142,46.777,52.725,53.856,47.332,45.984,43.266,52.714,47.934,53.751,0.09369714285714285,0.19838,0.28556714285714285,0.2823785714285714,0.15922171428571427,65.588,208.29899999999998,199.89700000000002,197.665,139.319,0.025921874339316045,0.09224622056268411,0.02342021813361231,0.042002230718914915,0.03911366948529219,0.16717558528428095,0.21852341137123746,0.2201113043478261,0.1983768115942029,0.22901992753623188,0.20869565217391306,0.17129264214046824,99.971,130.677,126.56400000000001,109.504,126.419,115.2,102.433,0.20546509957074624,0.30988114967141256,0.3016610833245592,0.2769252083216184,0.3107564355175976,0.27208600937293437,0.22037532240779756,0.20630782608695653,0.18924608695652176,593.135,217.633,0.28391275759064716,0.24715264036452628,0.20143304347826088,810.768,0.2739919515500756,177.609,126.687,158.208,137.058,76.308,,293.106,314.667,202.995,44.807,45.069,43.069,43.511,12.637,13.619,29.6,22.868,31.406,29.194,34.75,37.284,39.688,29.806,31.942,35.793,28.736,30.189,27.078,3.356,21.026,21.348,23.396,7.182,,,,134.898,0.361,5.41,36.519999999999996,35.864,45.259,,,,,
