archivo,media_consumo,std_consumo,min_consumo,max_consumo,percentil_25_consumo,percentil_50_consumo,percentil_75_consumo,sum_consumo,promedio_por_dia,consumo_medio_diario,consumo_1.0,consumo_2.0,consumo_3.0,consumo_4.0,consumo_5.0,consumo_6.0,consumo_7.0,consumo_8.0,consumo_9.0,consumo_10.0,consumo_11.0,consumo_12.0,consumo_13.0,consumo_14.0,consumo_15.0,consumo_16.0,consumo_17.0,consumo_18.0,consumo_19.0,consumo_20.0,consumo_21.0,consumo_22.0,consumo_23.0,consumo_1.0_suma,consumo_2.0_suma,consumo_3.0_suma,consumo_4.0_suma,consumo_5.0_suma,consumo_6.0_suma,consumo_7.0_suma,consumo_8.0_suma,consumo_9.0_suma,consumo_10.0_suma,consumo_11.0_suma,consumo_12.0_suma,consumo_13.0_suma,consumo_14.0_suma,consumo_15.0_suma,consumo_16.0_suma,consumo_17.0_suma,consumo_18.0_suma,consumo_19.0_suma,consumo_20.0_suma,consumo_21.0_suma,consumo_22.0_suma,consumo_23.0_suma,consumo_1.0_std,consumo_2.0_std,consumo_3.0_std,consumo_4.0_std,consumo_5.0_std,consumo_6.0_std,consumo_7.0_std,consumo_8.0_std,consumo_9.0_std,consumo_10.0_std,consumo_11.0_std,consumo_12.0_std,consumo_13.0_std,consumo_14.0_std,consumo_15.0_std,consumo_16.0_std,consumo_17.0_std,consumo_18.0_std,consumo_19.0_std,consumo_20.0_std,consumo_21.0_std,consumo_22.0_std,consumo_23.0_std,Mañana,Mediodia,Tarde,Noche,Madrugada,s_Mañana,s_Mediodia,s_Tarde,s_Noche,s_Madrugada,std_Mañana,std_Mediodia,std_Tarde,std_Noche,std_Madrugada,Lunes,Martes,Miércoles,Jueves,Viernes,Sábado,Domingo,s_Lunes,s_Martes,s_Miércoles,s_Jueves,s_Viernes,s_Sábado,s_Domingo,std_Lunes,std_Martes,std_Miércoles,std_Jueves,std_Viernes,std_Sábado,std_Domingo,Entre semana,Fin de semana,s_Entre semana,s_Fin de semana,std_Entre semana,std_Fin de semana,verano,s_verano,std_verano,2023-06,2023-07,2023-08,2024-06,2024-07,2024-08,Junio,Julio,Agosto,2023-05-29/2023-06-04,2023-06-05/2023-06-11,2023-06-12/2023-06-18,2023-06-19/2023-06-25,2023-06-26/2023-07-02,2023-07-03/2023-07-09,2023-07-10/2023-07-16,2023-07-17/2023-07-23,2023-07-24/2023-07-30,2023-07-31/2023-08-06,2023-08-07/2023-08-13,2023-08-14/2023-08-20,2023-08-21/2023-08-27,2023-08-28/2023-09-03,2024-05-27/2024-06-02,2024-06-03/2024-06-09,2024-06-10/2024-06-16,2024-06-17/2024-06-23,2024-06-24/2024-06-30,2024-07-01/2024-07-07,2024-07-08/2024-07-14,2024-07-15/2024-07-21,2024-07-22/2024-07-28,2024-07-29/2024-08-04,2024-08-05/2024-08-11,2024-08-12/2024-08-18,2024-08-19/2024-08-25,2024-08-26/2024-09-01
ABLD,0.17156923440453686,0.17670374928579385,0.047,2.33,0.08,0.103,0.192,726.081,0.17156923440453686,3.9460923913043486,0.137375,0.10930978260869564,0.09932065217391303,0.10340217391304347,0.11340760869565218,0.10582065217391304,0.10130978260869566,0.14839130434782608,0.15089673913043478,0.12595108695652174,0.1632663043478261,0.17417934782608696,0.18959239130434782,0.18942934782608695,0.26165217391304346,0.2735923913043478,0.2260054347826087,0.18735326086956522,0.18330978260869565,0.20128260869565218,0.22029347826086956,0.23319021739130436,0.2477608695652174,25.277,20.113,18.275,19.026,20.867,19.471,18.641000000000002,27.304,27.765,23.175,30.041,32.049,34.885,34.855,48.144,50.341,41.585,34.473,33.729,37.036,40.534,42.907000000000004,45.588,25.277,20.113,18.275,19.026,20.867,19.471,18.641000000000002,27.304,27.765,23.175,30.041,32.049,34.885,34.855,48.144,50.341,41.585,34.473,33.729,37.036,40.534,42.907000000000004,45.588,0.1266046195652174,0.18401177536231886,0.21756521739130436,0.22563179347826084,0.11256304347826088,93.181,203.149,160.128,166.065,103.558,0.0449865621793203,0.06840659931004628,0.05517573978801702,0.015578709444049167,0.02697989158170054,0.17636789297658864,0.1714247491638796,0.18700334448160535,0.17906602254428342,0.17503846153846153,0.15869082125603864,0.1536003344481605,105.468,102.512,111.828,111.2,104.673,98.547,91.853,0.1776628988677123,0.160268149011143,0.20701918114592682,0.18113188161452648,0.16907527644365056,0.15989894307424274,0.17647161325449787,0.17778991038831732,0.15619360131255128,535.681,190.4,0.17969015128608226,0.16818299301060483,0.17156923440453686,726.081,0.17670374928579397,118.473,119.053,117.474,115.554,124.185,131.342,234.027,243.238,248.816,17.699,30.64,32.432,24.03,21.104,21.897,29.307,26.754,29.272,29.52,32.711,19.968,22.358999999999998,17.307,3.1550000000000002,32.984,30.566,25.416,23.433,26.171,25.999,25.409,29.228,38.74,32.233,20.147,37.065,20.535
AJVG,0.1318475897920605,0.1558789662342412,0.005,1.606,0.056,0.079,0.148,557.979,0.1318475897920605,3.0324945652173914,0.09685326086956522,0.08813043478260871,0.08229347826086957,0.07733152173913042,0.08457608695652173,0.07830978260869566,0.20244565217391305,0.3665108695652174,0.12102717391304349,0.09411956521739132,0.09276630434782608,0.12028260869565219,0.13752173913043478,0.12908695652173913,0.13366847826086956,0.10338043478260871,0.08858695652173913,0.12380434782608696,0.163,0.15930434782608696,0.18389673913043475,0.16267391304347825,0.14292391304347826,17.821,16.216,15.142,14.229,15.562,14.409,37.25,67.438,22.269000000000002,17.318,17.069,22.132,25.304,23.752,24.595,19.022000000000002,16.3,22.78,29.992,29.312,33.836999999999996,29.932,26.298000000000002,17.821,16.216,15.142,14.229,15.562,14.409,37.25,67.438,22.269000000000002,17.318,17.069,22.132,25.304,23.752,24.595,19.022000000000002,16.3,22.78,29.992,29.312,33.836999999999996,29.932,26.298000000000002,0.19207336956521742,0.11790760869565219,0.1196929347826087,0.16219972826086956,0.08583695652173914,141.366,130.17000000000002,88.09400000000001,119.379,78.97,0.10943069853621286,0.03967259238542336,0.05785367357142792,0.05022467483189956,0.0053774794854043306,0.14487290969899666,0.14570234113712374,0.14003511705685617,0.1363607085346216,0.11457357859531772,0.11074718196457327,0.13127926421404681,86.634,87.13,83.741,84.68,68.515,68.774,78.505,0.16117779617073233,0.1653579894792724,0.1597081522875561,0.15811071662526624,0.13773000718300102,0.1378580458974331,0.1658142811015177,0.13630932625290407,0.12081952420016406,410.7,147.279,0.15703099154864425,0.15249854045258115,0.1318475897920605,557.979,0.15587896623424122,108.341,89.719,65.66,104.409,106.319,83.531,212.75,196.038,149.191,16.284,25.817,23.198,24.368,22.273,25.83,20.049,25.105,15.015,0.842,4.838,23.283,23.257,13.561,7.293,24.319,28.498,23.112,21.187,23.093,26.01,22.888,21.571,20.235,11.229,14.741,29.447,20.636
FJAG,0.5401724952741022,0.8106645516989996,0.065,5.326,0.179,0.25,0.463,2286.01,0.540172495274102,12.423967391304348,0.23922282608695652,0.18522282608695653,0.1843695652173913,0.17932608695652175,0.18031521739130432,0.17991304347826087,0.2158913043478261,0.26494021739130436,0.304320652173913,0.3899673913043479,0.49082608695652175,0.6467663043478261,0.8641249999999999,0.9043695652173913,0.8292499999999999,0.8146521739130435,0.874804347826087,0.8670380434782609,0.9767771739130435,1.0176467391304347,0.8551684782608696,0.5691467391304348,0.38990760869565216,44.017,34.081,33.924,32.996,33.178,33.104,39.724000000000004,48.749,55.995,71.754,90.312,119.005,158.999,166.404,152.582,149.896,160.964,159.535,179.727,187.24699999999999,157.351,104.723,71.743,44.017,34.081,33.924,32.996,33.178,33.104,39.724000000000004,48.749,55.995,71.754,90.312,119.005,158.999,166.404,152.582,149.896,160.964,159.535,179.727,187.24699999999999,157.351,104.723,71.743,0.2412663043478261,0.6875507246376812,0.8833179347826088,0.7079673913043478,0.19369130434782608,177.572,759.056,650.122,521.064,178.19600000000003,0.12497520751475447,0.1656223399974691,0.06836001198365474,0.3146807995396012,0.03924710973100246,0.49974581939799334,0.4740200668896321,0.5154180602006688,0.5658438003220612,0.5299264214046823,0.5853510466988727,0.6081772575250836,298.848,283.464,308.21999999999997,351.389,316.896,363.503,363.69,0.7990905334676636,0.6821942523369742,0.7664282946209388,0.7968492003779345,0.7630673387200784,0.8744483085405258,0.9571472210156564,0.5173637570527714,0.5965488105004102,1558.817,727.193,0.7630877151394648,0.915644864975933,0.5401724952741022,2286.01,0.810664551699,313.391,340.30899999999997,340.605,367.237,469.087,455.381,680.628,809.396,795.986,26.533,68.07300000000001,110.861,69.67,54.514,56.989,111.461,90.738,60.463,69.681,104.671,97.527,30.382,42.742,13.644,93.152,110.56,61.486,88.395,59.708,91.925,104.701,120.249,174.044,155.807,121.244,27.426,69.364
FMB,0.1869461247637051,0.19163744261142363,0.02,1.512,0.056,0.117,0.247,791.156,0.1869461247637051,4.299760869565217,0.16654347826086957,0.11402717391304347,0.11407065217391305,0.11597282608695651,0.10257608695652173,0.1083858695652174,0.09866847826086957,0.1135054347826087,0.15038586956521738,0.19116304347826088,0.21123913043478262,0.23556521739130434,0.2631467391304348,0.3608967391304348,0.22880434782608697,0.16182065217391306,0.1859673913043478,0.2102391304347826,0.20265217391304347,0.2383804347826087,0.24792391304347827,0.24813586956521738,0.22969021739130432,30.644000000000002,20.980999999999998,20.989,21.339,18.874,19.943,18.155,20.885,27.671,35.174,38.868,43.344,48.419,66.405,42.1,29.775000000000002,34.217999999999996,38.684,37.288,43.862,45.618,45.657,42.263,30.644000000000002,20.980999999999998,20.989,21.339,18.874,19.943,18.155,20.885,27.671,35.174,38.868,43.344,48.419,66.405,42.1,29.775000000000002,34.217999999999996,38.684,37.288,43.862,45.618,45.657,42.263,0.11773641304347826,0.24846920289855076,0.19016983695652173,0.24103260869565218,0.12263804347826086,86.654,274.31,139.96499999999997,177.4,112.827,0.019194115410452153,0.06368305839263821,0.016975044308706496,0.02175244296585763,0.01982177460224851,0.18785953177257525,0.18502341137123746,0.1826571906354515,0.1821755233494364,0.1964113712374582,0.18237520128824475,0.19247993311036787,112.34,110.644,109.229,113.131,117.454,113.255,115.103,0.19338124312805083,0.19224062633185438,0.1866229402187197,0.17682694231637763,0.19379731249282034,0.1917369652300903,0.20662606422573115,0.1867899103883173,0.18733223954060707,562.798,228.358,0.18854136756150902,0.199162285905857,0.1869461247637051,791.156,0.19163744261142354,115.902,127.578,159.292,115.313,146.552,126.519,231.215,274.13,285.811,14.963000000000001,27.136,31.093,24.844,22.963,27.94,28.468,35.873,23.067,29.03,38.101,39.44,46.676,13.178,8.329,26.84,22.507,29.122,28.515,23.56,32.121,38.362,34.439,41.417,45.106,16.751,17.931,23.384
GPC,0.14751323251417772,0.14505074480151153,0.025,2.132,0.074,0.103,0.154,624.2760000000001,0.1475132325141777,3.3928043478260874,0.0910054347826087,0.09935869565217391,0.10296739130434783,0.0914891304347826,0.08032065217391304,0.08482065217391303,0.10659239130434782,0.21080434782608695,0.19004891304347826,0.15860869565217392,0.13734239130434783,0.13343478260869565,0.1298858695652174,0.18578260869565216,0.24520108695652174,0.16894565217391302,0.18244565217391304,0.1648532608695652,0.14700000000000002,0.15705434782608696,0.1923913043478261,0.19055434782608693,0.14189673913043477,16.745,18.282,18.946,16.834,14.779,15.607,19.613,38.788,34.969,29.184,25.271,24.552,23.899,34.184,45.117,31.086,33.57,30.333,27.048000000000002,28.898,35.4,35.062,26.108999999999998,16.745,18.282,18.946,16.834,14.779,15.607,19.613,38.788,34.969,29.184,25.271,24.552,23.899,34.184,45.117,31.086,33.57,30.333,27.048000000000002,28.898,35.4,35.062,26.108999999999998,0.1480665760869565,0.1650425724637681,0.16581114130434782,0.1704741847826087,0.09302826086956521,108.977,182.207,122.037,125.469,85.586,0.09516548061842665,0.05029236869216683,0.0091191172110171,0.03116475618539223,0.031757750484258364,0.16648160535117057,0.15969565217391304,0.1394732441471572,0.1534283413848631,0.14367892976588628,0.13105314009661836,0.13918729096989965,99.556,95.498,83.405,95.279,85.92,81.384,83.234,0.1711323177553939,0.15330447588418078,0.12574678147678145,0.1497415303285892,0.13866368913410532,0.12732041904996774,0.14207267481939417,0.15255824759376038,0.13504347826086957,459.658,164.618,0.1487351731621457,0.13476517524748197,0.1475132325141777,624.276,0.14505074480151178,119.755,105.641,86.509,107.108,110.341,94.922,226.863,215.982,181.431,19.908,25.554,27.177,28.489,26.266000000000002,29.604,21.302,21.755,23.075,13.306000000000001,17.893,23.795,19.967,13.814,6.873,28.962,22.822,23.678,24.773,23.995,25.563,22.312,25.533,27.64,16.659,20.25,22.674,20.637
JACL,0.20589981096408316,0.26930820076758394,0.028,1.399,0.065,0.1145,0.15925,871.3679999999999,0.20589981096408316,4.735695652173913,0.2620271739130435,0.12419565217391304,0.08801086956521739,0.08284782608695652,0.08326086956521739,0.08800543478260871,0.08165217391304348,0.07967391304347826,0.09194021739130435,0.10059239130434783,0.11059239130434782,0.11689673913043479,0.13842391304347826,0.24458152173913045,0.46938586956521744,0.47985326086956526,0.3735760869565217,0.3298369565217391,0.35373913043478256,0.30599456521739127,0.22126086956521737,0.20131521739130437,0.30803260869565213,48.213,22.852,16.194,15.244,15.32,16.193,15.024000000000001,14.66,16.917,18.509,20.349,21.509,25.47,45.003,86.367,88.293,68.738,60.69,65.088,56.303,40.711999999999996,37.042,56.678,48.213,22.852,16.194,15.244,15.32,16.193,15.024000000000001,14.66,16.917,18.509,20.349,21.509,25.47,45.003,86.367,88.293,68.738,60.69,65.088,56.303,40.711999999999996,37.042,56.678,0.0853179347826087,0.19674547101449277,0.3842513586956522,0.2591508152173913,0.12806847826086956,62.794000000000004,217.207,282.80899999999997,190.73499999999999,117.82300000000001,0.009018554669867066,0.13622077595990276,0.0305905465785982,0.03773678869208261,0.09095357602806939,0.19730267558528428,0.23178093645484948,0.2077274247491639,0.21880193236714976,0.2050484949832776,0.1785024154589372,0.2026923076923077,117.987,138.605,124.221,135.876,122.619,110.85,121.21000000000001,0.26722126859868245,0.28727665507989936,0.2665929166345613,0.2882284226254642,0.2690430388864866,0.23334119849163157,0.26847586251179,0.21218320610687022,0.19036915504511895,639.308,232.06,0.2760233493731039,0.25137949102091783,0.2058998109640832,871.368,0.26930820076758377,77.603,138.731,214.237,75.45,181.99,183.357,153.053,320.721,397.594,7.495,16.27,14.853,22.599,21.438,24.149,38.447,36.466,30.433,26.981,44.028,66.669,70.091,10.652,4.902,16.173000000000002,16.066,15.793,22.516000000000002,17.137,37.147,47.36,49.539,55.32,60.342,36.043,30.761,31.698
JALG,0.25479489603024574,0.24152084504997698,0.065,1.719,0.107,0.16,0.296,1078.292,0.25479489603024574,5.860282608695652,0.1766413043478261,0.12114130434782608,0.11377173913043478,0.1132445652173913,0.11055434782608695,0.10932065217391304,0.11938586956521738,0.21400543478260872,0.3002173913043478,0.3138641304347826,0.27017391304347826,0.2256304347826087,0.29757065217391304,0.3355163043478261,0.40098369565217395,0.3602065217391305,0.29783152173913047,0.3052282608695652,0.27244021739130436,0.25932065217391304,0.31946195652173914,0.42192391304347826,0.4018478260869565,32.502,22.29,20.934,20.837,20.342,20.115,21.967,39.377,55.24,57.751,49.712,41.516,54.753,61.735,73.781,66.278,54.801,56.162,50.129,47.715,58.781,77.634,73.94,32.502,22.29,20.934,20.837,20.342,20.115,21.967,39.377,55.24,57.751,49.712,41.516,54.753,61.735,73.781,66.278,54.801,56.162,50.129,47.715,58.781,77.634,73.94,0.18573233695652175,0.30728985507246376,0.30892663043478263,0.3506385869565217,0.12707065217391306,136.699,339.248,227.37,258.07,116.905,0.11108170352676458,0.028245872073198723,0.017052994920801447,0.034543319160158,0.03782415270646579,0.24722073578595316,0.24735451505016723,0.2534247491638796,0.2551867954911433,0.24188127090301004,0.2494669887278583,0.28921906354515053,147.838,147.918,151.548,158.471,144.645,154.919,172.953,0.24148325459413117,0.22491983624176876,0.23919981104551136,0.23647026796578746,0.221877516765339,0.25379280529873477,0.26757153523897736,0.24906073680716892,0.2689680065627564,750.42,327.872,0.23284578014727217,0.2612933974172939,0.25479489603024574,1078.292,0.24152084504997676,159.262,166.642,211.174,177.26,200.554,163.4,336.522,367.196,374.574,23.187,37.245,37.319,34.637,37.337,36.046,40.616,34.773,39.702,29.004,44.983,58.04,59.401,24.788,11.213000000000001,42.813,42.46,42.214,38.56,42.924,41.062,45.948,46.319,46.413,32.007,39.638,38.208999999999996,31.434
JLG,0.19558104914933835,0.22966482015054415,0.039,1.648,0.066,0.098,0.194,827.699,0.19558104914933838,4.498364130434783,0.14376630434782608,0.08495652173913043,0.07544565217391304,0.07191304347826087,0.07065760869565217,0.07078804347826087,0.0678695652173913,0.07019565217391305,0.08819021739130435,0.1321413043478261,0.15689130434782608,0.18350000000000002,0.2546521739130435,0.30611413043478264,0.3013532608695652,0.3854619565217391,0.316,0.2896141304347826,0.2850054347826087,0.2745380434782609,0.28467934782608695,0.3060978260869565,0.27853260869565216,26.453,15.632,13.882,13.232,13.001,13.025,12.488,12.916,16.227,24.314,28.868,33.764,46.856,56.325,55.449,70.925,58.144,53.289,52.441,50.515,52.381,56.322,51.25,26.453,15.632,13.882,13.232,13.001,13.025,12.488,12.916,16.227,24.314,28.868,33.764,46.856,56.325,55.449,70.925,58.144,53.289,52.441,50.515,52.381,56.322,51.25,0.0742608695652174,0.22244202898550727,0.3190203804347826,0.2859619565217391,0.08934782608695653,54.656000000000006,245.57600000000002,234.799,210.46800000000002,82.2,0.01609824350530732,0.0754433967586307,0.06340207921690087,0.012043484153998137,0.03497640001855433,0.2059448160535117,0.20818227424749164,0.2071220735785953,0.20922866344605476,0.20602341137123745,0.17561996779388084,0.15718896321070233,123.155,124.493,123.859,129.931,123.202,109.06,93.999,0.2477954226554529,0.2389353939862025,0.2531080769966048,0.23059655989443167,0.24106875265075517,0.2048408678682826,0.17818988256869278,0.20731496846996347,0.16657834290401968,624.64,203.059,0.24217743987025758,0.19237150461215063,0.19558104914933835,827.699,0.22966482015054404,105.761,128.187,196.506,90.299,153.635,153.311,196.06,281.822,349.817,17.13,21.592,20.573,21.328,29.983,28.499,42.583,31.553,13.499,32.506,40.333,51.597,68.555,10.723,4.409,22.286,18.923000000000002,17.981,26.7,10.169,20.274,42.169,47.425,59.146,55.342,30.768,26.196,15.457
JMM,0.3532121928166352,0.4990477818769237,0.07,5.359,0.154,0.231,0.376,1494.794,0.3532121928166352,8.123880434782608,0.26686413043478263,0.1795,0.16308695652173913,0.15672826086956523,0.1544945652173913,0.1507554347826087,0.15207065217391305,0.18096739130434783,0.21317391304347824,0.2076576086956522,0.23895652173913043,0.31607608695652173,0.4571032608695652,0.5856141304347826,0.6441467391304347,0.5228532608695652,0.4776739130434782,0.47348913043478263,0.4996304347826087,0.5350923913043478,0.5271576086956522,0.5466358695652174,0.4741521739130435,49.103,33.028,30.008,28.838,28.427,27.739,27.981,33.298,39.224,38.209,43.967999999999996,58.158,84.107,107.753,118.523,96.205,87.892,87.122,91.932,98.45700000000001,96.997,100.581,87.244,49.103,33.028,30.008,28.838,28.427,27.739,27.981,33.298,39.224,38.209,43.967999999999996,58.158,84.107,107.753,118.523,96.205,87.892,87.122,91.932,98.45700000000001,96.997,100.581,87.244,0.17424184782608695,0.4082590579710145,0.49341168478260866,0.5207595108695653,0.18413478260869565,128.242,450.71799999999996,363.151,383.279,169.404,0.05306739703572589,0.2294219966342236,0.07364276371943423,0.054074742873033294,0.10212704046196033,0.3603678929765886,0.32838963210702343,0.3647408026755853,0.2945378421900161,0.39954347826086956,0.37173913043478257,0.3547107023411371,215.5,196.377,218.115,182.908,238.927,230.85,212.117,0.582025215832815,0.44205991888614643,0.6231236797850828,0.23215518433592214,0.6011504832124887,0.4959447480593276,0.40360435324166133,0.3490962495851311,0.3633855619360131,1051.827,442.967,0.5165630890761455,0.4528993178474019,0.3532121928166352,1494.794,0.49904778187692383,204.756,243.338,378.022,174.081,274.368,220.229,378.837,517.706,598.251,35.127,43.411,47.949,42.281,48.462,41.326,58.464999999999996,65.378,58.677,53.914,74.436,77.996,157.982,20.712,11.002,47.489,31.313,47.001,37.276,39.776,43.785000000000004,67.58,74.07,79.072,64.367,48.916,42.409,34.622
LFZA,0.13061176748582232,0.1323226712433563,0.009,1.661,0.063,0.0985,0.151,552.749,0.13061176748582232,3.004070652173913,0.17954347826086958,0.15516847826086955,0.12939673913043478,0.10256521739130435,0.08848369565217391,0.08769565217391304,0.07748369565217392,0.08020652173913044,0.07684239130434782,0.08145108695652174,0.08954891304347826,0.097875,0.1192445652173913,0.15466304347826085,0.14841304347826087,0.16177717391304347,0.18746739130434784,0.16541847826086958,0.15144565217391304,0.16094565217391305,0.15584782608695652,0.1713478260869565,0.1812391304347826,33.036,28.551,23.809,18.872,16.281,16.136,14.257,14.758000000000001,14.139,14.987,16.477,18.009,21.941,28.458,27.308,29.767,34.494,30.437,27.866,29.614,28.676000000000002,31.528,33.348,33.036,28.551,23.809,18.872,16.281,16.136,14.257,14.758000000000001,14.139,14.987,16.477,18.009,21.941,28.458,27.308,29.767,34.494,30.437,27.866,29.614,28.676000000000002,31.528,33.348,0.08055706521739131,0.11519927536231883,0.16652717391304347,0.16734510869565217,0.13103152173913044,59.290000000000006,127.18,122.564,123.16600000000001,120.549,0.0076759580382071415,0.04894059082874545,0.038701222724003184,0.017486301388008853,0.050848695197877714,0.12972742474916388,0.14072240802675584,0.12794314381270905,0.1295475040257649,0.13374247491638794,0.13013204508856682,0.12252675585284281,77.577,84.152,76.51,80.449,79.978,80.812,73.271,0.11307337836495605,0.14434604985971944,0.127494040763876,0.11884902220227767,0.14975375847072786,0.13717869892661166,0.13186568131773665,0.13231530036508463,0.12640114848236259,398.666,154.083,0.1313755255240646,0.13459709029027203,0.13061176748582232,552.749,0.1323226712433561,85.673,65.747,96.678,96.387,121.598,86.666,182.06,187.345,183.344,11.193,22.21,19.724,20.972,15.962,15.66,13.368,12.635,16.816,20.362000000000002,18.302,24.244,23.058,13.592,7.921,19.796,21.837,25.265,21.568,25.433,28.789,22.048000000000002,27.05,36.743,23.342,15.636,16.439,12.784
