archivo,media_consumo,std_consumo,min_consumo,max_consumo,percentil_25_consumo,percentil_50_consumo,percentil_75_consumo,sum_consumo,promedio_por_dia,consumo_1.0,consumo_2.0,consumo_3.0,consumo_4.0,consumo_5.0,consumo_6.0,consumo_7.0,consumo_8.0,consumo_9.0,consumo_10.0,consumo_11.0,consumo_12.0,consumo_13.0,consumo_14.0,consumo_15.0,consumo_16.0,consumo_17.0,consumo_18.0,consumo_19.0,consumo_20.0,consumo_21.0,consumo_22.0,consumo_23.0,Mañana,Mediodia,Tarde,Noche,Madrugada,Lunes,Martes,Miércoles,Jueves,Viernes,Sábado,Domingo,Entre semana,Fin de semana,invierno,otoño,primavera,verano,2023-01,2023-02,2023-03,2023-04,2023-05,2023-06,2023-07,2023-08,2023-09,2023-10,2023-11,2023-12,2024-01,2024-02,2024-03,2024-04,2024-05,2024-06,2024-07,2024-08,2024-09,2024-10,2024-11,2024-12,2022-12-26/2023-01-01,2023-01-02/2023-01-08,2023-01-09/2023-01-15,2023-01-16/2023-01-22,2023-01-23/2023-01-29,2023-01-30/2023-02-05,2023-02-06/2023-02-12,2023-02-13/2023-02-19,2023-02-20/2023-02-26,2023-02-27/2023-03-05,2023-03-06/2023-03-12,2023-03-13/2023-03-19,2023-03-20/2023-03-26,2023-03-27/2023-04-02,2023-04-03/2023-04-09,2023-04-10/2023-04-16,2023-04-17/2023-04-23,2023-04-24/2023-04-30,2023-05-01/2023-05-07,2023-05-08/2023-05-14,2023-05-15/2023-05-21,2023-05-22/2023-05-28,2023-05-29/2023-06-04,2023-06-05/2023-06-11,2023-06-12/2023-06-18,2023-06-19/2023-06-25,2023-06-26/2023-07-02,2023-07-03/2023-07-09,2023-07-10/2023-07-16,2023-07-17/2023-07-23,2023-07-24/2023-07-30,2023-07-31/2023-08-06,2023-08-07/2023-08-13,2023-08-14/2023-08-20,2023-08-21/2023-08-27,2023-08-28/2023-09-03,2023-09-04/2023-09-10,2023-09-11/2023-09-17,2023-09-18/2023-09-24,2023-09-25/2023-10-01,2023-10-02/2023-10-08,2023-10-09/2023-10-15,2023-10-16/2023-10-22,2023-10-23/2023-10-29,2023-10-30/2023-11-05,2023-11-06/2023-11-12,2023-11-13/2023-11-19,2023-11-20/2023-11-26,2023-11-27/2023-12-03,2023-12-04/2023-12-10,2023-12-11/2023-12-17,2023-12-18/2023-12-24,2023-12-25/2023-12-31,2024-01-01/2024-01-07,2024-01-08/2024-01-14,2024-01-15/2024-01-21,2024-01-22/2024-01-28,2024-01-29/2024-02-04,2024-02-05/2024-02-11,2024-02-12/2024-02-18,2024-02-19/2024-02-25,2024-02-26/2024-03-03,2024-03-04/2024-03-10,2024-03-11/2024-03-17,2024-03-18/2024-03-24,2024-03-25/2024-03-31,2024-04-01/2024-04-07,2024-04-08/2024-04-14,2024-04-15/2024-04-21,2024-04-22/2024-04-28,2024-04-29/2024-05-05,2024-05-06/2024-05-12,2024-05-13/2024-05-19,2024-05-20/2024-05-26,2024-05-27/2024-06-02,2024-06-03/2024-06-09,2024-06-10/2024-06-16,2024-06-17/2024-06-23,2024-06-24/2024-06-30,2024-07-01/2024-07-07,2024-07-08/2024-07-14,2024-07-15/2024-07-21,2024-07-22/2024-07-28,2024-07-29/2024-08-04,2024-08-05/2024-08-11,2024-08-12/2024-08-18,2024-08-19/2024-08-25,2024-08-26/2024-09-01,2024-09-02/2024-09-08,2024-09-09/2024-09-15,2024-09-16/2024-09-22,2024-09-23/2024-09-29,2024-09-30/2024-10-06,2024-10-07/2024-10-13,2024-10-14/2024-10-20,2024-10-21/2024-10-27,2024-10-28/2024-11-03,2024-11-04/2024-11-10,2024-11-11/2024-11-17,2024-11-18/2024-11-24,2024-11-25/2024-12-01,2024-12-02/2024-12-08,2024-12-09/2024-12-15,2024-12-16/2024-12-22,2024-12-23/2024-12-29,2025-01,2024-12-30/2025-01-05,2025-01-06/2025-01-12,2025-01-13/2025-01-19
AJVG,0.23410651974288338,0.36055477131135744,0.005,4.021,0.051,0.083,0.222,4079.072,0.2353292496470272,0.11547382920110193,0.09682920110192837,0.08336776859504132,0.07854958677685951,0.07704958677685951,0.07808953168044076,0.23444903581267218,0.56650826446281,0.33015151515151514,0.2143870523415978,0.21890358126721765,0.2586308539944904,0.2447314049586777,0.24398760330578512,0.27201652892561984,0.2151542699724518,0.17926170798898072,0.2025275482093664,0.24496143250688707,0.3193815426997245,0.39405647382920106,0.41518044077134986,0.3286818181818182,0.30229958677685953,0.24210950413223142,0.2104762396694215,0.3643250688705234,0.09025399449035813,0.2542483277591973,0.24567516722408025,0.25009657190635454,0.23676714046822742,0.1984301392992824,0.2276504854368932,0.23393478260869566,0.2353467582721314,0.23080781348456206,0.3957618577075099,0.19173504273504274,0.23093687943262411,0.1318475897920605,231.612,293.657,213.109,121.24,117.866,108.341,89.719,65.66,112.267,108.642,157.524,249.156,311.027,260.966,250.256,145.281,129.111,104.409,106.319,83.531,101.707,131.426,180.9,255.626,6.276,13.037,52.085,93.30799999999999,43.069,77.849,72.299,62.736,68.12,79.432,43.129,47.949,46.752,44.794,25.869,37.214,25.034,20.666,26.192,26.797,30.464,23.518,27.179,25.817,23.198,24.368,22.273,25.83,20.049,25.105,15.015,0.842,4.838,23.283,23.257,26.787,28.343,21.73,27.134,23.775,26.203,14.598,26.976,31.86,33.177,27.658,35.192,45.129,31.638,15.172,52.032,72.398,101.348,72.51,88.69500000000001,77.38,42.338,78.582,61.094,65.527,52.789,61.639,74.925,41.757,29.09,75.923,58.387,30.534,28.82,24.162,31.797,25.629,32.824,22.419,27.113,24.319,28.498,23.112,21.187,23.093,26.01,22.888,21.571,20.235,11.229,14.741,29.447,22.948,28.254,23.936,14.360999999999999,28.931,28.715,30.09,29.195,29.977999999999998,23.621,33.769,38.358,48.857,62.98,47.749,77.265,77.567,43.721,,,,
FJAG,0.4430025265575654,0.7117970324351827,0.048,5.326,0.171,0.246,0.41,7714.889000000001,0.45033283213921466,0.19842424242424245,0.1587121212121212,0.15370661157024793,0.15241873278236914,0.15218044077134987,0.15259641873278237,0.2290289256198347,0.2701046831955923,0.3131818181818182,0.3878030303030303,0.4841997245179063,0.6876184573002755,0.9181322314049586,0.8339752066115702,0.6694517906336088,0.5978220689655173,0.58448,0.5955462068965518,0.6302234482758621,0.7209558620689654,0.5822206896551725,0.4664344827586207,0.42202758620689657,0.2412279614325069,0.6635300734618916,0.6020179310344828,0.5479096551724139,0.1630884297520661,0.3817529264214047,0.38303887959866223,0.48554096989966555,0.4330012583892618,0.5650232165470662,0.40316715913887713,0.5020693979933111,0.4392947684526632,0.45285717286284394,0.4540277227722772,0.4008996539792387,0.38415768321513005,0.5401724952741022,242.112,204.97,261.25,235.318,259.358,313.391,340.30899999999997,340.605,300.177,292.627,265.962,293.894,394.629,333.436,236.434,311.917,320.71,367.237,469.087,455.381,334.593,257.625,321.411,365.231,9.776,69.753,42.506,49.904,55.039,54.757,49.564,54.66,47.098,66.015,49.758,51.794000000000004,53.034,60.055,67.286,48.807,65.353,48.491,49.177,50.17,45.622,92.479,48.443,68.07300000000001,110.861,69.67,54.514,56.989,111.461,90.738,60.463,69.681,104.671,97.527,30.382,68.861,63.406,106.233,55.934,57.02,58.932,63.513,94.732,49.972,61.417,55.146,52.83,84.05199999999999,51.236,104.064,50.901,58.786,58.367,54.565,102.898,55.0,139.938,74.34,86.073,94.924,90.874,55.889,51.255,53.297,46.919,58.527,70.999,79.946,73.283,76.119,48.831,78.761,88.794,54.415,75.123,93.152,110.56,61.486,88.395,59.708,91.925,104.701,120.249,174.044,155.807,121.244,27.426,79.894,55.185,82.198,94.815,85.861,83.49,49.179,49.23,54.249,94.287,50.254,52.231,51.408,105.921,103.706,139.897,86.642,29.777,,,,
GPC,0.16814724984194493,0.1972745337843757,0.023,2.567,0.065,0.098,0.172,2925.594,0.1713693594112035,0.08185103448275861,0.1011048275862069,0.10034344827586206,0.08223586206896552,0.0755903448275862,0.07555586206896552,0.10523862068965517,0.2896937931034483,0.23776413793103446,0.1952248275862069,0.14810344827586208,0.12202758620689655,0.12239448275862069,0.19152137931034485,0.3123710344827586,0.24574344827586206,0.20122758620689654,0.18522482758620692,0.1768303448275862,0.22592827586206896,0.3288331034482759,0.21364000000000002,0.12329379310344828,0.17706310344827586,0.18194045977011494,0.20225655172413792,0.2229237931034483,0.08822510344827586,0.17041847826086956,0.1726559364548495,0.16893938127090302,0.16929928239763614,0.16081680033769524,0.17331827775432673,0.18410953177257525,0.1641567494856781,0.17873997059441293,0.19839577639751552,0.16613904723127038,0.1623404255319149,0.1475132325141777,143.741,122.938,130.65,100.424,119.061,119.755,105.641,86.509,115.593,121.851,130.441,141.495,145.207,126.39,117.363,103.179,116.023,107.108,110.341,94.922,118.895,123.168,138.296,118.772,5.578,33.608,33.248,29.740000000000002,31.961,33.176,27.04,31.783,30.584,32.693,27.062,33.294,25.974,26.151,14.261,28.688,28.056,24.856,26.574,28.191,26.125,27.114,30.965,25.554,27.177,28.489,26.266000000000002,29.604,21.302,21.755,23.075,13.306000000000001,17.893,23.795,19.967,27.407,24.899,27.406,27.449,25.714,29.35,25.665,27.632,28.701999999999998,27.629,31.537,28.359,34.006,28.509,27.841,31.473,29.323,40.293,33.067,29.104,33.638,35.579,32.281,28.612,30.791,29.968,31.187,28.385,30.414,27.543,18.391000000000002,10.893,32.24,27.081,26.902,25.145,29.246,24.663,26.032,23.873,28.962,22.822,23.678,24.773,23.995,25.563,22.312,25.533,27.64,16.659,20.25,22.674,25.447,28.637,23.029,33.833,26.132,26.014,24.934,28.692,30.128,30.836,32.038,32.883,32.816,32.735,30.926,33.247,30.538,16.903,,,,
JACL,0.13250031618281113,0.16289150620395168,0.015,1.399,0.063,0.096,0.135,2304.843,0.13018752352292753,0.15576,0.0940151724137931,0.07773103448275863,0.07628137931034483,0.07696413793103449,0.07569241379310346,0.07129241379310344,0.07804413793103449,0.08837241379310344,0.09420413793103448,0.11127586206896552,0.10913517241379311,0.11093655172413794,0.16140551724137933,0.31584275862068967,0.21592689655172415,0.17368551724137932,0.1594593103448276,0.16432413793103448,0.14919889502762432,0.1274696132596685,0.13438259668508287,0.1732707182320442,0.07835034482758621,0.15046666666666667,0.1783489655172414,0.14608045580110499,0.09615034482758622,0.12770944816053512,0.13334155518394647,0.12652931323283081,0.1307619248628113,0.1268024482904179,0.13054284508231323,0.1356772575250836,0.13226586987494063,0.13312245326612057,0.10561576722208406,0.12072495928338761,0.09829621749408983,0.2058998109640832,70.226,67.069,66.07000000000001,62.438,69.93,77.603,138.731,214.237,87.416,73.794,70.626,73.543,77.161,71.894,76.613,71.635,69.107,75.45,181.99,183.357,77.507,73.967,75.4,64.788,2.207,14.823,14.291,15.817,18.694,16.683,14.91,17.504,17.406,16.63,14.822,15.159,13.501,14.966,15.304,14.426,14.558,14.102,15.411999999999999,14.055,18.109,16.168,13.681,16.27,14.853,22.599,21.438,24.149,38.447,36.466,30.433,26.981,44.028,66.669,70.091,17.659,29.594,22.311,15.533,16.299,18.098,16.931,16.466,14.401,17.861,16.573,16.658,15.53,16.499,14.357,16.725,16.573,17.963,16.253,16.436,18.566,17.958,17.585,16.431,17.337,18.574,18.11,17.558,17.675,16.668,16.517,17.804,15.931000000000001,16.369,17.054,15.878,15.643,15.331999999999999,15.745,15.888,16.173000000000002,16.066,15.793,22.516000000000002,17.137,37.147,47.36,49.539,55.32,60.342,36.043,30.761,37.08,20.216,15.721,16.415,17.482,16.447,17.315,15.540000000000001,17.178,17.445,18.52,17.025,17.882,17.154,18.581,18.574,17.805,6.98,,,,
JALG,0.28053597658939633,0.2684197734040301,0.027,2.216,0.099,0.172,0.36,4889.181,0.2817219604996801,0.16973590096286106,0.10753782668500689,0.10173865199449794,0.09622971114167814,0.09479338842975206,0.09683608815426997,0.11006198347107438,0.20321900826446282,0.29056887052341596,0.34314325068870527,0.3091515151515151,0.25317768595041323,0.34888842975206613,0.4646294765840221,0.4784986225895317,0.4631212121212121,0.32722865013774105,0.34030853994490357,0.2799077134986226,0.28456749311294766,0.4286707988980716,0.5055399449035812,0.3871046831955923,0.17517148760330578,0.3662481634527089,0.3526415289256198,0.4014707300275482,0.11400709584275921,0.2868637123745819,0.278180602006689,0.2868779264214047,0.28161078595317723,0.2723746312684366,0.2591519628535247,0.3079644648829431,0.2793557274808558,0.2836761184625079,0.32106391905231985,0.2706955636955637,0.2788983451536643,0.25479489603024574,235.676,200.808,208.784,178.956,165.734,159.262,166.642,211.174,179.323,190.865,213.5,230.192,235.057,206.402,223.106,208.887,194.273,177.26,200.554,163.4,169.811,198.196,197.66,192.816,5.374,53.169,52.898,50.622,56.03,53.164,50.953,47.813,51.996,51.913,50.622,42.331,42.361,46.24,41.789,48.096000000000004,38.773,40.08,39.834,39.341,37.858,29.045,42.843,37.245,37.319,34.637,37.337,36.046,40.616,34.773,39.702,29.004,44.983,58.04,59.401,42.32,39.359,44.013,41.309,43.519,39.747,43.169,42.463,46.859,45.881,54.789,46.458,49.275999999999996,50.083,52.163,48.807,54.61,53.842999999999996,55.726,55.179,52.201,49.606,48.359,52.126,47.74,51.737,49.781,55.284,48.527,49.288,49.011,45.337,49.808,48.621,53.461,46.539,40.621,43.925,46.535000000000004,39.525999999999996,42.813,42.46,42.214,38.56,42.924,41.062,45.948,46.319,46.413,32.007,39.638,38.208999999999996,37.428,36.505,38.761,39.668,43.117,40.053,42.391,43.227000000000004,49.024,47.808,40.841,51.665,46.711,47.761,53.892,51.582,51.097,28.386,,,,
JLG,0.14566433285509325,0.16431378818379438,0.028,1.648,0.06,0.095,0.155,2538.201,0.14448764958054922,0.121292984869326,0.07611432506887052,0.0637258953168044,0.061836088154269976,0.060636363636363634,0.05994214876033058,0.058929752066115705,0.06178925619834711,0.08133471074380165,0.15734022038567494,0.17803305785123968,0.15764462809917357,0.16552892561983473,0.22181267217630854,0.21693388429752067,0.23203856749311297,0.19492837465564739,0.17124380165289255,0.1777947658402204,0.17594077134986227,0.1969641873278237,0.2307589531680441,0.20225757575757575,0.06549896694214875,0.18288223140495866,0.1940013774104683,0.20148037190082646,0.07672113140912692,0.14939632107023412,0.14778678929765884,0.14776254180602005,0.15059991638795986,0.14270759493670884,0.14301646264246518,0.13059113712374584,0.14900671193935566,0.1367737870195337,0.14121017535193875,0.13143711843711842,0.11651536643026005,0.19558104914933835,108.7,86.833,93.412,73.791,77.157,105.761,128.187,196.506,90.612,95.634,77.513,89.734,113.696,85.019,86.867,76.378,85.255,90.299,153.635,153.311,79.14,84.127,94.597,87.778,4.407,28.509,20.277,23.721,24.983999999999998,21.649,22.343,19.355,23.393,22.802,20.102,21.635,18.459,22.489,13.655,18.216,19.458,17.282,19.206,17.117,13.527,17.101,27.336,21.592,20.573,21.328,29.983,28.499,42.583,31.553,13.499,32.506,40.333,51.597,68.555,18.329,19.07,23.527,19.636,23.551,23.802,19.712,19.854,23.806,18.978,22.042,18.393,13.306,16.19,19.866,19.447,21.85,22.857,25.980999999999998,21.885,26.288,26.901,26.196,17.838,19.732,21.5,21.947,17.904,18.133,21.61,19.667,14.112,18.357,20.413,17.997,21.424,18.834,16.854,20.578,17.473,22.286,18.923000000000002,17.981,26.7,10.169,20.274,42.169,47.425,59.146,55.342,30.768,26.196,20.422,20.855,17.335,16.561,17.158,19.77,12.825,24.894000000000002,16.818,22.214,19.831,23.856,22.994,21.137,21.453,20.229,23.323,19.424,,,,
JMM,0.27682290287293454,0.3182844886778387,0.048,5.359,0.142,0.202,0.291,4808.137,0.2765693176439117,0.21212707182320445,0.1573936464088398,0.14204419889502762,0.13801519337016574,0.13438121546961326,0.1337292817679558,0.13498342541436464,0.1616049723756906,0.21070027624309393,0.20105939226519337,0.22425276243093925,0.29456767955801105,0.4055870165745856,0.5409419889502762,0.5025511049723757,0.32741712707182324,0.3038839779005525,0.30509681881051176,0.34154771784232363,0.3709889349930844,0.39410511756569844,0.38739280774550483,0.33618395573997234,0.16025448895027625,0.3614933241252302,0.31948641040630277,0.372167704011065,0.15679226519337017,0.2638035117056856,0.2717011735121542,0.2694786829886028,0.2568932038834952,0.28534360489658084,0.3068505698607007,0.2816584448160535,0.2702634041878173,0.294193656794791,0.25830005005005,0.2461113826104663,0.253551536643026,0.3532121928166352,202.916,177.67,206.846,178.929,192.825,204.756,243.338,378.022,166.73,173.448,162.277,174.233,170.223,152.388,169.13400000000001,160.38400000000001,164.405,174.081,274.368,220.229,146.106,168.091,186.771,154.737,9.398,50.356,39.793,38.523,50.553,42.129,49.722,40.061,48.021,41.11,46.759,54.378,47.057,39.795,44.175,37.612,42.658,44.261,40.23,40.863,53.42,43.007,50.432,43.411,47.949,42.281,48.462,41.326,58.464999999999996,65.378,58.677,53.914,74.436,77.996,157.982,37.124,33.79,38.65,36.326,47.382,39.066,45.085,39.93,34.643,35.144,40.88,37.985,36.505,34.659,38.507,40.271,39.986,41.467,40.522,39.425,37.569,38.577,35.194,33.647,39.334,37.554,40.48,38.178,36.006,34.089,41.17,39.959,38.527,40.007,32.346,32.893,37.444,34.686,38.833,41.096000000000004,47.489,31.313,47.001,37.276,39.776,43.785000000000004,67.58,74.07,79.072,64.367,48.916,42.409,39.19,37.443,36.279,32.456,31.788,31.907,38.67,33.25,41.556,53.74,40.448,46.251,44.048,32.55,44.806,45.211,44.711,16.023,,,,
LFZA,0.1660859195402299,0.2149427241170506,0.0,2.133,0.069,0.106,0.172,2889.895,0.1632286440870474,0.21078206896551724,0.1741613793103448,0.13950206896551723,0.11438206896551725,0.0979848275862069,0.09496137931034482,0.0928648275862069,0.09934068965517243,0.09355586206896552,0.09302206896551725,0.11642896551724138,0.14158896551724137,0.16026344827586209,0.17140689655172414,0.1825489655172414,0.21676413793103447,0.23303862068965517,0.23409379310344827,0.21574068965517243,0.21321655172413792,0.20963310344827588,0.2147641379310345,0.23428965517241382,0.0951806896551724,0.14420988505747126,0.22490931034482758,0.21797586206896552,0.14736248275862068,0.1520539297658863,0.17373411371237457,0.1680284280936455,0.1642013507809202,0.17537568594343603,0.16027184466019417,0.14905602006688962,0.17039868660495291,0.15463684099978997,0.20143304347826088,0.14607938123346223,0.19117966903073288,0.13061176748582232,134.898,177.609,168.838,153.877,122.581,85.673,65.747,96.678,88.261,93.313,115.804,126.687,158.208,137.058,132.32,122.351,108.723,96.387,121.598,86.666,72.497,86.43900000000001,93.372,76.308,0.361,5.41,36.519999999999996,35.864,45.259,44.807,45.069,43.069,43.511,44.602,41.074,33.441,37.745,31.156,38.407,43.114,36.612,29.201,35.364,28.747,23.718,23.256,22.689,22.21,19.724,20.972,15.962,15.66,13.368,12.635,16.816,20.362000000000002,18.302,24.244,23.058,22.582,21.205,20.781,20.495,19.197,19.654,22.957,20.915,21.754,18.783,24.352,36.764,26.783,28.367,29.6,22.868,31.406,29.194,34.75,37.284,39.688,29.806,31.942,35.793,28.736,30.189,36.594,30.163,24.499,30.547,37.595,25.845,29.677,28.998,30.36,23.984,25.144000000000002,24.227,27.677,23.083,19.796,21.837,25.265,21.568,25.433,28.789,22.048000000000002,27.05,36.743,23.342,15.636,16.439,14.59,16.773,14.767,14.297,22.774,16.491,16.011,20.443,22.749,20.653,24.065,20.941,21.453,22.441,21.026,21.348,23.396,7.182,,,,
MANA,0.2846951905417815,0.308629740493053,0.043,2.731,0.116,0.179,0.326,4960.529,0.28066924613544714,0.2725013774104683,0.17175482093663913,0.13692561983471074,0.12469834710743802,0.12121074380165289,0.11930716253443527,0.11636501377410467,0.13138154269972452,0.15654683195592287,0.23067079889807166,0.2759146005509642,0.25639944903581263,0.23148898071625346,0.3699517906336088,0.5403512396694216,0.3889283746556474,0.3442796143250689,0.34138016528925624,0.35395316804407717,0.33997520661157027,0.3755482093663912,0.572840220385675,0.4826776859504132,0.13090013774104683,0.31746280991735537,0.35713533057851243,0.4427603305785124,0.16541818181818183,0.269742474916388,0.3009339464882943,0.27731981605351175,0.29378637123745815,0.2923102574926129,0.2560506542845082,0.2743127090301003,0.29201524125404726,0.2652257929006511,0.27854668972332014,0.27369129019129024,0.24996548463356974,0.33806687145557657,218.245,184.717,186.312,178.439,172.238,172.345,203.107,263.317,188.571,197.135,179.277,187.567,199.77,179.746,188.926,166.237,165.202,189.291,309.369,293.27,171.741,161.922,172.111,157.512,5.9670000000000005,50.662,50.517,48.54,46.683,48.609,48.775999999999996,46.215,44.756,45.416,39.685,41.302,38.117,48.794,37.801,43.984,42.627,39.262,36.847,40.627,36.542,40.569,40.358,25.878,37.671,47.655,48.795,32.156,20.934,72.381,61.852,45.77,26.84,107.638,64.554,41.608,38.659,44.61,45.635,49.846000000000004,49.111,42.126,45.525999999999996,42.561,40.277,39.909,39.469,46.137,38.991,42.274,43.525,44.043,42.183,51.163,48.152,47.466,35.046,43.687,41.878,46.706,42.161,38.94,41.097,41.37,43.532,47.244,38.997,39.216,39.347,38.947,37.769,40.063,33.118,37.896,39.31,38.396,36.987,40.823,59.861,48.854,34.871,83.747,84.695,102.669,112.855,50.915,18.38,75.63,44.394,38.991,43.052,30.115,34.366,39.172,34.196,38.385,38.194,40.581,42.39,36.465,42.91,39.5,39.545,39.545,31.508,,,,
MBGV,0.1975764124374964,0.203378109089712,0.045,2.429,0.086,0.113,0.21,3437.632,0.19554316909726954,0.17039310344827585,0.10853517241379311,0.09372,0.09249103448275861,0.09064,0.09020689655172415,0.08951724137931036,0.1739903448275862,0.2520951724137931,0.2763889655172414,0.2343848275862069,0.19268689655172413,0.18247724137931035,0.21574206896551726,0.21149931034482758,0.20202206896551725,0.2253489655172414,0.208231724137931,0.2109158620689655,0.25887724137931034,0.3080331034482759,0.3289586206896552,0.2809255172413793,0.15145241379310345,0.21886321839080458,0.21162965517241378,0.2941986206896552,0.11115586206896552,0.18453511705685618,0.18472491638795988,0.1954715719063545,0.2030067539046011,0.1640320810468552,0.19825918108906712,0.23874581939799333,0.1896562747270138,0.21860029405587064,0.21525217391304347,0.2132023615635179,0.18515744680851065,0.17504158790170132,158.155,147.629,135.125,116.183,132.484,135.008,116.815,118.135,137.293,146.353,139.598,148.742,150.676,143.623,145.784,114.097,139.543,131.09,113.682,126.046,138.361,164.741,144.381,117.565,3.043,34.698,35.084,39.394999999999996,34.908,35.062,43.392,35.071,37.177,28.417,33.647999999999996,28.076,32.112,29.405,19.858,34.301,23.999,29.446,28.375,29.93,30.633,30.127,33.146,33.027,26.586,36.22,23.952,34.952,27.101,19.172,28.711,16.218,28.724,35.944,18.022,39.566,32.361,25.261,30.36,36.917,33.79,26.702,35.767,36.801,33.802,31.926,32.883,28.511,33.478,35.383,34.385,31.329,34.366,37.135,36.068,37.474,23.587,37.041,35.878,36.426,33.118,39.214999999999996,30.315,28.492,33.09,32.244,15.213000000000001,31.425,31.953,28.486,32.916,31.77,31.15,29.225,32.03,32.282,27.374,30.654,30.252,23.843,22.079,28.794999999999998,23.616,33.036,34.569,14.024,27.957,38.082,30.482,30.819,34.078,33.492,28.983,37.99,39.183,41.5,37.992,34.05,36.214999999999996,27.587,32.897,33.297,31.24,36.675,12.295,,,,
