archivo,media_consumo,std_consumo,min_consumo,max_consumo,percentil_25_consumo,percentil_50_consumo,percentil_75_consumo,sum_consumo,promedio_por_dia,consumo_medio_diario,consumo_00,consumo_01,consumo_02,consumo_03,consumo_04,consumo_05,consumo_06,consumo_07,consumo_08,consumo_09,consumo_10,consumo_11,consumo_12,consumo_13,consumo_14,consumo_15,consumo_16,consumo_17,consumo_18,consumo_19,consumo_20,consumo_21,consumo_22,consumo_23,consumo_00_suma,consumo_01_suma,consumo_02_suma,consumo_03_suma,consumo_04_suma,consumo_05_suma,consumo_06_suma,consumo_07_suma,consumo_08_suma,consumo_09_suma,consumo_10_suma,consumo_11_suma,consumo_12_suma,consumo_13_suma,consumo_14_suma,consumo_15_suma,consumo_16_suma,consumo_17_suma,consumo_18_suma,consumo_19_suma,consumo_20_suma,consumo_21_suma,consumo_22_suma,consumo_23_suma,consumo_00_std,consumo_01_std,consumo_02_std,consumo_03_std,consumo_04_std,consumo_05_std,consumo_06_std,consumo_07_std,consumo_08_std,consumo_09_std,consumo_10_std,consumo_11_std,consumo_12_std,consumo_13_std,consumo_14_std,consumo_15_std,consumo_16_std,consumo_17_std,consumo_18_std,consumo_19_std,consumo_20_std,consumo_21_std,consumo_22_std,consumo_23_std,Mañana,Mediodia,Tarde,Noche,Madrugada,s_Mañana,s_Mediodia,s_Tarde,s_Noche,s_Madrugada,std_Mañana,std_Mediodia,std_Tarde,std_Noche,std_Madrugada,Lunes,s_Lunes,std_Lunes,Entre semana,s_Entre semana,std_Entre semana,invierno,otoño,primavera,verano,s_invierno,s_otoño,s_primavera,s_verano,std_invierno,std_otoño,std_primavera,std_verano,2024-07,2024-08,2024-09,2024-10,2024-11,2024-12,2025-01,2025-02,2025-03,2025-04,2025-05,2025-06,Enero,Febrero,Marzo,Abril,Mayo,Junio,Julio,Agosto,Septiembre,Octubre,Noviembre,Diciembre,2024-07-01/2024-07-07,2024-07-08/2024-07-14,2024-07-15/2024-07-21,2024-07-22/2024-07-28,2024-07-29/2024-08-04,2024-08-05/2024-08-11,2024-08-12/2024-08-18,2024-08-19/2024-08-25,2024-08-26/2024-09-01,2024-09-02/2024-09-08,2024-09-09/2024-09-15,2024-09-16/2024-09-22,2024-09-23/2024-09-29,2024-09-30/2024-10-06,2024-10-07/2024-10-13,2024-10-14/2024-10-20,2024-10-21/2024-10-27,2024-10-28/2024-11-03,2024-11-04/2024-11-10,2024-11-11/2024-11-17,2024-11-18/2024-11-24,2024-11-25/2024-12-01,2024-12-02/2024-12-08,2024-12-09/2024-12-15,2024-12-16/2024-12-22,2024-12-23/2024-12-29,2024-12-30/2025-01-05,2025-01-06/2025-01-12,2025-01-13/2025-01-19,2025-01-20/2025-01-26,2025-01-27/2025-02-02,2025-02-03/2025-02-09,2025-02-10/2025-02-16,2025-02-17/2025-02-23,2025-02-24/2025-03-02,2025-03-03/2025-03-09,2025-03-10/2025-03-16,2025-03-17/2025-03-23,2025-03-24/2025-03-30,2025-03-31/2025-04-06,2025-04-07/2025-04-13,2025-04-14/2025-04-20,2025-04-21/2025-04-27,2025-04-28/2025-05-04,2025-05-05/2025-05-11,2025-05-12/2025-05-18,2025-05-19/2025-05-25,2025-05-26/2025-06-01,2025-06-02/2025-06-08,2025-06-09/2025-06-15,2025-06-16/2025-06-22,2025-06-23/2025-06-29,2025-06-30/2025-07-06
ABLD,0.23097088906372937,0.25130488733007283,0.0,1.539,0.07,0.12,0.275,293.564,0.23088559611703585,5.538943396226417,0.0899622641509434,0.0800188679245283,0.08813207547169812,0.08228301886792452,0.07139622641509434,0.09445283018867925,0.1510754716981132,0.1918679245283019,0.21026415094339623,0.13420754716981134,0.18562264150943397,0.25271698113207547,0.24275471698113207,0.3719433962264151,0.5245283018867924,0.3390188679245283,0.2876037735849057,0.28867924528301886,0.27737735849056605,0.34547169811320755,0.4825849056603774,0.37658490566037733,0.24075471698113207,0.13213461538461538,4.768,4.241,4.671,4.361,3.784,5.006,8.007,10.169,11.144,7.113,9.838000000000001,13.394,12.866,19.713,27.8,17.968,15.243,15.299999999999999,14.701,18.31,25.577,19.959,12.76,6.8709999999999996,4.768,4.241,4.671,4.361,3.784,5.006,8.007,10.169,11.144,7.113,9.838000000000001,13.394,12.866,19.713,27.8,17.968,15.243,15.299999999999999,14.701,18.31,25.577,19.959,12.76,6.8709999999999996,0.17185377358490567,0.3194308176100629,0.2997830188679245,0.30801478592162557,0.08437421383647799,36.433,101.57900000000001,63.554,65.167,26.831,0.031650924973045176,0.07243834110564346,0.023516610337912795,0.09411158908889428,0.01987343853865776,0.23097088906372937,293.564,0.25130488733007267,0.23097088906372937,293.564,0.25130488733007267,0.23763461538461536,0.22746153846153847,0.23960897435897435,0.21998805970149254,74.142,70.968,74.758,73.696,0.26216666078320905,0.26079080538837535,0.26164819102710224,0.2209550171810576,21.452,20.59,23.95,26.589,20.429,32.737,23.205,18.2,33.669000000000004,14.954,26.135,31.654,23.205,18.2,33.669000000000004,14.954,26.135,31.654,21.452,20.59,23.95,26.589,20.429,32.737,5.523000000000001,1.813,4.6530000000000005,4.601,4.862,7.689,3.205,5.409,4.287,6.558,5.251,1.52,6.3870000000000005,4.234,5.659,6.831,7.061,7.038,6.166,6.492,3.868,3.903,6.977,5.308,5.216,9.110000000000001,6.126,3.881,6.661,6.825,5.838,1.412,5.635,4.854,6.299,6.803,9.247,6.353,5.957,5.309,3.573,1.337,6.296,3.748,5.307,5.854,7.976,6.998,4.232,6.872,8.078,9.655000000000001,2.817
AJVG,0.253985051140834,0.39064597291448994,0.0,2.988,0.053,0.087,0.236,322.815,0.2540800861361772,6.090849056603774,0.11573584905660378,0.09071698113207546,0.08132075471698112,0.09107547169811321,0.07713207547169812,0.16932075471698113,0.31184905660377354,0.5336603773584906,0.6217735849056604,0.258622641509434,0.08113207547169811,0.11332075471698114,0.09871698113207547,0.1653584905660377,0.14528301886792452,0.10283018867924529,0.12939622641509432,0.1739056603773585,0.26490566037735847,0.5894716981132075,0.6132830188679245,0.5757169811320755,0.4567547169811321,0.23398076923076921,6.134,4.808,4.31,4.827,4.088,8.974,16.528,28.284,32.954,13.707,4.3,6.006,5.232,8.764,7.7,5.45,6.858,9.217,14.04,31.242,32.504,30.513,24.208000000000002,12.167,6.134,4.808,4.31,4.827,4.088,8.974,16.528,28.284,32.954,13.707,4.3,6.006,5.232,8.764,7.7,5.45,6.858,9.217,14.04,31.242,32.504,30.513,24.208000000000002,12.167,0.43147641509433965,0.11777358490566037,0.2894198113207547,0.46993387155297534,0.10421698113207546,91.47299999999998,37.452000000000005,61.357,99.392,33.141000000000005,0.15319974573657175,0.06612895073086013,0.17690030888276684,0.17953926879142093,0.048425296216326214,0.253985051140834,322.815,0.39064597291448994,0.253985051140834,322.815,0.39064597291448994,0.39955128205128204,0.18333653846153847,0.2637115384615385,0.17515223880597017,124.66,57.201,82.278,58.676,0.5853051727702934,0.2548600124137349,0.37337757084894585,0.20050267096807467,20.694,11.986,18.121,16.738,22.342,46.184,42.045,36.431,46.605,19.151,16.522,25.996,42.045,36.431,46.605,19.151,16.522,25.996,20.694,11.986,18.121,16.738,22.342,46.184,3.946,4.215,3.55,4.338,4.645,1.636,1.804,4.987,3.559,4.539,3.391,1.841,4.304,4.046,4.431,3.633,4.076,4.598,5.45,5.086,5.795,6.011,10.911,8.218,11.192,14.208,1.655,8.223,9.213,13.852,10.757,11.893,9.873,7.348,7.317,10.011,7.771,12.299,8.063,8.461,6.105,5.134,4.3,3.612,3.8579999999999997,4.52,4.9510000000000005,3.193,3.138,3.012,4.24,6.984,8.622
ATF,0.14753973249409913,0.1532607775648124,0.0,1.77,0.071,0.112,0.154,187.523,0.1477843519278097,3.5381698113207545,0.08449056603773585,0.08075471698113208,0.08222641509433962,0.08783018867924529,0.09030188679245282,0.08883018867924529,0.08871698113207548,0.1070754716981132,0.14420754716981132,0.1740566037735849,0.18650943396226416,0.22739622641509433,0.26590566037735847,0.27835849056603773,0.23262264150943399,0.20133962264150942,0.16126415094339625,0.12643396226415093,0.11198113207547171,0.15883018867924528,0.1778867924528302,0.15139622641509437,0.1279622641509434,0.10375000000000001,4.478,4.28,4.358,4.655,4.786,4.708,4.702,5.675,7.643,9.225,9.885,12.052,14.093,14.753,12.329,10.671,8.547,6.701,5.9350000000000005,8.418,9.428,8.024000000000001,6.782,5.3950000000000005,4.478,4.28,4.358,4.655,4.786,4.708,4.702,5.675,7.643,9.225,9.885,12.052,14.093,14.753,12.329,10.671,8.547,6.701,5.9350000000000005,8.418,9.428,8.024000000000001,6.782,5.3950000000000005,0.12851415094339622,0.23202201257861632,0.13962735849056604,0.14024882075471698,0.08573899371069182,27.244999999999997,73.783,29.601,29.629,27.265,0.06489528148673046,0.017907058921332528,0.04027292376880399,0.03323226490806963,0.0021449788465323625,0.14753973249409913,187.523,0.15326077756481232,0.14753973249409913,187.523,0.15326077756481232,0.1312628205128205,0.16328205128205128,0.12274358974358975,0.1711313432835821,40.954,50.944,38.296,57.329,0.12268573358045123,0.16473739386447075,0.09541538038535481,0.19985078431346018,19.747,9.45,19.943,13.527,17.474,16.535,12.299,12.120000000000001,13.95,11.526,12.82,28.132,12.299,12.120000000000001,13.95,11.526,12.82,28.132,19.747,9.45,19.943,13.527,17.474,16.535,3.544,4.828,2.326,2.206,6.843,2.355,2.362,2.262,2.471,4.591,2.965,4.2,3.608,4.579,3.364,3.404,3.067,3.692,8.117,2.545,3.503,3.309,3.324,2.264,3.003,3.287,4.657,1.798,3.16,3.245,4.096,3.39,4.672,2.055,2.003,2.917,2.864,2.395,1.927,3.847,2.639,3.566,3.3890000000000002,1.932,2.775,3.373,3.689,2.983,4.338,3.182,4.228,5.8340000000000005,10.55
FJAG,0.3690380015735636,0.4158878273721388,0.077,4.491,0.1785,0.274,0.409,469.0472999999993,0.3690136689909756,8.84994905660376,0.20818867924528303,0.1950943396226415,0.17681132075471698,0.1887169811320755,0.1781132075471698,0.22552830188679243,0.3128301886792452,0.343188679245283,0.30305660377358495,0.2341698113207547,0.3059811320754717,0.4073981132075462,0.6078886792452821,0.48723018867924334,0.39332641509433663,0.39013773584905365,0.4396641509433943,0.6349641509433952,0.6337924528301887,0.6615094339622642,0.5087735849056604,0.393188679245283,0.34216981132075475,0.28357692307692306,11.034,10.34,9.371,10.002,9.44,11.953,16.58,18.189,16.062,12.411,16.217,21.59209999999995,32.21809999999995,25.823199999999897,20.846299999999843,20.677299999999843,23.302199999999896,33.653099999999945,33.591,35.06,26.965,20.839,18.135,14.746,11.034,10.34,9.371,10.002,9.44,11.953,16.58,18.189,16.062,12.411,16.217,21.59209999999995,32.21809999999995,25.823199999999897,20.846299999999843,20.677299999999843,23.302199999999896,33.653099999999945,33.591,35.06,26.965,20.839,18.135,14.746,0.29831132075471695,0.4319937106918223,0.5924825471698105,0.3819272496371553,0.19540880503144653,63.242000000000004,137.37399999999948,125.60629999999983,80.685,62.14,0.2622039917388455,0.18802245039603516,0.0996969157696862,0.07165247768621569,0.013752613953046456,0.3690380015735636,469.0472999999993,0.4158878273721392,0.3690380015735636,469.0472999999993,0.4158878273721392,0.3048605769230761,0.3062564102564102,0.3978967948717935,0.4604029850746269,95.11649999999975,95.55199999999999,124.14379999999957,154.235,0.3088102518639193,0.36109167938822223,0.24617125346942892,0.611849773637324,55.036,49.64,41.138999999999996,26.325,28.088,38.32849999999974,30.13,26.658,45.49429999999984,40.717,37.932499999999735,49.559,30.13,26.658,45.49429999999984,40.717,37.932499999999735,49.559,55.036,49.64,41.138999999999996,26.325,28.088,38.32849999999974,8.52,3.958,18.544,6.485,17.529,14.683,26.774,4.056,4.127,8.302999999999999,6.78,13.889999999999999,5.94,6.226,5.676,7.856,5.591,7.202,5.726,5.844,8.309,8.209,11.04249999999974,7.554,6.095,7.069,6.568,9.883,6.411,7.688,6.148,6.7860000000000005,6.528,5.926,7.418,6.704,8.828,12.687299999999844,6.4350000000000005,10.84,10.539,9.969,10.09,10.119,9.394,9.639,9.517,9.382499999999737,7.469,6.719,9.244,18.351,7.776
FMB,0.24828245476003147,0.31934996181187336,0.0,3.138,0.056,0.16,0.2695,315.567,0.24852026934645882,5.954094339622642,0.0780377358490566,0.09764150943396226,0.07409433962264152,0.07654716981132076,0.08120754716981132,0.0930377358490566,0.11409433962264151,0.1851320754716981,0.3354150943396227,0.3618867924528302,0.33856603773584903,0.438,0.5861698113207547,0.4093207547169811,0.2458679245283019,0.28956603773584905,0.32479245283018865,0.29252830188679246,0.3198679245283019,0.3645849056603774,0.32292452830188684,0.1950566037735849,0.16267924528301886,0.17028846153846156,4.136,5.175,3.927,4.057,4.304,4.931,6.047,9.812,17.777,19.18,17.944,23.214,31.067,21.694,13.031,15.347,17.214,15.504,16.953,19.323,17.115000000000002,10.338000000000001,8.622,8.855,4.136,5.175,3.927,4.057,4.304,4.931,6.047,9.812,17.777,19.18,17.944,23.214,31.067,21.694,13.031,15.347,17.214,15.504,16.953,19.323,17.115000000000002,10.338000000000001,8.622,8.855,0.24913207547169813,0.3845817610062892,0.3254433962264151,0.212737209724238,0.08342767295597485,52.815999999999995,122.297,68.994,44.93000000000001,26.530000000000005,0.12145454643543609,0.11090302042497546,0.03907268930428012,0.0812014322287422,0.008785473110906323,0.24828245476003147,315.567,0.3193499618118733,0.24828245476003147,315.567,0.3193499618118733,0.34234294871794874,0.21923076923076926,0.20821153846153848,0.22505671641791047,106.811,68.4,64.962,75.394,0.4386116810651991,0.31687517390097975,0.20534538419885037,0.25455859367135947,23.686,14.539,19.012,25.651,23.737,47.36,33.212,26.239,27.149,20.145,17.668,37.169,33.212,26.239,27.149,20.145,17.668,37.169,23.686,14.539,19.012,25.651,23.737,47.36,4.367,3.29,6.038,3.336,6.655,4.441,2.725,2.63,4.743,3.5709999999999997,4.522,3.984,3.655,3.28,4.032,7.6129999999999995,4.961,9.045,3.63,8.106,6.729,5.272,6.372,7.219,6.105,5.9590000000000005,21.705,10.179,10.227,7.808,4.998,7.1499999999999995,5.724,5.54,7.825,3.921,6.859,6.318,5.79,4.261,3.967,5.422,6.43,4.326,4.756,4.025,4.214,4.673,4.858,5.779,6.245,7.619,12.668
GPC,0.15727065302911092,0.1790457138111386,0.0,2.132,0.065,0.099,0.163,199.891,0.15727649029258955,3.7715283018867924,0.08222641509433963,0.08009433962264151,0.07864150943396227,0.06845283018867925,0.07162264150943395,0.10066037735849057,0.23943396226415092,0.27532075471698114,0.1710943396226415,0.13671698113207548,0.12524528301886792,0.1019622641509434,0.1398301886792453,0.22149056603773587,0.2733018867924528,0.21013207547169813,0.1570188679245283,0.11345283018867924,0.16041509433962264,0.27688679245283015,0.2848679245283019,0.17379245283018868,0.13067924528301886,0.10007692307692308,4.3580000000000005,4.245,4.168,3.628,3.796,5.335,12.69,14.592,9.068,7.2459999999999996,6.638,5.404,7.4110000000000005,11.739,14.485,11.137,8.322,6.013,8.502,14.674999999999999,15.098,9.211,6.926,5.204,4.3580000000000005,4.245,4.168,3.628,3.796,5.335,12.69,14.592,9.068,7.2459999999999996,6.638,5.404,7.4110000000000005,11.739,14.485,11.137,8.322,6.013,8.502,14.674999999999999,15.098,9.211,6.926,5.204,0.20564150943396226,0.17866037735849058,0.17694339622641508,0.17235413642960812,0.08028301886792454,43.596000000000004,56.814,37.512,36.439,25.53,0.055627730388676466,0.07691887895824684,0.06552244527810538,0.037224117908331245,0.014206710718765319,0.15727065302911092,199.891,0.17904571381113857,0.15727065302911092,199.891,0.17904571381113857,0.17686538461538462,0.14678846153846153,0.14240384615384616,0.16262985074626865,55.182,45.798,44.43,54.481,0.20544092919757295,0.1599020403343615,0.1760692562819176,0.17095338599778998,17.107,19.164,15.205,13.691,16.902,24.674,16.52,13.988,18.49,13.082,12.858,18.21,16.52,13.988,18.49,13.082,12.858,18.21,17.107,19.164,15.205,13.691,16.902,24.674,3.266,2.574,3.584,3.118,4.565,1.801,5.395,7.406000000000001,4.562,3.353,3.015,3.354,3.04,2.443,3.505,4.5760000000000005,2.852,2.758,4.633,4.631,4.947,2.691,5.503,5.211,4.877,5.8759999999999994,3.207,5.434,3.906,4.011,3.169,2.903,2.91,5.058,3.117,3.89,4.133,3.6119999999999997,3.262,3.593,3.529,1.468,5.975,2.11,3.036,3.503,3.573,2.746,3.429,3.161,3.512,4.32,3.7880000000000003
JACL,0.1553477576711251,0.1969159585138009,0.0,1.385,0.067,0.105,0.147,197.447,0.1555595433415368,3.7254150943396227,0.12671698113207547,0.08481132075471698,0.07664150943396227,0.08143396226415094,0.07952830188679245,0.0838679245283019,0.07464150943396226,0.07983018867924528,0.11062264150943397,0.12271698113207546,0.13413207547169811,0.13067924528301886,0.19824528301886793,0.246188679245283,0.3345094339622641,0.2547735849056604,0.18579245283018866,0.194,0.1849245283018868,0.14062264150943396,0.11626415094339622,0.23320754716981132,0.2539811320754717,0.20107692307692307,6.716,4.495,4.062,4.316,4.215,4.445,3.956,4.231,5.863,6.504,7.109,6.926,10.507,13.048,17.729,13.503,9.847,10.282,9.801,7.453,6.162,12.36,13.461,10.456,6.716,4.495,4.062,4.316,4.215,4.445,3.956,4.231,5.863,6.504,7.109,6.926,10.507,13.048,17.729,13.503,9.847,10.282,9.801,7.453,6.162,12.36,13.461,10.456,0.09695283018867924,0.21642138364779875,0.17633490566037735,0.20113243831640057,0.08883333333333333,20.554000000000002,68.822,37.383,42.43899999999999,28.249,0.021929570786637136,0.08024897462567257,0.056146152812967094,0.10809231379271818,0.020946950778944616,0.1553477576711251,197.447,0.19691595851380084,0.1553477576711251,197.447,0.19691595851380084,0.12019871794871796,0.11488461538461539,0.1049775641025641,0.27268059701492536,37.502,35.844,32.753,91.348,0.08434772766552874,0.0922636346750597,0.058742416708332905,0.3328895845781309,28.72,28.844,15.956,9.787,10.100999999999999,14.17,12.431000000000001,10.901,14.168,9.55,9.035,33.784,12.431000000000001,10.901,14.168,9.55,9.035,33.784,28.72,28.844,15.956,9.787,10.100999999999999,14.17,2.182,5.049,6.743,3.919,10.827,9.186,11.518,2.6550000000000002,5.485,5.507,2.67,2.161,3.194,2.424,2.3689999999999998,2.4130000000000003,2.344,2.661,2.888,2.556,2.185,2.472,2.798,2.942,2.67,2.97,2.79,2.858,2.62,3.48,3.473,2.852,2.484,3.204,2.361,2.735,2.347,2.64,3.6550000000000002,2.791,2.559,2.584,2.637,1.77,2.3,2.294,2.198,2.243,3.851,3.914,4.946,11.304,9.769
JALG,0.2887199055861526,0.26350173733741034,0.0,1.649,0.125,0.191,0.356,366.96299999999997,0.2888640962537599,6.923830188679244,0.13269811320754718,0.11430188679245283,0.11267924528301887,0.11230188679245283,0.10260377358490566,0.11043396226415093,0.17877358490566037,0.2661509433962264,0.30728301886792453,0.29950943396226415,0.24026415094339623,0.2653018867924528,0.38454716981132075,0.49820754716981136,0.45322641509433964,0.36779245283018863,0.3552264150943396,0.3027358490566038,0.30264150943396223,0.4529433962264151,0.5315849056603773,0.46533962264150946,0.34116981132075475,0.23046153846153847,7.033,6.058,5.972,5.952,5.438,5.853,9.475,14.106,16.286,15.874,12.734,14.061,20.381,26.405,24.021,19.493,18.826999999999998,16.045,16.04,24.006,28.174,24.663,18.082,11.984,7.033,6.058,5.972,5.952,5.438,5.853,9.475,14.106,16.286,15.874,12.734,14.061,20.381,26.405,24.021,19.493,18.826999999999998,16.045,16.04,24.006,28.174,24.663,18.082,11.984,0.26292924528301886,0.36822327044025155,0.35338679245283017,0.392138969521045,0.11416981132075471,55.74100000000001,117.095,74.918,82.903,36.306,0.08033379005511541,0.038248707446891586,0.08170223768654467,0.0695763480985118,0.004490473673950157,0.2887199055861527,366.963,0.2635017373374103,0.2887199055861527,366.963,0.2635017373374103,0.31193589743589745,0.27040384615384616,0.30060576923076926,0.27308656716417906,97.324,84.366,93.789,91.484,0.24570956843217914,0.2426292814494384,0.2822616771220523,0.27857174486043546,30.937,21.2,29.573999999999998,26.808,27.983999999999998,38.599000000000004,31.416,27.309,38.862,24.672,30.255,39.347,31.416,27.309,38.862,24.672,30.255,39.347,30.937,21.2,29.573999999999998,26.808,27.983999999999998,38.599000000000004,6.628,5.649,4.329,6.0489999999999995,8.282,2.132,8.817,5.717,4.534,4.742,5.6739999999999995,6.758,6.175,6.225,6.388,5.529,7.566,7.325,6.765,7.555,7.82,5.844,8.482,7.7780000000000005,7.0729999999999995,7.877000000000001,7.389,9.717,6.359,8.396,6.944,8.881,6.311,7.818,4.2989999999999995,7.956,7.904,6.917,8.181000000000001,7.904,4.58,6.894,8.245,4.953,8.358,5.996,7.221,8.68,4.029,5.232,5.851,13.376,10.859
JLG,0.16597797010228166,0.21288337604840366,0.0,1.355,0.056,0.097,0.1665,210.95799999999997,0.16637021465682253,3.9803396226415098,0.07962264150943396,0.058830188679245284,0.05850943396226415,0.05583018867924529,0.05679245283018868,0.05383018867924528,0.056981132075471695,0.06277358490566037,0.11386792452830188,0.1863584905660377,0.20652830188679244,0.24013207547169813,0.2806037735849057,0.26711320754716983,0.260188679245283,0.2491132075471698,0.207188679245283,0.21026415094339623,0.18324528301886792,0.2300377358490566,0.23869811320754716,0.2562452830188679,0.21881132075471696,0.15163461538461537,4.22,3.118,3.101,2.959,3.0100000000000002,2.8529999999999998,3.02,3.327,6.035,9.876999999999999,10.946,12.727,14.872,14.157,13.79,13.203,10.981,11.144,9.712,12.192,12.651,13.581,11.597,7.885,4.22,3.118,3.101,2.959,3.0100000000000002,2.8529999999999998,3.02,3.327,6.035,9.876999999999999,10.946,12.727,14.872,14.157,13.79,13.203,10.981,11.144,9.712,12.192,12.651,13.581,11.597,7.885,0.10499528301886792,0.2506132075471698,0.20768396226415095,0.21634733309143683,0.06056918238993711,22.259,79.695,44.028999999999996,45.714,19.261000000000003,0.1032376333779156,0.039068038835683744,0.054566668391021436,0.031005982190903093,0.005176552013161909,0.16597797010228166,210.958,0.21288337604840357,0.16597797010228166,210.958,0.21288337604840357,0.1457820512820513,0.12378205128205128,0.1441121794871795,0.24445074626865673,45.484,38.62,44.963,81.891,0.1896626483820077,0.10769985056561539,0.17907135470605984,0.2991672721046592,23.317,23.849,14.771,9.932,13.917,16.992,17.15,11.342,17.186,12.529,15.248,34.725,17.15,11.342,17.186,12.529,15.248,34.725,23.317,23.849,14.771,9.932,13.917,16.992,2.374,1.273,6.934,2.665,10.071,8.774000000000001,10.688,2.364,2.023,4.987,2.234,2.462,2.685,2.403,2.358,2.936,2.14,2.498,4.709,3.0900000000000003,3.173,2.9450000000000003,2.6590000000000003,3.263,2.692,3.7960000000000003,4.582,7.225,3.501,3.784,2.64,2.437,4.129,2.342,2.434,3.6029999999999998,2.387,2.982,4.953,3.261,2.546,3.266,3.21,3.507,4.157,3.751,4.129,3.211,2.842,2.656,3.777,10.157,15.293
JMM,0.24670495672698664,0.2678624667061433,0.0,4.65,0.12,0.19,0.275,313.562,0.24670426579163246,5.916264150943397,0.1729811320754717,0.13871698113207548,0.13456603773584905,0.12050943396226414,0.11935849056603773,0.11986792452830189,0.15903773584905662,0.19943396226415094,0.22256603773584904,0.18392452830188677,0.17001886792452828,0.1812641509433962,0.38183018867924534,0.5328867924528302,0.4541509433962264,0.36913207547169813,0.3204716981132075,0.2927924528301887,0.2682452830188679,0.2920566037735849,0.3250943396226415,0.2742452830188679,0.26575471698113207,0.22153846153846152,9.168,7.352,7.132,6.387,6.326,6.353,8.429,10.57,11.796,9.748,9.011,9.607,20.237000000000002,28.243000000000002,24.07,19.564,16.985,15.518,14.217,15.479,17.23,14.535,14.085,11.52,9.168,7.352,7.132,6.387,6.326,6.353,8.429,10.57,11.796,9.748,9.011,9.607,20.237000000000002,28.243000000000002,24.07,19.564,16.985,15.518,14.217,15.479,17.23,14.535,14.085,11.52,0.19124056603773584,0.3482138364779874,0.2933915094339623,0.27165820029027576,0.13433333333333333,40.543,110.732,62.199,57.370000000000005,42.718,0.012659106946651231,0.22367691212261312,0.1158164531110894,0.03890407174975492,0.019733654104102,0.24670495672698664,313.562,0.26786246670614344,0.24670495672698664,313.562,0.26786246670614344,0.26705769230769233,0.19615705128205127,0.23438461538461539,0.28630149253731346,83.322,61.201,73.128,95.911,0.22316585732662939,0.1298816837853474,0.21833526717959556,0.4023260309468012,39.055,29.549,21.177,19.701999999999998,20.322,40.112,22.275,20.935,31.531,19.605999999999998,21.991,27.307,22.275,20.935,31.531,19.605999999999998,21.991,27.307,39.055,29.549,21.177,19.701999999999998,20.322,40.112,5.08,6.331,7.345,5.671,14.628,7.6770000000000005,10.74,6.139,4.993,4.316,3.797,4.897,4.2860000000000005,3.881,4.628,4.49,4.25,6.334,5.484,5.5120000000000005,5.327,3.999,5.703,8.275,5.639,9.679,10.816,5.192,5.692,6.4,4.991,4.477,5.633,4.963,5.862,7.051,5.803,7.907,5.349,5.421,3.637,5.856,6.402,3.7110000000000003,6.725,8.350999999999999,4.575,2.34,5.306,3.79,5.29,7.2669999999999995,5.654
