archivo,media_consumo,std_consumo,min_consumo,max_consumo,percentil_25_consumo,percentil_50_consumo,percentil_75_consumo,sum_consumo,promedio_por_dia,consumo_medio_diario,consumo_00,consumo_01,consumo_02,consumo_03,consumo_04,consumo_05,consumo_06,consumo_07,consumo_08,consumo_09,consumo_10,consumo_11,consumo_12,consumo_13,consumo_14,consumo_15,consumo_16,consumo_17,consumo_18,consumo_19,consumo_20,consumo_21,consumo_22,consumo_23,consumo_00_suma,consumo_01_suma,consumo_02_suma,consumo_03_suma,consumo_04_suma,consumo_05_suma,consumo_06_suma,consumo_07_suma,consumo_08_suma,consumo_09_suma,consumo_10_suma,consumo_11_suma,consumo_12_suma,consumo_13_suma,consumo_14_suma,consumo_15_suma,consumo_16_suma,consumo_17_suma,consumo_18_suma,consumo_19_suma,consumo_20_suma,consumo_21_suma,consumo_22_suma,consumo_23_suma,consumo_00_std,consumo_01_std,consumo_02_std,consumo_03_std,consumo_04_std,consumo_05_std,consumo_06_std,consumo_07_std,consumo_08_std,consumo_09_std,consumo_10_std,consumo_11_std,consumo_12_std,consumo_13_std,consumo_14_std,consumo_15_std,consumo_16_std,consumo_17_std,consumo_18_std,consumo_19_std,consumo_20_std,consumo_21_std,consumo_22_std,consumo_23_std,Mañana,Mediodia,Tarde,Noche,Madrugada,s_Mañana,s_Mediodia,s_Tarde,s_Noche,s_Madrugada,std_Mañana,std_Mediodia,std_Tarde,std_Noche,std_Madrugada,Lunes,Martes,Miércoles,Jueves,Viernes,Sábado,Domingo,s_Lunes,s_Martes,s_Miércoles,s_Jueves,s_Viernes,s_Sábado,s_Domingo,std_Lunes,std_Martes,std_Miércoles,std_Jueves,std_Viernes,std_Sábado,std_Domingo,Entre semana,Fin de semana,s_Entre semana,s_Fin de semana,std_Entre semana,std_Fin de semana,invierno,s_invierno,std_invierno,2023-02,2023-12,2024-01,2024-02,2024-12,2025-01,2025-02,Enero,Febrero,Diciembre,2023-01-30/2023-02-05,2023-02-06/2023-02-12,2023-02-13/2023-02-19,2023-02-20/2023-02-26,2023-02-27/2023-03-05,2023-11-27/2023-12-03,2023-12-04/2023-12-10,2023-12-11/2023-12-17,2023-12-18/2023-12-24,2023-12-25/2023-12-31,2024-01-01/2024-01-07,2024-01-08/2024-01-14,2024-01-15/2024-01-21,2024-01-22/2024-01-28,2024-01-29/2024-02-04,2024-02-05/2024-02-11,2024-02-12/2024-02-18,2024-02-19/2024-02-25,2024-02-26/2024-03-03,2024-11-25/2024-12-01,2024-12-02/2024-12-08,2024-12-09/2024-12-15,2024-12-16/2024-12-22,2024-12-23/2024-12-29,2024-12-30/2025-01-05,2025-01-06/2025-01-12,2025-01-13/2025-01-19,2025-01-20/2025-01-26,2025-01-27/2025-02-02,2025-02-03/2025-02-09,2025-02-10/2025-02-16,2025-02-17/2025-02-23,2025-02-24/2025-03-02,2023-01,2022-12-26/2023-01-01,2023-01-02/2023-01-08,2023-01-09/2023-01-15,2023-01-16/2023-01-22,2023-01-23/2023-01-29
ABLD,0.22243440988835725,0.26414234599421704,0.028,2.184,0.063,0.101,0.249,1115.731,0.22243440988835728,5.338425837320574,0.09844019138755981,0.07738277511961722,0.07155023923444977,0.07304306220095694,0.079622009569378,0.07862679425837321,0.09470813397129187,0.18094736842105263,0.23026794258373204,0.1382488038277512,0.19255502392344498,0.2245311004784689,0.287755980861244,0.31806220095693777,0.48367942583732054,0.38028708133971295,0.2673444976076555,0.2227511961722488,0.22166507177033495,0.3065454545454545,0.502421052631579,0.381311004784689,0.2591578947368421,0.16752153110047846,20.574,16.173,14.954,15.266,16.641000000000002,16.433,19.794,37.818,48.126,28.894000000000002,40.244,46.927,60.141,66.475,101.089,79.48,55.875,46.555,46.328,64.068,105.006,79.694,54.164,35.012,20.574,16.173,14.954,15.266,16.641000000000002,16.433,19.794,37.818,48.126,28.894000000000002,40.244,46.927,60.141,66.475,101.089,79.48,55.875,46.555,46.328,64.068,105.006,79.694,54.164,35.012,0.16104306220095693,0.3144784688995215,0.25457655502392346,0.3276028708133971,0.07977751196172249,134.632,394.356,212.82600000000002,273.876,100.041,0.056842130571441454,0.057789631451953795,0.045639543312073386,0.11616862108312788,0.018991178796027214,0.22403333333333333,0.23650555555555555,0.22114027777777778,0.2006097222222222,0.22020833333333334,0.22183045977011495,0.23269305555555553,161.304,170.284,159.221,144.439,158.55,154.394,167.539,0.25669738113162166,0.28340473664622423,0.24947514538891674,0.24362568855175148,0.26655818109412,0.27564361829775336,0.27122268144103223,0.22049944444444444,0.22735381355932202,793.798,321.933,0.26043990933358163,0.2733619220957403,0.22243440988835725,1115.731,0.26414234599421693,145.603,162.096,159.62,150.106,177.741,177.173,143.392,336.793,439.101,339.837,26.439,33.488,34.903999999999996,38.682,12.09,24.005,36.685,28.964,33.66,38.782,39.397,36.528,34.567,36.674,31.756,42.455,27.476,40.123,20.75,2.682,41.574,36.549,40.015,40.86,31.756999999999998,45.087,42.622,44.445,32.15,21.217,42.488,45.814,31.046,,,,,,
AJVG,0.39138958333333335,0.5401074317343956,0.018,3.691,0.043,0.112,0.59425,2254.404,0.39138958333333335,9.39335,0.17516666666666666,0.132525,0.08842916666666666,0.08111249999999999,0.07676666666666666,0.08022916666666666,0.25293333333333334,0.827275,0.5167499999999999,0.33963333333333334,0.3363791666666666,0.39614999999999995,0.34755,0.32257916666666664,0.46073749999999997,0.38934166666666664,0.3113458333333333,0.3310166666666667,0.4262458333333333,0.68805,0.8030458333333333,0.8741083333333334,0.7273208333333333,0.40865833333333335,42.04,31.806,21.223,19.467,18.424,19.255,60.704,198.546,124.02,81.512,80.731,95.076,83.412,77.419,110.577,93.442,74.723,79.444,102.29899999999999,165.132,192.731,209.786,174.557,98.078,42.04,31.806,21.223,19.467,18.424,19.255,60.704,198.546,124.02,81.512,80.731,95.076,83.412,77.419,110.577,93.442,74.723,79.444,102.29899999999999,165.132,192.731,209.786,174.557,98.078,0.4841479166666667,0.37545625,0.4391645833333333,0.7032833333333334,0.10570486111111112,464.782,540.6569999999999,421.598,675.1519999999999,152.215,0.15195459563047306,0.0691049719135592,0.14497745552890073,0.16480650114664416,0.06925069925494262,0.416677380952381,0.4200488095238095,0.43649142156862747,0.37414583333333334,0.321094362745098,0.4038333333333333,0.36693452380952385,350.009,352.841,356.177,305.303,262.013,319.836,308.225,0.5570350651889923,0.5800015895325815,0.5878455578860152,0.502760623919786,0.48563879093059037,0.5502448575743155,0.5006423042495529,0.39397843992248066,0.38484129901960784,1626.343,628.061,0.5458303200889109,0.5254613796406314,0.39138958333333335,2254.404,0.5401074317343957,304.347,256.992,326.48,274.504,281.238,270.417,302.235,835.088,881.086,538.23,81.605,74.973,65.014,70.118,37.539,8.385,16.485,53.622,73.991,104.509,75.024,94.44800000000001,81.017,44.014,84.133,64.723,67.791,54.759,35.075,9.935,48.711,82.111,83.615,53.566,15.18,60.889,85.392,59.866,81.827,92.415,81.52,57.835,41.028,238.191,6.362,13.277,53.761,95.214,44.675
ATF,0.12687222222222222,0.14276732112808757,0.049,2.233,0.059,0.097,0.132,274.044,0.12687222222222222,3.0449333333333333,0.10617777777777779,0.08515555555555555,0.08370000000000001,0.07883333333333332,0.07845555555555556,0.08356666666666666,0.08543333333333333,0.11915555555555556,0.12175555555555556,0.13214444444444445,0.1184111111111111,0.15272222222222223,0.19534444444444443,0.20115555555555556,0.1896777777777778,0.1670777777777778,0.1376777777777778,0.1306,0.14672222222222223,0.12446666666666667,0.12051111111111111,0.15186666666666668,0.12072222222222223,0.1136,9.556000000000001,7.664,7.533,7.095,7.061,7.521,7.689,10.724,10.958,11.893,10.657,13.745000000000001,17.581,18.104,17.071,15.037,12.391,11.754,13.205,11.202,10.846,13.668000000000001,10.865,10.224,9.556000000000001,7.664,7.533,7.095,7.061,7.521,7.689,10.724,10.958,11.893,10.657,13.745000000000001,17.581,18.104,17.071,15.037,12.391,11.754,13.205,11.202,10.846,13.668000000000001,10.865,10.224,0.11462222222222222,0.1707314814814815,0.1348666666666667,0.126675,0.08598148148148148,41.264,92.19500000000001,48.552,45.60300000000001,46.43,0.04139255275146091,0.0816755149533725,0.021746899944461173,0.06504025937998616,0.032859208325361086,0.1312628205128205,0.1462596153846154,0.15611217948717948,0.13397756410256412,0.11627564102564102,0.1106423611111111,0.09232692307692308,40.954,45.633,48.707,41.801,36.278,31.865,28.806,0.12268573358045123,0.19601171278043183,0.2175171285247794,0.13243544618031758,0.08160469169712771,0.11143248707129146,0.04685898163935087,0.1367775641025641,0.10111833333333334,213.373,60.671,0.15848456442656325,0.0846958281305919,0.12687222222222222,274.044,0.1427673211280877,,,,,108.377,92.605,73.062,92.605,73.062,108.377,,,,,,,,,,,,,,,,,,,,3.082,17.064,23.513,17.243,37.309,27.544,15.613,23.599,16.796,26.375,17.923000000000002,21.29,14.844,11.849,,,,,,
FJAG,0.3562125172004703,0.32491296434772404,0.065,3.8,0.16,0.247,0.41,1501.4357599999823,0.35596305871211703,8.5308849999999,0.17781818181818182,0.1375625,0.13801136363636363,0.1330284090909091,0.1398125,0.13705681818181817,0.2604375,0.2853693181818182,0.2940865909090889,0.2882611363636282,0.313444318181808,0.49747340909089793,0.7323731818181675,0.577380227272711,0.4339463636363504,0.3990747428571336,0.3729133714285643,0.4637691428571377,0.5056585142857123,0.6227378285714276,0.5033257142857143,0.45456571428571435,0.43433714285714287,0.2512114285714286,31.296,24.211,24.29,23.413,24.607,24.122,45.836999999999996,50.225,51.75923999999964,50.73395999999857,55.166199999998206,87.55531999999803,128.89767999999748,101.61891999999713,76.37455999999767,69.83807999999839,65.25983999999875,81.1595999999991,88.49023999999964,108.97911999999982,88.082,79.549,76.009,43.962,31.296,24.211,24.29,23.413,24.607,24.122,45.836999999999996,50.225,51.75923999999964,50.73395999999857,55.166199999998206,87.55531999999803,128.89767999999748,101.61891999999713,76.37455999999767,69.83807999999839,65.25983999999875,81.1595999999991,88.49023999999964,108.97911999999982,88.082,79.549,76.009,43.962,0.28203863636363385,0.49228204047617813,0.4912697142857105,0.41086,0.14388162878787877,198.55519999999822,519.450759999987,343.88879999999733,287.602,151.939,0.10925234474715767,0.0779299077625247,0.049490856787597355,0.054594095783203116,0.04089367158276694,0.3384666666666638,0.3260810897435883,0.37175866666665625,0.3238515059221652,0.4007806249999932,0.33238368055555556,0.4006472435897367,211.20319999999822,203.4745999999991,223.05519999999373,191.39623999999964,230.84963999999607,191.453,250.0038799999957,0.2910389532561957,0.2648974731519257,0.35038729747036673,0.2675777491856388,0.4129751532615776,0.28053571176713105,0.36947690935145583,0.3515684510779392,0.36788073333332977,1059.9788799999867,441.4568799999957,0.3222252091384658,0.331418611391651,0.3562125172004703,1501.4357599999823,0.3249129643477239,211.449,269.6730799999984,282.4557199999944,259.3695199999962,245.59595999999408,,,515.3481999999938,470.8185199999962,515.2690399999925,56.797,51.541,55.841,48.376,14.312,22.983,70.95407999999838,53.72,61.696,60.32,56.194,66.1081999999982,56.649,76.15403999999695,60.48647999999928,68.31259999999911,65.67995999999857,61.499959999998566,30.741,5.407,67.7801999999982,80.03991999999714,61.824839999998744,30.544,,,,,,,,,,232.8924799999993,9.968,55.866479999999285,44.072,51.394,56.174
FMB,0.22137407918968693,0.2869738780888354,0.01,2.721,0.05,0.154,0.252,961.649,0.22137407918968693,5.312977900552486,0.12001104972375691,0.10076243093922652,0.08872375690607735,0.07820441988950276,0.07452486187845304,0.07470165745856354,0.12692265193370164,0.10369060773480664,0.1993314917127072,0.2604364640883978,0.29485635359116025,0.3030331491712707,0.3595745856353591,0.4250552486187845,0.25458011049723756,0.26391160220994475,0.27926519337016575,0.3049779005524862,0.34729834254143643,0.3950110497237569,0.28399447513812154,0.22247513812154696,0.1870718232044199,0.16456353591160222,21.722,18.238,16.059,14.155,13.489,13.521,22.973,18.768,36.079,47.139,53.369,54.849,65.083,76.935,46.079,47.768,50.547,55.201,62.861,71.497,51.403,40.268,33.86,29.786,21.722,18.238,16.059,14.155,13.489,13.521,22.973,18.768,36.079,47.139,53.369,54.849,65.083,76.935,46.079,47.768,50.547,55.201,62.861,71.497,51.403,40.268,33.86,29.786,0.17259530386740332,0.31683517495395946,0.3316381215469613,0.21452624309392265,0.08948802946593003,124.959,344.08299999999997,240.106,155.317,97.18400000000001,0.12379683577441537,0.03801256630218402,0.03424362650172318,0.057614804246346345,0.018947693901243432,0.27426442307692306,0.24089102564102566,0.2067003205128205,0.20770352564102565,0.19409294871794872,0.203985,0.2213125,171.141,150.316,128.981,129.607,121.114,122.391,138.099,0.341964167371318,0.282196892291269,0.2364313906906398,0.2515449857563036,0.22347578468067325,0.2829204329736365,0.35612443057471765,0.22473044871794873,0.2128186274509804,701.159,260.49,0.27184242030484335,0.3223101274591132,0.22137407918968693,961.649,0.2869738780888356,,143.285,148.313,129.063,198.278,208.395,134.315,356.708,263.378,341.563,,,,,,15.672,33.023,33.177,32.824,28.589,32.333,39.319,31.084,30.532,31.84,31.578,29.69,32.975,18.025,3.815,34.979,31.63,30.624,63.862,74.137,58.175,47.533,36.84,32.462,31.642,35.363,33.336,26.59,,,,,,
GPC,0.1922871527777778,0.23658854975139557,0.023,2.077,0.06,0.098,0.204,1107.574,0.19228715277777778,4.614891666666667,0.0830125,0.096,0.09948749999999999,0.07451666666666666,0.06739583333333334,0.06465416666666667,0.10887916666666667,0.30422916666666666,0.24306666666666665,0.23902916666666665,0.1936166666666667,0.144275,0.1397125,0.23621250000000002,0.35441249999999996,0.3077625,0.23057083333333334,0.20202916666666668,0.22877916666666664,0.32405833333333334,0.44299583333333337,0.23742916666666666,0.10945,0.08331666666666666,19.923000000000002,23.04,23.877,17.884,16.175,15.517,26.131,73.015,58.336,57.367,46.468,34.626,33.531,56.691,85.059,73.863,55.337,48.487,54.907,77.774,106.319,56.983,26.268,19.996,19.923000000000002,23.04,23.877,17.884,16.175,15.517,26.131,73.015,58.336,57.367,46.468,34.626,33.531,56.691,85.059,73.863,55.337,48.487,54.907,77.774,106.319,56.983,26.268,19.996,0.22380104166666664,0.22933194444444446,0.246359375,0.2182979166666667,0.08084444444444445,214.849,330.238,236.505,209.566,116.416,0.0868722895754258,0.047342581610916715,0.0458999105672902,0.11175780132930596,0.045589435636734614,0.18277738095238094,0.1892285714285714,0.1918063725490196,0.19177573529411765,0.17047916666666665,0.19361868686868688,0.22574880952380952,153.533,158.952,156.514,156.489,139.111,153.346,189.629,0.220785603970066,0.2352150693745807,0.2280869261882212,0.24054838157168995,0.19938558890344157,0.24479066327908608,0.2767669639295424,0.18522262596899225,0.21015625000000002,764.599,342.975,0.22532914535783938,0.262150313236065,0.1922871527777778,1107.574,0.23658854975139545,124.94,144.37,147.599,128.697,152.122,139.474,124.436,433.009,378.073,296.492,33.617,27.551,32.347,31.084,10.051,13.325,28.277,32.006,29.713,41.049,33.555,29.695,34.263,36.09,32.783,29.155,31.536,30.366,18.853,7.199,31.567,34.157000000000004,31.592,33.618,36.463,28.775,30.209,36.928,32.708,35.7,28.604,30.053,18.459,145.936,5.678,34.064,33.695,30.406,32.383
JACL,0.10895590277777778,0.08990616048927637,0.028,1.381,0.065,0.094,0.127,627.586,0.10895590277777777,2.6149416666666667,0.1245,0.08544166666666667,0.07294583333333333,0.07283333333333333,0.07275000000000001,0.07083750000000001,0.06574583333333334,0.07251666666666666,0.09073333333333333,0.096525,0.12759583333333332,0.1170625,0.11689583333333334,0.132125,0.3013708333333333,0.12131666666666667,0.100025,0.09705416666666666,0.10451666666666666,0.10362083333333333,0.0990875,0.12147916666666667,0.12633333333333333,0.12162916666666666,29.88,20.506,17.507,17.48,17.46,17.001,15.779,17.404,21.776,23.166,30.623,28.095,28.055,31.71,72.329,29.116,24.006,23.293,25.084,24.869,23.781,29.155,30.32,29.191,29.88,20.506,17.507,17.48,17.46,17.001,15.779,17.404,21.776,23.166,30.623,28.095,28.055,31.71,72.329,29.116,24.006,23.293,25.084,24.869,23.781,29.155,30.32,29.191,0.08138020833333334,0.15272777777777777,0.10130416666666667,0.11713229166666667,0.08321805555555556,78.125,219.928,97.252,112.447,119.834,0.014427003479719749,0.05423028465417947,0.004966785837037318,0.009031457376085695,0.004951588434246166,0.11023571428571428,0.10346785714285714,0.10707720588235294,0.09989950980392157,0.10405392156862746,0.12033712121212121,0.11781785714285714,92.598,86.913,87.375,81.518,84.908,95.307,98.967,0.07891021231346229,0.07283620113405877,0.0695809026055142,0.05165691159077204,0.06688671521101175,0.13346829710470876,0.12319376837938009,0.10496899224806201,0.11904044117647058,433.312,194.274,0.06872535359002585,0.1282494200877345,0.10895590277777778,627.586,0.08990616048927637,70.704,76.947,81.003,75.412,85.328,89.244,74.753,244.442,220.869,162.275,17.573,15.745,18.526,18.27,5.305,8.293,15.215,17.455,17.26,18.724,17.012,17.266000000000002,19.479,18.801,18.63,17.363,18.151,19.366,10.347,2.944,19.506,19.542,18.839,18.86,21.381,19.519,20.247,19.273,20.931,18.905,18.464,18.729,12.185,74.195,2.327,15.732,15.158,16.807,19.456
JALG,0.3172145833333333,0.2875732313552184,0.027,2.34,0.117,0.213,0.41925,1827.156,0.31721458333333336,7.61315,0.17829583333333332,0.11440833333333332,0.10874166666666667,0.09508333333333334,0.09742500000000001,0.09425,0.11115833333333333,0.17171666666666668,0.3257375,0.40968750000000004,0.3821,0.3031666666666667,0.3719208333333333,0.509875,0.514475,0.5272416666666666,0.41146666666666665,0.4209833333333333,0.37230416666666666,0.36617500000000003,0.4933416666666667,0.5779708333333333,0.3994875,0.2561375,42.791,27.458,26.098,22.82,23.382,22.62,26.678,41.212,78.177,98.325,91.704,72.76,89.261,122.37,123.474,126.538,98.752,101.036,89.353,87.882,118.402,138.713,95.877,61.473,42.791,27.458,26.098,22.82,23.382,22.62,26.678,41.212,78.177,98.325,91.704,72.76,89.261,122.37,123.474,126.538,98.752,101.036,89.353,87.882,118.402,138.713,95.877,61.473,0.254575,0.4347965277777777,0.3927322916666667,0.431734375,0.11470069444444446,244.392,626.107,377.023,414.46500000000003,165.169,0.15660466154030803,0.07034395735185588,0.01642826525642418,0.08780515696640087,0.0268865882955464,0.3216964285714286,0.31147976190476195,0.31248161764705884,0.3076348039215686,0.3115208333333333,0.2941830808080808,0.35961785714285716,270.225,261.64300000000003,254.985,251.03,254.201,232.993,302.079,0.2924830274086896,0.2904823731745047,0.2830778724490196,0.2763517922756234,0.27371721031364005,0.27353551773130774,0.3160433584942464,0.3130048449612403,0.3278627450980392,1292.084,535.072,0.2833178268502897,0.29788911072737456,0.3172145833333333,1827.156,0.2875732313552186,208.761,238.224,241.859,212.666,235.597,232.969,213.806,718.102,635.233,473.821,54.122,53.371,50.227000000000004,53.949,14.956,21.724,53.236,51.49,55.838,55.936,56.82,57.473,53.561,50.984,49.711,53.988,48.694,53.828,29.466,7.946,55.422,53.077,53.382,49.346000000000004,53.488,50.996,55.109,52.375,53.123,54.797,54.935,51.364,37.012,243.274,5.819,54.741,55.431,52.263,57.156
JLG,0.14063159722222224,0.15542639134702466,0.035,2.256,0.056,0.102,0.162,810.038,0.1406315972222222,3.375158333333333,0.11539166666666666,0.0679875,0.057229166666666664,0.0555625,0.05427083333333334,0.053304166666666666,0.054295833333333335,0.05249166666666667,0.08247083333333333,0.15924166666666664,0.23412083333333333,0.20090416666666666,0.17972083333333336,0.22236666666666668,0.21986666666666668,0.19842083333333335,0.16104583333333336,0.14528333333333335,0.1454375,0.15410000000000001,0.1780125,0.22896666666666665,0.20095416666666666,0.1537125,27.694,16.317,13.735,13.335,13.025,12.793,13.031,12.598,19.793,38.217999999999996,56.189,48.217,43.133,53.368,52.768,47.621,38.651,34.868,34.905,36.984,42.723,54.952,48.229,36.891,27.694,16.317,13.735,13.335,13.025,12.793,13.031,12.598,19.793,38.217999999999996,56.189,48.217,43.133,53.368,52.768,47.621,38.651,34.868,34.905,36.984,42.723,54.952,48.229,36.891,0.087125,0.20923333333333335,0.1514666666666667,0.19041145833333334,0.06729097222222222,83.63999999999999,301.296,145.40800000000002,182.795,96.899,0.07670665345419934,0.04101138659495513,0.020946800891700493,0.05064432524013448,0.02320947764787673,0.14418809523809523,0.13264404761904763,0.14494975490196077,0.1411544117647059,0.14065686274509803,0.1509457070707071,0.13061071428571427,121.118,111.421,118.279,115.182,114.776,119.549,109.713,0.16424312729629578,0.13282495210821038,0.15587993232149344,0.14344107849189278,0.15311836682643085,0.19124293915526247,0.1416287248881185,0.14069186046511628,0.14047916666666665,580.776,229.262,0.15027191576095497,0.16780718200395087,0.14063159722222224,810.038,0.1554263913470248,90.765,94.166,118.737,88.934,112.114,104.413,86.91,337.149,266.609,206.28,22.694,23.453,20.156,24.305,7.211,6.26,20.83,20.25,22.947,23.879,26.925,23.536,27.349,27.837,27.166,18.809,20.695,22.361,12.993,3.48,22.401,21.229,24.477,32.835,25.471,25.477,21.277,22.757,23.568,21.874,22.83,18.919,16.842,113.999,4.58,29.711,21.481,24.979,26.194
JMM,0.2608935763888889,0.21874375490793288,0.063,2.194,0.142,0.207,0.289,1502.747,0.2608935763888889,6.261445833333334,0.207975,0.15839166666666668,0.14127083333333335,0.13345833333333335,0.12949583333333334,0.13050416666666667,0.1301,0.17049583333333332,0.2265375,0.21557083333333335,0.22397916666666667,0.2918041666666667,0.3934166666666667,0.5506791666666667,0.46446666666666664,0.27729583333333335,0.25542916666666665,0.26005416666666664,0.3154458333333333,0.34822083333333337,0.367475,0.313,0.2938125,0.26256666666666667,49.914,38.014,33.905,32.03,31.079,31.321,31.224,40.919,54.369,51.737,53.755,70.033,94.42,132.163,111.472,66.551,61.303,62.413,75.707,83.57300000000001,88.194,75.12,70.515,63.016,49.914,38.014,33.905,32.03,31.079,31.321,31.224,40.919,54.369,51.737,53.755,70.033,94.42,132.163,111.472,66.551,61.303,62.413,75.707,83.57300000000001,88.194,75.12,70.515,63.016,0.18567604166666665,0.36694027777777777,0.2947875,0.30921354166666665,0.1501826388888889,178.249,528.394,282.996,296.845,216.263,0.03464409175082537,0.10173370790132816,0.03454832851967396,0.05364100297962523,0.012679749783303267,0.2514869047619048,0.26454880952380955,0.23573651960784311,0.2615625,0.2525392156862745,0.28319570707070707,0.2775214285714286,211.249,222.221,192.361,213.435,206.072,224.291,233.118,0.19904266663652467,0.2188438196528512,0.1637518485886971,0.23191532411927787,0.2047649520225749,0.24741272239475962,0.2503267033695919,0.2532311046511628,0.2802751225490196,1045.338,457.409,0.20515450070785438,0.248856727942586,0.2608935763888889,1502.747,0.21874375490793285,186.228,182.495,177.789,159.114,216.54,202.113,166.926,591.444,512.268,399.035,43.917,51.982,41.874,50.848,12.413,14.635,40.527,42.144,41.81,43.379,42.484,40.979,39.431,40.114,36.746,35.273,41.046,38.946,21.884,4.263,46.589,46.89,46.718,51.626,54.3,46.605,42.198,49.649,49.421,39.739,34.629,43.097,29.855,211.542,9.701,52.396,41.498,40.028,53.113
