archivo,media_consumo,std_consumo,min_consumo,max_consumo,percentil_25_consumo,percentil_50_consumo,percentil_75_consumo,sum_consumo,promedio_por_dia,consumo_medio_diario,consumo_00,consumo_01,consumo_02,consumo_03,consumo_04,consumo_05,consumo_06,consumo_07,consumo_08,consumo_09,consumo_10,consumo_11,consumo_12,consumo_13,consumo_14,consumo_15,consumo_16,consumo_17,consumo_18,consumo_19,consumo_20,consumo_21,consumo_22,consumo_23,consumo_00_suma,consumo_01_suma,consumo_02_suma,consumo_03_suma,consumo_04_suma,consumo_05_suma,consumo_06_suma,consumo_07_suma,consumo_08_suma,consumo_09_suma,consumo_10_suma,consumo_11_suma,consumo_12_suma,consumo_13_suma,consumo_14_suma,consumo_15_suma,consumo_16_suma,consumo_17_suma,consumo_18_suma,consumo_19_suma,consumo_20_suma,consumo_21_suma,consumo_22_suma,consumo_23_suma,consumo_00_std,consumo_01_std,consumo_02_std,consumo_03_std,consumo_04_std,consumo_05_std,consumo_06_std,consumo_07_std,consumo_08_std,consumo_09_std,consumo_10_std,consumo_11_std,consumo_12_std,consumo_13_std,consumo_14_std,consumo_15_std,consumo_16_std,consumo_17_std,consumo_18_std,consumo_19_std,consumo_20_std,consumo_21_std,consumo_22_std,consumo_23_std,Mañana,Mediodia,Tarde,Noche,Madrugada,s_Mañana,s_Mediodia,s_Tarde,s_Noche,s_Madrugada,std_Mañana,std_Mediodia,std_Tarde,std_Noche,std_Madrugada,Lunes,Martes,Miércoles,Jueves,Viernes,Sábado,Domingo,s_Lunes,s_Martes,s_Miércoles,s_Jueves,s_Viernes,s_Sábado,s_Domingo,std_Lunes,std_Martes,std_Miércoles,std_Jueves,std_Viernes,std_Sábado,std_Domingo,Entre semana,Fin de semana,s_Entre semana,s_Fin de semana,std_Entre semana,std_Fin de semana,otoño,s_otoño,std_otoño,2023-09,2023-10,2023-11,2024-09,2024-10,2024-11,Septiembre,Octubre,Noviembre,2023-08-28/2023-09-03,2023-09-04/2023-09-10,2023-09-11/2023-09-17,2023-09-18/2023-09-24,2023-09-25/2023-10-01,2023-10-02/2023-10-08,2023-10-09/2023-10-15,2023-10-16/2023-10-22,2023-10-23/2023-10-29,2023-10-30/2023-11-05,2023-11-06/2023-11-12,2023-11-13/2023-11-19,2023-11-20/2023-11-26,2023-11-27/2023-12-03,2024-08-26/2024-09-01,2024-09-02/2024-09-08,2024-09-09/2024-09-15,2024-09-16/2024-09-22,2024-09-23/2024-09-29,2024-09-30/2024-10-06,2024-10-07/2024-10-13,2024-10-14/2024-10-20,2024-10-21/2024-10-27,2024-10-28/2024-11-03,2024-11-04/2024-11-10,2024-11-11/2024-11-17,2024-11-18/2024-11-24,2024-11-25/2024-12-01
ABLD,0.20175938644688643,0.23391409047104592,0.032,1.874,0.069,0.101,0.21825,881.285,0.20175938644688643,4.8422252747252745,0.09765000000000001,0.08840109890109889,0.07918478260869566,0.08460989010989012,0.07734065934065934,0.08575824175824176,0.1784230769230769,0.21315934065934067,0.15815934065934065,0.1591978021978022,0.1875879120879121,0.19434615384615386,0.18169230769230768,0.32518131868131867,0.4138901098901099,0.31376373626373627,0.23425274725274725,0.1947252747252747,0.17557692307692307,0.31428021978021975,0.41258791208791207,0.32471428571428573,0.2158681318681319,0.1320769230769231,17.577,16.089,14.57,15.399000000000001,14.076,15.608,32.473,38.795,28.785,28.974,34.141,35.371,33.068,59.183,75.328,57.105,42.634,35.44,31.955,57.199,75.091,59.098,39.288000000000004,24.038,17.577,16.089,14.57,15.399000000000001,14.076,15.608,32.473,38.795,28.785,28.974,34.141,35.371,33.068,59.183,75.328,57.105,42.634,35.44,31.955,57.199,75.091,59.098,39.288000000000004,24.038,0.1772348901098901,0.2694102564102564,0.22970879120879117,0.2713118131868132,0.08549077878643097,129.027,294.196,167.228,197.51500000000001,93.319,0.014562255633984222,0.05787231312958824,0.07212587390299144,0.09924611632838311,0.024402553023099093,0.20825000000000002,0.2030272435897436,0.21256250000000002,0.2130272435897436,0.18904647435897437,0.18137179487179486,0.20503044871794873,129.948,126.68900000000001,132.639,132.929,117.965,113.176,127.93900000000001,0.24180711108797578,0.23127006628260632,0.24621420407792702,0.25347710530994033,0.1984985925784052,0.20921564805097545,0.25031841174309016,0.2051826923076923,0.1932011217948718,640.17,241.115,0.23506024403993359,0.2308952530861084,0.20175938644688643,881.285,0.23391409047104603,130.587,152.428,125.521,133.705,177.101,161.943,264.292,329.529,287.464,9.183,31.204,35.61,28.438,30.934,33.272,32.195,35.32,38.35,33.131,19.855,32.306,32.403999999999996,16.334,3.623,33.409,28.553,29.383,34.503,39.787,31.589,44.786,42.689,42.604,46.589,36.576,29.929000000000002,28.729
AJVG,0.18759317765567765,0.26298696424993817,0.018,2.366,0.053,0.076,0.202,819.407,0.18759317765567765,4.502236263736264,0.08572777777777778,0.07454395604395604,0.08513043478260869,0.08195054945054944,0.08017582417582418,0.20123626373626374,0.38499999999999995,0.38934615384615384,0.2280824175824176,0.15947802197802197,0.19271978021978023,0.2358956043956044,0.2578296703296703,0.1855164835164835,0.13252747252747255,0.11134615384615384,0.11467582417582417,0.1620989010989011,0.19953296703296702,0.2843021978021978,0.2815274725274725,0.2624835164835165,0.19534065934065933,0.11577472527472528,15.431000000000001,13.567,15.664,14.915,14.592,36.625,70.07,70.861,41.511,29.025,35.075,42.933,46.925,33.763999999999996,24.12,20.265,20.871,29.502,36.315,51.743,51.238,47.772,35.552,21.071,15.431000000000001,13.567,15.664,14.915,14.592,36.625,70.07,70.861,41.511,29.025,35.075,42.933,46.925,33.763999999999996,24.12,20.265,20.871,29.502,36.315,51.743,51.238,47.772,35.552,21.071,0.2904766483516483,0.18597252747252746,0.19015247252747253,0.21378159340659342,0.10146080099449666,211.46699999999998,203.082,138.43099999999998,155.63299999999998,110.794,0.08643569830368154,0.0943378772271344,0.06896467682491192,0.08863698992234263,0.07679278509478622,0.18913461538461537,0.17919070512820512,0.17143589743589743,0.1826698717948718,0.15970032051282051,0.21946314102564102,0.2115576923076923,118.02,111.815,106.976,113.986,99.653,136.945,132.012,0.25201700206443783,0.2336644996670192,0.22573121929454357,0.25741954436205156,0.22995372191248817,0.31840798593819736,0.30410032011153376,0.17642628205128208,0.21551041666666665,550.45,268.957,0.24014708878711108,0.311236615528598,0.18759317765567765,819.407,0.2629869642499382,116.383,113.141,162.931,105.679,135.683,185.59,222.062,248.824,348.521,13.633,29.564,22.586,28.103,24.644000000000002,27.039,15.993,27.995,32.692,34.277,28.463,36.299,46.65,24.517,2.425,29.176,24.699,14.868,30.465,29.652,31.105,30.361,30.699,24.389,34.83,39.097,49.954,55.232
ATF,0.14755311355311354,0.12279715953827196,0.042,1.77,0.079,0.119,0.16725,322.256,0.14755311355311354,3.5412747252747256,0.096,0.08569230769230769,0.08668478260869565,0.09064835164835165,0.09076923076923077,0.08720879120879121,0.09672527472527472,0.13986813186813188,0.1825824175824176,0.16364835164835165,0.15602197802197804,0.1651868131868132,0.22003296703296704,0.2316043956043956,0.23872527472527472,0.1828131868131868,0.15276923076923077,0.132978021978022,0.11831868131868131,0.16975824175824175,0.196010989010989,0.1827142857142857,0.1564835164835165,0.11813186813186813,8.64,7.798,7.975,8.249,8.26,7.936,8.802,12.728,16.615000000000002,14.892,14.198,15.032,20.023,21.076,21.724,16.636,13.902,12.101,10.767,15.448,17.837,16.627,14.24,10.75,8.64,7.798,7.975,8.249,8.26,7.936,8.802,12.728,16.615000000000002,14.892,14.198,15.032,20.023,21.076,21.724,16.636,13.902,12.101,10.767,15.448,17.837,16.627,14.24,10.75,0.14570604395604397,0.19906410256410256,0.14345604395604394,0.16333516483516486,0.08950057732122951,53.037000000000006,108.68900000000001,52.217999999999996,59.454,48.858000000000004,0.03841061728439545,0.03453223742576908,0.03257961168006577,0.019817569548885337,0.012465461916030257,0.16328205128205128,0.14417307692307693,0.15119551282051283,0.13977884615384614,0.14543269230769232,0.15564743589743588,0.1333621794871795,50.944,44.982,47.173,43.611,45.375,48.562,41.609,0.16473739386447075,0.1034989577567815,0.10885715992057715,0.08091032987410433,0.11391998921986247,0.16143244650441563,0.09976992944892868,0.1487724358974359,0.1445048076923077,232.085,90.171,0.11779368525756291,0.13454623809500113,0.14755311355311357,322.25600000000003,0.12279715953827196,,,,113.329,110.62,98.307,113.329,110.62,98.307,,,,,,,,,,,,,,,3.584,28.678,24.184,25.313,26.991,29.763,24.86,25.341,22.317,22.922,26.0,20.957,20.972,20.374
FJAG,0.3522334615384585,0.28656388321918824,0.07,3.409,0.179,0.253,0.407,1538.5557599999868,0.35223346153845864,8.453603076923006,0.16875555555555558,0.16066483516483515,0.1524945652173913,0.14963186813186813,0.15445604395604395,0.19285714285714287,0.2533791208791209,0.28185230769230674,0.28235978021977626,0.3260046153846085,0.4361817582417494,0.6103863736263628,0.6281446153846045,0.4525389010988922,0.39126901098900313,0.3951797802197743,0.39679450549450057,0.46366065934065737,0.5712747252747252,0.5450769230769231,0.4441043956043956,0.45431318681318683,0.3177967032967033,0.2246043956043956,30.376,29.241,28.059,27.233,28.111,35.1,46.115,51.29711999999982,51.38947999999928,59.33283999999875,79.38507999999838,111.09031999999803,114.32231999999803,82.36207999999839,71.21095999999856,71.92271999999892,72.2165999999991,84.38623999999965,103.972,99.20400000000001,80.827,82.685,57.839,40.878,30.376,29.241,28.059,27.233,28.111,35.1,46.115,51.29711999999982,51.38947999999928,59.33283999999875,79.38507999999838,111.09031999999803,114.32231999999803,82.36207999999839,71.21095999999856,71.92271999999892,72.2165999999991,84.38623999999965,103.972,99.20400000000001,80.827,82.685,57.839,40.878,0.2858989560439531,0.48561673992673104,0.49420170329670154,0.3602046703296703,0.1631433351471395,208.13443999999785,530.2934799999904,359.77883999999875,262.229,178.12,0.08285021755163322,0.04935478392700478,0.04378475368578934,0.0513103191105182,0.017315275061204935,0.2996093589743584,0.34628538461538205,0.35049608974358604,0.3313614743589706,0.40883544871793837,0.3508830128205128,0.37816346153846153,186.95623999999964,216.0820799999984,218.70955999999768,206.76955999999768,255.11331999999354,218.951,235.974,0.17197795113325648,0.2854322352929146,0.274600421384978,0.26385481565597124,0.3734150331762614,0.29832301339475054,0.2897964950623771,0.34731755128204705,0.3645232371794872,1083.6307599999868,454.925,0.28331346832062076,0.29428924793198535,0.3522334615384586,1538.555759999987,0.28656388321918824,274.10607999999837,265.6150799999984,250.87171999999893,260.4775199999962,237.87983999999875,249.60551999999623,534.5835999999946,503.49491999999714,500.47723999999516,26.848,65.567,73.57507999999838,57.982,58.897,60.702,65.673,61.783079999998385,51.264,63.165,56.757,54.742,62.773719999998924,30.864,10.873,56.838,60.59471999999892,65.54495999999857,60.400839999998745,58.116839999998746,50.660000000000004,51.237,55.768,65.04995999999856,53.376,53.508,53.471,52.52455999999767
FMB,0.18278594322344321,0.21320855730249264,0.023,3.138,0.052,0.121,0.231,798.409,0.18278594322344321,4.386862637362636,0.08988333333333333,0.09105494505494505,0.08497826086956521,0.09783516483516484,0.08017582417582418,0.07315384615384615,0.08440109890109891,0.10875274725274725,0.20592857142857143,0.2236043956043956,0.22757692307692307,0.2531648351648352,0.3732857142857143,0.2707307692307693,0.2124120879120879,0.20417582417582417,0.2577857142857143,0.25299450549450553,0.24243956043956044,0.2477087912087912,0.21820329670329672,0.19962637362637364,0.16273076923076923,0.12431318681318682,16.179,16.572,15.636,17.806,14.592,13.314,15.361,19.793,37.479,40.696,41.419,46.076,67.938,49.273,38.659,37.16,46.917,46.045,44.124,45.083,39.713,36.332,29.617,22.625,16.179,16.572,15.636,17.806,14.592,13.314,15.361,19.793,37.479,40.696,41.419,46.076,67.938,49.273,38.659,37.16,46.917,46.045,44.124,45.083,39.713,36.332,29.617,22.625,0.1556717032967033,0.25689102564102567,0.25023214285714285,0.1762184065934066,0.08618022907044647,113.329,280.525,182.169,128.287,94.09899999999999,0.06570168862716184,0.07632602169518646,0.018802715755427784,0.04408018090620974,0.005950904929275498,0.20681249999999998,0.18248076923076922,0.17141185897435898,0.1730080128205128,0.1777804487179487,0.17161698717948717,0.19639102564102565,129.051,113.868,106.961,107.957,110.935,107.089,122.548,0.25509741651793566,0.19619018915275185,0.16265596122213674,0.18461326963612287,0.18808410110224313,0.21868721647957037,0.26495267026305713,0.18229871794871796,0.1840040064102564,568.772,229.637,0.20002529143938913,0.24314244009385522,0.18278594322344321,798.409,0.21320855730249275,125.762,129.955,129.374,122.576,144.185,146.557,248.338,274.14,275.931,12.257,28.693,27.579,31.4,30.962,30.282,24.535,28.830000000000002,31.88,32.693,29.748,25.789,33.795,16.648,6.487,25.378,29.121,30.231,28.079,27.881,28.033,36.007,29.915,41.868,34.217,34.262,35.729,26.11
GPC,0.17543223443223444,0.20017431832030055,0.026,1.983,0.069,0.103,0.184,766.288,0.17543223443223444,4.2103736263736256,0.08360555555555556,0.09032417582417583,0.08311413043478261,0.08091758241758241,0.0777087912087912,0.09782967032967033,0.22985714285714287,0.3046318681318681,0.24726923076923077,0.18135714285714286,0.12933516483516486,0.12462637362637362,0.18052747252747253,0.2637032967032967,0.2752032967032967,0.2201043956043956,0.18206593406593408,0.17448351648351648,0.18726373626373627,0.3124945054945055,0.3003076923076923,0.17596153846153845,0.11234065934065934,0.09534615384615386,15.049,16.439,15.293,14.727,14.143,17.805,41.834,55.443,45.003,33.007,23.539,22.682,32.856,47.994,50.086999999999996,40.059,33.136,31.756,34.082,56.874,54.656,32.025,20.446,17.353,15.049,16.439,15.293,14.727,14.143,17.805,41.834,55.443,45.003,33.007,23.539,22.682,32.856,47.994,50.086999999999996,40.059,33.136,31.756,34.082,56.874,54.656,32.025,20.446,17.353,0.24077884615384618,0.19891666666666666,0.21407692307692308,0.17098901098901098,0.08558331762842632,175.287,217.21699999999998,155.84799999999998,124.47999999999999,93.45599999999999,0.03991745830645608,0.05510108436039069,0.03555912892839347,0.06648015091245152,0.013665475612298642,0.1653573717948718,0.17005128205128203,0.17753525641025641,0.17864102564102563,0.16521474358974358,0.18746794871794872,0.18375801282051282,103.183,106.112,110.782,111.472,103.094,116.98,114.665,0.1911445517315229,0.18447514528490877,0.20125652327586757,0.20294356168433375,0.1818270712166411,0.2311132294217774,0.20415119055109243,0.1713599358974359,0.18561298076923077,534.643,231.645,0.1924825835752344,0.2179697971134028,0.17543223443223444,766.288,0.20017431832030053,119.455,124.571,133.351,121.455,125.85,141.606,240.91,250.421,274.957,13.823,25.583,28.071,29.117,26.415,29.971,26.249,28.276,29.286,28.181,32.117,28.951,35.07,16.267,4.868,29.339,23.591,34.466,26.748,26.521,25.419,29.168,31.058,31.309,32.524,33.955,33.277,26.668
JACL,0.11067857142857143,0.0939785318096663,0.028,1.281,0.062,0.096,0.133,483.444,0.11067857142857145,2.6562857142857146,0.09932777777777778,0.08173626373626373,0.07655978260869566,0.07852747252747252,0.07639010989010989,0.0729010989010989,0.07187912087912088,0.08792857142857143,0.0920879120879121,0.089,0.11275274725274725,0.09514285714285714,0.11543406593406594,0.2217087912087912,0.20828021978021977,0.14224725274725275,0.12036813186813188,0.10375824175824176,0.10517582417582418,0.10197802197802197,0.10891758241758243,0.1319010989010989,0.13839010989010989,0.12414285714285715,17.879,14.876,14.087,14.292,13.903,13.268,13.082,16.003,16.76,16.198,20.521,17.316,21.009,40.351,37.907,25.889,21.907,18.884,19.142,18.56,19.823,24.006,25.187,22.594,17.879,14.876,14.087,14.292,13.903,13.268,13.082,16.003,16.76,16.198,20.521,17.316,21.009,40.351,37.907,25.889,21.907,18.884,19.142,18.56,19.823,24.006,25.187,22.594,0.0852239010989011,0.14926098901098897,0.10782005494505495,0.1258379120879121,0.08090708424023642,62.043,162.993,78.493,91.61000000000001,88.305,0.010266340856846343,0.054120950766738556,0.011389853686742541,0.0135866340981692,0.0018690859201289107,0.11155288461538461,0.10748397435897435,0.10203846153846154,0.10706410256410258,0.10391025641025642,0.11888621794871795,0.12381410256410257,69.609,67.07,63.672,66.808,64.84,74.185,77.26,0.09447856606616788,0.07630989703060259,0.0538154667111641,0.08370159712329907,0.07202038429073532,0.12489193352072953,0.12683610356824546,0.1064099358974359,0.12135016025641025,331.999,151.445,0.07727035330471572,0.1258414373153923,0.11067857142857143,483.444,0.09397853180966624,93.023,77.871,74.149,81.383,77.674,79.344,174.406,155.545,153.493,7.406000000000001,32.076,23.162,16.565,17.321,19.176,17.759,17.293,15.233,18.802,17.488,17.379,16.309,9.074,6.377000000000001,20.651,16.498,17.221,18.212,17.268,18.219,16.183,18.093,18.391000000000002,19.279,17.985,18.755,15.269
JALG,0.27291094322344317,0.2501087889504524,0.055,1.829,0.1,0.177,0.34924999999999995,1192.0749999999998,0.2729109432234432,6.549862637362639,0.13573333333333332,0.10148901098901099,0.09538586956521738,0.09114285714285715,0.09313736263736264,0.10191208791208792,0.16766483516483516,0.2293186813186813,0.25085164835164836,0.28496703296703296,0.24755494505494505,0.30574175824175825,0.4956318681318681,0.5050109890109891,0.44288461538461543,0.37104395604395607,0.313978021978022,0.2801923076923077,0.2752417582417582,0.4237857142857143,0.4563186813186813,0.4181373626373626,0.27225274725274723,0.19092857142857145,24.432,18.471,17.551,16.588,16.951,18.548000000000002,30.515,41.736,45.655,51.864,45.055,55.645,90.205,91.912,80.605,67.53,57.144,50.995,50.094,77.129,83.05,76.101,49.55,34.749,24.432,18.471,17.551,16.588,16.951,18.548000000000002,30.515,41.736,45.655,51.864,45.055,55.645,90.205,91.912,80.605,67.53,57.144,50.995,50.094,77.129,83.05,76.101,49.55,34.749,0.23320054945054944,0.39464468864468866,0.32329945054945053,0.3344093406593407,0.10313342026331157,169.77,430.952,235.36200000000002,243.45000000000002,112.541,0.054003050018942914,0.08261108605741166,0.08872587254955866,0.07245859923144775,0.021787559326912828,0.2811746794871795,0.27605128205128204,0.28204967948717946,0.2796378205128205,0.2558477564102564,0.25021955128205126,0.2853958333333333,175.453,172.256,175.999,174.494,159.649,156.137,178.087,0.2548366611228152,0.26039768437381716,0.26415768632063813,0.26081392587143143,0.23345881546481115,0.21999241531312835,0.2527073985072451,0.2749522435897436,0.2678076923076923,857.851,334.224,0.25499623612401484,0.23747299993599208,0.2729109432234432,1192.075,0.25010878895045213,187.348,197.001,221.244,176.225,204.633,205.624,363.573,401.634,426.868,18.603,40.848,46.245,42.688,45.271,40.993,44.934,43.673,48.549,47.023,56.285,48.656,50.757,31.068,6.107,37.525,40.61,40.816,44.942,41.711,44.242,44.282000000000004,50.575,49.346000000000004,43.384,52.69,49.289,40.963
JLG,0.12601968864468863,0.12416068419433483,0.028,1.34,0.058,0.093,0.149,550.454,0.12601968864468865,3.0244725274725277,0.09284444444444444,0.06464285714285714,0.060173913043478265,0.059225274725274724,0.05731318681318681,0.05678021978021978,0.058428571428571434,0.06707692307692308,0.10933516483516484,0.15623076923076923,0.15764285714285714,0.13342857142857142,0.16090109890109888,0.17945604395604398,0.18973076923076923,0.16952747252747252,0.1448186813186813,0.13678021978021976,0.14102197802197802,0.16103296703296704,0.18253846153846154,0.18844505494505492,0.16852747252747252,0.12892857142857142,16.712,11.765,11.072000000000001,10.779,10.431,10.334,10.634,12.208,19.899,28.434,28.691,24.284,29.284,32.661,34.531,30.854,26.357,24.894,25.666,29.308,33.222,34.297,30.672,23.465,16.712,11.765,11.072000000000001,10.779,10.431,10.334,10.634,12.208,19.899,28.434,28.691,24.284,29.284,32.661,34.531,30.854,26.357,24.894,25.666,29.308,33.222,34.297,30.672,23.465,0.09776785714285714,0.16511446886446887,0.14591346153846152,0.1671098901098901,0.06516331599157686,71.175,180.305,106.225,121.656,71.093,0.06896158774165626,0.0170374540643535,0.023275251433675863,0.025693223241283203,0.03067923126618065,0.12879166666666667,0.1275929487179487,0.12794070512820513,0.12655929487179488,0.11527884615384615,0.1322451923076923,0.12372916666666665,80.366,79.618,79.835,78.973,71.934,82.521,77.207,0.1252811471744499,0.10728485214959943,0.11511488299024734,0.12783991171551778,0.10749259170986049,0.15478430850649733,0.12479216255413828,0.1252326923076923,0.1279871794871795,390.726,159.728,0.11695582901047291,0.14059846251750727,0.12601968864468863,550.454,0.12416068419433475,95.519,100.63,81.557,84.53,88.007,100.211,180.049,188.637,181.768,7.882,19.891000000000002,24.669,20.978,25.017,25.254,20.817,20.861,24.797,19.985,23.07,19.516000000000002,13.927999999999999,11.041,5.119,21.71,19.051,17.671,18.576,20.933,13.539,25.721,17.629,23.604,21.282,24.839,23.956,19.118
JMM,0.23898214285714287,0.2291194834934688,0.067,2.297,0.122,0.179,0.258,1043.874,0.23898214285714284,5.735571428571428,0.1457611111111111,0.12252197802197802,0.12073913043478261,0.11859340659340659,0.11614835164835165,0.11713186813186814,0.12883516483516483,0.19143406593406595,0.19567032967032968,0.19721428571428573,0.24866483516483515,0.3607802197802198,0.48072527472527476,0.49041758241758243,0.3168076923076923,0.23900549450549452,0.24232967032967032,0.2507747252747253,0.3075989010989011,0.30655494505494507,0.32982417582417584,0.2742087912087912,0.242,0.1921043956043956,26.237,22.299,22.216,21.584,21.139,21.318,23.448,34.841,35.612,35.893,45.257,65.662,87.492,89.256,57.659,43.499,44.104,45.641,55.983,55.793,60.028,49.906,44.044,34.963,26.237,22.299,22.216,21.584,21.139,21.318,23.448,34.841,35.612,35.893,45.257,65.662,87.492,89.256,57.659,43.499,44.104,45.641,55.983,55.793,60.028,49.906,44.044,34.963,0.17828846153846156,0.35606684981684983,0.27681456043956043,0.25953434065934067,0.12348264099024969,129.794,388.82500000000005,201.52100000000002,188.941,134.793,0.03695695364031352,0.13321571692501474,0.05917639844712671,0.07109510108849669,0.007689341444282223,0.20891025641025643,0.24261698717948718,0.22341346153846153,0.22411698717948716,0.2534503205128205,0.2698044871794872,0.2505625,130.36,151.393,139.41,139.849,158.153,168.358,156.351,0.1589527675202349,0.22697862472788974,0.22018488993911667,0.1870606997558694,0.25229597532506587,0.27346041863070786,0.2580792167587173,0.23050160256410254,0.2601834935897436,719.165,324.709,0.21206389721666719,0.26594865827295244,0.23898214285714287,1043.874,0.22911948349346892,174.021,180.488,168.652,152.317,174.652,193.744,326.338,355.14,362.396,17.139,35.601,40.328,37.923,49.168,41.121,46.801,41.263,35.808,36.758,42.26,39.56,38.0,21.431,4.853,38.972,37.742,33.781,33.088,33.403,40.599,34.601,42.796,55.403999999999996,42.262,47.68,45.465,30.067
