archivo,media_consumo,std_consumo,min_consumo,max_consumo,percentil_25_consumo,percentil_50_consumo,percentil_75_consumo,sum_consumo,promedio_por_dia,consumo_medio_diario,consumo_00,consumo_01,consumo_02,consumo_03,consumo_04,consumo_05,consumo_06,consumo_07,consumo_08,consumo_09,consumo_10,consumo_11,consumo_12,consumo_13,consumo_14,consumo_15,consumo_16,consumo_17,consumo_18,consumo_19,consumo_20,consumo_21,consumo_22,consumo_23,consumo_00_suma,consumo_01_suma,consumo_02_suma,consumo_03_suma,consumo_04_suma,consumo_05_suma,consumo_06_suma,consumo_07_suma,consumo_08_suma,consumo_09_suma,consumo_10_suma,consumo_11_suma,consumo_12_suma,consumo_13_suma,consumo_14_suma,consumo_15_suma,consumo_16_suma,consumo_17_suma,consumo_18_suma,consumo_19_suma,consumo_20_suma,consumo_21_suma,consumo_22_suma,consumo_23_suma,consumo_00_std,consumo_01_std,consumo_02_std,consumo_03_std,consumo_04_std,consumo_05_std,consumo_06_std,consumo_07_std,consumo_08_std,consumo_09_std,consumo_10_std,consumo_11_std,consumo_12_std,consumo_13_std,consumo_14_std,consumo_15_std,consumo_16_std,consumo_17_std,consumo_18_std,consumo_19_std,consumo_20_std,consumo_21_std,consumo_22_std,consumo_23_std,Mañana,Mediodia,Tarde,Noche,Madrugada,s_Mañana,s_Mediodia,s_Tarde,s_Noche,s_Madrugada,std_Mañana,std_Mediodia,std_Tarde,std_Noche,std_Madrugada,Lunes,Martes,Miércoles,Jueves,Viernes,Sábado,Domingo,s_Lunes,s_Martes,s_Miércoles,s_Jueves,s_Viernes,s_Sábado,s_Domingo,std_Lunes,std_Martes,std_Miércoles,std_Jueves,std_Viernes,std_Sábado,std_Domingo,Entre semana,Fin de semana,s_Entre semana,s_Fin de semana,std_Entre semana,std_Fin de semana,primavera,s_primavera,std_primavera,2025-03,2025-04,2025-05,Marzo,Abril,Mayo,2025-02-24/2025-03-02,2025-03-03/2025-03-09,2025-03-10/2025-03-16,2025-03-17/2025-03-23,2025-03-24/2025-03-30,2025-03-31/2025-04-06,2025-04-07/2025-04-13,2025-04-14/2025-04-20,2025-04-21/2025-04-27,2025-04-28/2025-05-04,2025-05-05/2025-05-11,2025-05-12/2025-05-18,2025-05-19/2025-05-25,2025-05-26/2025-06-01
ABLD,0.220625,0.24953637436171044,0.0,1.838,0.065,0.113,0.259,487.14,0.220625,5.295000000000001,0.08242391304347826,0.07606521739130435,0.07217391304347825,0.06851086956521739,0.06882608695652173,0.10282608695652175,0.2147608695652174,0.2639021739130435,0.20923913043478262,0.1817391304347826,0.22082608695652173,0.2711304347826087,0.27475,0.43578260869565216,0.4080869565217391,0.26806521739130434,0.2021739130434783,0.21817391304347825,0.20722826086956522,0.3522391304347826,0.48489130434782607,0.3248913043478261,0.18389130434782608,0.10240217391304347,7.583,6.998,6.64,6.303,6.332,9.46,19.758,24.279,19.25,16.72,20.316,24.944,25.277,40.092,37.544,24.662,18.6,20.072,19.065,32.406,44.61,29.89,16.918,9.421,7.583,6.998,6.64,6.303,6.332,9.46,19.758,24.279,19.25,16.72,20.316,24.944,25.277,40.092,37.544,24.662,18.6,20.072,19.065,32.406,44.61,29.89,16.918,9.421,0.21741032608695654,0.313106884057971,0.2449538043478261,0.2740190217391304,0.07847101449275362,80.007,172.835,90.143,100.839,43.316,0.007582214530380376,0.05352343945444941,0.06623885498105031,0.12875237156707423,0.024217472359865,0.23960897435897435,0.22983333333333333,0.22073397435897435,0.2686378205128205,0.21095833333333333,0.1738392857142857,0.2043621794871795,74.758,71.708,68.869,83.815,65.819,58.41,63.761,0.26164819102710224,0.25565835405450055,0.23654836368006507,0.30011748007197503,0.2391565730342971,0.2020526259320958,0.23533800057271356,0.23395448717948716,0.1885354938271605,364.969,122.171,0.2600517067159318,0.21907349935581688,0.220625,487.14,0.24953637436171028,176.521,129.981,180.638,176.521,129.981,180.638,8.553,40.634,47.315,38.981,35.729,35.298,28.682,24.736,33.684,37.088,37.674,42.092,44.567,32.107
AJVG,0.22878759057971015,0.35199038646147246,0.0,3.199,0.05,0.0815,0.228,505.163,0.22878759057971018,5.490902173913044,0.11297826086956522,0.09175000000000001,0.08460869565217391,0.09182608695652174,0.08134782608695652,0.11203260869565218,0.4822391304347826,0.5369130434782609,0.26583695652173917,0.17859782608695654,0.196304347826087,0.19834782608695653,0.16607608695652173,0.21456521739130432,0.13511956521739132,0.11748913043478262,0.17083695652173914,0.20566304347826087,0.26925,0.46347826086956523,0.47811956521739135,0.36333695652173914,0.29606521739130437,0.1781195652173913,10.394,8.441,7.784,8.448,7.484,10.307,44.366,49.396,24.457,16.431,18.060000000000002,18.248,15.279,19.74,12.431000000000001,10.809000000000001,15.717,18.921,24.771,42.64,43.987,33.427,27.238,16.387,10.394,8.441,7.784,8.448,7.484,10.307,44.366,49.396,24.457,16.431,18.060000000000002,18.248,15.279,19.74,12.431000000000001,10.809000000000001,15.717,18.921,24.771,42.64,43.987,33.427,27.238,16.387,0.3658967391304348,0.17131702898550727,0.27730706521739135,0.32891032608695653,0.0957572463768116,134.65,94.567,102.049,121.039,52.858000000000004,0.11788129152808406,0.08632769809001126,0.08891773123950791,0.11065845924395441,0.027563501257534605,0.2637115384615385,0.25746474358974364,0.25001923076923077,0.1847371794871795,0.18986217948717948,0.18863988095238096,0.27016666666666667,82.278,80.32900000000001,78.006,57.638,59.237,63.383,84.292,0.37337757084894585,0.38939049417306737,0.3745728709368181,0.28110891144241695,0.31863484464849945,0.2891054831284097,0.40973450479043483,0.22915897435897437,0.22789351851851852,357.488,147.675,0.3510762382499459,0.3544520416780438,0.22878759057971015,505.163,0.35199038646147235,247.928,138.657,118.578,247.928,138.657,118.578,14.685,59.208,69.749,54.069,41.756,39.176,36.398,23.609,37.275,21.234,35.009,25.851,26.186,20.958
ATF,0.11499909420289856,0.08912650168331289,0.0,1.273,0.062,0.093,0.132,253.918,0.11499909420289858,2.7599782608695653,0.08690217391304347,0.08259782608695652,0.0841195652173913,0.08065217391304348,0.07892391304347826,0.08391304347826087,0.08528260869565217,0.09234782608695653,0.11035869565217392,0.10642391304347827,0.12717391304347825,0.12653260869565217,0.13830434782608697,0.15240217391304348,0.1612282608695652,0.13477173913043478,0.12483695652173912,0.12945652173913044,0.14527173913043478,0.13045652173913044,0.1636304347826087,0.12520652173913044,0.11065217391304348,0.09853260869565217,7.995,7.599,7.739,7.42,7.261,7.72,7.846,8.496,10.153,9.791,11.7,11.641,12.724,14.020999999999999,14.833,12.399,11.485,11.91,13.365,12.002,15.054,11.519,10.18,9.065,7.995,7.599,7.739,7.42,7.261,7.72,7.846,8.496,10.153,9.791,11.7,11.641,12.724,14.020999999999999,14.833,12.399,11.485,11.91,13.365,12.002,15.054,11.519,10.18,9.065,0.09860326086956522,0.14006884057971014,0.1325054347826087,0.1245054347826087,0.08285144927536231,36.286,77.318,48.762,45.818,45.734,0.017008695313902783,0.03608486965106225,0.034284568613834374,0.054679012700621664,0.0018450418309781823,0.12274358974358975,0.11004807692307693,0.12820192307692307,0.113625,0.13272756410256412,0.10712202380952382,0.09113141025641025,38.296,34.335,39.999,35.451,41.411,35.993,28.433,0.09541538038535481,0.0677633549881356,0.10915319007267858,0.06672598680508622,0.11462756472459146,0.09423913686196932,0.04885721739820492,0.12146923076923076,0.09942283950617284,189.492,64.426,0.09322798764304838,0.07622134997240355,0.11499909420289856,253.918,0.08912650168331282,75.433,85.06400000000001,93.421,75.433,85.06400000000001,93.421,5.335,15.729,19.485,16.077,14.96,19.151,19.484,20.873,20.944,20.638,19.203,23.68,16.992,21.367
FJAG,0.42111847826086873,0.2591024152854334,0.0280999999999478,4.216,0.303,0.393,0.508,929.8295999999982,0.4211184782608688,10.106843478260847,0.3765249999999983,0.31989456521738957,0.30047065217391133,0.29670978260869396,0.35300108695652116,0.31479456521739074,0.3971749999999994,0.3108478260869565,0.32121739130434784,0.4003260869565217,0.4563043478260869,0.46466521739130323,0.5165239130434771,0.47411086956521625,0.4071336956521722,0.3792206521739114,0.3982749999999983,0.49845869565217277,0.5193380434782603,0.658945652173913,0.5872608695652174,0.4706206521739125,0.4353597826086951,0.44966413043478204,34.64029999999984,29.430299999999843,27.643299999999844,27.297299999999844,32.476099999999946,28.96109999999995,36.540099999999946,28.598,29.552,36.83,41.98,42.749199999999895,47.520199999999896,43.618199999999895,37.45629999999984,34.888299999999845,36.641299999999845,45.8581999999999,47.77909999999995,60.623,54.028,43.29709999999995,40.05309999999995,41.369099999999946,34.64029999999984,29.430299999999843,27.643299999999844,27.297299999999844,32.476099999999946,28.96109999999995,36.540099999999946,28.598,29.552,36.83,41.98,42.749199999999895,47.520199999999896,43.618199999999895,37.45629999999984,34.888299999999845,36.641299999999845,45.8581999999999,47.77909999999995,60.623,54.028,43.29709999999995,40.05309999999995,41.369099999999946,0.3573915760869564,0.44965978260869455,0.5187543478260861,0.4857263586956517,0.3268992753623175,131.52009999999996,248.21219999999937,190.9015999999997,178.74729999999985,180.44839999999928,0.031018171966821877,0.06233330669948645,0.10950725130319656,0.1049629218939308,0.13208330960686193,0.3978967948717935,0.3949253205128193,0.39971794871794875,0.3744423076923077,0.3918333333333317,0.5035449404761888,0.47912820512820514,124.14379999999957,123.21669999999963,124.712,116.826,122.25199999999948,169.19109999999944,149.488,0.24617125346942892,0.33936027640616595,0.20417345865762293,0.17204899998904313,0.2611949539437955,0.2952751448031208,0.22753361556385251,0.3917631410256402,0.49178873456790034,611.1504999999987,318.67909999999944,0.2509495597650116,0.2649113519679506,0.4211184782608687,929.8295999999981,0.25910241528543343,293.9250999999984,331.259,304.64549999999974,293.9250999999984,331.259,304.64549999999974,19.736,57.96469999999963,53.932699999999635,68.34399999999948,83.10769999999964,80.994,80.672,72.111,78.337,74.664,71.34,71.663,62.711,54.252499999999735
FMB,0.20736594202898553,0.2411852438441001,0.0,2.145,0.052,0.1365,0.254,457.86400000000003,0.20736594202898553,4.976782608695653,0.10107608695652173,0.07375,0.08365217391304347,0.08397826086956521,0.0878695652173913,0.09302173913043478,0.09691304347826088,0.1537391304347826,0.21635869565217392,0.3091195652173913,0.32381521739130437,0.3612065217391304,0.369445652173913,0.31535869565217395,0.2477717391304348,0.26019565217391305,0.24816304347826088,0.27752173913043476,0.3595326086956522,0.28732608695652173,0.20642391304347826,0.13806521739130434,0.1309673913043478,0.1515108695652174,9.299,6.785,7.696,7.726,8.084,8.558,8.916,14.144,19.905,28.439,29.791,33.231,33.989,29.013,22.795,23.938,22.831,25.532,33.077,26.434,18.991,12.702,12.049,13.939,9.299,6.785,7.696,7.726,8.084,8.558,8.916,14.144,19.905,28.439,29.791,33.231,33.989,29.013,22.795,23.938,22.831,25.532,33.077,26.434,18.991,12.702,12.049,13.939,0.1940326086956522,0.31296557971014494,0.2931358695652174,0.15674184782608694,0.08722463768115941,71.404,172.757,107.874,57.681,48.148,0.0782783646002021,0.05233621315572597,0.06387722219446039,0.04458613367665249,0.009323415772125405,0.20821153846153848,0.23903846153846153,0.23474679487179487,0.19709935897435896,0.17791666666666667,0.1925952380952381,0.20308974358974358,64.962,74.58,73.241,61.495,55.51,64.712,63.364,0.20534538419885037,0.2607269674786555,0.2675311022384784,0.22319364164691946,0.18768727696236545,0.26023472156039223,0.2647756405528257,0.2114025641025641,0.19764814814814813,329.788,128.076,0.2318284312712707,0.2622802569694241,0.2073659420289855,457.864,0.24118524384409998,161.646,154.037,142.181,161.646,154.037,142.181,11.074,33.611,31.464,39.974,41.262,34.061,32.277,35.322,39.436,34.91,30.666,35.196,29.628,28.983
GPC,0.1602373188405797,0.20408546727830398,0.0,2.236,0.059,0.09,0.156,353.804,0.1602373188405797,3.8456956521739127,0.10138043478260869,0.09330434782608696,0.09319565217391304,0.06710869565217392,0.07193478260869565,0.09267391304347826,0.23391304347826086,0.2511195652173913,0.18541304347826087,0.1678913043478261,0.12702173913043477,0.11345652173913044,0.13672826086956522,0.2514239130434783,0.27802173913043476,0.18784782608695652,0.16997826086956522,0.1403804347826087,0.18930434782608696,0.29675,0.2767173913043478,0.1574782608695652,0.08966304347826087,0.07298913043478261,9.327,8.584,8.574,6.174,6.618,8.526,21.52,23.103,17.058,15.446,11.686,10.438,12.579,23.131,25.578,17.282,15.638,12.915,17.416,27.301000000000002,25.458,14.488,8.249,6.715,9.327,8.584,8.574,6.174,6.618,8.526,21.52,23.103,17.058,15.446,11.686,10.438,12.579,23.131,25.578,17.282,15.638,12.915,17.416,27.301000000000002,25.458,14.488,8.249,6.715,0.20958423913043478,0.18241666666666664,0.1991032608695652,0.1492119565217391,0.08659963768115943,77.12700000000001,100.694,73.27,54.91,47.803,0.01766294587169603,0.058755149184917914,0.06856026451467125,0.10028455767571218,0.03435982038382492,0.14240384615384616,0.16256410256410256,0.1604423076923077,0.16041666666666668,0.14837820512820513,0.18069940476190474,0.1651826923076923,44.43,50.72,50.058,50.050000000000004,46.294,60.714999999999996,51.537,0.1760692562819176,0.18345071021999604,0.22584927223040746,0.18703233065885352,0.1905117441738191,0.2334172271065108,0.22137071224458194,0.15484102564102564,0.17322839506172838,241.552,112.252,0.1932756501889754,0.22765354448737993,0.1602373188405797,353.804,0.2040854672783044,136.39,104.804,112.61,136.39,104.804,112.61,13.17,33.753,31.393,25.616,28.865,26.844,24.668,10.56,36.732,22.018,26.413999999999998,26.711,26.463,20.597
JACL,0.11103351449275362,0.08991654873415003,0.0,1.584,0.065,0.097,0.134,245.16199999999998,0.11103351449275363,2.664804347826087,0.11454347826086957,0.085,0.07625,0.08051086956521739,0.07708695652173912,0.07328260869565217,0.08052173913043478,0.08486956521739131,0.10696739130434783,0.13132608695652176,0.12235869565217392,0.11608695652173913,0.1137391304347826,0.21925,0.1835326086956522,0.10454347826086957,0.10942391304347826,0.11243478260869565,0.10011956521739131,0.09808695652173913,0.10644565217391304,0.11739130434782609,0.1245108695652174,0.1265217391304348,10.538,7.82,7.015,7.407,7.092,6.742,7.408,7.808,9.841000000000001,12.082,11.257,10.68,10.464,20.171,16.885,9.618,10.067,10.344,9.211,9.024,9.793,10.8,11.455,11.64,10.538,7.82,7.015,7.407,7.092,6.742,7.408,7.808,9.841000000000001,12.082,11.257,10.68,10.464,20.171,16.885,9.618,10.067,10.344,9.211,9.024,9.793,10.8,11.455,11.64,0.10092119565217392,0.1432518115942029,0.10501630434782608,0.11871739130434783,0.08444565217391305,37.139,79.07499999999999,38.646,43.688,46.614,0.020660897828163046,0.07631020293924101,0.029276474883919098,0.0031896759860605695,0.00441300118637326,0.1049775641025641,0.10952243589743589,0.11006410256410258,0.10865705128205129,0.1082051282051282,0.11654464285714286,0.1188397435897436,32.753,34.171,34.34,33.901,33.76,39.159,37.078,0.058742416708332905,0.06519798792953801,0.09867343126911272,0.079072523682797,0.07372833753020226,0.10696515446500708,0.12560421157432325,0.10828525641025642,0.11764969135802468,168.925,76.237,0.07624603191978865,0.11622764184747728,0.11103351449275363,245.162,0.08991654873415007,84.485,80.139,80.538,84.485,80.139,80.538,6.441,19.118000000000002,18.468,18.448,19.219,18.797,18.164,20.197,18.654,18.389,17.891000000000002,17.117,17.677,16.582
JALG,0.29025679347826083,0.25502994075857993,0.0,1.888,0.132,0.194,0.34924999999999995,640.887,0.29025679347826094,6.966163043478263,0.15171739130434783,0.13332608695652173,0.1238586956521739,0.12175000000000001,0.11332608695652174,0.11998913043478261,0.1482717391304348,0.29355434782608697,0.3522391304347826,0.28131521739130433,0.2897391304347826,0.33225,0.4681304347826087,0.46143478260869564,0.4472826086956522,0.3647282608695652,0.3323369565217391,0.29856521739130437,0.28895652173913045,0.42582608695652174,0.4913804347826087,0.3945434782608696,0.3156304347826087,0.2160108695652174,13.958,12.266,11.395,11.201,10.426,11.039,13.641,27.007,32.406,25.881,26.656,30.567,43.068,42.452,41.15,33.555,30.575,27.468,26.584,39.176,45.207,36.298,29.038,19.873,13.958,12.266,11.395,11.201,10.426,11.039,13.641,27.007,32.406,25.881,26.656,30.567,43.068,42.452,41.15,33.555,30.575,27.468,26.584,39.176,45.207,36.298,29.038,19.873,0.26884510869565215,0.3939275362318841,0.33642119565217393,0.3543913043478261,0.12732789855072466,98.935,217.448,123.803,130.416,70.285,0.106927830389959,0.07730618004374475,0.0733788946801685,0.10048932880352847,0.006375122855849991,0.30060576923076926,0.2708173076923077,0.28997435897435897,0.2921730769230769,0.2986923076923077,0.26807738095238093,0.31316346153846153,93.789,84.495,90.472,91.158,93.19200000000001,90.074,97.707,0.2822616771220523,0.20990459160602956,0.2576803885051529,0.24100920352965874,0.25766778919170397,0.25338315030795905,0.2759887729173121,0.2904525641025641,0.2897854938271605,453.106,187.781,0.2507436003258902,0.26526262156250013,0.2902567934782609,640.8870000000001,0.25502994075858,224.327,192.568,223.992,224.327,192.568,223.992,15.437,47.232,54.874,43.46,55.42,45.081,46.672,46.284,45.683,45.658,54.213,47.138,51.801,41.934
JLG,0.1241141304347826,0.14217656756904015,0.0,1.28,0.051,0.0785,0.143,274.044,0.1241141304347826,2.978739130434783,0.07906521739130434,0.0555,0.0545,0.0531195652173913,0.05268478260869565,0.049217391304347824,0.04943478260869565,0.060423913043478265,0.12478260869565218,0.16055434782608696,0.12879347826086956,0.14953260869565216,0.21343478260869564,0.20190217391304346,0.20267391304347826,0.16495652173913045,0.11794565217391305,0.10354347826086956,0.12240217391304346,0.15943478260869565,0.18976086956521737,0.20928260869565218,0.15790217391304348,0.11789130434782609,7.274,5.106,5.014,4.887,4.8469999999999995,4.528,4.548,5.559,11.48,14.771,11.849,13.757,19.636,18.575,18.646,15.176,10.851,9.526,11.261,14.668,17.458,19.254,14.527,10.846,7.274,5.106,5.014,4.887,4.8469999999999995,4.528,4.548,5.559,11.48,14.771,11.849,13.757,19.636,18.575,18.646,15.176,10.851,9.526,11.261,14.668,17.458,19.254,14.527,10.846,0.09879891304347826,0.1768822463768116,0.12583152173913043,0.16870923913043478,0.057347826086956516,36.358000000000004,97.63900000000001,46.306,62.08500000000001,31.656,0.08246164433467393,0.03122066410948514,0.031675771072660945,0.05610552892143327,0.009000721687889705,0.1441121794871795,0.11781089743589743,0.12507371794871797,0.10355128205128206,0.11519230769230769,0.12826488095238095,0.13447435897435897,44.963,36.757,39.023,32.308,35.94,43.097,41.956,0.17907135470605984,0.12928156468607876,0.1430602070598607,0.08628083920422394,0.11682961542484252,0.14756330718929578,0.16906057624444035,0.12114807692307693,0.13125462962962964,188.991,85.053,0.13491318757272483,0.158185611761413,0.1241141304347826,274.044,0.1421765675690402,101.787,83.2,89.057,101.787,83.2,89.057,6.375,24.026,20.525,22.869,24.731,21.175,20.317,13.362,20.905,19.808,19.452,18.092,22.629,19.778
JMM,0.26424320652173916,0.26116818219679644,0.0,2.256,0.11475,0.1825,0.27825,583.4490000000001,0.2642432065217391,6.34183695652174,0.18683695652173912,0.13485869565217393,0.12270652173913044,0.11801086956521738,0.10859782608695652,0.11196739130434782,0.1783804347826087,0.2240108695652174,0.2603586956521739,0.28202173913043477,0.30673913043478257,0.39993478260869564,0.5738260869565217,0.5094347826086957,0.2663369565217391,0.2482717391304348,0.23542391304347826,0.24078260869565218,0.2788369565217391,0.3139130434782609,0.34897826086956524,0.3274673913043478,0.3153913043478261,0.24875000000000003,17.189,12.407,11.289,10.857,9.991,10.301,16.411,20.609,23.953,25.945999999999998,28.22,36.794,52.792,46.868,24.503,22.841,21.659,22.152,25.653,28.88,32.106,30.127,29.016000000000002,22.885,17.189,12.407,11.289,10.857,9.991,10.301,16.411,20.609,23.953,25.945999999999998,28.22,36.794,52.792,46.868,24.503,22.841,21.659,22.152,25.653,28.88,32.106,30.127,29.016000000000002,22.885,0.23619293478260867,0.384090579710145,0.26723913043478265,0.3101467391304348,0.1304963768115942,86.919,212.01800000000003,98.344,114.13400000000001,72.03399999999999,0.08760856939996153,0.14702673410507758,0.03910083599443808,0.055283360663951016,0.03635629743392775,0.23438461538461539,0.24288141025641025,0.2711153846153846,0.2653878205128205,0.2535737179487179,0.294375,0.2856666666666667,73.128,75.779,84.588,82.801,79.115,98.91,89.128,0.21833526717959556,0.21618088630094773,0.25023226410775784,0.24173076406389205,0.2535352630235522,0.30286254578899485,0.3202282713414685,0.25346858974358977,0.2901820987654321,395.411,188.038,0.23662087210157517,0.31113353239476066,0.2642432065217391,583.449,0.26116818219679655,207.28,196.701,179.468,207.28,196.701,179.468,15.874,43.366,41.474000000000004,55.451,45.694,39.3,42.045,45.665,59.049,39.599000000000004,53.03,45.088,30.46,27.354
