archivo,media_consumo,std_consumo,min_consumo,max_consumo,percentil_25_consumo,percentil_50_consumo,percentil_75_consumo,sum_consumo,promedio_por_dia,consumo_medio_diario,consumo_00,consumo_01,consumo_02,consumo_03,consumo_04,consumo_05,consumo_06,consumo_07,consumo_08,consumo_09,consumo_10,consumo_11,consumo_12,consumo_13,consumo_14,consumo_15,consumo_16,consumo_17,consumo_18,consumo_19,consumo_20,consumo_21,consumo_22,consumo_23,consumo_00_suma,consumo_01_suma,consumo_02_suma,consumo_03_suma,consumo_04_suma,consumo_05_suma,consumo_06_suma,consumo_07_suma,consumo_08_suma,consumo_09_suma,consumo_10_suma,consumo_11_suma,consumo_12_suma,consumo_13_suma,consumo_14_suma,consumo_15_suma,consumo_16_suma,consumo_17_suma,consumo_18_suma,consumo_19_suma,consumo_20_suma,consumo_21_suma,consumo_22_suma,consumo_23_suma,consumo_00_std,consumo_01_std,consumo_02_std,consumo_03_std,consumo_04_std,consumo_05_std,consumo_06_std,consumo_07_std,consumo_08_std,consumo_09_std,consumo_10_std,consumo_11_std,consumo_12_std,consumo_13_std,consumo_14_std,consumo_15_std,consumo_16_std,consumo_17_std,consumo_18_std,consumo_19_std,consumo_20_std,consumo_21_std,consumo_22_std,consumo_23_std,Mañana,Mediodia,Tarde,Noche,Madrugada,s_Mañana,s_Mediodia,s_Tarde,s_Noche,s_Madrugada,std_Mañana,std_Mediodia,std_Tarde,std_Noche,std_Madrugada,Lunes,Martes,Miércoles,Jueves,Viernes,Sábado,Domingo,s_Lunes,s_Martes,s_Miércoles,s_Jueves,s_Viernes,s_Sábado,s_Domingo,std_Lunes,std_Martes,std_Miércoles,std_Jueves,std_Viernes,std_Sábado,std_Domingo,Entre semana,Fin de semana,s_Entre semana,s_Fin de semana,std_Entre semana,std_Fin de semana,verano,s_verano,std_verano,2024-07,2024-08,2025-06,Junio,Julio,Agosto,2024-07-01/2024-07-07,2024-07-08/2024-07-14,2024-07-15/2024-07-21,2024-07-22/2024-07-28,2024-07-29/2024-08-04,2024-08-05/2024-08-11,2024-08-12/2024-08-18,2024-08-19/2024-08-25,2024-08-26/2024-09-01,2025-05-26/2025-06-01,2025-06-02/2025-06-08,2025-06-09/2025-06-15,2025-06-16/2025-06-22,2025-06-23/2025-06-29,2025-06-30/2025-07-06
ABLD,0.1954485727231536,0.1968385096281263,0.056,2.123,0.082,0.117,0.218,431.355,0.19541552457466924,4.6886413043478266,0.11272826086956522,0.10580434782608696,0.10954347826086956,0.1127391304347826,0.10634782608695653,0.11547826086956522,0.16691304347826086,0.18819565217391304,0.15969565217391304,0.17198913043478262,0.18169565217391306,0.20770652173913046,0.21192391304347827,0.3412065217391304,0.3041413043478261,0.26017391304347826,0.2253804347826087,0.21183695652173914,0.24545652173913043,0.2499565217391304,0.2681304347826087,0.28097826086956523,0.20581521739130434,0.1463956043956044,10.371,9.734,10.078,10.372,9.784,10.624,15.356,17.314,14.692,15.823,16.716,19.109,19.497,31.391,27.981,23.936,20.735,19.489,22.582,22.996,24.668,25.85,18.935,13.322,10.371,9.734,10.078,10.372,9.784,10.624,15.356,17.314,14.692,15.823,16.716,19.109,19.497,31.391,27.981,23.936,20.735,19.489,22.582,22.996,24.668,25.85,18.935,13.322,0.1716983695652174,0.2511413043478261,0.23315760869565216,0.22532987935977067,0.11044021739130434,63.185,138.63,85.802,82.775,60.963,0.01729939839918808,0.054107322610118296,0.05629538888335956,0.058694957178924895,0.017301898176333673,0.21998805970149254,0.21587820512820513,0.21594551282051283,0.2138974358974359,0.1999423076923077,0.1529903846153846,0.14768910256410256,73.696,67.354,67.375,66.736,62.382,47.733,46.079,0.2209550171810576,0.1979694784020043,0.22433190610244483,0.19682617331402555,0.2000360494965705,0.13536361619327078,0.1727908503121725,0.21322994314592547,0.15033974358974359,337.543,93.812,0.20841003404030703,0.15510758433963612,0.1954485727231536,431.355,0.1968385096281262,130.456,138.224,162.675,162.675,130.456,138.224,27.014,27.517,26.686,30.868,40.358,33.457,21.518,38.598,22.664,1.972,32.009,37.582,46.205,42.09,2.817
AJVG,0.15625690983235163,0.1715422276622199,0.032,1.766,0.0665,0.092,0.1785,344.85900000000004,0.15635591918714556,3.748467391304347,0.1196304347826087,0.11335869565217392,0.10278260869565217,0.09870652173913043,0.10405434782608695,0.24656521739130435,0.32418478260869565,0.11558695652173913,0.12510869565217392,0.12664130434782608,0.1948913043478261,0.12585869565217392,0.14180434782608695,0.1560326086956522,0.12184782608695653,0.12193478260869565,0.14204347826086955,0.18516304347826087,0.1986521739130435,0.2062282608695652,0.19331521739130436,0.18510869565217392,0.16828260869565217,0.1321208791208791,11.006,10.429,9.456,9.081,9.573,22.684,29.825,10.634,11.51,11.651,17.93,11.579,13.046,14.355,11.21,11.218,13.068,17.035,18.276,18.973,17.785,17.03,15.482,12.023,11.006,10.429,9.456,9.081,9.573,22.684,29.825,10.634,11.51,11.651,17.93,11.579,13.046,14.355,11.21,11.218,13.068,17.035,18.276,18.973,17.785,17.03,15.482,12.023,0.17288043478260867,0.14372826086956522,0.1830217391304348,0.1697068502150024,0.1308496376811594,63.620000000000005,79.33800000000001,67.352,62.31999999999999,72.229,0.07873436054523675,0.07803019138894504,0.043799187157054595,0.03444617410355231,0.059532006921383926,0.17515223880597017,0.1573653846153846,0.1526730769230769,0.13696794871794873,0.14858653846153846,0.15114423076923075,0.17051602564102564,58.676,49.098,47.634,42.734,46.359,47.157,53.201,0.20050267096807467,0.16884405889925494,0.1514267479021217,0.13302722782348925,0.17704438071921214,0.17864315784384932,0.17917258847996334,0.1544542008843967,0.1608301282051282,244.501,100.358,0.1685245078711138,0.1790270565811367,0.1562569098323516,344.859,0.17154222766221988,112.812,86.882,145.165,145.165,112.812,86.882,24.330000000000002,27.659,24.541,23.135,20.778,11.744,15.33,30.436,21.741,5.355,26.939,29.228,40.063,34.958,8.622
ATF,0.16682057091073857,0.19478078542981772,0.053,1.794,0.079,0.122,0.143,368.173,0.16695276071203533,4.001880434782609,0.11789130434782609,0.1056304347826087,0.10248913043478261,0.10334782608695653,0.10082608695652173,0.09804347826086957,0.11541304347826087,0.11586956521739131,0.13060869565217392,0.17692391304347826,0.23519565217391306,0.28255434782608696,0.3128913043478261,0.2565978260869565,0.21693478260869564,0.19668478260869565,0.1871304347826087,0.1756086956521739,0.17553260869565218,0.1751195652173913,0.17083695652173914,0.1790978260869565,0.14491304347826087,0.1271208791208791,10.846,9.718,9.429,9.508000000000001,9.276,9.02,10.618,10.66,12.016,16.277,21.638,25.995,28.786,23.607,19.958,18.095,17.216,16.156,16.149,16.111,15.717,16.477,13.332,11.568,10.846,9.718,9.429,9.508000000000001,9.276,9.02,10.618,10.66,12.016,16.277,21.638,25.995,28.786,23.607,19.958,18.095,17.216,16.156,16.149,16.111,15.717,16.477,13.332,11.568,0.13470380434782608,0.250143115942029,0.17834782608695654,0.1554921763019589,0.10470471014492753,49.571,138.079,65.632,57.094,57.797,0.05729981357449193,0.07231126509676157,0.029916387891279445,0.022965982995974587,0.011927999074217044,0.1711313432835821,0.1575897435897436,0.17981089743589743,0.18439743589743587,0.18156410256410258,0.16345833333333334,0.12947435897435897,57.329,49.168,56.101,57.532,56.648,50.999,40.396,0.19985078431346018,0.15743044692161834,0.22049346763550962,0.2038862358371017,0.22308567354852793,0.19463630407200025,0.14623728454765128,0.17484396715097916,0.14646634615384616,276.778,91.395,0.20226517570278202,0.17284658249641205,0.16682057091073857,368.173,0.19478078542981778,140.998,75.112,152.063,152.063,140.998,75.112,38.051,33.415,22.718,21.644000000000002,34.92,16.218,15.87,17.81,15.464,2.052,21.415,22.214,45.432,50.4,10.55
FJAG,0.5708745808790203,0.7354765206774512,0.0210999999999472,4.167,0.183,0.251,0.5285499999999739,1259.9201999999977,0.5707691517013224,13.694784782608673,0.1967391304347826,0.18284782608695652,0.17678260869565215,0.1760869565217391,0.17791304347826084,0.2061521739130435,0.2825326086956522,0.27142391304347824,0.2605119565217386,0.34745869565217274,0.4805032608695635,0.636146739130432,0.7559956521739096,0.8304304347826053,0.9398641304347797,1.0759619565217362,1.1298630434782586,1.3217847826086946,1.414578260869564,1.2006423913043474,0.7314239130434782,0.38875,0.2826521739130435,0.23024175824175822,18.1,16.822,16.264,16.2,16.368,18.966,25.993000000000002,24.971,23.96709999999995,31.966199999999894,44.20629999999984,58.52549999999974,69.55159999999968,76.39959999999968,86.46749999999973,98.98849999999973,103.94739999999979,121.60419999999989,130.14119999999988,110.45909999999995,67.291,35.765,26.004,20.951999999999998,18.1,16.822,16.264,16.2,16.368,18.966,25.993000000000002,24.971,23.96709999999995,31.966199999999894,44.20629999999984,58.52549999999974,69.55159999999968,76.39959999999968,86.46749999999973,98.98849999999973,103.94739999999979,121.60419999999989,130.14119999999988,110.45909999999995,67.291,35.765,26.004,20.951999999999998,0.2904817934782605,0.786483695652171,1.266717119565216,0.40826696129956996,0.18608695652173912,106.89729999999983,434.1389999999984,466.1518999999995,150.012,102.72,0.08525018977898714,0.2715149281289011,0.037302729616603476,0.2457045722731825,0.02115546423393528,0.4604029850746269,0.458599358974359,0.5026589743589733,0.5878999999999986,0.6857339743589744,0.6899849358974337,0.6189855769230744,154.235,143.083,156.8295999999997,183.42479999999958,213.949,215.2752999999993,193.1234999999992,0.611849773637324,0.6209440352553537,0.6613127293226841,0.7708211501577693,0.8516068506289586,0.8029743150765566,0.7663286268049495,0.5379162349968409,0.654485256410254,851.5213999999993,408.3987999999985,0.7125626737279798,0.7850395668882113,0.5708745808790203,1259.9201999999977,0.7354765206774508,419.2852999999993,404.9512999999993,435.68359999999916,435.68359999999916,419.2852999999993,404.9512999999993,61.412,62.36769999999963,106.886,122.349,149.07759999999968,158.572,91.42369999999963,28.648,43.500599999999686,15.55,60.15479999999958,81.486,119.16279999999958,151.554,7.776
FMB,0.214373810602628,0.22653495224870518,0.024,1.449,0.061,0.126,0.2625,473.123,0.21452616965973537,5.142641304347826,0.12414130434782608,0.09815217391304347,0.12277173913043478,0.0942391304347826,0.08914130434782609,0.0915108695652174,0.1096521739130435,0.1939782608695652,0.22357608695652173,0.24667391304347824,0.2715,0.3147391304347826,0.42344565217391306,0.2579565217391304,0.2457826086956522,0.31285869565217395,0.3265326086956522,0.2954565217391304,0.2927391304347826,0.24756521739130435,0.23328260869565218,0.18066304347826084,0.18545652173913044,0.1625934065934066,11.421,9.03,11.295,8.67,8.201,8.419,10.088000000000001,17.846,20.569,22.694,24.978,28.956,38.957,23.732,22.612000000000002,28.783,30.041,27.182,26.932,22.776,21.462,16.621,17.062,14.796,11.421,9.03,11.295,8.67,8.201,8.419,10.088000000000001,17.846,20.569,22.694,24.978,28.956,38.957,23.732,22.612000000000002,28.783,30.041,27.182,26.932,22.776,21.462,16.621,17.062,14.796,0.19347010869565218,0.30438043478260873,0.2905733695652174,0.1904988951266125,0.10332608695652173,71.197,168.01799999999997,106.931,69.941,57.036,0.03643729813600141,0.05184604534038549,0.033302223515736674,0.03278870340958888,0.02363365769778677,0.22505671641791047,0.21292948717948718,0.2151826923076923,0.19128846153846155,0.22582692307692306,0.22991025641025642,0.19963461538461538,75.394,66.434,67.137,59.682,70.458,71.732,62.286,0.25455859367135947,0.2216278451918134,0.21818099647677006,0.19906640652624394,0.2126242905199672,0.2470660344132834,0.2248721705201639,0.214216677195199,0.2147724358974359,339.105,134.018,0.22255005357496832,0.23652591130558293,0.214373810602628,473.123,0.22653495224870526,152.281,131.624,189.218,189.218,152.281,131.624,24.585,33.31,40.233,35.24,43.871,46.652,17.577,18.275,24.162,6.895,26.255,39.868,51.269,52.263,12.668
GPC,0.14963615768010874,0.13652819413761172,0.025,2.132,0.079,0.11,0.1645,330.24699999999996,0.14964297810333965,3.5896413043478255,0.10030434782608695,0.11706521739130435,0.10355434782608695,0.08491304347826087,0.08310869565217391,0.10817391304347826,0.24432608695652175,0.1985760869565217,0.1587282608695652,0.14514130434782607,0.12017391304347826,0.12893478260869565,0.20954347826086955,0.26770652173913045,0.1589891304347826,0.17758695652173914,0.14896739130434783,0.13569565217391305,0.1391086956521739,0.17655434782608695,0.19646739130434782,0.1576195652173913,0.1238586956521739,0.1056923076923077,9.228,10.77,9.527,7.812,7.646,9.952,22.478,18.269,14.603,13.353,11.056,11.862,19.278,24.629,14.627,16.338,13.705,12.484,12.798,16.243,18.075,14.501,11.395,9.618,9.228,10.77,9.527,7.812,7.646,9.952,22.478,18.269,14.603,13.353,11.056,11.862,19.278,24.629,14.627,16.338,13.705,12.484,12.798,16.243,18.075,14.501,11.395,9.618,0.18669293478260868,0.17715579710144927,0.15008152173913042,0.14590948996655517,0.09951992753623189,68.703,97.78999999999999,55.230000000000004,53.589000000000006,54.934999999999995,0.05125994676524055,0.07268829965810442,0.021030093775216068,0.03042301744957624,0.02983867651331818,0.16262985074626865,0.16465705128205127,0.1549070512820513,0.14868269230769232,0.1401378205128205,0.13489423076923077,0.14058653846153846,54.481,51.373,48.331,46.389,43.723,42.087,43.863,0.17095338599778998,0.1434531450947638,0.12583708531331975,0.13378121490530157,0.1258302469237573,0.12768612931458945,0.11642802260808774,0.15432533164876816,0.13774038461538463,244.297,85.95,0.14156730485593236,0.12212192906057555,0.14963615768010874,330.247,0.13652819413761158,115.152,98.066,117.029,117.029,115.152,98.066,24.701,27.172,23.308,26.295,28.742,17.515,20.856,23.396,21.233,4.829,25.864,25.815,28.3,28.433,3.7880000000000003
JACL,0.275001812415043,0.32380234028248817,0.036,1.385,0.074,0.134,0.3165,606.929,0.2750696282293636,6.597054347826087,0.1999891304347826,0.09093478260869566,0.08230434782608696,0.09241304347826088,0.08991304347826087,0.0796195652173913,0.08657608695652173,0.09824999999999999,0.09904347826086957,0.11741304347826087,0.12906521739130436,0.1852717391304348,0.29784782608695654,0.6272391304347826,0.6681086956521739,0.5485760869565217,0.4683478260869565,0.4476630434782609,0.3581086956521739,0.2509130434782609,0.25621739130434784,0.41998913043478264,0.5215,0.385945054945055,18.399,8.366,7.572,8.502,8.272,7.325,7.965,9.039,9.112,10.802,11.874,17.045,27.402,57.706,61.466,50.469,43.088,41.185,32.946,23.084,23.572,38.639,47.978,35.121,18.399,8.366,7.572,8.502,8.272,7.325,7.965,9.039,9.112,10.802,11.874,17.045,27.402,57.706,61.466,50.469,43.088,41.185,32.946,23.084,23.572,38.639,47.978,35.121,0.10032065217391303,0.4093514492753623,0.38125815217391307,0.3959128941710463,0.10586231884057973,36.918,225.96200000000002,140.303,145.31,58.43600000000001,0.01911127815060354,0.10656176583851262,0.042210210557273545,0.03719975328382678,0.06488100780925518,0.27268059701492536,0.2832403846153846,0.28178205128205125,0.282349358974359,0.2782371794871795,0.2511602564102564,0.27573397435897434,91.348,88.371,87.916,88.093,86.81,78.362,86.029,0.3328895845781309,0.3175146803763787,0.32048471719153,0.3238266026018282,0.3166644305435019,0.3207897909705526,0.3352224146241846,0.27955653821857235,0.26344711538461535,442.538,164.391,0.32210208224135356,0.32805260377321804,0.275001812415043,606.929,0.3238023402824884,199.748,196.12800000000001,211.053,211.053,199.748,196.12800000000001,17.847,40.049,52.333,55.273,59.495,66.859,36.851,32.755,34.414,6.418,22.365,41.182,58.937,72.382,9.769
JALG,0.2711590394200272,0.2583459216260936,0.07,1.649,0.115,0.171,0.3065,598.4480000000001,0.271250059073724,6.504869565217395,0.13722826086956522,0.1262282608695652,0.12565217391304348,0.12498913043478262,0.11680434782608697,0.12253260869565218,0.20249999999999999,0.2792173913043478,0.2808478260869565,0.2524673913043478,0.23705434782608698,0.30179347826086955,0.3412826086956522,0.44807608695652174,0.41179347826086954,0.35572826086956516,0.30846739130434786,0.27945652173913044,0.31129347826086956,0.3933913043478261,0.43927173913043477,0.4041739130434782,0.32268478260869565,0.18393406593406592,12.625,11.613,11.56,11.499,10.746,11.273,18.63,25.688,25.838,23.227,21.809,27.765,31.398,41.223,37.885,32.727,28.379,25.71,28.639,36.192,40.413,37.184,29.687,16.738,12.625,11.613,11.56,11.499,10.746,11.273,18.63,25.688,25.838,23.227,21.809,27.765,31.398,41.223,37.885,32.727,28.379,25.71,28.639,36.192,40.413,37.184,29.687,16.738,0.253758152173913,0.3492880434782608,0.3231521739130435,0.3375161251791686,0.12557246376811596,93.38300000000001,192.807,118.91999999999999,124.02199999999999,69.316,0.05995021099041921,0.03875910943648052,0.03927394374962931,0.09034098755362262,0.0019779473020483484,0.27308656716417906,0.26858333333333334,0.2508525641025641,0.2740929487179487,0.24519551282051283,0.279125,0.3070352564102564,91.484,83.798,78.266,85.517,76.501,87.087,95.795,0.27857174486043546,0.25453433828784544,0.22470896660316164,0.2336710958663205,0.21198261071767535,0.2944900007310038,0.29337934910775876,0.2625180037902716,0.2930801282051282,415.566,182.882,0.2424004758000143,0.2940310855733633,0.27115903942002717,598.448,0.25834592162609354,212.221,170.581,215.646,215.646,212.221,170.581,44.284,42.742,49.672,48.061,49.965,33.901,40.937,40.73,32.51,7.027,45.128,41.737,50.704,60.191,10.859
JLG,0.24051789759855005,0.2745425479355557,0.039,1.648,0.061,0.101,0.3715,530.823,0.24071010554505357,5.769815217391304,0.08688043478260869,0.07535869565217392,0.07107608695652173,0.06927173913043479,0.07013043478260869,0.07021739130434783,0.07150000000000001,0.07872826086956522,0.12563043478260869,0.17767391304347827,0.2438586956521739,0.33996739130434783,0.4225217391304348,0.3869130434782609,0.46891304347826085,0.41391304347826086,0.39457608695652174,0.36715217391304344,0.32368478260869565,0.3343152173913044,0.3530217391304348,0.3392608695652174,0.30894565217391307,0.17824175824175822,7.993,6.933,6.539,6.373,6.452,6.46,6.578,7.243,11.558,16.346,22.435,31.277,38.872,35.596000000000004,43.14,38.08,36.301,33.778,29.779,30.757,32.478,31.212,28.423000000000002,16.22,7.993,6.933,6.539,6.373,6.452,6.46,6.578,7.243,11.558,16.346,22.435,31.277,38.872,35.596000000000004,43.14,38.08,36.301,33.778,29.779,30.757,32.478,31.212,28.423000000000002,16.22,0.11338315217391304,0.3793478260869565,0.35493206521739135,0.29486750477783086,0.07382246376811594,41.725,209.39999999999998,130.615,108.333,40.75,0.08314143465255601,0.04858226756766624,0.03224857003066034,0.05776469250890239,0.011820591044109988,0.24445074626865673,0.24216025641025643,0.24036217948717947,0.24610256410256412,0.24661217948717948,0.24728205128205127,0.21636538461538463,81.891,75.554,74.993,76.784,76.943,77.152,67.506,0.2991672721046592,0.26961858248845755,0.2835650742994227,0.2783088612391062,0.270197605869746,0.25929324656726566,0.25885445355002323,0.24394504106127607,0.23182371794871792,386.165,144.658,0.2803184754398614,0.259327815525554,0.24051789759855005,530.823,0.27454254793555566,163.351,161.061,206.411,206.411,163.351,161.061,10.624,21.722,45.109,50.149,62.174,59.15,31.739,27.823,15.922,2.5,14.244,42.289,55.154,76.931,15.293
JMM,0.3434109651110104,0.5387557902853778,0.073,5.359,0.145,0.223,0.343,757.9079999999999,0.3433667690611216,8.238130434782608,0.1683913043478261,0.15808695652173912,0.14833695652173914,0.13620652173913045,0.1335,0.13458695652173913,0.18177173913043476,0.19706521739130434,0.19460869565217392,0.2574891304347826,0.3044673913043478,0.40348913043478263,0.6077826086956523,0.7206304347826087,0.5870869565217391,0.529054347826087,0.4536195652173913,0.4497717391304348,0.4722608695652174,0.4811195652173913,0.5195108695652174,0.3927608695652174,0.3412608695652174,0.2681868131868132,15.492,14.544,13.647,12.531,12.282,12.382,16.723,18.13,17.904,23.689,28.011,37.121,55.916000000000004,66.298,54.012,48.673,41.733,41.379,43.448,44.263,47.795,36.134,31.396,24.405,15.492,14.544,13.647,12.531,12.282,12.382,16.723,18.13,17.904,23.689,28.011,37.121,55.916000000000004,66.298,54.012,48.673,41.733,41.379,43.448,44.263,47.795,36.134,31.396,24.405,0.20773369565217392,0.5254184782608696,0.4641929347826087,0.38042985547061636,0.146518115942029,76.446,290.031,170.823,139.73000000000002,80.878,0.13014462138445887,0.2427015110183222,0.035323096096253,0.1962075020667689,0.03239306094971135,0.28630149253731346,0.2677596153846154,0.32843269230769234,0.28956089743589747,0.3504647435897436,0.5626826923076923,0.3228846153846154,95.911,83.541,102.471,90.343,109.345,175.557,100.74,0.4023260309468012,0.21551743590846423,0.5460995238863238,0.23504624189596632,0.48004102052808456,0.998763118641897,0.4427762815668648,0.30423941882501576,0.44278365384615387,481.611,276.297,0.3987530740583254,0.7811723418027183,0.34341096511101044,757.908,0.5387557902853777,287.918,229.159,240.831,240.831,287.918,229.159,41.611,45.892,69.885,80.6,81.444,66.436,50.74,44.397,36.072,9.179,48.242,94.771,42.806,40.179,5.654
