archivo,media_consumo,std_consumo,min_consumo,max_consumo,percentil_25_consumo,percentil_50_consumo,percentil_75_consumo,sum_consumo,promedio_por_dia,consumo_medio_diario,consumo_00,consumo_01,consumo_02,consumo_03,consumo_04,consumo_05,consumo_06,consumo_07,consumo_08,consumo_09,consumo_10,consumo_11,consumo_12,consumo_13,consumo_14,consumo_15,consumo_16,consumo_17,consumo_18,consumo_19,consumo_20,consumo_21,consumo_22,consumo_23,consumo_00_suma,consumo_01_suma,consumo_02_suma,consumo_03_suma,consumo_04_suma,consumo_05_suma,consumo_06_suma,consumo_07_suma,consumo_08_suma,consumo_09_suma,consumo_10_suma,consumo_11_suma,consumo_12_suma,consumo_13_suma,consumo_14_suma,consumo_15_suma,consumo_16_suma,consumo_17_suma,consumo_18_suma,consumo_19_suma,consumo_20_suma,consumo_21_suma,consumo_22_suma,consumo_23_suma,consumo_00_std,consumo_01_std,consumo_02_std,consumo_03_std,consumo_04_std,consumo_05_std,consumo_06_std,consumo_07_std,consumo_08_std,consumo_09_std,consumo_10_std,consumo_11_std,consumo_12_std,consumo_13_std,consumo_14_std,consumo_15_std,consumo_16_std,consumo_17_std,consumo_18_std,consumo_19_std,consumo_20_std,consumo_21_std,consumo_22_std,consumo_23_std,Mañana,Mediodia,Tarde,Noche,Madrugada,s_Mañana,s_Mediodia,s_Tarde,s_Noche,s_Madrugada,std_Mañana,std_Mediodia,std_Tarde,std_Noche,std_Madrugada,Lunes,Martes,Miércoles,Jueves,Viernes,Sábado,Domingo,s_Lunes,s_Martes,s_Miércoles,s_Jueves,s_Viernes,s_Sábado,s_Domingo,std_Lunes,std_Martes,std_Miércoles,std_Jueves,std_Viernes,std_Sábado,std_Domingo,Entre semana,Fin de semana,s_Entre semana,s_Fin de semana,std_Entre semana,std_Fin de semana,otoño,s_otoño,std_otoño,2024-10,Octubre,2024-09-30/2024-10-06,2024-10-07/2024-10-13,2024-10-14/2024-10-20,2024-10-21/2024-10-27,2024-10-28/2024-11-03
ABLD,0.23803897849462366,0.2620561975976888,0.054,1.539,0.07,0.119,0.26625,177.101,0.23803897849462366,5.712935483870968,0.08086666666666667,0.07416129032258065,0.07278125,0.0683225806451613,0.07174193548387098,0.12016129032258065,0.3032258064516129,0.24187096774193548,0.16503225806451613,0.17229032258064517,0.17674193548387096,0.21496774193548387,0.1867741935483871,0.44929032258064516,0.5674516129032259,0.3303548387096774,0.328741935483871,0.2320967741935484,0.2186774193548387,0.4436451612903226,0.47380645161290325,0.3409354838709677,0.20551612903225808,0.17374193548387099,2.426,2.299,2.329,2.118,2.224,3.725,9.4,7.498,5.116,5.341,5.479,6.664,5.79,13.928,17.591,10.241,10.191,7.195,6.779,13.753,14.688,10.568999999999999,6.371,5.386,2.426,2.299,2.329,2.118,2.224,3.725,9.4,7.498,5.116,5.341,5.479,6.664,5.79,13.928,17.591,10.241,10.191,7.195,6.779,13.753,14.688,10.568999999999999,6.371,5.386,0.22060483870967743,0.3209301075268817,0.3057903225806452,0.2985,0.08133916890681005,27.355,59.693,37.918000000000006,37.014,15.121,0.07353906849084084,0.09313579487407453,0.06625488210155879,0.0799543022704685,0.046388945717241614,0.27696875,0.21485,0.275,0.23108333333333334,0.24494791666666668,0.20597916666666669,0.21573958333333332,26.589,25.782,33.0,27.73,23.515,19.774,20.711,0.31414235637014865,0.23547497681469756,0.30488198570936265,0.2453374483959474,0.2825486774938237,0.20238285652207574,0.2252664501752566,0.24749275362318837,0.210859375,136.61599999999999,40.485,0.27647236587840057,0.21362531669395282,0.23803897849462366,177.101,0.26205619759768856,177.101,177.101,35.553,31.589,44.786,42.689,22.483999999999998
AJVG,0.18236962365591397,0.2345765388138889,0.03,1.714,0.054,0.083,0.205,135.683,0.182369623655914,4.376870967741935,0.08406666666666668,0.07932258064516129,0.10828125,0.08454838709677419,0.08151612903225806,0.3718709677419355,0.39967741935483875,0.3524838709677419,0.15906451612903225,0.10261290322580645,0.2616451612903226,0.256741935483871,0.2558709677419355,0.23329032258064517,0.08700000000000001,0.10006451612903225,0.11325806451612903,0.12451612903225806,0.24638709677419354,0.24480645161290324,0.23870967741935484,0.1421290322580645,0.15206451612903227,0.09616129032258064,2.5220000000000002,2.459,3.465,2.621,2.527,11.528,12.39,10.927,4.931,3.181,8.111,7.959,7.932,7.232,2.697,3.102,3.511,3.86,7.638,7.589,7.4,4.406,4.714,2.981,2.5220000000000002,2.459,3.465,2.621,2.527,11.528,12.39,10.927,4.931,3.181,8.111,7.959,7.932,7.232,2.697,3.102,3.511,3.86,7.638,7.589,7.4,4.406,4.714,2.981,0.2534596774193549,0.19910215053763444,0.18224193548387096,0.15726612903225806,0.13493433019713263,31.429000000000002,37.033,22.598,19.501000000000005,25.122,0.09318932138397462,0.14480020172226088,0.07533389426536458,0.052675837856569256,0.12025547923429195,0.17435416666666667,0.19585833333333333,0.16230833333333333,0.16417500000000002,0.13247916666666668,0.22927083333333334,0.22433333333333336,16.738,23.503,19.477,19.701,12.718,22.01,21.536,0.22699886293091828,0.24954211162886009,0.1768642738331951,0.19382499524445396,0.18277538583372396,0.2902836898863508,0.2986269867124912,0.16691485507246376,0.22680208333333332,92.137,43.546,0.208247832416885,0.2937234023085321,0.18236962365591397,135.683,0.23457653881388887,135.683,135.683,25.606,31.105,30.361,30.699,17.912
ATF,0.14868279569892473,0.10999926061041693,0.054,0.903,0.082,0.122,0.172,110.62,0.14868279569892473,3.568387096774193,0.09283333333333334,0.08338709677419355,0.08359375,0.08906451612903227,0.09629032258064515,0.09535483870967741,0.11390322580645161,0.12145161290322581,0.1941935483870968,0.2097741935483871,0.1673225806451613,0.1736774193548387,0.21519354838709678,0.22696774193548386,0.1989677419354839,0.15858064516129033,0.146,0.12174193548387097,0.11870967741935484,0.15948387096774194,0.18938709677419355,0.1925806451612903,0.18496774193548388,0.135258064516129,2.785,2.585,2.675,2.761,2.985,2.956,3.531,3.765,6.0200000000000005,6.503,5.187,5.384,6.671,7.036,6.168,4.916,4.526,3.774,3.68,4.944,5.8709999999999996,5.97,5.734,4.193,2.785,2.585,2.675,2.761,2.985,2.956,3.531,3.765,6.0200000000000005,6.503,5.187,5.384,6.671,7.036,6.168,4.916,4.526,3.774,3.68,4.944,5.8709999999999996,5.97,5.734,4.193,0.15983064516129034,0.19011827956989247,0.13648387096774192,0.17554838709677417,0.09008730958781362,19.819000000000003,35.361999999999995,16.924,21.768,16.747,0.052467288497811564,0.020618017689159916,0.040352473637783125,0.013500658339762973,0.0035588248658656404,0.14090624999999998,0.15160833333333334,0.14553333333333332,0.140025,0.14603125,0.18133333333333335,0.1375625,13.527,18.193,17.464,16.803,14.019,17.408,13.206,0.09873943147976584,0.10757466008776045,0.08325378163700882,0.07678798296433556,0.09785106331617079,0.18237432106098753,0.10047988146364112,0.14493840579710146,0.15944791666666666,80.006,30.614,0.09284131521517794,0.14847989761458286,0.14868279569892473,110.62,0.10999926061041694,110.62,110.62,25.184,24.86,25.341,22.317,12.918
FJAG,0.3194067204301071,0.28203315619444136,0.086,4.467,0.165,0.2275,0.357,237.63859999999968,0.3194067204301071,7.665761290322571,0.14406666666666668,0.13483870967741934,0.142,0.1399677419354839,0.1397741935483871,0.20541935483870968,0.2571935483870968,0.2964516129032258,0.23093548387096774,0.287483870967742,0.3869064516129015,0.6046161290322564,0.5101967741935467,0.36780967741935316,0.307519354838708,0.2752290322580628,0.49506451612903224,0.36683870967741933,0.5269677419354839,0.5238064516129032,0.41793548387096774,0.45361290322580644,0.27596774193548385,0.17522580645161293,4.322,4.18,4.544,4.339,4.333,6.368,7.973,9.19,7.159,8.912,11.994099999999946,18.74309999999995,15.816099999999947,11.402099999999947,9.533099999999948,8.532099999999947,15.347,11.372,16.336000000000002,16.238,12.956,14.062,8.555,5.432,4.322,4.18,4.544,4.339,4.333,6.368,7.973,9.19,7.159,8.912,11.994099999999946,18.74309999999995,15.816099999999947,11.402099999999947,9.533099999999948,8.532099999999947,15.347,11.372,16.336000000000002,16.238,12.956,14.062,8.555,5.432,0.2680161290322581,0.4087129032258048,0.4781693548387097,0.33068548387096774,0.15101111111111112,33.234,76.02059999999967,59.293000000000006,41.005,28.086,0.03586107427424925,0.12526693200309177,0.29126330040043114,0.10325191353415493,0.03351176269149296,0.27421875,0.32140833333333335,0.29123333333333334,0.27936666666666665,0.36893333333333,0.33856250000000004,0.37867708333333333,26.325,38.569,34.948,33.524,35.41759999999968,32.502,36.353,0.15942589125556605,0.2139926762209176,0.16961561750935916,0.19542210007795832,0.4820038068569162,0.31154085015578525,0.3384864918331436,0.30576739130434727,0.3586197916666667,168.7835999999997,68.855,0.2644040616014948,0.32506275869922424,0.3194067204301071,237.63859999999968,0.28203315619444125,237.63859999999968,237.63859999999968,51.64959999999969,50.660000000000004,51.237,55.768,28.324
FMB,0.19379704301075268,0.2690936993857677,0.023,3.138,0.045,0.0975,0.239,144.185,0.19379704301075265,4.651129032258065,0.06566666666666666,0.06887096774193548,0.0671875,0.12264516129032259,0.08729032258064516,0.059483870967741936,0.07112903225806452,0.10503225806451612,0.2279032258064516,0.2536451612903226,0.2498064516129032,0.2155483870967742,0.5903225806451613,0.3433225806451613,0.172,0.18329032258064518,0.2896774193548387,0.2091290322580645,0.21651612903225806,0.2232258064516129,0.27325806451612905,0.2584516129032258,0.1940967741935484,0.10358064516129031,1.97,2.135,2.15,3.802,2.706,1.844,2.205,3.256,7.0649999999999995,7.863,7.744,6.682,18.3,10.643,5.332,5.682,8.98,6.483,6.712,6.92,8.471,8.012,6.017,3.211,1.97,2.135,2.15,3.802,2.706,1.844,2.205,3.256,7.0649999999999995,7.863,7.744,6.682,18.3,10.643,5.332,5.682,8.98,6.483,6.712,6.92,8.471,8.012,6.017,3.211,0.16442741935483873,0.2923817204301075,0.23463709677419356,0.20734677419354838,0.07852408154121863,20.389,54.383,29.095,25.711,14.606999999999998,0.08430187877431955,0.20002322827244567,0.03684697724412173,0.10562834776842966,0.0184355595803051,0.26719791666666665,0.16943333333333335,0.17345,0.16354166666666667,0.182625,0.19339583333333332,0.22567708333333333,25.651,20.332,20.814,19.625,17.532,18.566,21.665,0.43913905290361915,0.2396729120320124,0.21465065814484896,0.19646129457505476,0.20679556393491105,0.2277165125495279,0.3030291108055694,0.18832246376811593,0.20953645833333334,103.954,40.231,0.2695624558557552,0.26781799853486954,0.19379704301075268,144.185,0.26909369938576755,144.185,144.185,24.601,28.033,36.007,29.915,25.628999999999998
GPC,0.16915322580645162,0.20739110889524545,0.026,1.688,0.06275,0.093,0.179,125.85,0.16915322580645162,4.059677419354839,0.06810000000000001,0.0757741935483871,0.0810625,0.10480645161290322,0.08474193548387096,0.11032258064516129,0.32490322580645165,0.3182258064516129,0.19406451612903225,0.1452258064516129,0.10438709677419356,0.13145161290322582,0.18119354838709678,0.2928709677419355,0.2516451612903226,0.22080645161290322,0.13516129032258062,0.146741935483871,0.18877419354838706,0.360483870967742,0.24451612903225806,0.13093548387096773,0.09080645161290322,0.07225806451612904,2.043,2.349,2.594,3.249,2.627,3.42,10.072000000000001,9.865,6.016,4.502,3.236,4.075,5.617,9.079,7.801,6.845,4.1899999999999995,4.549,5.851999999999999,11.175,7.58,4.059,2.815,2.24,2.043,2.349,2.594,3.249,2.627,3.42,10.072000000000001,9.865,6.016,4.502,3.236,4.075,5.617,9.079,7.801,6.845,4.1899999999999995,4.549,5.851999999999999,11.175,7.58,4.059,2.815,2.24,0.2456048387096774,0.19705913978494624,0.20779032258064517,0.13462903225806452,0.0874679435483871,30.455000000000002,36.653,25.766000000000002,16.694,16.282000000000004,0.06577428845386453,0.06336134854057403,0.10834698182358615,0.056960699697074416,0.0399206494355639,0.14261458333333335,0.17902500000000002,0.17458333333333334,0.18398333333333333,0.16210416666666666,0.14463541666666666,0.18959375,13.691,21.483,20.95,22.078,15.562,13.885,18.201,0.16944288712015632,0.20969768004631498,0.20789006400375318,0.24331837508223883,0.18944981166617947,0.18001445086972834,0.23189546547506001,0.1698623188405797,0.16711458333333332,93.764,32.086,0.20727233606990686,0.20826115651990584,0.16915322580645162,125.85,0.20739110889524537,125.85,125.85,24.078,25.419,29.168,31.058,16.127
JACL,0.1044005376344086,0.07921647462278354,0.036,1.281,0.06375,0.094,0.129,77.67399999999999,0.10440053763440861,2.5056129032258063,0.10023333333333334,0.0846774193548387,0.07440625000000001,0.07500000000000001,0.07761290322580645,0.07470967741935483,0.07396774193548387,0.08829032258064516,0.09648387096774194,0.09593548387096774,0.11751612903225805,0.09632258064516129,0.12209677419354839,0.23783870967741932,0.12912903225806452,0.10045161290322581,0.10580645161290324,0.09758064516129032,0.08941935483870969,0.09212903225806451,0.11387096774193549,0.11948387096774195,0.12564516129032258,0.11783870967741936,3.007,2.625,2.3810000000000002,2.325,2.406,2.316,2.293,2.737,2.991,2.974,3.643,2.986,3.785,7.372999999999999,4.003,3.114,3.2800000000000002,3.025,2.7720000000000002,2.856,3.5300000000000002,3.704,3.895,3.653,3.007,2.625,2.3810000000000002,2.325,2.406,2.316,2.293,2.737,2.991,2.974,3.643,2.986,3.785,7.372999999999999,4.003,3.114,3.2800000000000002,3.025,2.7720000000000002,2.856,3.5300000000000002,3.704,3.895,3.653,0.08866935483870968,0.13389247311827956,0.09623387096774194,0.11920967741935484,0.08110659722222223,10.995000000000001,24.904,11.933,14.782,15.060000000000002,0.007062906430492449,0.0778943288022976,0.001116626681351821,0.011696419205560669,0.000989672080364678,0.10194791666666668,0.102825,0.1012,0.10250833333333334,0.09961458333333334,0.12063541666666666,0.10373958333333333,9.787,12.339,12.144,12.301,9.563,11.581,9.959,0.04776507638358621,0.08780753040006298,0.04739864906063368,0.0517755329506605,0.05615642997193627,0.14016795337561566,0.08860144287665161,0.10169202898550725,0.1121875,56.134,21.54,0.06056113356134522,0.11725354569929898,0.10440053763440861,77.674,0.07921647462278353,77.674,77.674,14.844,18.219,16.183,18.093,10.335
JALG,0.27504435483870965,0.2659720371470135,0.055,1.633,0.083,0.1755,0.348,204.63299999999998,0.27504435483870965,6.601064516129033,0.0926,0.0855483870967742,0.08928125,0.08790322580645162,0.09129032258064516,0.1006774193548387,0.20919354838709678,0.23074193548387098,0.2277741935483871,0.23409677419354838,0.24487096774193548,0.384258064516129,0.632,0.6158709677419354,0.43883870967741934,0.3038064516129032,0.34358064516129033,0.24883870967741936,0.23187096774193547,0.46822580645161294,0.44122580645161286,0.3979354838709678,0.24838709677419354,0.15235483870967742,2.778,2.652,2.857,2.725,2.83,3.121,6.485,7.1530000000000005,7.061,7.257,7.591,11.911999999999999,19.592,19.092,13.604,9.418,10.651,7.714,7.188,14.515,13.677999999999999,12.336,7.7,4.723,2.778,2.652,2.857,2.725,2.83,3.121,6.485,7.1530000000000005,7.061,7.257,7.591,11.911999999999999,19.592,19.092,13.604,9.418,10.651,7.714,7.188,14.515,13.677999999999999,12.336,7.7,4.723,0.2254516129032258,0.43660752688172044,0.32312903225806455,0.3099758064516129,0.09121676747311828,27.956000000000003,81.209,40.068,38.437,16.962999999999997,0.047685002545987606,0.1264612558628465,0.1021006064047945,0.06618825911252724,0.003672213763677246,0.27925,0.298,0.27085000000000004,0.2662666666666667,0.28748958333333335,0.23565625,0.28530208333333335,26.808,35.76,32.502,31.952,27.599,22.623,27.389,0.2408519527799074,0.30458176311159546,0.254275198300165,0.27349176115080126,0.29418808859180245,0.2310588819065278,0.24859847650766048,0.2801105072463768,0.26047916666666665,154.621,50.012,0.2742568121638076,0.2406502960910831,0.2750443548387097,204.633,0.26597203714701334,204.633,204.633,35.486,44.242,44.282000000000004,50.575,30.048000000000002
JLG,0.11828897849462366,0.12960900342182843,0.035,1.34,0.052,0.0795,0.141,88.007,0.11828897849462365,2.8389354838709684,0.067,0.053870967741935484,0.051125,0.051258064516129034,0.04919354838709677,0.05235483870967742,0.05506451612903226,0.0607741935483871,0.14609677419354838,0.14612903225806453,0.14638709677419356,0.15554838709677418,0.16816129032258065,0.1420967741935484,0.15538709677419354,0.15561290322580645,0.11929032258064516,0.12570967741935482,0.1280967741935484,0.18003225806451612,0.20580645161290323,0.18180645161290324,0.1376451612903226,0.105,2.0100000000000002,1.67,1.636,1.589,1.525,1.623,1.707,1.884,4.529,4.53,4.538,4.822,5.213,4.405,4.817,4.824,3.698,3.897,3.971,5.5809999999999995,6.38,5.636,4.267,3.255,2.0100000000000002,1.67,1.636,1.589,1.525,1.623,1.707,1.884,4.529,4.53,4.538,4.822,5.213,4.405,4.817,4.824,3.698,3.897,3.971,5.5809999999999995,6.38,5.636,4.267,3.255,0.10201612903225807,0.15386559139784947,0.1382822580645161,0.15756451612903224,0.054133736559139785,12.650000000000002,28.619,17.147,19.538,10.052999999999999,0.08278431981631006,0.06606140334015162,0.03463043832567741,0.07230015107877964,0.007735911996873455,0.10345833333333333,0.129525,0.12403333333333334,0.13741666666666666,0.09669791666666666,0.12145833333333333,0.10640625,9.932,15.543,14.884,16.49,9.283,11.66,10.215,0.06663647123194336,0.1137210181012428,0.10852672159297863,0.1751981151491669,0.10486413463361124,0.17146931084425432,0.12502745619515568,0.11980434782608697,0.11393229166666667,66.132,21.875,0.12189745228668264,0.14985273957828965,0.11828897849462366,88.007,0.12960900342182843,88.007,88.007,18.53,13.539,25.721,17.629,12.588
JMM,0.23474731182795702,0.24685958785630818,0.07,2.097,0.115,0.1745,0.24625,174.65200000000002,0.23474731182795697,5.6339354838709665,0.12103333333333334,0.11170967741935484,0.11059375,0.10990322580645161,0.10948387096774194,0.11080645161290323,0.1472258064516129,0.21474193548387097,0.18545161290322582,0.19674193548387098,0.23603225806451614,0.436,0.4134516129032258,0.4447741935483871,0.27616129032258063,0.22293548387096773,0.23193548387096777,0.2678387096774194,0.3351612903225807,0.2870322580645161,0.38183870967741934,0.28345161290322585,0.23593548387096774,0.16403225806451613,3.6310000000000002,3.463,3.539,3.407,3.394,3.435,4.564,6.657,5.7490000000000006,6.099,7.317,13.516,12.817,13.788,8.561,6.911,7.19,8.303,10.39,8.898,11.837,8.787,7.314,5.085,3.6310000000000002,3.463,3.539,3.407,3.394,3.435,4.564,6.657,5.7490000000000006,6.099,7.317,13.516,12.817,13.788,8.561,6.911,7.19,8.303,10.39,8.898,11.837,8.787,7.314,5.085,0.18604032258064515,0.3382258064516129,0.28049193548387097,0.2663145161290323,0.1122550515232975,23.069,62.910000000000004,34.781000000000006,33.023,20.869,0.0452363448511465,0.16874391841040895,0.09846305633149283,0.13610042143620515,0.007697300841912448,0.20522916666666666,0.27775,0.23579166666666665,0.20870833333333336,0.22595833333333334,0.2646979166666667,0.22059375,19.701999999999998,33.33,28.294999999999998,25.045,21.692,25.411,21.177,0.15981973260465854,0.2855979206312741,0.23520428795587273,0.20948738538598058,0.22115224175912782,0.329961628384484,0.24816283186331728,0.23199999999999998,0.24264583333333334,128.064,46.588,0.2293168343718266,0.292014289228178,0.23474731182795697,174.652,0.24685958785630807,174.652,174.652,29.522,40.599,34.601,42.796,27.134
