archivo,media_consumo,std_consumo,min_consumo,max_consumo,percentil_25_consumo,percentil_50_consumo,percentil_75_consumo,sum_consumo,promedio_por_dia,consumo_medio_diario,consumo_00,consumo_01,consumo_02,consumo_03,consumo_04,consumo_05,consumo_06,consumo_07,consumo_08,consumo_09,consumo_10,consumo_11,consumo_12,consumo_13,consumo_14,consumo_15,consumo_16,consumo_17,consumo_18,consumo_19,consumo_20,consumo_21,consumo_22,consumo_23,consumo_00_suma,consumo_01_suma,consumo_02_suma,consumo_03_suma,consumo_04_suma,consumo_05_suma,consumo_06_suma,consumo_07_suma,consumo_08_suma,consumo_09_suma,consumo_10_suma,consumo_11_suma,consumo_12_suma,consumo_13_suma,consumo_14_suma,consumo_15_suma,consumo_16_suma,consumo_17_suma,consumo_18_suma,consumo_19_suma,consumo_20_suma,consumo_21_suma,consumo_22_suma,consumo_23_suma,consumo_00_std,consumo_01_std,consumo_02_std,consumo_03_std,consumo_04_std,consumo_05_std,consumo_06_std,consumo_07_std,consumo_08_std,consumo_09_std,consumo_10_std,consumo_11_std,consumo_12_std,consumo_13_std,consumo_14_std,consumo_15_std,consumo_16_std,consumo_17_std,consumo_18_std,consumo_19_std,consumo_20_std,consumo_21_std,consumo_22_std,consumo_23_std,Mañana,Mediodia,Tarde,Noche,Madrugada,s_Mañana,s_Mediodia,s_Tarde,s_Noche,s_Madrugada,std_Mañana,std_Mediodia,std_Tarde,std_Noche,std_Madrugada,Lunes,Martes,Miércoles,Jueves,Viernes,Sábado,Domingo,s_Lunes,s_Martes,s_Miércoles,s_Jueves,s_Viernes,s_Sábado,s_Domingo,std_Lunes,std_Martes,std_Miércoles,std_Jueves,std_Viernes,std_Sábado,std_Domingo,Entre semana,Fin de semana,s_Entre semana,s_Fin de semana,std_Entre semana,std_Fin de semana,invierno,s_invierno,std_invierno,2024-12,Diciembre,2024-11-25/2024-12-01,2024-12-02/2024-12-08,2024-12-09/2024-12-15,2024-12-16/2024-12-22,2024-12-23/2024-12-29,2024-12-30/2025-01-05
ABLD,0.23889919354838707,0.25478291353152505,0.039,1.855,0.06775,0.144,0.277,177.74099999999999,0.23889919354838712,5.73358064516129,0.12309677419354838,0.08183870967741935,0.06899999999999999,0.0644516129032258,0.07051612903225807,0.08241935483870969,0.15616129032258066,0.18696774193548388,0.2870322580645161,0.1790967741935484,0.255,0.19974193548387098,0.19261290322580646,0.27906451612903227,0.5919677419354838,0.3808387096774194,0.2904193548387097,0.24603225806451612,0.22780645161290322,0.32964516129032256,0.4958387096774194,0.4301290322580645,0.31116129032258066,0.20274193548387098,3.816,2.537,2.139,1.998,2.186,2.555,4.841,5.796,8.898,5.5520000000000005,7.905,6.192,5.971,8.651,18.351,11.806000000000001,9.003,7.627,7.062,10.219,15.371,13.334,9.646,6.285,3.816,2.537,2.139,1.998,2.186,2.555,4.841,5.796,8.898,5.5520000000000005,7.905,6.192,5.971,8.651,18.351,11.806000000000001,9.003,7.627,7.062,10.219,15.371,13.334,9.646,6.285,0.20231451612903226,0.31653763440860216,0.2734758064516129,0.35996774193548386,0.08188709677419355,25.087,58.876000000000005,33.911,44.635999999999996,15.230999999999998,0.0645613860085974,0.09044354170782046,0.06513340416581476,0.10770016579518732,0.020246763961911864,0.2728083333333334,0.24021666666666666,0.21022916666666666,0.275125,0.26907291666666666,0.20057291666666666,0.20415,32.737,28.826,20.182,26.412,25.831,19.255,24.498,0.27011626179842485,0.2423957519434367,0.21680762654903207,0.3248408274184369,0.2771367226627421,0.219360589695149,0.21464473873250708,0.2537651515151515,0.20256018518518518,133.988,43.753,0.26772931216011875,0.21625356797801362,0.23889919354838712,177.741,0.25478291353152516,177.741,177.741,2.682,41.574,36.549,40.015,40.86,16.061
AJVG,0.3780080645161291,0.5398963062192558,0.027,3.444,0.044,0.0735,0.5985,281.23800000000006,0.37800806451612906,9.072193548387096,0.12000000000000001,0.1152258064516129,0.08025806451612903,0.06725806451612903,0.07661290322580645,0.07258064516129033,0.3373548387096774,0.6448064516129033,0.40506451612903227,0.1811290322580645,0.2814516129032258,0.3275483870967742,0.3150322580645161,0.30412903225806454,0.4714516129032258,0.34419354838709676,0.29616129032258065,0.3309354838709678,0.4200645161290323,0.6975806451612904,0.9111612903225808,0.9906129032258064,0.8092903225806451,0.4722903225806452,3.72,3.572,2.488,2.085,2.375,2.25,10.458,19.989,12.557,5.615,8.725,10.154,9.766,9.428,14.615,10.67,9.181000000000001,10.259,13.022,21.625,28.246000000000002,30.709,25.088,14.641,3.72,3.572,2.488,2.085,2.375,2.25,10.458,19.989,12.557,5.615,8.725,10.154,9.766,9.428,14.615,10.67,9.181000000000001,10.259,13.022,21.625,28.246000000000002,30.709,25.088,14.641,0.3920887096774194,0.3406344086021505,0.4361854838709678,0.7958387096774193,0.08865591397849464,48.61900000000001,63.358,54.087,98.68400000000001,16.49,0.1480987817210521,0.10366401738351685,0.17866371232851758,0.20830138637503604,0.029716546328155503,0.38486666666666663,0.44608333333333333,0.4709375,0.3753958333333333,0.3066770833333333,0.3487291666666667,0.31130833333333335,46.184,53.53,45.21,36.038,29.441,33.478,37.357,0.5916902285914852,0.5929393323272866,0.6416732044551879,0.47983603513495643,0.559449118043656,0.46291146087997764,0.40481160253063075,0.3984905303030303,0.32793981481481477,210.403,70.835,0.5777004764732028,0.43096846168315733,0.378008064516129,281.238,0.5398963062192562,281.238,281.238,9.935,48.711,82.111,83.615,53.566,3.3
ATF,0.14566801075268818,0.19873138366017695,0.049,2.233,0.06,0.099,0.13625,108.37700000000001,0.14566801075268818,3.496032258064517,0.11283870967741937,0.0803225806451613,0.08038709677419355,0.0814516129032258,0.08090322580645161,0.08503225806451613,0.08832258064516128,0.12309677419354838,0.1251935483870968,0.11674193548387098,0.11748387096774193,0.15616129032258066,0.23787096774193547,0.2678709677419355,0.2914193548387097,0.23890322580645162,0.1749032258064516,0.16022580645161288,0.18,0.15180645161290324,0.12538709677419355,0.18035483870967742,0.11745161290322581,0.1219032258064516,3.498,2.49,2.492,2.525,2.508,2.636,2.738,3.816,3.8810000000000002,3.619,3.642,4.841,7.374,8.304,9.034,7.406000000000001,5.422,4.967,5.58,4.706,3.887,5.591,3.641,3.779,3.498,2.49,2.492,2.525,2.508,2.636,2.738,3.816,3.8810000000000002,3.619,3.642,4.841,7.374,8.304,9.034,7.406000000000001,5.422,4.967,5.58,4.706,3.887,5.591,3.641,3.779,0.11333870967741935,0.21828494623655914,0.1667338709677419,0.1362741935483871,0.08682258064516128,14.054,40.601,20.675,16.898,16.149,0.03680567682896518,0.14636306448979272,0.027633224265015594,0.12018794866427143,0.049345866912540885,0.13779166666666667,0.20103333333333331,0.22783333333333333,0.13564583333333333,0.0999375,0.12089583333333333,0.09686666666666667,16.535,24.124,21.872,13.022,9.594,11.606,11.624,0.12443707841553432,0.2970902285864828,0.3623569239725898,0.12998477474945544,0.050008380876556444,0.08707824420620278,0.0567284454802936,0.16126325757575757,0.10754629629629629,85.147,23.23,0.2295434889000098,0.07262837990492506,0.14566801075268818,108.377,0.19873138366017698,108.377,108.377,3.082,17.064,23.513,17.243,37.309,10.166
FJAG,0.3597973118279547,0.40190366213825257,0.083,4.384,0.148,0.231,0.41874999999999996,267.6891999999983,0.35979731182795466,8.635135483870913,0.19054838709677419,0.14829032258064517,0.129,0.12764516129032258,0.12648387096774194,0.13280645161290322,0.23641935483870966,0.2080322580645161,0.32997419354838375,0.3529774193548337,0.32730322580644483,0.4262709677419287,0.7523677419354771,0.49108387096773176,0.5089451612903175,0.3242322580645127,0.34029677419354504,0.4391032258064482,0.660258064516129,0.5994516129032258,0.5489999999999999,0.46648387096774196,0.453741935483871,0.3144193548387097,5.907,4.597,3.999,3.957,3.9210000000000003,4.117,7.329,6.449,10.229199999999896,10.942299999999843,10.14639999999979,13.21439999999979,23.32339999999979,15.223599999999685,15.777299999999844,10.051199999999895,10.549199999999896,13.612199999999895,20.468,18.583,17.019,14.461,14.066,9.747,5.907,4.597,3.999,3.957,3.9210000000000003,4.117,7.329,6.449,10.229199999999896,10.942299999999843,10.14639999999979,13.21439999999979,23.32339999999979,15.223599999999685,15.777299999999844,10.051199999999895,10.549199999999896,13.612199999999895,20.468,18.583,17.019,14.461,14.066,9.747,0.2818508064516108,0.47170053763440206,0.509777419354837,0.44591129032258064,0.14246236559139783,34.94949999999974,87.73629999999879,63.21239999999979,55.293,26.498,0.2788117080056021,0.2902631265194624,0.20502683838127497,0.060403060987040576,0.05501815009688934,0.31940416666666455,0.3515166666666667,0.39974479166666393,0.31695833333333334,0.49334999999999124,0.292125,0.3580799999999974,38.32849999999974,42.182,38.37549999999974,30.428,47.36159999999916,28.044,42.96959999999969,0.41834308472486287,0.2748695942397686,0.4275072618330072,0.22690846365262135,0.703708583524682,0.24797738649023282,0.3224291999934287,0.3724916666666641,0.3287666666666652,196.67559999999864,71.01359999999968,0.43837726775778363,0.29290150658222797,0.3597973118279547,267.6891999999983,0.4019036621382525,267.6891999999983,267.6891999999983,5.407,65.49589999999952,69.14359999999917,57.057699999999635,55.857,14.728
FMB,0.26650268817204303,0.3884494559197357,0.024,2.683,0.048,0.1335,0.26025,198.27800000000002,0.266502688172043,6.396064516129033,0.1065483870967742,0.09064516129032259,0.10429032258064516,0.0795483870967742,0.07316129032258065,0.05054838709677419,0.12396774193548386,0.10993548387096774,0.19858064516129031,0.2305483870967742,0.33738709677419354,0.3676774193548387,0.6027419354838709,0.6288709677419355,0.30148387096774193,0.2868709677419355,0.37132258064516127,0.41893548387096774,0.35277419354838707,0.4692903225806452,0.40254838709677415,0.2505483870967742,0.2364516129032258,0.20138709677419356,3.303,2.81,3.233,2.466,2.2680000000000002,1.567,3.843,3.408,6.156,7.147,10.459,11.398,18.685,19.495,9.346,8.893,11.511,12.987,10.936,14.548,12.479,7.767,7.33,6.243,3.303,2.81,3.233,2.466,2.2680000000000002,1.567,3.843,3.408,6.156,7.147,10.459,11.398,18.685,19.495,9.346,8.893,11.511,12.987,10.936,14.548,12.479,7.767,7.33,6.243,0.16575806451612904,0.4208387096774194,0.4030806451612903,0.27273387096774193,0.08412365591397851,20.554000000000002,78.27600000000001,49.982,33.819,15.647000000000002,0.10825773374900484,0.12414037890444173,0.05072448760443241,0.065727550834455,0.025491522332382985,0.39466666666666667,0.26845833333333335,0.17600000000000002,0.17589583333333333,0.20590624999999999,0.26521875,0.330775,47.36,32.215,16.896,16.886,19.767,25.461,39.693,0.4878514950602212,0.36110576899373986,0.15684353584653118,0.1915598836789366,0.2599396317821748,0.4107392617201588,0.5470372986300267,0.2521287878787879,0.30163888888888885,133.124,65.154,0.33705572274077183,0.49116413130029046,0.266502688172043,198.278,0.3884494559197356,198.278,198.278,3.815,34.979,31.63,30.624,63.862,33.368
GPC,0.20446505376344087,0.25677249041184025,0.026,1.691,0.066,0.104,0.20825,152.122,0.20446505376344087,4.9071612903225805,0.09867741935483872,0.07574193548387097,0.07383870967741936,0.057451612903225806,0.06738709677419355,0.06583870967741935,0.08612903225806451,0.25958064516129037,0.22180645161290322,0.24435483870967742,0.2388709677419355,0.21896774193548388,0.18641935483870967,0.3290967741935484,0.4160645161290322,0.29232258064516126,0.19248387096774192,0.1908709677419355,0.2464516129032258,0.3309032258064516,0.4154838709677419,0.27841935483870967,0.19696774193548386,0.12303225806451613,3.059,2.348,2.289,1.781,2.089,2.041,2.67,8.047,6.8759999999999994,7.575,7.405,6.788,5.779,10.202,12.898,9.062,5.967,5.917,7.64,10.258,12.879999999999999,8.631,6.106,3.814,3.059,2.348,2.289,1.781,2.089,2.041,2.67,8.047,6.8759999999999994,7.575,7.405,6.788,5.779,10.202,12.898,9.062,5.967,5.917,7.64,10.258,12.879999999999999,8.631,6.106,3.814,0.2029677419354839,0.2802903225806451,0.2401774193548387,0.2534758064516129,0.07315591397849462,25.168,52.134,29.782,31.430999999999997,13.607000000000001,0.10871935085164593,0.05297977689428161,0.07224493319594215,0.07422701207828693,0.030910619170494202,0.20561666666666667,0.21660000000000001,0.22088541666666664,0.14784375,0.211125,0.18989583333333335,0.22966666666666669,24.674,25.992,21.205,14.193,20.268,18.23,27.560000000000002,0.23009257118935109,0.30997477262491147,0.2402964778326389,0.1841292639839283,0.25877270050435347,0.21660171934811917,0.30782624514306695,0.2013863636363636,0.21199074074074073,106.332,45.79,0.25081586486497653,0.27123738835953265,0.20446505376344087,152.122,0.2567724904118402,152.122,152.122,7.199,31.567,34.157000000000004,31.592,33.618,13.989
JACL,0.11468817204301075,0.08536308058012654,0.036,0.864,0.07,0.097,0.1325,85.328,0.11468817204301078,2.752516129032258,0.13116129032258064,0.10680645161290322,0.07070967741935484,0.07935483870967742,0.08167741935483872,0.07377419354838709,0.07803225806451614,0.07551612903225807,0.09703225806451612,0.11093548387096774,0.11945161290322581,0.09919354838709676,0.1373548387096774,0.1132258064516129,0.3003225806451613,0.15538709677419354,0.10858064516129033,0.11351612903225806,0.10380645161290322,0.0954516129032258,0.10958064516129033,0.13819354838709677,0.12332258064516129,0.13012903225806452,4.066,3.311,2.192,2.46,2.532,2.287,2.419,2.341,3.008,3.439,3.7030000000000003,3.0749999999999997,4.258,3.51,9.31,4.817,3.366,3.519,3.218,2.959,3.3970000000000002,4.284,3.823,4.034,4.066,3.311,2.192,2.46,2.532,2.287,2.419,2.341,3.008,3.439,3.7030000000000003,3.0749999999999997,4.258,3.51,9.31,4.817,3.366,3.519,3.218,2.959,3.3970000000000002,4.284,3.823,4.034,0.09037903225806451,0.15415591397849462,0.10533870967741935,0.1253064516129032,0.09058064516129033,11.207,28.673000000000002,13.062,15.538,16.848,0.03345462009172078,0.051379160689818494,0.003084806671805009,0.02603719360727902,0.006181684082057598,0.11808333333333333,0.11159166666666667,0.11583333333333333,0.10213541666666666,0.11470833333333334,0.122,0.11765,14.17,13.391,11.12,9.805,11.012,11.712,14.118,0.08487881458447749,0.07289609225539076,0.07985930610723978,0.049985391506269995,0.09773260153863074,0.11200253756523836,0.08972990751427869,0.11268560606060606,0.11958333333333335,59.498,25.830000000000002,0.07860228003179974,0.1000201491328529,0.11468817204301075,85.328,0.08536308058012652,85.328,85.328,2.944,19.506,19.542,18.839,18.86,5.6370000000000005
JALG,0.31666263440860215,0.2589430070823943,0.053,1.67,0.135,0.225,0.414,235.597,0.3166626344086022,7.599903225806452,0.16141935483870967,0.12535483870967742,0.1234516129032258,0.11303225806451613,0.12435483870967742,0.09867741935483872,0.12232258064516129,0.16064516129032255,0.24703225806451615,0.30196774193548387,0.3748709677419355,0.4127096774193549,0.4219032258064516,0.5834516129032258,0.5305483870967742,0.458258064516129,0.42512903225806453,0.4220967741935484,0.3937741935483871,0.3990322580645161,0.5346774193548387,0.5198709677419354,0.3011935483870968,0.2441290322580645,5.004,3.886,3.827,3.504,3.855,3.059,3.792,4.9799999999999995,7.658,9.361,11.621,12.794,13.079,18.087,16.447,14.206,13.179,13.085,12.207,12.37,16.575,16.116,9.337,7.568,5.004,3.886,3.827,3.504,3.855,3.059,3.792,4.9799999999999995,7.658,9.361,11.621,12.794,13.079,18.087,16.447,14.206,13.179,13.085,12.207,12.37,16.575,16.116,9.337,7.568,0.20799193548387096,0.4636236559139785,0.41000806451612903,0.39996774193548384,0.12438172043010753,25.791,86.23400000000001,50.841,49.596000000000004,23.135,0.09989915461601011,0.07747551757410945,0.04838343587451816,0.08845231543138957,0.007963495057236146,0.3216583333333334,0.3055333333333333,0.33,0.2918854166666667,0.32645833333333335,0.2774166666666667,0.35550833333333337,38.599000000000004,36.664,31.68,28.021,31.34,26.632,42.661,0.24614529069566343,0.25401974823426077,0.2568246176100071,0.22432147372590394,0.2839930657665936,0.2572186727553719,0.282618696587937,0.31496969696969696,0.32080092592592596,166.304,69.293,0.25287167214111783,0.27378064925431717,0.31666263440860215,235.597,0.2589430070823944,235.597,235.597,7.946,55.422,53.077,53.382,49.346000000000004,16.424
JLG,0.15069086021505376,0.1869804867351581,0.039,2.256,0.052,0.1035,0.16025,112.114,0.15069086021505376,3.61658064516129,0.1026774193548387,0.05783870967741935,0.05129032258064516,0.05319354838709677,0.051,0.05090322580645162,0.04854838709677419,0.04796774193548387,0.07429032258064516,0.17251612903225805,0.21409677419354836,0.24070967741935484,0.16429032258064516,0.22070967741935485,0.22361290322580646,0.2578064516129032,0.1921290322580645,0.15703225806451615,0.16796774193548386,0.17780645161290323,0.24403225806451612,0.22412903225806452,0.2387741935483871,0.18325806451612903,3.183,1.793,1.59,1.649,1.581,1.578,1.505,1.487,2.303,5.348,6.637,7.462,5.093,6.8420000000000005,6.932,7.992,5.9559999999999995,4.868,5.207,5.5120000000000005,7.5649999999999995,6.948,7.402,5.681,3.183,1.793,1.59,1.649,1.581,1.578,1.505,1.487,2.303,5.348,6.637,7.462,5.093,6.8420000000000005,6.932,7.992,5.9559999999999995,4.868,5.207,5.5120000000000005,7.5649999999999995,6.948,7.402,5.681,0.08583064516129033,0.2202043010752688,0.17373387096774193,0.2225483870967742,0.06115053763440861,10.643,40.958,21.543,27.596,11.373999999999999,0.09180911998334995,0.06886430378459829,0.045082587471232734,0.12871349848525307,0.008590580209882044,0.1416,0.14273333333333332,0.19407291666666668,0.14296875,0.13941666666666666,0.16229166666666667,0.13895,16.992,17.128,18.631,13.725,13.384,15.58,16.674,0.16323970105338959,0.154034195337702,0.22406363028538714,0.1475810181151178,0.16270837112787936,0.2870074973041156,0.14659885528116479,0.15125,0.14932407407407405,79.86,32.254,0.17185227648648232,0.22006317607508752,0.15069086021505376,112.114,0.18698048673515813,112.114,112.114,3.48,22.401,21.229,24.477,32.835,7.692
JMM,0.2910483870967742,0.25323530319860527,0.064,1.856,0.142,0.2165,0.33075,216.54000000000002,0.29104838709677416,6.985161290322581,0.21951612903225806,0.18193548387096772,0.16054838709677421,0.14387096774193547,0.12174193548387097,0.13393548387096774,0.12635483870967743,0.15529032258064515,0.20835483870967741,0.24061290322580645,0.2709677419354839,0.3707096774193548,0.4492258064516129,0.7669032258064516,0.41058064516129034,0.28316129032258064,0.3215806451612903,0.3568387096774193,0.4726774193548387,0.3651290322580645,0.3426451612903226,0.31329032258064515,0.2931612903225807,0.2761290322580645,6.805,5.64,4.977,4.46,3.774,4.152,3.9170000000000003,4.814,6.459,7.459,8.4,11.491999999999999,13.926,23.774,12.728,8.778,9.969,11.062,14.653,11.318999999999999,10.622,9.712,9.088000000000001,8.56,6.805,5.64,4.977,4.46,3.774,4.152,3.9170000000000003,4.814,6.459,7.459,8.4,11.491999999999999,13.926,23.774,12.728,8.778,9.969,11.062,14.653,11.318999999999999,10.622,9.712,9.088000000000001,8.56,0.1826532258064516,0.4252580645161291,0.3790564516129032,0.3063064516129032,0.16025806451612903,22.649,79.098,47.003,37.982,29.808000000000003,0.03238190873627782,0.09231649270600348,0.06085776035058451,0.07054169496284456,0.02081543724227037,0.33426666666666666,0.344275,0.2341875,0.27109374999999997,0.27015625,0.27386458333333336,0.28651666666666664,40.112,41.313,22.482,26.025,25.935,26.291,34.382,0.2860498203458411,0.2924193191177309,0.17299408645201836,0.23487049413061203,0.24904729325233746,0.25178832462341594,0.23817111225227253,0.2952026515151515,0.2808935185185185,155.867,60.673,0.2570973106931142,0.24382245304515698,0.29104838709677416,216.54,0.2532353031986051,216.54,216.54,4.263,46.589,46.89,46.718,51.626,20.454
