archivo,media_consumo,std_consumo,min_consumo,max_consumo,percentil_25_consumo,percentil_50_consumo,percentil_75_consumo,sum_consumo,promedio_por_dia,consumo_medio_diario,consumo_00,consumo_01,consumo_02,consumo_03,consumo_04,consumo_05,consumo_06,consumo_07,consumo_08,consumo_09,consumo_10,consumo_11,consumo_12,consumo_13,consumo_14,consumo_15,consumo_16,consumo_17,consumo_18,consumo_19,consumo_20,consumo_21,consumo_22,consumo_23,consumo_00_suma,consumo_01_suma,consumo_02_suma,consumo_03_suma,consumo_04_suma,consumo_05_suma,consumo_06_suma,consumo_07_suma,consumo_08_suma,consumo_09_suma,consumo_10_suma,consumo_11_suma,consumo_12_suma,consumo_13_suma,consumo_14_suma,consumo_15_suma,consumo_16_suma,consumo_17_suma,consumo_18_suma,consumo_19_suma,consumo_20_suma,consumo_21_suma,consumo_22_suma,consumo_23_suma,consumo_00_std,consumo_01_std,consumo_02_std,consumo_03_std,consumo_04_std,consumo_05_std,consumo_06_std,consumo_07_std,consumo_08_std,consumo_09_std,consumo_10_std,consumo_11_std,consumo_12_std,consumo_13_std,consumo_14_std,consumo_15_std,consumo_16_std,consumo_17_std,consumo_18_std,consumo_19_std,consumo_20_std,consumo_21_std,consumo_22_std,consumo_23_std,Mañana,Mediodia,Tarde,Noche,Madrugada,s_Mañana,s_Mediodia,s_Tarde,s_Noche,s_Madrugada,std_Mañana,std_Mediodia,std_Tarde,std_Noche,std_Madrugada,Lunes,Martes,Miércoles,Jueves,Viernes,Sábado,Domingo,s_Lunes,s_Martes,s_Miércoles,s_Jueves,s_Viernes,s_Sábado,s_Domingo,std_Lunes,std_Martes,std_Miércoles,std_Jueves,std_Viernes,std_Sábado,std_Domingo,Entre semana,Fin de semana,s_Entre semana,s_Fin de semana,std_Entre semana,std_Fin de semana,invierno,s_invierno,std_invierno,2024-01,2025-01,Enero,2024-01-01/2024-01-07,2024-01-08/2024-01-14,2024-01-15/2024-01-21,2024-01-22/2024-01-28,2024-01-29/2024-02-04,2024-12-30/2025-01-05,2025-01-06/2025-01-12,2025-01-13/2025-01-19,2025-01-20/2025-01-26,2025-01-27/2025-02-02,2023-01,2022-12-26/2023-01-01,2023-01-02/2023-01-08,2023-01-09/2023-01-15,2023-01-16/2023-01-22,2023-01-23/2023-01-29,2023-01-30/2023-02-05
ABLD,0.2263393817204301,0.26619348633453493,0.031,1.87,0.061,0.103,0.263,336.793,0.2263393817204301,5.432145161290323,0.0972741935483871,0.07453225806451612,0.07341935483870968,0.07779032258064517,0.08024193548387096,0.07412903225806451,0.07930645161290323,0.19656451612903225,0.2653225806451613,0.14551612903225808,0.18543548387096773,0.22356451612903225,0.279741935483871,0.2645,0.4745645161290322,0.37556451612903224,0.25969354838709674,0.21225806451612902,0.23637096774193547,0.3050645161290323,0.5391612903225806,0.43401612903225806,0.2965322580645161,0.1815806451612903,6.031,4.6209999999999996,4.552,4.823,4.975,4.596,4.917,12.187,16.45,9.022,11.497,13.860999999999999,17.344,16.399,29.423,23.285,16.101,13.16,14.655,18.914,33.428,26.909,18.384999999999998,11.258,6.031,4.6209999999999996,4.552,4.823,4.975,4.596,4.917,12.187,16.45,9.022,11.497,13.860999999999999,17.344,16.399,29.423,23.285,16.101,13.16,14.655,18.914,33.428,26.909,18.384999999999998,11.258,0.1716774193548387,0.3005618279569892,0.25334677419354834,0.36282258064516126,0.07956451612903225,42.576,111.809,62.83,89.97999999999999,29.598000000000003,0.08437253847887133,0.060279365893165134,0.031583493276751994,0.10727695345412612,0.018239406929554648,0.24219444444444443,0.22429166666666667,0.271625,0.19118055555555558,0.19981944444444444,0.21296875,0.23695833333333335,52.314,48.447,65.19,41.295,43.161,40.89,45.496,0.2806750652410399,0.26049872226620535,0.29301461721146543,0.2072843677379632,0.26580162176289096,0.25653796359801356,0.28302864327570304,0.2268179347826087,0.22496354166666666,250.407,86.386,0.26497049632180875,0.270022644295497,0.2263393817204301,336.793,0.26619348633453493,159.62,177.173,336.793,39.397,36.528,34.567,36.674,12.454,15.696,45.087,42.622,44.445,29.323,,,,,,,
AJVG,0.37414336917562724,0.5565003730701277,0.018,3.691,0.04,0.079,0.48875,835.088,0.3741433691756273,8.979440860215055,0.1720752688172043,0.1399247311827957,0.08349462365591398,0.08294623655913978,0.07423655913978494,0.07331182795698925,0.22288172043010754,0.7995268817204301,0.47078494623655914,0.3038172043010753,0.2871720430107527,0.37676344086021507,0.32923655913978495,0.32121505376344084,0.4180430107526882,0.34383870967741936,0.268505376344086,0.29186021505376347,0.3982258064516129,0.7153440860215053,0.8181182795698924,0.8464623655913979,0.7540860215053763,0.38756989247311824,16.003,13.013,7.765,7.7139999999999995,6.904,6.8180000000000005,20.728,74.356,43.783,28.255,26.707,35.039,30.619,29.872999999999998,38.878,31.977,24.971,27.143,37.035,66.527,76.085,78.721,70.13,36.044,16.003,13.013,7.765,7.7139999999999995,6.904,6.8180000000000005,20.728,74.356,43.783,28.255,26.707,35.039,30.619,29.872999999999998,38.878,31.977,24.971,27.143,37.035,66.527,76.085,78.721,70.13,36.044,0.449252688172043,0.34604480286738354,0.4184838709677419,0.7015591397849461,0.10433154121863798,167.122,193.093,155.676,260.97999999999996,58.217,0.17599874798279933,0.11674251361285777,0.18922843881660517,0.19132989092810146,0.06905529429643446,0.442860119047619,0.4186815476190476,0.4029285714285714,0.324099358974359,0.2933717948717949,0.37480555555555556,0.35138141025641023,148.801,140.677,135.384,101.119,91.532,107.944,109.631,0.5731522535487804,0.6088362741600734,0.5701268104179598,0.4993978429370059,0.47890587678171226,0.5970648215093657,0.5412106400952827,0.3783780637254902,0.362625,617.513,217.575,0.5521970008378556,0.5683477130359451,0.37414336917562724,835.088,0.5565003730701279,326.48,270.417,835.088,75.024,94.44800000000001,81.017,44.014,31.977,11.879999999999999,60.889,85.392,59.866,52.39,238.191,6.362,13.277,53.761,95.214,44.675,24.902
ATF,0.1244690860215054,0.10579692633424922,0.049,0.917,0.061,0.0965,0.14125,92.60500000000002,0.12446908602150537,2.9872580645161286,0.11774193548387096,0.09167741935483871,0.08893548387096775,0.07835483870967741,0.07861290322580644,0.08325806451612904,0.08696774193548387,0.1305483870967742,0.1399032258064516,0.16116129032258067,0.11970967741935483,0.14061290322580644,0.1587741935483871,0.18516129032258066,0.14070967741935483,0.13306451612903225,0.11493548387096775,0.11809677419354839,0.13741935483870968,0.11664516129032258,0.127,0.16112903225806452,0.1458709677419355,0.13096774193548386,3.65,2.842,2.757,2.429,2.437,2.581,2.696,4.047,4.337,4.996,3.711,4.359,4.922,5.74,4.362,4.125,3.563,3.661,4.26,3.616,3.9370000000000003,4.995,4.522,4.06,3.65,2.842,2.757,2.429,2.437,2.581,2.696,4.047,4.337,4.996,3.711,4.359,4.922,5.74,4.362,4.125,3.563,3.661,4.26,3.616,3.9370000000000003,4.995,4.522,4.06,0.12964516129032258,0.14633870967741935,0.1217741935483871,0.14124193548387098,0.08976344086021504,16.076,27.219,15.1,17.514,16.696,0.06320943378344736,0.05213180847885901,0.03597573118164072,0.03044819249401725,0.03297912415727023,0.12811458333333334,0.12133333333333333,0.13392500000000002,0.16179166666666667,0.135875,0.09196875,0.08372916666666667,12.299,11.648,16.071,19.415,16.305,8.829,8.038,0.1066144919340278,0.06629783939746398,0.0840400227282696,0.1672841840978988,0.11144170292695864,0.0766692765097357,0.04047909900356418,0.13720652173913042,0.08784895833333334,75.738,16.867,0.11472373868878549,0.06128418993575773,0.12446908602150539,92.605,0.10579692633424924,,92.605,92.605,,,,,,17.378,15.613,23.599,16.796,19.219,,,,,,,
FJAG,0.3463361559139743,0.30748638582970345,0.075,3.662,0.162,0.238,0.4025,515.3481999999938,0.3463361559139743,8.312067741935383,0.18429032258064518,0.14183870967741935,0.14177419354838708,0.13788709677419353,0.14735483870967742,0.14475806451612902,0.2700967741935484,0.26103225806451613,0.26240322580645165,0.23255225806451035,0.2687458064516071,0.45294129032257197,0.7459774193548242,0.5506083870967567,0.4177374193548214,0.444685161290311,0.39018129032257487,0.44306838709676843,0.4989232258064458,0.630469677419352,0.46246774193548384,0.4464193548387097,0.42330645161290326,0.2125483870967742,11.426,8.794,8.79,8.549,9.136,8.975,16.746,16.184,16.269000000000002,14.418239999999642,16.662239999999642,28.08235999999946,46.2505999999991,34.13771999999892,25.899719999998926,27.570479999999282,24.19123999999964,27.47023999999964,30.933239999999643,39.089119999999824,28.673,27.678,26.245,13.178,11.426,8.794,8.79,8.549,9.136,8.975,16.746,16.184,16.269000000000002,14.418239999999642,16.662239999999642,28.08235999999946,46.2505999999991,34.13771999999892,25.899719999998926,27.570479999999282,24.19123999999964,27.47023999999964,30.933239999999643,39.089119999999824,28.673,27.678,26.245,13.178,0.2565211290322566,0.4801159139784821,0.49066064516128527,0.38618548387096774,0.1496505376344086,63.61723999999964,178.60311999999536,121.68383999999875,95.774,55.669999999999995,0.0336733294807618,0.13273744092459364,0.05009502867654875,0.08947456807975146,0.04843779749361647,0.35960199999999704,0.28844166666666665,0.33863685185184106,0.3598293749999981,0.3822797916666611,0.3124635416666667,0.38978796296295465,86.30447999999929,69.226,73.14555999999767,69.08723999999964,73.39771999999893,59.993,84.1941999999982,0.3520997949578613,0.19111966046552473,0.2739906963439659,0.3463779202840982,0.33839874660931263,0.25360623872113436,0.3560107936219795,0.34366759259258844,0.3533999999999956,371.1609999999955,144.1871999999982,0.30507389521847944,0.31405263547319245,0.3463361559139743,515.3481999999938,0.3074863858297036,282.4557199999944,,515.3481999999938,56.194,66.1081999999982,56.649,76.15403999999695,27.350479999999283,,,,,,232.8924799999993,9.968,55.866479999999285,44.072,51.394,56.174,15.418
FMB,0.23972311827956988,0.3088404871224514,0.01,2.721,0.053,0.1675,0.26525,356.70799999999997,0.23972311827956985,5.753354838709677,0.13591935483870968,0.10759677419354839,0.08653225806451613,0.0800967741935484,0.07820967741935485,0.07343548387096774,0.1295,0.08703225806451613,0.23625806451612902,0.32948387096774195,0.3359032258064516,0.3778225806451613,0.32748387096774195,0.4448387096774194,0.2882096774193548,0.27758064516129033,0.3196451612903226,0.3410322580645161,0.4521290322580645,0.38591935483870965,0.2677741935483871,0.22096774193548385,0.18308064516129033,0.1869032258064516,8.427,6.671,5.365,4.966,4.849,4.553,8.029,5.396,14.648,20.428,20.826,23.425,20.304000000000002,27.580000000000002,17.869,17.21,19.818,21.144,28.032,23.927,16.602,13.7,11.351,11.588,8.427,6.671,5.365,4.966,4.849,4.553,8.029,5.396,14.648,20.428,20.826,23.425,20.304000000000002,27.580000000000002,17.869,17.21,19.818,21.144,28.032,23.927,16.602,13.7,11.351,11.588,0.19556854838709678,0.34197311827956983,0.3746814516129032,0.21468145161290322,0.09363172043010753,48.501000000000005,127.214,92.92099999999999,53.241,34.831,0.17697617775921062,0.07474919986711591,0.048315707571515716,0.034803883130791594,0.030297335904653423,0.27707870370370374,0.2591203703703704,0.24592083333333334,0.2348287037037037,0.2331990740740741,0.20839062500000002,0.21230729166666665,59.849000000000004,55.97,59.021,50.723,50.371,40.011,40.763,0.3459796314883631,0.29694950530249586,0.3213393486176474,0.3290257688504262,0.2756249764209434,0.2610165959611507,0.3162256208743033,0.24994021739130437,0.21034895833333334,275.934,80.774,0.3147523340356887,0.28956607149996894,0.2397231182795699,356.708,0.30884048712245155,148.313,208.395,356.708,32.333,39.319,31.084,30.532,15.045,40.769,58.175,47.533,36.84,25.078,,,,,,,
GPC,0.19400044802867383,0.2307631940442035,0.027,2.077,0.061,0.1,0.209,433.009,0.19400044802867386,4.6560107526881716,0.0933010752688172,0.09803225806451614,0.10629032258064516,0.07706451612903226,0.06853763440860215,0.06392473118279571,0.10565591397849462,0.28653763440860214,0.23101075268817203,0.27223655913978495,0.22644086021505377,0.16216129032258064,0.14106451612903226,0.2596774193548387,0.3763870967741935,0.3402795698924731,0.2562258064516129,0.2153440860215054,0.2098709677419355,0.30470967741935484,0.3969247311827957,0.20116129032258062,0.087,0.07617204301075269,8.677,9.117,9.885,7.167,6.374,5.945,9.826,26.648,21.483999999999998,25.317999999999998,21.059,15.081,13.119,24.15,35.004,31.646,23.829,20.027,19.518,28.338,36.914,18.708,8.091,7.084,8.677,9.117,9.885,7.167,6.374,5.945,9.826,26.648,21.483999999999998,25.317999999999998,21.059,15.081,13.119,24.15,35.004,31.646,23.829,20.027,19.518,28.338,36.914,18.708,8.091,7.084,0.22386021505376344,0.25100179211469537,0.24653763440860216,0.19031451612903222,0.08452508960573478,83.276,140.05899999999997,91.712,70.797,47.165000000000006,0.09750469975078417,0.06473691375271501,0.05128599273942117,0.11033100709875253,0.051062721436151766,0.18302380952380953,0.18013988095238095,0.19836011904761905,0.1921923076923077,0.17374358974358975,0.19318749999999998,0.23886858974358974,61.496,60.527,66.649,59.964,54.208,55.638,74.527,0.21925973018810502,0.20091030467391383,0.22837140099588138,0.239553674358874,0.19888120747185892,0.24568718869003145,0.2740944260286925,0.18556617647058823,0.21694166666666664,302.844,130.165,0.21780264447261655,0.2616283762821142,0.19400044802867383,433.009,0.23076319404420362,147.599,139.474,433.009,33.555,29.695,34.263,36.09,13.996,22.474,28.775,30.209,36.928,21.088,145.936,5.678,34.064,33.695,30.406,32.383,9.709999999999999
JACL,0.10951702508960574,0.09776818178864966,0.028,1.381,0.065,0.092,0.127,244.442,0.10951702508960576,2.6284086021505373,0.12460215053763442,0.08406451612903225,0.07265591397849462,0.06849462365591398,0.07013978494623656,0.06960215053763441,0.06340860215053763,0.06864516129032258,0.08643010752688172,0.09701075268817204,0.12397849462365591,0.11789247311827958,0.11283870967741935,0.12921505376344086,0.34696774193548385,0.12554838709677418,0.10219354838709677,0.09238709677419356,0.10425806451612903,0.10573118279569893,0.09156989247311828,0.12053763440860216,0.12859139784946236,0.12164516129032259,11.588000000000001,7.818,6.757,6.37,6.523,6.473,5.897,6.384,8.038,9.022,11.53,10.964,10.494,12.017,32.268,11.676,9.504,8.592,9.696,9.833,8.516,11.21,11.959,11.313,11.588000000000001,7.818,6.757,6.37,6.523,6.473,5.897,6.384,8.038,9.022,11.53,10.964,10.494,12.017,32.268,11.676,9.504,8.592,9.696,9.833,8.516,11.21,11.959,11.313,0.0788736559139785,0.1594068100358423,0.10114247311827956,0.11558602150537635,0.08159318996415771,29.341,88.949,37.625,42.998,45.528999999999996,0.009517795069146509,0.07344507920054101,0.003252417950356348,0.0037748004679926243,0.006096886455574476,0.1135029761904762,0.10388988095238097,0.10868749999999999,0.09832051282051281,0.10546474358974359,0.12439930555555555,0.11368910256410256,38.137,34.907000000000004,36.519,30.676,32.905,35.827,35.471,0.09265377692882006,0.08471065635611787,0.0791530576152984,0.05169163915546319,0.07221764203096648,0.15603476205050326,0.11862598744348231,0.10609313725490196,0.11883,173.144,71.298,0.07780302536574059,0.13784142409665895,0.10951702508960574,244.442,0.0977681817886497,81.003,89.244,244.442,17.012,17.266000000000002,19.479,18.801,8.445,15.744,19.519,20.247,19.273,14.461,74.195,2.327,15.732,15.158,16.807,19.456,4.715
JALG,0.32173028673835125,0.293429412457751,0.027,1.749,0.114,0.215,0.43474999999999997,718.102,0.32173028673835125,7.721526881720429,0.1854731182795699,0.11709677419354839,0.1057204301075269,0.09437634408602151,0.09491397849462366,0.09255913978494625,0.09827956989247312,0.17315053763440863,0.3838494623655914,0.4627204301075269,0.41340860215053765,0.3146451612903226,0.36476344086021506,0.44707526881720433,0.509505376344086,0.4991720430107527,0.4058494623655914,0.3973010752688172,0.38483870967741934,0.36298924731182797,0.5086129032258064,0.630752688172043,0.4143870967741935,0.26008602150537635,17.249,10.89,9.832,8.777000000000001,8.827,8.608,9.14,16.103,35.698,43.033,38.447,29.262,33.923,41.578,47.384,46.423,37.744,36.949,35.79,33.758,47.301,58.66,38.538,24.188,17.249,10.89,9.832,8.777000000000001,8.827,8.608,9.14,16.103,35.698,43.033,38.447,29.262,33.923,41.578,47.384,46.423,37.744,36.949,35.79,33.758,47.301,58.66,38.538,24.188,0.2795,0.4247616487455197,0.38774462365591394,0.4534596774193549,0.11502329749103944,103.974,237.017,144.241,168.68699999999998,64.183,0.17222603840942155,0.0740222145214574,0.021703189596851965,0.10422581528814691,0.03059897157111793,0.3335505952380952,0.31714583333333335,0.3033035714285714,0.30570192307692307,0.31237179487179484,0.31169444444444444,0.36843269230769227,112.073,106.561,101.91,95.379,97.46,89.768,114.951,0.30716149255254527,0.31368599117144835,0.2797913670252063,0.27437215835879475,0.2682139501600052,0.2790979316286877,0.32161964807432836,0.3145729166666667,0.3411983333333333,513.383,204.719,0.289582213830694,0.30303901851377474,0.32173028673835125,718.102,0.29342941245775095,241.859,232.969,718.102,56.82,57.473,53.561,50.984,23.021,37.064,50.996,55.109,52.375,37.425,243.274,5.819,54.741,55.431,52.263,57.156,17.864
JLG,0.1510524193548387,0.1664739510058111,0.035,1.519,0.059,0.107,0.172,337.149,0.15105241935483874,3.62525806451613,0.12364516129032259,0.06965591397849462,0.06021505376344086,0.05661290322580645,0.05510752688172043,0.05455913978494623,0.0523763440860215,0.05268817204301075,0.08541935483870967,0.16866666666666666,0.29753763440860215,0.22333333333333333,0.21579569892473116,0.27748387096774196,0.24166666666666667,0.18474193548387097,0.15531182795698925,0.16106451612903225,0.15363440860215055,0.16294623655913978,0.17131182795698924,0.22921505376344087,0.2133010752688172,0.15896774193548388,11.499,6.478,5.6,5.265,5.125,5.074,4.8709999999999996,4.9,7.944,15.686,27.671,20.77,20.069,25.806,22.475,17.181,14.444,14.979,14.288,15.154,15.932,21.317,19.837,14.784,11.499,6.478,5.6,5.265,5.125,5.074,4.8709999999999996,4.9,7.944,15.686,27.671,20.77,20.069,25.806,22.475,17.181,14.444,14.979,14.288,15.154,15.932,21.317,19.837,14.784,0.08978763440860216,0.2400931899641577,0.15823924731182795,0.1931989247311828,0.06996594982078853,33.400999999999996,133.972,58.864999999999995,71.87,39.041,0.08221649488109428,0.06046931535811143,0.012332567614730937,0.06146491964017213,0.025653257668648215,0.15834821428571427,0.1350625,0.1519375,0.15592628205128206,0.14790384615384616,0.15113194444444444,0.15766346153846156,53.205,45.381,51.051,48.649,46.146,43.526,49.191,0.18158034493976352,0.13713686036273853,0.15516042432308375,0.17468429312686382,0.1629064900081248,0.16360957804560747,0.18690379305083543,0.14977450980392157,0.15452833333333332,244.432,92.717,0.1628721198318517,0.17599231428778223,0.1510524193548387,337.149,0.16647395100581114,118.737,104.413,337.149,26.925,23.536,27.349,27.837,13.09,17.779,25.477,21.277,22.757,17.123,113.999,4.58,29.711,21.481,24.979,26.194,7.054
JMM,0.2649838709677419,0.22952350757301881,0.063,2.093,0.14075,0.206,0.29,591.444,0.26498387096774195,6.359612903225806,0.21132258064516127,0.15243010752688171,0.13841935483870968,0.13289247311827956,0.13216129032258064,0.13025806451612904,0.12774193548387097,0.1756021505376344,0.2281935483870968,0.22089247311827956,0.20879569892473118,0.2771075268817204,0.42363440860215057,0.587763440860215,0.5003655913978494,0.30218279569892476,0.2553225806451613,0.2500215053763441,0.2872795698924731,0.38213978494623657,0.37925806451612903,0.3173655913978495,0.28221505376344086,0.25624731182795696,19.653,14.176,12.873,12.359,12.291,12.114,11.88,16.331,21.222,20.543,19.418,25.771,39.398,54.662,46.534,28.103,23.745,23.252,26.717,35.539,35.271,29.515,26.246,23.831,19.653,14.176,12.873,12.359,12.291,12.114,11.88,16.331,21.222,20.543,19.418,25.771,39.398,54.662,46.534,28.103,23.745,23.252,26.717,35.539,35.271,29.515,26.246,23.831,0.18810752688172042,0.38330824372759853,0.29369086021505375,0.30877150537634407,0.14958064516129033,69.976,213.886,109.253,114.863,83.46600000000001,0.03579525016153238,0.11467049514053167,0.08156296847656966,0.06434976267604332,0.013231633750778453,0.2431309523809524,0.27024107142857146,0.2400595238095238,0.2885929487179487,0.24232371794871796,0.29234027777777777,0.28349679487179485,81.69200000000001,90.801,80.66,90.041,75.605,84.194,88.451,0.19459620832077273,0.2504894401397696,0.17094751581335613,0.28311490460689226,0.20522068980900118,0.23929322945132941,0.2441704638644439,0.25661703431372546,0.2877416666666667,418.799,172.645,0.224385717282641,0.24168049300344083,0.2649838709677419,591.444,0.22952350757301895,177.789,202.113,591.444,42.484,40.979,39.431,40.114,14.781,33.846000000000004,46.605,42.198,49.649,29.815,211.542,9.701,52.396,41.498,40.028,53.113,14.806000000000001
