archivo,media_consumo,std_consumo,min_consumo,max_consumo,percentil_25_consumo,percentil_50_consumo,percentil_75_consumo,sum_consumo,promedio_por_dia,consumo_medio_diario,consumo_00,consumo_01,consumo_02,consumo_03,consumo_04,consumo_05,consumo_06,consumo_07,consumo_08,consumo_09,consumo_10,consumo_11,consumo_12,consumo_13,consumo_14,consumo_15,consumo_16,consumo_17,consumo_18,consumo_19,consumo_20,consumo_21,consumo_22,consumo_23,consumo_00_suma,consumo_01_suma,consumo_02_suma,consumo_03_suma,consumo_04_suma,consumo_05_suma,consumo_06_suma,consumo_07_suma,consumo_08_suma,consumo_09_suma,consumo_10_suma,consumo_11_suma,consumo_12_suma,consumo_13_suma,consumo_14_suma,consumo_15_suma,consumo_16_suma,consumo_17_suma,consumo_18_suma,consumo_19_suma,consumo_20_suma,consumo_21_suma,consumo_22_suma,consumo_23_suma,consumo_00_std,consumo_01_std,consumo_02_std,consumo_03_std,consumo_04_std,consumo_05_std,consumo_06_std,consumo_07_std,consumo_08_std,consumo_09_std,consumo_10_std,consumo_11_std,consumo_12_std,consumo_13_std,consumo_14_std,consumo_15_std,consumo_16_std,consumo_17_std,consumo_18_std,consumo_19_std,consumo_20_std,consumo_21_std,consumo_22_std,consumo_23_std,Mañana,Mediodia,Tarde,Noche,Madrugada,s_Mañana,s_Mediodia,s_Tarde,s_Noche,s_Madrugada,std_Mañana,std_Mediodia,std_Tarde,std_Noche,std_Madrugada,Lunes,Martes,Miércoles,Jueves,Viernes,Sábado,Domingo,s_Lunes,s_Martes,s_Miércoles,s_Jueves,s_Viernes,s_Sábado,s_Domingo,std_Lunes,std_Martes,std_Miércoles,std_Jueves,std_Viernes,std_Sábado,std_Domingo,Entre semana,Fin de semana,s_Entre semana,s_Fin de semana,std_Entre semana,std_Fin de semana,primavera,s_primavera,std_primavera,2023-04,2024-04,2025-04,Abril,2023-03-27/2023-04-02,2023-04-03/2023-04-09,2023-04-10/2023-04-16,2023-04-17/2023-04-23,2023-04-24/2023-04-30,2024-04-01/2024-04-07,2024-04-08/2024-04-14,2024-04-15/2024-04-21,2024-04-22/2024-04-28,2024-04-29/2024-05-05,2025-03-31/2025-04-06,2025-04-07/2025-04-13,2025-04-14/2025-04-20,2025-04-21/2025-04-27,2025-04-28/2025-05-04
ABLD,0.18309999999999998,0.21493666398017647,0.0,1.767,0.068,0.088,0.197,395.496,0.18309999999999996,4.3944,0.08243333333333333,0.07716666666666668,0.07846666666666667,0.07695555555555555,0.07044444444444445,0.09251111111111111,0.17314444444444443,0.19295555555555555,0.15046666666666667,0.1700111111111111,0.21046666666666666,0.18303333333333333,0.23122222222222222,0.37487777777777775,0.2818555555555556,0.21151111111111112,0.17873333333333333,0.17496666666666666,0.2011,0.3239,0.33874444444444446,0.24972222222222223,0.16445555555555555,0.10525555555555556,7.419,6.945,7.062,6.926,6.34,8.326,15.583,17.366,13.542,15.301,18.942,16.473,20.81,33.739,25.367,19.036,16.086,15.747,18.099,29.151,30.487000000000002,22.475,14.801,9.473,7.419,6.945,7.062,6.926,6.34,8.326,15.583,17.366,13.542,15.301,18.942,16.473,20.81,33.739,25.367,19.036,16.086,15.747,18.099,29.151,30.487000000000002,22.475,14.801,9.473,0.17164444444444443,0.2488277777777778,0.219675,0.21454444444444445,0.07966296296296298,61.792,134.36700000000002,79.083,77.236,43.01800000000001,0.022202999295277005,0.05880789428706681,0.07712704603240318,0.10827197695773519,0.022842962873888786,0.16869871794871796,0.23395238095238097,0.170150641025641,0.20943402777777778,0.17381944444444444,0.15795833333333334,0.16508653846153845,52.634,78.608,53.086999999999996,60.317,50.06,49.283,51.507,0.1756114323590578,0.25767140499003377,0.1926664138069582,0.24781817788660604,0.20320658213082832,0.1968476687420369,0.2070048282477555,0.1918658854166667,0.1615224358974359,294.706,100.79,0.21948548121482095,0.20185944478988027,0.18309999999999998,395.496,0.21493666398017644,120.32000000000001,145.195,129.981,395.496,7.128,30.092,29.874,31.95,21.276,26.24,35.138,33.284,38.961,11.572,29.989,28.682,24.736,33.684,12.89
AJVG,0.19141666666666668,0.2894520553694047,0.0,2.94,0.047,0.067,0.199,413.46000000000004,0.19141666666666665,4.594,0.09162222222222223,0.08345555555555556,0.07605555555555556,0.06753333333333333,0.0792888888888889,0.15934444444444443,0.6694333333333333,0.4016888888888889,0.16570000000000001,0.16674444444444445,0.23393333333333335,0.20401111111111112,0.20894444444444443,0.17370000000000002,0.1233777777777778,0.12876666666666667,0.15244444444444444,0.1836,0.21482222222222222,0.32076666666666664,0.29217777777777776,0.17867777777777777,0.12272222222222222,0.09518888888888889,8.246,7.511,6.845,6.078,7.136,14.341,60.249,36.152,14.913,15.007,21.054000000000002,18.361,18.805,15.633000000000001,11.104000000000001,11.589,13.72,16.524,19.334,28.869,26.296,16.081,11.045,8.567,8.246,7.511,6.845,6.078,7.136,14.341,60.249,36.152,14.913,15.007,21.054000000000002,18.361,18.805,15.633000000000001,11.104000000000001,11.589,13.72,16.524,19.334,28.869,26.296,16.081,11.045,8.567,0.35089166666666666,0.17878888888888889,0.21790833333333334,0.17219166666666666,0.09288333333333333,126.32100000000001,96.546,78.447,61.989,50.157000000000004,0.14306975389786078,0.08272755618094116,0.06143224678934657,0.06756695744948367,0.06657433245080498,0.2379519230769231,0.21226785714285715,0.21817307692307691,0.18772222222222223,0.16587152777777778,0.1536474358974359,0.16042948717948718,74.241,71.322,68.07,54.064,47.771,47.938,50.054,0.35227575375604936,0.30410289839871446,0.30490032451635823,0.2796903575202727,0.2715318927920488,0.22714923645131158,0.25836493326660726,0.2053828125,0.15703846153846154,315.468,97.992,0.3052585137215855,0.24308669518399914,0.19141666666666665,413.46,0.2894520553694046,124.372,150.431,138.657,413.46,12.609,26.524,38.329,25.643,21.267,60.443,31.379,29.94,25.194,3.475,30.715,36.398,23.609,37.275,10.66
ATF,0.14350069444444447,0.14072126328225484,0.0,1.969,0.074,0.114,0.16,206.64100000000002,0.14350069444444447,3.444016666666666,0.09565,0.09066666666666666,0.08539999999999999,0.07701666666666668,0.08148333333333334,0.08728333333333334,0.09121666666666667,0.0972,0.12555,0.13685,0.14451666666666665,0.17048333333333332,0.29710000000000003,0.33526666666666666,0.17835,0.15411666666666665,0.12896666666666667,0.12166666666666666,0.13185,0.15801666666666667,0.21416666666666667,0.1735833333333333,0.14881666666666668,0.1188,5.739,5.4399999999999995,5.124,4.621,4.889,5.237,5.473,5.832,7.533,8.211,8.671,10.229,17.826,20.116,10.701,9.247,7.738,7.3,7.911,9.481,12.85,10.415,8.929,7.128,5.739,5.4399999999999995,5.124,4.621,4.889,5.237,5.473,5.832,7.533,8.211,8.671,10.229,17.826,20.116,10.701,9.247,7.738,7.3,7.911,9.481,12.85,10.415,8.929,7.128,0.11270416666666666,0.21330555555555555,0.135125,0.16384166666666666,0.08625000000000001,27.049,76.79,32.43,39.322,31.049999999999997,0.02934669836154764,0.13778390479183766,0.015444290794666377,0.026087501642433193,0.0028880098376638853,0.15275,0.15113333333333331,0.14468518518518517,0.13759895833333333,0.13890625,0.128546875,0.147671875,32.994,36.272,31.252,26.419,26.67,24.681,28.353,0.17056503226792455,0.13998382652144914,0.11507608388290777,0.10216709749438695,0.12136031576860494,0.12881769207383886,0.1865140159819699,0.14546117424242425,0.138109375,153.607,53.034,0.13289187568784297,0.1603600339432879,0.14350069444444444,206.641,0.14072126328225484,,121.577,85.06400000000001,206.641,,,,,,28.186,26.15,30.986,27.281,8.974,15.304,19.484,20.873,20.944,8.459
FJAG,0.3130926944444408,0.26295973861251004,0.048,3.128,0.152,0.226,0.35724999999999996,450.8534799999948,0.3130926944444408,7.514224666666579,0.14861666666666667,0.13918333333333335,0.13848333333333332,0.13526666666666667,0.13656666666666667,0.21193333333333333,0.24248333333333333,0.25543333333333335,0.22655399999999404,0.345305999999991,0.49870999999998505,0.619259999999985,0.48310999999998505,0.32595599999999103,0.333351999999997,0.336701999999997,0.36261866666666365,0.444901999999997,0.46468533333333034,0.4468353333333303,0.38315,0.3894666666666666,0.25318333333333337,0.19246666666666667,8.917,8.351,8.309,8.116,8.194,12.716,14.549,15.326,13.593239999999643,20.71835999999946,29.922599999999104,37.155599999999104,28.986599999999104,19.557359999999463,20.00111999999982,20.20211999999982,21.75711999999982,26.69411999999982,27.88111999999982,26.81011999999982,22.989,23.368,15.191,11.548,8.917,8.351,8.309,8.116,8.194,12.716,14.549,15.326,13.593239999999643,20.71835999999946,29.922599999999104,37.155599999999104,28.986599999999104,19.557359999999463,20.00111999999982,20.20211999999982,21.75711999999982,26.69411999999982,27.88111999999982,26.81011999999982,22.989,23.368,15.191,11.548,0.26744416666666293,0.43284833333332334,0.42976033333333036,0.30456666666666665,0.151675,64.1865999999991,155.8253999999964,103.1424799999993,73.096,54.603,0.1398294954303327,0.08723341739164328,0.019051628227018873,0.06497908269241899,0.030416282142655297,0.28200462962962963,0.27778703703703705,0.33833958333332403,0.35764687499999065,0.3604327083333249,0.29564814814814816,0.29280555555555554,60.913000000000004,60.002,64.96119999999821,68.66819999999821,69.20307999999838,63.86,63.246,0.19586866738247793,0.19373071941520661,0.32927521234006407,0.32033238825319227,0.2830449698807841,0.2537693079767001,0.2378617717932417,0.3211780555555504,0.2942268518518518,323.7474799999948,127.106,0.26974761027199073,0.24566282217856866,0.3130926944444408,450.8534799999948,0.26295973861251015,203.1721999999982,247.6812799999966,,450.8534799999948,5.564,45.941719999998924,50.155,51.44447999999928,50.067,57.195479999999286,59.04271999999892,60.83747999999928,58.6085999999991,11.997,,,,,
FMB,0.19228611111111113,0.2227720564925711,0.0,1.734,0.05,0.1295,0.24025,415.338,0.1922861111111111,4.614866666666667,0.10067777777777778,0.0858,0.08710000000000001,0.07618888888888889,0.07993333333333333,0.08449999999999999,0.10922222222222222,0.16473333333333334,0.25122222222222224,0.2773222222222222,0.28296666666666664,0.32039999999999996,0.37056666666666666,0.3049777777777778,0.24961111111111112,0.22997777777777778,0.2238,0.20807777777777778,0.28955555555555557,0.21480000000000002,0.16754444444444444,0.1759,0.13778888888888888,0.12219999999999999,9.061,7.722,7.839,6.857,7.194,7.6049999999999995,9.83,14.826,22.61,24.959,25.467,28.836,33.351,27.448,22.465,20.698,20.142,18.727,26.060000000000002,19.332,15.079,15.831,12.401,10.998,9.061,7.722,7.839,6.857,7.194,7.6049999999999995,9.83,14.826,22.61,24.959,25.467,28.836,33.351,27.448,22.465,20.698,20.142,18.727,26.060000000000002,19.332,15.079,15.831,12.401,10.998,0.200625,0.2930833333333333,0.23405833333333334,0.15085833333333332,0.0857,72.225,158.26500000000001,84.261,54.309,46.278,0.08284903511502419,0.05719172384692512,0.0616350836775372,0.0490999894706717,0.0084410860445425,0.21150961538461538,0.24510714285714283,0.20393589743589743,0.17152777777777778,0.16247916666666665,0.17162820512820515,0.1718621794871795,65.991,82.356,63.628,49.4,46.794,53.548,53.621,0.2517492881565137,0.272346630222596,0.23065039257432537,0.20200717358650994,0.1566088124019566,0.2012259441938434,0.20413854032346596,0.200630859375,0.1717451923076923,308.169,107.169,0.23002923719746035,0.2025247720241405,0.19228611111111113,415.338,0.22277205649257098,126.992,134.309,154.037,415.338,9.247,27.505,32.755,28.662,28.823,32.877,29.803,30.313,33.745,7.571,29.8,32.277,35.322,39.436,17.202
GPC,0.14492175925925926,0.1994306158327008,0.0,2.567,0.053,0.079,0.12625,313.031,0.14492175925925926,3.4781222222222223,0.09814444444444445,0.10241111111111112,0.06911111111111111,0.06648888888888889,0.06606666666666666,0.10652222222222221,0.2921111111111111,0.24015555555555557,0.14372222222222222,0.12001111111111111,0.10557777777777778,0.08386666666666667,0.11327777777777778,0.26787777777777777,0.20642222222222223,0.17232222222222224,0.12562222222222222,0.1126222222222222,0.16853333333333334,0.3115111111111111,0.2174111111111111,0.14006666666666667,0.07741111111111111,0.07085555555555555,8.833,9.217,6.22,5.984,5.946,9.587,26.29,21.614,12.935,10.801,9.502,7.548,10.195,24.109,18.578,15.509,11.306,10.136,15.168000000000001,28.036,19.567,12.606,6.967,6.377,8.833,9.217,6.22,5.984,5.946,9.587,26.29,21.614,12.935,10.801,9.502,7.548,10.195,24.109,18.578,15.509,11.306,10.136,15.168000000000001,28.036,19.567,12.606,6.967,6.377,0.19899999999999998,0.1582240740740741,0.17957222222222224,0.1264361111111111,0.08479074074074074,71.64,85.441,64.646,45.517,45.78699999999999,0.07081755422168512,0.0612941660009537,0.11846131548916394,0.09320660522941979,0.05256169759834743,0.14847435897435896,0.15659226190476191,0.14653846153846153,0.1201736111111111,0.13765625,0.15132371794871796,0.15033333333333332,46.324,52.615,45.72,34.61,39.645,47.213,46.903999999999996,0.21385205237512683,0.21283831113362037,0.2297141207981968,0.12993567585036625,0.1786903670539476,0.2187442258639834,0.1872543650046386,0.14252213541666667,0.15082852564102564,218.914,94.117,0.19779269779553327,0.20344610800886417,0.14492175925925926,313.031,0.19943061583270077,102.857,105.37,104.804,313.031,4.588,14.756,29.148,29.135,25.23,11.325,32.675,27.699,27.47,6.201,23.251,24.668,10.56,36.732,9.593
JACL,0.10261527777777778,0.0772037819303013,0.0,1.249,0.062,0.091,0.122,221.649,0.10261527777777779,2.4627666666666665,0.08737777777777778,0.07161111111111111,0.0753,0.07425555555555555,0.0702,0.07197777777777778,0.08002222222222222,0.0829111111111111,0.10735555555555557,0.1323888888888889,0.10495555555555555,0.09886666666666666,0.12523333333333334,0.2524444444444444,0.1118,0.0901,0.09592222222222221,0.0901111111111111,0.08886666666666666,0.08982222222222222,0.09836666666666666,0.11954444444444445,0.12475555555555555,0.11857777777777778,7.864,6.445,6.777,6.683,6.318,6.478,7.202,7.462,9.662,11.915000000000001,9.446,8.898,11.271,22.72,10.062,8.109,8.633,8.11,7.998,8.084,8.853,10.759,11.228,10.672,7.864,6.445,6.777,6.683,6.318,6.478,7.202,7.462,9.662,11.915000000000001,9.446,8.898,11.271,22.72,10.062,8.109,8.633,8.11,7.998,8.084,8.853,10.759,11.228,10.672,0.10066944444444445,0.13056666666666664,0.09118055555555554,0.11531111111111111,0.07512037037037038,36.241,70.506,32.825,41.512,40.565000000000005,0.028669822159228288,0.056656898088736765,0.004198359768081295,0.0036884003417374093,0.002598003012438839,0.09680448717948718,0.10147916666666668,0.10452884615384615,0.09999652777777777,0.09681250000000001,0.10733653846153846,0.11078846153846154,30.203,34.097,32.613,28.799,27.882,33.489,34.566,0.05337807496110072,0.06412129024890312,0.06643686993021394,0.06756143149925993,0.07478829295462093,0.09106390928260942,0.10887445258609267,0.09999609375,0.1090625,153.594,68.055,0.0653964505933127,0.1002993317977195,0.10261527777777778,221.649,0.07720378193030134,66.155,75.355,80.139,221.649,4.18,16.147,15.294,15.499,15.035,18.856,16.629,17.268,17.862,4.74,16.006,18.164,20.197,18.654,7.118
JALG,0.27516296296296294,0.26323640976884843,0.0,1.885,0.10075,0.167,0.347,594.352,0.27516296296296294,6.603911111111111,0.11281111111111111,0.1039888888888889,0.09735555555555556,0.10031111111111111,0.10011111111111111,0.11025555555555555,0.18235555555555555,0.24403333333333335,0.29898888888888886,0.3002111111111111,0.2985111111111111,0.36412222222222224,0.5273666666666667,0.49633333333333335,0.5012222222222222,0.2794111111111111,0.3066888888888889,0.20155555555555557,0.24186666666666667,0.4372888888888889,0.5048,0.3608,0.24424444444444443,0.18927777777777777,10.153,9.359,8.762,9.028,9.01,9.923,16.412,21.963,26.909,27.019,26.866,32.771,47.463,44.67,45.11,25.147,27.602,18.14,21.768,39.356,45.432,32.472,21.982,17.035,10.153,9.359,8.762,9.028,9.01,9.923,16.412,21.963,26.909,27.019,26.866,32.771,47.463,44.67,45.11,25.147,27.602,18.14,21.768,39.356,45.432,32.472,21.982,17.035,0.2563972222222222,0.4111611111111111,0.29685,0.3247805555555555,0.10413888888888889,92.303,222.027,106.86600000000001,116.92099999999999,56.235,0.07652251853552923,0.08883620965321487,0.09539070434009178,0.09139796035489665,0.005108805388760119,0.28807692307692306,0.2649107142857143,0.27965384615384614,0.27367708333333335,0.28820138888888885,0.25419551282051284,0.2791025641025641,89.88,89.01,87.252,78.819,83.002,79.309,87.08,0.2915794010530859,0.25066789184948357,0.24984264253760927,0.2537849165400506,0.2664497018608909,0.25646234797403206,0.272537620742701,0.2786217447916667,0.2666490384615385,427.963,166.389,0.2626458077862713,0.26470320197441977,0.27516296296296294,594.352,0.26323640976884827,186.086,215.698,192.568,594.352,10.332,43.675,49.735,40.487,41.857,46.79,51.386,50.153999999999996,55.404,11.964,37.177,46.672,46.284,45.683,16.752
JLG,0.11130972222222224,0.11382693647086546,0.0,1.28,0.051,0.077,0.133,240.42900000000003,0.11130972222222223,2.671433333333333,0.06456666666666666,0.05645555555555556,0.05617777777777778,0.05447777777777777,0.05538888888888889,0.05278888888888889,0.0526,0.06895555555555555,0.1709111111111111,0.14307777777777778,0.11430000000000001,0.11524444444444444,0.1673777777777778,0.15388888888888888,0.16292222222222222,0.11639999999999999,0.10291111111111112,0.10935555555555557,0.11497777777777779,0.16186666666666666,0.1926222222222222,0.1586,0.1262222222222222,0.09934444444444446,5.811,5.081,5.056,4.903,4.985,4.751,4.734,6.2059999999999995,15.382,12.877,10.287,10.372,15.064,13.85,14.663,10.475999999999999,9.262,9.842,10.348,14.568,17.336,14.274,11.36,8.941,5.811,5.081,5.056,4.903,4.985,4.751,4.734,6.2059999999999995,15.382,12.877,10.287,10.372,15.064,13.85,14.663,10.475999999999999,9.262,9.842,10.348,14.568,17.336,14.274,11.36,8.941,0.1088861111111111,0.13835555555555554,0.12227777777777778,0.14419722222222223,0.056642592592592585,39.199,74.712,44.019999999999996,51.911,30.587,0.08935528697282197,0.036396288550895974,0.034290511955835025,0.04342347392034526,0.003044863995160602,0.1301153846153846,0.11577380952380951,0.11313461538461539,0.10061805555555556,0.10080208333333333,0.11021153846153847,0.10653846153846154,40.596,38.9,35.298,28.978,29.031,34.386,33.24,0.14274655261495064,0.12762979123433071,0.12309435308962215,0.11288935698394144,0.09890412981569226,0.0968241027641471,0.078079923156967,0.112501953125,0.10837500000000001,172.803,67.626,0.12281172793082694,0.08790137704653644,0.11130972222222223,240.429,0.11382693647086545,77.303,79.926,83.2,240.429,5.43,14.274,19.086,20.271,18.242,14.84,19.149,21.274,18.843,5.82,17.914,20.317,13.362,20.905,10.702
JMM,0.25577592592592585,0.24228435166679166,0.0,3.078,0.134,0.188,0.26525,552.4759999999999,0.25577592592592596,6.138622222222223,0.15385555555555555,0.13434444444444443,0.13324444444444444,0.12474444444444445,0.12513333333333335,0.12207777777777779,0.16068888888888888,0.21867777777777778,0.2283888888888889,0.2308333333333333,0.3453555555555556,0.4018555555555556,0.5554444444444445,0.4481555555555556,0.2311222222222222,0.2278111111111111,0.2404777777777778,0.2442666666666667,0.2597777777777778,0.30887777777777775,0.41557777777777777,0.3314444444444445,0.2856444444444444,0.21082222222222222,13.847,12.091,11.991999999999999,11.227,11.262,10.987,14.462,19.681,20.555,20.775,31.082,36.167,49.99,40.334,20.801,20.503,21.643,21.984,23.38,27.799,37.402,29.830000000000002,25.708,18.974,13.847,12.091,11.991999999999999,11.227,11.262,10.987,14.462,19.681,20.555,20.775,31.082,36.167,49.99,40.334,20.801,20.503,21.643,21.984,23.38,27.799,37.402,29.830000000000002,25.708,18.974,0.2096472222222222,0.36829074074074075,0.26335000000000003,0.3108722222222222,0.13223333333333334,75.473,198.877,94.80600000000001,111.914,71.40599999999999,0.06146638050007111,0.16551576000806617,0.04833778145825225,0.12999185116458856,0.012671667008554433,0.21394871794871792,0.23201785714285714,0.2695705128205128,0.24481597222222223,0.24605208333333334,0.31516346153846153,0.269099358974359,66.752,77.958,84.106,70.507,70.863,98.331,83.959,0.16553832265807067,0.1784351037417659,0.3123484453011592,0.19200307821399848,0.22672674783491673,0.32397607521260857,0.23529555827161958,0.24100651041666665,0.29213141025641026,370.186,182.29,0.2216098046004422,0.28383957449929476,0.2557759259259259,552.476,0.24228435166679174,187.528,168.247,196.701,552.476,10.853,46.192,39.425,44.876,46.182,41.762,40.331,41.945,34.2,10.009,33.879,42.045,45.665,59.049,16.063
