archivo,media_consumo,std_consumo,min_consumo,max_consumo,percentil_25_consumo,percentil_50_consumo,percentil_75_consumo,sum_consumo,promedio_por_dia,consumo_medio_diario,consumo_00,consumo_01,consumo_02,consumo_03,consumo_04,consumo_05,consumo_06,consumo_07,consumo_08,consumo_09,consumo_10,consumo_11,consumo_12,consumo_13,consumo_14,consumo_15,consumo_16,consumo_17,consumo_18,consumo_19,consumo_20,consumo_21,consumo_22,consumo_23,consumo_00_suma,consumo_01_suma,consumo_02_suma,consumo_03_suma,consumo_04_suma,consumo_05_suma,consumo_06_suma,consumo_07_suma,consumo_08_suma,consumo_09_suma,consumo_10_suma,consumo_11_suma,consumo_12_suma,consumo_13_suma,consumo_14_suma,consumo_15_suma,consumo_16_suma,consumo_17_suma,consumo_18_suma,consumo_19_suma,consumo_20_suma,consumo_21_suma,consumo_22_suma,consumo_23_suma,consumo_00_std,consumo_01_std,consumo_02_std,consumo_03_std,consumo_04_std,consumo_05_std,consumo_06_std,consumo_07_std,consumo_08_std,consumo_09_std,consumo_10_std,consumo_11_std,consumo_12_std,consumo_13_std,consumo_14_std,consumo_15_std,consumo_16_std,consumo_17_std,consumo_18_std,consumo_19_std,consumo_20_std,consumo_21_std,consumo_22_std,consumo_23_std,Mañana,Mediodia,Tarde,Noche,Madrugada,s_Mañana,s_Mediodia,s_Tarde,s_Noche,s_Madrugada,std_Mañana,std_Mediodia,std_Tarde,std_Noche,std_Madrugada,Lunes,Martes,Miércoles,Jueves,Viernes,Sábado,Domingo,s_Lunes,s_Martes,s_Miércoles,s_Jueves,s_Viernes,s_Sábado,s_Domingo,std_Lunes,std_Martes,std_Miércoles,std_Jueves,std_Viernes,std_Sábado,std_Domingo,Entre semana,Fin de semana,s_Entre semana,s_Fin de semana,std_Entre semana,std_Fin de semana,invierno,s_invierno,std_invierno,2023-12,2024-12,Diciembre,2023-11-27/2023-12-03,2023-12-04/2023-12-10,2023-12-11/2023-12-17,2023-12-18/2023-12-24,2023-12-25/2023-12-31,2024-11-25/2024-12-01,2024-12-02/2024-12-08,2024-12-09/2024-12-15,2024-12-16/2024-12-22,2024-12-23/2024-12-29,2024-12-30/2025-01-05
ABLD,0.22838508064516128,0.26507311086076935,0.028,1.855,0.064,0.112,0.26225,339.837,0.22838508064516128,5.48124193548387,0.10541935483870966,0.07596774193548388,0.06580645161290323,0.06738709677419355,0.07317741935483871,0.0755,0.12008064516129033,0.18975806451612903,0.2512258064516129,0.1637258064516129,0.23470967741935483,0.24846774193548385,0.29517741935483877,0.3099193548387097,0.48193548387096774,0.3725,0.2959677419354839,0.25375806451612903,0.24388709677419357,0.27741935483870966,0.4118709677419355,0.37385483870967745,0.30435483870967744,0.1893709677419355,6.536,4.71,4.08,4.178,4.537,4.681,7.445,11.765,15.576,10.151,14.552,15.405,18.301000000000002,19.215,29.88,23.095,18.35,15.733,15.121,17.2,25.536,23.179000000000002,18.87,11.741,6.536,4.71,4.08,4.178,4.537,4.681,7.445,11.765,15.576,10.151,14.552,15.405,18.301000000000002,19.215,29.88,23.095,18.35,15.733,15.121,17.2,25.536,23.179000000000002,18.87,11.741,0.18119758064516128,0.3237849462365592,0.26775806451612905,0.31986290322580646,0.07720967741935485,44.937,120.448,66.404,79.32600000000001,28.721999999999998,0.06187174777703979,0.06297546751852406,0.03216856891147913,0.10400195906043026,0.014384211816364182,0.22321296296296295,0.23964814814814817,0.19730208333333332,0.20831770833333332,0.24047222222222223,0.2551481481481482,0.22885833333333333,48.214,51.764,37.882,39.997,51.942,55.112,54.926,0.24672913501193594,0.27230001630605094,0.21977228194626228,0.26495301983827685,0.2663551382833124,0.31975911907107946,0.25136015920861043,0.2226734496124031,0.24131140350877192,229.799,110.038,0.2553224335145463,0.285787601837763,0.22838508064516128,339.837,0.2650731108607695,162.096,177.741,339.837,24.005,36.685,28.964,33.66,38.782,2.682,41.574,36.549,40.015,40.86,16.061
AJVG,0.3617137096774194,0.5404826606060723,0.019,3.569,0.043,0.0735,0.4845,538.23,0.3617137096774194,8.681129032258065,0.10370967741935483,0.1090967741935484,0.09091935483870968,0.0722258064516129,0.07432258064516128,0.07320967741935483,0.3198548387096774,0.7578387096774193,0.4538225806451613,0.23616129032258062,0.3242258064516129,0.3303387096774194,0.3006774193548387,0.3136935483870968,0.4344677419354839,0.3497903225806452,0.3233548387096774,0.3778870967741935,0.41179032258064513,0.5920483870967742,0.7562903225806452,0.8271290322580644,0.685741935483871,0.3625322580645161,6.43,6.764,5.6370000000000005,4.478,4.608,4.539,19.831,46.986,28.137,14.642,20.102,20.481,18.642,19.449,26.937,21.687,20.048,23.429,25.531,36.707,46.89,51.282,42.516,22.477,6.43,6.764,5.6370000000000005,4.478,4.608,4.539,19.831,46.986,28.137,14.642,20.102,20.481,18.642,19.449,26.937,21.687,20.048,23.429,25.531,36.707,46.89,51.282,42.516,22.477,0.44191935483870964,0.3421989247311828,0.4262701612903226,0.6579233870967742,0.08724731182795699,109.59599999999999,127.29799999999999,105.715,163.165,32.455999999999996,0.14900788454530273,0.0627412766797532,0.12488736822955326,0.19863887509908387,0.02655069812548413,0.3766898148148148,0.37221759259259257,0.5390625,0.39552604166666666,0.2915277777777778,0.3214722222222222,0.2692375,81.365,80.399,103.5,75.941,62.97,69.438,64.617,0.5548189238133113,0.5626243605087664,0.737861631099771,0.5274215351671485,0.4827997891819223,0.47684833449276864,0.37842337242441987,0.39164244186046515,0.2939802631578948,404.175,134.055,0.5809325683276756,0.42819229228238126,0.3617137096774194,538.23,0.5404826606060724,256.992,281.238,538.23,8.385,16.485,53.622,73.991,104.509,9.935,48.711,82.111,83.615,53.566,3.3
ATF,0.14566801075268818,0.19873138366017695,0.049,2.233,0.06,0.099,0.13625,108.37700000000001,0.14566801075268818,3.496032258064517,0.11283870967741937,0.0803225806451613,0.08038709677419355,0.0814516129032258,0.08090322580645161,0.08503225806451613,0.08832258064516128,0.12309677419354838,0.1251935483870968,0.11674193548387098,0.11748387096774193,0.15616129032258066,0.23787096774193547,0.2678709677419355,0.2914193548387097,0.23890322580645162,0.1749032258064516,0.16022580645161288,0.18,0.15180645161290324,0.12538709677419355,0.18035483870967742,0.11745161290322581,0.1219032258064516,3.498,2.49,2.492,2.525,2.508,2.636,2.738,3.816,3.8810000000000002,3.619,3.642,4.841,7.374,8.304,9.034,7.406000000000001,5.422,4.967,5.58,4.706,3.887,5.591,3.641,3.779,3.498,2.49,2.492,2.525,2.508,2.636,2.738,3.816,3.8810000000000002,3.619,3.642,4.841,7.374,8.304,9.034,7.406000000000001,5.422,4.967,5.58,4.706,3.887,5.591,3.641,3.779,0.11333870967741935,0.21828494623655914,0.1667338709677419,0.1362741935483871,0.08682258064516128,14.054,40.601,20.675,16.898,16.149,0.03680567682896518,0.14636306448979272,0.027633224265015594,0.12018794866427143,0.049345866912540885,0.13779166666666667,0.20103333333333331,0.22783333333333333,0.13564583333333333,0.0999375,0.12089583333333333,0.09686666666666667,16.535,24.124,21.872,13.022,9.594,11.606,11.624,0.12443707841553432,0.2970902285864828,0.3623569239725898,0.12998477474945544,0.050008380876556444,0.08707824420620278,0.0567284454802936,0.16126325757575757,0.10754629629629629,85.147,23.23,0.2295434889000098,0.07262837990492506,0.14566801075268818,108.377,0.19873138366017698,,108.377,108.377,,,,,,3.082,17.064,23.513,17.243,37.309,10.166
FJAG,0.37915308314936896,0.3668965524160632,0.074,3.8,0.158,0.243,0.434,515.2690399999924,0.37823190058478984,9.039807719298114,0.18422807017543857,0.13682456140350877,0.13780701754385963,0.13371929824561404,0.12928070175438597,0.13791228070175438,0.2295263157894737,0.2836140350877193,0.3558112280701691,0.33149964912279445,0.3570280701754228,0.5609929824561246,0.7632407017543671,0.6247866666666447,0.4954821052631453,0.35850642857141896,0.38636357142856187,0.48268499999999037,0.5782678571428572,0.6578392857142857,0.5431428571428571,0.4941785714285714,0.436875,0.31480357142857146,10.501,7.799,7.8549999999999995,7.622,7.369,7.861,13.083,16.166,20.28123999999964,18.895479999999285,20.3505999999991,31.976599999999102,43.504719999998926,35.61283999999875,28.242479999999283,20.07635999999946,21.636359999999463,27.03035999999946,32.383,36.839,30.416,27.674,24.465,17.629,10.501,7.799,7.8549999999999995,7.622,7.369,7.861,13.083,16.166,20.28123999999964,18.895479999999285,20.3505999999991,31.976599999999102,43.504719999998926,35.61283999999875,28.242479999999283,20.07635999999946,21.636359999999463,27.03035999999946,32.383,36.839,30.416,27.674,24.465,17.629,0.3001128070175391,0.5266728258145206,0.5262889285714238,0.44725000000000004,0.1432953216374269,68.42571999999893,179.76359999999463,117.88871999999893,100.18400000000001,49.007,0.20863076391364677,0.1224515281938413,0.10657437606986621,0.04006808968964527,0.043294914692290305,0.3276287499999944,0.3615,0.4208160416666536,0.30462295081967217,0.505025624999985,0.3346875,0.39439222222221726,62.904719999998925,69.408,80.7966799999975,55.746,96.96491999999714,64.26,85.18871999999892,0.26002133484454026,0.28214776493274674,0.42008731568186347,0.2121571958103283,0.5823888115992829,0.2927802926055985,0.3493582409872825,0.38466910620398903,0.36629588235293853,365.82031999999356,149.44871999999893,0.38351870072119465,0.32494912717500085,0.379153083149369,515.2690399999925,0.36689655241606334,269.6730799999984,245.59595999999408,515.2690399999925,22.983,70.95407999999838,53.72,61.696,60.32,5.407,67.7801999999982,80.03991999999714,61.824839999998744,30.544,
FMB,0.22954502688172043,0.3161068543461626,0.01,2.683,0.049,0.1435,0.255,341.563,0.22954502688172046,5.5090806451612915,0.1255,0.09127419354838709,0.09591935483870968,0.0863225806451613,0.06938709677419355,0.06443548387096774,0.11512903225806452,0.11482258064516129,0.1747741935483871,0.20208064516129032,0.31159677419354836,0.3039193548387097,0.44014516129032255,0.4759032258064516,0.27119354838709675,0.25414516129032255,0.2966290322580645,0.333741935483871,0.3008387096774194,0.4310322580645161,0.31811290322580643,0.24459677419354836,0.2104516129032258,0.1771290322580645,7.781,5.659,5.947,5.352,4.3020000000000005,3.995,7.138,7.119,10.836,12.529,19.319,18.843,27.288999999999998,29.506,16.814,15.757,18.391,20.692,18.652,26.724,19.723,15.165,13.048,10.982,7.781,5.659,5.947,5.352,4.3020000000000005,3.995,7.138,7.119,10.836,12.529,19.319,18.843,27.288999999999998,29.506,16.814,15.757,18.391,20.692,18.652,26.724,19.723,15.165,13.048,10.982,0.1517016129032258,0.3428172043010753,0.3405604838709677,0.23757258064516126,0.08880645161290324,37.622,127.52799999999999,84.459,58.918,33.036,0.08369047557050775,0.08210459982291846,0.07518459511543588,0.0610104776319912,0.019187950285356564,0.3073009259259259,0.2538888888888889,0.17409895833333333,0.18147395833333335,0.18508333333333335,0.22338425925925925,0.26602916666666665,66.377,54.839999999999996,33.427,34.843,39.978,48.251,63.847,0.39415281796038876,0.3149832282972017,0.1399164133381868,0.18820262932481344,0.2278559571512282,0.31288509746581566,0.44775742833248205,0.2223498062015504,0.24582894736842106,229.465,112.098,0.27723349716353884,0.3899026157870332,0.22954502688172043,341.563,0.31610685434616254,143.285,198.278,341.563,15.672,33.023,33.177,32.824,28.589,3.815,34.979,31.63,30.624,63.862,33.368
GPC,0.19925537634408602,0.24882018170247783,0.026,1.787,0.062,0.101,0.20725,296.492,0.19925537634408602,4.782129032258065,0.08835483870967742,0.08737096774193548,0.08583870967741936,0.06651612903225806,0.06703225806451613,0.06288709677419355,0.11520967741935484,0.25198387096774194,0.22674193548387098,0.24848387096774194,0.22864516129032258,0.16335483870967743,0.1590967741935484,0.32151612903225807,0.3825322580645162,0.27172580645161293,0.20600000000000002,0.2166290322580645,0.25840322580645164,0.3001451612903226,0.44025806451612903,0.26133870967741935,0.1641774193548387,0.10788709677419354,5.478,5.417,5.322,4.124,4.156,3.899,7.143,15.623,14.058,15.406,14.176,10.128,9.864,19.934,23.717000000000002,16.847,12.772,13.431,16.021,18.609,27.296,16.203,10.179,6.689,5.478,5.417,5.322,4.124,4.156,3.899,7.143,15.623,14.058,15.406,14.176,10.128,9.864,19.934,23.717000000000002,16.847,12.772,13.431,16.021,18.609,27.296,16.203,10.179,6.689,0.21060483870967742,0.25447849462365596,0.2452943548387097,0.24341532258064516,0.07633333333333332,52.23,94.666,60.833000000000006,60.367,28.395999999999997,0.0767912146023371,0.062347976079550706,0.04293459584608069,0.09126876274458713,0.03843181861049938,0.21083796296296295,0.2072361111111111,0.18855208333333331,0.17954166666666668,0.18992592592592594,0.18671296296296294,0.22566666666666668,45.541,44.763,36.202,34.472,41.024,40.33,54.160000000000004,0.24754413586928908,0.28383622003930625,0.22856221991527897,0.2185757283875307,0.22002721623212804,0.21611930602292612,0.3009971943692019,0.19573837209302328,0.20721491228070174,202.002,94.49,0.24154541508073152,0.26464931363165595,0.19925537634408602,296.492,0.24882018170247802,144.37,152.122,296.492,13.325,28.277,32.006,29.713,41.049,7.199,31.567,34.157000000000004,31.592,33.618,13.989
JACL,0.10905577956989247,0.09014513579740478,0.03,1.122,0.065,0.093,0.126,162.275,0.10905577956989244,2.6173387096774197,0.1207258064516129,0.09427419354838709,0.06893548387096775,0.0740483870967742,0.07451612903225807,0.07230645161290322,0.07151612903225807,0.06764516129032258,0.08901612903225807,0.09541935483870968,0.1318709677419355,0.10406451612903225,0.12570967741935485,0.13541935483870968,0.28033870967741936,0.1345806451612903,0.09258064516129033,0.10064516129032258,0.10185483870967743,0.09954838709677419,0.11140322580645161,0.12885483870967743,0.12209677419354839,0.11996774193548386,7.485,5.845,4.274,4.591,4.62,4.483,4.434,4.194,5.519,5.916,8.176,6.452,7.7940000000000005,8.396,17.381,8.344,5.74,6.24,6.315,6.172,6.907,7.989,7.57,7.438,7.485,5.845,4.274,4.591,4.62,4.483,4.434,4.194,5.519,5.916,8.176,6.452,7.7940000000000005,8.396,17.381,8.344,5.74,6.24,6.315,6.172,6.907,7.989,7.57,7.438,0.0808991935483871,0.15199731182795698,0.09865725806451614,0.12058064516129033,0.08413440860215053,20.063000000000002,56.543,24.467000000000002,29.904,31.298000000000002,0.02286747269186632,0.05079863905294192,0.0016855468557691255,0.018414115977739554,0.00545059792896673,0.10880555555555554,0.10127314814814815,0.10541666666666666,0.09831770833333332,0.10356944444444444,0.1262824074074074,0.11722083333333333,23.502,21.875,20.24,18.877,22.371,27.277,28.133,0.07251950285663604,0.06387884186814254,0.06364268162920518,0.04955010261408464,0.07398865275455495,0.14299614197345917,0.1145363821139578,0.10355135658914728,0.12151315789473684,106.865,55.41,0.06562813913309232,0.1287383744547775,0.10905577956989247,162.275,0.09014513579740478,76.947,85.328,162.275,8.293,15.215,17.455,17.26,18.724,2.944,19.506,19.542,18.839,18.86,5.6370000000000005
JALG,0.3184280913978495,0.284986468733134,0.039,1.841,0.12475,0.207,0.419,473.821,0.3184280913978495,7.642274193548387,0.17059677419354838,0.11619354838709677,0.11075806451612903,0.09629032258064515,0.10438709677419354,0.09359677419354838,0.1186774193548387,0.14830645161290323,0.2342741935483871,0.4005967741935484,0.3862258064516129,0.3468064516129032,0.39396774193548384,0.6046451612903225,0.5340322580645162,0.5252580645161291,0.40830645161290324,0.43533870967741933,0.39640322580645165,0.38641935483870965,0.4939354838709677,0.5355483870967742,0.3500967741935484,0.25161290322580643,10.577,7.204,6.867,5.97,6.4719999999999995,5.803,7.358,9.195,14.525,24.837,23.946,21.502,24.426,37.488,33.11,32.566,25.315,26.991,24.577,23.958,30.624,33.204,21.706,15.6,10.577,7.204,6.867,5.97,6.4719999999999995,5.803,7.358,9.195,14.525,24.837,23.946,21.502,24.426,37.488,33.11,32.566,25.315,26.991,24.577,23.958,30.624,33.204,21.706,15.6,0.22546370967741935,0.4651559139784946,0.40661693548387096,0.4077983870967742,0.1153037634408602,55.915000000000006,173.03799999999998,100.841,101.134,42.892999999999994,0.15380727555511492,0.06299321805582422,0.023322284864425197,0.09694273282628778,0.02279762580898918,0.32160648148148147,0.30400925925925926,0.3344427083333333,0.3120833333333333,0.31732870370370364,0.28926851851851854,0.3480416666666667,69.467,65.666,64.213,59.92,68.54299999999999,62.482,83.53,0.27918922107971383,0.27849497495764275,0.28894825865009066,0.27726312626589295,0.29810311671554374,0.2675945425272218,0.30136653605137365,0.31764437984496124,0.32020175438596493,327.809,146.012,0.28419993796700477,0.28706386102156367,0.3184280913978495,473.821,0.2849864687331338,238.224,235.597,473.821,21.724,53.236,51.49,55.838,55.936,7.946,55.422,53.077,53.382,49.346000000000004,16.424
JLG,0.13862903225806453,0.1627647751866617,0.037,2.256,0.05175,0.099,0.157,206.28,0.1386290322580645,3.3270967741935484,0.1145,0.06759677419354838,0.051596774193548384,0.054096774193548386,0.05137096774193548,0.049483870967741934,0.04859677419354839,0.0477741935483871,0.06911290322580646,0.15598387096774194,0.20598387096774196,0.2160967741935484,0.12588709677419355,0.16774193548387098,0.2068709677419355,0.23641935483870966,0.18129032258064517,0.1405967741935484,0.15425806451612903,0.16922580645161292,0.20046774193548386,0.22117741935483873,0.22785483870967743,0.16311290322580643,7.099,4.191,3.199,3.354,3.185,3.068,3.013,2.962,4.285,9.671,12.771,13.398,7.805,10.4,12.826,14.658,11.24,8.717,9.564,10.492,12.429,13.713000000000001,14.127,10.113,7.099,4.191,3.199,3.354,3.185,3.068,3.013,2.962,4.285,9.671,12.771,13.398,7.805,10.4,12.826,14.658,11.24,8.717,9.564,10.492,12.429,13.713000000000001,14.127,10.113,0.08036693548387097,0.19316666666666668,0.16134274193548387,0.2031532258064516,0.06477419354838711,19.930999999999997,71.858,40.013000000000005,50.382000000000005,24.096,0.08320428077307102,0.06565805641283758,0.03123844727339238,0.09762288225594427,0.03691084575411661,0.1350324074074074,0.12339814814814815,0.16148437499999999,0.13603125,0.14076851851851852,0.14456018518518518,0.13210416666666666,29.167,26.654,31.005,26.118,30.406,31.225,31.705,0.14110802019545088,0.12197952095101217,0.19564111219464875,0.13511805604981383,0.16946084717490606,0.22055487338721236,0.13429693566188677,0.13890503875968993,0.13800438596491227,143.35,62.93,0.15449043518083933,0.180272809083918,0.13862903225806453,206.28,0.16276477518666177,94.166,112.114,206.28,6.26,20.83,20.25,22.947,23.879,3.48,22.401,21.229,24.477,32.835,7.692
JMM,0.26816868279569894,0.20070082768414046,0.064,2.194,0.16,0.233,0.303,399.035,0.26816868279569894,6.436048387096773,0.22935483870967743,0.18758064516129033,0.16082258064516128,0.14516129032258066,0.13253225806451613,0.1420483870967742,0.14061290322580644,0.16888709677419356,0.2007741935483871,0.2335483870967742,0.27311290322580645,0.30987096774193545,0.35061290322580646,0.5696290322580645,0.36643548387096775,0.26988709677419354,0.27769354838709676,0.3003870967741935,0.3899354838709677,0.34166129032258064,0.33985483870967736,0.3265483870967742,0.3077741935483871,0.2713225806451613,14.22,11.63,9.971,9.0,8.217,8.807,8.718,10.471,12.448,14.48,16.933,19.212,21.738,35.317,22.719,16.733,17.217,18.624,24.176,21.183,21.070999999999998,20.246,19.082,16.822,14.22,11.63,9.971,9.0,8.217,8.807,8.718,10.471,12.448,14.48,16.933,19.212,21.738,35.317,22.719,16.733,17.217,18.624,24.176,21.183,21.070999999999998,20.246,19.082,16.822,0.18595564516129032,0.3565913978494624,0.32741935483870965,0.311375,0.16625,46.117000000000004,132.652,81.19999999999999,77.22099999999999,61.845,0.01992318025279155,0.09904511842051035,0.04634443782377421,0.04148353763421683,0.014073416172663493,0.28763425925925923,0.2979074074074074,0.23815104166666667,0.25515104166666663,0.25795370370370374,0.2684490740740741,0.2672541666666667,62.129,64.348,45.725,48.989,55.718,57.985,64.141,0.22703199350897238,0.2310199039864279,0.12887939530018233,0.17369632011630504,0.18850404396423417,0.23076231041076742,0.19206154757754101,0.26832267441860463,0.2678201754385965,276.909,122.126,0.1960625445780988,0.21104306760295596,0.26816868279569894,399.035,0.20070082768414052,182.495,216.54,399.035,14.635,40.527,42.144,41.81,43.379,4.263,46.589,46.89,46.718,51.626,20.454
