archivo,media_consumo,std_consumo,min_consumo,max_consumo,percentil_25_consumo,percentil_50_consumo,percentil_75_consumo,sum_consumo,promedio_por_dia,consumo_medio_diario,consumo_00,consumo_01,consumo_02,consumo_03,consumo_04,consumo_05,consumo_06,consumo_07,consumo_08,consumo_09,consumo_10,consumo_11,consumo_12,consumo_13,consumo_14,consumo_15,consumo_16,consumo_17,consumo_18,consumo_19,consumo_20,consumo_21,consumo_22,consumo_23,consumo_00_suma,consumo_01_suma,consumo_02_suma,consumo_03_suma,consumo_04_suma,consumo_05_suma,consumo_06_suma,consumo_07_suma,consumo_08_suma,consumo_09_suma,consumo_10_suma,consumo_11_suma,consumo_12_suma,consumo_13_suma,consumo_14_suma,consumo_15_suma,consumo_16_suma,consumo_17_suma,consumo_18_suma,consumo_19_suma,consumo_20_suma,consumo_21_suma,consumo_22_suma,consumo_23_suma,consumo_00_std,consumo_01_std,consumo_02_std,consumo_03_std,consumo_04_std,consumo_05_std,consumo_06_std,consumo_07_std,consumo_08_std,consumo_09_std,consumo_10_std,consumo_11_std,consumo_12_std,consumo_13_std,consumo_14_std,consumo_15_std,consumo_16_std,consumo_17_std,consumo_18_std,consumo_19_std,consumo_20_std,consumo_21_std,consumo_22_std,consumo_23_std,Mañana,Mediodia,Tarde,Noche,Madrugada,s_Mañana,s_Mediodia,s_Tarde,s_Noche,s_Madrugada,std_Mañana,std_Mediodia,std_Tarde,std_Noche,std_Madrugada,Lunes,Martes,Miércoles,Jueves,Viernes,Sábado,Domingo,s_Lunes,s_Martes,s_Miércoles,s_Jueves,s_Viernes,s_Sábado,s_Domingo,std_Lunes,std_Martes,std_Miércoles,std_Jueves,std_Viernes,std_Sábado,std_Domingo,Entre semana,Fin de semana,s_Entre semana,s_Fin de semana,std_Entre semana,std_Fin de semana,invierno,s_invierno,std_invierno,2024-01,Enero,2024-01-01/2024-01-07,2024-01-08/2024-01-14,2024-01-15/2024-01-21,2024-01-22/2024-01-28,2024-01-29/2024-02-04
ABLD,0.21454301075268817,0.2603000252158976,0.046,1.87,0.06,0.0985,0.239,159.62,0.2145430107526882,5.1490322580645165,0.08683870967741936,0.07480645161290322,0.07119354838709677,0.0812258064516129,0.093,0.07948387096774194,0.0664516129032258,0.25161290322580643,0.25958064516129037,0.11196774193548388,0.13616129032258065,0.21351612903225806,0.254,0.252,0.4330967741935484,0.4120645161290323,0.2615483870967742,0.21516129032258063,0.21996774193548388,0.22351612903225807,0.47458064516129034,0.43458064516129036,0.2691290322580645,0.1735483870967742,2.692,2.319,2.207,2.518,2.883,2.464,2.06,7.8,8.047,3.471,4.221,6.619,7.874,7.812,13.426,12.774000000000001,8.108,6.67,6.819,6.929,14.712,13.472000000000001,8.343,5.38,2.692,2.319,2.207,2.518,2.883,2.464,2.06,7.8,8.047,3.471,4.221,6.619,7.874,7.812,13.426,12.774000000000001,8.108,6.67,6.819,6.929,14.712,13.472000000000001,8.343,5.38,0.17240322580645162,0.28347311827956995,0.2300483870967742,0.3379596774193549,0.08109139784946237,21.378,52.726,28.526000000000003,41.907000000000004,15.083,0.1297607517301343,0.09458438660451896,0.02347632541516253,0.0937457089166897,0.033504024473560386,0.242575,0.19808333333333333,0.23247500000000001,0.19920833333333332,0.19965625,0.22254166666666667,0.19988541666666668,29.109,23.77,27.897000000000002,19.124,19.167,21.364,19.189,0.29590569308764686,0.23242147253719597,0.27878361123056766,0.21981489421624337,0.2805928246118995,0.26805148431899056,0.2320233595223444,0.21570108695652176,0.21121354166666664,119.06700000000001,40.553,0.2639056975586129,0.2502862261470041,0.21454301075268817,159.62,0.2603000252158976,159.62,159.62,39.397,36.528,34.567,36.674,12.454
AJVG,0.43881720430107524,0.5960064484505149,0.019,3.677,0.047,0.17149999999999999,0.66625,326.47999999999996,0.43881720430107524,10.531612903225803,0.2815806451612903,0.20825806451612905,0.10538709677419356,0.10348387096774195,0.11012903225806452,0.0682258064516129,0.29019354838709677,1.0675161290322581,0.5004193548387097,0.22870967741935483,0.3077741935483871,0.44258064516129036,0.40348387096774196,0.40261290322580645,0.4423225806451613,0.32261290322580644,0.3113548387096774,0.30729032258064515,0.4757741935483871,0.8104516129032259,0.8912258064516129,1.0193548387096774,0.9323870967741935,0.49848387096774194,8.729,6.456,3.2670000000000003,3.208,3.414,2.1149999999999998,8.996,33.093,15.513,7.09,9.541,13.72,12.508000000000001,12.481,13.712,10.001,9.652,9.526,14.749,25.124000000000002,27.628,31.6,28.904,15.453,8.729,6.456,3.2670000000000003,3.208,3.414,2.1149999999999998,8.996,33.093,15.513,7.09,9.541,13.72,12.508000000000001,12.481,13.712,10.001,9.652,9.526,14.749,25.124000000000002,27.628,31.6,28.904,15.453,0.5217096774193548,0.3868978494623656,0.47621774193548394,0.8353629032258063,0.14617741935483872,64.69200000000001,71.96300000000001,59.051,103.58500000000001,27.188999999999997,0.19484004069268332,0.2026174465823211,0.0880716721025866,0.14649945816785,0.1170624814471114,0.40274166666666666,0.4534,0.3864,0.41789583333333336,0.2715104166666667,0.7077395833333333,0.4505104166666667,48.329,54.408,46.368,40.118,26.065,67.943,43.249,0.511172330227758,0.615638882473683,0.555868362991446,0.5321406517506571,0.4178044114249399,0.8255834586877161,0.5851921680734982,0.3900144927536232,0.579125,215.288,111.192,0.5361303879589623,0.7252355132908344,0.4388172043010753,326.48,0.596006448450515,326.48,326.48,75.024,94.44800000000001,81.017,44.014,31.977
ATF,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FJAG,0.3796447849462291,0.33380286525658964,0.075,3.161,0.171,0.2615,0.44175,282.45571999999447,0.37964478494622905,9.111474838709498,0.209,0.14548387096774193,0.14651612903225805,0.14051612903225805,0.14980645161290324,0.15225806451612903,0.2711290322580645,0.2915161290322581,0.254741935483871,0.2601367741935368,0.2943625806451497,0.43881806451611166,0.8137574193548156,0.6517935483870678,0.49814838709674525,0.5742051612903052,0.3928787096774078,0.48684645161289164,0.5948141935483756,0.7242619354838652,0.47870967741935483,0.47119354838709676,0.44419354838709674,0.22638709677419355,6.479,4.51,4.542,4.356,4.644,4.72,8.405,9.037,7.897,8.064239999999641,9.125239999999641,13.603359999999462,25.226479999999285,20.2055999999991,15.442599999999103,17.80035999999946,12.179239999999641,15.092239999999641,18.439239999999643,22.45211999999982,14.84,14.607,13.77,7.018,6.479,4.51,4.542,4.356,4.644,4.72,8.405,9.037,7.897,8.064239999999641,9.125239999999641,13.603359999999462,25.226479999999285,20.2055999999991,15.442599999999103,17.80035999999946,12.179239999999641,15.092239999999641,18.439239999999643,22.45211999999982,14.84,14.607,13.77,7.018,0.2693809677419326,0.5451808602150325,0.5497003225806351,0.4051209677419355,0.15726344086021507,33.40323999999964,101.40363999999605,68.16283999999875,50.235,29.250999999999998,0.053614088324862204,0.14600323747159155,0.0641623932406069,0.0959045766457437,0.05696991054192224,0.34106666666666663,0.3203416666666667,0.3566129999999806,0.3803983333333296,0.4614137499999888,0.36046874999999995,0.46743958333331465,40.928,38.441,42.79355999999767,36.51823999999964,44.29571999999892,34.605,44.874199999998204,0.24559414266868262,0.19461910638122726,0.30937405244627825,0.4286937750954726,0.4223008128691962,0.2732805365274608,0.4121347336360632,0.36771108695651494,0.4139541666666573,202.97651999999624,79.4791999999982,0.3264042048570343,0.3528514735860568,0.37964478494622905,282.4557199999944,0.33380286525658953,282.4557199999944,282.4557199999944,56.194,66.1081999999982,56.649,76.15403999999695,27.350479999999283
FMB,0.19934543010752687,0.21115226473417698,0.01,2.721,0.057,0.1665,0.251,148.313,0.19934543010752684,4.784290322580646,0.15103225806451614,0.10651612903225807,0.10238709677419354,0.07729032258064515,0.0634516129032258,0.0687741935483871,0.13141935483870967,0.09409677419354838,0.1761290322580645,0.2561935483870968,0.21351612903225806,0.31229032258064515,0.30729032258064515,0.34538709677419355,0.183,0.21716129032258066,0.27483870967741936,0.2633548387096774,0.39483870967741935,0.27541935483870966,0.2571935483870968,0.21229032258064515,0.1542258064516129,0.14619354838709678,4.682,3.302,3.174,2.396,1.967,2.132,4.074,2.917,5.46,7.942,6.619,9.681,9.526,10.707,5.673,6.732,8.52,8.164,12.24,8.538,7.973,6.5809999999999995,4.781,4.532,4.682,3.302,3.174,2.396,1.967,2.132,4.074,2.917,5.46,7.942,6.619,9.681,9.526,10.707,5.673,6.732,8.52,8.164,12.24,8.538,7.973,6.5809999999999995,4.781,4.532,0.16445967741935485,0.2631075268817204,0.3021129032258064,0.19247580645161289,0.09490860215053763,20.393,48.938,37.462,23.866999999999997,17.653,0.09182899980228638,0.056993302146886,0.14427208059217864,0.046065469093111384,0.025710295881264677,0.221975,0.208925,0.18303333333333333,0.23280208333333333,0.1719270833333333,0.16737500000000002,0.20540625,26.637,25.071,21.964,22.349,16.505,16.068,19.719,0.1939161848962223,0.16470616375276076,0.1431843692077951,0.3371871452813444,0.14790546374674718,0.1837001704723731,0.2618418798927885,0.2038514492753623,0.186390625,112.526,35.787,0.20561469003975924,0.22638270546959413,0.19934543010752687,148.313,0.21115226473417686,148.313,148.313,32.333,39.319,31.084,30.532,15.045
GPC,0.19838575268817202,0.24394939761945375,0.027,2.077,0.062,0.097,0.21775,147.599,0.1983857526881721,4.76125806451613,0.07319354838709678,0.07245161290322581,0.060645161290322575,0.0677741935483871,0.06048387096774194,0.064,0.1167741935483871,0.23080645161290322,0.18867741935483873,0.27045161290322584,0.18103225806451614,0.18183870967741933,0.13983870967741935,0.28925806451612907,0.3969032258064516,0.3639032258064516,0.2914516129032258,0.29496774193548386,0.244,0.27267741935483875,0.4448064516129032,0.27861290322580645,0.09954838709677419,0.07716129032258064,2.269,2.246,1.88,2.101,1.875,1.984,3.62,7.155,5.849,8.384,5.612,5.637,4.335,8.967,12.304,11.281,9.035,9.144,7.564,8.453000000000001,13.789,8.637,3.086,2.392,2.269,2.246,1.88,2.101,1.875,1.984,3.62,7.155,5.849,8.384,5.612,5.637,4.335,8.967,12.304,11.281,9.035,9.144,7.564,8.453000000000001,13.789,8.637,3.086,2.392,0.2016774193548387,0.2587956989247312,0.2757741935483871,0.22503225806451613,0.0664247311827957,25.008000000000003,48.136,34.196000000000005,27.904,12.355,0.09337482096943747,0.10248739519610066,0.046527270720363986,0.13880351195333523,0.005627956461201201,0.194575,0.17526666666666665,0.17693333333333333,0.2021770833333333,0.18927083333333336,0.22338541666666667,0.2391875,23.349,21.032,21.232,19.409,18.17,21.445,22.962,0.2529246296375877,0.18744006250215647,0.21692494668201998,0.2633771358334367,0.21876901922331193,0.3036074810045527,0.2631787190444826,0.18694202898550724,0.23128645833333336,103.192,44.407000000000004,0.22778003902787844,0.28347910755996286,0.19838575268817202,147.599,0.24394939761945383,147.599,147.599,33.555,29.695,34.263,36.09,13.996
JACL,0.108875,0.08456470262475628,0.03,0.995,0.06675,0.096,0.12725,81.003,0.108875,2.613,0.12545161290322582,0.07238709677419354,0.07629032258064516,0.07480645161290322,0.07883870967741935,0.06667741935483872,0.062129032258064515,0.07370967741935484,0.08648387096774193,0.10893548387096773,0.10874193548387097,0.10212903225806451,0.10670967741935483,0.13948387096774192,0.307741935483871,0.11854838709677419,0.10958064516129033,0.0992258064516129,0.11593548387096775,0.11380645161290323,0.09580645161290323,0.1332258064516129,0.11241935483870967,0.12393548387096774,3.8890000000000002,2.2439999999999998,2.365,2.319,2.444,2.067,1.926,2.285,2.681,3.377,3.371,3.166,3.308,4.324,9.540000000000001,3.675,3.3970000000000002,3.076,3.5940000000000003,3.528,2.97,4.13,3.485,3.842,3.8890000000000002,2.2439999999999998,2.365,2.319,2.444,2.067,1.926,2.285,2.681,3.377,3.371,3.166,3.308,4.324,9.540000000000001,3.675,3.3970000000000002,3.076,3.5940000000000003,3.528,2.97,4.13,3.485,3.842,0.08281451612903225,0.1472258064516129,0.10963709677419356,0.11634677419354839,0.08240860215053764,10.269,27.384,13.595,14.427,15.328,0.005036963168046419,0.05102969961049495,0.004755289910544732,0.00732171599882472,0.006166978421423785,0.11221666666666667,0.11773333333333333,0.10586666666666668,0.09916666666666667,0.10353125,0.10588541666666668,0.11542708333333333,13.466000000000001,14.128,12.704,9.52,9.939,10.165000000000001,11.081,0.09303168190210806,0.10973801753721085,0.06940454218702458,0.058285805199201804,0.044314415647851275,0.06945682032997824,0.11611788427389472,0.1082554347826087,0.11065625,59.757,21.246,0.08048084827806265,0.09554454876354443,0.108875,81.003,0.08456470262475622,81.003,81.003,17.012,17.266000000000002,19.479,18.801,8.445
JALG,0.32507930107526883,0.29987224359401976,0.027,1.641,0.08775,0.214,0.44275,241.859,0.3250793010752688,7.801903225806453,0.18429032258064518,0.12164516129032257,0.1059032258064516,0.08993548387096775,0.0852258064516129,0.08312903225806452,0.08248387096774193,0.15441935483870967,0.3249032258064516,0.4983870967741935,0.507774193548387,0.3708064516129032,0.35038709677419355,0.49035483870967744,0.5894193548387097,0.5390967741935484,0.35235483870967743,0.38525806451612904,0.401741935483871,0.3347096774193548,0.4983548387096774,0.6093870967741936,0.4225161290322581,0.21941935483870967,5.713,3.771,3.283,2.7880000000000003,2.642,2.577,2.557,4.787,10.072,15.45,15.741,11.495,10.862,15.201,18.272,16.712,10.923,11.943,12.454,10.376,15.449,18.891000000000002,13.098,6.802,5.713,3.771,3.283,2.7880000000000003,2.642,2.577,2.557,4.787,10.072,15.45,15.741,11.495,10.862,15.201,18.272,16.712,10.923,11.943,12.454,10.376,15.449,18.891000000000002,13.098,6.802,0.2650483870967742,0.47463978494623654,0.36851612903225806,0.43741935483870964,0.11168817204301078,32.866,88.283,45.696,54.24,20.774,0.20159293773989068,0.10535807950405436,0.030543194974015524,0.07167488072556183,0.041322118449495106,0.33615833333333334,0.325175,0.3172666666666667,0.27588541666666666,0.29755208333333333,0.35210416666666666,0.3705729166666667,40.339,39.021,38.072,26.485,28.565,33.802,35.575,0.30950670960629684,0.3371641662454657,0.30256832642704484,0.24853147083541363,0.23629031518080806,0.32643324389421224,0.309505335207537,0.3124673913043478,0.3613385416666666,172.482,69.377,0.2927837337083754,0.31738322249352624,0.32507930107526883,241.859,0.29987224359401976,241.859,241.859,56.82,57.473,53.561,50.984,23.021
JLG,0.1595927419354839,0.1777910882590645,0.037,1.292,0.05,0.116,0.17825,118.73700000000001,0.15959274193548384,3.830225806451613,0.1120967741935484,0.060838709677419354,0.05016129032258064,0.04932258064516129,0.051258064516129034,0.05035483870967742,0.04835483870967742,0.04632258064516129,0.09170967741935483,0.23545161290322583,0.28383870967741937,0.25048387096774194,0.1897741935483871,0.3034516129032258,0.2978709677419355,0.1987741935483871,0.1804516129032258,0.18119354838709678,0.1851290322580645,0.16983870967741935,0.17212903225806453,0.2186451612903226,0.24016129032258066,0.16261290322580646,3.475,1.886,1.555,1.529,1.589,1.561,1.4989999999999999,1.436,2.843,7.299,8.799,7.765,5.883,9.407,9.234,6.162,5.594,5.617,5.739,5.265,5.336,6.7780000000000005,7.445,5.041,3.475,1.886,1.555,1.529,1.589,1.561,1.4989999999999999,1.436,2.843,7.299,8.799,7.765,5.883,9.407,9.234,6.162,5.594,5.617,5.739,5.265,5.336,6.7780000000000005,7.445,5.041,0.10545967741935483,0.2540322580645161,0.1791532258064516,0.19838709677419356,0.06233870967741936,13.077,47.25,22.215,24.6,11.595,0.10257728241730477,0.05620642721723195,0.032088188338587655,0.0766954944893275,0.011132302933244303,0.159525,0.15735833333333332,0.13609166666666667,0.17597916666666666,0.15567708333333333,0.17559375,0.16337500000000002,19.143,18.883,16.331,16.894,14.945,16.857,15.684000000000001,0.15767032740137613,0.17921785230672244,0.1313137237596248,0.198717359672193,0.17100621686400858,0.208913156378182,0.2015126612190384,0.15615217391304348,0.16948437500000002,86.196,32.541000000000004,0.16744884755348316,0.2047998889623211,0.15959274193548387,118.737,0.1777910882590645,118.737,118.737,26.925,23.536,27.349,27.837,13.09
JMM,0.23896370967741934,0.21237278361315035,0.066,1.935,0.124,0.186,0.262,177.789,0.23896370967741937,5.735129032258064,0.21822580645161288,0.16180645161290322,0.12774193548387097,0.13145161290322582,0.11283870967741937,0.1232258064516129,0.11880645161290322,0.1368709677419355,0.1918709677419355,0.2166774193548387,0.21454838709677418,0.18929032258064518,0.2539677419354839,0.3838709677419355,0.41745161290322585,0.30412903225806454,0.2613548387096774,0.2304516129032258,0.25393548387096776,0.4360322580645161,0.41716129032258065,0.3173870967741936,0.2719677419354839,0.24406451612903227,6.765,5.016,3.96,4.075,3.498,3.82,3.683,4.243,5.948,6.717,6.651,5.868,7.873,11.9,12.941,9.428,8.102,7.144,7.872,13.517,12.932,9.839,8.431000000000001,7.566,6.765,5.016,3.96,4.075,3.498,3.82,3.683,4.243,5.948,6.717,6.651,5.868,7.873,11.9,12.941,9.428,8.102,7.144,7.872,13.517,12.932,9.839,8.431000000000001,7.566,0.16605645161290322,0.29387634408602153,0.2954435483870968,0.3126451612903226,0.14588172043010753,20.591,54.661,36.635000000000005,38.768,27.134,0.047907235247896654,0.10005177161388036,0.14615284412461077,0.08318574837650394,0.014004080897839282,0.22453333333333333,0.23928333333333332,0.20268333333333333,0.25936458333333334,0.22294791666666666,0.28683333333333333,0.24969791666666666,26.944,28.714,24.322,24.899,21.403,27.536,23.971,0.1964126565490653,0.2363707450841848,0.16473110166068133,0.2657708201396822,0.2190108562457779,0.2110838030968377,0.17958578772694894,0.22877173913043478,0.268265625,126.282,51.507,0.21691552981854892,0.19633953192484174,0.23896370967741934,177.789,0.2123727836131504,177.789,177.789,42.484,40.979,39.431,40.114,14.781
