archivo,media_consumo,std_consumo,min_consumo,max_consumo,percentil_25_consumo,percentil_50_consumo,percentil_75_consumo,sum_consumo,promedio_por_dia,consumo_medio_diario,consumo_00,consumo_01,consumo_02,consumo_03,consumo_04,consumo_05,consumo_06,consumo_07,consumo_08,consumo_09,consumo_10,consumo_11,consumo_12,consumo_13,consumo_14,consumo_15,consumo_16,consumo_17,consumo_18,consumo_19,consumo_20,consumo_21,consumo_22,consumo_23,consumo_00_suma,consumo_01_suma,consumo_02_suma,consumo_03_suma,consumo_04_suma,consumo_05_suma,consumo_06_suma,consumo_07_suma,consumo_08_suma,consumo_09_suma,consumo_10_suma,consumo_11_suma,consumo_12_suma,consumo_13_suma,consumo_14_suma,consumo_15_suma,consumo_16_suma,consumo_17_suma,consumo_18_suma,consumo_19_suma,consumo_20_suma,consumo_21_suma,consumo_22_suma,consumo_23_suma,consumo_00_std,consumo_01_std,consumo_02_std,consumo_03_std,consumo_04_std,consumo_05_std,consumo_06_std,consumo_07_std,consumo_08_std,consumo_09_std,consumo_10_std,consumo_11_std,consumo_12_std,consumo_13_std,consumo_14_std,consumo_15_std,consumo_16_std,consumo_17_std,consumo_18_std,consumo_19_std,consumo_20_std,consumo_21_std,consumo_22_std,consumo_23_std,Mañana,Mediodia,Tarde,Noche,Madrugada,s_Mañana,s_Mediodia,s_Tarde,s_Noche,s_Madrugada,std_Mañana,std_Mediodia,std_Tarde,std_Noche,std_Madrugada,Lunes,Martes,Miércoles,Jueves,Viernes,Sábado,Domingo,s_Lunes,s_Martes,s_Miércoles,s_Jueves,s_Viernes,s_Sábado,s_Domingo,std_Lunes,std_Martes,std_Miércoles,std_Jueves,std_Viernes,std_Sábado,std_Domingo,Entre semana,Fin de semana,s_Entre semana,s_Fin de semana,std_Entre semana,std_Fin de semana,invierno,s_invierno,std_invierno,2023-02,Febrero,2023-01-30/2023-02-05,2023-02-06/2023-02-12,2023-02-13/2023-02-19,2023-02-20/2023-02-26,2023-02-27/2023-03-05
ABLD,0.21667113095238097,0.24355279043499858,0.053,1.662,0.073,0.118,0.23825,145.603,0.21667113095238094,5.200107142857143,0.11089285714285714,0.09335714285714285,0.0840357142857143,0.07764285714285714,0.09721428571428571,0.09167857142857143,0.07721428571428571,0.1367857142857143,0.23914285714285713,0.09375,0.19939285714285715,0.29707142857142854,0.37592857142857145,0.4817142857142857,0.4393214285714286,0.3854285714285714,0.3028571428571429,0.19464285714285715,0.18075,0.2087142857142857,0.42475,0.29471428571428576,0.16839285714285715,0.1447142857142857,3.105,2.614,2.353,2.174,2.722,2.567,2.162,3.83,6.696,2.625,5.583,8.318,10.526,13.488,12.301,10.792,8.48,5.45,5.061,5.844,11.893,8.252,4.715,4.052,3.105,2.614,2.353,2.174,2.722,2.567,2.162,3.83,6.696,2.625,5.583,8.318,10.526,13.488,12.301,10.792,8.48,5.45,5.061,5.844,11.893,8.252,4.715,4.052,0.13672321428571427,0.36314285714285716,0.22174107142857144,0.2581428571428572,0.09247023809523808,15.312999999999999,61.008,24.835,28.912000000000003,15.534999999999998,0.04113292140642977,0.04131980574304536,0.061771175517765266,0.11309910952427345,0.038161488870693414,0.21119791666666665,0.24870833333333334,0.20258333333333334,0.21290625,0.22308333333333333,0.20426041666666664,0.21395833333333333,20.275,23.876,19.448,20.439,21.416,19.608999999999998,20.54,0.2320084671681603,0.2832972742792191,0.20857706724962874,0.25908101062368405,0.2622216686484393,0.2354077423397726,0.22044390224065558,0.2196958333333333,0.20910937500000001,105.454,40.149,0.2498487959935555,0.22750277258681023,0.21667113095238097,145.603,0.24355279043499867,145.603,145.603,26.439,33.488,34.903999999999996,38.682,12.09
AJVG,0.4528973214285714,0.491975990707328,0.018,2.903,0.048,0.2505,0.73975,304.347,0.4528973214285715,10.869535714285714,0.18667857142857142,0.13714285714285715,0.07060714285714285,0.05253571428571429,0.06389285714285714,0.06896428571428571,0.1484285714285714,0.6042500000000001,0.5849642857142857,0.7522142857142857,0.5905357142857143,0.5862857142857143,0.3715357142857143,0.3413928571428571,0.7723571428571429,0.8253571428571428,0.5116785714285714,0.47710714285714284,0.5073571428571428,0.6615714285714286,0.7244285714285714,0.8527857142857143,0.5956785714285714,0.3817857142857143,5.226999999999999,3.84,1.977,1.471,1.789,1.931,4.156,16.919,16.379,21.062,16.535,16.416,10.403,9.559,21.626,23.11,14.327,13.359,14.206,18.524,20.284,23.878,16.679,10.69,5.226999999999999,3.84,1.977,1.471,1.789,1.931,4.156,16.919,16.379,21.062,16.535,16.416,10.403,9.559,21.626,23.11,14.327,13.359,14.206,18.524,20.284,23.878,16.679,10.69,0.5224642857142858,0.5812440476190476,0.5394285714285714,0.6386696428571429,0.09663690476190477,58.516000000000005,97.649,60.416,71.53099999999999,16.235,0.13544297920648574,0.10061827282367945,0.12737473900549195,0.1312516376423278,0.06760336047543623,0.48052083333333334,0.5189374999999999,0.5094270833333333,0.4230416666666667,0.43370833333333336,0.4243958333333333,0.38025,46.13,49.818,48.905,40.612,41.636,40.742,36.504,0.5361338595452418,0.5824105228318451,0.4711115577974614,0.37253981536889147,0.48665829180489273,0.49905558131896893,0.4695408507534948,0.4731270833333333,0.40232291666666664,227.101,77.246,0.49427438908722615,0.4837594269231333,0.4528973214285714,304.347,0.4919759907073279,304.347,304.347,56.703,74.973,65.014,70.118,37.539
ATF,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FJAG,0.31465625,0.23790413601712276,0.065,1.749,0.154,0.245,0.37224999999999997,211.449,0.31465624999999997,7.551750000000001,0.1657857142857143,0.12632142857142856,0.1309642857142857,0.12160714285714284,0.13532142857142856,0.12832142857142856,0.2857857142857143,0.32196428571428576,0.24653571428571427,0.2075357142857143,0.22803571428571429,0.4488214285714286,0.6198214285714286,0.4743214285714286,0.3505714285714286,0.3146071428571428,0.27025,0.34732142857142856,0.4273214285714286,0.5660714285714286,0.5241071428571429,0.4345357142857143,0.44442857142857145,0.23139285714285715,4.642,3.537,3.667,3.405,3.789,3.593,8.002,9.015,6.903,5.811,6.385,12.567,17.355,13.281,9.816,8.809,7.567,9.725,11.965,15.85,14.675,12.167,12.444,6.479,4.642,3.537,3.667,3.405,3.789,3.593,8.002,9.015,6.903,5.811,6.385,12.567,17.355,13.281,9.816,8.809,7.567,9.725,11.965,15.85,14.675,12.167,12.444,6.479,0.2654553571428572,0.4060297619047619,0.4027410714285714,0.4086160714285714,0.1347202380952381,29.731,68.21300000000001,45.107,45.765,22.633,0.08382595135959992,0.10629715259793994,0.07270238301417739,0.04857648596012665,0.04635453556505422,0.3114270833333333,0.27427083333333335,0.3038854166666667,0.30063541666666665,0.3016041666666667,0.3066770833333333,0.40409375,29.897,26.330000000000002,29.173000000000002,28.861,28.954,29.441,38.793,0.2246034514798619,0.1475035399515741,0.20640745956489823,0.21330092998497724,0.1997949727604548,0.2636217184085307,0.3460479455105972,0.2983645833333333,0.3553854166666666,143.215,68.234,0.19967487769025757,0.3106643066225174,0.31465625,211.449,0.23790413601712276,211.449,211.449,41.379,51.541,55.841,48.376,14.312
FMB,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GPC,0.18592261904761903,0.2369708741502104,0.028,1.578,0.056,0.087,0.18225,124.94,0.18592261904761906,4.462142857142857,0.06553571428571428,0.10635714285714286,0.12503571428571428,0.09896428571428571,0.07042857142857142,0.06553571428571428,0.07925,0.3839642857142857,0.277,0.17728571428571427,0.163,0.09589285714285714,0.09103571428571429,0.07142857142857142,0.32539285714285715,0.3571785714285714,0.19185714285714286,0.21164285714285716,0.2779642857142857,0.43260714285714286,0.44649999999999995,0.1997857142857143,0.077,0.0715,1.835,2.978,3.501,2.771,1.972,1.835,2.219,10.751,7.756,4.9639999999999995,4.564,2.685,2.549,2.0,9.111,10.001,5.372,5.926,7.783,12.113,12.501999999999999,5.594,2.156,2.002,1.835,2.978,3.501,2.771,1.972,1.835,2.219,10.751,7.756,4.9639999999999995,4.564,2.685,2.549,2.0,9.111,10.001,5.372,5.926,7.783,12.113,12.501999999999999,5.594,2.156,2.002,0.229375,0.18398809523809523,0.27851785714285715,0.19869642857142855,0.08864285714285713,25.689999999999998,30.909999999999997,31.194,22.253999999999998,14.892,0.1240884269615718,0.10226731024447464,0.08298026314208028,0.14964824903111404,0.07438477804729868,0.15782291666666667,0.23594791666666667,0.17854166666666668,0.15785416666666666,0.17285416666666667,0.19989583333333336,0.19854166666666664,15.151,22.651,17.14,15.154,16.594,19.19,19.06,0.19498032261266868,0.28218688729995073,0.23183142317625932,0.18445675454763266,0.20522762608570008,0.2722593376356899,0.2650732934061691,0.18060416666666665,0.19921875,86.69,38.25,0.22344602684699744,0.267986899075153,0.18592261904761903,124.94,0.2369708741502105,124.94,124.94,23.907,27.551,32.347,31.084,10.051
JACL,0.10521428571428573,0.0792170624605834,0.028,0.72,0.063,0.0915,0.121,70.70400000000001,0.1052142857142857,2.5251428571428565,0.12185714285714286,0.07725000000000001,0.07103571428571429,0.071,0.06457142857142857,0.06485714285714286,0.06560714285714285,0.07846428571428572,0.08910714285714286,0.08428571428571428,0.11482142857142856,0.1447857142857143,0.12417857142857143,0.12114285714285714,0.2815714285714286,0.09685714285714286,0.0980357142857143,0.08696428571428572,0.10035714285714285,0.09492857142857143,0.0980357142857143,0.11421428571428571,0.13139285714285714,0.12982142857142856,3.412,2.1630000000000003,1.989,1.988,1.808,1.816,1.837,2.197,2.495,2.36,3.215,4.054,3.477,3.392,7.884,2.712,2.745,2.435,2.81,2.658,2.745,3.198,3.679,3.635,3.412,2.1630000000000003,1.989,1.988,1.808,1.816,1.837,2.197,2.495,2.36,3.215,4.054,3.477,3.392,7.884,2.712,2.745,2.435,2.81,2.658,2.745,3.198,3.679,3.635,0.07936607142857142,0.14722619047619048,0.09507142857142857,0.11836607142857142,0.07842857142857142,8.889,24.733999999999998,10.648,13.257,13.176,0.0073127899538520166,0.04786448371454779,0.028784717564598727,0.007646143194033697,0.00750089483216442,0.1009375,0.10109375,0.100125,0.10184375,0.10185416666666668,0.12363541666666666,0.10701041666666666,9.69,9.705,9.612,9.777,9.778,11.869,10.273,0.061068522773063794,0.05248098966593321,0.059449978973923956,0.06250041315652917,0.05564208539106586,0.1270763649225529,0.10355771284820305,0.10117083333333333,0.11532291666666666,48.562,22.142,0.05810371533952102,0.1159112311361173,0.1052142857142857,70.704,0.07921706246058341,70.704,70.704,12.858,15.745,18.526,18.27,5.305
JALG,0.31065625,0.3038860177174297,0.028,2.044,0.08275,0.1985,0.40325,208.76100000000002,0.31065624999999997,7.45575,0.17339285714285715,0.0912142857142857,0.09014285714285715,0.08553571428571428,0.07760714285714286,0.07892857142857143,0.11260714285714286,0.16835714285714287,0.29300000000000004,0.3158214285714286,0.24264285714285716,0.2635,0.4115714285714286,0.5742857142857142,0.5878214285714286,0.6908928571428571,0.38335714285714284,0.37360714285714286,0.23225,0.33667857142857144,0.49039285714285713,0.5547142857142857,0.5433928571428571,0.2840357142857143,4.855,2.554,2.524,2.395,2.173,2.21,3.153,4.714,8.204,8.843,6.7940000000000005,7.378,11.524000000000001,16.08,16.459,19.345,10.734,10.461,6.503,9.427,13.731,15.532,15.215,7.953,4.855,2.554,2.524,2.395,2.173,2.21,3.153,4.714,8.204,8.843,6.7940000000000005,7.378,11.524000000000001,16.08,16.459,19.345,10.734,10.461,6.503,9.427,13.731,15.532,15.215,7.953,0.22244642857142857,0.46178571428571424,0.3314732142857143,0.46813392857142855,0.0994702380952381,24.914,77.58,37.125,52.431,16.711,0.1547383096878274,0.0975982976407612,0.029040354248722488,0.08525958231163337,0.04018205877246648,0.34145833333333336,0.27234375,0.29648958333333336,0.3160833333333333,0.27057291666666666,0.28758333333333336,0.3900625,32.78,26.145,28.463,30.344,25.975,27.608,37.446,0.3451167587831435,0.23965228443353198,0.2912553227809676,0.2945067836468884,0.24349986468348847,0.35270159346831376,0.33054229166469357,0.2993895833333333,0.3388229166666667,143.707,65.054,0.28552378030353964,0.34475481825157833,0.31065624999999997,208.761,0.30388601771742957,208.761,208.761,36.258,53.371,50.227000000000004,53.949,14.956
JLG,0.13506696428571427,0.1528781597341707,0.048,1.132,0.06,0.095,0.146,90.76499999999999,0.13506696428571427,3.2416071428571427,0.10071428571428571,0.06978571428571428,0.06332142857142857,0.06521428571428571,0.06421428571428571,0.06471428571428571,0.06742857142857142,0.06899999999999999,0.11685714285714285,0.18389285714285714,0.18796428571428572,0.18757142857142856,0.19585714285714287,0.16460714285714287,0.17932142857142858,0.14453571428571427,0.15578571428571428,0.15075,0.12375,0.11875,0.17310714285714288,0.26657142857142857,0.1874642857142857,0.14042857142857143,2.82,1.954,1.773,1.826,1.798,1.812,1.888,1.932,3.272,5.149,5.263,5.252,5.484,4.609,5.021,4.047,4.362,4.221,3.465,3.3249999999999997,4.847,7.464,5.249,3.932,2.82,1.954,1.773,1.826,1.798,1.812,1.888,1.932,3.272,5.149,5.263,5.252,5.484,4.609,5.021,4.047,4.362,4.221,3.465,3.3249999999999997,4.847,7.464,5.249,3.932,0.10929464285714284,0.17664285714285713,0.13725892857142857,0.19189285714285717,0.07132738095238096,12.241,29.676000000000002,15.373,21.491999999999997,11.982999999999999,0.10745112502050962,0.05630477116437734,0.06375014836953766,0.07833144451193104,0.006234127580606795,0.14414583333333333,0.14861458333333333,0.12914583333333332,0.13385416666666666,0.13665625,0.16471875,0.08833333333333333,13.838,14.267,12.398,12.85,13.119,15.813,8.48,0.19542444921472132,0.1685874672117628,0.1200333268780113,0.11176036197495036,0.13393634215551806,0.219940504066321,0.043022066961200686,0.13848333333333332,0.12652604166666667,66.472,24.293,0.1488396866808233,0.16262596197029133,0.1350669642857143,90.765,0.1528781597341708,90.765,90.765,15.64,23.453,20.156,24.305,7.211
JMM,0.277125,0.22239580021284122,0.091,1.517,0.156,0.2085,0.294,186.228,0.27712499999999995,6.651000000000001,0.2067142857142857,0.16446428571428573,0.15403571428571428,0.14764285714285716,0.16160714285714287,0.14114285714285715,0.13760714285714287,0.14792857142857144,0.21564285714285716,0.2107857142857143,0.22649999999999998,0.4017857142857143,0.47285714285714286,0.4387857142857143,0.6022142857142858,0.32721428571428574,0.2910714285714286,0.24039285714285713,0.28835714285714287,0.26817857142857143,0.41282142857142856,0.32703571428571426,0.3605714285714286,0.30564285714285716,5.788,4.605,4.313,4.134,4.525,3.952,3.853,4.142,6.038,5.902,6.342,11.25,13.24,12.286,16.862000000000002,9.162,8.15,6.731,8.074,7.509,11.559,9.157,10.096,8.558,5.788,4.605,4.313,4.134,4.525,3.952,3.853,4.142,6.038,5.902,6.342,11.25,13.24,12.286,16.862000000000002,9.162,8.15,6.731,8.074,7.509,11.559,9.157,10.096,8.558,0.17799107142857146,0.4115595238095238,0.272,0.3515178571428571,0.16260119047619048,19.935000000000002,69.14200000000001,30.464,39.370000000000005,27.317,0.053366342663417,0.07814236035929248,0.03850068758339227,0.06534174548966416,0.010412661784584042,0.2732291666666667,0.25903125,0.23463541666666665,0.2615625,0.3152395833333333,0.2954583333333333,0.30071875,26.23,24.867,22.525,25.11,30.262999999999998,28.364,28.869,0.20347644266425105,0.17631332475692843,0.15702980741460104,0.19171699606176645,0.2711456297304639,0.24411269686751205,0.27846684402938204,0.26873958333333337,0.29808854166666665,128.995,57.233,0.20454299815896756,0.26118070107011104,0.277125,186.228,0.22239580021284108,186.228,186.228,29.111,51.982,41.874,50.848,12.413
