archivo,media_consumo,std_consumo,min_consumo,max_consumo,percentil_25_consumo,percentil_50_consumo,percentil_75_consumo,sum_consumo,promedio_por_dia,consumo_medio_diario,consumo_00,consumo_01,consumo_02,consumo_03,consumo_04,consumo_05,consumo_06,consumo_07,consumo_08,consumo_09,consumo_10,consumo_11,consumo_12,consumo_13,consumo_14,consumo_15,consumo_16,consumo_17,consumo_18,consumo_19,consumo_20,consumo_21,consumo_22,consumo_23,consumo_00_suma,consumo_01_suma,consumo_02_suma,consumo_03_suma,consumo_04_suma,consumo_05_suma,consumo_06_suma,consumo_07_suma,consumo_08_suma,consumo_09_suma,consumo_10_suma,consumo_11_suma,consumo_12_suma,consumo_13_suma,consumo_14_suma,consumo_15_suma,consumo_16_suma,consumo_17_suma,consumo_18_suma,consumo_19_suma,consumo_20_suma,consumo_21_suma,consumo_22_suma,consumo_23_suma,consumo_00_std,consumo_01_std,consumo_02_std,consumo_03_std,consumo_04_std,consumo_05_std,consumo_06_std,consumo_07_std,consumo_08_std,consumo_09_std,consumo_10_std,consumo_11_std,consumo_12_std,consumo_13_std,consumo_14_std,consumo_15_std,consumo_16_std,consumo_17_std,consumo_18_std,consumo_19_std,consumo_20_std,consumo_21_std,consumo_22_std,consumo_23_std,Mañana,Mediodia,Tarde,Noche,Madrugada,s_Mañana,s_Mediodia,s_Tarde,s_Noche,s_Madrugada,std_Mañana,std_Mediodia,std_Tarde,std_Noche,std_Madrugada,Lunes,Martes,Miércoles,Jueves,Viernes,Sábado,Domingo,s_Lunes,s_Martes,s_Miércoles,s_Jueves,s_Viernes,s_Sábado,s_Domingo,std_Lunes,std_Martes,std_Miércoles,std_Jueves,std_Viernes,std_Sábado,std_Domingo,Entre semana,Fin de semana,s_Entre semana,s_Fin de semana,std_Entre semana,std_Fin de semana,primavera,s_primavera,std_primavera,2023-03,Marzo,2023-02-27/2023-03-05,2023-03-06/2023-03-12,2023-03-13/2023-03-19,2023-03-20/2023-03-26,2023-03-27/2023-04-02
ABLD,0.20998252688172042,0.23096625627600972,0.049,1.487,0.074,0.1155,0.2185,156.227,0.20998252688172045,5.039580645161291,0.09129032258064516,0.07809677419354838,0.08329032258064516,0.1085483870967742,0.11696774193548387,0.08138709677419355,0.08690322580645161,0.16622580645161292,0.24574193548387097,0.1784516129032258,0.26822580645161287,0.3018064516129032,0.24596774193548387,0.20090322580645162,0.46141935483870966,0.31474193548387097,0.32325806451612904,0.2510322580645161,0.2443225806451613,0.22880645161290322,0.38703225806451613,0.25106451612903224,0.19661290322580643,0.12748387096774194,2.83,2.421,2.582,3.365,3.626,2.523,2.694,5.1530000000000005,7.618,5.532,8.315,9.356,7.625,6.228,14.304,9.757,10.021,7.782,7.574,7.093,11.998,7.783,6.095,3.952,2.83,2.421,2.582,3.365,3.626,2.523,2.694,5.1530000000000005,7.618,5.532,8.315,9.356,7.625,6.228,14.304,9.757,10.021,7.782,7.574,7.093,11.998,7.783,6.095,3.952,0.16933064516129032,0.29884408602150536,0.2618548387096774,0.24054838709677417,0.09326344086021505,20.997,55.585,32.47,29.827999999999996,17.347,0.11052274835582955,0.056358196506279816,0.052008488523225004,0.05549184687744872,0.05109417727695117,0.20354166666666665,0.25252083333333336,0.22938333333333333,0.20172500000000002,0.201775,0.2106875,0.16951041666666666,19.54,24.242,27.526,24.207,24.213,20.226,16.273,0.198404261237487,0.2521757941205914,0.27428051589670055,0.24351408298791544,0.1952509896250972,0.24947166540933116,0.17771390342147755,0.21689855072463768,0.19009895833333335,119.728,36.499,0.2354252449307611,0.2170015697073497,0.20998252688172042,156.227,0.23096625627600975,156.227,156.227,23.096,39.406,35.665,35.733,22.326999999999998
AJVG,0.2928508064516129,0.38484877461985145,0.019,2.317,0.04775,0.1075,0.371,217.881,0.2928508064516129,7.02841935483871,0.11,0.07990322580645161,0.06587096774193547,0.07325806451612903,0.05741935483870968,0.0640967741935484,0.21874193548387097,0.5018064516129033,0.5826451612903226,0.5499677419354838,0.4718709677419355,0.4582903225806451,0.36058064516129035,0.3646774193548387,0.6751290322580644,0.44845161290322577,0.22212903225806452,0.2559677419354839,0.1807741935483871,0.21645161290322582,0.29912903225806453,0.3965161290322581,0.23409677419354838,0.1406451612903226,3.41,2.477,2.042,2.271,1.78,1.987,6.781,15.556000000000001,18.062,17.049,14.628,14.206999999999999,11.178,11.305,20.929,13.902,6.886,7.935,5.604,6.71,9.273,12.292,7.257,4.36,3.41,2.477,2.042,2.271,1.78,1.987,6.781,15.556000000000001,18.062,17.049,14.628,14.206999999999999,11.178,11.305,20.929,13.902,6.886,7.935,5.604,6.71,9.273,12.292,7.257,4.36,0.4632903225806452,0.46316666666666667,0.21883064516129033,0.2675967741935484,0.07509139784946238,57.448,86.149,27.135,33.181999999999995,13.966999999999999,0.05850466898651498,0.07783626087861306,0.030536687449460066,0.08131499567756689,0.017562368766284753,0.23869791666666665,0.29096875,0.37877500000000003,0.38390833333333335,0.28430833333333333,0.15588541666666667,0.27530208333333334,22.915,27.933,45.453,46.069,34.117,14.965,26.429,0.31055831284933366,0.3484663678742522,0.4483267952466531,0.46059300461075026,0.32345890068782107,0.2262742104425591,0.4456342640089201,0.3197228260869565,0.21559375,176.487,41.394,0.390647358376939,0.35752595418913047,0.2928508064516129,217.881,0.38484877461985156,217.881,217.881,43.936,44.257,49.211999999999996,47.522,32.954
ATF,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FJAG,0.31399607526881507,0.26324596698927866,0.061,3.133,0.149,0.232,0.359,233.6130799999984,0.313996075268815,7.535905806451561,0.1577741935483871,0.12496774193548388,0.13003225806451613,0.12796774193548388,0.13083870967741937,0.14912903225806454,0.23845161290322578,0.30538709677419357,0.24232258064516127,0.28716129032258064,0.3060077419354723,0.533652903225795,0.6328141935483755,0.402427096774182,0.3999393548387039,0.33083870967741935,0.3162258064516129,0.3220967741935484,0.39125806451612904,0.5636451612903225,0.4252258064516129,0.4272903225806452,0.3815483870967742,0.20890322580645163,4.891,3.874,4.031,3.967,4.056,4.623,7.3919999999999995,9.467,7.512,8.902,9.486239999999642,16.543239999999642,19.61723999999964,12.47523999999964,12.398119999999821,10.256,9.803,9.985,12.129,17.473,13.182,13.246,11.828,6.476,4.891,3.874,4.031,3.967,4.056,4.623,7.3919999999999995,9.467,7.512,8.902,9.486239999999642,16.543239999999642,19.61723999999964,12.47523999999964,12.398119999999821,10.256,9.803,9.985,12.129,17.473,13.182,13.246,11.828,6.476,0.2683306451612903,0.43427999999999134,0.39830645161290323,0.36074193548387096,0.13678494623655915,33.273,80.77607999999839,49.39,44.732,25.442,0.06969269172925253,0.1337120688096195,0.06447038483501145,0.07489678887479922,0.030468414139526716,0.3250104166666667,0.27189583333333334,0.2994,0.30772499999999997,0.3470339999999865,0.35229166666666667,0.2915729166666667,31.201,26.102,35.928,36.927,41.64407999999838,33.82,27.991,0.23485935297497637,0.17624113141803416,0.21321104075342728,0.2030732766079006,0.3739407883618122,0.33198956599541585,0.23704562051668523,0.31123565217391014,0.32193229166666665,171.8020799999984,61.811,0.25377993637958374,0.2893004391332285,0.313996075268815,233.61307999999838,0.2632459669892786,233.61307999999838,233.61307999999838,33.4925999999991,51.309,53.68,54.775999999999996,40.35547999999928
FMB,0.20051075268817206,0.20444893571149886,0.017,2.052,0.058,0.1585,0.246,149.18,0.2005107526881721,4.8122580645161275,0.12109677419354839,0.08441935483870967,0.08870967741935484,0.09251612903225806,0.07203225806451613,0.08106451612903226,0.10116129032258064,0.07829032258064517,0.21135483870967742,0.23912903225806453,0.28522580645161294,0.2825483870967742,0.2902258064516129,0.39074193548387093,0.27922580645161293,0.2292258064516129,0.2593870967741936,0.20738709677419356,0.2612258064516129,0.2857096774193548,0.28658064516129034,0.20248387096774195,0.21532258064516127,0.16719354838709677,3.754,2.617,2.75,2.868,2.233,2.513,3.136,2.427,6.552,7.413,8.842,8.759,8.997,12.113,8.656,7.106,8.041,6.429,8.098,8.857,8.884,6.277,6.675,5.183,3.754,2.617,2.75,2.868,2.233,2.513,3.136,2.427,6.552,7.413,8.842,8.759,8.997,12.113,8.656,7.106,8.041,6.429,8.098,8.857,8.884,6.277,6.675,5.183,0.15748387096774194,0.29286559139784946,0.2534274193548387,0.21789516129032258,0.08997311827956989,19.528,54.473,31.425,27.019000000000002,16.735,0.08734150509158534,0.07928582513216056,0.05556053296363191,0.06617957562769919,0.006372399356688903,0.17346874999999998,0.19390624999999997,0.20470833333333335,0.21319166666666664,0.17922500000000002,0.20310416666666667,0.23707291666666666,16.653,18.615,24.565,25.583,21.507,19.498,22.759,0.1228681752401414,0.20225138490840655,0.16462186851642016,0.2096373938608328,0.18113700012732364,0.21155601369335864,0.30515843149322214,0.19370108695652175,0.22008854166666666,106.923,42.257,0.1797557411038557,0.26242684839412217,0.20051075268817206,149.18,0.2044489357114989,149.18,149.18,26.6,31.963,35.607,32.324,22.686
GPC,0.178869623655914,0.20929424557179746,0.026,1.774,0.061,0.096,0.19325,133.079,0.17886962365591397,4.292870967741935,0.10977419354838709,0.1614516129032258,0.14548387096774193,0.0944516129032258,0.0716774193548387,0.08361290322580646,0.12303225806451613,0.3018064516129032,0.23932258064516126,0.16719354838709677,0.10845161290322582,0.11735483870967742,0.10029032258064516,0.14929032258064517,0.3454516129032258,0.32970967741935486,0.2995806451612903,0.14632258064516127,0.19893548387096774,0.30474193548387096,0.328741935483871,0.1920967741935484,0.09135483870967741,0.08274193548387096,3.403,5.005,4.51,2.928,2.222,2.592,3.814,9.356,7.419,5.183,3.362,3.638,3.109,4.628,10.709,10.221,9.286999999999999,4.536,6.167,9.447,10.191,5.955,2.832,2.565,3.403,5.005,4.51,2.928,2.222,2.592,3.814,9.356,7.419,5.183,3.362,3.638,3.109,4.628,10.709,10.221,9.286999999999999,4.536,6.167,9.447,10.191,5.955,2.832,2.565,0.20783870967741935,0.19175806451612906,0.23739516129032256,0.17373387096774195,0.11107526881720431,25.772,35.667,29.436999999999998,21.543000000000003,20.66,0.06100768303730378,0.06485019428384674,0.13057520306135836,0.0885187343186278,0.07852429215790313,0.15030208333333334,0.20991666666666667,0.16885,0.1821,0.1713,0.18516666666666667,0.18804166666666666,14.429,20.152,20.262,21.852,20.556,17.776,18.052,0.16730829531085586,0.25118232701268767,0.18257374013870475,0.20784591092700289,0.20912509223352585,0.21876922070946028,0.22552987509729944,0.17617934782608696,0.18660416666666668,97.251,35.828,0.20498241810561035,0.221597577772625,0.178869623655914,133.079,0.20929424557179746,133.079,133.079,23.151,27.657,33.829,26.464,21.978
JACL,0.09416532258064515,0.07098325646906935,0.028,0.746,0.053,0.0815,0.111,70.059,0.09416532258064514,2.2599677419354838,0.11777419354838708,0.07087096774193549,0.07280645161290324,0.06393548387096774,0.06145161290322581,0.0702258064516129,0.0635483870967742,0.08354838709677419,0.0806774193548387,0.07412903225806451,0.11319354838709678,0.11948387096774195,0.0817741935483871,0.12309677419354838,0.24912903225806451,0.09245161290322582,0.0812258064516129,0.07016129032258064,0.06890322580645161,0.07683870967741936,0.07896774193548387,0.1090967741935484,0.11319354838709678,0.12348387096774192,3.651,2.197,2.257,1.982,1.905,2.177,1.97,2.59,2.501,2.298,3.509,3.704,2.535,3.816,7.723,2.866,2.518,2.175,2.136,2.382,2.448,3.382,3.509,3.828,3.651,2.197,2.257,1.982,1.905,2.177,1.97,2.59,2.501,2.298,3.509,3.704,2.535,3.816,7.723,2.866,2.518,2.175,2.136,2.382,2.448,3.382,3.509,3.828,0.07547580645161289,0.12985483870967743,0.07428225806451613,0.10618548387096774,0.07617741935483872,9.359,24.153,9.211,13.167,14.168999999999999,0.02069485361297834,0.03747325685469605,0.0046145051859670235,0.003638951311821923,0.007377240100968559,0.09981250000000001,0.08783333333333333,0.09180833333333333,0.09174166666666667,0.09934166666666666,0.09503125,0.09348958333333333,9.582,8.432,11.017,11.009,11.921,9.123,8.975,0.07309695256085721,0.05970694514246742,0.06411417020229061,0.07227555764221401,0.08004027303878497,0.06872821425157594,0.07704530380055168,0.09413224637681158,0.09426041666666667,51.961,18.098,0.07040102068347406,0.07281803251606941,0.09416532258064515,70.059,0.07098325646906936,70.059,70.059,12.257,15.586,16.112000000000002,14.613,11.491
JALG,0.29076344086021505,0.2910934145540882,0.034,2.216,0.081,0.1665,0.407,216.328,0.290763440860215,6.978322580645161,0.15812903225806452,0.09487096774193547,0.0812258064516129,0.08006451612903225,0.08416129032258064,0.09,0.14519354838709678,0.2336451612903226,0.3456451612903226,0.49012903225806453,0.34916129032258064,0.20509677419354838,0.33003225806451614,0.5084516129032258,0.45045161290322583,0.509483870967742,0.3615806451612903,0.32170967741935486,0.2346774193548387,0.351483870967742,0.4374193548387097,0.5350967741935484,0.3591935483870968,0.22141935483870967,4.902,2.941,2.518,2.4819999999999998,2.609,2.79,4.501,7.243,10.715,15.194,10.824,6.358,10.231,15.762,13.964,15.794,11.209,9.973,7.275,10.896,13.56,16.588,11.135,6.864,4.902,2.941,2.518,2.4819999999999998,2.609,2.79,4.501,7.243,10.715,15.194,10.824,6.358,10.231,15.762,13.964,15.794,11.209,9.973,7.275,10.896,13.56,16.588,11.135,6.864,0.3036532258064516,0.39211290322580644,0.31736290322580646,0.3882822580645161,0.0980752688172043,37.653,72.93299999999999,39.353,48.147,18.242,0.08473869589390362,0.08790693183869364,0.09391265638337284,0.09531248406286988,0.04280126626543121,0.2779479166666667,0.27654166666666663,0.28584166666666666,0.28281666666666666,0.32267500000000005,0.26017708333333334,0.32458333333333333,26.683,26.548,34.301,33.938,38.721000000000004,24.977,31.16,0.2675052924136236,0.2863001706588703,0.2681861887993957,0.2684226249820251,0.285499213747464,0.26572352053221615,0.39021394042018226,0.29020108695652175,0.29238020833333334,160.191,56.137,0.27472271015722444,0.33451006014651247,0.29076344086021505,216.328,0.29109341455408816,216.328,216.328,38.497,52.872,43.618,44.303,37.038
JLG,0.13182795698924732,0.13350342885538,0.052,1.269,0.063,0.0985,0.138,98.08,0.13182795698924732,3.1638709677419365,0.10670967741935483,0.07390322580645162,0.06616129032258065,0.06541935483870968,0.061838709677419355,0.06758064516129032,0.06487096774193549,0.06535483870967741,0.10029032258064516,0.24358064516129033,0.21729032258064515,0.1284516129032258,0.136,0.1942258064516129,0.18396774193548387,0.17593548387096775,0.1373548387096774,0.127,0.15664516129032258,0.1546774193548387,0.15761290322580646,0.1843225806451613,0.14996774193548387,0.14470967741935484,3.308,2.291,2.051,2.028,1.917,2.095,2.011,2.026,3.109,7.551,6.736,3.9819999999999998,4.216,6.021,5.703,5.454,4.258,3.937,4.856,4.795,4.886,5.714,4.649,4.486,3.308,2.291,2.051,2.028,1.917,2.095,2.011,2.026,3.109,7.551,6.736,3.9819999999999998,4.216,6.021,5.703,5.454,4.258,3.937,4.856,4.795,4.886,5.714,4.649,4.486,0.1185241935483871,0.17264516129032256,0.14391935483870966,0.1591532258064516,0.0736021505376344,14.697,32.112,17.846,19.735000000000003,13.690000000000001,0.11099182784731383,0.0528344141041169,0.01818886266282504,0.02582228279430358,0.006885977388146119,0.13934375000000002,0.10473958333333333,0.11424166666666666,0.14555833333333332,0.14770833333333336,0.13604166666666667,0.13215625,13.377,10.055,13.709,17.467,17.725,13.06,12.687,0.1475137694286626,0.04874147586294701,0.08095241841735829,0.15760608249968136,0.15602749142773684,0.1564135487917017,0.13860761186092732,0.13103804347826087,0.13409895833333332,72.333,25.747,0.12845029263852878,0.14740451021735088,0.13182795698924732,98.08,0.13350342885538008,98.08,98.08,16.622,21.521,22.516,19.413,18.008
JMM,0.28956586021505376,0.25961936827474463,0.081,2.385,0.154,0.2215,0.31,215.437,0.28956586021505376,6.949580645161291,0.20651612903225808,0.15441935483870967,0.14938709677419357,0.15183870967741936,0.1487741935483871,0.14370967741935484,0.1599032258064516,0.175,0.25819354838709674,0.2616451612903226,0.29351612903225804,0.3554516129032258,0.5189999999999999,0.6390967741935484,0.6083548387096773,0.30558064516129035,0.2619354838709677,0.2651290322580645,0.2713225806451613,0.3081290322580645,0.38825806451612904,0.32825806451612904,0.3421935483870968,0.2539677419354839,6.402,4.787,4.631,4.707,4.612,4.455,4.957,5.425,8.004,8.111,9.099,11.019,16.089,19.812,18.858999999999998,9.473,8.12,8.219,8.411,9.552,12.036,10.176,10.608,7.873,6.402,4.787,4.631,4.707,4.612,4.455,4.957,5.425,8.004,8.111,9.099,11.019,16.089,19.812,18.858999999999998,9.473,8.12,8.219,8.411,9.552,12.036,10.176,10.608,7.873,0.21368548387096775,0.4535,0.2766290322580645,0.3281693548387097,0.15910752688172042,26.497,84.351,34.302,40.693,29.594,0.0762939582110939,0.15631939685733123,0.03129518075136607,0.04800054329732624,0.02045191494180832,0.21789583333333332,0.3401145833333333,0.260675,0.2666,0.25295,0.42321875,0.28762499999999996,20.918,32.650999999999996,31.281,31.992,30.354,40.629,27.612,0.1146192304216711,0.29503458743863864,0.24790802585982225,0.1981176290943923,0.15581770484401683,0.4331194366241014,0.23146272861271228,0.26665942028985506,0.355421875,147.196,68.241,0.21370503940604652,0.3529488255337884,0.28956586021505376,215.437,0.25961936827474474,215.437,215.437,30.238,48.517,56.74,48.984,30.958
