archivo,media_consumo,std_consumo,min_consumo,max_consumo,percentil_25_consumo,percentil_50_consumo,percentil_75_consumo,sum_consumo,promedio_por_dia,consumo_medio_diario,consumo_00,consumo_01,consumo_02,consumo_03,consumo_04,consumo_05,consumo_06,consumo_07,consumo_08,consumo_09,consumo_10,consumo_11,consumo_12,consumo_13,consumo_14,consumo_15,consumo_16,consumo_17,consumo_18,consumo_19,consumo_20,consumo_21,consumo_22,consumo_23,consumo_00_suma,consumo_01_suma,consumo_02_suma,consumo_03_suma,consumo_04_suma,consumo_05_suma,consumo_06_suma,consumo_07_suma,consumo_08_suma,consumo_09_suma,consumo_10_suma,consumo_11_suma,consumo_12_suma,consumo_13_suma,consumo_14_suma,consumo_15_suma,consumo_16_suma,consumo_17_suma,consumo_18_suma,consumo_19_suma,consumo_20_suma,consumo_21_suma,consumo_22_suma,consumo_23_suma,consumo_00_std,consumo_01_std,consumo_02_std,consumo_03_std,consumo_04_std,consumo_05_std,consumo_06_std,consumo_07_std,consumo_08_std,consumo_09_std,consumo_10_std,consumo_11_std,consumo_12_std,consumo_13_std,consumo_14_std,consumo_15_std,consumo_16_std,consumo_17_std,consumo_18_std,consumo_19_std,consumo_20_std,consumo_21_std,consumo_22_std,consumo_23_std,Mañana,Mediodia,Tarde,Noche,Madrugada,s_Mañana,s_Mediodia,s_Tarde,s_Noche,s_Madrugada,std_Mañana,std_Mediodia,std_Tarde,std_Noche,std_Madrugada,Lunes,Martes,Miércoles,Jueves,Viernes,Sábado,Domingo,s_Lunes,s_Martes,s_Miércoles,s_Jueves,s_Viernes,s_Sábado,s_Domingo,std_Lunes,std_Martes,std_Miércoles,std_Jueves,std_Viernes,std_Sábado,std_Domingo,Entre semana,Fin de semana,s_Entre semana,s_Fin de semana,std_Entre semana,std_Fin de semana,primavera,s_primavera,std_primavera,2024-04,Abril,2024-04-01/2024-04-07,2024-04-08/2024-04-14,2024-04-15/2024-04-21,2024-04-22/2024-04-28,2024-04-29/2024-05-05
ABLD,0.20165972222222223,0.2299107150638579,0.053,1.767,0.076,0.093,0.216,145.195,0.20165972222222225,4.839833333333333,0.08683333333333333,0.08376666666666667,0.08666666666666667,0.08516666666666667,0.07856666666666666,0.08613333333333334,0.14046666666666668,0.17309999999999998,0.11989999999999999,0.15946666666666667,0.19756666666666664,0.23373333333333332,0.29036666666666666,0.4012,0.44029999999999997,0.2796666666666667,0.22716666666666666,0.15216666666666664,0.2072,0.3102,0.3455333333333333,0.3202666666666667,0.22473333333333334,0.10966666666666666,2.605,2.513,2.6,2.555,2.3569999999999998,2.584,4.214,5.193,3.597,4.784,5.927,7.012,8.711,12.036,13.209,8.39,6.8149999999999995,4.5649999999999995,6.216,9.306,10.366,9.608,6.742,3.29,2.605,2.513,2.6,2.555,2.3569999999999998,2.584,4.214,5.193,3.597,4.784,5.927,7.012,8.711,12.036,13.209,8.39,6.8149999999999995,4.5649999999999995,6.216,9.306,10.366,9.608,6.742,3.29,0.14823333333333333,0.3071388888888889,0.22418333333333335,0.25005,0.08452222222222222,17.788,55.285,26.902,30.006,15.213999999999999,0.03669074740398944,0.0644200892357217,0.07536820382409735,0.12258649463305198,0.00497274813042763,0.20713333333333334,0.28281666666666666,0.14880208333333333,0.19278125000000002,0.16822916666666665,0.20292708333333334,0.18727083333333336,24.856,33.938,14.285,18.507,16.15,19.481,17.978,0.18241516657668264,0.3103016148151065,0.16033311506076253,0.22679646349814006,0.19343730000981638,0.250977761430084,0.21820359778821083,0.20404545454545456,0.19509895833333335,107.736,37.459,0.2283314982044282,0.2346771997057585,0.20165972222222223,145.195,0.22991071506385796,145.195,145.195,26.24,35.138,33.284,38.961,11.572
AJVG,0.20893194444444443,0.3274837894580849,0.029,2.94,0.047,0.068,0.20225,150.43099999999998,0.20893194444444443,5.014366666666667,0.0708,0.07980000000000001,0.0719,0.06706666666666666,0.0914,0.2657333333333333,0.7822,0.49663333333333337,0.15689999999999998,0.13173333333333334,0.1971,0.18473333333333333,0.19783333333333336,0.1739,0.1646,0.19386666666666666,0.18163333333333334,0.20716666666666667,0.19263333333333332,0.33046666666666663,0.3108,0.19353333333333333,0.17156666666666667,0.10036666666666667,2.124,2.394,2.157,2.012,2.742,7.9719999999999995,23.466,14.899000000000001,4.707,3.952,5.913,5.542,5.9350000000000005,5.217,4.938,5.816,5.449,6.215,5.779,9.914,9.324,5.806,5.147,3.011,2.124,2.394,2.157,2.012,2.742,7.9719999999999995,23.466,14.899000000000001,4.707,3.952,5.913,5.542,5.9350000000000005,5.217,4.938,5.816,5.449,6.215,5.779,9.914,9.324,5.806,5.147,3.011,0.3918666666666667,0.18533888888888891,0.22797499999999998,0.19406666666666667,0.10778333333333334,47.024,33.361,27.357,23.288,19.401000000000003,0.23806068935670918,0.05416164117914924,0.08517576153169176,0.080799595621051,0.11024609976246717,0.26271666666666665,0.20972500000000002,0.24184375,0.23857291666666666,0.19386458333333334,0.146875,0.15528125,31.526,25.167,23.217,22.903,18.611,14.1,14.907,0.4179800402000102,0.3041907286058335,0.3381157175980467,0.3342249083536939,0.3243393161422371,0.2099061569769742,0.29828777003088813,0.229969696969697,0.151078125,121.424,29.007,0.3473714183777797,0.2572694904631474,0.20893194444444446,150.431,0.3274837894580849,150.431,150.431,60.443,31.379,29.94,25.194,3.475
ATF,0.16885694444444443,0.1828714873824392,0.051,1.969,0.077,0.121,0.181,121.577,0.1688569444444445,4.052566666666667,0.09863333333333334,0.0925,0.0814,0.0752,0.0859,0.09126666666666666,0.09369999999999999,0.0944,0.1165,0.15423333333333333,0.15706666666666666,0.21393333333333334,0.46723333333333333,0.5536,0.2338333333333333,0.17843333333333333,0.13963333333333333,0.13253333333333334,0.13836666666666667,0.17846666666666666,0.21236666666666668,0.1854,0.15463333333333334,0.12333333333333334,2.959,2.775,2.442,2.2560000000000002,2.577,2.738,2.811,2.832,3.495,4.627,4.712,6.418,14.017,16.608,7.015,5.353,4.189,3.976,4.151,5.354,6.371,5.562,4.639,3.7,2.959,2.775,2.442,2.2560000000000002,2.577,2.738,2.811,2.832,3.495,4.627,4.712,6.418,14.017,16.608,7.015,5.353,4.189,3.976,4.151,5.354,6.371,5.562,4.639,3.7,0.11470833333333333,0.30068333333333336,0.14725,0.16893333333333332,0.08748333333333332,13.765,54.123,17.669999999999998,20.272,15.747,0.04051446834811282,0.1641716158770133,0.025372855121448847,0.013301805480864057,0.004046166611419847,0.1789,0.18068333333333333,0.15815625,0.16169791666666666,0.16187500000000002,0.14508333333333334,0.19013541666666667,21.468,21.682,15.183,15.523,15.540000000000001,13.928,18.253,0.21396031203485005,0.18123646206564736,0.13970505232358943,0.12876998013934657,0.15323880572148613,0.172932884253228,0.2521455143695137,0.16931060606060605,0.16760937499999998,89.396,32.181,0.16908085633323366,0.2168108170337758,0.16885694444444443,121.577,0.18287148738243914,121.577,121.577,28.186,26.15,30.986,27.281,8.974
FJAG,0.3440017777777731,0.28299693946879795,0.064,3.128,0.17575,0.2495,0.393,247.6812799999966,0.344001777777773,8.256042666666554,0.14196666666666669,0.15176666666666666,0.14313333333333336,0.14356666666666668,0.14533333333333334,0.22780000000000003,0.25133333333333335,0.2907,0.25820799999998806,0.388707999999988,0.5391826666666427,0.6534159999999761,0.5861493333333095,0.3829453333333154,0.39449999999999996,0.34976666666666667,0.42283333333333334,0.4857666666666667,0.46809999999999996,0.4981,0.4034333333333333,0.41466666666666663,0.2964,0.21826666666666666,4.259,4.553,4.2940000000000005,4.307,4.36,6.8340000000000005,7.54,8.721,7.746239999999642,11.66123999999964,16.175479999999283,19.602479999999282,17.584479999999285,11.488359999999462,11.834999999999999,10.493,12.685,14.573,14.043,14.943,12.103,12.44,8.892,6.548,4.259,4.553,4.2940000000000005,4.307,4.36,6.8340000000000005,7.54,8.721,7.746239999999642,11.66123999999964,16.175479999999283,19.602479999999282,17.584479999999285,11.488359999999462,11.834999999999999,10.493,12.685,14.573,14.043,14.943,12.103,12.44,8.892,6.548,0.29723733333332736,0.4843266666666517,0.4687,0.33319166666666666,0.15892777777777778,35.66847999999928,87.1787999999973,56.244,39.983000000000004,28.607000000000003,0.1857175402002944,0.1000355159654446,0.05358380216836354,0.05555564521712055,0.02524500751268139,0.28389166666666665,0.3073166666666667,0.3847549999999926,0.408866666666648,0.3676312499999907,0.3500833333333333,0.32966666666666666,34.067,36.878,36.936479999999285,39.25119999999821,35.292599999999105,33.608,31.648,0.1541331300490309,0.20661424224394415,0.38747533347908336,0.3920899343307453,0.27040715924516423,0.2765973195694102,0.23748709290874231,0.34550242424241784,0.339875,182.4252799999966,65.256,0.29199370191049295,0.2573129066665191,0.3440017777777731,247.6812799999966,0.28299693946879784,247.6812799999966,247.6812799999966,57.195479999999286,59.04271999999892,60.83747999999928,58.6085999999991,11.997
FMB,0.18654027777777782,0.20534249293473456,0.01,1.589,0.048,0.137,0.23525,134.30900000000003,0.1865402777777778,4.476966666666667,0.09823333333333334,0.06196666666666666,0.08339999999999999,0.0847,0.08433333333333334,0.08066666666666666,0.08906666666666667,0.18163333333333334,0.3017333333333333,0.2667333333333334,0.2971333333333333,0.32386666666666664,0.33573333333333333,0.31930000000000003,0.2512666666666667,0.22766666666666666,0.23826666666666665,0.16696666666666668,0.21026666666666666,0.22273333333333334,0.15166666666666667,0.15113333333333331,0.11549999999999999,0.13299999999999998,2.947,1.859,2.502,2.541,2.5300000000000002,2.42,2.672,5.449,9.052,8.002,8.914,9.716,10.072,9.579,7.538,6.83,7.148,5.009,6.308,6.682,4.55,4.534,3.465,3.9899999999999998,2.947,1.859,2.502,2.541,2.5300000000000002,2.42,2.672,5.449,9.052,8.002,8.914,9.716,10.072,9.579,7.538,6.83,7.148,5.009,6.308,6.682,4.55,4.534,3.465,3.9899999999999998,0.20979166666666668,0.29249444444444445,0.20955833333333332,0.13782499999999998,0.08221666666666666,25.175000000000004,52.649,25.147,16.538999999999998,14.799000000000001,0.09651217676692661,0.04432729824203371,0.08081676134493074,0.015901529920129408,0.012276617345765576,0.22121666666666667,0.27647499999999997,0.17704166666666665,0.13967708333333334,0.13758333333333334,0.14944791666666665,0.17318750000000002,26.546,33.177,16.996,13.409,13.208,14.347,16.626,0.26019976757794966,0.293492987690557,0.15457724464294056,0.13914925684251628,0.11864388703099946,0.11755436545581494,0.19294691457005803,0.1957121212121212,0.16131770833333334,103.336,30.973,0.21899326427055107,0.15978663161506437,0.18654027777777776,134.309,0.2053424929347346,134.309,134.309,32.877,29.803,30.313,33.745,7.571
GPC,0.14634722222222224,0.21684982976934447,0.025,2.567,0.053,0.076,0.125,105.37,0.14634722222222224,3.5123333333333338,0.08180000000000001,0.0783,0.0639,0.06673333333333333,0.06533333333333333,0.0997,0.3000333333333333,0.2967,0.1532,0.1189,0.06856666666666666,0.06723333333333333,0.12279999999999999,0.30119999999999997,0.22296666666666667,0.164,0.12773333333333334,0.10756666666666666,0.19796666666666668,0.28236666666666665,0.2521333333333333,0.1312,0.07123333333333333,0.07076666666666667,2.454,2.3489999999999998,1.917,2.002,1.96,2.991,9.001,8.901,4.596,3.567,2.057,2.017,3.6839999999999997,9.036,6.689,4.92,3.832,3.227,5.939,8.471,7.564,3.936,2.137,2.123,2.454,2.3489999999999998,1.917,2.002,1.96,2.991,9.001,8.901,4.596,3.567,2.057,2.017,3.6839999999999997,9.036,6.689,4.92,3.832,3.227,5.939,8.471,7.564,3.936,2.137,2.123,0.21720833333333334,0.15779444444444443,0.17890833333333334,0.13133333333333333,0.0759611111111111,26.065,28.403,21.469,15.760000000000002,13.672999999999998,0.08151435304983193,0.11962526033440782,0.169285412688144,0.10943752170454922,0.04662097205378534,0.14584166666666668,0.15859166666666666,0.14055208333333333,0.114375,0.13559374999999999,0.13629166666666667,0.19025,17.501,19.031,13.493,10.98,13.017,13.084,18.264,0.20996370217847896,0.23909298130954112,0.279105973829284,0.14031822854910153,0.18929517902638612,0.18735847524361968,0.23899469274001614,0.14019318181818183,0.16327083333333334,74.022,31.348,0.21708064021395643,0.21587287703678662,0.14634722222222224,105.37,0.21684982976934442,105.37,105.37,11.325,32.675,27.699,27.47,6.201
JACL,0.10465972222222221,0.07576875029641475,0.036,0.759,0.066,0.091,0.122,75.35499999999999,0.10465972222222222,2.511833333333333,0.08346666666666666,0.07593333333333334,0.07923333333333332,0.07806666666666667,0.0746,0.07023333333333333,0.08380000000000001,0.0852,0.12376666666666666,0.11483333333333333,0.09176666666666668,0.09226666666666668,0.15863333333333335,0.2558333333333333,0.12583333333333332,0.09369999999999999,0.0898,0.09316666666666666,0.0948,0.08546666666666666,0.10183333333333335,0.11883333333333333,0.12440000000000001,0.11636666666666667,2.504,2.278,2.377,2.342,2.238,2.1069999999999998,2.5140000000000002,2.556,3.713,3.445,2.753,2.7680000000000002,4.759,7.675,3.775,2.811,2.694,2.795,2.844,2.564,3.055,3.565,3.732,3.491,2.504,2.278,2.377,2.342,2.238,2.1069999999999998,2.5140000000000002,2.556,3.713,3.445,2.753,2.7680000000000002,4.759,7.675,3.775,2.811,2.694,2.795,2.844,2.564,3.055,3.565,3.732,3.491,0.1019,0.1363388888888889,0.09080833333333332,0.11535833333333334,0.07692222222222221,12.228000000000002,24.541,10.897,13.843,13.845999999999998,0.03679141176106732,0.054033054616974635,0.005434979883890333,0.006486532093540727,0.0013744242699629493,0.10005,0.105875,0.10836458333333333,0.0991875,0.09579166666666666,0.11504166666666667,0.10915625000000001,12.006,12.705,10.403,9.522,9.196,11.044,10.479000000000001,0.05342328985713688,0.0802894514142634,0.0731385303871563,0.0585590682446725,0.044765568692365316,0.10884251459083505,0.09428058103621509,0.10195454545454545,0.11209895833333333,53.832,21.523,0.06374883872277734,0.1015981489656913,0.10465972222222222,75.355,0.07576875029641476,75.355,75.355,18.856,16.629,17.268,17.862,4.74
JALG,0.2995805555555555,0.29223187329857836,0.057,1.804,0.08275,0.177,0.398,215.69799999999998,0.2995805555555556,7.189933333333333,0.0901,0.10133333333333333,0.09176666666666668,0.08956666666666667,0.09926666666666667,0.10363333333333333,0.27746666666666664,0.24576666666666666,0.24286666666666665,0.27136666666666664,0.2607666666666667,0.3329333333333333,0.5835666666666667,0.6420333333333333,0.6123333333333334,0.28813333333333335,0.37013333333333337,0.22313333333333332,0.3005333333333333,0.5236666666666666,0.6189666666666667,0.40700000000000003,0.22746666666666665,0.18613333333333332,2.703,3.04,2.753,2.6870000000000003,2.978,3.109,8.324,7.373,7.286,8.141,7.823,9.988,17.507,19.261,18.37,8.644,11.104000000000001,6.694,9.016,15.709999999999999,18.569,12.21,6.824,5.584,2.703,3.04,2.753,2.6870000000000003,2.978,3.109,8.324,7.373,7.286,8.141,7.823,9.988,17.507,19.261,18.37,8.644,11.104000000000001,6.694,9.016,15.709999999999999,18.569,12.21,6.824,5.584,0.25936666666666663,0.45329444444444444,0.35436666666666666,0.35989166666666667,0.09594444444444444,31.123999999999995,81.593,42.524,43.187,17.27,0.06312729343656441,0.11601100208395067,0.09655706912420958,0.1254518368322183,0.008630332598290968,0.32085833333333336,0.28510833333333335,0.29469791666666667,0.28840625000000003,0.2995729166666667,0.25940625,0.34731249999999997,38.503,34.213,28.291,27.687,28.759,24.903,33.342,0.32864338660655273,0.30862146174992605,0.274431819537315,0.2710492508412059,0.26429575717133996,0.2688855588349809,0.3096529232782033,0.2982064393939394,0.303359375,157.453,58.245,0.29237638688736367,0.2925643635555157,0.29958055555555557,215.698,0.2922318732985784,215.698,215.698,46.79,51.386,50.153999999999996,55.404,11.964
JLG,0.11100833333333336,0.10407893889523334,0.033,1.212,0.049,0.0765,0.14,79.92600000000002,0.11100833333333335,2.6641999999999997,0.06246666666666666,0.051133333333333336,0.054599999999999996,0.05226666666666667,0.053599999999999995,0.05076666666666666,0.049100000000000005,0.0646,0.1818,0.13026666666666667,0.08306666666666666,0.09353333333333333,0.14303333333333332,0.14656666666666668,0.18009999999999998,0.1318,0.11396666666666667,0.13616666666666666,0.13836666666666667,0.1781,0.20536666666666667,0.14236666666666667,0.11653333333333334,0.10463333333333334,1.8739999999999999,1.534,1.638,1.568,1.6079999999999999,1.523,1.473,1.938,5.454,3.908,2.492,2.806,4.2909999999999995,4.397,5.403,3.9539999999999997,3.419,4.085,4.151,5.343,6.1610000000000005,4.271,3.496,3.1390000000000002,1.8739999999999999,1.534,1.638,1.568,1.6079999999999999,1.523,1.473,1.938,5.454,3.908,2.492,2.806,4.2909999999999995,4.397,5.403,3.9539999999999997,3.419,4.085,4.151,5.343,6.1610000000000005,4.271,3.496,3.1390000000000002,0.10644166666666666,0.12968333333333334,0.14165,0.142225,0.054138888888888896,12.773,23.343,16.997999999999998,17.067,9.745,0.08668766871735216,0.0668894144664287,0.03641148408630322,0.027916736738736934,0.0050618470462923115,0.12611666666666668,0.13154166666666667,0.11316666666666668,0.11194791666666666,0.09070833333333334,0.09594791666666667,0.09871875000000001,15.134,15.785,10.864,10.747,8.708,9.211,9.477,0.10577701163521395,0.11922353102529741,0.09352294023862377,0.14498852003859633,0.10080830340347821,0.07307722948564925,0.05716784210596576,0.1159810606060606,0.09733333333333333,61.238,18.688,0.11460170951073068,0.06544933961352414,0.11100833333333333,79.926,0.10407893889523334,79.926,79.926,14.84,19.149,21.274,18.843,5.82
JMM,0.23367638888888892,0.24464389151566088,0.048,2.851,0.124,0.173,0.239,168.247,0.23367638888888892,5.608233333333333,0.13026666666666667,0.11683333333333333,0.11893333333333334,0.10400000000000001,0.12336666666666667,0.11270000000000001,0.13496666666666668,0.17273333333333335,0.14703333333333332,0.18603333333333333,0.32403333333333334,0.3326,0.5107,0.4826,0.22086666666666668,0.2138,0.21566666666666665,0.21116666666666667,0.24756666666666668,0.3158,0.42746666666666666,0.29496666666666665,0.26256666666666667,0.2015666666666667,3.908,3.505,3.568,3.12,3.701,3.3810000000000002,4.049,5.182,4.411,5.5809999999999995,9.721,9.978,15.321,14.478,6.626,6.414,6.47,6.335,7.4270000000000005,9.474,12.824,8.849,7.877,6.047000000000001,3.908,3.505,3.568,3.12,3.701,3.3810000000000002,4.049,5.182,4.411,5.5809999999999995,9.721,9.978,15.321,14.478,6.626,6.414,6.47,6.335,7.4270000000000005,9.474,12.824,8.849,7.877,6.047000000000001,0.16019166666666668,0.3474333333333333,0.24755,0.29664166666666664,0.11768333333333332,19.223,62.538,29.706,35.597,21.183,0.057431041119773554,0.21776482059390798,0.1105420018578686,0.09755555952642682,0.007057023395099065,0.21126666666666666,0.21657500000000002,0.29910416666666667,0.1965625,0.19978125,0.29465625,0.22766666666666668,25.352,25.989,28.714,18.87,19.179,28.287,21.856,0.14148193656912578,0.1705133949493202,0.45894277774643544,0.0976724722841869,0.14510592886613993,0.3096995089683921,0.20655758298285568,0.22368181818181818,0.2611614583333333,118.104,50.143,0.2364118738347263,0.2646788827381128,0.23367638888888892,168.247,0.2446438915156608,168.247,168.247,41.762,40.331,41.945,34.2,10.009
