archivo,media_consumo,std_consumo,min_consumo,max_consumo,percentil_25_consumo,percentil_50_consumo,percentil_75_consumo,sum_consumo,promedio_por_dia,consumo_medio_diario,consumo_00,consumo_01,consumo_02,consumo_03,consumo_04,consumo_05,consumo_06,consumo_07,consumo_08,consumo_09,consumo_10,consumo_11,consumo_12,consumo_13,consumo_14,consumo_15,consumo_16,consumo_17,consumo_18,consumo_19,consumo_20,consumo_21,consumo_22,consumo_23,consumo_00_suma,consumo_01_suma,consumo_02_suma,consumo_03_suma,consumo_04_suma,consumo_05_suma,consumo_06_suma,consumo_07_suma,consumo_08_suma,consumo_09_suma,consumo_10_suma,consumo_11_suma,consumo_12_suma,consumo_13_suma,consumo_14_suma,consumo_15_suma,consumo_16_suma,consumo_17_suma,consumo_18_suma,consumo_19_suma,consumo_20_suma,consumo_21_suma,consumo_22_suma,consumo_23_suma,consumo_00_std,consumo_01_std,consumo_02_std,consumo_03_std,consumo_04_std,consumo_05_std,consumo_06_std,consumo_07_std,consumo_08_std,consumo_09_std,consumo_10_std,consumo_11_std,consumo_12_std,consumo_13_std,consumo_14_std,consumo_15_std,consumo_16_std,consumo_17_std,consumo_18_std,consumo_19_std,consumo_20_std,consumo_21_std,consumo_22_std,consumo_23_std,Mañana,Mediodia,Tarde,Noche,Madrugada,s_Mañana,s_Mediodia,s_Tarde,s_Noche,s_Madrugada,std_Mañana,std_Mediodia,std_Tarde,std_Noche,std_Madrugada,Lunes,Martes,Miércoles,Jueves,Viernes,Sábado,Domingo,s_Lunes,s_Martes,s_Miércoles,s_Jueves,s_Viernes,s_Sábado,s_Domingo,std_Lunes,std_Martes,std_Miércoles,std_Jueves,std_Viernes,std_Sábado,std_Domingo,Entre semana,Fin de semana,s_Entre semana,s_Fin de semana,std_Entre semana,std_Fin de semana,verano,s_verano,std_verano,2024-06,Junio,2024-05-27/2024-06-02,2024-06-03/2024-06-09,2024-06-10/2024-06-16,2024-06-17/2024-06-23,2024-06-24/2024-06-30
ABLD,0.16884444444444444,0.18296328616944385,0.058,1.996,0.073,0.0875,0.183,121.568,0.16884444444444444,4.052266666666666,0.09233333333333334,0.08216666666666667,0.09369999999999999,0.11646666666666666,0.1346,0.08739999999999999,0.12596666666666667,0.17200000000000001,0.13016666666666668,0.13163333333333332,0.19506666666666667,0.15903333333333333,0.17143333333333333,0.23886666666666667,0.2202666666666667,0.20590000000000003,0.1734,0.1641,0.2204,0.2749333333333333,0.26156666666666667,0.29146666666666665,0.1991,0.11030000000000001,2.77,2.465,2.811,3.4939999999999998,4.038,2.622,3.779,5.16,3.9050000000000002,3.949,5.852,4.771,5.143,7.166,6.6080000000000005,6.1770000000000005,5.202,4.923,6.612,8.248,7.847,8.744,5.973,3.309,2.77,2.465,2.811,3.4939999999999998,4.038,2.622,3.779,5.16,3.9050000000000002,3.949,5.852,4.771,5.143,7.166,6.6080000000000005,6.1770000000000005,5.202,4.923,6.612,8.248,7.847,8.744,5.973,3.309,0.1399416666666667,0.1984277777777778,0.20820833333333333,0.21560833333333335,0.10111111111111111,16.793,35.717000000000006,24.985,25.873,18.2,0.04694875985654251,0.031701227259085016,0.1022276906750583,0.08699322630733017,0.057986888105783015,0.16470833333333332,0.18678125,0.16146875,0.18322916666666667,0.20901041666666667,0.15343333333333334,0.135475,15.812,17.931,15.501,17.59,20.065,18.412,16.257,0.17080268188863687,0.2013166243102745,0.23562686617996148,0.18519528692233397,0.19950224875617803,0.1551843974079854,0.12612838347353486,0.18103958333333334,0.14445416666666666,86.899,34.669,0.1995639518361907,0.14139513310073515,0.16884444444444444,121.568,0.1829632861694438,121.568,121.568,3.697,35.06,31.379,26.907,24.525000000000002
AJVG,0.15114027777777778,0.16174539494015136,0.029,1.488,0.062,0.087,0.18325,108.821,0.1511402777777778,3.627366666666666,0.09933333333333333,0.0901,0.0844,0.09253333333333333,0.0827,0.17763333333333334,0.4552,0.19376666666666667,0.08843333333333334,0.09580000000000001,0.13393333333333332,0.18743333333333334,0.11986666666666666,0.18503333333333333,0.11196666666666667,0.09076666666666666,0.0984,0.17256666666666665,0.21726666666666666,0.2581,0.18000000000000002,0.1547,0.1549,0.10253333333333334,2.98,2.703,2.532,2.776,2.481,5.329,13.656,5.813,2.653,2.874,4.018,5.623,3.596,5.551,3.359,2.723,2.952,5.177,6.518,7.743,5.4,4.641,4.647,3.076,2.98,2.703,2.532,2.776,2.481,5.329,13.656,5.813,2.653,2.874,4.018,5.623,3.596,5.551,3.359,2.723,2.952,5.177,6.518,7.743,5.4,4.641,4.647,3.076,0.2083,0.1381666666666667,0.18658333333333332,0.14803333333333335,0.10445,24.996,24.869999999999997,22.39,17.764,18.801,0.1023662542461159,0.0904984445331081,0.08650902488134225,0.007659689165253663,0.020187019903720998,0.14532291666666666,0.14711458333333333,0.16391666666666665,0.16103125,0.13344791666666667,0.140125,0.16604999999999998,13.951,14.123,15.735999999999999,15.459,12.811,16.815,19.926,0.1586268374978251,0.1494585927371941,0.18334819716459932,0.14324961307011216,0.16050255743439873,0.17871909146888085,0.15353661868528604,0.15016666666666667,0.1530875,72.08,36.741,0.15934569152785372,0.16676209048274648,0.15114027777777778,108.821,0.1617453949401513,108.821,108.821,7.334,25.423,29.803,23.883,22.378
ATF,0.2043027777777778,0.19951643904664396,0.059,2.273,0.104,0.147,0.211,147.098,0.20430277777777775,4.903266666666667,0.12343333333333333,0.1085,0.0999,0.10010000000000001,0.1101,0.11566666666666667,0.11763333333333333,0.13806666666666664,0.17813333333333334,0.18639999999999998,0.19073333333333334,0.24153333333333335,0.39593333333333336,0.4699,0.2437,0.26353333333333334,0.304,0.27416666666666667,0.21416666666666667,0.22736666666666666,0.24860000000000002,0.21853333333333333,0.17733333333333334,0.15583333333333332,3.703,3.255,2.997,3.003,3.303,3.47,3.529,4.1419999999999995,5.344,5.592,5.722,7.246,11.878,14.097,7.311,7.906,9.12,8.225,6.425,6.821,7.458,6.556,5.32,4.675,3.703,3.255,2.997,3.003,3.303,3.47,3.529,4.1419999999999995,5.344,5.592,5.722,7.246,11.878,14.097,7.311,7.906,9.12,8.225,6.425,6.821,7.458,6.556,5.32,4.675,0.15505833333333333,0.30088888888888893,0.254925,0.200075,0.10961666666666668,18.607,54.16,30.591,24.009,19.730999999999998,0.031117800304079755,0.14595770566512045,0.062202182503186064,0.06724898306666643,0.00377170682521831,0.17033333333333334,0.22012500000000002,0.21726041666666665,0.24263541666666666,0.22982291666666665,0.17370000000000002,0.18797499999999998,16.352,21.132,20.857,23.293,22.063,20.844,22.557,0.12159948637934005,0.21242842757527836,0.1768903463369129,0.21425887538168534,0.2122306091714818,0.11179254496272861,0.2800155596667124,0.21603541666666667,0.1808375,103.697,43.401,0.1916459766638307,0.21287113455510653,0.2043027777777778,147.098,0.19951643904664398,147.098,147.098,7.865,34.698,27.512,34.148,42.875
FJAG,0.3950901111111051,0.3771130342258292,0.089,3.493,0.199,0.2675,0.433,284.4648799999957,0.3950901111111051,9.482162666666524,0.17833333333333332,0.1671,0.1812,0.16446666666666668,0.17776666666666668,0.22230000000000003,0.25406666666666666,0.3224666666666666,0.3256786666666488,0.3303786666666487,0.4195453333333154,0.7154453333333154,0.6573786666666488,0.46387866666664873,0.5391746666666547,0.48820799999998804,0.5041746666666547,0.6823666666666667,0.8087333333333333,0.5758333333333333,0.39303333333333335,0.3874,0.31476666666666664,0.20846666666666666,5.35,5.013,5.436,4.934,5.333,6.6690000000000005,7.622,9.674,9.770359999999464,9.911359999999462,12.586359999999463,21.46335999999946,19.721359999999464,13.916359999999463,16.17523999999964,14.646239999999642,15.125239999999641,20.471,24.262,17.275,11.791,11.622,9.443,6.254,5.35,5.013,5.436,4.934,5.333,6.6690000000000005,7.622,9.674,9.770359999999464,9.911359999999462,12.586359999999463,21.46335999999946,19.721359999999464,13.916359999999463,16.17523999999964,14.646239999999642,15.125239999999641,20.471,24.262,17.275,11.791,11.622,9.443,6.254,0.3081476666666577,0.5472717777777619,0.642776999999997,0.32591666666666663,0.1818611111111111,36.977719999998925,98.50891999999712,77.13323999999963,39.11,32.735,0.10102502596151819,0.1284898988254974,0.17774381546627793,0.06748780768950632,0.015625652054890575,0.31479166666666664,0.3658929166666555,0.38578124999999996,0.5333616666666555,0.42285791666666106,0.32258333333333333,0.42980899999998656,30.22,35.12571999999893,37.035,51.202719999998926,40.59435999999946,38.71,51.57707999999839,0.20316966809808917,0.26538713381700085,0.3417024622348636,0.6664139583529944,0.39701705047811564,0.23682016661704847,0.33450148524217843,0.4045370833333278,0.37619616666665995,194.17779999999732,90.28707999999838,0.41234766528830114,0.29414701710868346,0.3950901111111051,284.4648799999957,0.37711303422582904,284.4648799999957,284.4648799999957,14.183,72.05671999999892,66.29743999999785,64.15,67.77771999999892
FMB,0.16681805555555557,0.16586530036591965,0.029,1.295,0.055,0.12,0.20825,120.10900000000001,0.16681805555555554,4.003633333333332,0.07576666666666668,0.0803,0.08170000000000001,0.0901,0.1027,0.0953,0.09396666666666667,0.15456666666666669,0.20683333333333334,0.19523333333333334,0.20606666666666668,0.33163333333333334,0.40496666666666664,0.26186666666666664,0.1381,0.1524,0.1611,0.14659999999999998,0.16069999999999998,0.20176666666666668,0.18993333333333334,0.1842,0.16116666666666665,0.12666666666666668,2.273,2.409,2.451,2.703,3.081,2.859,2.819,4.6370000000000005,6.205,5.857,6.182,9.949,12.149,7.856,4.143,4.572,4.833,4.398,4.821,6.053,5.698,5.526,4.835,3.8000000000000003,2.273,2.409,2.451,2.703,3.081,2.859,2.819,4.6370000000000005,6.205,5.857,6.182,9.949,12.149,7.856,4.143,4.572,4.833,4.398,4.821,6.053,5.698,5.526,4.835,3.8000000000000003,0.16265000000000002,0.24917222222222227,0.16754166666666664,0.16549166666666668,0.08764444444444446,19.518,44.851000000000006,20.105,19.859,15.776,0.027269920588030096,0.0937092745541608,0.06963397371941767,0.04133854423978801,0.015414065792564206,0.17090625,0.16432291666666668,0.15830208333333334,0.15542708333333333,0.1748229166666667,0.17125833333333332,0.170625,16.407,15.775,15.197000000000001,14.921,16.783,20.551,20.475,0.15560781188109113,0.16238689957477717,0.15376804950393833,0.17946433422485905,0.1753128328561121,0.18384490612960677,0.15050408646284924,0.16475625,0.1709416666666667,79.083,41.026,0.16510183155677866,0.1676520752639431,0.16681805555555554,120.109,0.16586530036591973,120.109,120.109,8.723,27.819,24.026,30.243,29.298000000000002
GPC,0.1530013888888889,0.16747026804651144,0.026,1.677,0.06875,0.102,0.15,110.161,0.15300138888888887,3.672033333333333,0.08166666666666668,0.06746666666666666,0.07926666666666667,0.0721,0.0896,0.0941,0.24023333333333333,0.1999,0.16666666666666666,0.11699999999999999,0.11453333333333333,0.10823333333333333,0.2417,0.2920333333333333,0.19666666666666668,0.21883333333333332,0.2122666666666667,0.1572,0.1349,0.23486666666666667,0.22783333333333333,0.14893333333333333,0.10043333333333333,0.07560000000000001,2.45,2.024,2.378,2.163,2.688,2.823,7.207,5.997,5.0,3.51,3.436,3.247,7.251,8.761,5.9,6.5649999999999995,6.368,4.716,4.047,7.046,6.835,4.468,3.013,2.2680000000000002,2.45,2.024,2.378,2.163,2.688,2.823,7.207,5.997,5.0,3.51,3.436,3.247,7.251,8.761,5.9,6.5649999999999995,6.368,4.716,4.047,7.046,6.835,4.468,3.013,2.2680000000000002,0.18095,0.19533333333333333,0.18480833333333335,0.13820000000000002,0.08070000000000001,21.714,35.16,22.177,16.584,14.526000000000002,0.0515126207825101,0.07077062741745656,0.03079509240006972,0.05752879213811749,0.010551444662040962,0.13394791666666667,0.17341666666666666,0.14367708333333332,0.17036458333333335,0.15276041666666665,0.13188333333333332,0.16679166666666667,12.859,16.648,13.793,16.355,14.665,15.826,20.015,0.12441258776994414,0.19501976508018315,0.14463336550280043,0.1753753940486501,0.16411643779191887,0.12829660902749992,0.21433061306000561,0.15483333333333332,0.1493375,74.32,35.841,0.16258620110739977,0.17712763597103134,0.1530013888888889,110.161,0.1674702680465114,110.161,110.161,7.096,29.569,23.709,24.37,25.416999999999998
JACL,0.1099861111111111,0.08928770722106326,0.036,1.137,0.063,0.095,0.135,79.19,0.10998611111111109,2.6396666666666664,0.098,0.07706666666666666,0.08996666666666667,0.07719999999999999,0.08023333333333334,0.08793333333333334,0.07160000000000001,0.0812,0.09390000000000001,0.09533333333333333,0.10103333333333334,0.08610000000000001,0.13226666666666667,0.2344,0.18333333333333332,0.14133333333333334,0.11833333333333333,0.14250000000000002,0.08076666666666667,0.07756666666666666,0.11746666666666666,0.11196666666666667,0.12413333333333335,0.1360333333333333,2.94,2.312,2.699,2.316,2.407,2.638,2.148,2.436,2.817,2.86,3.031,2.583,3.968,7.032,5.5,4.24,3.55,4.275,2.423,2.327,3.524,3.359,3.724,4.0809999999999995,2.94,2.312,2.699,2.316,2.407,2.638,2.148,2.436,2.817,2.86,3.031,2.583,3.968,7.032,5.5,4.24,3.55,4.275,2.423,2.327,3.524,3.359,3.724,4.0809999999999995,0.08550833333333333,0.14641111111111113,0.10479166666666667,0.12240000000000001,0.08506666666666667,10.261,26.354,12.575000000000001,14.687999999999999,15.312,0.007620945914092476,0.06452322113838563,0.050720524270431756,0.0023939652763407264,0.004394046803504858,0.10041666666666667,0.10060416666666666,0.10397916666666666,0.09902083333333334,0.12264583333333333,0.10890833333333334,0.129675,9.64,9.658,9.982,9.506,11.774,13.069,15.561,0.05271126248708579,0.053787785576215934,0.04897238301579384,0.04425785191511616,0.14067685846923056,0.07550134907062651,0.13368294125097863,0.10533333333333333,0.11929166666666666,50.56,28.63,0.07740591523450634,0.10883355652784348,0.1099861111111111,79.19,0.08928770722106326,79.19,79.19,5.0280000000000005,17.085,16.74,16.736,23.601
JALG,0.25564722222222225,0.2269810405298341,0.065,1.642,0.105,0.164,0.31725000000000003,184.06600000000003,0.25564722222222225,6.135533333333336,0.10866666666666666,0.10263333333333334,0.10046666666666666,0.0999,0.0993,0.10579999999999999,0.2507,0.38210000000000005,0.3425333333333333,0.33386666666666664,0.21946666666666664,0.31283333333333335,0.31943333333333335,0.43079999999999996,0.30383333333333334,0.2916666666666667,0.3171333333333333,0.28536666666666666,0.2715666666666667,0.3172,0.39603333333333335,0.36293333333333333,0.2275333333333333,0.15376666666666666,3.26,3.079,3.014,2.997,2.979,3.174,7.521,11.463000000000001,10.276,10.016,6.584,9.385,9.583,12.924,9.115,8.75,9.514,8.561,8.147,9.516,11.881,10.888,6.826,4.6129999999999995,3.26,3.079,3.014,2.997,2.979,3.174,7.521,11.463000000000001,10.276,10.016,6.584,9.385,9.583,12.924,9.115,8.75,9.514,8.561,8.147,9.516,11.881,10.888,6.826,4.6129999999999995,0.32730000000000004,0.3130055555555556,0.2978166666666667,0.28506666666666663,0.10279444444444442,39.276,56.341,35.738,34.208,18.503,0.12720500890559397,0.06481226367150567,0.04301259486239392,0.06503869915580703,0.002194076443594022,0.2651145833333333,0.2472291666666667,0.26507291666666666,0.22312500000000002,0.24364583333333334,0.22025,0.31828333333333336,25.451,23.734,25.447,21.42,23.39,26.43,38.194,0.2664227297791659,0.20011767481142145,0.23544606018953035,0.1560854185846226,0.20055281384301465,0.18895485432978404,0.2911072511165963,0.2488375,0.26926666666666665,119.442,64.624,0.2146343072669182,0.2497686706582692,0.25564722222222225,184.066,0.22698104052983398,184.066,184.066,11.707,44.729,43.826,44.023,39.781
JLG,0.13193611111111112,0.14214684693421628,0.045,1.627,0.058,0.0915,0.15025,94.994,0.13193611111111112,3.166466666666667,0.0664,0.06233333333333333,0.05973333333333333,0.057300000000000004,0.0543,0.05483333333333333,0.052866666666666666,0.05676666666666667,0.12116666666666667,0.15063333333333334,0.10026666666666667,0.18150000000000002,0.1695,0.22456666666666666,0.2533666666666667,0.18109999999999998,0.18646666666666667,0.1624,0.14973333333333333,0.1803,0.19893333333333332,0.16943333333333335,0.1553,0.11726666666666666,1.992,1.8699999999999999,1.792,1.719,1.629,1.645,1.586,1.703,3.6350000000000002,4.519,3.008,5.445,5.085,6.737,7.601,5.433,5.594,4.872,4.492,5.409,5.968,5.083,4.659,3.518,1.992,1.8699999999999999,1.792,1.719,1.629,1.645,1.586,1.703,3.6350000000000002,4.519,3.008,5.445,5.085,6.737,7.601,5.433,5.594,4.872,4.492,5.409,5.968,5.083,4.659,3.518,0.09535833333333334,0.18505000000000002,0.169725,0.16023333333333334,0.05915000000000001,11.443000000000001,33.309,20.367,19.228,10.647,0.07151520868257216,0.09750835561916407,0.02951356033036403,0.024116743973465374,0.003470279115065761,0.13010416666666666,0.14198958333333334,0.131125,0.13929166666666667,0.128375,0.13384166666666666,0.12106666666666667,12.49,13.631,12.588,13.372,12.324,16.061,14.528,0.11653194539801355,0.1656676758988285,0.13626330934512126,0.1393542941507208,0.10392246603775537,0.19161542348727387,0.11578527891025236,0.13417708333333334,0.12745416666666667,64.405,30.589,0.1335737459664775,0.15810585797389826,0.13193611111111112,94.994,0.14214684693421628,94.994,94.994,4.752,23.394,19.734,19.104,28.01
JMM,0.25359166666666666,0.24147638714659891,0.07,2.163,0.12875,0.183,0.26625,182.586,0.25359166666666666,6.0862,0.1459666666666667,0.12963333333333335,0.13093333333333332,0.1216,0.12226666666666668,0.1212,0.1532333333333333,0.1951,0.18536666666666665,0.2344,0.2758,0.22726666666666664,0.5725666666666667,0.5191,0.30056666666666665,0.31170000000000003,0.2842,0.2995333333333334,0.2874,0.2801,0.3528,0.34280000000000005,0.2828,0.20986666666666667,4.3790000000000004,3.8890000000000002,3.928,3.648,3.668,3.636,4.5969999999999995,5.853,5.561,7.032,8.274,6.818,17.177,15.573,9.017,9.351,8.526,8.986,8.622,8.403,10.584,10.284,8.484,6.296,4.3790000000000004,3.8890000000000002,3.928,3.648,3.668,3.636,4.5969999999999995,5.853,5.561,7.032,8.274,6.818,17.177,15.573,9.017,9.351,8.526,8.986,8.622,8.403,10.584,10.284,8.484,6.296,0.192025,0.3678333333333333,0.28780833333333333,0.29706666666666665,0.12860000000000002,23.043,66.21,34.537,35.648,23.148,0.08875016143007923,0.15730513428440662,0.026742384853175885,0.10287708291087191,0.006768686081910735,0.18664583333333332,0.23687499999999997,0.21786458333333333,0.19425,0.32621875,0.31673333333333337,0.2753333333333333,17.918,22.74,20.915,18.648,31.317,38.008,33.04,0.10557670986854378,0.19694542391231132,0.14689241460776065,0.15591522662888588,0.3762435438334002,0.31422765748465126,0.21819077818797597,0.23237083333333333,0.2960333333333333,111.538,71.048,0.22271334915254767,0.27073462537688775,0.25359166666666666,182.586,0.24147638714659897,182.586,182.586,11.598,49.598,33.034,49.301,39.055
