archivo,media_consumo,std_consumo,min_consumo,max_consumo,percentil_25_consumo,percentil_50_consumo,percentil_75_consumo,sum_consumo,promedio_por_dia,consumo_medio_diario,consumo_00,consumo_01,consumo_02,consumo_03,consumo_04,consumo_05,consumo_06,consumo_07,consumo_08,consumo_09,consumo_10,consumo_11,consumo_12,consumo_13,consumo_14,consumo_15,consumo_16,consumo_17,consumo_18,consumo_19,consumo_20,consumo_21,consumo_22,consumo_23,consumo_00_suma,consumo_01_suma,consumo_02_suma,consumo_03_suma,consumo_04_suma,consumo_05_suma,consumo_06_suma,consumo_07_suma,consumo_08_suma,consumo_09_suma,consumo_10_suma,consumo_11_suma,consumo_12_suma,consumo_13_suma,consumo_14_suma,consumo_15_suma,consumo_16_suma,consumo_17_suma,consumo_18_suma,consumo_19_suma,consumo_20_suma,consumo_21_suma,consumo_22_suma,consumo_23_suma,consumo_00_std,consumo_01_std,consumo_02_std,consumo_03_std,consumo_04_std,consumo_05_std,consumo_06_std,consumo_07_std,consumo_08_std,consumo_09_std,consumo_10_std,consumo_11_std,consumo_12_std,consumo_13_std,consumo_14_std,consumo_15_std,consumo_16_std,consumo_17_std,consumo_18_std,consumo_19_std,consumo_20_std,consumo_21_std,consumo_22_std,consumo_23_std,Mañana,Mediodia,Tarde,Noche,Madrugada,s_Mañana,s_Mediodia,s_Tarde,s_Noche,s_Madrugada,std_Mañana,std_Mediodia,std_Tarde,std_Noche,std_Madrugada,Lunes,Martes,Miércoles,Jueves,Viernes,Sábado,Domingo,s_Lunes,s_Martes,s_Miércoles,s_Jueves,s_Viernes,s_Sábado,s_Domingo,std_Lunes,std_Martes,std_Miércoles,std_Jueves,std_Viernes,std_Sábado,std_Domingo,Entre semana,Fin de semana,s_Entre semana,s_Fin de semana,std_Entre semana,std_Fin de semana,verano,s_verano,std_verano,2023-07,Julio,2023-06-26/2023-07-02,2023-07-03/2023-07-09,2023-07-10/2023-07-16,2023-07-17/2023-07-23,2023-07-24/2023-07-30,2023-07-31/2023-08-06
ABLD,0.16769489247311828,0.17143341428211858,0.047,2.33,0.081,0.115,0.18825,124.765,0.1676948924731183,4.024677419354839,0.10425806451612904,0.09380645161290323,0.10058064516129032,0.11225806451612903,0.0997741935483871,0.09619354838709676,0.17419354838709677,0.12625806451612903,0.13961290322580647,0.19393548387096773,0.19383870967741937,0.22990322580645162,0.22496774193548388,0.2472258064516129,0.25693548387096776,0.2068709677419355,0.15912903225806452,0.16616129032258065,0.19696774193548386,0.20096774193548386,0.1791290322580645,0.20538709677419356,0.18325806451612903,0.13306451612903225,3.232,2.908,3.118,3.48,3.093,2.9819999999999998,5.4,3.914,4.328,6.012,6.009,7.127,6.974,7.664,7.965,6.413,4.933,5.151,6.106,6.2299999999999995,5.553,6.367,5.681,4.125,3.232,2.908,3.118,3.48,3.093,2.9819999999999998,5.4,3.914,4.328,6.012,6.009,7.127,6.974,7.664,7.965,6.413,4.933,5.151,6.106,6.2299999999999995,5.553,6.367,5.681,4.125,0.1585,0.2266236559139785,0.1808064516129032,0.17520967741935484,0.10114516129032258,19.654,42.152,22.419999999999998,21.726,18.813000000000002,0.05350489526525567,0.0868997091830682,0.06777158085190516,0.04673187758488456,0.0254199006764702,0.18171666666666667,0.19022916666666667,0.180875,0.16395833333333334,0.14298958333333334,0.11930833333333334,0.19624166666666668,21.806,18.262,17.364,15.74,13.727,14.317,23.549,0.1655030621633152,0.16366297071254737,0.14998549052632074,0.13085813263681012,0.1197006349006305,0.09910929336249115,0.278207376731436,0.1724186507936508,0.157775,86.899,37.866,0.14833020672808722,0.21193017964892377,0.16769489247311828,124.765,0.1714334142821185,124.765,124.765,7.9159999999999995,22.583,30.601,27.861,31.33,4.474
AJVG,0.12519489247311827,0.1436323103137726,0.005,1.135,0.053,0.0785,0.15025,93.145,0.1251948924731183,3.004677419354839,0.10312903225806452,0.07383870967741936,0.07541935483870968,0.08199999999999999,0.06925806451612902,0.16,0.38748387096774195,0.07551612903225807,0.0876774193548387,0.09564516129032258,0.09274193548387097,0.17325806451612902,0.15829032258064515,0.13096774193548388,0.10332258064516128,0.09570967741935484,0.1224516129032258,0.12241935483870968,0.1193548387096774,0.14661290322580645,0.18274193548387097,0.12803225806451615,0.1117741935483871,0.10703225806451613,3.197,2.289,2.338,2.542,2.147,4.96,12.012,2.341,2.718,2.965,2.875,5.3709999999999996,4.907,4.0600000000000005,3.203,2.967,3.796,3.795,3.6999999999999997,4.545,5.665,3.9690000000000003,3.465,3.318,3.197,2.289,2.338,2.542,2.147,4.96,12.012,2.341,2.718,2.965,2.875,5.3709999999999996,4.907,4.0600000000000005,3.203,2.967,3.796,3.795,3.6999999999999997,4.545,5.665,3.9690000000000003,3.465,3.318,0.16158064516129034,0.12571505376344086,0.12770967741935485,0.13239516129032258,0.09394086021505377,20.036,23.383,15.835999999999999,16.417,17.473,0.12890552318985207,0.07288523615895787,0.03933821645630617,0.03710103191565829,0.024911967801934807,0.13241666666666668,0.1585,0.13855208333333333,0.11744791666666667,0.11633333333333333,0.10328333333333334,0.11584166666666666,15.89,15.216,13.301,11.275,11.168,12.394,13.901,0.14765224778007882,0.15849203865112424,0.14316474645384245,0.13408119062651763,0.1326074274864021,0.13001707601704635,0.15336752123128117,0.1326388888888889,0.10956250000000001,66.85,26.295,0.14394008499077882,0.1420142173108385,0.12519489247311827,93.145,0.1436323103137726,93.145,93.145,4.007,27.041,20.813,26.042,15.116999999999999,0.125
ATF,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FJAG,0.4778131720430108,0.4512910044539948,0.122,3.131,0.197,0.2965,0.5945,355.49300000000005,0.4778131720430107,11.467516129032258,0.19793548387096774,0.2000967741935484,0.18583870967741936,0.19012903225806452,0.18277419354838711,0.21619354838709678,0.2696774193548387,0.3035161290322581,0.27012903225806456,0.4032258064516129,0.5413870967741936,0.8773870967741935,0.8289354838709677,0.6759354838709678,0.6174838709677419,0.6347419354838709,0.6278387096774194,0.8089032258064516,0.8204193548387096,0.7381612903225806,0.5963225806451613,0.48477419354838713,0.4889032258064516,0.3068064516129032,6.136,6.203,5.761,5.894,5.666,6.702,8.36,9.409,8.374,12.5,16.783,27.198999999999998,25.697,20.954,19.142,19.677,19.463,25.076,25.433,22.883,18.486,15.028,15.156,9.511,6.136,6.203,5.761,5.894,5.666,6.702,8.36,9.409,8.374,12.5,16.783,27.198999999999998,25.697,20.954,19.142,19.677,19.463,25.076,25.433,22.883,18.486,15.028,15.156,9.511,0.3116370967741936,0.6959784946236559,0.7488306451612903,0.4692016129032258,0.19549462365591397,38.643,129.452,92.855,58.181,36.362,0.0811492517103919,0.12584823124839858,0.0715770886325835,0.10803823149148653,0.01590220727147529,0.40859166666666663,0.5304791666666667,0.48625,0.43915624999999997,0.5550208333333333,0.4528666666666667,0.4922583333333333,49.031,50.926,46.68,42.159,53.282,54.344,59.071,0.3428457157438628,0.4783385275407204,0.2833436819575534,0.27560487842771925,0.5795421056256245,0.5406106558628795,0.5218315594141084,0.48031349206349205,0.47256250000000005,242.078,113.415,0.40874040250101035,0.5305586424372463,0.47781317204301077,355.493,0.45129100445399495,355.493,355.493,16.944,60.080999999999996,114.694,94.961,64.295,4.518
FMB,0.18178360215053765,0.19941389949256141,0.032,1.144,0.054,0.0885,0.24525,135.247,0.18178360215053763,4.3628064516129035,0.105,0.09716129032258064,0.09409677419354838,0.08403225806451613,0.10390322580645162,0.06274193548387097,0.07980645161290323,0.08458064516129032,0.1452258064516129,0.18483870967741933,0.23990322580645163,0.255741935483871,0.2918064516129032,0.18851612903225806,0.17293548387096777,0.19312903225806452,0.2501935483870968,0.25129032258064515,0.2956774193548387,0.2856451612903226,0.239,0.23358064516129032,0.2468709677419355,0.1771290322580645,3.255,3.012,2.917,2.605,3.221,1.945,2.474,2.622,4.502,5.7299999999999995,7.437,7.928,9.046,5.844,5.361000000000001,5.987,7.756,7.79,9.166,8.855,7.409,7.241,7.6530000000000005,5.491,3.255,3.012,2.917,2.605,3.221,1.945,2.474,2.622,4.502,5.7299999999999995,7.437,7.928,9.046,5.844,5.361000000000001,5.987,7.756,7.79,9.166,8.855,7.409,7.241,7.6530000000000005,5.491,0.12361290322580645,0.22367204301075272,0.2707016129032258,0.22414516129032258,0.09115591397849461,15.328,41.603,33.567,27.793999999999997,16.955,0.0486961583516518,0.03327284479595319,0.02651934183177079,0.049176504300043423,0.01824043264095412,0.225025,0.16694791666666667,0.20471874999999998,0.18329166666666666,0.10581249999999999,0.16446666666666668,0.20895000000000002,27.003,16.027,19.653,17.596,10.158,19.736,25.074,0.22265957218146634,0.176163701965958,0.22357373459919558,0.18535166670649927,0.0930654905231568,0.1899434649782802,0.23541180974638296,0.17943849206349205,0.18670833333333334,90.437,44.81,0.19193778032842704,0.21460187507060952,0.18178360215053765,135.247,0.1994138994925615,135.247,135.247,5.264,29.171,32.102,37.328,23.994,7.388
GPC,0.14663844086021505,0.13525641736922406,0.029,1.124,0.074,0.1055,0.16025,109.099,0.14663844086021507,3.519322580645161,0.10283870967741936,0.08816129032258065,0.0775483870967742,0.08122580645161291,0.08425806451612904,0.11306451612903226,0.2589032258064516,0.1937741935483871,0.13951612903225807,0.14506451612903226,0.1407741935483871,0.15751612903225806,0.12309677419354838,0.20148387096774195,0.13606451612903225,0.19135483870967743,0.16219354838709676,0.1661290322580645,0.23958064516129032,0.1706451612903226,0.19416129032258064,0.14687096774193548,0.11119354838709677,0.09390322580645162,3.188,2.733,2.404,2.5180000000000002,2.612,3.505,8.026,6.007,4.325,4.497,4.364,4.883,3.816,6.246,4.218,5.932,5.028,5.1499999999999995,7.427,5.29,6.019,4.553,3.447,2.911,3.188,2.733,2.404,2.5180000000000002,2.612,3.505,8.026,6.007,4.325,4.497,4.364,4.883,3.816,6.246,4.218,5.932,5.028,5.1499999999999995,7.427,5.29,6.019,4.553,3.447,2.911,0.18431451612903227,0.15838172043010754,0.18463709677419354,0.13653225806451613,0.09118279569892473,22.855,29.458999999999996,22.894999999999996,16.93,16.96,0.0800048544395231,0.03986883764141181,0.050121471051253724,0.021462032444835973,0.02488690316648067,0.16108333333333333,0.17021875,0.12970833333333334,0.14956250000000001,0.14078125,0.14154166666666665,0.13431666666666667,19.33,16.341,12.452,14.358,13.515,16.985,16.118,0.14225575165718896,0.16677215488425176,0.09155635787134977,0.15389927071404788,0.13908068110008365,0.12931317569746545,0.11364591799915713,0.15078571428571427,0.13792916666666669,75.996,33.103,0.14125130135147357,0.12153085246027469,0.14663844086021505,109.099,0.135256417369224,109.099,109.099,7.886,30.184,22.025,22.442,24.184,2.378
JACL,0.2008172043010753,0.25551603800816014,0.028,1.277,0.066,0.125,0.16525,149.40800000000002,0.2008172043010753,4.819612903225806,0.09103225806451613,0.09606451612903226,0.0832258064516129,0.07419354838709677,0.08861290322580646,0.07561290322580645,0.06964516129032257,0.09241935483870968,0.10287096774193548,0.12109677419354839,0.1026774193548387,0.09516129032258065,0.16674193548387095,0.461258064516129,0.5366129032258065,0.34019354838709676,0.2889354838709678,0.3389354838709677,0.31883870967741934,0.19990322580645162,0.1942258064516129,0.3355161290322581,0.3379677419354839,0.20787096774193548,2.822,2.978,2.58,2.3,2.7470000000000003,2.344,2.159,2.865,3.189,3.754,3.183,2.95,5.169,14.299,16.635,10.546,8.957,10.507,9.884,6.197,6.021,10.401,10.477,6.444,2.822,2.978,2.58,2.3,2.7470000000000003,2.344,2.159,2.865,3.189,3.754,3.183,2.95,5.169,14.299,16.635,10.546,8.957,10.507,9.884,6.197,6.021,10.401,10.477,6.444,0.09650806451612903,0.2837741935483871,0.28665322580645164,0.2688951612903226,0.08479032258064516,11.967,52.782000000000004,35.545,33.343,15.770999999999999,0.015616321110822801,0.16317204344007094,0.02975907428047866,0.051120254899468455,0.002208444607131028,0.20489166666666667,0.27103125,0.15548958333333332,0.18882291666666665,0.19265625,0.180075,0.21370000000000003,24.587,26.019,14.927,18.127,18.495,21.609,25.644000000000002,0.2681696376397237,0.3509694379594595,0.18120700548742394,0.21160872506097153,0.24860600103376426,0.22950209762685406,0.2588341540982007,0.20268849206349207,0.1968875,102.155,47.253,0.26073650118120906,0.24467664565904598,0.20081720430107525,149.408,0.2555160380081602,149.408,149.408,5.558,25.794,40.467,40.296,32.123,5.17
JALG,0.23559139784946237,0.18559368848965602,0.073,1.719,0.11275,0.169,0.296,175.28,0.23559139784946234,5.654193548387097,0.11980645161290322,0.11196774193548388,0.11319354838709678,0.10687096774193547,0.10496774193548387,0.12067741935483871,0.23141935483870968,0.3542258064516129,0.39880645161290323,0.2781935483870968,0.24583870967741936,0.3425483870967742,0.32351612903225807,0.3173548387096774,0.2723225806451613,0.25151612903225806,0.26325806451612904,0.22616129032258064,0.20296774193548386,0.23312903225806453,0.2794516129032258,0.30135483870967744,0.27803225806451615,0.17661290322580644,3.714,3.471,3.509,3.3129999999999997,3.254,3.741,7.174,10.981,12.363,8.624,7.621,10.619,10.029,9.838,8.442,7.797,8.161,7.011,6.292,7.227,8.663,9.342,8.619,5.475,3.714,3.471,3.509,3.3129999999999997,3.254,3.741,7.174,10.981,12.363,8.624,7.621,10.619,10.029,9.838,8.442,7.797,8.161,7.011,6.292,7.227,8.663,9.342,8.619,5.475,0.31566129032258067,0.29218279569892475,0.2313790322580645,0.25886290322580646,0.11291397849462365,39.142,54.346,28.691,32.099000000000004,21.002000000000002,0.05004646998235619,0.07258553581029326,0.013977456652403446,0.0573632248973161,0.0036346685503540603,0.23073333333333332,0.271,0.26047916666666665,0.22583333333333333,0.23206249999999998,0.20666666666666667,0.23176666666666668,27.688,26.016000000000002,25.006,21.68,22.278,24.8,27.812,0.19087752830630678,0.22673420562411836,0.239561528374639,0.16271173520041454,0.18149767651115364,0.11247201955185489,0.17091187632165034,0.2433888888888889,0.21921666666666667,122.668,52.612,0.20177351719713593,0.14491721389897025,0.23559139784946237,175.28,0.18559368848965613,175.28,175.28,10.917,37.822,42.288000000000004,36.218,42.684,5.351
JLG,0.18054973118279571,0.21986581665883284,0.057,1.623,0.069,0.082,0.15925,134.329,0.18054973118279574,4.333193548387096,0.08735483870967743,0.08016129032258064,0.07819354838709677,0.07896774193548387,0.07561290322580645,0.07319354838709678,0.08038709677419355,0.11109677419354838,0.12274193548387097,0.10303225806451613,0.12238709677419354,0.184,0.2507741935483871,0.3205483870967742,0.4015161290322581,0.3024516129032258,0.2736774193548387,0.28003225806451615,0.26725806451612905,0.2425483870967742,0.2661612903225806,0.2273225806451613,0.1950967741935484,0.10867741935483871,2.708,2.485,2.424,2.448,2.344,2.269,2.492,3.444,3.805,3.194,3.794,5.704,7.774,9.937,12.447000000000001,9.376,8.484,8.681000000000001,8.285,7.519,8.251,7.047000000000001,6.048,3.369,2.708,2.485,2.424,2.448,2.344,2.269,2.492,3.444,3.805,3.194,3.794,5.704,7.774,9.937,12.447000000000001,9.376,8.484,8.681000000000001,8.285,7.519,8.251,7.047000000000001,6.048,3.369,0.10431451612903225,0.26361290322580644,0.26587903225806453,0.19931451612903228,0.07891397849462366,12.934999999999999,49.032,32.969,24.715,14.677999999999999,0.030848461879915728,0.11565345519038873,0.0178296893970549,0.07750411665430224,0.004253630553103257,0.24279166666666668,0.2929791666666667,0.18373958333333332,0.2000625,0.12237500000000001,0.10284166666666668,0.13445000000000001,29.135,28.126,17.639,19.206,11.748000000000001,12.341000000000001,16.134,0.2829679405730566,0.3297641255636701,0.204926443532239,0.1948275249385574,0.10885801955323561,0.07806009275700669,0.1737234279300426,0.21002777777777779,0.11864583333333334,105.854,28.475,0.24496209635435504,0.13532012093184728,0.18054973118279571,134.329,0.21986581665883298,134.329,134.329,5.066,30.011,44.137,33.165,14.139000000000001,7.811
JMM,0.3437284946236559,0.22052220281094026,0.109,1.76,0.19275,0.2935,0.44,255.734,0.3437284946236559,8.249483870967742,0.21090322580645163,0.198,0.18064516129032257,0.19599999999999998,0.17796774193548387,0.18448387096774194,0.21629032258064515,0.2486774193548387,0.2456451612903226,0.309258064516129,0.41670967741935483,0.5358064516129032,0.5870322580645161,0.5361612903225806,0.45061290322580644,0.39806451612903226,0.39,0.3999677419354839,0.4053225806451613,0.40077419354838706,0.4103548387096774,0.4516774193548387,0.3970967741935484,0.3020322580645161,6.538,6.138,5.6,6.076,5.517,5.719,6.705,7.709,7.615,9.587,12.918,16.61,18.198,16.621,13.969,12.34,12.09,12.399000000000001,12.565,12.424,12.721,14.001999999999999,12.31,9.363,6.538,6.138,5.6,6.076,5.517,5.719,6.705,7.709,7.615,9.587,12.918,16.61,18.198,16.621,13.969,12.34,12.09,12.399000000000001,12.565,12.424,12.721,14.001999999999999,12.31,9.363,0.2549677419354839,0.4873978494623656,0.3990161290322581,0.3902903225806451,0.19133333333333333,31.616,90.65599999999999,49.478,48.396,35.588,0.06467951712093953,0.10508232157460301,0.012120125507237622,0.0437919934048815,0.004483532116036349,0.3360333333333333,0.33307291666666666,0.2991770833333333,0.29684375,0.37061458333333336,0.358275,0.3970416666666666,40.324,31.975,28.721,28.497,35.579,42.993,47.644999999999996,0.21957563859505408,0.17171556927796655,0.17932493264824678,0.13974181667971602,0.2310140287283399,0.2424499935445409,0.28643016940744687,0.32757142857142857,0.3776583333333334,165.096,90.638,0.19371844989613635,0.2655085590133481,0.3437284946236559,255.734,0.22052220281094023,255.734,255.734,13.109,44.791000000000004,60.805,68.388,61.562,7.079
