archivo,media_consumo,std_consumo,min_consumo,max_consumo,percentil_25_consumo,percentil_50_consumo,percentil_75_consumo,sum_consumo,promedio_por_dia,consumo_medio_diario,consumo_00,consumo_01,consumo_02,consumo_03,consumo_04,consumo_05,consumo_06,consumo_07,consumo_08,consumo_09,consumo_10,consumo_11,consumo_12,consumo_13,consumo_14,consumo_15,consumo_16,consumo_17,consumo_18,consumo_19,consumo_20,consumo_21,consumo_22,consumo_23,consumo_00_suma,consumo_01_suma,consumo_02_suma,consumo_03_suma,consumo_04_suma,consumo_05_suma,consumo_06_suma,consumo_07_suma,consumo_08_suma,consumo_09_suma,consumo_10_suma,consumo_11_suma,consumo_12_suma,consumo_13_suma,consumo_14_suma,consumo_15_suma,consumo_16_suma,consumo_17_suma,consumo_18_suma,consumo_19_suma,consumo_20_suma,consumo_21_suma,consumo_22_suma,consumo_23_suma,consumo_00_std,consumo_01_std,consumo_02_std,consumo_03_std,consumo_04_std,consumo_05_std,consumo_06_std,consumo_07_std,consumo_08_std,consumo_09_std,consumo_10_std,consumo_11_std,consumo_12_std,consumo_13_std,consumo_14_std,consumo_15_std,consumo_16_std,consumo_17_std,consumo_18_std,consumo_19_std,consumo_20_std,consumo_21_std,consumo_22_std,consumo_23_std,Mañana,Mediodia,Tarde,Noche,Madrugada,s_Mañana,s_Mediodia,s_Tarde,s_Noche,s_Madrugada,std_Mañana,std_Mediodia,std_Tarde,std_Noche,std_Madrugada,Lunes,Martes,Miércoles,Jueves,Viernes,Sábado,Domingo,s_Lunes,s_Martes,s_Miércoles,s_Jueves,s_Viernes,s_Sábado,s_Domingo,std_Lunes,std_Martes,std_Miércoles,std_Jueves,std_Viernes,std_Sábado,std_Domingo,Entre semana,Fin de semana,s_Entre semana,s_Fin de semana,std_Entre semana,std_Fin de semana,verano,s_verano,std_verano,2024-08,Agosto,2024-07-29/2024-08-04,2024-08-05/2024-08-11,2024-08-12/2024-08-18,2024-08-19/2024-08-25,2024-08-26/2024-09-01
ABLD,0.1857849462365591,0.18429094263202866,0.065,1.323,0.082,0.11,0.207,138.224,0.18578494623655917,4.45883870967742,0.11006451612903226,0.10761290322580645,0.12416129032258065,0.13803225806451613,0.118,0.11196774193548388,0.1710967741935484,0.11564516129032258,0.11777419354838708,0.17664516129032257,0.21974193548387097,0.25970967741935486,0.23683870967741935,0.2618064516129032,0.2846774193548387,0.22593548387096776,0.2018709677419355,0.22135483870967743,0.2202258064516129,0.16129032258064516,0.23970967741935484,0.25264516129032255,0.2186451612903226,0.16338709677419355,3.412,3.336,3.849,4.279,3.658,3.471,5.304,3.585,3.651,5.476,6.812,8.051,7.342,8.116,8.825,7.0040000000000004,6.258,6.862,6.827,5.0,7.431,7.832,6.7780000000000005,5.065,3.412,3.336,3.849,4.279,3.658,3.471,5.304,3.585,3.651,5.476,6.812,8.051,7.342,8.116,8.825,7.0040000000000004,6.258,6.862,6.827,5.0,7.431,7.832,6.7780000000000005,5.065,0.14529032258064517,0.2481182795698925,0.20118548387096774,0.2185967741935484,0.11830645161290322,18.016,46.15,24.947000000000003,27.106,22.005,0.06097525907063022,0.05715165953785416,0.03933276347361031,0.046076658029773336,0.037288009612521746,0.21447916666666667,0.174875,0.19454166666666664,0.19899166666666668,0.196325,0.16411666666666666,0.15664583333333335,20.59,16.788,18.676,23.879,23.559,19.694,15.038,0.22685167791296992,0.14398539765143584,0.1972606032993793,0.18929917168482333,0.2025496375515614,0.13771808882204076,0.1778908582702898,0.19600757575757577,0.1607962962962963,103.492,34.732,0.19372663093295114,0.15650623045829612,0.1857849462365591,138.224,0.18429094263202864,138.224,138.224,21.987,33.457,21.518,38.598,22.664
AJVG,0.11677688172043012,0.12660391155257128,0.036,1.251,0.058,0.0755,0.114,86.882,0.1167768817204301,2.8026451612903225,0.09232258064516129,0.08183870967741935,0.07251612903225807,0.09161290322580645,0.08587096774193548,0.17193548387096774,0.20358064516129032,0.09706451612903226,0.09816129032258065,0.10193548387096775,0.20670967741935484,0.14838709677419354,0.12603225806451612,0.1482258064516129,0.1077741935483871,0.10825806451612903,0.11829032258064516,0.09048387096774194,0.09483870967741935,0.10848387096774194,0.1306774193548387,0.11612903225806452,0.11012903225806452,0.09138709677419356,2.862,2.537,2.248,2.84,2.662,5.33,6.311,3.009,3.043,3.16,6.408,4.6,3.907,4.595,3.341,3.356,3.667,2.805,2.94,3.363,4.051,3.6,3.414,2.833,2.862,2.537,2.248,2.84,2.662,5.33,6.311,3.009,3.043,3.16,6.408,4.6,3.907,4.595,3.341,3.356,3.667,2.805,2.94,3.363,4.051,3.6,3.414,2.833,0.12518548387096776,0.14089784946236558,0.1030241935483871,0.11208064516129032,0.09934946236559139,15.523,26.207,12.774999999999999,13.898,18.479,0.05869652152123542,0.0895206699792978,0.0281312196809947,0.018562494173538353,0.06556805392341854,0.12485416666666667,0.12035416666666666,0.12246875,0.11789999999999999,0.099975,0.109675,0.12790625,11.986,11.554,11.757,14.148,11.997,13.161,12.279,0.1491145782817373,0.10697131727382929,0.11119200587745787,0.10307706181429943,0.09990545635791888,0.14415684516665642,0.1637586849846283,0.11636742424242424,0.11777777777777779,61.442,25.44,0.11418062789677269,0.1530814547322625,0.11677688172043012,86.882,0.12660391155257128,86.882,86.882,7.631,11.744,15.33,30.436,21.741
ATF,0.10095698924731182,0.03213385998933447,0.059,0.302,0.07,0.101,0.127,75.112,0.10095698924731182,2.422967741935484,0.09929032258064516,0.0967741935483871,0.09980645161290322,0.10174193548387096,0.0982258064516129,0.09635483870967743,0.0992258064516129,0.10196774193548387,0.10158064516129033,0.10161290322580645,0.10212903225806451,0.1053225806451613,0.1042258064516129,0.09825806451612903,0.09961290322580646,0.09929032258064516,0.09764516129032258,0.09987096774193549,0.10561290322580645,0.10309677419354839,0.10529032258064515,0.10393548387096774,0.10054838709677419,0.1015483870967742,3.078,3.0,3.094,3.154,3.045,2.987,3.076,3.161,3.149,3.15,3.166,3.265,3.231,3.0460000000000003,3.088,3.078,3.027,3.096,3.274,3.196,3.264,3.222,3.117,3.148,3.078,3.0,3.094,3.154,3.045,2.987,3.076,3.161,3.149,3.15,3.166,3.265,3.231,3.0460000000000003,3.088,3.078,3.027,3.096,3.274,3.196,3.264,3.222,3.117,3.148,0.10109677419354839,0.10147311827956991,0.10155645161290323,0.10283064516129033,0.09869892473118279,12.536,18.874,12.593,12.751,18.357999999999997,0.0025305678323777657,0.0019850902431870795,0.006816810254986372,0.009358207608970083,0.0013195616378705037,0.0984375,0.09839583333333334,0.1024375,0.10670833333333334,0.09797499999999999,0.10426666666666667,0.09695833333333333,9.45,9.446,9.834,12.805,11.757,12.512,9.308,0.02850847057870419,0.030664733444023005,0.030663474757609034,0.03242584191797702,0.02796079563311772,0.04162330741168888,0.028596619846874678,0.10093181818181818,0.10101851851851852,53.292,21.82,0.030195616048799202,0.03651721008255708,0.10095698924731182,75.112,0.03213385998933448,75.112,75.112,9.75,16.218,15.87,17.81,15.464
FJAG,0.5510210752688138,0.7435864580579602,0.105,3.426,0.171,0.207,0.418,409.9596799999975,0.5510210752688138,13.224505806451532,0.18125806451612902,0.18393548387096775,0.17403225806451614,0.1742258064516129,0.18116129032258063,0.18161290322580645,0.24635483870967742,0.23961290322580645,0.2425483870967742,0.346,0.3836490322580588,0.6140038709677361,0.7762658064516013,1.0023303225806337,1.031003870967736,0.9915277419354666,1.1206812903225747,1.1983909677419298,1.307681290322575,1.1854232258064459,0.6260322580645161,0.3323225806451613,0.2729354838709678,0.23151612903225804,5.619,5.702,5.3950000000000005,5.401,5.616,5.63,7.6370000000000005,7.428,7.519,10.725999999999999,11.893119999999822,19.03411999999982,24.06423999999964,31.072239999999642,31.96111999999982,30.737359999999462,34.74111999999982,37.15011999999982,40.53811999999982,36.74811999999982,19.407,10.302,8.461,7.177,5.619,5.702,5.3950000000000005,5.401,5.616,5.63,7.6370000000000005,7.428,7.519,10.725999999999999,11.893119999999822,19.03411999999982,24.06423999999964,31.072239999999642,31.96111999999982,30.737359999999462,34.74111999999982,37.15011999999982,40.53811999999982,36.74811999999982,19.407,10.302,8.461,7.177,0.2686290322580645,0.7997967741935388,1.2030441935483813,0.36570161290322584,0.17937096774193548,33.31,148.76219999999822,149.1774799999993,45.347,33.363,0.11088983463532902,0.3421608081737787,0.057532058214169644,0.1961003736564087,0.007807872139099396,0.5170833333333333,0.49745833333333334,0.4275104166666667,0.6407083333333333,0.5113093333333318,0.6731796666666472,0.5468645833333333,49.64,47.756,41.041000000000004,76.885,61.357119999999824,80.78155999999767,52.499,0.7617622182761379,0.7433511448578007,0.6501149533135887,0.8561280670301978,0.7007220315350045,0.6962549527822516,0.7602655854480506,0.5240134848484845,0.6170396296296189,276.67911999999984,133.28055999999768,0.7495027507324942,0.7264090122378122,0.5510210752688138,409.9596799999975,0.7435864580579608,409.9596799999975,409.9596799999975,82.807,158.572,96.19083999999874,28.648,43.741839999998746
FMB,0.17691397849462367,0.1760105775552633,0.033,1.065,0.053,0.0875,0.25025,131.62400000000002,0.1769139784946237,4.245935483870967,0.10270967741935484,0.09725806451612903,0.16383870967741934,0.11190322580645161,0.09335483870967742,0.08445161290322581,0.10490322580645162,0.1858709677419355,0.21806451612903224,0.20051612903225807,0.23416129032258065,0.2270967741935484,0.24287096774193548,0.17216129032258062,0.15067741935483872,0.2102258064516129,0.22112903225806452,0.18487096774193548,0.21793548387096776,0.27661290322580645,0.24906451612903227,0.19529032258064516,0.16880645161290322,0.13216129032258067,3.184,3.015,5.079,3.469,2.894,2.618,3.2520000000000002,5.7620000000000005,6.76,6.216,7.259,7.04,7.529,5.337,4.671,6.517,6.855,5.731,6.756,8.575,7.721,6.054,5.233,4.097,3.184,3.015,5.079,3.469,2.894,2.618,3.2520000000000002,5.7620000000000005,6.76,6.216,7.259,7.04,7.529,5.337,4.671,6.517,6.855,5.731,6.756,8.575,7.721,6.054,5.233,4.097,0.17733870967741938,0.20619892473118281,0.22513709677419355,0.18633064516129033,0.10891935483870968,21.990000000000002,38.353,27.916999999999998,23.105,20.258999999999997,0.031565842086139786,0.022020708021570606,0.03577318926984293,0.055188847413986455,0.01764786860005866,0.15144791666666665,0.17244791666666667,0.18698958333333335,0.19460833333333336,0.19209166666666666,0.19640833333333332,0.1313125,14.539,16.555,17.951,23.353,23.051,23.569,12.606,0.15300325898088554,0.18370857183059008,0.20175579270581273,0.18253629987021253,0.17885828368923176,0.18425979539465345,0.12667200184978358,0.1807746212121212,0.16747685185185185,95.449,36.175,0.1806599234239433,0.164112806980928,0.17691397849462365,131.624,0.17601057755526345,131.624,131.624,24.958000000000002,46.652,17.577,18.275,24.162
GPC,0.13180913978494624,0.1387672358935505,0.03,2.132,0.069,0.095,0.13225,98.066,0.13180913978494624,3.1634193548387093,0.07670967741935485,0.08700000000000001,0.08580645161290323,0.07358064516129033,0.07345161290322581,0.08790322580645162,0.14387096774193547,0.15183870967741936,0.1895806451612903,0.1747741935483871,0.14006451612903226,0.148,0.23941935483870966,0.203,0.1275483870967742,0.13925806451612904,0.13690322580645162,0.11812903225806451,0.12538709677419355,0.1681290322580645,0.157,0.12177419354838709,0.10225806451612902,0.09203225806451612,2.378,2.697,2.66,2.281,2.277,2.725,4.46,4.707,5.877,5.418,4.342,4.588,7.422,6.293,3.954,4.317,4.244,3.662,3.887,5.212,4.867,3.775,3.17,2.8529999999999998,2.378,2.697,2.66,2.281,2.277,2.725,4.46,4.707,5.877,5.418,4.342,4.588,7.422,6.293,3.954,4.317,4.244,3.662,3.887,5.212,4.867,3.775,3.17,2.8529999999999998,0.16501612903225807,0.16621505376344084,0.13713709677419356,0.11826612903225805,0.08074193548387097,20.462,30.916,17.005,14.665,15.017999999999999,0.01736538157449579,0.10858088265190252,0.03529482842269675,0.032111169126795215,0.003542333928930198,0.19962500000000002,0.13661458333333334,0.12447916666666665,0.12419166666666667,0.12644166666666667,0.103075,0.11866666666666666,19.164,13.115,11.95,14.903,15.173,12.369,11.392,0.2624161520221369,0.11103990461391194,0.10860560993232311,0.10968061316733195,0.11753903666465886,0.09247013258435431,0.09208653443669929,0.14072916666666668,0.11000462962962963,74.305,23.761,0.15293872885363255,0.0924119944739474,0.13180913978494624,98.066,0.1387672358935505,98.066,98.066,15.066,17.515,20.856,23.396,21.233
JACL,0.26361290322580644,0.30148641299774415,0.036,1.385,0.076,0.137,0.29574999999999996,196.128,0.2636129032258065,6.326709677419357,0.16080645161290322,0.08996774193548387,0.08141935483870968,0.0902258064516129,0.10332258064516128,0.08354838709677419,0.08096774193548388,0.10719354838709677,0.10912903225806452,0.118,0.08835483870967742,0.18219354838709678,0.3228064516129032,0.6099677419354839,0.651,0.553,0.4184193548387097,0.4331935483870968,0.3570645161290323,0.3036774193548387,0.2524193548387097,0.3641935483870968,0.4431612903225806,0.32267741935483873,4.984999999999999,2.789,2.524,2.797,3.203,2.59,2.5100000000000002,3.323,3.383,3.658,2.739,5.648000000000001,10.007,18.909,20.181,17.143,12.971,13.429,11.069,9.414,7.825,11.290000000000001,13.738,10.003,4.984999999999999,2.789,2.524,2.797,3.203,2.59,2.5100000000000002,3.323,3.383,3.658,2.739,5.648000000000001,10.007,18.909,20.181,17.143,12.971,13.429,11.069,9.414,7.825,11.290000000000001,13.738,10.003,0.1038225806451613,0.4012204301075269,0.37808870967741937,0.34561290322580646,0.1015483870967742,12.874,74.627,46.883,42.856,18.887999999999998,0.020501523921836982,0.12943249150883857,0.012355403022671362,0.03601303456616024,0.05633728624660892,0.3004583333333333,0.25228125,0.25237499999999996,0.3060833333333333,0.25598333333333334,0.20283333333333334,0.2817604166666667,28.844,24.219,24.227999999999998,36.73,30.718,24.34,27.049,0.34651999005652184,0.27772662450785357,0.2613219127919876,0.3305485022276307,0.29008129788690873,0.2625387793150903,0.32832778053234885,0.27412689393939393,0.23791203703703706,144.739,51.389,0.3035458335267256,0.29551235230708,0.2636129032258065,196.12800000000001,0.3014864129977441,196.12800000000001,196.12800000000001,25.249,66.859,36.851,32.755,34.414
JALG,0.22927553763440864,0.24120452699367156,0.07,1.482,0.08574999999999999,0.139,0.247,170.58100000000002,0.22927553763440858,5.502612903225806,0.1145483870967742,0.10829032258064517,0.11229032258064517,0.111,0.1040967741935484,0.10190322580645163,0.1546451612903226,0.16406451612903228,0.17832258064516127,0.24580645161290324,0.27880645161290324,0.31806451612903225,0.3369354838709678,0.4153548387096774,0.4022903225806452,0.3359032258064516,0.2649032258064516,0.22132258064516128,0.22716129032258064,0.28777419354838707,0.3399354838709677,0.28180645161290324,0.2350322580645161,0.16235483870967743,3.551,3.357,3.4810000000000003,3.441,3.2270000000000003,3.1590000000000003,4.7940000000000005,5.086,5.528,7.62,8.643,9.86,10.445,12.876,12.471,10.413,8.212,6.861,7.042,8.921,10.538,8.736,7.286,5.033,3.551,3.357,3.4810000000000003,3.441,3.2270000000000003,3.1590000000000003,4.7940000000000005,5.086,5.528,7.62,8.643,9.86,10.445,12.876,12.471,10.413,8.212,6.861,7.042,8.921,10.538,8.736,7.286,5.033,0.18570967741935485,0.34789247311827953,0.25029032258064515,0.2547822580645161,0.10868817204301078,23.028000000000002,64.708,31.036,31.593000000000004,20.216,0.0977748120142987,0.03571052436061362,0.0399014527120137,0.048808790095738935,0.0035533877214408956,0.22083333333333333,0.19734375,0.17426041666666667,0.24594166666666667,0.22348333333333334,0.25188333333333335,0.28281249999999997,21.2,18.945,16.729,29.513,26.818,30.226,27.15,0.249903082968564,0.1778592482022024,0.13528653761099782,0.2432840887298873,0.2301632224391756,0.27971748001769736,0.309896156206525,0.21440340909090908,0.2656296296296296,113.205,57.376,0.2149092790984732,0.29321939060194924,0.22927553763440858,170.581,0.2412045269936715,170.581,170.581,22.503,33.901,40.937,40.73,32.51
JLG,0.21647983870967738,0.24031769489276944,0.039,1.456,0.064,0.104,0.3025,161.06099999999998,0.21647983870967744,5.195516129032257,0.08219354838709678,0.0766774193548387,0.06835483870967743,0.0667741935483871,0.06432258064516129,0.06012903225806451,0.06251612903225806,0.06587096774193547,0.12306451612903226,0.13361290322580646,0.21425806451612905,0.3193225806451613,0.38938709677419353,0.3696129032258065,0.5106129032258064,0.40338709677419354,0.36238709677419356,0.2944838709677419,0.26606451612903226,0.2944838709677419,0.29874193548387096,0.2632258064516129,0.2554516129032258,0.15058064516129033,2.548,2.377,2.119,2.07,1.994,1.8639999999999999,1.938,2.042,3.815,4.142,6.642,9.899,12.071,11.458,15.829,12.504999999999999,11.234,9.129,8.248,9.129,9.261,8.16,7.9190000000000005,4.668,2.548,2.377,2.119,2.07,1.994,1.8639999999999999,1.938,2.042,3.815,4.142,6.642,9.899,12.071,11.458,15.829,12.504999999999999,11.234,9.129,8.248,9.129,9.261,8.16,7.9190000000000005,4.668,0.09626612903225806,0.36776344086021506,0.30435483870967744,0.242,0.06974193548387098,11.937000000000001,68.404,37.739999999999995,30.008,12.972000000000001,0.06712666234523532,0.0749579847411556,0.0479056806788058,0.045868744484935886,0.004158523615562151,0.24842708333333333,0.2137083333333333,0.20203125,0.23278333333333334,0.20881666666666668,0.21523333333333333,0.19251041666666668,23.849,20.516,19.395,27.934,25.058,25.828,18.481,0.3117563064754152,0.20183463354500292,0.22557936883663993,0.24780343197050067,0.2387425385638009,0.23597577618641005,0.20629768959553604,0.2211212121212121,0.20513425925925924,116.752,44.309,0.2470851639796885,0.22305574552461502,0.21647983870967744,161.061,0.2403176948927695,161.061,161.061,26.427,59.15,31.739,27.823,15.922
JMM,0.30800940860215054,0.37659305934579973,0.073,5.359,0.13775,0.2315,0.361,229.159,0.3080094086021506,7.392225806451612,0.15870967741935485,0.1436451612903226,0.13332258064516128,0.12580645161290321,0.12296774193548386,0.11912903225806452,0.1385483870967742,0.1907741935483871,0.16648387096774192,0.18854838709677418,0.2617741935483871,0.39367741935483874,0.6705161290322581,0.7510322580645161,0.6763548387096774,0.4226451612903226,0.3811290322580645,0.3626774193548387,0.39464516129032257,0.39545161290322584,0.36706451612903224,0.3225483870967742,0.28674193548387095,0.21803225806451615,4.92,4.453,4.133,3.9,3.812,3.693,4.295,5.914,5.161,5.845,8.115,12.204,20.786,23.282,20.967,13.102,11.815,11.243,12.234,12.259,11.379,9.999,8.889,6.759,4.92,4.453,4.133,3.9,3.812,3.693,4.295,5.914,5.161,5.845,8.115,12.204,20.786,23.282,20.967,13.102,11.815,11.243,12.234,12.259,11.379,9.999,8.889,6.759,0.17108870967741935,0.5293333333333333,0.38347580645161294,0.2985967741935484,0.1339301075268817,21.215,98.456,47.551,37.025999999999996,24.911,0.034299142905286954,0.36596753272476135,0.07756983366340299,0.0378589818156984,0.009580264865029503,0.3078020833333333,0.2905520833333333,0.26136458333333334,0.29806666666666665,0.2951083333333333,0.319075,0.3870416666666667,29.549,27.893,25.091,35.768,35.413,38.289,37.156,0.4834542077001529,0.2542019449920069,0.17882470804153527,0.23360566980188097,0.25168543778660996,0.31967975473625987,0.7027425809553022,0.291125,0.3492824074074074,153.714,75.445,0.29393763860552846,0.5252820804683463,0.30800940860215054,229.159,0.37659305934579956,229.159,229.159,31.514,66.436,50.74,44.397,36.072
