archivo,media_consumo,std_consumo,min_consumo,max_consumo,percentil_25_consumo,percentil_50_consumo,percentil_75_consumo,sum_consumo,promedio_por_dia,consumo_medio_diario,consumo_00,consumo_01,consumo_02,consumo_03,consumo_04,consumo_05,consumo_06,consumo_07,consumo_08,consumo_09,consumo_10,consumo_11,consumo_12,consumo_13,consumo_14,consumo_15,consumo_16,consumo_17,consumo_18,consumo_19,consumo_20,consumo_21,consumo_22,consumo_23,consumo_00_suma,consumo_01_suma,consumo_02_suma,consumo_03_suma,consumo_04_suma,consumo_05_suma,consumo_06_suma,consumo_07_suma,consumo_08_suma,consumo_09_suma,consumo_10_suma,consumo_11_suma,consumo_12_suma,consumo_13_suma,consumo_14_suma,consumo_15_suma,consumo_16_suma,consumo_17_suma,consumo_18_suma,consumo_19_suma,consumo_20_suma,consumo_21_suma,consumo_22_suma,consumo_23_suma,consumo_00_std,consumo_01_std,consumo_02_std,consumo_03_std,consumo_04_std,consumo_05_std,consumo_06_std,consumo_07_std,consumo_08_std,consumo_09_std,consumo_10_std,consumo_11_std,consumo_12_std,consumo_13_std,consumo_14_std,consumo_15_std,consumo_16_std,consumo_17_std,consumo_18_std,consumo_19_std,consumo_20_std,consumo_21_std,consumo_22_std,consumo_23_std,Mañana,Mediodia,Tarde,Noche,Madrugada,s_Mañana,s_Mediodia,s_Tarde,s_Noche,s_Madrugada,std_Mañana,std_Mediodia,std_Tarde,std_Noche,std_Madrugada,Lunes,Martes,Miércoles,Jueves,Viernes,Sábado,Domingo,s_Lunes,s_Martes,s_Miércoles,s_Jueves,s_Viernes,s_Sábado,s_Domingo,std_Lunes,std_Martes,std_Miércoles,std_Jueves,std_Viernes,std_Sábado,std_Domingo,Entre semana,Fin de semana,s_Entre semana,s_Fin de semana,std_Entre semana,std_Fin de semana,otoño,s_otoño,std_otoño,2024-09,Septiembre,2024-08-26/2024-09-01,2024-09-02/2024-09-08,2024-09-09/2024-09-15,2024-09-16/2024-09-22,2024-09-23/2024-09-29,2024-09-30/2024-10-06
ABLD,0.1857013888888889,0.2267501268486629,0.054,1.571,0.07,0.091,0.197,133.705,0.18570138888888893,4.456833333333334,0.11253333333333333,0.10726666666666666,0.0961,0.09766666666666667,0.08566666666666665,0.08323333333333333,0.12386666666666667,0.16266666666666665,0.10533333333333333,0.13296666666666665,0.24799999999999997,0.24936666666666665,0.1766,0.3125,0.39633333333333337,0.258,0.13269999999999998,0.14543333333333333,0.2102,0.33640000000000003,0.3222,0.27143333333333336,0.1719,0.11846666666666668,3.376,3.218,2.883,2.93,2.57,2.497,3.716,4.88,3.16,3.989,7.4399999999999995,7.481,5.298,9.375,11.89,7.74,3.981,4.3629999999999995,6.306,10.092,9.666,8.143,5.157,3.5540000000000003,3.376,3.218,2.883,2.93,2.57,2.497,3.716,4.88,3.16,3.989,7.4399999999999995,7.481,5.298,9.375,11.89,7.74,3.981,4.3629999999999995,6.306,10.092,9.666,8.143,5.157,3.5540000000000003,0.13120833333333332,0.2734666666666667,0.20618333333333333,0.22100000000000003,0.09707777777777778,15.745000000000001,49.224000000000004,24.741999999999997,26.520000000000003,17.474,0.035375574602200095,0.07514796550160051,0.11667357346471503,0.09891247144240005,0.05293338889786482,0.19958333333333333,0.19684374999999998,0.23502083333333335,0.21551041666666668,0.16566666666666666,0.1345625,0.15654166666666666,23.95,18.897,22.562,20.689,15.904,12.918,18.785,0.23909344129328974,0.24021316533993625,0.2759791364794264,0.27224489729079804,0.16444507428360491,0.1447689856651842,0.20704231272303514,0.2023849206349206,0.14677314814814815,102.002,31.703,0.24169021842165936,0.1819518960740085,0.1857013888888889,133.705,0.22675012684866291,133.705,133.705,3.623,33.409,28.553,29.383,34.503,4.234
AJVG,0.1467763888888889,0.19855947494005832,0.031,2.08,0.055,0.068,0.153,105.679,0.14677638888888886,3.522633333333333,0.10106666666666667,0.07573333333333333,0.07066666666666667,0.09616666666666666,0.08370000000000001,0.3715333333333334,0.28526666666666667,0.14076666666666665,0.12940000000000002,0.11316666666666667,0.17779999999999999,0.13419999999999999,0.23933333333333334,0.1508,0.07043333333333333,0.0909,0.1192,0.1467,0.16286666666666666,0.21980000000000002,0.18869999999999998,0.13006666666666666,0.13296666666666665,0.0914,3.032,2.272,2.12,2.885,2.511,11.146,8.558,4.223,3.882,3.395,5.334,4.026,7.180000000000001,4.524,2.113,2.727,3.576,4.401,4.886,6.594,5.661,3.902,3.989,2.742,3.032,2.272,2.12,2.885,2.511,11.146,8.558,4.223,3.882,3.395,5.334,4.026,7.180000000000001,4.524,2.113,2.727,3.576,4.401,4.886,6.594,5.661,3.902,3.989,2.742,0.16715,0.1439111111111111,0.16214166666666668,0.13578333333333334,0.13314444444444445,20.058,25.904,19.457,16.294,23.966,0.052009068034113086,0.14941591941058885,0.0744964151589112,0.02648358840532435,0.12111125249622823,0.15100833333333333,0.14530208333333333,0.1375625,0.13136458333333334,0.1241875,0.17538541666666665,0.15860833333333335,18.121,13.949,13.206,12.611,11.922,16.837,19.033,0.1726158359500318,0.16718373880832377,0.17124312126023447,0.15094963396979152,0.155860282405682,0.27909833655774136,0.24785043252889818,0.13850992063492062,0.1660648148148148,69.809,35.87,0.16386924399055927,0.26170524065979794,0.1467763888888889,105.679,0.1985594749400582,105.679,105.679,2.425,29.176,24.699,14.868,30.465,4.046
ATF,0.1574013888888889,0.12292249669113944,0.051,0.939,0.085,0.127,0.178,113.32900000000001,0.15740138888888885,3.777633333333333,0.1008,0.08929999999999999,0.09556666666666666,0.09966666666666667,0.09256666666666667,0.0844,0.09040000000000001,0.12293333333333334,0.1597,0.15283333333333332,0.15180000000000002,0.17923333333333333,0.2951333333333333,0.30666666666666664,0.21723333333333333,0.18393333333333334,0.17523333333333332,0.14766666666666667,0.1259,0.2273,0.24516666666666664,0.19733333333333333,0.13743333333333335,0.09943333333333333,3.024,2.679,2.867,2.99,2.777,2.532,2.712,3.688,4.791,4.585,4.554,5.377,8.854,9.2,6.517,5.518,5.257,4.43,3.777,6.819,7.3549999999999995,5.92,4.123,2.983,3.024,2.679,2.867,2.99,2.777,2.532,2.712,3.688,4.791,4.585,4.554,5.377,8.854,9.2,6.517,5.518,5.257,4.43,3.777,6.819,7.3549999999999995,5.92,4.123,2.983,0.13146666666666668,0.2223333333333333,0.16902499999999998,0.1698416666666667,0.09371666666666667,15.776,40.02,20.282999999999998,20.381,16.869,0.03348710006271061,0.07191437282282803,0.04163972470325923,0.018183917323843675,0.02472920893041106,0.16619166666666668,0.15319791666666668,0.16989583333333333,0.15022916666666666,0.168125,0.16053125,0.13663333333333333,19.943,14.707,16.31,14.422,16.14,15.411,16.396,0.14011677577771242,0.11676369477139147,0.14699369690508693,0.07709686035885628,0.12922988492564227,0.1368674312975881,0.09849386222683391,0.16175,0.14725462962962962,81.522,31.807,0.12506688866426255,0.11742368120911299,0.15740138888888888,113.329,0.12292249669113951,113.329,113.329,3.584,28.678,24.184,25.313,26.991,4.579
FJAG,0.36177433333332815,0.3155780864909043,0.096,3.054,0.183,0.246,0.41074999999999995,260.4775199999963,0.36177433333332815,8.682583999999874,0.15696666666666664,0.15896666666666667,0.15919999999999998,0.14706666666666665,0.15946666666666667,0.21223333333333333,0.24936666666666665,0.2645706666666607,0.31550399999999396,0.3895373333333273,0.5503746666666547,0.6661159999999761,0.6960493333333094,0.49400799999998807,0.3835079999999881,0.41997466666665473,0.489403999999994,0.4475373333333274,0.5717,0.48233333333333334,0.41140000000000004,0.4483666666666667,0.22333333333333333,0.1856,4.709,4.769,4.776,4.412,4.784,6.367,7.481,7.937119999999821,9.46511999999982,11.68611999999982,16.511239999999642,19.983479999999282,20.881479999999282,14.820239999999641,11.505239999999642,12.599239999999641,14.68211999999982,13.426119999999822,17.151,14.47,12.342,13.451,6.7,5.568,4.709,4.769,4.776,4.412,4.784,6.367,7.481,7.937119999999821,9.46511999999982,11.68611999999982,16.511239999999642,19.983479999999282,20.881479999999282,14.820239999999641,11.505239999999642,12.599239999999641,14.68211999999982,13.426119999999822,17.151,14.47,12.342,13.451,6.7,5.568,0.3047446666666621,0.535005111111095,0.49774366666666364,0.31717500000000004,0.16565,36.569359999999456,96.30091999999713,59.729239999999635,38.061,29.817,0.20091688536359725,0.09734044772236428,0.07716665566400824,0.11673732276898377,0.008956660993616092,0.27874366666666367,0.38970041666666294,0.36377583333332586,0.35505041666665355,0.40370541666665544,0.3483541666666667,0.4034333333333333,33.44923999999964,37.411239999999644,34.92247999999928,34.08483999999874,38.755719999998924,33.442,48.412,0.14755729221994368,0.398142132949142,0.2994906404570795,0.30697293583398894,0.41254400308307515,0.28381031393916184,0.3089704979888064,0.3544117460317386,0.3789537037037037,178.62351999999623,81.854,0.32257613232667204,0.2986321960947251,0.3617743333333281,260.4775199999962,0.3155780864909043,260.4775199999962,260.4775199999962,10.873,56.838,60.59471999999892,65.54495999999857,60.400839999998745,6.226
FMB,0.17024444444444445,0.18902128784079517,0.023,1.569,0.052,0.1115,0.2185,122.57600000000001,0.1702444444444445,4.085866666666666,0.09633333333333334,0.11003333333333334,0.08196666666666667,0.0967,0.09526666666666667,0.07856666666666666,0.1029,0.1082,0.20663333333333334,0.23573333333333332,0.28563333333333335,0.2885666666666667,0.4640666666666666,0.19883333333333333,0.13563333333333333,0.16806666666666667,0.20666666666666667,0.1764666666666667,0.17773333333333333,0.18316666666666667,0.1574,0.20046666666666668,0.1265,0.10433333333333333,2.89,3.301,2.459,2.901,2.858,2.3569999999999998,3.087,3.246,6.199,7.072,8.569,8.657,13.921999999999999,5.965,4.069,5.042,6.2,5.2940000000000005,5.332,5.495,4.722,6.014,3.795,3.13,2.89,3.301,2.459,2.901,2.858,2.3569999999999998,3.087,3.246,6.199,7.072,8.569,8.657,13.921999999999999,5.965,4.069,5.042,6.2,5.2940000000000005,5.332,5.495,4.722,6.014,3.795,3.13,0.16336666666666666,0.2568,0.18600833333333333,0.147175,0.09314444444444446,19.604,46.224000000000004,22.321,17.661,16.766000000000002,0.0673709617948446,0.0800007553246579,0.07068795545837309,0.04083727167994732,0.010064956253373662,0.15843333333333334,0.16785416666666667,0.13808333333333334,0.15414583333333334,0.15240625,0.19010416666666666,0.22095833333333334,19.012,16.114,13.256,14.798,14.631,18.25,26.515,0.15361086562875587,0.1771428789463565,0.15485141718275866,0.17677306172286886,0.12933038704480046,0.22206682157768193,0.25702285141298115,0.15438690476190478,0.20724537037037039,77.811,44.765,0.15870956728144298,0.24205323261697476,0.17024444444444445,122.576,0.18902128784079517,122.576,122.576,6.487,25.378,29.121,30.231,28.079,3.28
GPC,0.16868750000000002,0.19508118451062761,0.026,1.379,0.066,0.0995,0.163,121.45500000000001,0.16868749999999996,4.0485,0.12273333333333333,0.10453333333333334,0.09643333333333333,0.07653333333333333,0.06939999999999999,0.09146666666666667,0.24650000000000002,0.23550000000000001,0.2329,0.12586666666666668,0.09223333333333333,0.09616666666666666,0.21760000000000002,0.3844,0.3027666666666667,0.1925,0.18936666666666666,0.14023333333333332,0.14643333333333333,0.3534,0.24673333333333333,0.10933333333333332,0.08606666666666667,0.0894,3.682,3.136,2.893,2.296,2.082,2.744,7.3950000000000005,7.065,6.987,3.7760000000000002,2.767,2.885,6.5280000000000005,11.532,9.083,5.775,5.681,4.207,4.393,10.602,7.402,3.28,2.582,2.682,3.682,3.136,2.893,2.296,2.082,2.744,7.3950000000000005,7.065,6.987,3.7760000000000002,2.767,2.885,6.5280000000000005,11.532,9.083,5.775,5.681,4.207,4.393,10.602,7.402,3.28,2.582,2.682,0.2101916666666667,0.2142777777777778,0.2073583333333333,0.13288333333333333,0.09351666666666668,25.223000000000003,38.57,24.883,15.946,16.833,0.0752593733256708,0.11513016077400948,0.07401649266786381,0.048263472422845524,0.04935982379643436,0.12670833333333334,0.21471874999999999,0.17977083333333332,0.15536458333333333,0.16568750000000002,0.17701041666666664,0.171375,15.205,20.613,17.258,14.915000000000001,15.906,16.993,20.565,0.10676711449081445,0.24830853910428702,0.19937520719892438,0.16689657180369094,0.19733137038201023,0.2272044520872018,0.19811931141264819,0.1664623015873016,0.17387962962962963,83.897,37.558,0.18799853687795243,0.21105130942741154,0.1686875,121.455,0.19508118451062773,121.455,121.455,4.868,29.339,23.591,34.466,26.748,2.443
JACL,0.11303194444444446,0.10484099003881821,0.035,1.245,0.06175,0.093,0.137,81.38300000000001,0.11303194444444443,2.7127666666666665,0.1046,0.07146666666666666,0.0742,0.09000000000000001,0.07103333333333332,0.06733333333333333,0.08576666666666667,0.09103333333333333,0.10876666666666666,0.12036666666666668,0.10456666666666667,0.08263333333333334,0.12716666666666668,0.28736666666666666,0.14856666666666665,0.14026666666666668,0.0999,0.09903333333333333,0.10123333333333333,0.11033333333333334,0.11549999999999999,0.13993333333333335,0.12946666666666667,0.14223333333333335,3.138,2.144,2.226,2.7,2.131,2.02,2.573,2.731,3.263,3.611,3.137,2.479,3.815,8.621,4.457,4.208,2.997,2.971,3.037,3.31,3.465,4.198,3.884,4.267,3.138,2.144,2.226,2.7,2.131,2.02,2.573,2.731,3.263,3.611,3.137,2.479,3.815,8.621,4.457,4.208,2.997,2.971,3.037,3.31,3.465,4.198,3.884,4.267,0.10148333333333334,0.14842777777777777,0.10262500000000001,0.13178333333333334,0.07977222222222223,12.178,26.717,12.315,15.814,14.359,0.025581057749974018,0.08238818096277305,0.029580646180186503,0.030100616320134797,0.0025527483098413653,0.13296666666666665,0.1006875,0.10032291666666666,0.09725,0.10642708333333334,0.10755208333333333,0.13543333333333332,15.956,9.666,9.631,9.336,10.217,10.325,16.252,0.1277075133403882,0.0481189999677335,0.048376265339995124,0.04636786546055815,0.09036554359543378,0.13020185703192333,0.1523036955765503,0.10874206349206349,0.12304166666666667,54.806,26.577,0.08293503251820168,0.143256521017207,0.11303194444444443,81.383,0.10484099003881826,81.383,81.383,6.377000000000001,20.651,16.498,17.221,18.212,2.424
JALG,0.24475694444444443,0.22784158193961865,0.059,1.528,0.085,0.1505,0.306,176.225,0.24475694444444443,5.8741666666666665,0.10113333333333333,0.0909,0.08403333333333333,0.08533333333333333,0.08943333333333332,0.08346666666666666,0.2399,0.3087,0.24296666666666666,0.2084666666666667,0.24469999999999997,0.34459999999999996,0.49273333333333336,0.4559333333333333,0.37916666666666665,0.2536,0.28503333333333336,0.21209999999999998,0.26566666666666666,0.3621666666666667,0.3862,0.29006666666666664,0.21030000000000001,0.1575666666666667,3.034,2.727,2.521,2.56,2.683,2.504,7.197,9.261,7.289,6.2540000000000004,7.340999999999999,10.338,14.782,13.677999999999999,11.375,7.6080000000000005,8.551,6.3629999999999995,7.97,10.865,11.586,8.702,6.309,4.727,3.034,2.727,2.521,2.56,2.683,2.504,7.197,9.261,7.289,6.2540000000000004,7.340999999999999,10.338,14.782,13.677999999999999,11.375,7.6080000000000005,8.551,6.3629999999999995,7.97,10.865,11.586,8.702,6.309,4.727,0.25000833333333333,0.3617888888888889,0.28124166666666667,0.26103333333333334,0.08905,30.001,65.122,33.749,31.324,16.029,0.05344982507463122,0.08254049808887488,0.11910331809682569,0.06822691539439535,0.005233458744137651,0.24644999999999997,0.23620833333333333,0.24557291666666667,0.2593229166666667,0.2109375,0.22528125,0.28023333333333333,29.573999999999998,22.676,23.575,24.895,20.25,21.627,33.628,0.23031070901952352,0.23784266877017524,0.2258853805661375,0.2220102650444067,0.1948079654969289,0.20193916244489915,0.264167178202016,0.24001984126984127,0.2558101851851852,120.97,55.255,0.22270453016639497,0.23956772327530768,0.24475694444444443,176.225,0.22784158193961862,176.225,176.225,6.107,37.525,40.61,40.816,44.942,6.225
JLG,0.11740277777777777,0.1077680324125653,0.043,1.1,0.056,0.081,0.146,84.53,0.11740277777777779,2.8176666666666668,0.06393333333333333,0.0595,0.0587,0.05723333333333334,0.05656666666666667,0.052566666666666664,0.0569,0.06783333333333334,0.09516666666666666,0.10873333333333333,0.11253333333333333,0.1195,0.18816666666666668,0.18183333333333335,0.1701666666666667,0.13523333333333334,0.1296,0.1509,0.16266666666666665,0.15633333333333335,0.1875333333333333,0.1792,0.17859999999999998,0.08826666666666667,1.918,1.785,1.7610000000000001,1.717,1.697,1.577,1.707,2.035,2.855,3.262,3.376,3.585,5.6450000000000005,5.455,5.105,4.057,3.888,4.527,4.88,4.69,5.6259999999999994,5.376,5.358,2.648,1.918,1.785,1.7610000000000001,1.717,1.697,1.577,1.707,2.035,2.855,3.262,3.376,3.585,5.6450000000000005,5.455,5.105,4.057,3.888,4.527,4.88,4.69,5.6259999999999994,5.376,5.358,2.648,0.08215833333333333,0.1512388888888889,0.14987499999999998,0.15839999999999999,0.05808333333333333,9.859,27.223,17.985,19.008,10.455,0.043331314192524194,0.0438454245431765,0.03692212890834496,0.07518674755331066,0.0028730706915953003,0.12309166666666667,0.09686458333333332,0.10404166666666666,0.12242708333333334,0.11764583333333334,0.12455208333333334,0.1289,14.771,9.299,9.988,11.753,11.294,11.957,15.468,0.09740791780435715,0.049832481436713046,0.062368669034964845,0.11499077718547389,0.11754183838927237,0.13701693093933714,0.13531670911127672,0.11330357142857142,0.1269675925925926,57.105,27.425,0.09308851848376286,0.13577455276093991,0.11740277777777777,84.53,0.10776803241256522,84.53,84.53,5.119,21.71,19.051,17.671,18.576,2.403
JMM,0.21155138888888889,0.16957986248853016,0.067,1.398,0.116,0.167,0.236,152.317,0.21155138888888883,5.077233333333333,0.1315,0.1209,0.12133333333333333,0.11106666666666666,0.11336666666666666,0.11053333333333333,0.12313333333333333,0.1534,0.1539,0.14843333333333333,0.20186666666666667,0.24586666666666668,0.5615,0.4324,0.25833333333333336,0.2609666666666667,0.2658,0.24263333333333334,0.2372,0.24263333333333334,0.23466666666666666,0.23693333333333336,0.20623333333333335,0.16263333333333335,3.945,3.627,3.64,3.332,3.401,3.316,3.694,4.602,4.617,4.453,6.056,7.376,16.845,12.972,7.75,7.829,7.974,7.279,7.116,7.279,7.04,7.1080000000000005,6.187,4.8790000000000004,3.945,3.627,3.64,3.332,3.401,3.316,3.694,4.602,4.617,4.453,6.056,7.376,16.845,12.972,7.75,7.829,7.974,7.279,7.116,7.279,7.04,7.1080000000000005,6.187,4.8790000000000004,0.14471666666666666,0.3268222222222222,0.24706666666666666,0.21011666666666667,0.11811666666666666,17.366,58.828,29.648,25.214000000000002,21.261,0.01922175549258762,0.14196404357566073,0.022974058203601176,0.0234686280332622,0.003945203440447149,0.176475,0.24144791666666665,0.1769166666666667,0.24404166666666668,0.20781249999999998,0.22491666666666665,0.216725,21.177,23.179,16.984,23.428,19.95,21.592,26.007,0.08178296369819636,0.21375041371664075,0.08461089474040522,0.2068422697646773,0.12061756112868299,0.21252530086738355,0.1976952906398544,0.20777380952380953,0.22036574074074075,104.718,47.599000000000004,0.15256048055511687,0.2039764248402534,0.21155138888888889,152.317,0.16957986248853024,152.317,152.317,4.853,38.972,37.742,33.781,33.088,3.881
