archivo,media_consumo,std_consumo,min_consumo,max_consumo,percentil_25_consumo,percentil_50_consumo,percentil_75_consumo,sum_consumo,promedio_por_dia,consumo_medio_diario,consumo_00,consumo_01,consumo_02,consumo_03,consumo_04,consumo_05,consumo_06,consumo_07,consumo_08,consumo_09,consumo_10,consumo_11,consumo_12,consumo_13,consumo_14,consumo_15,consumo_16,consumo_17,consumo_18,consumo_19,consumo_20,consumo_21,consumo_22,consumo_23,consumo_00_suma,consumo_01_suma,consumo_02_suma,consumo_03_suma,consumo_04_suma,consumo_05_suma,consumo_06_suma,consumo_07_suma,consumo_08_suma,consumo_09_suma,consumo_10_suma,consumo_11_suma,consumo_12_suma,consumo_13_suma,consumo_14_suma,consumo_15_suma,consumo_16_suma,consumo_17_suma,consumo_18_suma,consumo_19_suma,consumo_20_suma,consumo_21_suma,consumo_22_suma,consumo_23_suma,consumo_00_std,consumo_01_std,consumo_02_std,consumo_03_std,consumo_04_std,consumo_05_std,consumo_06_std,consumo_07_std,consumo_08_std,consumo_09_std,consumo_10_std,consumo_11_std,consumo_12_std,consumo_13_std,consumo_14_std,consumo_15_std,consumo_16_std,consumo_17_std,consumo_18_std,consumo_19_std,consumo_20_std,consumo_21_std,consumo_22_std,consumo_23_std,Mañana,Mediodia,Tarde,Noche,Madrugada,s_Mañana,s_Mediodia,s_Tarde,s_Noche,s_Madrugada,std_Mañana,std_Mediodia,std_Tarde,std_Noche,std_Madrugada,Lunes,Martes,Miércoles,Jueves,Viernes,Sábado,Domingo,s_Lunes,s_Martes,s_Miércoles,s_Jueves,s_Viernes,s_Sábado,s_Domingo,std_Lunes,std_Martes,std_Miércoles,std_Jueves,std_Viernes,std_Sábado,std_Domingo,Entre semana,Fin de semana,s_Entre semana,s_Fin de semana,std_Entre semana,std_Fin de semana,otoño,s_otoño,std_otoño,2024-11,Noviembre,2024-10-28/2024-11-03,2024-11-04/2024-11-10,2024-11-11/2024-11-17,2024-11-18/2024-11-24,2024-11-25/2024-12-01
ABLD,0.22492083333333332,0.2355625955497053,0.051,1.741,0.06575,0.128,0.26875000000000004,161.94299999999998,0.22492083333333335,5.3981,0.10186666666666667,0.09156666666666666,0.07026666666666667,0.07063333333333334,0.0678,0.07263333333333333,0.1625,0.3099,0.2876666666666666,0.1752,0.1883,0.2046666666666667,0.17333333333333334,0.26633333333333337,0.5340666666666666,0.44993333333333335,0.27776666666666666,0.23333333333333334,0.16743333333333332,0.2950666666666667,0.5013,0.3389333333333333,0.21473333333333333,0.14286666666666664,3.056,2.747,2.108,2.119,2.034,2.179,4.875,9.297,8.629999999999999,5.256,5.649,6.140000000000001,5.2,7.99,16.022,13.498000000000001,8.333,7.0,5.023,8.852,15.039,10.168,6.442,4.286,3.056,2.747,2.108,2.119,2.034,2.179,4.875,9.297,8.629999999999999,5.256,5.649,6.140000000000001,5.2,7.99,16.022,13.498000000000001,8.333,7.0,5.023,8.852,15.039,10.168,6.442,4.286,0.23381666666666667,0.30277222222222216,0.2434,0.2994583333333333,0.07912777777777778,28.058,54.498999999999995,29.208000000000002,35.935,14.243,0.04315605709929369,0.07678158058422944,0.06676221852745441,0.11501756756281935,0.03683594690998968,0.2128020833333333,0.24026041666666667,0.19894791666666667,0.2133125,0.21137499999999998,0.2468,0.2488645833333333,20.429,23.065,19.099,20.477999999999998,25.365,29.616,23.891,0.22063704989209704,0.24571426472704205,0.2160024059218672,0.23367820034352682,0.21107938139974936,0.27313257777500055,0.24035940719512724,0.21515079365079368,0.24771759259259257,108.436,53.507,0.2245851600499843,0.2584947102436429,0.22492083333333335,161.943,0.2355625955497053,161.943,161.943,20.12,46.589,36.576,29.929000000000002,28.729
AJVG,0.25776388888888885,0.36093653074008153,0.028,2.366,0.049,0.091,0.29025,185.58999999999997,0.2577638888888889,6.186333333333334,0.08513333333333332,0.08613333333333334,0.10586666666666668,0.0741,0.05736666666666667,0.08563333333333333,0.4693333333333333,0.5452999999999999,0.39486666666666664,0.1716,0.21486666666666665,0.30619999999999997,0.38653333333333334,0.28929999999999995,0.2427,0.17956666666666668,0.15213333333333334,0.2022,0.2442666666666667,0.42856666666666665,0.5367666666666666,0.4851,0.28646666666666665,0.15633333333333335,2.554,2.584,3.176,2.223,1.721,2.569,14.08,16.358999999999998,11.846,5.148,6.446,9.186,11.596,8.678999999999998,7.281,5.3870000000000005,4.564,6.066,7.328,12.857,16.102999999999998,14.552999999999999,8.594,4.69,2.554,2.584,3.176,2.223,1.721,2.569,14.08,16.358999999999998,11.846,5.148,6.446,9.186,11.596,8.678999999999998,7.281,5.3870000000000005,4.564,6.066,7.328,12.857,16.102999999999998,14.552999999999999,8.594,4.69,0.395275,0.26986111111111105,0.25679166666666664,0.36616666666666664,0.08237222222222222,47.43299999999999,48.574999999999996,30.814999999999998,43.94,14.826999999999998,0.07007100935632761,0.1018049052406409,0.06380379339709365,0.18505958099548536,0.011701992160770688,0.23272916666666665,0.21223958333333334,0.2285625,0.23705208333333336,0.23594166666666666,0.351525,0.2883125,22.342,20.375,21.942,22.757,28.313,42.183,27.678,0.34629249818361,0.27130319977128975,0.3084057072480304,0.34436224408826926,0.304492587864509,0.46455434436193394,0.41906093797542393,0.22962103174603174,0.32343055555555555,115.729,69.861,0.3145242379477096,0.44501233303177956,0.2577638888888889,185.59,0.3609365307400816,185.59,185.59,6.477,34.83,39.097,49.954,55.232
ATF,0.1365375,0.13397419980537656,0.042,1.77,0.06875,0.107,0.147,98.307,0.13653750000000003,3.2768999999999995,0.09436666666666667,0.08446666666666666,0.08109999999999999,0.08326666666666667,0.08326666666666666,0.08159999999999999,0.0853,0.17583333333333334,0.19346666666666668,0.1268,0.14856666666666665,0.14236666666666667,0.14993333333333334,0.16133333333333333,0.3013,0.20673333333333332,0.1373,0.12990000000000002,0.11033333333333334,0.12283333333333334,0.1537,0.1579,0.1461,0.11913333333333333,2.831,2.534,2.433,2.498,2.4979999999999998,2.448,2.559,5.275,5.804,3.804,4.457,4.271,4.498,4.84,9.039,6.202,4.119,3.8970000000000002,3.31,3.685,4.611,4.737,4.383,3.574,2.831,2.534,2.433,2.498,2.4979999999999998,2.448,2.559,5.275,5.804,3.804,4.457,4.271,4.498,4.84,9.039,6.202,4.119,3.8970000000000002,3.31,3.685,4.611,4.737,4.383,3.574,0.14535,0.1850388888888889,0.12509166666666666,0.14420833333333333,0.08467777777777778,17.442,33.306999999999995,15.011000000000001,17.305,15.241999999999999,0.08024269452633194,0.10321154956436643,0.032460311572283754,0.028704498669667292,0.006021184886310489,0.18202083333333333,0.12585416666666668,0.13957291666666666,0.12902083333333333,0.1268,0.13119166666666668,0.12507291666666667,17.474,12.082,13.399,12.386,15.216,15.743,12.007,0.23157951819108277,0.08029301328544185,0.08929168580281578,0.0887343734698551,0.11033985695846016,0.1595175128465897,0.10118084328688713,0.13999404761904763,0.1284722222222222,70.557,27.75,0.13288884562870773,0.13644352837019616,0.1365375,98.307,0.1339741998053765,98.307,98.307,10.004,26.0,20.957,20.972,20.374
FJAG,0.3466743333333281,0.34022862357614625,0.07,3.409,0.149,0.226,0.38025,249.60551999999623,0.34667433333332814,8.320183999999875,0.15966666666666668,0.16656666666666667,0.12406666666666667,0.12853333333333333,0.13093333333333332,0.13266666666666665,0.188,0.2075,0.32344133333332137,0.3287453333333154,0.3655453333333154,0.5185453333333154,0.6771453333333154,0.5246786666666488,0.4827413333333214,0.40963733333332736,0.3133706666666607,0.4874,0.4602333333333333,0.5886,0.47713333333333335,0.4219333333333333,0.4052,0.2979,4.79,4.997,3.722,3.856,3.928,3.98,5.64,6.225,9.70323999999964,9.862359999999462,10.966359999999462,15.556359999999463,20.31435999999946,15.740359999999463,14.482239999999642,12.289119999999821,9.401119999999821,14.622,13.807,17.658,14.314,12.658,12.156,8.937,4.79,4.997,3.722,3.856,3.928,3.98,5.64,6.225,9.70323999999964,9.862359999999462,10.966359999999462,15.556359999999463,20.31435999999946,15.740359999999463,14.482239999999642,12.289119999999821,9.401119999999821,14.622,13.807,17.658,14.314,12.658,12.156,8.937,0.26192166666665917,0.49638222222220724,0.4624009999999985,0.4005416666666667,0.14040555555555556,31.430599999999103,89.34879999999731,55.488119999999824,48.065,25.273,0.1599086338100072,0.09784950896054968,0.17058322663498457,0.02186291566171041,0.03684718865576287,0.29258333333333336,0.3687587499999869,0.29135416666666664,0.29614583333333333,0.4848223333333124,0.31322500000000003,0.35365625,28.088,35.400839999998745,27.97,28.43,58.17867999999749,37.587,33.951,0.19165630788178403,0.42256377050281746,0.19859230806997888,0.2024739608556157,0.5428936882614676,0.2873342989789905,0.27029009087216693,0.3533085714285639,0.3311944444444444,178.06751999999622,71.538,0.3630606101833812,0.2799695318417522,0.3466743333333281,249.60551999999623,0.34022862357614614,249.60551999999623,249.60551999999623,36.725959999998565,53.376,53.508,53.471,52.52455999999767
FMB,0.20355138888888888,0.26840916521283675,0.023,2.353,0.04775,0.122,0.237,146.557,0.20355138888888893,4.885233333333334,0.09116666666666666,0.06466666666666666,0.06536666666666667,0.10023333333333334,0.10139999999999999,0.06193333333333333,0.10543333333333332,0.05406666666666667,0.16133333333333333,0.21770000000000003,0.21276666666666666,0.19959999999999997,0.2605,0.2816666666666666,0.3009,0.22860000000000003,0.44006666666666666,0.48690000000000005,0.3807,0.4281666666666667,0.2556333333333333,0.1364,0.13133333333333333,0.1187,2.735,1.94,1.961,3.007,3.042,1.858,3.163,1.622,4.84,6.531000000000001,6.383,5.9879999999999995,7.815,8.45,9.027,6.8580000000000005,13.202,14.607000000000001,11.421,12.845,7.6690000000000005,4.092,3.94,3.561,2.735,1.94,1.961,3.007,3.042,1.858,3.163,1.622,4.84,6.531000000000001,6.383,5.9879999999999995,7.815,8.45,9.027,6.8580000000000005,13.202,14.607000000000001,11.421,12.845,7.6690000000000005,4.092,3.94,3.561,0.13463333333333333,0.2473388888888889,0.43395833333333333,0.16051666666666667,0.08079444444444445,16.156,44.521,52.075,19.262,14.543000000000001,0.09396588642088487,0.10009736024130719,0.07163426967109017,0.06042507283195401,0.012836231520159709,0.24726041666666665,0.21329166666666666,0.17271875,0.19973958333333333,0.19700833333333334,0.17189166666666666,0.2325,23.737,20.476,16.581,19.175,23.641000000000002,20.627,22.32,0.3138815145138509,0.2511944483407087,0.1515167319664382,0.24639759246908519,0.23700684299709782,0.27525883299188786,0.35989638859860185,0.20557539682539683,0.19882870370370373,103.61,42.947,0.24533512250761483,0.3163538691419823,0.20355138888888888,146.557,0.26840916521283653,146.557,146.557,16.239,34.217,34.262,35.729,26.11
GPC,0.196675,0.2328590874106225,0.028,1.567,0.067,0.1045,0.214,141.606,0.19667500000000002,4.7202,0.06576666666666667,0.11766666666666667,0.09833333333333334,0.06833333333333333,0.09063333333333333,0.08333333333333333,0.0872,0.4177666666666667,0.30843333333333334,0.2513666666666667,0.17383333333333334,0.13870000000000002,0.11856666666666667,0.18266666666666664,0.3788,0.3031333333333333,0.18973333333333334,0.1961,0.1799,0.32706666666666667,0.445,0.24746666666666667,0.14006666666666667,0.11033333333333334,1.973,3.5300000000000002,2.95,2.05,2.719,2.5,2.616,12.533,9.253,7.541,5.215,4.1610000000000005,3.557,5.4799999999999995,11.364,9.094,5.692,5.883,5.397,9.812,13.35,7.424,4.202,3.31,1.973,3.5300000000000002,2.95,2.05,2.719,2.5,2.616,12.533,9.253,7.541,5.215,4.1610000000000005,3.557,5.4799999999999995,11.364,9.094,5.692,5.883,5.397,9.812,13.35,7.424,4.202,3.31,0.26619166666666666,0.21594999999999998,0.2232,0.23571666666666669,0.08734444444444445,31.943,38.871,26.784,28.285999999999998,15.722,0.14272601030570725,0.0713228475052375,0.06140029711640588,0.07841694101714053,0.06157330425182651,0.1760625,0.14415625,0.19194791666666666,0.20534375000000002,0.20723333333333332,0.24888333333333332,0.18740625,16.902,13.839,18.427,19.713,24.868,29.866,17.991,0.1982949856042494,0.1351922863047881,0.24112549123211716,0.2552407255132423,0.22819329611572048,0.306977107058007,0.1980992615690693,0.18600992063492064,0.2215601851851852,93.749,47.857,0.21684461803459693,0.26539696654119443,0.196675,141.606,0.23285908741062242,141.606,141.606,15.182,32.524,33.955,33.277,26.668
JACL,0.11019999999999999,0.07797754036331651,0.035,0.716,0.064,0.099,0.13125,79.344,0.11020000000000002,2.644799999999999,0.11426666666666667,0.09406666666666667,0.0892,0.06786666666666667,0.07996666666666667,0.08803333333333334,0.06613333333333334,0.08953333333333333,0.0965,0.08566666666666665,0.11309999999999999,0.08813333333333334,0.07676666666666666,0.151,0.29710000000000003,0.14556666666666668,0.11410000000000001,0.09153333333333333,0.09453333333333333,0.1044,0.10013333333333334,0.12443333333333334,0.1413,0.13146666666666668,3.428,2.822,2.676,2.036,2.399,2.641,1.984,2.686,2.895,2.57,3.393,2.644,2.303,4.53,8.913,4.367,3.423,2.746,2.836,3.132,3.004,3.733,4.239,3.944,3.428,2.822,2.676,2.036,2.399,2.641,1.984,2.686,2.895,2.57,3.393,2.644,2.303,4.53,8.913,4.367,3.423,2.746,2.836,3.132,3.004,3.733,4.239,3.944,0.08445833333333333,0.14527777777777776,0.10114166666666667,0.12433333333333334,0.08889999999999999,10.135,26.150000000000002,12.137,14.919999999999998,16.002000000000002,0.018376954929013034,0.05852756982368818,0.00637955982883686,0.003784078060063023,0.004030102991972793,0.10521874999999999,0.10707291666666667,0.10562500000000001,0.101125,0.10869166666666666,0.12215833333333334,0.11889583333333333,10.100999999999999,10.279,10.14,9.708,13.043,14.659,11.414,0.06693299133422448,0.057021740044646996,0.053140578211302684,0.050703939429636136,0.07933926680845417,0.10920407200162771,0.09834091927325456,0.10569642857142857,0.12070833333333333,53.271,26.073,0.06304655343271666,0.10429039566473498,0.11019999999999999,79.344,0.0779775403633165,79.344,79.344,8.056000000000001,19.279,17.985,18.755,15.269
JALG,0.28558888888888895,0.2506104377942946,0.057,1.487,0.11475,0.1945,0.37424999999999997,205.62400000000002,0.28558888888888895,6.854133333333334,0.17076666666666668,0.11043333333333334,0.09486666666666667,0.09763333333333332,0.0892,0.10400000000000001,0.1019,0.1858,0.2891,0.37260000000000004,0.2579333333333333,0.2957,0.48109999999999997,0.4704,0.47903333333333337,0.3921,0.3796,0.37883333333333336,0.3238333333333333,0.2954333333333333,0.4044666666666667,0.5037,0.31023333333333336,0.2654666666666667,5.123,3.313,2.846,2.929,2.676,3.12,3.057,5.574,8.673,11.178,7.7379999999999995,8.871,14.433,14.112,14.371,11.763,11.388,11.365,9.715,8.863,12.134,15.111,9.307,7.964,5.123,3.313,2.846,2.929,2.676,3.12,3.057,5.574,8.673,11.178,7.7379999999999995,8.871,14.433,14.112,14.371,11.763,11.388,11.365,9.715,8.863,12.134,15.111,9.307,7.964,0.23735,0.3960444444444444,0.344425,0.3709666666666667,0.11114999999999998,28.482000000000003,71.28800000000001,41.331,44.516,20.007,0.10317448789165938,0.10924993134059853,0.04893612444845176,0.06927673335473185,0.0192806386590235,0.2915,0.28650000000000003,0.30272916666666666,0.29546875,0.256325,0.2801166666666666,0.29516666666666663,27.983999999999998,27.504,29.062,28.365,30.759,33.614,28.336,0.25886635446439193,0.2661605767794677,0.27723637944490487,0.2446085144244725,0.2197205315276429,0.24140162090804365,0.2562780425391909,0.28506746031746033,0.2868055555555556,143.674,61.95,0.2521105255835985,0.24765153531875486,0.2855888888888889,205.624,0.2506104377942945,205.624,205.624,19.298000000000002,43.384,52.69,49.289,40.963
JLG,0.13918194444444446,0.14324495474117335,0.037,1.058,0.057,0.0995,0.161,100.211,0.1391819444444444,3.3403666666666667,0.1052,0.06596666666666666,0.060733333333333334,0.05586666666666666,0.054766666666666665,0.05266666666666667,0.053899999999999997,0.0523,0.0699,0.22093333333333334,0.24646666666666667,0.15360000000000001,0.1175,0.2075,0.19663333333333333,0.19603333333333334,0.16193333333333332,0.14756666666666665,0.16573333333333332,0.15453333333333333,0.18683333333333335,0.20786666666666667,0.2188,0.18713333333333332,3.156,1.9789999999999999,1.822,1.676,1.643,1.58,1.617,1.569,2.097,6.628,7.394,4.6080000000000005,3.525,6.225,5.899,5.881,4.858,4.427,4.9719999999999995,4.636,5.605,6.236,6.564,5.614,3.156,1.9789999999999999,1.822,1.676,1.643,1.58,1.617,1.569,2.097,6.628,7.394,4.6080000000000005,3.525,6.225,5.899,5.881,4.858,4.427,4.9719999999999995,4.636,5.605,6.236,6.564,5.614,0.09925833333333334,0.18628888888888892,0.15744166666666665,0.20015833333333333,0.06586666666666667,11.911,33.532000000000004,18.893,24.019000000000002,11.856,0.11697298675692759,0.07254654935570311,0.062375856982179574,0.059259962120759194,0.00669300976401059,0.14496875,0.120375,0.14780208333333333,0.13611458333333334,0.11815833333333334,0.15670833333333334,0.15102083333333333,13.917,11.556,14.189,13.067,14.179,18.805,14.498,0.14413513053819726,0.11026592258812568,0.16121986424505194,0.13422862427426352,0.09107961203415019,0.190862368285241,0.14411179718440575,0.13275396825396826,0.15418055555555554,66.908,33.303,0.1290286350087209,0.1713108144719379,0.13918194444444446,100.211,0.1432449547411733,100.211,100.211,11.016,21.282,24.839,23.956,19.118
JMM,0.26908888888888893,0.2726697358628368,0.069,2.297,0.118,0.2,0.28225,193.74400000000003,0.2690888888888889,6.4581333333333335,0.14930000000000002,0.12813333333333332,0.1197,0.11673333333333333,0.11420000000000001,0.11973333333333333,0.1311,0.22486666666666666,0.27736666666666665,0.2381666666666667,0.2965,0.36663333333333337,0.49733333333333335,0.6793333333333333,0.4711666666666667,0.27253333333333335,0.24100000000000002,0.22726666666666664,0.3154333333333333,0.28726666666666667,0.3405666666666667,0.30033333333333334,0.31103333333333333,0.23243333333333333,4.479,3.844,3.591,3.502,3.426,3.592,3.933,6.7459999999999996,8.321,7.1450000000000005,8.895,10.999,14.92,20.38,14.135,8.176,7.23,6.818,9.463,8.618,10.217,9.01,9.331,6.973,4.479,3.844,3.591,3.502,3.426,3.592,3.933,6.7459999999999996,8.321,7.1450000000000005,8.895,10.999,14.92,20.38,14.135,8.176,7.23,6.818,9.463,8.618,10.217,9.01,9.331,6.973,0.21787499999999999,0.4305833333333334,0.26774166666666666,0.29609166666666664,0.12463333333333333,26.145,77.50500000000001,32.129,35.531,22.433999999999997,0.0608152364155921,0.15010682134688952,0.06158840075379291,0.09029979053169052,0.0074907310286873065,0.2116875,0.27466666666666667,0.23064583333333333,0.24472916666666666,0.313325,0.27604999999999996,0.31971875,20.322,26.368,22.142,23.494,37.599000000000004,33.126,30.693,0.14313580687768632,0.25556721915921043,0.33215801500163217,0.19595845312432225,0.26984518320540696,0.27579391435141803,0.36208305831455445,0.25778769841269844,0.2954583333333333,129.925,63.819,0.25078089683656424,0.317021088176855,0.2690888888888889,193.744,0.27266973586283666,193.744,193.744,28.27,42.262,47.68,45.465,30.067
