vivienda,año,mes,n_clusters,cluster
ABLD,2023,2,2,0
ABLD,2023,2,3,1
ABLD,2023,2,4,1
ABLD,2023,3,2,0
ABLD,2023,3,3,2
ABLD,2023,3,4,2
ABLD,2023,4,2,0
ABLD,2023,4,3,2
ABLD,2023,4,4,2
ABLD,2023,5,2,1
ABLD,2023,5,3,0
ABLD,2023,5,4,0
ABLD,2023,6,2,1
ABLD,2023,6,3,2
ABLD,2023,6,4,2
ABLD,2023,7,2,0
ABLD,2023,7,3,2
ABLD,2023,7,4,2
ABLD,2023,8,2,1
ABLD,2023,8,3,1
ABLD,2023,8,4,1
ABLD,2023,9,2,1
ABLD,2023,9,3,2
ABLD,2023,9,4,2
ABLD,2023,10,2,0
ABLD,2023,10,3,2
ABLD,2023,10,4,2
ABLD,2023,11,2,1
ABLD,2023,11,3,2
ABLD,2023,11,4,2
ABLD,2023,12,2,1
ABLD,2023,12,3,1
ABLD,2023,12,4,1
ABLD,2024,1,2,1
ABLD,2024,1,3,1
ABLD,2024,1,4,1
ABLD,2024,2,2,0
ABLD,2024,2,3,1
ABLD,2024,2,4,1
ABLD,2024,3,2,1
ABLD,2024,3,3,1
ABLD,2024,3,4,3
ABLD,2024,4,2,0
ABLD,2024,4,3,2
ABLD,2024,4,4,2
ABLD,2024,5,2,1
ABLD,2024,5,3,1
ABLD,2024,5,4,1
ABLD,2024,6,2,0
ABLD,2024,6,3,2
ABLD,2024,6,4,2
ABLD,2024,7,2,0
ABLD,2024,7,3,2
ABLD,2024,7,4,2
ABLD,2024,8,2,1
ABLD,2024,8,3,1
ABLD,2024,8,4,1
ABLD,2024,9,2,1
ABLD,2024,9,3,2
ABLD,2024,9,4,1
ABLD,2024,10,2,1
ABLD,2024,10,3,2
ABLD,2024,10,4,2
ABLD,2024,11,2,1
ABLD,2024,11,3,2
ABLD,2024,11,4,2
ABLD,2024,12,2,0
ABLD,2024,12,3,1
ABLD,2024,12,4,1
AJVG,2023,1,2,1
AJVG,2023,1,3,1
AJVG,2023,1,4,1
AJVG,2023,2,2,1
AJVG,2023,2,3,2
AJVG,2023,2,4,2
AJVG,2023,3,2,0
AJVG,2023,3,3,0
AJVG,2023,3,4,0
AJVG,2023,4,2,0
AJVG,2023,4,3,2
AJVG,2023,4,4,2
AJVG,2023,5,2,0
AJVG,2023,5,3,2
AJVG,2023,5,4,2
AJVG,2023,6,2,1
AJVG,2023,6,3,2
AJVG,2023,6,4,2
AJVG,2023,7,2,0
AJVG,2023,7,3,2
AJVG,2023,7,4,2
AJVG,2023,8,2,1
AJVG,2023,8,3,1
AJVG,2023,8,4,1
AJVG,2023,9,2,1
AJVG,2023,9,3,2
AJVG,2023,9,4,2
AJVG,2023,10,2,1
AJVG,2023,10,3,2
AJVG,2023,10,4,2
AJVG,2023,11,2,0
AJVG,2023,11,3,2
AJVG,2023,11,4,2
AJVG,2023,12,2,0
AJVG,2023,12,3,2
AJVG,2023,12,4,2
AJVG,2024,1,2,0
AJVG,2024,1,3,2
AJVG,2024,1,4,2
AJVG,2024,2,2,0
AJVG,2024,2,3,2
AJVG,2024,2,4,2
AJVG,2024,3,2,1
AJVG,2024,3,3,2
AJVG,2024,3,4,2
AJVG,2024,4,2,1
AJVG,2024,4,3,2
AJVG,2024,4,4,2
AJVG,2024,5,2,1
AJVG,2024,5,3,2
AJVG,2024,5,4,2
AJVG,2024,6,2,0
AJVG,2024,6,3,2
AJVG,2024,6,4,2
AJVG,2024,7,2,0
AJVG,2024,7,3,2
AJVG,2024,7,4,2
AJVG,2024,8,2,1
AJVG,2024,8,3,2
AJVG,2024,8,4,2
AJVG,2024,9,2,0
AJVG,2024,9,3,2
AJVG,2024,9,4,2
AJVG,2024,10,2,0
AJVG,2024,10,3,2
AJVG,2024,10,4,3
AJVG,2024,11,2,1
AJVG,2024,11,3,2
AJVG,2024,11,4,2
AJVG,2024,12,2,1
AJVG,2024,12,3,1
AJVG,2024,12,4,2
ATF,2024,3,2,0
ATF,2024,3,3,0
ATF,2024,3,4,3
ATF,2024,4,2,0
ATF,2024,4,3,2
ATF,2024,4,4,2
ATF,2024,5,2,0
ATF,2024,5,3,0
ATF,2024,5,4,0
ATF,2024,6,2,1
ATF,2024,6,3,2
ATF,2024,6,4,2
ATF,2024,7,2,0
ATF,2024,7,3,2
ATF,2024,7,4,2
ATF,2024,8,2,1
ATF,2024,8,3,2
ATF,2024,8,4,2
ATF,2024,9,2,0
ATF,2024,9,3,0
ATF,2024,9,4,0
ATF,2024,10,2,0
ATF,2024,10,3,0
ATF,2024,10,4,0
ATF,2024,11,2,0
ATF,2024,11,3,0
ATF,2024,11,4,0
ATF,2024,12,2,0
ATF,2024,12,3,0
ATF,2024,12,4,0
FMB,2023,3,2,0
FMB,2023,3,3,2
FMB,2023,3,4,2
FMB,2023,4,2,0
FMB,2023,4,3,2
FMB,2023,4,4,2
FMB,2023,5,2,0
FMB,2023,5,3,0
FMB,2023,5,4,2
FMB,2023,6,2,1
FMB,2023,6,3,2
FMB,2023,6,4,2
FMB,2023,7,2,0
FMB,2023,7,3,2
FMB,2023,7,4,2
FMB,2023,8,2,1
FMB,2023,8,3,2
FMB,2023,8,4,2
FMB,2023,9,2,1
FMB,2023,9,3,2
FMB,2023,9,4,2
FMB,2023,10,2,1
FMB,2023,10,3,2
FMB,2023,10,4,2
FMB,2023,11,2,1
FMB,2023,11,3,2
FMB,2023,11,4,2
FMB,2023,12,2,1
FMB,2023,12,3,1
FMB,2023,12,4,1
FMB,2024,1,2,1
FMB,2024,1,3,1
FMB,2024,1,4,1
FMB,2024,2,2,1
FMB,2024,2,3,1
FMB,2024,2,4,1
FMB,2024,3,2,0
FMB,2024,3,3,0
FMB,2024,3,4,3
FMB,2024,4,2,0
FMB,2024,4,3,2
FMB,2024,4,4,2
FMB,2024,5,2,1
FMB,2024,5,3,1
FMB,2024,5,4,1
FMB,2024,6,2,0
FMB,2024,6,3,2
FMB,2024,6,4,2
FMB,2024,7,2,0
FMB,2024,7,3,2
FMB,2024,7,4,2
FMB,2024,8,2,1
FMB,2024,8,3,1
FMB,2024,8,4,1
FMB,2024,9,2,0
FMB,2024,9,3,2
FMB,2024,9,4,2
FMB,2024,10,2,1
FMB,2024,10,3,2
FMB,2024,10,4,2
FMB,2024,11,2,1
FMB,2024,11,3,2
FMB,2024,11,4,2
FMB,2024,12,2,0
FMB,2024,12,3,1
FMB,2024,12,4,1
GPC,2023,1,2,0
GPC,2023,1,3,2
GPC,2023,1,4,2
GPC,2023,2,2,0
GPC,2023,2,3,1
GPC,2023,2,4,1
GPC,2023,3,2,1
GPC,2023,3,3,2
GPC,2023,3,4,2
GPC,2023,4,2,1
GPC,2023,4,3,2
GPC,2023,4,4,2
GPC,2023,5,2,0
GPC,2023,5,3,2
GPC,2023,5,4,2
GPC,2023,6,2,1
GPC,2023,6,3,2
GPC,2023,6,4,2
GPC,2023,7,2,0
GPC,2023,7,3,2
GPC,2023,7,4,2
GPC,2023,8,2,1
GPC,2023,8,3,1
GPC,2023,8,4,1
GPC,2023,9,2,1
GPC,2023,9,3,2
GPC,2023,9,4,2
GPC,2023,10,2,1
GPC,2023,10,3,2
GPC,2023,10,4,2
GPC,2023,11,2,0
GPC,2023,11,3,2
GPC,2023,11,4,2
GPC,2023,12,2,1
GPC,2023,12,3,1
GPC,2023,12,4,1
GPC,2024,1,2,1
GPC,2024,1,3,1
GPC,2024,1,4,1
GPC,2024,2,2,1
GPC,2024,2,3,1
GPC,2024,2,4,1
GPC,2024,3,2,0
GPC,2024,3,3,0
GPC,2024,3,4,3
GPC,2024,4,2,0
GPC,2024,4,3,2
GPC,2024,4,4,2
GPC,2024,5,2,0
GPC,2024,5,3,1
GPC,2024,5,4,1
GPC,2024,6,2,0
GPC,2024,6,3,2
GPC,2024,6,4,2
GPC,2024,7,2,0
GPC,2024,7,3,2
GPC,2024,7,4,2
GPC,2024,8,2,1
GPC,2024,8,3,2
GPC,2024,8,4,2
GPC,2024,9,2,0
GPC,2024,9,3,2
GPC,2024,9,4,2
GPC,2024,10,2,0
GPC,2024,10,3,2
GPC,2024,10,4,3
GPC,2024,11,2,0
GPC,2024,11,3,2
GPC,2024,11,4,2
GPC,2024,12,2,0
GPC,2024,12,3,0
GPC,2024,12,4,0
JACL,2023,1,2,0
JACL,2023,1,3,0
JACL,2023,1,4,0
JACL,2023,2,2,0
JACL,2023,2,3,1
JACL,2023,2,4,3
JACL,2023,3,2,1
JACL,2023,3,3,1
JACL,2023,3,4,1
JACL,2023,4,2,1
JACL,2023,4,3,1
JACL,2023,4,4,1
JACL,2023,5,2,0
JACL,2023,5,3,2
JACL,2023,5,4,3
JACL,2023,6,2,1
JACL,2023,6,3,1
JACL,2023,6,4,1
JACL,2023,7,2,0
JACL,2023,7,3,2
JACL,2023,7,4,2
JACL,2023,8,2,1
JACL,2023,8,3,2
JACL,2023,8,4,2
JACL,2023,9,2,1
JACL,2023,9,3,1
JACL,2023,9,4,1
JACL,2023,10,2,1
JACL,2023,10,3,1
JACL,2023,10,4,1
JACL,2023,11,2,1
JACL,2023,11,3,1
JACL,2023,11,4,1
JACL,2023,12,2,1
JACL,2023,12,3,1
JACL,2023,12,4,3
JACL,2024,1,2,1
JACL,2024,1,3,1
JACL,2024,1,4,3
JACL,2024,2,2,1
JACL,2024,2,3,1
JACL,2024,2,4,3
JACL,2024,3,2,0
JACL,2024,3,3,0
JACL,2024,3,4,0
JACL,2024,4,2,0
JACL,2024,4,3,0
JACL,2024,4,4,0
JACL,2024,5,2,0
JACL,2024,5,3,0
JACL,2024,5,4,0
JACL,2024,6,2,0
JACL,2024,6,3,0
JACL,2024,6,4,0
JACL,2024,7,2,0
JACL,2024,7,3,0
JACL,2024,7,4,0
JACL,2024,8,2,0
JACL,2024,8,3,1
JACL,2024,8,4,0
JACL,2024,9,2,0
JACL,2024,9,3,0
JACL,2024,9,4,0
JACL,2024,10,2,0
JACL,2024,10,3,0
JACL,2024,10,4,0
JACL,2024,11,2,0
JACL,2024,11,3,0
JACL,2024,11,4,0
JACL,2024,12,2,0
JACL,2024,12,3,0
JACL,2024,12,4,0
JALG,2023,1,2,1
JALG,2023,1,3,1
JALG,2023,1,4,1
JALG,2023,2,2,0
JALG,2023,2,3,0
JALG,2023,2,4,0
JALG,2023,3,2,0
JALG,2023,3,3,0
JALG,2023,3,4,0
JALG,2023,4,2,0
JALG,2023,4,3,0
JALG,2023,4,4,0
JALG,2023,5,2,1
JALG,2023,5,3,0
JALG,2023,5,4,0
JALG,2023,6,2,0
JALG,2023,6,3,0
JALG,2023,6,4,0
JALG,2023,7,2,0
JALG,2023,7,3,0
JALG,2023,7,4,0
JALG,2023,8,2,1
JALG,2023,8,3,2
JALG,2023,8,4,0
JALG,2023,9,2,0
JALG,2023,9,3,0
