hogar,cluster,estrategia,algoritmo,hour,0,1,2,3,4
ABLD,0.0,dia_domingo,Agglomerative_k2,,,,,,
AJVG,0.0,dia_domingo,Agglomerative_k2,,,,,,
ATF,0.0,dia_domingo,Agglomerative_k2,,,,,,
FJAG,1.0,dia_domingo,Agglomerative_k2,,,,,,
FMB,0.0,dia_domingo,Agglomerative_k2,,,,,,
GPC,0.0,dia_domingo,Agglomerative_k2,,,,,,
JACL,0.0,dia_domingo,Agglomerative_k2,,,,,,
JALG,1.0,dia_domingo,Agglomerative_k2,,,,,,
JLG,0.0,dia_domingo,Agglomerative_k2,,,,,,
JMM,1.0,dia_domingo,Agglomerative_k2,,,,,,
LFZA,0.0,dia_domingo,Agglomerative_k2,,,,,,
MANA,1.0,dia_domingo,Agglomerative_k2,,,,,,
MBGV,0.0,dia_domingo,Agglomerative_k2,,,,,,
MTTA,1.0,dia_domingo,Agglomerative_k2,,,,,,
PAA,1.0,dia_domingo,Agglomerative_k2,,,,,,
RFM,0.0,dia_domingo,Agglomerative_k2,,,,,,
RTF,0.0,dia_domingo,Agglomerative_k2,,,,,,
,,dia_domingo,Agglomerative_k2_profile,0,0.1238449197860962,0.2355228758169934,,,
,,dia_domingo,Agglomerative_k2_profile,1,0.1054073426573426,0.2040160256410256,,,
,,dia_domingo,Agglomerative_k2_profile,2,0.0943945111492281,0.1697924528301887,,,
,,dia_domingo,Agglomerative_k2_profile,3,0.0905332167832167,0.150676282051282,,,
,,dia_domingo,Agglomerative_k2_profile,4,0.0860192307692307,0.1298910256410256,,,
,,dia_domingo,Agglomerative_k2_profile,5,0.085576923076923,0.1259166666666666,,,
,,dia_domingo,Agglomerative_k2_profile,6,0.0974895104895105,0.1348814102564102,,,
,,dia_domingo,Agglomerative_k2_profile,7,0.1230681818181818,0.1797211538461538,,,
,,dia_domingo,Agglomerative_k2_profile,8,0.1701101398601398,0.2454237179487176,,,
,,dia_domingo,Agglomerative_k2_profile,9,0.2088671328671328,0.3506451923076918,,,
,,dia_domingo,Agglomerative_k2_profile,10,0.2290576923076923,0.4442958333333328,,,
,,dia_domingo,Agglomerative_k2_profile,11,0.2227272727272727,0.4801102564102557,,,
,,dia_domingo,Agglomerative_k2_profile,12,0.239305944055944,0.5149756410256403,,,
,,dia_domingo,Agglomerative_k2_profile,13,0.2833461538461538,0.5874884615384609,,,
,,dia_domingo,Agglomerative_k2_profile,14,0.2531923076923077,0.518347115384615,,,
,,dia_domingo,Agglomerative_k2_profile,15,0.2122534965034964,0.4438499999999997,,,
,,dia_domingo,Agglomerative_k2_profile,16,0.2053566433566433,0.393157692307692,,,
,,dia_domingo,Agglomerative_k2_profile,17,0.2000506993006993,0.4424326923076923,,,
