hogar,mean,median,min,max,std,p25,p50,p75,cv,skew,kurt,n_obs
ABLD_Consumos_2023-02_2025-06,0.20335874757602987,0.104,0.0,2.33,0.23263346534363485,0.071,0.104,0.2215,1.1439560290203894,2.67305980219993,8.629001527657898,21143
AJVG_Consumos_2023-01_2024-06,0.24276616256225156,0.084,0.0,4.021,0.3761267723297563,0.051,0.084,0.229,1.5493377180739,3.047410422141525,11.461674452522193,21887
ATF_Consumos_2024-03_2024-06,0.1474763412338496,0.114,0.0,2.273,0.15150655694352333,0.073,0.114,0.154,1.0273278796853464,5.049758971677843,36.75718764991342,11687
FJAG_Consumos_2023-01_2024-12,0.44300252655756533,0.246,0.048,5.326,0.7117970324351829,0.171,0.246,0.41,1.6067561464408249,5.07703734867431,28.187434867296563,17415
FMB_Consumos_2023-03_2025-06,0.1980661423477114,0.129,0.0,3.138,0.23069897278727358,0.053,0.129,0.244,1.1647572374195798,3.2955033450123463,16.138156743537596,20471
GPC_Consumos_2023-01_2024-06,0.16863544569835975,0.098,0.0,2.567,0.1995520479477386,0.065,0.098,0.173,1.1833339492853698,3.188662893233439,13.52725009876455,21887
JACL_Consumos_2023-01_2024-06,0.1344303010919724,0.097,0.0,1.584,0.16571632884540372,0.064,0.097,0.136,1.2327304744488115,4.263968615881856,20.038061170147998,21887
JALG_Consumos_2023-01_2024-06,0.2845970210627313,0.18,0.0,2.34,0.2668167870109389,0.108,0.18,0.361,0.9375248764537375,2.061292794251165,4.840691540787557,21887
JLG_Consumos_2023-01_2024-06,0.14754877324439164,0.094,0.0,2.256,0.17054398369324947,0.059,0.094,0.156,1.1558481981464517,3.554866084874582,15.571031154146098,21887
JMM_Consumos_2023-01_2024-06,0.276743455018961,0.201,0.0,5.359,0.3178853009168114,0.139,0.201,0.291,1.148664205608879,7.1285630912684725,76.037238275041,21887
LFZA_Consumos_2023-01_2024-06,0.16797834330881345,0.107,0.0,2.596,0.21797081783007274,0.071,0.107,0.167,1.297612618010838,4.026495660507091,19.783677980995808,21887
MANA_Consumos_2023-01_2024-06,0.2825540731941335,0.183,0.0,2.731,0.29785132400337433,0.118,0.183,0.326,1.0541391976279548,3.3240826883213943,13.801788020226162,21887
MBGV_Consumos_2023-01_2024-06,0.19844112943756567,0.113,0.0,2.429,0.2067068028924664,0.084,0.113,0.212,1.0416530256521308,2.845172094337953,10.447965144155951,21887
MJS_Consumos_2024-12_2024-06,0.69824267453294,0.44,0.0,4.181,0.6199790849717797,0.236,0.44,1.0,0.8879134827823129,1.3826689699066352,1.458894279349689,5085
MTTA_Consumos_2023-02_2025-06,0.30702118904602,0.216,0.0,4.277,0.32340673684938404,0.123,0.216,0.342,1.0533694363385062,3.7038394355718807,20.112848751400552,21143
PAA_Consumos_2023-01_2024-06,0.2662452597432266,0.126,0.0,3.853,0.3399552783993819,0.0595,0.126,0.339,1.2768500694706941,2.8289519674921113,11.148004527328682,21887
RFM_Consumos_2023-01_2024-06,0.12631461598208985,0.102,0.0,1.754,0.0895863200674674,0.085,0.102,0.133,0.7092316227297865,5.608333090028545,47.90775634357951,21887
RTF_Consumos_2023-01_2024-06,0.3141667199707589,0.176,0.0,3.132,0.3186550505527088,0.106,0.176,0.3995,1.014286460966864,2.316664895856496,6.99739760965598,21887
