estrategia,algoritmo,k,silhouette,davies_bouldin,calinski_harabasz
estacion_invierno,Agglomerative,3,0.4201846094872536,0.7159237559732343,11.493940123311235
estacion_otono,KMeans,2,0.3608870551581023,1.024278771602348,11.94309394660102
estacion_primavera,KMeans,2,0.3477979799501188,1.0796998066378898,10.949018004849236
estacion_verano,KMeans,2,0.5533447094259931,0.7118117179690573,23.37648326391748
festivo,KMeans,2,0.3982955769620202,0.926659204147014,14.19159284836995
global,KMeans,2,0.4016995632050553,0.9068453772170804,13.683326905655353
laborable,Agglomerative,2,0.3805321745713349,1.0099756897376142,11.901686245283337
mes_01,Agglomerative,3,0.3724068802637878,0.7855607282764345,9.163116122632111
mes_02,GMM,2,0.3784556115564119,1.119496786481084,10.826614484935693
mes_03,Agglomerative,3,0.3807391157413977,0.7317391273447623,11.476691351946576
mes_04,Agglomerative,3,0.3795834744973783,0.9090154762818132,10.233068814018695
mes_05,Agglomerative,2,0.49173891131483,0.3296075338337202,7.001848899778766
mes_06,Agglomerative,2,0.5638489493827711,0.2746619763031556,9.963410390315325
mes_07,KMeans,2,0.5541006656383609,0.6978763200148409,23.80140073789809
mes_08,KMeans,2,0.575611224329358,0.6502260974608439,27.12113473013648
mes_09,Agglomerative,2,0.575001211172327,0.2645861691528089,10.799549241578497
mes_10,KMeans,2,0.3589572528524453,0.967706402836057,12.168562843566788
mes_11,Agglomerative,3,0.3562898158398362,0.7912397061881283,9.319954737678568
mes_12,GMM,2,0.4082021663171566,1.1894280351537423,9.164948829637174
