hogar,cluster
ABLD_Consumos_2023-02_2025-06,0
AJVG_Consumos_2023-01_2024-06,2
ATF_Consumos_2024-03_2024-06,2
FJAG_Consumos_2023-01_2024-12,1
FMB_Consumos_2023-03_2025-06,0
GPC_Consumos_2023-01_2024-06,2
JACL_Consumos_2023-01_2024-06,0
JALG_Consumos_2023-01_2024-06,0
JLG_Consumos_2023-01_2024-06,0
JMM_Consumos_2023-01_2024-06,3
LFZA_Consumos_2023-01_2024-06,2
MANA_Consumos_2023-01_2024-06,3
MBGV_Consumos_2023-01_2024-06,0
MTTA_Consumos_2023-02_2025-06,1
PAA_Consumos_2023-01_2024-06,2
RFM_Consumos_2023-01_2024-06,2
RTF_Consumos_2023-01_2024-06,0
