,0,1,2,3
media_consumo,0.1443253205128205,0.22253979700854698,0.3083495592948718,0.43135204326923016
std_consumo,0.16209863424236126,0.2811047617489597,0.31961322992125263,0.4755178559333748
min_consumo,0.038,0.037,0.042,0.029549999999973597
max_consumo,1.4414,2.368,3.33425,3.6765000000000003
percentil_25_consumo,0.0686,0.06979166666666667,0.1214375,0.126875
percentil_50_consumo,0.1002,0.10775,0.196,0.24175
percentil_75_consumo,0.14195,0.23987499999999998,0.3725625,0.569625
promedio_por_dia,0.14432532051282046,0.22253979700854698,0.30834955929487173,0.43135204326923016
consumo_medio_diario,3.463807692307692,5.340955128205128,7.400389423076923,10.352449038461524
Mañana,0.11208173076923074,0.18138541666666663,0.2071225961538461,0.2687584134615378
Mediodia,0.18037499999999995,0.28965170940170937,0.4106995192307692,0.6731346153846136
Tarde,0.16583365384615378,0.28343349358974357,0.37027283653846155,0.6322528846153843
Noche,0.16816442307692303,0.2921458333333333,0.38986778846153847,0.4500552884615384
Madrugada,0.09961689931415232,0.09597307241716228,0.17806759553724724,0.1517724732490964
sum_consumo,180.118,277.7296666666667,384.82025,538.3273499999993
Domingo,0.1443253205128205,0.22253979700854698,0.3083495592948718,0.43135204326923016
Fin de semana,0.1443253205128205,0.22253979700854698,0.3083495592948718,0.43135204326923016
s_Mañana,23.313,37.72816666666667,43.0815,55.901749999999865
s_Mediodia,56.277,90.37133333333333,128.13825,210.01799999999946
s_Tarde,34.4934,58.95416666666667,77.01675,131.50859999999994
s_Noche,34.9782,60.766333333333336,81.0925,93.6115
s_Madrugada,31.056400000000004,29.909666666666666,55.49125,47.2875
s_Domingo,180.118,277.7296666666667,384.82025,538.3273499999993
s_Fin de semana,180.118,277.7296666666667,384.82025,538.3273499999993
s_invierno,41.200599999999994,86.1395,98.19225,141.3190999999997
s_otoño,38.472,68.21033333333334,86.71549999999999,113.4095
s_primavera,41.38,69.57666666666667,91.3565,134.78
s_verano,59.0654,53.80316666666667,108.556,148.8187499999996
std_Mañana,0.045819066652928384,0.07918490191039422,0.08680739785493118,0.15044348380175504
std_Mediodia,0.06917565947378032,0.08642376413255314,0.12321010369178373,0.1397984577371813
std_Tarde,0.030454469889551677,0.1009919997733054,0.07482242611712273,0.05552130758284625
std_Noche,0.0486169476481243,0.1205948627980426,0.06681346143475973,0.09905470836351825
std_Madrugada,0.01955694721316514,0.028642614790078933,0.050222558807736975,0.04372738106072335
std_Domingo,0.16209863424236132,0.2811047617489597,0.31961322992125274,0.4755178559333749
std_Fin de semana,0.16209863424236132,0.2811047617489597,0.31961322992125274,0.4755178559333749
std_invierno,0.1187302710864028,0.35236249295777555,0.30031903788869385,0.48971858207546193
std_otoño,0.12086738981248271,0.26060439464126406,0.2829445191550987,0.33853180776232317
std_primavera,0.1390731466830091,0.28433244846841793,0.26609090612234404,0.33196803835135574
std_verano,0.2094559318352811,0.18299998018157845,0.3962992109262499,0.6052820834384807
Enero,12.944400000000002,26.836833333333335,32.1385,47.68179999999984
Febrero,13.2852,26.741333333333333,29.2565,36.861
Marzo,17.577199999999998,32.878,39.81625,52.548500000000004
Abril,12.7538,18.381666666666664,26.65,44.2165
Mayo,11.049,18.316999999999997,24.89025,38.015
Junio,29.0834,26.346666666666668,40.8695,65.14339999999979
Julio,14.752199999999998,14.721666666666666,32.313500000000005,46.20084999999982
Agosto,15.229800000000001,12.734833333333334,35.373,37.4745
Septiembre,15.2028,22.9495,34.530249999999995,40.5955
Octubre,10.223600000000001,22.09166666666667,23.37925,34.1345
Noviembre,13.045599999999999,23.169166666666666,28.806,38.679500000000004
Diciembre,14.970999999999998,32.56133333333333,36.79725,56.77629999999984
total_mean_consumption,1088.5533764143872,1678.9135722532153,2325.783937307941,3252.54283030468
