,0,1,2,3,4
media_consumo,0.1596124431292919,0.25721153846153844,0.291037037037037,0.2870052884615385,0.4094325080906081
std_consumo,0.17291846474620928,0.2981532951643463,0.2957693085959525,0.3269097147082327,0.4347441568994866
min_consumo,0.024555555555555556,0.01575,0.056,0.052,0.064
max_consumo,1.579,2.60425,2.722,3.5885000000000002,3.8
percentil_25_consumo,0.069,0.0801875,0.12,0.1285,0.176
percentil_50_consumo,0.10483333333333333,0.138125,0.209,0.192,0.26
percentil_75_consumo,0.1708888888888889,0.30906249999999996,0.32425,0.311,0.433
promedio_por_dia,0.1596124431292919,0.2572115384615384,0.291037037037037,0.2870052884615385,0.4094325080906082
consumo_medio_diario,3.8306986351030066,6.173076923076923,6.9848888888888885,6.888126923076923,9.826380194174597
Mañana,0.14163284771290233,0.3131759615384615,0.2217837301587301,0.18928653846153845,0.3200571844660138
Mediodia,0.19948321846136052,0.3006375,0.3437129629629629,0.3694358974358974,0.5531828478964184
Tarde,0.18627366512762683,0.28036730769230767,0.2787420634920635,0.37485192307692305,0.6456883495145609
Noche,0.18643771086735564,0.31211249999999996,0.3109821428571429,0.3949182692307692,0.4135898058252427
Madrugada,0.09607040491721726,0.12443814102564099,0.2794298941798941,0.1392141025641025,0.1649902912621359
sum_consumo,467.6048888888889,802.5,880.096,895.4565,1012.1171599999832
Viernes,0.1596124431292919,0.25721153846153844,0.291037037037037,0.2870052884615385,0.4094325080906081
Entre semana,0.1596124431292919,0.25721153846153844,0.291037037037037,0.2870052884615385,0.4094325080906081
s_Mañana,69.40177777777778,162.8515,111.779,98.429,131.86355999999768
s_Mediodia,144.75822222222223,234.49725,259.847,288.15999999999997,341.8669999999866
s_Tarde,91.16477777777777,145.791,140.486,194.923,266.02359999999913
s_Noche,91.89811111111112,162.2985,156.735,205.35750000000002,170.399
s_Madrugada,70.382,97.06174999999999,211.249,108.58699999999999,101.964
s_Viernes,467.6048888888888,802.5,880.096,895.4565,1012.1171599999832
s_Entre semana,467.6048888888888,802.5,880.096,895.4565,1012.1171599999832
s_invierno,120.4058888888889,262.698,224.165,218.078,230.84963999999607
s_otoño,86.47999999999999,150.01500000000001,144.131,161.334,255.11331999999356
s_primavera,138.74744444444445,240.9375,246.646,243.99349999999998,230.3092399999952
s_verano,121.97155555555554,148.8495,265.154,272.05100000000004,295.8449599999986
std_Mañana,0.038886791950295437,0.1116810511993658,0.0262860903530903,0.07109130184753015,0.156060665787981
std_Mediodia,0.05028600403806089,0.07499470213676247,0.0599769195963261,0.0881634383747184,0.0771579177731623
std_Tarde,0.033747482229723395,0.0271315278421565,0.047022997186601,0.07236400003081414,0.0687638506602081
std_Noche,0.05491677116811075,0.0643729558735297,0.0484736857519758,0.14177462485264336,0.0797875529049656
std_Madrugada,0.02282940524742426,0.04974825470765798,0.0742686285124245,0.0249044041950797,0.0221026604443121
std_Viernes,0.1729184647462093,0.2981532951643463,0.2957693085959526,0.3269097147082327,0.4347441568994867
std_Entre semana,0.1729184647462093,0.2981532951643463,0.2957693085959526,0.3269097147082327,0.4347441568994867
std_invierno,0.1752141632460832,0.3674783088815752,0.3173132331691982,0.2422367944291595,0.4129751532615776
std_otoño,0.13898552501303005,0.25189449849239415,0.1913310927298836,0.2473096978010021,0.3734150331762614
std_primavera,0.1534321274017214,0.2811988456634689,0.1791593866204509,0.2249981973048837,0.3485945103038262
std_verano,0.18737382017922377,0.2317302052638393,0.4260436677779107,0.5102329117711804,0.5650646919515173
Enero,45.53922222222222,103.09375,61.983,85.444,73.39771999999893
Febrero,39.71933333333333,93.07975,76.366,80.81049999999999,60.487
Marzo,51.89922222222222,94.50375,87.104,88.36,78.05907999999839
Abril,37.95288888888889,70.55,70.222,73.3415,69.20307999999838
Mayo,48.89533333333333,75.88374999999999,89.32,82.292,83.04707999999839
Junio,52.952555555555556,70.64075,94.625,101.686,87.98283999999875
Julio,31.16133333333333,40.4675,83.69,75.9445,121.964
Agosto,37.85766666666667,37.74125,86.839,94.4205,85.89811999999982
Septiembre,28.10788888888889,46.47125,39.824,51.8015,82.52871999999893
Octubre,26.946666666666665,43.35125,48.668,48.378,79.89891999999713
Noviembre,31.425444444444445,60.192499999999995,55.639,61.1545,92.68567999999748
Diciembre,35.147333333333336,66.52449999999999,85.816,51.8235,96.96491999999714
total_mean_consumption,2814.23108485053,4829.034719722732,5295.8481214581725,5389.118659322425,6094.405733212364
