,0,1,2,3,4
media_consumo,0.16373923486766093,0.2138410256410256,0.2539476144109055,0.3496728334956183,0.4432018137771108
std_consumo,0.16689072841481628,0.28100749548023246,0.24521700473446056,0.47145753613230645,0.522408402756924
min_consumo,0.02725,0.03133333333333333,0.07150000000000001,0.0565,0.0325
max_consumo,1.88975,2.3000000000000003,2.4255,4.045,4.011
percentil_25_consumo,0.077375,0.06266666666666666,0.1115,0.1395,0.158375
percentil_50_consumo,0.109125,0.10333333333333333,0.16,0.20900000000000002,0.245
percentil_75_consumo,0.1761875,0.19983333333333334,0.292,0.34750000000000003,0.46875
promedio_por_dia,0.1637783274443338,0.2139109243080952,0.253975044020046,0.3496858915752403,0.4432332637054705
consumo_medio_diario,3.9288989581737397,5.131185358255451,6.093556074766356,8.39051401869159,10.635871083908945
Mañana,0.1594221550865635,0.1165658099688473,0.24694100467289715,0.2114135514018691,0.29456336397805627
Mediodia,0.19402094185690205,0.30797715472481824,0.3357352024922118,0.4617535046728971,0.6008265786265706
Tarde,0.19065078950896272,0.30614680685358253,0.2607990654205607,0.5103808411214954,0.7319375289516445
Noche,0.1748734466193715,0.26993610416392433,0.31664814784344697,0.44544545544293795,0.39353078380720463
Madrugada,0.11094876729993357,0.08561266874350983,0.13040342679127725,0.15875350467289714,0.2252987310375186
sum_consumo,792.21375,1098.073666666667,1304.021,1795.57,2106.805699999994
Lunes,0.1668347109760705,0.21596096904441453,0.26974562584118433,0.33771265141318974,0.4364206792887446
Martes,0.1673600388071895,0.21881342592592587,0.26949375,0.33940069444444443,0.4371954487179478
Miércoles,0.16827261029411758,0.216424537037037,0.2692881944444444,0.35820486111111105,0.4403308760683746
Jueves,0.16930557202719795,0.21328718637992827,0.2614630376344086,0.33680645161290323,0.46162737256073194
Viernes,0.16227218137254898,0.21633657407407406,0.24399861111111104,0.3778486111111111,0.42118997863247754
Sábado,0.15175279084528073,0.2046052867383512,0.22500806451612904,0.37696034946236556,0.45221710374352664
Domingo,0.16082410207586614,0.2117862903225806,0.23933266129032255,0.32161290322580643,0.45191608560793817
Entre semana,0.1668062441609987,0.21614431953203542,0.26283287633671504,0.34983040855497666,0.4396325304687657
Fin de semana,0.15628844646057344,0.20819578853046591,0.23217036290322574,0.349286626344086,0.45205834575978693
s_Mañana,130.03875,99.78033333333333,211.38150000000002,180.97,234.15671999999893
s_Mediodia,231.002,395.44266666666664,431.084,592.8915,712.8104399999957
s_Tarde,154.12687499999998,262.06166666666667,223.244,436.88599999999997,573.6100399999992
s_Noche,141.895875,230.86233333333334,270.87350000000004,380.983,313.82050000000004
s_Madrugada,135.15025,109.92666666666668,167.438,203.8395,272.408
s_Lunes,117.291,160.459,200.421,250.9205,299.216659999999
s_Martes,113.779375,157.54566666666668,194.0355,244.36849999999998,293.92835999999943
s_Miércoles,113.8,155.82566666666665,193.8875,257.9075,295.4435999999991
s_Jueves,117.643125,158.68566666666666,194.5285,250.584,318.62485999999944
s_Viernes,109.312125,155.76233333333334,175.679,272.05100000000004,280.49947999999927
s_Sábado,106.41825,152.22633333333332,167.406,280.4585,312.68177999999887
s_Domingo,113.969875,157.569,178.0635,239.28,306.41095999999857
s_Entre semana,571.8256250000001,788.2783333333333,958.5515,1275.8315,1487.7129599999962
s_Fin de semana,220.388125,309.7953333333333,345.46950000000004,519.7385,619.0927399999974
s_verano,792.21375,1098.0736666666667,1304.021,1795.57,2106.805699999994
std_Mañana,0.042844978038627315,0.04203669662598263,0.051449122921221904,0.0922599282473654,0.11776726255870645
std_Mediodia,0.04735333146310471,0.08929965988957507,0.07882861234604514,0.15265930924126425,0.1380356521438316
std_Tarde,0.028012375817685314,0.0299988361507123,0.0373261702561121,0.0759023332934745,0.061204202287528396
std_Noche,0.03248007249145536,0.07722107132394093,0.10347392378753345,0.1422736578782462,0.13022755512282014
std_Madrugada,0.021764558164429248,0.02919585559141577,0.011979237981645649,0.04440445317645331,0.04566436830494586
std_Lunes,0.1659707731790796,0.2959989742740272,0.2608665404230254,0.47272749263433217,0.5046004848781114
std_Martes,0.16350051493565668,0.2656657128717751,0.26406690649361825,0.42523479530598696,0.503687851984794
std_Miércoles,0.16851564646727707,0.28108298808763876,0.2590581605315335,0.5250259820852774,0.48648885114886764
std_Jueves,0.1661141172326551,0.26289651704203854,0.24671041450255388,0.35989050526782307,0.5597190213010121
std_Viernes,0.16429366946835733,0.287704537942061,0.21791111654766493,0.5102329117711804,0.495554179864714
std_Sábado,0.1568115382760335,0.2815050229502198,0.22155911560904384,0.5602006016735105,0.5473031953830483
std_Domingo,0.1759868937453305,0.2824167410116096,0.22007990156782675,0.3652665443353732,0.5409375425545775
std_Entre semana,0.16632866174579372,0.2793428037403729,0.2506884688071614,0.46741795710783945,0.513206616658691
std_Fin de semana,0.16709566829570033,0.2822206548824756,0.22114809608074315,0.4770520453915852,0.5441558260366722
std_verano,0.16689072841481628,0.28100749548023246,0.24521700473446062,0.4714575361323069,0.5224084027569239
Junio,372.353875,445.18800000000005,569.9715,643.3245,629.2758399999966
Julio,218.569625,297.518,394.183,544.2095,736.7518399999988
Agosto,201.29025000000001,355.3676666666667,339.8665,608.0360000000001,740.7780199999985
total_mean_consumption,4764.119091074028,6603.0544979602555,7840.28741856182,10797.856246748028,12669.744245984348
