,0,1,2,3,4
media_consumo,0.13619258519273403,0.1888395661133101,0.2742985875706214,0.2849537923978359,0.3975286838340456
std_consumo,0.14936990680743317,0.23279173609183204,0.3852882546243931,0.3074027475350583,0.4121848956087107
min_consumo,0.02125,0.0216,0.015000000000000001,0.0374,0.061
max_consumo,1.9035,2.4548,3.9370000000000003,3.4951999999999996,3.8
percentil_25_consumo,0.06825,0.0668,0.0545,0.11399999999999999,0.165
percentil_50_consumo,0.09675,0.1014,0.11399999999999999,0.1772,0.245
percentil_75_consumo,0.1385,0.2022,0.31725000000000003,0.33125,0.435
promedio_por_dia,0.136192585192734,0.1888395661133101,0.2742985875706214,0.28495379239783586,0.3975286838340456
consumo_medio_diario,3.268622044625617,4.532149586719443,6.583166101694916,6.838891017548063,9.540688412017094
Mañana,0.11216606280841018,0.1705612882009288,0.19189279661016945,0.2094595723782715,0.2719727038626584
Mediodia,0.18167178091253663,0.24114512420848602,0.4435895480225989,0.39247452915693437,0.6122533333333247
Tarde,0.14766257375026817,0.23458867030005387,0.3252161016949152,0.3130676432892136,0.5857367811158771
Noche,0.15493951807552026,0.21744576998589835,0.3154347457627118,0.34902725579445404,0.370381974248927
Madrugada,0.08661547595338702,0.09917720637441756,0.09865805612087784,0.16638397336900204,0.1591572039715679
sum_consumo,852.719,1307.224,1942.034,1999.409,2222.980399999983
Lunes,0.11803240740740738,0.20183373015873013,0.2944861111111111,0.33256018518518515,0.3794452083333295
Martes,0.1567708333333333,0.2211520833333333,0.3052864583333333,0.33249166666666663,0.4434166666666666
Miércoles,0.14882767857142853,0.197372619047619,0.31234523809523806,0.31478928571428566,0.4887091666666499
Jueves,0.11117619047619043,0.16166666666666663,0.2021785714285714,0.25567738095238096,0.4204375
Viernes,0.11600148809523808,0.179753373015873,0.2083988095238095,0.281897619047619,0.5426697222222072
Sábado,0.14023310439560435,0.18275984649078905,0.2703785256410256,0.2794549715099715,0.3773926213592223
Domingo,0.13379818361504905,0.1944984855233963,0.2811976781170483,0.2861348666141605,0.404335673076919
Entre semana,0.12992476851851847,0.1904886701454775,0.26270526960784313,0.30182925363693863,0.4500705128205056
Fin de semana,0.13701180584063122,0.18864333767770028,0.2758088282247765,0.28280210385878485,0.3909292270531375
s_Mañana,115.94175,197.5072,226.43349999999998,245.03760000000003,253.47855999999769
s_Mediodia,283.91375,416.63800000000003,785.1534999999999,689.2756,855.9301599999877
s_Tarde,154.8145,270.0404,383.755,366.45279999999997,545.9066799999974
s_Noche,163.78975,251.12359999999998,372.21299999999997,408.191,345.196
s_Madrugada,134.25925,171.9148,174.47899999999998,290.452,222.469
s_Lunes,21.94075,39.7002,63.609,67.6118,72.85347999999928
s_Martes,13.064499999999999,21.2306,29.307499999999997,31.9192,42.568
s_Miércoles,22.541249999999998,33.1586,52.474000000000004,52.8846,46.91607999999839
s_Jueves,17.1825,27.160000000000004,33.966,42.9538,40.362
s_Viernes,17.6485,28.396799999999995,35.010999999999996,45.9442,78.14443999999784
s_Sábado,385.791,559.4354000000001,843.5809999999999,866.0948000000001,932.9145599999976
s_Domingo,374.5505,598.1424,884.0855,892.0006,1009.2218399999898
s_Entre semana,92.3775,149.6462,214.3675,241.3136,280.8439999999955
s_Fin de semana,760.3415,1157.5778,1727.6665,1758.0953999999997,1942.1363999999876
s_invierno,222.47950000000003,392.9112,761.019,580.079,563.7999199999927
s_otoño,142.275,244.0704,351.44550000000004,345.12440000000004,497.51495999999855
s_primavera,250.27224999999999,416.72700000000003,552.598,591.1246,501.7000399999969
s_verano,237.69225,253.5154,276.9715,483.081,659.9654799999948
std_Mañana,0.03704472565088673,0.06638332239652142,0.14765170593751564,0.08923199919010569,0.0793999649117089
std_Mediodia,0.060483553916319724,0.04980782769707576,0.09859330631756236,0.06967399432930181,0.0654182147765572
std_Tarde,0.02403363807430335,0.04523703303669848,0.039469305429661705,0.04926284592178692,0.0478623546918464
std_Noche,0.028089927509378276,0.06611274242333989,0.0827100851295565,0.07344664974691628,0.0554028518507685
std_Madrugada,0.018493165737953975,0.02905435107238672,0.0559256778950816,0.042816384209186695,0.0112114867721295
std_Lunes,0.1087053431828576,0.24713797342759786,0.3952082091558454,0.3487706939323253,0.3982731323656531
std_Martes,0.16613890056924335,0.2688139103649892,0.3707993570992476,0.37277759464682686,0.5123022476843685
std_Miércoles,0.19232641428501726,0.23523911272306428,0.3820329269501562,0.28927388149212524,0.430235524843274
