,0,1,2,3
media_consumo,0.14026373819821364,0.18654630336394057,0.2454505976902816,0.29919241539874586
std_consumo,0.141600764549042,0.2088007904643486,0.3778530439773057,0.31253614965372145
min_consumo,0.0,0.0,0.0,0.006857142857142858
max_consumo,1.7265,2.3806000000000003,3.691,3.4482857142857144
percentil_25_consumo,0.07150000000000001,0.06999999999999999,0.051,0.12
percentil_50_consumo,0.1035,0.11539999999999999,0.084,0.19357142857142856
percentil_75_consumo,0.14800000000000002,0.20529999999999998,0.23,0.35328571428571426
promedio_por_dia,0.14028704274097903,0.18655754110238984,0.245459337490898,0.2991910136695156
consumo_medio_diario,3.366048065696847,4.476802418849857,5.890416531604537,7.179262662583516
Mañana,0.11864637358184763,0.1778110036976616,0.4215121555915721,0.25727363382395785
Mediodia,0.18424571578001864,0.22153554640909542,0.1640850891410048,0.37434742142676736
Tarde,0.15506013199962554,0.23213585451849195,0.2738962722852512,0.3635429455994302
Noche,0.16443227461231824,0.22418123486233138,0.3801003599318023,0.3788100348997307
Madrugada,0.0847122012828028,0.10189036605092612,0.1007012425715829,0.1560446078333333
sum_consumo,1812.251,2705.7706,3634.387,4254.612742857137
Lunes,0.14264091618720562,0.18663580216642334,0.2588254185172531,0.2960977440979504
Martes,0.1378128578338466,0.19002963274099632,0.2566117724867724,0.30032735669309024
Miércoles,0.14026854674796746,0.18895706230388934,0.2588207994579946,0.30187318317554596
Jueves,0.14126126355013546,0.19040227949221397,0.2420691056910568,0.2992653621236313
Viernes,0.13940774359448135,0.17664701815250905,0.2107669376693766,0.2983129778019236
Entre semana,0.14026373819821364,0.18654630336394057,0.2454505976902816,0.29919241539874586
s_Mañana,254.58725000000004,430.3308,1040.292,612.1046399999993
s_Mediodia,584.9875000000001,800.229,607.443,1329.7241371428531
s_Tarde,337.3295,561.2314,675.976,852.7191085714281
s_Noche,361.0695,543.1052,937.88,904.3008571428571
s_Madrugada,274.27725,370.87420000000003,372.796,555.764
s_Lunes,367.32849999999996,535.8582,757.582,833.4310399999995
s_Martes,364.83775,560.5492,775.994,872.1421999999994
s_Miércoles,358.93725,546.2146,764.039,857.8004399999985
s_Jueves,362.57574999999997,550.8328,714.588,849.3741028571421
s_Viernes,358.57175,512.3158000000001,622.184,841.864959999998
s_Entre semana,1812.251,2705.7706,3634.387,4254.612742857137
s_invierno,399.4365,711.1688,1528.189,1111.93169142857
s_otoño,321.41775,544.8058,542.799,844.4919714285697
s_primavera,478.9435,816.005,1047.487,1146.4198057142844
s_verano,612.45325,633.7909999999999,515.912,1151.7692742857132
std_Mañana,0.0360210137533604,0.04509942266128682,0.1078419994403189,0.0663193099442249
std_Mediodia,0.04174304266148353,0.04561302740298504,0.0575237107548174,0.06371318135467752
std_Tarde,0.0202379593639728,0.03760861713507204,0.1152493913859052,0.03783600146959337
std_Noche,0.043014049713831326,0.0518562873108269,0.1407035681885924,0.08787576429212686
std_Madrugada,0.00949860169491895,0.029431464805872443,0.0560411534071299,0.03627015592276101
std_Lunes,0.14807827450312083,0.2070774183259167,0.3863556561307445,0.3079961994669721
std_Martes,0.13797962765039715,0.21432661108965867,0.3941807376405656,0.3038002374901049
std_Miércoles,0.1393678797698718,0.2077526810757276,0.4019675517262187,0.3224345147046022
std_Jueves,0.1409092820534801,0.21401036272605323,0.361018085768936,0.30365639890512985
std_Viernes,0.14121598285160242,0.19658657313866268,0.3399202886871736,0.31819701145687557
std_Entre semana,0.141600764549042,0.20880079046434866,0.3778530439773055,0.31253614965372145
std_invierno,0.11067629138974422,0.24162940221789603,0.5540297030709105,0.29104359722978784
std_otoño,0.0947226983345715,0.19168816941777966,0.2418066841228571,0.2509699324906282
std_primavera,0.09691258387507867,0.21106893173149838,0.3483221177586342,0.2488246409092222
std_verano,0.20168737611035056,0.17990448882827398,0.1638826345007593,0.39390935286030554
Enero,151.99725,260.273,554.879,406.6552171428566
Febrero,148.413,273.07259999999997,604.655,416.442794285714
Marzo,162.33525,286.3538,482.208,399.69415428571403
Abril,146.16225,249.18400000000003,297.82,352.7646399999993
Mayo,170.446,280.4672,267.459,393.96101142857117
Junio,238.3065,283.9026,250.697,418.1487999999992
Julio,184.8715,176.2108,155.432,364.9348342857141
Agosto,189.27525,173.6776,109.783,368.68563999999986
Septiembre,114.69475,167.7386,151.138,266.8746571428564
Octubre,109.5955,193.22539999999998,165.466,291.3342742857139
Noviembre,97.1275,183.8418,226.195,286.2830399999995
Diciembre,99.02625,177.82319999999999,368.655,288.8336799999994
total_mean_consumption,10882.39611680283,16246.812833405867,21823.996715588353,25546.55910951516
