,0,1,2,3
media_consumo,0.1572892911155388,0.2648238321290539,0.3388581750966224,0.4042286170391519
std_consumo,0.17076519553079814,0.2982836851357776,0.3275700857202727,0.4776353601475502
min_consumo,0.0,0.0,0.0,0.0280999999999478
max_consumo,1.8291428571428572,3.073625,2.697,4.491
percentil_25_consumo,0.071,0.09375,0.112,0.18
percentil_50_consumo,0.10471428571428572,0.159625,0.206,0.281
percentil_75_consumo,0.16257142857142856,0.30474999999999997,0.4465,0.426
promedio_por_dia,0.15732873756094298,0.26485750314107054,0.3388545903459561,0.4042175045289843
consumo_medio_diario,3.774308755760369,6.354704133064516,8.131229838709675,9.69985685483868
Mañana,0.14407776497695846,0.2434487147177419,0.352117943548387,0.3127096774193543
Mediodia,0.18759619815668202,0.3156646505376344,0.4582681451612903,0.490546774193545
Tarde,0.1841909562211981,0.32423815524193544,0.3378810483870967,0.6763152217741926
Noche,0.18833549133379351,0.34896699813079535,0.413539024748596,0.3961198788690086
Madrugada,0.09715101766513053,0.13251436491935478,0.1613736559139785,0.2028668682795695
sum_consumo,936.0285714285714,1575.966625,2016.545,2405.564499999993
Lunes,0.15443616399953272,0.27127422322158623,0.3379010629599345,0.3692643499591164
Martes,0.15421394230769225,0.2721553485576923,0.3462379807692308,0.3920286057692296
Miércoles,0.16074702380952374,0.2647667100694444,0.3332482638888889,0.4036114583333322
Jueves,0.16481882440476187,0.2592169053819444,0.3555052083333333,0.3986448784722214
Viernes,0.15275704567541298,0.25588371598639453,0.3212100340136054,0.459611564625848
Entre semana,0.1572892911155388,0.2648238321290539,0.3388581750966224,0.4042286170391519
s_Mañana,142.92514285714284,241.501125,349.30100000000004,310.2079999999995
s_Mediodia,279.1431428571429,469.709,681.903,729.933599999995
s_Tarde,182.71742857142857,321.64425,335.178,670.9046999999991
s_Noche,186.68214285714288,345.930875,410.039,392.6522999999998
s_Madrugada,144.56071428571428,197.181375,240.124,301.8658999999995
s_Lunes,188.87542857142856,331.768375,413.253,451.6102999999993
s_Martes,192.459,339.649875,432.105,489.2516999999986
s_Miércoles,185.18057142857145,305.01125,383.902,464.96039999999874
s_Jueves,189.8712857142857,298.617875,409.542,459.23889999999903
s_Viernes,179.64228571428572,300.91925000000003,377.743,540.5031999999973
s_Entre semana,936.0285714285714,1575.966625,2016.545,2405.564499999993
s_invierno,212.63442857142857,422.803875,582.161,501.9869999999968
s_otoño,216.126,355.51575,489.742,500.1735999999981
s_primavera,201.605,357.88925,548.245,562.3624999999987
s_verano,305.6631428571428,439.75775,396.397,841.0413999999993
std_Mañana,0.043837069058597,0.0746171463825705,0.0682866869513767,0.1839269921295244
std_Mediodia,0.05173209044564564,0.06619322675871032,0.0909218921901645,0.1469420801226199
std_Tarde,0.0319785366145264,0.06766773542721272,0.0571277058781462,0.0450324479395408
std_Noche,0.04847950178295287,0.08640337024574184,0.1253583816864074,0.1220738143076702
std_Madrugada,0.022092853923609327,0.036486889314713625,0.0459292179942718,0.0653166844204311
std_Lunes,0.1706278076778893,0.3101394318070388,0.3217833147633361,0.4197854912287957
std_Martes,0.16640310549625187,0.297762964965093,0.3353367149082343,0.4463680339037256
std_Miércoles,0.16841104482214594,0.30562319402173255,0.3324435333467253,0.4438558869922533
std_Jueves,0.17668372063953655,0.2783002141256476,0.3320883660372612,0.4856710550193044
std_Viernes,0.16783529007992806,0.29276936182802277,0.3152266069361999,0.5761454301356083
std_Entre semana,0.1707651955307981,0.2982836851357777,0.3275700857202723,0.47763536014755
std_invierno,0.15431157048527908,0.32572792725978855,0.3870217740514947,0.4126140907356044
std_otoño,0.12934012251749769,0.23499515962857875,0.3023203489714383,0.3422141126813663
std_primavera,0.13659158366420868,0.24686358800090208,0.3423831642575243,0.2574934035678013
std_verano,0.20308305570325685,0.3182109284647274,0.2480019186122047,0.7163739977773509
Enero,72.49828571428571,144.7075,204.964,182.37699999999896
Febrero,69.73614285714287,130.426375,190.646,158.17779999999905
Marzo,70.69414285714285,132.190875,194.68,185.0399999999989
Abril,62.23085714285714,106.870875,181.944,192.956
Mayo,68.67999999999999,118.82749999999999,171.621,184.36649999999972
Junio,114.15528571428571,151.2555,139.421,288.4627999999996
Julio,107.07257142857144,157.32887499999998,159.309,282.53459999999967
Agosto,84.43528571428571,131.173375,97.667,270.044
Septiembre,70.59671428571428,102.5325,159.667,173.373899999999
Octubre,77.05071428571429,130.4575,174.25,168.7835999999997
Noviembre,68.47857142857143,122.52574999999999,155.825,158.01609999999943
Diciembre,70.4,147.67,186.551,161.43219999999886
total_mean_consumption,5626.186335390933,9472.807167595729,12119.255952945,14459.426435112355
